onset	duration	trial_type	trial_code	valence	arousal
5.5203	15	ANG	ANG21	0	6
22.5537	11	Q	Q_ANG21	0	6
40.6204	15	CON	NEU5	8	none
57.6454	11	Q	Q_NEU5	8	none
75.4704	15	CON	NEU3	9	1
92.5038	11	Q	Q_NEU3	9	1
109.0704	15	ANG	ANG12	3	1
126.0955	11	Q	Q_ANG12	3	1
143.4038	15	CON	NEU2	6	1
160.4288	11	Q	Q_NEU2	6	1
178.2372	15	ANG	ANG3	0	2
195.2622	11	Q	Q_ANG3	0	2
213.0705	15	ANG	ANG20	0	2
230.1039	11	Q	Q_ANG20	0	2
246.6622	15	CON	NEU22	6	3
263.6873	11	Q	Q_NEU22	6	3
