global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07
316.5456210543024	n/a	100201.130208654	n/a	314.3123779231889	n/a	n/a	98792.2709157295	212.7302507215212	n/a	n/a	45254.15957204127	209.9449600773258	464.8611490440281	n/a	n/a	n/a	n/a	-0.0460441732	-0.0432323317	-0.0400417877	0.2279605657	-0.1847103842	0.1481263462	-0.1607420945	-0.0471830041	0.2212715313	-0.3581946546	0.0960401568	-0.064643938	-0.0570031067	0.0704888662	-0.0065601437	0.0312334348	-0.1082671345	0.0710718435	-0.0183817071	0.1080040121	-0.155900252	0.121506657	-0.0577854581	0.083504356	-0.0537897593	0.0473315881	-0.0220485904	0.032890232	-0.0052644212	0.0033518778	-0.0322979466	0.0697119955	-0.030787924	0.0381717	-0.0542817204	0.0719758304	-0.090291567	0.0252719734	0.0184956421	0.0707553255	-0.066386576	0.0403295248	0.0129925013	0.0733476998	-0.0752513102	-0.0122187544	0.0704055947	0.0966926607	-0.052773111	-0.003524039	-0.0624009978	0.0993668875	0.0239618847	0.0162367667	0.003134556	-0.123364319	0.0160497181	0.026856836	0.0115561585	-0.0623155359	-0.0558120977	0.0763130949	-0.0134025832	0.0846280328	-0.040076975	0.0676397193	-0.0304701905	0.0034732772	-0.0735667066	0.2055754276	-0.0876350611	0.0402349365	-0.054741746	0.0746857603	-0.0510707066	0.030737271	-0.0164970648	0.0529819504	-0.0357381486	0.0610295923	-0.0627546489	0.059290723	-0.0073458948	0.0460471529	-0.1123731496	-0.0003057951	-0.0409975916	0.0597564143	-0.0527736437	-0.0432509608	0.0345397388	0.1036012886	-0.0424907238	-0.0106452781	-0.0198216523	0.1391699319	-0.0232527804	-0.0203863303	-0.0324203049	0.0035221168	0.0919665548	-0.037563247	-0.046691025	-0.1121966392	0.035470321	0.0183505428	-0.0492531808	0.0254562084	-0.019950578	0.0717647912	-0.0851503367	0.1361803921	-0.0740429911	-0.0776497519	0.0285773541	-0.0426123636	0.0030942408	-0.0382641314	0.0322526208	-0.041536235	0.0673245893	-0.0285496437	0.0350748153	-0.0462614228	0.1072218492	0.0255524501	-0.0925898597	0.1583098488	-0.0260110578	0.0259773438	0.1195153378	0.1194927693	0.1194551582	-0.0536438	n/a	0.00287765727844	n/a	-0.0478695	n/a	0.00229148903025	n/a	-0.0615059	n/a	n/a	0.00378297573481	6.00651e-06	n/a	3.60781623801e-11	n/a	-0.00101066	n/a	1.0214336356e-06	n/a	-0.000901613	n/a	8.12906001769e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
315.9178335420535	-0.6277875122489149	99804.0775499046	0.3941171605356815	309.6560188891331	-4.656359034055754	21.681679454032636	95886.85003426718	212.66600517150343	-0.0642455500177732	0.0041274906970862	45226.829755605926	209.89981077367608	463.4187154761092	1.153141	23.80834	0.0458090245	0.0209752	-0.0483419507	-0.0604913488	-0.0597419131	-0.034376775	-0.130192114	-0.0857785185	-0.0583201318	0.1188482064	0.0531417227	-0.2144876879	0.0599294493	-0.0580601511	-0.0843289643	-0.0257473018	-0.0806193738	-0.1249662112	-0.0493166406	0.0644717277	0.0116027837	0.0751659205	-0.1124818503	0.115109739	-0.0357317811	-0.0147409352	-0.1054484705	0.0156673106	0.1660496179	-0.0537401238	0.0104624993	-0.0277335692	-0.0098497617	0.1217314358	0.0673762533	-0.0746373902	-0.0695426952	0.1334988926	-0.1582163307	0.1327306391	0.0012079075	-0.0349884755	0.0097260392	-0.070988807	-0.0249090403	-0.0481274435	0.074710141	-0.0585955026	0.1647606825	0.011901708	-0.0206438031	-0.085093423	-0.0093728711	0.0458939979	0.0407804177	-0.1325875202	-0.0868568168	-0.0494355819	-0.0914024522	0.0192416641	-0.0598197804	-0.0595970811	-0.0819754244	-0.0433110143	-0.1143627672	-0.0301240837	-0.1100288816	0.0621726264	0.0045498501	-0.0387232414	-0.0219072227	0.153016526	-0.0719848879	-0.0144240584	-0.1063244551	0.0982750498	0.1303846431	-0.0916555834	-0.0056716707	0.0327750284	-0.0142426602	0.1093950076	0.0700563319	-0.0094536066	5.68101e-05	0.0660026437	-0.189612304	0.1013880821	0.013917819	0.1271098544	0.0566448424	-0.0034770068	0.0336680551	-0.1098073247	-0.1642429751	-0.0249614365	0.0566108905	0.1018914702	0.0485278976	0.0716854634	-0.0795436221	-0.0584034281	0.0382082326	-0.0780845475	0.0999898751	-0.071537418	0.087877292	-0.0718469271	-0.0511498275	0.0264135053	-0.0479304643	0.0722371477	-0.1094177701	0.1180962661	-0.0186181304	0.033853697	0.0196238495	-0.1298442151	0.0140121421	0.2020547361	-0.1252577908	-0.087448059	0.0495514001	0.0926788434	0.0497686355	0.0573452042	0.0205499363	-0.0099710926	-0.0415867681	0.0166661372	-0.0671420452	-0.003108665	0.1194551582	0.1192521267	0.1189139965	-0.0403609	0.0132829	0.0016290022488099	0.00017643543241	-0.033648	0.0142215	0.0011321879039999	0.00020225106225	-0.0592262	0.0022797	5.197032090000012e-06	0.00350774276644	0.000117999	0.00011199249	1.3923764001000002e-08	1.2542317816400101e-08	-0.00115355	-0.0001428899999999	1.3306776024999998e-06	2.0417552099999973e-08	-0.000835997	6.5616e-05	6.98890984009e-07	4.305459456e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
315.49075538196826	-0.427078160085216	99534.41673148492	0.1823957548217734	307.70119193871545	-1.9548269504176687	3.821348406079242	94680.0235205062	212.9413223280534	0.2753171565499599	0.0757995366907551	45344.00675481993	210.1439044245473	459.5890971928532	1.139573	23.52821	0.0343681999999999	0.0236935	-0.0564965091	-0.044538522	-0.070274348	0.0318033103	-0.0021799705	-0.072487814	-0.0819173058	-0.1545208506	-0.0443192542	-0.0379453479	0.1251064247	-0.0571119861	0.0473482147	-0.0467248219	0.0759451286	0.0410238824	-0.0672365234	-0.0518833072	0.0894203	0.0854633383	-0.1371039123	-0.0483487444	-0.0036570769	-0.0735054053	-0.0257828921	-0.1075247557	0.0508743891	-0.0575931434	-0.0597416773	-0.0172539421	0.1499807928	-0.0502023483	0.0658685457	-0.0809442527	-0.0956820033	0.0969580063	-0.0208631611	0.033364776	-0.1457430331	-0.0576060456	-0.1135492338	0.1051263413	-0.0121564777	0.004561147	-0.1549683269	-0.0726714688	-0.0404304648	-0.0019282608	0.0283608161	0.0010544975	-0.2094917207	-0.0611719655	-0.0004643736	0.0118485684	-0.0564123512	0.1051150407	-0.1273049769	-0.0550121895	0.0797461098	-0.054288917	0.0494647369	-0.0342843325	0.0893437848	0.0746754231	-0.0240353146	-0.0789827408	0.0928246587	0.0252252471	-0.1529010536	0.0473255739	-0.0610031941	-0.0828376028	-0.0686499689	-0.0521356441	0.0728838588	-0.0492028378	-0.0606645353	-0.1218238691	0.0796338391	0.0063847315	0.0952740338	-0.0457330519	0.0672726671	0.0790086887	-0.1052669225	0.1830663612	0.0010613357	-0.0450232564	-0.0859182414	-0.0762965253	0.0780103053	0.0672950546	0.0574017282	0.108486298	-0.0045679641	0.0030221195	-0.0602838642	-0.0292208289	0.0873463408	-0.1061575227	0.1685473589	-0.0764460596	0.0178498334	0.0928730406	-0.0091944891	0.0145238444	-0.0588652027	-0.0058506789	-0.0401317142	0.0757270988	-0.0415659371	0.1338935496	-0.0657884985	-0.0865155514	-0.0248427691	0.162414193	-0.1163404748	0.1198143559	-0.0062643904	-0.1057301716	0.0973798379	0.0021132926	-0.0035264079	0.0231925585	0.0743794604	-0.0153063897	-0.0355028672	0.0020180417	0.0177587006	0.000303666	0.1193348294	0.1187713263	0.1178341246	-0.0337539	0.0066069999999999	0.00113932576521	4.365244899999993e-05	-0.0381989	-0.0045509	0.00145915596121	2.0710690810000037e-05	-0.0589223	0.0003039	9.235521000000168e-08	0.0034718374372899	0.000538827	0.0004208279999999	2.90334535929e-07	1.7709620558399998e-07	-0.00111625	3.729999999999988e-05	1.2460140625000002e-06	1.3912899999999908e-09	-0.000835997	0.0	6.98890984009e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
315.11806030227376	-0.3726950796944948	99299.39192866744	0.1389016224284858	306.33253575589833	-1.368656182817119	1.873219746763528	93839.62246263873	212.8935526422204	-0.047769685832975	0.0022819428845811	45323.66475662588	210.1175557449981	460.6101406159934	1.127569	23.280384	0.1375762	0.0891068	-0.0556203446	-0.0416079811	-0.0477242237	0.0473787815	0.0180355621	0.045027949	-0.0142198152	0.0975279198	-0.1286698035	-0.0434583843	0.1296721229	-0.0631680208	0.0022092155	0.0784858359	-0.007510155	-0.0594122181	0.0585198979	0.1388266884	0.0602638386	0.0328642805	-0.1072478945	-0.0264911746	0.072104742	-0.0613473028	-0.0317070951	0.0647551009	0.0084031581	0.1524653869	0.0037113819	-0.1367115503	0.1203916723	0.1654132854	0.172251334	0.0511609987	0.0546521478	-0.1421525979	0.0301070321	-0.0330004667	-0.0160746699	-0.044112117	-0.2252236715	-0.0379973928	-0.0474020746	-0.0152554115	0.0209083001	0.0092443509	-0.0251506757	-0.1074656408	0.059641525	0.1509282843	0.0076223668	-0.0440081332	-0.0274086201	-0.0904729829	0.098283061	-0.1198610516	0.0068026592	-0.1050877484	0.0669179508	-0.0637620034	0.003431325	0.0717509779	-0.0371754455	-0.0728942625	-0.0313072496	0.1229303933	0.0717863568	0.0486493371	-0.0928051027	0.0342056335	0.0149668411	-0.0785502334	-0.000867923	0.068152124	0.0334466565	0.1373481189	0.0716236069	0.0320447627	0.181416318	0.1969309469	0.1458383888	0.1250774291	0.0037068601	-0.0593651781	0.0374460865	0.005142573	-0.1795330977	-0.0820851221	-0.105674236	0.0859853114	0.0359290166	0.0089890403	-0.0064254456	-0.0005074906	0.0013407777	-0.1176396488	-0.0207030885	-0.1050299655	0.0248896237	-0.0195858362	-0.1198000298	0.0363223592	-0.0715549067	-0.1120670151	-0.0497720236	-0.1529251811	-0.0573947449	-0.0459639656	-0.0883395411	0.0876887009	-0.068161258	0.1118575149	-0.0067089899	-0.0999544846	-0.0279341046	-0.1122926886	-0.1258386891	-0.0108789532	-0.0446208577	-0.0278301732	0.0962638554	0.0274234746	-0.0934430007	0.0456191297	0.0975514517	0.0738848231	-0.0008159337	0.0251262777	-0.2019004707	-0.091993024	0.1191544118	0.1180513362	0.1162204348	-0.0396653	-0.0059113999999999	0.00157333602409	3.494464995999997e-05	0.0447314	0.0829303	0.00200089814596	0.00687743465809	-0.0523368	0.0065854999999999	4.336881024999992e-05	0.00273914063424	0.000246188	-0.000292639	6.0608531344e-08	8.5637584321e-08	-0.0008789829999999	0.0002372670000001	7.726111142888242e-07	5.6295629289047486e-08	-0.000522923	0.000313074	2.73448463929e-07	9.8015329476e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
314.5309241460161	-0.5871361562576567	98929.70224414692	0.3447288659850154	306.453949047719	0.1214132918206587	0.0147411874307284	93914.02288694197	213.0304811281214	0.1369284859009951	0.018749410251139	45381.985889678894	210.2876445810278	457.4690315692599	1.116733	23.05665	0.1208105999999999	0.0835801	-0.0462916157	-0.0446342883	-0.0938953769	-0.1037867014	0.0797680955	0.0090414147	-0.0444310215	-0.0461161118	0.1176994523	0.0264495025	0.0948576908	-0.0512907868	0.0717087497	-0.0906137768	0.087001811	-0.0298738127	0.1098581379	0.1287589016	0.0483973306	0.0499578699	-0.0090928767	0.0294796963	0.0156463855	0.035646227	-0.022583473	-0.1603972761	0.0338592258	0.0045045853	-0.1074852612	-0.0583149019	0.0437721768	0.0571378351	-0.0699250108	-0.1067605241	0.0973432968	0.0125550845	0.0412346962	0.077824729	0.0380754099	-0.0931525594	-0.0707136708	0.0215802156	-0.1112496403	-0.0155032848	-0.1024676135	0.0474547689	0.1331680224	-0.1643368766	0.1371983294	-0.0514517611	0.1157128637	0.0693366253	0.0505756187	-0.0057324434	-0.0142941351	0.0564468296	0.0277641517	0.0544961188	0.0507059488	-0.0502385347	0.076988219	-0.0972068891	0.0892050645	-0.0844535696	0.0094457069	0.1305156657	0.073211702	-0.0320188122	-0.0438652914	0.0083651083	0.0130639782	0.0090121131	-0.1303682372	-0.0998351729	0.0644532648	0.0510751012	-0.1217402832	-0.0087686997	0.1175394132	0.0529822823	-0.0713500298	-0.0644877652	0.0142111678	-0.0968061771	0.0006108925	0.1127640697	-0.0760727827	0.0014978631	-0.0034771803	-0.0433973527	0.1283866481	0.0464056368	-0.1713776233	0.0706530286	-0.0353077712	-0.1155052101	-0.0679136046	0.1207873005	-0.069087374	0.0932314245	-0.0662713048	0.0443729638	0.0733406424	0.0350467622	0.0170095965	0.0084848954	-0.0512799808	-0.0036058944	-0.0639386944	0.0914126904	-0.0631477778	0.109248328	0.0171584881	0.0386650743	-0.0389178655	0.0326560728	0.0575915626	0.1264741706	-0.0484951171	0.0211157622	0.0486676991	-0.023817531	-0.15897778	-0.0718082944	0.0746154888	0.0857883471	-0.0471982289	-0.1165959663	0.0093664946	0.0192983459	0.1189139965	0.1170936064	0.1140802373	-0.0447514	-0.0050860999999999	0.0020026878019599	2.5868413209999963e-05	-0.0355071	-0.0802384999999999	0.00126075415041	0.0064382168822499	-0.0403581	0.0119787	0.00014348925369	0.00162877623561	0.000382919	0.000136731	1.46626960561e-07	1.8695366361000003e-08	-0.00107142	-0.0001924370000001	1.1479408164e-06	3.70319989690385e-08	-0.000663901	-0.000140978	4.407645378010001e-07	1.987479648400001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
314.0418518562116	-0.4890722898044828	98622.28471727876	0.2391917046546	305.56174052350565	-0.8922085242133448	0.7960360506789548	93367.9772717542	212.83086611634192	-0.1996150117794854	0.0398461529277241	45296.97757183226	210.07672693612693	454.987128356377	0.999968	20.645853	0.066438765	0.0363248	-0.0457145772	-0.056105708	0.0226573242	0.0043152968	0.0820937538	0.1009328723	-0.0112641728	0.0057997498	0.0213256992	-0.0297887029	-0.0481534774	-0.0484644209	0.0457737248	0.0748983125	0.1198660619	0.0599409328	0.1606872935	0.0457258017	-0.0889290912	0.1346234072	-0.0265661555	0.1022954922	0.0223529424	-0.0045434746	0.0155397829	-0.1039010057	-0.144245557	0.07002863	0.0685747287	-0.0238726925	0.1034433478	0.0074901277	-0.0527239162	-0.1264787203	0.0532710261	-0.0005881432	0.0401321112	-0.072443397	0.0852536161	0.0842677783	0.0216704104	-0.1073874452	0.1025268539	0.1182289086	0.1730089905	-0.1149582492	0.064906058	0.1051407993	0.1129128614	-0.0178725301	0.0077902838	-7.78358e-05	-0.0564162394	0.0008277423	0.0766451652	-0.0377605578	-0.0050661376	-0.2125495204	0.0032857946	-0.0480289095	0.0467806324	0.08107375	0.1123836152	-0.0879471512	0.0850798788	0.0956486289	-0.1144410134	-0.1126868336	-0.0862276529	0.0989934226	0.018703008	-0.0278442306	-0.0032003771	-0.1321318998	-0.1093882659	0.0617267728	0.0669668036	-0.0396477545	0.1224463544	0.0418629537	-0.0393913247	-0.1168097	0.0319885854	-0.0669290753	0.0505356318	-0.1094853855	0.0036585135	0.0582128849	-0.0378320315	0.0487308553	-0.1284761285	0.0220325577	-0.0736977811	-0.0585942632	0.2204771054	0.1232986277	-0.0206124028	0.0023254871	0.082377697	0.0168055542	-0.1110593023	-0.05023297	-0.1091037505	-0.0158125793	-0.0897647533	-0.0903043741	-0.0459644522	-0.027728538	-0.0816385408	0.1051758591	-0.0728384245	0.0737856142	0.062773974	0.0023328536	-0.0221382948	-0.0501149871	-0.0486866558	0.003374298	-0.0414946095	0.0601439012	0.0402465399	-0.0976864809	-0.0676995021	0.0218926576	0.0578324472	0.0227111168	-0.0323057433	0.0453589944	0.07081164	-0.0858241715	0.1186137044	0.1159000657	0.1114232278	-0.0385064	0.0062449999999999	0.00148274284096	3.900002499999992e-05	-0.0130512	0.0224559	0.00017033382144	0.00050426744481	-0.0395015	0.0008565999999999	7.337635599999983e-07	0.00156036850225	-4.87503e-05	-0.0004316693	2.37659175009e-09	1.8633838456249002e-07	-0.000903432	0.000167988	8.16189378624e-07	2.8219968144e-08	-0.000525933	0.000137968	2.76605520489e-07	1.9035169024000013e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
313.986326009292	-0.055525846919636	98587.41292081338	0.0030831196761428	305.6151331750457	0.0533926515400366	0.0028507752384757	93400.6096256009	212.58313753310568	-0.2477285832362383	0.0613694509522338	45191.59036341933	209.8317665060084	452.3736535051523	0.905976	18.705261	0.025584345	0.0114504	-0.0376350179	-0.0473767879	0.0214722847	-0.1130099734	0.0363463702	0.0147697704	-0.0389123907	-0.0602010679	0.0137478544	0.0393304857	0.01459001	-0.0293897045	-0.0392511055	-0.050997602	0.0420030346	0.0362019568	0.1122312032	-0.003906594	-0.0577998476	-0.0379638226	0.1148433839	0.0936322546	-0.0519446476	-0.0017143004	-0.1469586474	-0.0473421286	-0.0559309499	0.0528509713	0.015125398	0.0748313133	0.0314406908	0.1586963421	-0.11295837	-0.0116480492	-0.0136908386	-0.1133387676	0.0690207137	0.2104251429	0.0965208865	-0.0828377864	-0.0237629928	-0.0768789929	0.0378610415	-0.0696827769	0.0106645104	0.0938034607	0.0939476056	0.0711884636	-0.0832010242	0.0511431502	-0.1004863239	-0.0277051486	0.0030401184	0.0375392403	0.0704685698	0.1376204811	-0.1442619335	-0.0758638611	0.0890464664	-0.0319431695	-0.0348990179	-0.0480330672	0.0605111206	-0.0811068546	0.0971114689	0.0141269346	-0.0550667788	-0.069252657	0.1098412541	-0.0257536333	-0.0193936341	0.0010028569	-0.1303310061	-0.0152200468	-0.0828206795	0.0212854202	-0.0001322575	-0.0238224587	0.0070717254	0.1526369771	-0.0931626192	-0.027533179	-0.118406885	-0.0178223264	0.1316342999	0.0866045058	-0.1331343371	0.144662795	0.1167739326	-0.0023354994	-0.0705657179	-0.0909261291	-0.0896469619	-0.0501038283	-0.1275240005	-0.0020724075	-0.0296527617	-0.1198152885	0.0394628402	-0.0784040357	0.0797312784	-0.0801246732	-0.0863124849	0.1695805568	0.0243495032	-0.0067862454	-0.0382828112	-0.0208717158	-0.0634779075	0.1019367262	-0.0649009229	0.068843072	0.063070867	0.087124493	-0.0468607593	-0.0179591515	0.0362052792	0.0509392988	-0.0237883344	0.0354840231	0.0104539202	-0.0445260632	-0.0995125155	-0.0591843529	0.0123828174	0.0521523412	-0.0019272141	-0.1158895311	-0.019050004	-0.06481294	0.1182536866	0.1144731177	0.1082614433	-0.0425344	-0.0040279999999999	0.00180917518336	1.6224783999999973e-05	-0.0130576	-6.400000000000156e-06	0.00017050091776	4.096000000000199e-11	-0.0315854	0.0079161	6.266463921000003e-05	0.00099763749316	6.91546e-05	0.0001179049	4.78235870116e-09	1.390156544401e-08	-0.000823823	7.960900000000002e-05	6.78684335329e-07	6.337592881000002e-09	-0.00045077	7.5163e-05	2.0319359290000002e-07	5.649476569e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
313.9580301091466	-0.0282959001453946	98569.6446700158	0.0008006579650381	305.6528680921616	0.0377349171159266	0.0014239239697458	93423.67577296434	212.5644496321417	-0.0186879009639824	0.0003492376424396	45183.645247415305	209.7584660610119	453.24234269959777	0.937347	19.352951	0.06163552	0.0415017	-0.0376704741	-0.0396144917	0.0447278863	-0.0132124539	0.0346666486	0.0371715366	0.0345691091	-0.052258255	0.0369682337	-0.0749969366	-0.1097574254	-0.0427270874	-0.0539183775	0.0503355454	0.0433579626	0.0913515299	0.0606097459	-0.0223836346	-0.1295770677	0.1182497381	0.0629749666	0.1309383579	0.0021727907	-0.0366710859	0.0694872409	-0.0977827935	0.1589594728	0.0775077715	0.0635946382	-0.0696356832	-0.1184501761	-0.0286850761	-0.0682031204	0.1825833061	-0.0546503169	0.0164205357	0.0740040898	0.0352217993	-0.0197592938	-0.1112052471	0.0265226783	-0.1414502928	-0.0113361727	-0.0147951566	-0.0105107759	-0.0480829642	0.0500086554	0.0378197614	0.032460551	-0.0982709378	0.1126151802	-0.067771073	-0.0184735338	0.0378504746	0.1163842453	0.2272811004	0.0256717729	0.0154463541	-0.0132681607	-0.0421348419	-0.0512048478	0.0546012743	0.0663216696	0.0049201738	0.0966965789	0.030643267	-0.1616240093	-0.1346802859	0.020331703	0.0792404151	0.034011126	0.0069631043	0.012389301	-0.0824411709	0.1787958834	-0.023898824	0.071655545	0.0889969312	-0.0488136986	-0.0424096248	-0.1008079341	0.1173073279	-0.0047834962	0.0960477353	0.0770700359	0.0761385169	-0.0376129456	-0.0317523048	0.1066180403	0.1363628881	-0.0213937079	-0.0270093012	-0.0814328537	0.0437459642	-0.0117164248	0.0693171516	0.0174499609	0.0922933478	0.0334592485	-0.0225363595	-0.133862512	0.0333101794	-0.0733348992	0.2894074621	-0.0212656614	0.0247753478	-0.0402080904	-0.0288897859	-0.1193114075	0.0976227103	-0.0820360679	0.0857853757	0.0815137319	0.1058085039	-0.0506840002	-0.067826065	-0.0569548522	0.1067726601	-0.0055730647	0.0312851891	-0.0704403431	-0.1500532573	0.0022214971	0.0110809599	-0.0833009602	0.0112283921	-0.0012602175	0.0115247274	0.0921141777	-0.0425849767	0.1178341246	0.112815636	0.1046092073	-0.0463274	-0.0037929999999999	0.0021462279907599	1.4386848999999985e-05	0.0275338	0.0405914	0.00075811014244	0.00164766175396	-0.027698	0.0038873999999999	1.5111878759999992e-05	0.000767179204	0.000141156	7.20014e-05	1.9925016336e-08	5.18420160196e-09	-0.000864052	-4.022900000000002e-05	7.46585858704e-07	1.618372441000002e-09	-0.000295726	0.000155044	8.745386707600002e-08	2.4038641936000003e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
313.99246177149706	0.034431662350471	98591.26604932504	0.0011855393722168	304.9087831133269	-0.744084978834735	0.5536624557274881	92969.3660196498	212.6833646187737	0.1189149866320065	0.0141407740456902	45234.21358556225	209.9083377144553	449.9799739152111	1.005988	20.770151	0.1008844	0.0738603	-0.021976245	-0.0274948145	0.0539313288	-0.0334965506	-0.0040139023	-0.005413736	-0.0753328409	-0.0027529931	-0.0753115697	0.1025298978	-0.0812360048	-0.0271081038	-0.0341176725	-0.0127262011	-0.0500820131	-0.0463409725	0.0406418051	-0.129464978	0.0177748894	0.0271509705	-0.0911129251	0.0487137007	0.0248892998	-0.0719793756	0.162350562	-0.0226271897	-0.1161172337	0.104615987	-0.0544329157	-0.0037861696	-0.0509836919	0.012046928	-0.0702599338	0.0879036788	-0.0068076698	0.0053358822	0.0386599381	0.0132256921	-0.1758472987	-0.0210308487	-0.0138225096	-0.0768389005	-0.0470862266	-0.099599052	0.0244526765	0.0253159775	0.014188621	0.2269414192	0.1384044266	0.0205804969	0.0569520232	0.1086384707	-0.027565019	0.0273512049	0.0713499401	0.1144010102	-0.0360859454	0.073275708	-0.0686377605	-0.0306462825	-0.0329632615	-0.0088389386	-0.0500661455	-0.0628311625	0.0200658508	-0.1431765056	0.0170660027	-0.0115264805	-0.0449297659	0.0869946406	-0.0080104255	-0.1033307757	0.1289423934	-0.1097667406	-0.05087337	0.112896696	-0.0128910216	0.055624744	-0.0032168761	-0.0378790073	-0.0994597811	0.0908419365	-0.0401322371	0.0180584315	0.0189021869	0.127937449	0.0402852781	-0.0535808895	-0.0354264799	0.1010614874	-0.0322856238	-0.112040447	0.0500885578	-0.0611519797	-0.0329249265	0.1093513115	-0.2133705837	0.0437995627	0.0402420341	0.0704894829	-0.0235713967	0.0131890651	-0.0222522028	0.1265614951	0.1341968854	0.0027503871	-0.028128496	0.003065187	-0.0317009252	0.0980816325	-0.052090869	0.0585204246	0.0497521739	0.0713708186	0.0476141039	0.0437260999	0.0488642678	-0.0223785174	-0.0097138465	-0.1040533712	-0.079674878	-0.0557452377	0.0404718629	-0.0526538207	-0.0368524048	0.0105499163	0.1148350128	-0.213233552	0.0693646407	-0.0183979699	0.1173552296	0.1109309587	0.1004830656	-0.0471899	-0.0008625	0.00222688666201	7.439062500000037e-07	-0.0446491	-0.0721829	0.0019935421308099	0.0052103710524099	-0.0370362	-0.0093381999999999	8.720197923999995e-05	0.00137168011044	0.000110139	-3.1017000000000005e-05	1.2130599321e-08	9.620542890000004e-10	-0.000624657	0.000239395	3.90196367649e-07	5.7309966025e-08	-0.00039533	-9.9604e-05	1.562858089e-07	9.920956816e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
