global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
267.05771373560134	n/a	n/a	71319.82246568639	260.22366725284047	n/a	n/a	67716.35699851703	197.1860997250835	n/a	38882.35792479057	n/a	197.21937351804792	282.404186598577	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.65626e-06	n/a	3.19932771876e-11	n/a	3.2007e-05	n/a	n/a	1.024448049e-09	-0.0180559	n/a	0.00032601552481	n/a	-0.00111449	n/a	1.2420879601000002e-06	n/a	-5.293960000000001e-23	n/a	2.802601248160001e-45	n/a	0.000316401	n/a	n/a	1.00109592801e-07
266.0892613290326	-0.9684524065687584	0.9379000637888196	70803.4949946302	255.0450880007433	-5.178579252097165	26.81768307025124	65047.996913306895	196.681814570412	-0.5042851546714928	38683.73618270993	0.2543035172220514	196.72973809675736	278.72582361169793	1.407218	24.534595	0.05429936376	0.0462283	-0.1073072603	-0.0798379179	0.0393622467	-0.0729436569	-0.1340727251	0.0551774072	-0.0288197611	0.0533031847	-0.00941115	0.0154055652	-0.0649833937	-0.0860147414	0.0862251529	0.0874621968	-0.070725606	0.0772370277	-0.0920619087	0.0365000799	-0.021723554	0.0498806559	0.0360203238	-0.1018587808	0.0480876764	-0.0555826122	0.0142856736	-0.1304019335	0.0086129597	-0.0088445288	0.0961676318	-0.1485831233	0.0947822001	-0.0178722459	0.0343318705	-0.0242778569	0.1242802886	-0.0526107375	-0.0415917749	0.1136355032	0.0524533958	-0.0079471621	-0.0104987278	-0.0061852439	0.0912610356	0.0253434794	-0.0573387344	0.0675746438	0.0776401382	-0.0817535393	-0.0211618552	-0.0601205228	0.1846834738	0.2356941343	-0.0388479808	-0.0486780667	-0.0333357567	0.0959801934	0.0141790772	-0.0878647788	-0.0207223628	0.0780641171	-0.0470876824	0.0955900996	-0.0729339818	0.0024380136	-0.0334832547	0.0023394765	-0.0705122322	0.0604710605	-0.1176692108	0.0433635463	-0.1577391713	0.0100395248	-0.0469974784	0.0067852897	-0.0409196792	0.1878230959	-0.0346066221	0.0622871923	-0.0280122474	0.1006240637	-0.0871230568	0.0882504722	0.0097918106	-0.033722354	-0.0139980374	0.0260460984	0.0488237508	-0.0287310243	-0.0555534457	0.0566193409	0.0544234451	0.0655846991	-0.1279532087	0.0667106433	0.0934620388	-0.0226715204	-0.2127915904	0.0959193742	0.0570700628	0.0849549172	-0.0980488964	-0.1541931187	0.0538269674	0.0161338345	0.0409486215	-0.1592254099	0.0769906363	-0.0112090735	0.0846741052	-0.0004615479	0.0769758901	-0.0820262717	0.1911451744	-0.0669340325	0.0810137391	-0.2318546367	0.0348109994	-0.122819709	0.0890775057	-0.1143323933	0.1434333814	-0.0161642871	0.0723955649	-0.0993140113	-0.0131511918	0.127127147	-0.0071880538	0.1217281892	-0.1852549986	0.1199443696	0.119921393	0.1198831019	0.0	-1.20745e-05	-1.773076e-05	1.4579355024999995e-10	3.1437985017760003e-10	0.00456824	0.004536233	2.0577409830289005e-05	2.0868816697600004e-05	0.0282016	0.0462575	0.00079533024256	0.00213975630625	-0.001087	2.7490000000000023e-05	1.1815690000000002e-06	7.557001000000013e-10	-1.30714e-22	-7.77744e-23	1.7086149796000001e-44	6.04885729536e-45	0.000358669	4.226799999999998e-05	1.7865838239999982e-09	1.28643451561e-07
265.9315720473587	-0.1576892816738677	0.0248659095548204	70719.60101157954	253.8509426981464	-1.194145302596894	1.4259830037142276	64440.301108737614	196.33529140508287	-0.3465231653291312	38547.546651118806	0.1200783041097203	196.35991488370027	277.9497886491451	1.283258	22.373388	0.04993306374	0.027198	0.004867423	-0.0979348181	-0.1087871473	0.1228171344	0.0273475919	0.0629283901	0.1108759388	0.0558838156	0.0417711649	0.0173355561	0.0686072846	-0.079103854	0.0573851509	-0.1000292291	-0.2076476311	0.0028628966	-0.1510082061	-0.0921004761	-0.1014440712	-0.0486220188	0.006960062	0.05191932	0.0487348437	0.0831963582	-0.1276326091	-0.036994381	-0.0043417562	0.0902214216	0.0300203266	0.0207025452	0.0842082697	-0.1026059646	0.1324838136	-0.0126370069	0.108521788	0.0865919621	-0.0578162087	-0.0290783308	-0.009778201	0.1354601109	0.0876648526	0.0194593845	-0.083941511	0.029804665	0.0803762447	0.0214934896	0.0042730511	0.0056668048	0.1093792432	0.2365642391	0.0229563498	-0.0818525364	0.0410540157	0.0638596224	-0.0332278093	-0.0442019468	-0.0239790415	-0.0347359168	0.1157517887	-0.0845271702	-0.2045064131	0.0138878698	-0.0630597564	-0.1586925241	-0.0814572006	-0.0839585987	0.0096137494	-0.0771334676	-0.0098681789	-0.0670934418	-0.0335587638	-0.0851509574	0.0238689073	0.0321928282	0.1312454503	0.0327928024	-0.0209851746	0.1006540744	0.1091996375	0.0380213575	-0.1421275458	-0.0633526671	0.0479821219	0.0518250635	-0.0222524322	0.1085304993	0.0669489431	0.0446914701	0.0313007388	-0.1455734085	-0.0899984797	-0.0237013097	0.0377924129	0.0319641827	0.0853402266	-0.1593948522	0.0904227671	-0.1708590663	-0.0736843051	0.0702709592	0.0266600957	0.0979717853	0.002108918	0.0516256936	0.0355559826	0.0630203047	0.1347952956	0.0864210784	0.0535494322	0.0583597733	-0.0237948473	0.1000139023	0.2800811616	0.0194074402	0.0323573224	-0.2391384954	0.1310245762	0.0029209116	-0.1150781018	-0.0353089312	0.1136623102	0.1371034017	0.0273246007	0.1055806886	-0.1258826478	0.0285241382	0.0331667932	-0.0458110782	0.0889319351	0.1198831019	0.1196764004	0.119332162	0.0	7.26424e-06	1.933874e-05	5.27691827776e-11	3.739868647876e-10	-0.00396755	-0.00853579	7.285971092410003e-05	1.57414530025e-05	0.0187637	-0.0094378999999999	0.00035207643769	8.907395640999998e-05	-0.00101291	7.409000000000018e-05	1.0259866680999998e-06	5.489328100000026e-09	-0.000142225	-0.000142225	2.0227950625e-08	2.0227950625e-08	-6.38167e-05	-0.0004224856999999	1.7849416670448998e-07	4.072571198889999e-09
265.88610507156346	-0.0454669757952501	0.0020672458879658	70695.42087012649	253.64407937452407	-0.2068633236223434	0.0427924346600823	64335.31900174986	196.51423727531792	0.1789458702350543	38617.84545189995	0.0320216244741809	196.4847350207242	277.43403998000844	1.286992	22.438488	0.06401947636	0.0385332	0.0902784251	0.0552158742	-0.0471495003	-0.0126447232	0.1065525607	0.0331799542	0.0229377534	-0.1101255755	0.123584701	-0.0224295282	-0.047997194	0.0275776352	0.0170558123	-0.1294751042	-0.0309040274	-0.2102291715	-0.1064784134	0.0138255473	0.0226545528	-0.0817293901	0.0312907247	0.004951413	-0.0982612753	0.0304303273	0.2664739431	0.0674473785	0.0566294009	0.1228301977	-0.0058587026	-0.0565380181	-0.1284811693	-0.0346263382	0.0400758979	-0.0845985738	-0.1108154615	0.0887830746	-0.1269497587	0.0869894245	-0.0044238915	0.1522721414	0.0630864134	-0.1678838631	-0.1288428816	-0.0496854283	-0.036982618	-0.1085039625	0.0275102278	-0.0033617394	-0.0853239062	-0.029168845	-0.105269451	-0.1267145142	0.0304161211	0.1661587164	-0.0922596429	0.1739916557	0.0802137364	0.0663768983	-0.0836409654	-0.1073030603	-0.0669162205	-0.2102682061	-0.1143788963	-0.0629490273	0.0230286491	-0.0300786534	0.0264041934	0.0270921715	0.0608601545	-0.0030630209	0.1522334626	0.26613166	0.1079306231	-0.021527047	0.014803441	0.0929610483	0.070809399	-0.0984020192	0.0898483992	-0.1424848356	0.0509207318	0.0752350523	0.1708619409	-0.0002761606	-0.073132174	0.1177531128	0.0445241835	-0.0085646383	0.1618176296	-0.1102460121	-0.0428530526	0.0653077502	0.0221799102	-0.178959187	0.004604565	0.1310474526	0.0741793104	-0.1268397022	-0.1305707737	0.0161868252	0.0770627136	-0.1523771651	0.0633682245	-0.0561951765	-0.0049760472	0.1058627706	-0.0947570077	0.0557897441	-0.0812150124	-0.0233059749	0.0195763755	0.0288336923	0.2170203925	0.0039285727	0.0579512087	-0.1629628281	0.0907338237	-0.0569296948	0.1001777335	0.1666654895	-0.082378311	0.1519627237	0.1661372218	-0.0667964085	-0.0432221483	-0.23692101	0.0208397144	-0.1452989127	-0.0244294744	0.1197605978	0.1191869159	0.1182328141	0.0	2.80936e-05	2.082936e-05	7.892503609600001e-10	4.3386223800960005e-10	0.0266474	0.03061495	0.0009372751635025	0.00071008392676	-0.00177862	-0.02054232	3.1634891044000004e-06	0.0004219869109824	-0.0008598959999999	0.000153014	7.39421130815828e-07	2.3413284196030573e-08	-0.000180344	-3.8119000000000006e-05	3.2523958336000004e-08	1.4530581610000002e-09	1.87784e-06	6.569454e-05	4.315772585811599e-09	3.5262830656000007e-12
266.06390201971533	0.1777969481518653	0.031611754772117	70789.99995795668	254.162650929632	0.5185715551079397	0.2689164577670669	64598.65312757797	196.71886297004724	0.2046256947293159	38698.31104822822	0.0418716749434551	196.72379474061907	279.0773872403443	1.268107	22.109228	0.0853662516	0.0492316	0.0237113702	0.0801034849	0.0251588225	-0.123412799	0.0702754269	-0.050539927	-0.1658332819	-0.0078697265	-0.0461772369	-0.0356635667	-0.0176406471	-0.0106606034	0.1083992249	0.0219354894	0.0816764219	-0.1003873968	-0.144810768	0.082314294	0.1188921851	0.2045585329	-0.0934782814	0.1484907535	0.0662470492	0.1437777073	-0.0504730865	0.0619941258	-0.1698735853	0.0175232325	-0.0531763906	0.0758026922	0.0007778368	0.0432226693	0.1200228111	-0.10638073	0.1293367146	0.0612359223	0.0599414651	0.036613073	0.138715555	0.0761233414	0.0164059561	-0.0274690808	-0.1019357161	0.1704946016	0.0629112172	0.1675817394	0.0237568834	0.0282947932	-0.0238923221	-0.0747722326	-0.0887002237	-0.0225658994	-0.0965697253	-0.0881673526	0.0448417639	0.0901953642	-0.0126435611	-0.1171731346	-0.0893180445	0.0224733319	0.0717949953	-0.0796556419	-0.1808807529	-0.0175222396	0.0654024918	0.2415684389	0.0741987848	-0.1528730531	-0.0253358678	-0.0801051838	0.0386046518	-0.0529762832	-0.1472069104	-0.0540885865	0.1082466964	-0.1132108509	-0.0428944459	-0.0603495436	0.0956801848	-0.0340700873	-0.1836394141	0.0063749897	0.0231283306	-0.1334611056	0.005475791	0.125018193	-0.0333812992	-0.0836508776	0.0148353833	-0.2045832973	0.0413902871	-0.0546245306	-0.0344519539	0.1564452399	-0.0821364037	0.0220308513	-0.0341160441	0.1017728732	-0.0539293737	-0.0712055734	0.1094948754	-0.0369548893	0.0913793987	0.0086620158	0.0337922849	-0.138161157	-0.0634039206	-0.0274134662	-0.0572230546	0.1434909039	-0.0581237014	-0.1183928942	0.1176710339	-0.0137013528	-0.0699789686	-0.1616477944	-0.1057240974	-0.1725798629	0.0403875761	-0.0644444414	0.144258641	-0.0862539372	-0.2356312365	-0.0635734629	0.0055954007	-0.1012530723	-0.1198862782	-0.0297118041	-0.0201101252	0.1195769199	0.1184539393	0.1165901104	0.0	-0.0125468	-0.0125748936	0.00015742219024	0.0001581279490513	0.0389305	0.0122830999999999	0.0001508745456099	0.00151558383025	0.0410994	0.04287802	0.00168916068036	0.0018385245991204	-0.00101291	-0.000153014	1.0259866680999998e-06	2.3413284196030573e-08	4.58067e-24	0.000180344	2.09825376489e-47	3.2523958336000004e-08	2.11246e-05	1.924676e-05	3.704377704976e-10	4.4624872516e-10
266.3224696371867	0.2585676174713853	0.0668572128048286	70927.65783365024	253.93998831459888	-0.2226626150331299	0.0495786401333918	64485.51766521861	196.79617547540457	0.0773125053573267	38728.734681746224	0.0059772234846266	196.7982411066691	280.4734327534066	1.333246	23.244907	0.079555975	0.0416653	-0.072948625	0.058166357	0.0912132707	0.1544623155	-0.072843383	-0.1230352672	0.0659864579	0.093740969	-0.0260606434	-0.0499516794	0.0528125917	-0.0667586382	-0.0412415517	0.1384611123	0.0318271469	0.0690323314	-0.0615441851	-0.0512365171	0.1203527437	0.1188613304	-0.1032102304	0.0162993743	0.0767450919	-0.0759648605	0.0729061808	0.1081030218	-0.0855048595	0.1118125222	-0.0581255236	0.0029769566	-0.0504050811	-0.0448009852	0.0701099832	0.0074439972	0.0800649124	0.0894325629	-0.0671003311	0.113594851	0.1538631885	0.0421129949	0.1765892402	0.0312965086	0.0316241061	-0.1286190153	-0.0207694137	-0.1385811817	0.0521470932	-0.0443742017	-0.0045044116	-0.0406313203	0.0068401812	-0.1158362387	-0.0340222048	-0.0253601032	0.1553839952	-0.0021855114	0.0270617431	0.1254039297	-0.0836300479	0.1280844382	0.035381181	0.0755308908	-0.0226739895	-0.0706014029	0.078134353	0.1659696041	0.0718733959	0.0001216807	-0.0624987901	0.1555769362	0.1041440774	0.0439763815	-0.0559950707	0.0633060902	0.1066326478	0.002852076	0.0368843908	-0.0014007946	0.0657750834	0.0746716056	-0.0651636849	0.0580804122	0.1537030124	-0.1660417554	0.0333718283	0.139071303	0.0297766683	0.1453616812	0.010913772	0.0640871145	-0.0266475351	-0.0201129994	-0.0805469424	-0.149030304	0.0148859941	0.0611852135	-0.0260019139	-0.0179388406	0.0421761302	-0.1024843203	0.129318625	-0.015105453	-0.1161892251	-0.0190955234	-0.1558485203	-0.0072458147	0.1121228168	-0.1403142808	0.0288643272	-0.0390860039	-0.1468017809	-0.0280394155	0.1149974862	0.0814925473	0.0451107772	-0.1186962305	0.1145666999	0.0202186668	-0.038948271	0.2215810319	-0.0056503179	0.0828048058	-0.0809117626	0.0767333174	0.0703224512	-0.1347551085	0.0540934123	-0.0539179133	0.0279504141	0.119332162	0.1174789681	0.1144116002	0.0	-0.00204521	0.01050159	4.1828839441e-06	0.0001102833925281	0.00743521	-0.03149529	0.0009919532921841	5.5282347744100005e-05	0.0185947	-0.0225047	0.0003457628680899	0.00050646152209	-0.000909507	0.0001034029999999	8.272029830490001e-07	1.0692180408999969e-08	-8.49589e-05	-8.49589e-05	7.218014689210001e-09	7.218014689210001e-09	-9.16014e-05	-0.0001127259999999	1.2707151075999996e-08	8.390816481959998e-09
266.16834945204005	-0.1541201851466667	0.0237530314696428	70845.5902500233	253.18474724475115	-0.7552410698477274	0.5703890735847399	64102.516237388525	196.943447148912	0.147271673507447	38786.7213748963	0.021688945817684	196.96492320552017	280.69583352641	1.314725	22.922005	0.057941365	0.0280162	-0.0907924591	-0.0963807848	0.0640486159	0.0315530799	-0.1225708509	0.0523742739	0.0823405882	-0.0556507252	0.0475390757	0.0137122968	-0.065331772	-0.0896367336	0.0436075375	0.1294480389	-0.0445495671	0.0137309059	0.0978555612	-0.1037154964	-0.0248561896	0.0287477003	-0.0163067318	0.0332026353	0.044279174	0.0285347032	0.0528458966	0.0473478289	0.0671668283	0.0317389279	0.029391993	0.0465812642	0.0720415183	0.151259397	-0.0895160661	0.0284558452	-0.0951935654	0.0776159018	-0.080060128	0.0488332584	0.0522041232	0.0999201364	0.077860192	0.0035738967	0.0421777044	-0.1680857563	0.1206774152	-0.0401804428	0.0479394344	0.0382211371	0.0333827523	-0.0810342436	0.0449573953	-0.0652705104	-0.0482193029	-0.1998480984	-0.0077556272	0.0202278498	0.0028656081	-0.0251438344	0.0471823912	0.1301281884	-0.0350499583	0.0188576305	0.122057582	-0.0279889398	-0.0091055965	0.0189418273	-0.0042458726	-0.0433364203	-0.0111377265	0.0136051018	0.0611247546	0.0026884948	0.0838790313	-0.0526967598	0.0291431052	-0.0321016898	-0.1078077477	-0.0528192885	-0.1444807982	-0.0561192461	0.0393165554	-0.0359866661	0.0903937777	-0.0160821029	-0.0274416971	0.1209646221	0.0662304838	0.0789297059	-0.0146358488	0.1065514594	-0.1676817251	0.005754569	-0.0322699407	-0.0174253559	-0.0523006937	-0.0346686886	0.0223817033	0.0221113133	0.1271380611	-0.1467040947	0.0438385158	-0.0199148677	0.1370213079	0.0370142712	0.0433177051	0.0873038385	-0.016347001	-0.0257374949	0.1491445799	0.0068285696	0.1445148031	-0.1401129737	0.0890044433	-0.0548756398	0.0089092117	-0.0870377885	0.0621145713	-0.0884803952	-0.0064602631	0.1850453991	-0.0355968563	-0.1190354533	-0.0041129583	-0.077840388	0.0848915026	0.0085095932	0.0081577312	-0.0404255101	0.0512092013	0.1190264491	0.1162639941	0.1117072952	0.0	-0.0126825	-0.0106372899999999	0.0001608458062499	0.000113151938544	0.0142257	0.00679049	4.611075444010001e-05	0.00020237054049	-0.00136752	-0.01996222	1.8701109504000003e-06	0.0003984902273283	-0.00070677	0.000202737	4.995238329e-07	4.1102291169000023e-08	-0.0	8.49589e-05	0.0	7.218014689210001e-09	3.173e-05	0.0001233314	1.5210634225959997e-08	1.0067929e-09
265.62495598550413	-0.5433934665359175	0.2952764594739213	70556.617242301	253.6632415836324	0.4784943388812621	0.2289568323414161	64345.04013071626	196.83730940983213	-0.1061377390798838	38744.92637570199	0.0112652196569895	196.8512241305727	277.4026633567646	1.26433	22.043367	0.0747830106	0.0376953	0.0400050099	-0.1465677404	-0.0034261267	-0.0794870075	-0.032904168	0.1253540252	-0.0747851957	-0.0887228995	-0.1373155159	0.0669906506	0.0611866612	-0.0750603664	-0.0316122299	-0.0190985102	-0.0941631381	0.0246205521	0.1278564438	0.0367145566	0.0620891716	0.0248088082	0.0626987097	0.1394420356	-0.0226634264	0.0785629607	-0.0070138491	-0.0859546823	0.0402598675	0.0001900375	-0.025239592	0.0403240358	-0.0471994082	0.054847929	0.0856576467	0.0207717518	-0.0506643957	0.0596381258	0.0702107921	-0.1793028119	0.0428814276	0.0122034177	0.0753671013	-0.0475534396	-0.0702141744	-0.0411354543	0.039958314	-0.029876877	0.1215075681	0.0920439781	-0.0579800777	-0.0781176196	0.1455218357	0.043603864	-0.0404198257	-0.0037999918	-0.1206081108	0.0601926699	-0.1683659065	0.0795706865	0.0603795603	-0.0081898898	-0.0943823717	0.0183923783	0.0758665462	0.1047704639	0.0813159749	0.026689774	-0.0621167062	-0.1426908552	0.0506605036	-0.0837076052	-0.0300121255	-0.0047461618	0.0575905547	0.0174525948	-0.0340573051	-0.0316833841	-0.0010482925	-0.0866237931	0.0662287683	-0.0536446729	-0.0105919391	-0.1505531917	-0.0417781503	0.0182222005	0.1020016958	0.0420780123	-0.1046950027	0.0670737356	0.003034355	-0.07759906	-0.1129218869	0.0991302436	0.0287399336	-0.029494524	0.0133042687	0.0466424615	-0.0832402499	0.003018563	0.0788596774	-0.0473880672	-0.0964163825	-0.117395108	0.0015205545	0.178486437	-0.0101766001	-0.0498362571	-0.0309651217	0.1570352881	0.098240837	0.1326703606	-0.0624310037	-0.0480792314	0.0201024586	-0.0450099724	-0.0224923043	-0.0787411287	0.0180590962	-0.137349009	0.0770887849	-0.0387848169	-0.0684989325	0.0740249644	0.0177680727	-0.0576552891	-0.0306928765	0.116179019	-0.0026507398	-0.098040198	0.2207571792	0.1186599374	0.1148114994	0.1084896234	0.0	2.90906e-05	0.0127115906	8.4626300836e-10	0.000161584535582	0.0248594	0.0106337	0.0001130755756899	0.00061798976836	0.026173	0.02754052	0.0006850259289999	0.0007584802418704	-0.000907928	-0.000201158	8.24333253184e-07	4.0464540964e-08	-0.00017029	-0.00017029	2.89986841e-08	2.89986841e-08	0.000138226	0.000106496	1.1341398016e-08	1.9106427076e-08
265.4354984089929	-0.1894575765112449	0.0358941732975142	70456.00381563047	253.31053926316605	-0.3527023204663635	0.1243989268623573	64166.22930179599	196.9227083439364	0.085398934104262	38778.55306151103	0.007292977946144	196.9610209320531	273.8492151451228	1.196362	20.858372	0.0593570755999999	0.0271937	0.1483504994	-0.0611750528	0.0263475335	-0.0237285884	0.0722429448	0.0874212995	-0.0592871613	0.0403924247	-0.1872027225	-0.0808347674	0.0102011607	0.0179184535	-0.1566865516	-0.1338601571	0.0057360191	0.0718848661	-0.0552041998	0.0583442339	-0.0043298755	0.1417146432	0.113575286	-0.2317443465	-0.034420433	0.0245930566	-0.0468427792	-0.0478600894	-0.0754820305	-0.1263367387	0.0389079609	0.0290838092	0.1362865945	-0.0122746846	-0.0950498203	0.0570498388	0.0344236932	-0.0399364845	-0.0494400266	-0.1111432569	-0.1001966913	0.1573787996	-0.0797049256	-0.0097899812	-0.1510213558	0.0348613963	0.0374215938	-0.0381366973	0.0055490194	0.2015934831	-0.1001580732	0.0517379486	-0.1450389687	-0.1471582135	-0.0058115228	-0.0584601649	-0.0100290612	-0.0744577206	-0.0100761224	0.0799164806	-0.0219104289	-0.1369038399	0.0036222704	0.0756336063	-0.0687691306	0.0207308819	-0.050675931	0.1046821634	-0.138197989	0.2123082216	-0.07308489	-0.118679132	-0.0782606415	-0.0331715029	-0.0773546606	-0.0460587702	-0.0638549963	-0.050770181	-0.0360484007	0.129516999	-0.0673835555	0.008751206	0.0080335946	-0.0658356071	-0.043623375	0.1881759904	0.0039501802	0.0467889521	0.0732660298	-0.0390964581	0.0892404304	-0.1349532065	-0.0534333616	0.0356183687	0.1553438291	-0.0292761724	-0.0597868958	0.0588506515	0.1980527606	0.0634488314	0.0392034855	-0.1247726098	0.0855171613	0.0738019166	-0.0790900122	-0.016080448	-0.1651437769	-0.0894125049	0.0537463785	0.1143900747	-0.0810604575	-0.0816228179	-0.115079797	-0.090161732	-0.0221047658	0.0032868486	0.0946501409	-0.1494672471	-0.077362584	-0.0310706602	-0.0037961333	0.0102634542	0.2333550834	-0.0596524362	-0.1490301289	0.0159663169	-0.0746188803	0.1112218102	-0.0556702435	0.120932858	0.0018936954	0.1182328141	0.1131244514	0.104773372	0.0	-0.0086254999999999	-0.0086545905999999	7.439925024999829e-05	7.490193845360663e-05	0.00524474	-0.01961466	0.0003847348869155	2.7507297667600004e-05	0.0393508	0.0131778	0.00154848546064	0.00017365441284	-0.00078983	0.0001180979999999	6.238314289000001e-07	1.3947137603999992e-08	-6.6174400000000014e-24	0.00017029	4.3790512153600007e-47	2.89986841e-08	6.84135e-05	-6.98125e-05	4.873785156249999e-09	4.6804069822500005e-09
