onset	duration	trial_type	trial_code	response	RT	money	carbon
5.7914	10	CET	c4_m2	LEFT	3.0485999999999995	50	40
20.8336	10	CET	c1_m1	LEFT	2.6862999999999992	10	2
36.1248	10	dummy	dl0	LEFT	2.2351000000000028	0	0
51.1746	10	CET	m5_c2	LEFT	2.4413000000000054	120	10
66.967	10	CET	c3_m5	RIGHT	2.8489000000000004	120	25
83.2587	10	CET	m0_c2	RIGHT	2.877200000000002	0	10
99.5588	10	CET	c5_m0	LEFT	2.3211000000000013	0	50
114.6004	10	dummy	dr0	RIGHT	2.1754999999999995	0	0
130.6416	10	CET	m4_c5	RIGHT	2.6382999999999868	100	50
147.4338	10	CET	c3_m2	LEFT	2.662000000000006	50	25
162.9755	10	CET	m1_c3	RIGHT	2.6803999999999917	10	25
178.0172	10	dummy	dl1	LEFT	2.5586999999999875	0	0
193.0672	10	CET	c0_m0	RIGHT	3.86869999999999	0	0
208.3589	10	CET	c4_m1	LEFT	1.9369000000000085	10	40
224.9006	10	CET	m4_c3	LEFT	1.8992000000000075	100	25
240.9418	10	dummy	dr1	RIGHT	2.1939999999999884	0	0
256.734	10	CET	c5_m5	RIGHT	2.4418000000000006	120	50
273.0251	10	CET	m1_c0	LEFT	3.9266999999999825	10	0
290.0674	10	dummy	dr3	RIGHT	3.0843999999999596	0	0
306.6085	10	CET	m3_c3	RIGHT	2.727300000000014	80	25
322.9008	10	CET	m3_c5	RIGHT	3.034999999999968	80	50
338.1925	10	CET	m2_c1	LEFT	2.3192999999999984	50	2
354.7342	10	CET	c1_m0	LEFT	2.721499999999992	0	2
371.7753	10	dummy	dr2	RIGHT	1.8003999999999678	0	0
387.817	10	CET	m2_c2	LEFT	2.598700000000008	50	10
403.3592	10	CET	m4_c0	LEFT	2.9764999999999873	100	0
418.9009	10	CET	c0_m5	RIGHT	2.6908000000000243	120	0
435.1926	10	dummy	dl3	LEFT	1.7590999999999894	0	0
451.9836	10	CET	m4_c1	LEFT	2.2081000000000017	100	2
467.2843	10	CET	c4_m4	LEFT	3.131400000000042	100	40
483.3254	10	dummy	dl2	LEFT	2.1462999999999965	0	0
498.3677	10	CET	c0_m2	RIGHT	2.863999999999976	50	0
514.9094	10	CET	c4_m3	LEFT	3.602300000000014	80	40
530.7011	10	CET	m5_c4	LEFT	2.090599999999995	120	40
546.4928	10	CET	c4_m0	LEFT	2.4429000000000087	0	40
561.5506	10	dummy	dl4	LEFT	2.824999999999932	0	0
578.3423	10	CET	c2_m4	RIGHT	2.553299999999922	100	10
593.3845	10	CET	m5_c1	LEFT	3.2070999999999685	120	2
609.9262	10	CET	c5_m1	LEFT	2.489400000000046	10	50
625.7174	10	dummy	dr4	RIGHT	1.6341999999999643	0	0
640.7591	10	CET	m0_c3	RIGHT	3.1924999999999955	0	25
657.5513	10	CET	c0_m3	RIGHT	2.4243000000000166	80	0
674.343	10	dummy	dl5	LEFT	3.2086000000000467	0	0
689.8847	10	CET	m3_c2	LEFT	3.170900000000074	80	10
705.1764	10	CET	m2_c5	RIGHT	2.6952	50	50
721.4681	10	dummy	dr5	RIGHT	2.4273999999999205	0	0
737.0098	10	CET	c1_m3	RIGHT	3.837699999999927	80	2
753.8015	10	CET	m1_c2	RIGHT	3.0700999999999112	10	10
