onset	duration	trial_type	trial_code	valence	arousal
5.5181	15	NEU	NEU24	7	none
22.5515	11	Q	Q_NEU24	7	none
40.6099	15	CON	NEU5	6	none
57.6349	11	Q	Q_NEU5	6	none
75.4432	15	CON	NEU3	7	none
92.4683	11	Q	Q_NEU3	7	none
109.035	15	NEU	NEU6	none	4
126.06	11	Q	Q_NEU6	none	4
143.3683	15	CON	NEU2	none	none
160.3934	11	Q	Q_NEU2	none	none
178.2017	15	NEU	NEU12	7	6
195.2267	11	Q	Q_NEU12	7	6
213.0351	15	NEU	NEU30	none	none
230.0601	11	Q	Q_NEU30	none	none
246.6185	15	CON	NEU22	none	4
263.6435	11	Q	Q_NEU22	none	4
