onset	duration	trial_type	trial_code	valence	arousal
7.2655	15	CON	NEU16	6	none
24.2905	11	Q	Q_NEU16	6	none
41.3489	15	NEU	NEU14	7	none
58.3739	11	Q	Q_NEU14	7	none
75.1906	15	NEU	NEU15	none	6
92.2156	11	Q	Q_NEU15	none	6
110.274	15	CON	NEU26	6	none
127.299	11	Q	Q_NEU26	6	none
143.8573	15	CON	NEU25	none	4
160.8823	11	Q	Q_NEU25	none	4
177.6907	15	NEU	NEU29	6	none
194.7157	11	Q	Q_NEU29	6	none
212.2741	15	CON	NEU4	none	3
229.2991	11	Q	Q_NEU4	none	3
247.6075	15	NEU	NEU21	6	4
264.6408	11	Q	Q_NEU21	6	4
