onset	duration	trial_type	trial_code	response	RT	money	carbon
5.7895	10	CET	c4_m2	LEFT	2.9703999999999997	50	40
20.8312	10	CET	c1_m1	LEFT	5.368300000000001	10	2
36.1229	10	dummy	dl0	LEFT	6.540999999999997	0	0
51.1646	10	CET	m5_c2	LEFT	8.939300000000003	120	10
66.9563	10	CET	c3_m5	LEFT	9.067599999999999	120	25
83.2563	10	CET	m0_c2	RIGHT	3.1676000000000073	0	10
99.548	10	CET	c5_m0	LEFT	3.995899999999992	0	50
114.5897	10	dummy	dr0	RIGHT	1.7542000000000115	0	0
130.6314	10	CET	m4_c5	RIGHT	3.8884999999999934	100	50
147.4314	10	CET	c3_m2	LEFT	4.832400000000007	50	25
162.9731	10	CET	m1_c3	RIGHT	3.0667000000000257	10	25
178.0148	10	dummy	dl1	LEFT	1.8249999999999886	0	0
193.0648	10	CET	c0_m0	NONE	10.0	0	0
208.3482	10	CET	c4_m1	LEFT	3.87560000000002	10	40
224.8899	10	CET	m4_c3	LEFT	8.053899999999999	100	25
240.9316	10	dummy	dr1	RIGHT	1.748199999999997	0	0
256.7316	10	CET	c5_m5	LEFT	6.1322999999999865	120	50
273.0233	10	CET	m1_c0	LEFT	4.976499999999987	10	0
290.0733	10	dummy	dr3	RIGHT	1.9663999999999646	0	0
306.6234	10	CET	m3_c3	LEFT	7.032300000000021	80	25
322.9151	10	CET	m3_c5	RIGHT	4.644600000000025	80	50
338.2067	10	CET	m2_c1	LEFT	5.288999999999987	50	2
354.7484	10	CET	c1_m0	LEFT	3.5072999999999865	0	2
371.7985	10	dummy	dr2	RIGHT	1.4972000000000207	0	0
387.8485	10	CET	m2_c2	NONE	10.0	50	10
403.3985	10	CET	m4_c0	LEFT	2.497199999999964	100	0
418.9402	10	CET	c0_m5	RIGHT	2.1154999999999973	120	0
435.2403	10	dummy	dl3	LEFT	1.6154000000000224	0	0
452.0403	10	CET	m4_c1	LEFT	2.2953999999999724	100	2
467.3319	10	CET	c4_m4	LEFT	5.3478000000000065	100	40
483.3737	10	dummy	dl2	LEFT	1.6820000000000164	0	0
498.4237	10	CET	c0_m2	RIGHT	2.7758999999999787	50	0
514.9737	10	CET	c4_m3	LEFT	2.7618999999999687	80	40
530.7654	10	CET	m5_c4	RIGHT	6.970199999999977	120	40
546.5571	10	CET	c4_m0	LEFT	2.9785000000000537	0	40
561.5988	10	dummy	dl4	LEFT	2.0008000000000266	0	0
578.3905	10	CET	c2_m4	RIGHT	4.945100000000025	100	10
593.4405	10	CET	m5_c1	LEFT	2.3351000000000113	120	2
609.9739	10	CET	c5_m1	LEFT	2.745700000000056	10	50
625.7656	10	dummy	dr4	RIGHT	1.7940000000000964	0	0
640.8073	10	CET	m0_c3	RIGHT	2.432299999999941	0	25
657.6073	10	CET	c0_m3	RIGHT	2.488200000000006	80	0
674.399	10	dummy	dl5	LEFT	1.6965999999999894	0	0
689.9407	10	CET	m3_c2	LEFT	5.738799999999969	80	10
705.2324	10	CET	m2_c5	RIGHT	2.647100000000023	50	50
721.524	10	dummy	dr5	RIGHT	1.39549999999997	0	0
737.0824	10	CET	c1_m3	RIGHT	2.5330999999999904	80	2
753.8575	10	CET	m1_c2	RIGHT	2.622000000000071	10	10
