global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02
282.9376834018452	n/a	n/a	80053.7326888028	269.4221239961263	n/a	72588.28089858405	n/a	184.42365997000087	n/a	34012.0863567305	n/a	184.56910272844607	331.6199688393868	n/a	n/a	n/a	n/a	-0.0280829925	-0.0068659561	0.015748416	-0.0351568912	0.2007807137	0.040901129	-0.0085383171	0.2130871006	-0.5293766573	0.0003748335	-0.3131075447	0.1131611314	-0.1386266487	0.0665444985	-0.3598157857	0.1004682917	-0.3695881517	0.0763396572	-0.0341411796	-0.0749749225	0.0366649163	-0.0664701453	-0.0373471184	0.0428479328	-0.1051278081	0.0730329995	-0.0498788393	0.0536551305	-0.1431733682	-0.0549170367	0.0516010971	-0.021251207	0.1078791653	-0.0656851594	0.0229012707	-0.1622999564	0.0009482619	-0.1070328987	0.0648683604	-0.0120531154	0.0360135414	0.0480236475	-0.0093319394	0.0082179641	0.0047580425	-0.0653108852	0.0735469337	0.1155583397	-0.0922223939	-0.0487453567	0.0831496175	0.1028041757	-0.0688802311	-0.0181002265	0.0206284184	0.0142925152	0.0497205923	0.1259509729	-0.0653067346	0.1051237507	0.0082479611	0.0431276644	-0.0308973111	-0.0623111796	-0.0179487195	0.0051338425	0.1216665591	0.0593281673	-0.1167623831	-0.0391180293	-0.0558267577	0.0832389049	0.052538819	-0.0097761529	0.0560271092	-0.0193624097	0.2036817419	-0.1058929615	0.1315576658	-0.0246515984	0.0786833102	-0.1642878509	0.0617750903	-0.0066677629	0.0183013754	-0.0129764305	0.1268424832	-0.0874772689	0.0496783281	-0.1527370096	0.0937680464	-0.1266169446	0.0945787602	-0.0206517073	0.0254470408	-0.0706643426	0.0844956722	0.0145688387	0.0245728561	-0.0903650112	0.0354092493	0.036348783	0.0775868181	-0.1439508042	0.0671436352	-0.1888372837	-0.1096978611	0.0494459822	0.0440724896	0.0025820057	-0.0977826704	-0.0823956539	-0.0348564626	0.0789528689	0.0952273725	-0.0684762625	-0.1270957381	0.0305576919	0.0266038882	0.0351619654	0.0076868699	0.0253656605	-0.0727490564	-0.1187342397	0.0790377461	-0.0388290458	0.014904235	-0.0828411146	0.0178899432	-0.1081872234	0.1255873594	0.0639103369	-0.1375669558	0.0679746965	-0.2210089088	0.0184941063	-0.1121803052	0.0214970509	-0.006189591	0.3800891726	-0.1239037653	0.3327345524	-0.086067178	0.2487691966	-0.2035107869	0.1310048335	-0.1218437123	0.0036309796	0.1195153378	0.1194927693	0.1194551582	0.0511395	n/a	n/a	0.0026152484602499	-0.0444498	n/a	0.00197578472004	n/a	-0.0130893	n/a	n/a	0.00017132977449	0.000204499	n/a	4.1819841001e-08	n/a	-9.98564e-05	n/a	9.971300620960001e-09	n/a	0.0	n/a	0.0	n/a	0.0	0.0	0.0
281.70488046964294	-1.2328029322022758	1.519803069646529	79357.63968041581	264.7499607314303	-4.672163264695996	70092.54170729389	21.829109571974747	184.3440289009203	-0.0796310690805626	33982.72099142334	0.0063411071629133	184.28801059474907	317.96960562112565	1.36571	27.885872	0.1299050199999999	0.0644367	0.0868393237	0.0879821899	0.0514070465	-0.0353320566	0.2735890204	0.0490114298	-0.0802760663	0.0666826418	-0.3187161322	-0.058311255	-0.0923607581	-0.0395584479	0.1363689433	0.0833812241	-0.140567541	-0.0442552905	0.2030030971	-0.1992423445	-0.1620520382	-0.0477580572	-0.0581052589	-0.0641566369	-0.0212545455	0.0643089475	-0.0220668165	0.0402157803	-0.0773081181	0.1252241619	-0.1834125334	0.0422102152	0.042053937	-0.0785854723	-0.0145776668	0.0028891841	-0.0340662834	-0.0987701467	0.0408518305	0.0149545873	0.0574441804	0.0163220148	-0.0545933162	-0.0468514706	0.0261586075	-0.001659348	-0.0983394079	-0.0349668853	0.1813147882	0.0086376432	-0.0977879821	-0.0871910356	-0.0853408644	0.0692303071	0.0967024146	-0.0067532653	0.0449086782	0.1930190036	-0.0476281994	0.216001838	-0.0241578259	-0.0428904367	0.0419386602	0.0121892706	-0.022020667	-0.1233297425	0.0216689138	-0.1029359323	0.005866933	-0.0322307033	0.030511189	-0.0330302254	0.0771477307	0.1048365677	0.0417184964	0.0879924519	-0.0510911616	-0.0191335384	0.094449011	0.0096138128	0.0272491784	0.0180556984	0.0987091216	-0.1676832166	0.1059285995	-0.0236610253	-0.0203365733	-0.1139111928	0.0422005736	0.0790439788	0.1043341415	-0.0758467169	0.04463392	0.0366103344	0.0406453693	0.0653801785	-0.0308413013	-0.0750364466	-0.06554945	-0.0242932794	0.1955497944	-0.099237166	-0.0728467504	-0.0643001075	0.044279827	0.0454699952	-0.0747243574	-0.1323180771	-0.1529617534	0.0835075403	0.1186144769	-0.1214948288	-0.0475888407	0.2532411473	0.024948275	-0.0037902411	0.0165453073	-0.0528125049	0.0938970064	-0.0371616071	-0.1765421686	0.0843265234	0.0458234718	0.0295810965	0.0886314735	0.0443549691	0.0699662028	-0.0505022241	0.0930490044	0.0290112466	0.0228854512	-0.0533769614	0.1038715357	-0.0386277422	-0.2456485827	-0.0113989993	-0.2037283425	0.0870002232	0.2317924342	0.1334608852	-0.0494437527	0.0954967688	-0.0106791737	0.1350791079	0.0348593036	0.1177201052	0.0703871288	0.015794358	0.0034034701	-0.0107451003	0.1194551582	0.1192521267	0.1189139965	0.0295621	-0.0215773999999999	0.0004655841907599	0.00087391775641	-0.0872027999999999	-0.0427529999999999	0.0076043283278399	0.0018278190089999	-0.0304137	-0.0173243999999999	0.0003001348353599	0.0009249931476899	0.000809197	0.000604698	6.54799784809e-07	3.65659671204e-07	-0.0	9.98564e-05	0.0	9.971300620960001e-09	-0.00026045	-0.00026045	6.78342025e-08	6.78342025e-08	0.0	0.0	0.0
281.7178188377458	0.0129383681028798	0.0001674013691656	79364.92945069697	264.1136610904009	-0.6362996410293817	69756.02597457515	0.40487723317412	184.13045459027904	-0.2135743106412633	33904.024307622814	0.0456139861658908	184.1098442496471	317.29036078352163	1.091609	22.289114	0.106342	0.0602246	0.0680499847	0.1149983063	0.0458202981	-0.0384226525	0.2530899778	0.0638599468	-0.058064584	0.0342112954	-0.1518961285	0.0011672674	-0.0017478332	-0.0433933999	0.0928668911	-0.0254589268	0.0122881633	-0.1088850929	0.1819889205	0.0429834285	0.039244179	-0.0588936881	-0.0630892189	-0.0587001993	0.0755965289	-0.0429351618	-0.02939359	0.007209259	-0.0425733572	0.0659031611	-0.0898922417	-0.0472470571	0.1236508976	-0.0369179008	-0.0040864492	0.2038517354	-0.0315625452	0.0328919544	-0.0875546607	0.0339959411	-0.0726910018	-0.0827527426	0.0093150112	-0.0590735768	-0.060005153	-0.0605587851	-0.0310892722	-0.0100226736	-0.0123736402	0.0741090152	0.0641933055	-0.1749918398	0.014733316	-0.023478763	0.085269902	0.0434244532	-0.0062028411	-0.0383328941	0.0087385071	0.018142859	-0.0343024886	0.1090327729	0.0462658246	-0.0450677909	-0.0066488841	0.1696359759	-0.014350669	-0.0307820825	-0.011401564	0.1319535346	0.2276341438	0.0052901813	-0.1791896897	-0.0492365331	0.0543341143	0.0742513551	-0.0259486968	0.0562384406	0.0627317253	0.0137414738	0.0660271225	0.0097383682	0.0359041237	-0.0584547481	0.0791480327	0.1116754312	0.0931476702	-0.1160134099	0.0134294507	0.161423429	0.0017600926	-0.0881473045	-0.1066959989	0.0830685638	-0.0325402492	-0.0971352554	-0.0287307128	0.0040338358	0.0153181662	0.0509950844	0.0531281327	-0.0419441269	0.1995182007	-0.09860756	0.0303865694	0.0955124527	-0.0334612725	0.0045386296	-0.0653242689	-0.0174110606	-0.0244324295	0.0446791058	0.0369411287	-0.0111336428	-0.0342483577	-0.0876405225	0.05744644	-0.0664756072	-0.1517751106	-0.0462506915	0.0896075687	-0.0245411964	0.2330109137	-0.1341401191	0.160441518	0.0612193714	0.0567151194	-0.00521159	0.1132139197	-0.004431219	0.0886919346	-0.04297953	0.0009902861	0.0552013997	-0.2060369917	0.071397688	-0.0645247224	0.1900890107	0.1430622865	0.2887518398	0.0154767167	0.1198435389	-0.0471924011	-0.1197977309	0.1206806426	-0.168934597	0.1492828989	0.0065372534	0.0911995033	0.0673293634	0.1193348294	0.1187713263	0.1178341246	0.0182149	-0.0113472	0.00012875894784	0.0003317825820099	-0.0335578	0.0536449999999999	0.0011261259408399	0.0028777860249999	-0.0472989	-0.0168852	0.00028510997904	0.0022371859412099	0.0008568929999999	4.76959999999e-05	7.342656134488286e-07	2.2749084159904603e-09	0.000135083	0.000135083	1.8247416889000003e-08	1.8247416889000003e-08	-0.000566963	-0.0003065129999999	3.21447043369e-07	9.395021916899999e-08	0.0	0.0	0.0
281.3200937289926	-0.3977251087532067	0.1581852621327501	79140.9951356892	263.24499408984894	-0.8686670005519659	69297.9269133646	0.7545823578479491	184.073674889034	-0.0567797012450341	33883.11778715379	0.0032239344734753	184.04053200272872	307.7509032730772	1.478652	30.191969	0.20259513	0.111646	0.1079086932	0.1201492019	0.0957806814	-0.0547979858	0.0401794345	0.0329814651	-0.0533409299	-0.0330577617	-0.1780971135	-0.0036850399	0.0364569224	-0.0028454832	0.0079294324	-0.0319846104	0.0125429523	-0.1652964185	0.0961033577	0.1120117065	-0.0150730073	-0.0718873164	-0.1021612138	-0.0197713087	0.054858675	-0.0402101779	0.0098926633	0.0599476416	0.0121957101	0.0687033307	0.0097496014	-0.1527893261	0.1148719817	0.0212505112	0.0331175186	-0.0785730969	-0.1402300616	-0.0324781901	-0.1749831139	-0.0440984183	-0.0734225848	0.1011470747	0.1419730324	0.0383421341	-0.13568656	0.0189592783	-0.1070781923	0.0982845925	0.2029397151	0.0428198504	-0.0220358277	0.0046318367	0.0011940605	0.171783754	-0.027750485	0.0672682335	-0.0299053202	-0.0438503789	0.0702149769	0.0108828166	-0.0745853923	0.0147821036	-0.0421332952	0.0057876125	0.0619830644	0.1208200227	-0.0574414917	0.0131776043	0.0783924852	-0.1019238033	-0.0627888921	0.1388538691	0.0943351139	0.0871612906	0.0716801482	0.0262019704	-0.0558028703	0.0759053672	-0.0070445307	-0.1149858259	0.0387413025	0.0020682084	0.0872044809	0.0435171417	-0.0256512854	0.13959958	0.0203785057	-0.0953100961	0.0499953579	-0.0987685372	0.0828883189	-0.0879340485	-0.1234290971	-0.1336785244	-0.0587583033	-0.1557960506	0.0317365823	0.0564231912	0.1714131223	-0.0618837454	0.1452447901	-0.1526825081	-0.0532054338	-0.0295952604	-0.0135793271	-0.0501992919	0.0785917904	-0.099469931	-0.0181232816	0.0484830037	-0.0914112928	0.0817465419	0.0246291793	-0.0162352835	-0.0573315484	0.0968268441	0.0208771743	0.0204560099	0.0385272852	-0.023133448	-0.0097755436	-0.0317112762	-0.283737244	-0.0260744672	0.0625174521	0.1211334038	-0.0398532667	-0.0558261992	0.1327691051	-0.0171271512	0.0646460661	-0.1520435182	-0.0439642184	0.1227202157	0.0472667926	-0.1202350363	-0.0381944143	-0.116213706	-0.0601257277	0.0332681568	0.0198352872	0.2318560752	-0.0666229061	-0.067856497	0.0886414864	-0.0918413497	0.0975173459	-0.0742952602	0.0630731666	-0.046524349	0.1191544118	0.1180513362	0.1162204348	0.0242282	0.0060132999999999	3.615977688999999e-05	0.0005870056752399	0.045821	0.0793788	0.002099564041	0.0063009938894399	0.0198632	0.0671621	0.00451074767641	0.00039454671424	0.000407707	-0.0004491859999999	1.66224997849e-07	2.0176806259591017e-07	-6.72646e-05	-0.0002023476	4.52452641316e-09	4.094455122576e-08	-0.000217678	0.0003492849999999	4.7383711684e-08	1.22000011225e-07	0.0	0.0	0.0
282.2265677615104	0.9064740325177922	0.8216951716290675	79651.83555044243	263.0388898849488	-0.2061042049001571	69189.45759190622	0.0424789432775259	184.2807129655889	0.2070380765548805	33959.381171105764	0.0428647651435445	184.15284343676493	310.1263363323989	1.13269	23.127916	0.101918935	0.0792791999999999	0.0814590071	0.0595152095	0.080212488	-0.0182099192	0.0460895392	0.0170488644	-0.0577047792	-0.0277640166	-0.0351203484	0.0683112384	-0.0133829875	-0.1032988519	0.1318583165	0.1736604761	0.1225607753	-0.0972741986	0.2629315908	0.023548094	-0.1302951948	-0.0803796637	-0.1126730098	-0.0120135579	-0.027693319	-0.0436216811	0.1176871845	-0.0800823601	-0.0196414595	0.0774461156	-0.0613289907	-0.0229049587	-0.0155313422	0.0531559014	-0.0662853386	0.0259879139	0.1096963807	-0.0759563923	0.1870798387	0.0182512007	-0.0429006633	-0.0799849206	-0.0147370586	0.0788849832	-0.0659534869	0.0326192446	-0.1558165224	0.05205791	0.0305035188	0.0102128401	0.0217889988	0.1281424276	-0.1622299911	-0.0520521943	0.0083453177	0.1530982417	-0.059150146	0.0732431925	-0.108899487	0.0419726636	0.0785390752	-0.1228484124	0.018465587	0.341680218	0.0983810341	0.0810122606	0.0402863741	0.0118073218	-0.0291449511	-0.1753881303	-0.1020795528	0.0123031647	0.1301982657	0.0227783113	0.0514414586	0.0287618212	-0.1503775336	0.0028415956	-0.0015296016	0.0305800454	-0.0910735948	0.1115582459	0.0894313588	-0.0574480867	0.0262725523	0.0855244768	-0.0618710545	0.0130996401	-0.0324733742	0.0952540692	0.1099861325	0.0753794249	0.1239168216	0.031816767	0.0643188431	0.0514749589	0.1347335885	0.0232795316	0.0400260764	0.033633146	-0.0024719874	0.0521732454	-0.034688485	0.0187773447	-0.2114110968	0.1148647497	-0.0524469067	0.102540441	0.1086059295	0.0314238555	-0.0335458199	-0.089510314	-0.0237762566	0.1519848572	-0.105285958	0.1823189545	0.1328322786	-0.0691631045	0.1286634911	0.0564542851	-0.0738466409	-0.2591769256	-0.1128486307	-0.0162357208	-0.0189980942	-0.0347383372	-0.0131680653	-0.0783079724	0.1081957466	0.0250530431	0.014015637	-0.0575880244	0.0668120667	-0.0253073308	-0.0543306726	-0.1097306379	-0.1308634542	-0.1301816369	0.1504729076	-0.0702022989	-0.0067708782	0.0581222636	0.0441033749	-0.0459603934	0.1049432337	-0.0198138971	0.2008414203	-0.0628318405	0.0215604911	-0.0312220675	0.1189139965	0.1170936064	0.1140802373	0.0295329	0.0053047	2.8139842090000025e-05	0.00087219218241	-0.0291028	-0.0749238	0.00084697296784	0.00561357580644	0.0205501	0.0006869	4.71831610000001e-07	0.00042230661001	0.0007973169999999	0.0003896099999999	6.357143984888405e-07	1.517959520999221e-07	-7.99513e-05	-1.2686700000000002e-05	6.39221037169e-09	1.6095235689000006e-10	-0.000199904	1.7774000000000023e-05	3.9961609216e-08	3.1591507600000083e-10	0.0	0.0	0.0
282.91171708739864	0.6851493258882329	0.4694295987650999	80039.03966534029	264.4309904409009	1.3921005559521404	69923.74870555584	1.9379439578822584	184.5666187739788	0.2859058083899128	34064.83676565922	0.0817421312710895	184.45801189723505	318.10629069655664	1.129884	23.070625	0.098344455	0.059242	0.0193908238	-0.0361804584	0.06793695	0.0183350279	-0.0244272215	0.0293078947	-0.0284569313	0.0560648751	0.027920388	0.1566104556	0.0442580515	0.0395628964	0.0730837475	0.0798546212	-0.0045927202	0.0137894591	0.0954412787	0.0401987131	0.041618831	-0.0447748416	-0.0187848915	-0.0807336371	-0.1262920679	-0.081527041	-0.0197427288	0.0102761484	0.023368556	-0.0081360093	-0.1033563067	-0.0206957747	-0.0239574297	0.1397177733	-0.2367929674	-0.0642758554	0.0053543328	-0.090192996	0.0644577518	-0.1106484222	0.0914656094	0.1302803032	0.0100563689	-0.0334194423	-0.0263148575	0.0990989529	0.0193580561	-0.0808761352	0.0196700097	0.1103675951	-0.0760911567	0.0198025378	0.132964203	0.0211387501	-0.1183003402	0.0695833659	0.0193313702	-0.009205021	-0.023532887	-0.1844063383	0.1101895583	0.0819205026	-0.0401109581	-0.066860561	-0.2035270342	0.0801132248	0.0526734732	0.014176364	0.1074531828	0.107482781	0.0029509663	-0.0408430375	-0.0809456943	0.0597807296	0.0403382279	0.0498621886	-0.0947368388	-0.148681831	-0.0083028188	-0.0151987197	0.0564447759	0.0284229832	0.0519239528	-0.0762228171	-0.054904697	0.0423601166	-0.1155436872	-0.0090094541	-0.1951012335	-0.0236456627	-0.0001937695	-0.006207642	0.1028738347	-0.1134807699	0.1217031407	0.0685565101	-0.1388845726	0.0033324596	0.1065402965	-0.0289507144	0.0430459075	-0.0348941939	0.0644504077	0.0963385116	-0.0202144625	-0.0992821504	-0.0382463004	0.0715617021	-0.011054375	0.0337194473	-0.1245849471	-0.0082477998	-0.0121581135	-0.2126213475	0.1150855915	-0.1142519797	0.1525132346	-0.0877866692	-0.0079711325	-0.0486621204	0.1658537951	0.1352411021	0.0276269507	0.0268868158	-0.0539585237	0.0500695399	-0.0024318113	-0.054599682	0.1195451712	-0.0079725324	0.1000225401	-0.0424541549	-0.0351625716	0.0353000418	0.0357365793	-0.0458582428	-0.0672214663	-0.1664401011	-0.0285418045	-0.0710721046	0.1340733454	0.1008666253	0.0074851108	-0.0450944805	0.1265803515	-0.0811374889	0.0511319533	-0.0937088978	0.0452833256	-0.0051966302	0.1186137044	0.1159000657	0.1114232278	0.0295123	-2.059999999999909e-05	4.2435999999996254e-10	0.00087097585129	0.0198903	0.0489931	0.00039562403409	0.0024003238476099	0.00806984	-0.01248026	0.0001557568896676	6.51223176256e-05	0.000268976	-0.0005283409999999	7.2348088576e-08	2.791442122808944e-07	-7.11864e-05	8.764899999999995e-06	5.067503544960001e-09	7.682347200999989e-11	0.0	0.000199904	0.0	3.9961609216e-08	0.0	0.0	0.0
282.7391579792248	-0.1725591081738571	0.0297766458137569	79941.43145480103	264.20662960816065	-0.2243608327402739	69805.1431289038	0.0503377832679091	184.46081021123	-0.1058085627487912	34025.79050378342	0.0111954519509648	184.48388715191268	320.5670770361879	1.065803	21.762182	0.08232688	0.0555995	0.0121597898	-0.0807585342	0.0642131708	-0.0076088755	-0.1573715276	0.036772327	0.0162590845	-0.0199936308	0.0511107158	0.0163079397	-0.0853942014	0.1433318359	-0.0671417266	0.0853212052	0.0376577021	-0.0659788235	-0.0003343749	0.0615777348	0.1345145501	-0.0554958974	0.0804013663	-0.091546366	0.0304989633	0.0505768517	-0.1055182354	0.0599583795	-0.0107311768	0.0599535819	0.0764171148	0.0295618773	-0.0810999459	-0.2420216928	-0.0887468401	-0.0845849359	-0.1245001102	0.1685326889	-0.030488595	-0.0524357445	0.047561169	0.0497162242	0.0975911672	0.0261112965	0.0276962423	0.2096141301	-0.0332741912	-0.2054462126	-0.0629535426	-0.0617351762	-0.0946674293	-0.0365982356	-0.0370915519	-0.046674129	0.0621435318	-0.027955687	-0.0566351646	-0.0492321511	-0.0736149409	-0.0026365201	0.0879575624	-0.0026404233	-0.0631553117	-0.0444370427	0.0608213722	0.0282496566	0.0022790668	0.0968257079	0.0288570119	-0.0137671651	0.0277712622	-0.0056687843	-0.0869486731	0.0328123842	0.0384112069	-0.017717178	0.0922587523	0.0130043742	0.1689740475	-0.0490766341	0.1045749524	-0.0263091113	0.0597425306	0.0297965312	-0.1818294309	-0.1903916556	0.0662632607	-0.1238522863	-0.0078041503	0.0368996651	-0.1177123082	0.1948587123	-0.0357817705	-0.0849382475	0.0342968003	0.00434368	-0.1001902416	0.0025078589	0.0754216018	-0.1019406336	0.0427476705	0.1683493817	-0.0864511921	-0.0182507067	-0.034536918	0.0867955726	-0.1163567925	0.0636470333	-0.1591909063	-0.0124447637	-0.0180515332	0.0162746501	-0.0760578428	-0.0310709746	-0.0318223094	0.0291135431	-0.0002123912	0.0706729366	-0.0040232267	-0.0955233894	0.1348228192	-0.0631934611	0.0205369422	0.0031315672	-0.0544070232	0.0469221105	0.0326899325	-0.0388381385	0.0093431159	0.0677068196	-0.0810568696	-0.0698797667	0.1006905572	0.0632190356	0.106995133	-0.0483244785	0.0250950592	-0.1366963832	0.0150102745	0.0635002872	0.0800308614	0.0067082451	0.1171361003	0.0907530643	0.0325253193	-0.0720534946	-0.0644128918	0.1107210532	0.0643141903	0.0300659029	0.1182536866	0.1144731177	0.1082614433	0.0295146	2.299999999996749e-06	5.289999999985046e-12	0.0008711116131599	-0.0317668	-0.0516571	0.0010091295822399	0.00266845598041	0.0141076	0.00603776	3.6454545817599993e-05	0.00019902437776	0.00056952	0.000300544	3.243530304000001e-07	9.032669593600001e-08	-0.0	7.11864e-05	0.0	5.067503544960001e-09	-0.000120864	-0.000120864	1.4608106496e-08	1.4608106496e-08	0.0	0.0	0.0
282.4255155492181	-0.3136424300066665	0.0983715739004866	79764.17183324165	263.9048094979156	-0.3018201102450462	69645.74847613112	0.0910953789483318	184.3521982740109	-0.1086119372191092	33985.73300846023	0.0117965529064877	184.3388722520865	320.7940044877671	0.9106550000000002	18.59428	0.03723975	0.0195342	0.0186410674	-0.0833739403	0.0589805767	-0.0437506861	-0.2009149612	0.065922293	0.0078476684	-0.084320858	0.0677101129	-0.0411227885	-0.0145421405	0.1276612398	-0.0091644779	-0.0932246825	-0.0411276623	0.0315997278	-0.0427721404	0.0226304528	0.0305810965	-0.0240265336	0.0697064501	-0.0774465858	0.1307775572	0.1119016204	-0.1594836715	-0.0762960364	0.108550448	0.0090501548	0.0905112053	0.1909823255	-0.1288415109	-0.0418762187	-0.1669494902	0.0697309429	0.0541751477	-0.0119591031	0.047135263	-0.1455233739	-0.076869531	-0.1426734074	0.0362458435	-0.0127553372	0.0963968733	0.0107135219	0.0140374141	0.0025128449	-0.1792798361	-0.0136925408	-0.0759730378	0.0680098402	-0.0021019302	-0.0344023072	0.1260528151	0.098714926	0.0984410646	-0.0725866089	0.0146149213	-0.0762936609	-0.0274275966	-0.0832621308	-0.0540649134	0.0325115125	0.0273683242	-0.0044302564	-0.1791380337	-0.0217622273	0.1392486741	0.0222637105	0.0046438743	-0.0518693016	-0.0654966981	0.0568519793	0.0659418638	0.0300083161	0.1326091713	0.0688648768	0.047657986	0.093372921	0.0393388822	-0.114269842	0.0168238468	0.0786368071	-0.0847488153	-0.1888799233	-0.1492302147	0.0211416386	-0.1677373653	0.1518343076	-0.0858522677	0.0483019674	0.1108874943	-0.0214426667	-0.0176983061	-0.1296815515	-0.0225280015	0.018978027	-0.061952106	0.0729262043	-0.1860395142	0.1022232219	0.0099493501	0.0369855566	-0.09747463	0.082654162	0.0564036928	0.0183881344	-0.1192375564	0.0286380783	0.0035902714	-0.1003583634	0.1107432719	-0.0666467653	-0.0314562521	0.0598396013	0.0030452965	0.0266906903	-0.0827395541	0.0010280784	0.0811127199	0.0347087172	-0.0597361189	-0.0293757902	0.0652925954	-0.0047005845	0.0093201414	-0.0338127332	0.0246216614	0.1377313373	0.0047627737	0.0064789773	-0.0330534154	0.0392722421	0.1406745592	-0.0684144427	0.0248612368	-0.1148998108	0.0520656274	0.0541594842	0.0689024507	0.0094867497	0.1277660314	0.0900738602	-0.0130500119	0.0024617466	-0.0937693417	0.1112973619	0.0368288928	0.04701147	0.1178341246	0.112815636	0.1046092073	0.0159015	-0.0136131	0.0001853164916099	0.0002528577022499	-0.0317785	-1.1700000000003374e-05	0.00100987306225	1.3689000000007895e-10	0.0240887	0.0099811	9.962235721000004e-05	0.00058026546769	0.000417707	-0.000151813	1.7447913784900005e-07	2.3047186969e-08	-0.0	0.0	0.0	0.0	0.0	0.000120864	0.0	1.4608106496e-08	0.0	0.0	0.0
