global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14
306.37339255856523	n/a	93864.65566784472	n/a	377.4159440368648	n/a	142442.79481323785	n/a	193.9131910350225	n/a	n/a	37602.325657385125	253.27245270932792	360.4864023157568	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0179303	n/a	0.00032149565809	n/a	-0.0319653	n/a	n/a	0.00102178040409	-0.104278	n/a	n/a	0.0108739012839999	-0.000411252	n/a	n/a	1.6912820750400002e-07	0.000228409	n/a	5.2170671281e-08	n/a	0.000469105	n/a	2.20059501025e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
304.64677596586694	-1.7266165926982922	92809.65810639712	2.98120485818106	369.5100223376919	-7.905921699172893	136537.65660800156	62.50359791345281	193.85868992043413	-0.054501114588362	0.0029703714913737	37581.19165766703	250.5341436592787	353.6827914326434	1.302976	27.654516	0.0704836	0.0458186	-0.0757410595	-0.0223865948	-0.1076817203	0.0621018597	-0.0949217864	-0.0298763246	0.0847822022	-0.2036252323	0.1535308621	-0.1302401698	0.0005168027	-0.1208120082	0.1951051659	-0.0403572659	0.2670581222	-0.1667008987	-0.2367231528	0.1850592085	-0.0046278232	0.0459920603	-0.1138005112	0.0345874876	-0.0478517103	0.0392375655	-0.030391672	-0.018567049	0.0689056771	-0.0235425663	0.1241319021	-0.0547299199	0.0859638695	-0.0221535551	0.0217954153	-0.0390788673	0.0379963485	-0.0152442198	0.0571490356	-0.0332211139	0.1019119422	-0.0457303062	-0.0154279788	0.0611983341	0.0843249624	-0.0481908403	-0.0004743323	0.0871344186	0.0727753212	-0.0689873641	-0.1083527881	0.0198239322	0.0108805191	0.0746011375	-0.1202057402	-0.0118852502	-0.0406589312	0.0887540964	0.0318273268	-0.0549438035	-0.0407106445	-0.1105355634	0.1393680431	0.0839519935	0.0610481888	-0.0834417115	-0.0151657568	-0.1278020141	0.0718320923	-0.0966670337	-0.1799557816	0.0057956773	-0.159982151	0.2853201686	0.026030156	-0.1773563898	0.1261707418	-0.0497311512	0.0101365329	-0.1147732817	0.0381353233	-0.3444044231	0.1539139333	-0.075792795	0.0222381919	-0.0651978041	0.0130038359	-0.0204597848	0.0584351168	-0.0473199426	0.1074492452	-0.0376794107	0.1032571066	-0.0148123441	0.0286783743	0.0709745037	-0.1947737949	0.1329584336	0.012086265	-0.150196672	0.0696120516	0.0884909179	-0.0739181571	-0.0201044351	-0.149239514	0.0724870623	-0.0107183177	-0.0148481618	-0.022797769	-0.0272749017	0.0677030614	0.0898126444	-0.0228402759	0.0994761556	-0.0744421978	0.0732240755	-0.0748325701	0.1000962994	0.022207205	-0.2432038977	0.0288760911	-0.0403805565	0.0819605896	-0.0134126654	0.0541622316	-0.0125971858	0.1432424824	-0.1093047421	0.0048737422	0.1147609672	-0.068440695	0.1658681987	-0.1614165355	0.0036298143	-0.0269195054	0.1199443696	0.119921393	0.1198831019	0.0	0.0213826	0.0034523	0.00045721558276	1.1918375290000013e-05	-0.0324656	-0.0005002999999999	2.503000899999952e-07	0.0010540151833599	-0.0585895	0.0456884999999999	0.0020874390322499	0.00343272951025	-0.000292033	0.000119219	1.4213169961000012e-08	8.528327308899998e-08	0.000330789	0.00010238	1.09421362521e-07	1.04816644e-08	0.000273854	-0.0001952509999999	7.499601331600001e-08	3.8122953000999993e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
303.99512797540183	-0.6516479904651078	92413.03783278092	0.4246451034772132	366.7392045561389	-2.770817781553035	134497.64415846948	7.677431178570481	193.3915117272504	-0.4671781931837415	0.2182554641864253	37400.276808151226	249.2634057650256	351.58690986206415	1.017224	21.589689	0.05973745	0.0285404	-0.0848795623	-0.0195525313	-0.1365725259	0.0452951039	0.1021874088	0.0387543456	0.123324703	-0.0404561567	0.0845812617	-0.0784139895	0.0272150848	-0.0244256244	-0.1196472505	0.0237660295	0.0276579417	-0.0688337607	-0.2042734173	-0.0007944568	0.0771653991	0.1249221795	-0.1298595692	0.0701386991	0.0184143686	-0.0671528058	0.0489593948	0.0318329735	-0.1148352154	0.0374898483	-0.1283842118	0.0514887259	-0.0414166014	0.0025702889	-0.0073215091	0.0179385687	-0.0216637642	-0.011927406	0.2316293834	-0.0553171739	0.1603156429	0.1097227656	-0.0390359959	0.1672329364	0.0402772886	0.1020161018	-0.0393680667	0.0493833062	-0.0425998577	-0.0511100289	-0.0559243213	0.1421250941	0.1552673485	0.0863033819	0.0665255673	-0.0022446673	-0.0366732178	-0.091061875	-0.1246454665	0.0402838963	0.0292895401	-0.0087560687	0.0387765315	0.0396671606	0.0442777471	0.0273287568	0.0028285641	-0.0188262898	0.0364560792	0.0906320021	-0.1508441251	-0.0515056555	0.0069382551	0.1564041254	-0.0637653201	-0.0068031101	-0.1730256809	-0.1329678131	-0.0571124608	0.047336886	0.0194396403	-0.0230058246	-0.0495337291	-0.0640862699	0.0721331454	-0.0751673805	0.0392754751	0.0350466836	0.0214881714	-0.0107927677	0.0993064476	0.0344210695	0.067651754	-0.091547508	0.0414937777	0.1568443301	-0.1363518061	0.0855678526	-0.0365796004	-0.0628510041	-0.0301485241	0.2041646997	-0.045610358	0.0947135732	0.0860127827	-0.1580162399	-0.1215456802	-0.1156833855	0.0580861158	0.0336297954	0.2063621835	0.0766153494	0.0306294345	-0.0608066648	-0.1723897293	0.0953736694	-0.0294231325	0.0366717764	0.023170324	-0.1509053014	0.0168642714	-0.1243027766	0.0146562931	0.1387375648	-0.0906286015	-0.0749472333	0.0558697679	-0.0384743743	-0.0508751591	0.0247490614	-0.1080355259	0.2373391697	-0.1156063939	-0.0281717811	-0.0215279584	0.1198831019	0.1196764004	0.119332162	0.0	0.0218081	0.0004254999999999	0.00047559322561	1.8105024999999897e-07	-0.01946	0.0130055999999999	0.0001691456313599	0.0003786916	-0.0394831	0.0191064	0.00036505452096	0.00155891518561	-0.000167429	0.0001246039999999	1.5526156815999992e-08	2.8032470041e-08	-0.0	-0.000330789	0.0	1.09421362521e-07	0.000185248	-8.860600000000003e-05	3.4316821504e-08	7.851023236000005e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
303.95424352056096	-0.0408844548408637	92388.18215415649	0.0016715386476346	366.7129181078769	-0.0262864482619988	134478.36430719442	0.0006909773622307	193.2938377676489	-0.0976739596014795	0.0095402023842314	37362.50771894617	249.3617987251872	352.72985729227213	0.930272	19.744198	0.05846286	0.0333954	-0.0940032916	0.008674737	-0.1461286139	0.0135045006	-0.0462083849	-0.0059649809	0.1515065263	0.0532269447	0.1077592833	-0.092390173	-0.0637400644	-0.0186668044	0.0131909195	0.0059648783	-0.0587661772	-0.0558648944	-0.1272946385	-0.0193846906	0.0158599989	-0.030632546	-0.0601054855	0.0266540845	0.1378236661	0.0980935906	-0.0983948269	-0.0488755049	0.125217774	0.0667142743	-0.0959898055	-0.0569858976	-0.1154506211	0.0080151389	0.1458267562	-0.0469909157	-0.0292401583	-0.0529611383	0.0132020629	0.1572382529	-0.0301234745	0.0584488813	-0.0627147274	-0.1349042444	0.0014842046	0.0212258328	-0.1254364068	-0.0073181549	-0.0439760421	-0.0232567688	-0.0881549993	-0.0678977113	-0.047259071	0.0457262042	0.0094820386	-0.0422984919	0.1592004932	-0.0035006157	-0.155024726	-0.0517764286	0.0469235767	0.0289361192	-0.1267514349	-0.0389430124	-0.0297605225	-0.0635977236	0.0985796904	-0.0014062933	-0.1753705283	-0.0516435433	-0.1461442181	0.0044059007	0.0925095518	0.0611341181	0.0036479956	-0.1171418933	-0.0035143855	-0.0283032202	-0.0954608971	0.0355803193	0.0268889354	0.063784681	0.0931003878	0.0488066787	0.0257855174	0.0847415731	-0.0120959154	-0.0704701954	-0.1228505112	-0.1083906874	-0.0269773095	0.1271346021	0.0387918803	0.0426895659	-0.013739914	0.0917472484	0.0973182364	-0.0375427403	0.1057818063	-0.0411947227	-0.0163155687	0.1057070858	-0.0449362336	-0.154358648	0.0457630533	0.0669384496	-0.020655279	0.052918047	0.1285093749	0.1102066878	0.0065053976	0.0671078771	0.0268899653	-0.1003599468	-0.0347945366	0.1568493258	0.0832365895	0.0548462904	0.0283960519	-0.1071977987	0.1899749984	-0.1265746888	0.0642179333	-0.0013079751	-0.0434503264	-0.0732849464	0.0160525436	0.015307023	0.0349298546	-0.0056089523	-0.0182358085	0.0982755408	-0.1046795428	-0.0666002703	-0.0445904275	0.1197605978	0.1191869159	0.1182328141	0.0	0.0218393	3.119999999999859e-05	0.0004769550244899	9.73439999999912e-10	0.00891811	0.02837811	0.0008053171271721	7.95326859721e-05	-0.0490005	-0.0095174	9.058090276000005e-05	0.00240104900025	-0.00014095	2.6478999999999988e-05	7.011374409999993e-10	1.98669025e-08	0.000239971	0.000239971	5.7586080841000004e-08	5.7586080841000004e-08	0.000329521	0.000144273	1.08584089441e-07	2.0814698529e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
303.9385906434622	-0.0156528770987733	92378.66688233407	0.0002450125614693	365.7508532079642	-0.9620648999126616	133773.6866223538	0.9255688716439594	193.13634921905657	-0.1574885485923403	0.0248026429377219	37301.64938966537	248.7472939553276	351.90156661061354	0.934451	19.832895	0.05381684	0.0285405	-0.0953281579	-0.002321215	-0.1672946719	-0.0157339291	-0.0597428166	-0.1531571242	0.0248740715	0.0251976033	0.064216524	-0.1087143223	0.0533796989	-0.0188696539	0.1055256403	0.1371979611	-0.0023246613	0.0154748505	-0.0288250234	0.0056401185	0.054758417	-0.1556792531	-0.0292658589	0.1469115937	0.0555807372	0.0344685463	-0.1178685908	-0.0105951153	0.1794608714	0.0743734968	-0.0102387614	-0.0708544515	0.0159418056	-0.05405161	-0.0030059654	-0.0209867185	-0.0175824867	0.0282369908	-0.1535405229	-0.0338856956	0.0241796449	-0.0019597267	0.0839351149	-0.0433201025	0.1579871671	-0.2091185536	0.0608326254	0.0624671197	-0.0222835296	-0.192113885	0.1271097641	0.0821029302	-0.112012392	-0.0015530691	-0.0500610739	0.1469250259	-0.031275073	-0.018309031	0.0216818946	0.0964219755	0.1016643148	0.2710897671	-0.0568906634	-0.0035141257	0.0403193037	0.0256151955	-0.0689190588	0.146795738	-0.0396362197	-0.050653984	-0.0100901977	0.1515917494	0.0032232037	0.0092107351	0.0424468349	-0.0377845204	0.1475503223	-0.084346637	-0.0148024169	-0.0046881142	0.0538765857	0.0270385629	-0.0587536331	0.0179886317	0.1203140138	-0.0379254925	-0.0584515551	0.032978801	-0.1056564503	0.0427530707	-0.0303610867	0.0734755414	0.0676563369	0.1327513239	0.0084635944	-0.1645674177	0.0024258734	-0.0245766861	-0.0173808752	0.0497078859	-0.0738782007	0.0152334063	0.0604835783	-0.172452135	-0.0896665214	-0.1406237629	-0.0612037731	-0.1390066452	-0.0689471499	0.0298951874	-0.0258244499	0.1367421384	-0.0157695494	0.05045848	-0.0176871256	0.1236616308	0.1641770951	0.0134957843	0.0509613987	-0.167822397	0.128151147	-0.0245868959	0.0995800543	-0.005613635	0.0809768508	-0.0107073538	0.057305738	-0.0899282242	-0.0137922162	-0.0492384946	0.0310352194	0.1557116913	-0.0353875034	-0.0599580916	0.1326600323	0.1195769199	0.1184539393	0.1165901104	0.0	0.029926	0.0080867	0.000895565476	6.539471689000003e-05	-0.00255253	-0.01147064	0.0001315755820096	6.515409400899999e-06	-0.0377491	0.0112514	0.00012659400196	0.00142499455081	-0.000155639	-1.4688999999999994e-05	2.1576672099999983e-10	2.4223498321e-08	0.000175014	-6.495700000000001e-05	3.0629900196e-08	4.219411849000001e-09	0.000710037	0.0003805159999999	5.041525413689999e-07	1.4479242625599996e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
304.46733665791004	0.5287460144478473	92700.35909156111	0.2795723477944831	365.6481375940164	-0.1027156139477938	133698.56052597277	0.0105504973486722	193.0198407438792	-0.116508475177369	0.0135742247881556	37256.65892079249	248.43134067051184	357.7681662754689	1.038212	22.035135	0.03847472	0.0196432	-0.0598039876	-0.0229063738	-0.0721488876	-0.0270889117	0.0972950477	-0.1180161419	-0.0995750846	0.0340566859	0.0157963555	-0.0786760761	0.0310867034	0.0118284838	-0.0324347369	0.10880045	0.0248197502	-0.105917006	0.0863526054	-0.047471709	0.0817890815	0.0325512986	0.0677948046	0.0683570065	-0.0408686755	-0.1236580327	0.091668694	0.0598661547	-0.0854684661	-0.0959079105	-0.0250001136	-0.0062691949	-0.0826247236	0.0747841931	-0.1848269353	-0.104334472	0.0314265126	-0.0989478992	-0.0287531453	0.0157940453	0.0063891565	0.0152288916	0.0402665782	-0.061926102	-0.0865280535	0.1465318046	0.0930978535	-0.0075219774	0.0446720014	0.075363122	0.026480786	0.0378189257	-0.0290562106	0.1060236579	0.0350112349	0.0181526128	0.1099834304	0.0656520891	0.0575521255	-0.0792454284	-0.0118105042	0.0968903054	0.0381464332	0.0158897703	-0.0216974671	0.1269013046	0.0268683677	-0.0287067589	0.073189998	0.114190963	0.0848734497	0.1235589607	0.0056351281	-0.0514276996	-0.0023454727	0.0496884291	-0.0106153417	-0.000173928	-0.0658822062	-0.0196242635	-0.0305485702	0.0103565837	-0.0334884909	0.0508842543	-0.0022746113	-0.0014102379	-0.0288446101	0.1964428958	0.1240641537	-0.0256565917	-0.0049542381	0.0096799599	0.0033235407	0.1723730009	0.0372045148	0.1058664471	0.0244385072	0.0139565525	-0.0460213901	-0.1258800515	-0.0451057462	0.0998103064	-0.0522878741	0.109129226	0.0232316634	0.0982184751	0.0063645946	0.024966066	0.0473633349	-0.06914533	-0.0256003028	0.1073486362	0.0470750598	0.0680773652	-0.1249302322	-0.0453657227	0.1121682906	-0.038605177	0.0024080619	-0.1341015839	0.0412862053	-0.0056511711	0.111398034	0.0730981653	0.007188826	-0.078189925	0.0462724047	0.0581993643	0.1200471683	-0.0213227384	0.0866207057	-0.031170892	-0.1017038216	0.0225100674	0.0452233581	0.119332162	0.1174789681	0.1144116002	0.0	0.0277826	-0.0021434	0.00077187286276	4.594163560000001e-06	-0.0152604	-0.01270787	0.0001614899599369	0.00023287980816	-0.0275489	0.0102002	0.0001040440800399	0.00075894189121	-0.00029492	-0.000139281	1.9399196961e-08	8.69778064e-08	0.000108788	-6.6226e-05	1.1834828944e-08	4.385883076e-09	0.000647079	-6.2958e-05	4.187112322409999e-07	3.9637097640000005e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
304.6802490662176	0.2129124083075453	92830.05417105238	0.0453316936113188	365.63195885286007	-0.0161787411563523	133686.72933457955	0.0002617516654042	193.17800775815363	0.1581670142744258	0.0250168044044864	37317.74268140926	248.45843077857427	360.0206639805201	1.060034	22.498289	0.046795625	0.027694	-0.0241023959	-0.067109511	-0.0018770462	-0.0155132575	0.0526740606	0.0865363733	-0.1119232834	0.124023713	0.0557167024	-0.010482289	-0.0127718082	-0.0529610305	-0.0254796301	0.0282792296	0.0340887602	-0.1870064929	0.1237940597	0.0416194018	0.077125888	0.0330910995	0.1217761077	-0.0313650141	-0.0004742496	0.0395137691	0.0250360248	-0.0203279283	0.1067271413	0.0396190063	-0.0659698765	0.0978510767	-0.0240153051	0.0767810546	-0.0289498779	0.1143074281	0.105799729	-0.1186837876	-0.0458718317	0.0427219071	0.1318066096	-0.0067728748	-0.1501967247	-0.1180159015	0.0470664675	0.0023730846	0.040497351	0.0489819191	-0.0260738168	-0.0451948487	-0.036813091	-0.1082485769	0.0641346627	0.1076146021	0.1164408188	0.0528713805	-0.0255766544	-0.0933184539	0.0912073152	0.0015147054	-0.0991147001	-0.0062507607	-0.0563528628	-0.0397463008	-0.0209174974	0.100706066	-0.0460980342	-0.0002765176	-0.0887161957	0.0429585616	0.142525479	-0.0678317996	0.1139309584	0.0080786577	0.0218088524	-0.0003806198	0.0269627156	0.0406372308	-0.0865730275	-0.1459965877	-0.0165594112	-0.0156915387	-0.0052751938	-0.0519391564	0.0327355737	0.0114827163	0.0679780242	-0.0571939195	-0.0453774899	0.1237949936	0.1527382715	0.0157653775	-0.0757872326	0.0535407403	-0.0018460703	0.0775744005	0.013328668	-0.146376721	0.0563512188	-0.0205703186	-0.0631955779	0.0614059025	-0.103236465	-0.0997010109	0.0653699707	0.0061043315	0.1748984513	0.0857289514	-0.1935927506	-0.0309522217	-0.0404471228	0.0805800476	0.1041414114	-0.0973526913	-0.0143973809	-0.0655766474	0.1053024574	0.000914053	-0.0032289825	-0.0458038169	0.0101305881	-0.0769731199	0.1365452454	0.0414139037	-0.004144534	-0.2130641122	-0.0147741468	-0.1792840182	0.094279846	-0.0590653819	0.070406132	-0.0344312733	0.048499733	-0.0507588638	-0.0514440493	0.1190264491	0.1162639941	0.1117072952	0.0	0.0240006	-0.003782	0.00057602880036	1.4303524000000004e-05	-0.0120426	0.0032178	1.035423684e-05	0.00014502421476	-0.0418076	-0.0142587	0.0002033105256899	0.00174787541776	5.71545e-05	0.0003520745	1.2395645355025002e-07	3.26663687025e-09	0.0002657	0.000156912	7.059649000000001e-08	2.4621375744e-08	0.000648835	1.7560000000000017e-06	4.2098685722500006e-07	3.0835360000000054e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
304.52307738362754	-0.1571716825900466	92734.3046591948	0.0247029378081863	366.3243797015272	0.6924208486671546	134193.55116370867	0.4794466316689426	193.14018126535635	-0.0378264927972793	0.0014308435573426	37303.12961921471	248.81231127995824	359.7962032189609	1.137397	24.140259	0.083054175	0.0386226	0.0080812017	-0.1164940828	0.0430109361	0.0006550673	-0.0937627371	0.0259326842	-0.1233874418	0.0167886367	0.0581229953	0.1032902966	-0.0619392775	-0.1093930552	0.0178707164	-0.1036305619	-0.0226147747	-0.1228229711	0.108579313	0.104108808	0.0328355788	-0.1060068014	-0.0885892099	-0.099934639	-0.0363467333	-0.078547411	0.0277977466	-0.0264113672	0.01708375	-0.0061573564	-0.0066520206	0.1445449309	0.1685290168	0.0239261017	0.1878088176	-0.0958387148	0.0964590768	-0.0822013962	-0.1745255716	-0.0023874784	-0.1361327274	-0.1336149098	0.0457724516	-0.1689790687	-0.0004592342	0.0127443013	-0.0337597848	0.0771173549	-0.0009049272	0.025812954	0.0201492535	-0.0340634466	-0.0200240425	0.0133082073	-0.0619148238	-0.0479931072	-0.0711900091	0.0737936242	0.0856933806	0.1517229308	-0.0298455166	0.0857289813	0.0441002811	-0.076624592	-0.0976856362	0.0901646963	0.0280232191	-0.0250988204	0.0640376193	-0.1131425121	0.1179730276	-0.0106953875	-0.0183663158	0.0287637231	-0.1297749234	-0.1039623609	-0.043756248	0.0974513607	0.0076615418	-0.1068986462	-0.0557622888	-0.0212118705	0.1397806515	-0.1095185973	0.0326023253	0.0864644467	0.1528011556	0.127442609	0.0202892952	-0.0030463687	-0.0823193181	0.0932151032	-0.0484805205	0.074792898	0.0106684138	-0.2181583716	-0.03256834	0.0111131787	-0.0658029544	0.0031373339	0.0524684604	-0.0796565261	-0.0819812178	-0.1009366032	0.0079857687	-0.0096710297	-0.0323395555	0.0801059651	-0.050440033	-0.1873003867	0.002645479	0.0213625582	0.0831839895	0.1248680176	0.0771907968	-0.0672665062	0.0601683365	0.0681207934	-0.0184642434	-0.0398139997	0.2167218555	0.0419026571	-0.0201468556	0.1063333102	-0.0861911254	-0.0441310821	-0.0652120402	-0.0428009816	-0.0639786363	0.0627361054	-0.0066329847	-0.083217075	-0.0489845971	0.2088537942	0.0046354071	0.1186599374	0.1148114994	0.1084896234	0.0	0.0170577	-0.0069429	0.0002909651292899	4.820386041000003e-05	-0.0116317	0.0004109	1.6883881000000044e-07	0.00013529644489	-0.0733021999999999	-0.0314945999999999	0.0009919098291599	0.0053732125248399	-0.000369346	-0.0004265005	1.8190267650025e-07	1.36416467716e-07	-0.0	-0.0002657	0.0	7.059649000000001e-08	0.00045692	-0.0001919149999999	2.087758864e-07	3.683136722499999e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
304.6885255542897	0.1654481706621595	92835.09760444704	0.027373097175455	365.5961347170972	-0.7282449844300345	133660.53372008188	0.5303407573475012	193.16077315796457	0.0205918926082233	0.0004240260411886	37311.084286982645	248.6083824559262	355.71722625552866	1.208582	25.651089	0.1184432	0.0507633	0.0176489276	-0.1187304433	0.0764680144	0.0794454182	0.0245264808	0.0492139114	-0.0671294991	-0.0441659034	-0.0112279654	0.1114852662	-0.1194110718	-0.0256847567	0.0275878878	0.1976479287	-0.0134384749	0.1445312096	0.0397075969	0.0046303267	-0.1073604948	0.028194303	0.0384679534	-0.0537292038	0.1385633624	-0.0342015687	-0.0131904877	-0.219831218	0.0464934531	-0.1209845972	-0.1053607052	-0.1849105192	-0.023828903	0.0488787527	0.1134685768	-0.0547403085	0.2223774599	0.0360655826	-0.0918697862	-0.0601054723	-0.0747889975	0.0171157459	0.1982097082	0.0903428407	0.0251235228	0.0572335595	-0.0454160037	0.1497070753	-0.1229374958	0.0102911264	0.0656201945	0.1660040898	0.1065178227	-0.1444761646	-0.2261391383	-0.0265068334	0.0085953263	-0.0288324256	0.1509701928	-0.0895076053	0.0379500083	-0.0350689417	-0.0085283629	0.1057298579	0.0327700739	0.0326979352	0.0537964344	-0.1476741168	-0.0142602192	0.0211307636	0.053958949	-0.0633110958	-0.0497304177	-0.0494163782	0.0466725799	-0.0470308568	0.0086344147	0.080372085	0.0876207959	0.1370740844	0.2330290381	0.039855156	-0.0289550919	0.0096533583	0.2693504162	0.1519046758	-0.0463645811	-0.162317427	0.0212539665	-0.0170927365	-0.0448077524	-0.03731154	0.0929691406	0.0838808178	-0.0762189862	-0.0029378831	-0.0678282492	-0.1419590571	-0.1413514891	-0.0192789766	0.0801133338	-0.136788735	0.0865832615	-0.0115713909	0.0063516952	-0.0861868787	-0.1753899406	-0.042833187	0.1096754151	-0.2459653922	-0.1335065715	0.1193282545	0.1570930929	0.0548079447	-0.1059812568	-0.0607464553	-0.0604033597	-0.0012675806	0.2301057747	-0.0331796277	0.1153695405	0.1424303203	-0.1455416114	0.0264065379	-0.1586988612	0.1882723199	-0.0120046515	0.0185666006	0.0390718356	0.2633854563	0.0730404464	-0.1683612851	0.0370670524	0.0713024003	0.0416221125	0.1182328141	0.1131244514	0.104773372	0.0	0.0364374	0.0193797	0.00132768411876	0.00037557277209	-0.0335014	-0.0218697	0.0004782837780899	0.00112234380196	-0.0415865	0.0317156999999999	0.0010058856264899	0.0017294369822499	-0.000138326	0.00023102	5.33702404e-08	1.9134082276e-08	-0.000428627	-0.000428627	1.83721105129e-07	1.83721105129e-07	0.000706835	0.0002499149999999	4.996157172249999e-07	6.245750722499998e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
