global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
329.6251499110345	n/a	n/a	108652.73945387197	330.06527206632825	n/a	n/a	108943.08382421928	235.21337292060312	n/a	n/a	55325.33080068672	234.16986196106208	375.17982115855096	n/a	n/a	n/a	n/a	-0.0163648184	-0.0828930092	-0.0048239412	0.0615141409	-0.1373112088	0.0793822558	-0.1678321946	0.0883525785	-0.0541326335	0.0516940999	-0.5194707509	0.285712301	-0.2440332	0.1184921835	-0.0359757062	0.0053305765	-0.038873627	0.0855050216	-0.0707102558	0.1273317371	-0.0678400215	0.0826439108	-0.0122816794	0.0473495426	-0.1034432425	0.0910551803	-0.098118103	0.0112735067	-0.0315320551	0.0374335935	-0.0511246589	0.0849909578	-0.0087841713	0.1063673446	-0.0686922625	0.0338050285	-0.0839872304	2.87042e-05	0.0288391232	0.0840003386	-0.0352055711	0.0587610301	-0.0675988996	-0.0015818186	-0.0402025676	0.0218509006	0.0191432808	0.0164609194	0.0057483834	-0.0082712505	-0.0428780794	0.0695121722	0.0105103067	0.0362906093	-0.0157910281	-0.0373551711	-0.0201489249	0.0808517373	0.0508082132	0.1877543801	-0.0025103074	0.1157698822	-0.0470006517	0.0135868884	-0.0496316361	-0.0539240142	0.0631684161	-0.109405956	0.0862282874	0.1004117702	-0.0068178625	0.0277579309	-0.1472096066	0.0738166221	-0.0680017072	0.0338497925	-0.0144037324	0.0227692489	-0.0431765008	0.0537500921	-0.0890959937	0.1234092088	-0.0228574926	0.044817589	-0.0460696955	-0.0094622112	0.0399521749	-0.0633014072	-0.0653135724	0.0821114002	0.0660134668	-0.0267555189	-0.0474766474	0.0172234893	0.0113544505	0.0007772476	0.0103828969	0.0154184821	-0.0474180529	0.0406135132	0.0473742818	-0.0719865286	-0.0275553941	-0.0047433117	-0.0549332748	0.1303056899	0.0764441429	-0.1553875066	-0.000661745	-0.0770669204	0.0463589628	-0.1440435047	0.1257950678	-0.074893124	0.0978442759	-0.0962076548	0.051422456	-0.0114469466	0.1310246282	-0.1892737583	0.3394364978	-0.0568925614	0.0565051045	-0.0551059926	0.0408264933	-0.0057924252	-0.037942012	0.0703056552	-0.0549933008	0.0552307526	-0.0415083225	0.1140666374	-0.0320976218	0.1195153378	0.1194927693	0.1194551582	-0.0289783	n/a	n/a	0.00083974187089	-0.0499129	n/a	n/a	0.00249129758641	-0.0552599	n/a	n/a	0.00305365654801	0.000391444	n/a	n/a	1.5322840513600002e-07	0.00161774	n/a	2.6170827076000004e-06	n/a	-0.00129251	n/a	n/a	1.6705821001e-06
329.22700158083126	-0.3981483302032416	0.1585220928436295	108390.41856990466	326.90271785259245	-3.1625542137358025	10.00174915481808	106865.38693941166	235.5087541148216	0.2953811942184927	0.0872500498979429	55464.37326471551	234.4306197394912	373.9117687593204	1.090886	18.445484	0.09290258	0.0580198	-0.0124299927	-0.0342074459	0.109783641	0.107399461	-0.1179690167	-0.0528746994	-0.1129907079	0.0967227698	-0.0388441825	0.0224047092	-0.2504014595	0.0809798062	0.0740314481	0.2231211568	0.0898677406	0.0226002435	0.0410727235	0.1395644056	-0.0188644507	0.1044207948	0.0031536991	0.087602546	-0.0415543281	0.0433943618	-0.061259382	-0.1171661866	-0.0567089736	-0.1182979366	0.0288758834	-0.0851971225	-0.023661963	0.0337689193	-0.1016232246	-0.0152409387	0.0491002696	-0.1039849779	-0.0384332232	0.0188616768	-0.0286116101	0.0472255047	0.0695017956	-0.1021074703	0.0673179588	-0.0527254983	0.0443898673	-0.080951901	-0.1706087796	-0.0541230829	0.0896271533	-0.1617314311	0.0719517546	0.1399323415	-0.0615126029	0.1284727596	0.0633811023	0.0119820344	0.0561768473	0.1703986631	-0.0704308139	0.0932231796	0.0071885807	0.2239863116	0.0698923453	0.0526019077	0.03508712	-0.1316033352	0.0400430811	-0.0797321795	0.0049786277	0.1276851729	0.0324163328	0.0298471235	-0.0582178351	-0.1251622933	-0.0714864671	-0.1242560311	0.0098065077	-0.0783487165	-0.0348476267	0.1055328051	0.0020091014	-0.0734226638	0.0406896828	0.0823395474	0.0320983472	0.0623319994	-0.0198233172	-0.0950613696	0.0314942199	-0.1262997816	-0.0325706743	-0.0040563816	0.053378896	-0.0740981305	-0.1264046967	0.0263266373	-0.0927904863	-0.1842197507	-0.0813368674	0.1629790722	0.1017894169	-0.0619728344	0.0594550763	0.0623354388	0.0848183688	0.0425467885	0.1690319862	-0.0631349438	-0.0722870652	0.0124870973	0.1289042678	-0.1162356061	0.1742961915	0.0664915094	0.0499316024	-0.1643132233	0.0501659649	-0.0263947034	0.0739159091	-0.2303665466	0.2404227226	0.0283496878	-0.0089547728	-0.0985615156	-0.0110856658	-0.1163793374	-0.0285960058	0.0854640578	0.0008848738	-0.0969280115	-0.0280605445	0.0612098556	-0.0360330369	0.1194551582	0.1192521267	0.1189139965	-0.0310288	-0.0020505	4.204550250000001e-06	0.0009627864294399	0.00367563	0.05358853	0.0028717305475609	1.35102558969e-05	-0.0437239	0.0115359999999999	0.0001330792959999	0.00191177943121	0.000244963	-0.000146481	2.1456683361e-08	6.0006871369e-08	0.00147573	-0.00014201	2.1777790329e-06	2.016684010000004e-08	-0.00151857	-0.0002260599999999	5.110312359999997e-08	2.3060548448999995e-06
329.04830875231835	-0.1786928285129079	0.0319311269619435	108272.78949276102	324.6475367969937	-2.2551810555987686	5.085841593531576	105396.02314835537	235.2863414882674	-0.2224126265542167	0.0494673764507455	55359.66249093358	234.26017477044363	375.9666068579871	1.165635	19.709396	0.0777817299999999	0.0633105	-0.0321217258	0.0884842837	0.0742538392	-0.04271803	0.0569381614	-0.0928849437	0.0166164599	0.0356800743	-0.0579472028	0.1179693013	-0.1782404767	0.0062553107	-0.0166739739	0.098785797	0.1232924134	0.134594658	0.0649135413	0.022757541	0.0362438236	0.1165632417	-0.043840524	0.1053805349	0.0361039005	0.0664672758	0.0408548876	0.0159727125	0.0075894693	-0.0601724917	-0.0921929427	-0.2179917428	-0.0374182145	0.0157961892	0.0258244261	0.0204339577	-0.030184002	0.0230452302	0.0360249639	-0.0896859698	-0.1715970622	0.054240563	-0.0871314464	-0.0718097413	0.038939075	0.2262519858	-0.0356506759	-0.0903883349	0.0208012123	0.0089904785	-0.05403807	0.0686394392	-0.0883583151	0.0797076002	-0.1091899015	0.0225666591	0.0470220669	-0.0146911756	0.0637567567	0.0080764117	0.0165284339	0.157791218	-0.0615938588	0.0912318729	0.106636951	0.156318066	0.0577221543	-0.0103743493	-0.0259010411	-0.1092137103	0.0448168143	0.1086933527	-0.0554764028	0.0470614539	0.0262097089	0.0327621343	0.0144735278	-0.0826034621	-0.1275138032	-0.1700424514	-0.1179884747	-0.0025494482	-0.0102920263	0.0015435899	0.0035409807	-0.0316677608	0.0432729989	-0.1060308737	-0.156515547	-0.0334650421	-0.0562104841	-0.0003227017	0.0028247066	0.1751496499	0.1213439551	0.1630342843	-0.0077337732	-0.0382026293	0.0473388109	0.0666201929	0.0042309131	0.1291491947	-0.0091999508	-0.0508596132	0.0328636529	0.0113672355	0.0423512304	0.1281707168	0.0040046736	-0.1479462604	0.0284504368	-0.0145630745	0.0125276991	0.0577985497	0.2134969583	-0.0548809919	0.1229485693	-0.1120418605	0.111266899	-0.0528198002	0.0218029689	-0.0997396515	0.1475363838	-0.0554971977	-0.0194924165	-0.1176072876	0.1222016365	-0.070648047	0.1458494758	0.0743828319	0.0163580972	-0.2436674239	0.0277389538	-0.1581856273	0.0615640535	0.1193348294	0.1187713263	0.1178341246	-0.0289833	0.0020454999999999	4.184070249999995e-06	0.00084003167889	-0.0586875	-0.0623631299999999	0.0038891599833968	0.0034442226562499	-0.0439499	-0.0002259999999999	5.107599999999866e-08	0.00193159371001	0.000279515	3.455199999999998e-05	1.1938407039999982e-09	7.812863522499999e-08	0.00152773	5.199999999999996e-05	2.3339589529e-06	2.703999999999996e-09	-0.00134218	0.00017639	3.11134321e-08	1.8014471524e-06
328.7562256801912	-0.2920830721271272	0.0853125210232206	108080.65592348482	323.2973848077986	-1.3501519891950693	1.8229103939274025	104521.1990235618	234.94962427457008	-0.3367172136973124	0.1133784820000815	55201.32594676165	233.92678888233465	373.13183149086376	1.085726	18.358236	0.03548745	0.0192907	-0.0306524999	-0.0005526285	-0.0309161008	-0.1244834255	0.0845793411	0.0405300114	0.0533487504	0.018464514	0.1074728765	0.0001667987	-0.0827556222	-0.0032679492	0.0013849286	-0.0005956114	-0.0540019202	0.0898684641	-0.0236574687	0.0238980645	-0.1004303499	0.1221616251	-0.0260136188	0.0340104733	-0.0095575761	0.1626418242	-0.025371303	-0.1015343169	-0.0300745269	-0.0381269063	-0.152114117	-0.1336243441	0.0202649568	-0.0728711789	-0.0006370575	0.0926547237	0.1570312697	-0.1781809177	0.1079580585	-0.0998365752	-0.0324156494	0.0774112697	-0.1716938856	0.1104881256	0.0230259936	-0.0379083125	-0.0161123778	-0.1046190923	0.0613340278	0.0863727501	0.0822578026	-0.1524903449	0.0508752448	-0.050305435	-0.0733124329	-0.0557849845	0.055037378	0.0453489537	-0.0389985038	-0.0967413015	-0.0446804074	-0.0186518067	0.0165316345	-0.0146047306	-0.0606268837	0.0897515442	-0.02873065	0.0080148628	0.0946802864	-0.1069911876	0.0496703837	0.0870215836	0.0319135874	0.136652675	-0.0249699284	-0.0901303956	-0.031790142	-0.0520941394	-0.1859490852	-0.0513420801	-0.0470839797	-0.0302225012	0.0488302841	-0.0095049306	0.2045071941	-0.0227581232	0.221217855	-0.0204832442	-0.040935447	-0.0838727437	-0.123134752	0.1402849602	-0.0813983086	-0.0535496138	0.0306516867	0.0358595206	0.117630887	0.0175162129	0.0098095071	-0.1712462897	-0.097710337	-0.0011765274	-0.0492187849	0.1276688878	0.0047610038	0.057520189	0.0057174526	-0.06406484	-0.081352278	-0.0117152655	-0.0540201001	-0.0708425502	-0.0437465379	-0.0625011409	0.1832048856	-0.0953189845	-0.0521491543	-0.1175201922	0.0422301749	0.0175470486	-0.0270317189	-0.0113894093	0.1521033557	0.0844080308	0.0013564963	0.0040055826	0.0003838598	-0.0380782233	0.0901607481	0.0024689333	-0.0510228923	-0.0432709063	-0.127430696	-0.0850584537	0.0889403604	0.1191544118	0.1180513362	0.1162204348	-0.0289846	-1.2999999999992184e-06	1.689999999997968e-12	0.00084010703716	-0.0466015	0.012086	0.000146071396	0.0021716998022499	-0.044317	-0.0003671	1.3476241000000157e-07	0.001963996489	0.000110304	-0.0001692109999999	2.863236252099999e-08	1.2166972416000001e-08	0.00161822	9.049000000000014e-05	2.6186359684e-06	8.188440100000026e-09	-0.00114122	0.0002009599999999	4.038492159999992e-08	1.3023830884000002e-06
328.5768473960841	-0.1793782841071447	0.0321765688092235	107962.74464474952	324.1315861569511	0.8342013491524654	0.6958918909277934	105061.285144621	234.623825381946	-0.3257988926240784	0.1061449184350758	55048.33943685789	233.557056937004	371.5941661341159	1.115084	18.854649	0.04443965	0.0311359	-0.0255221947	-0.1326956766	-0.0133862414	-0.0279382082	-0.0437175478	0.1011430143	0.0225819007	0.049517857	-0.0229383667	-0.0864253026	-0.0982204409	-0.1390995576	-0.0498867015	-0.0194868026	-0.0986463113	-0.0639746313	0.10560481	0.0598217804	-0.0221054418	0.1178149212	0.001344426	0.0451959023	0.0134463872	-0.0897767572	-0.0691525725	-0.010889886	0.0606335712	0.0766012151	-0.0022702288	0.0970557442	0.0524805207	0.0703343707	0.1897505264	-0.0965933176	0.2528688867	-0.1693055329	0.0366247114	0.0547965098	-0.1089056945	0.0028021151	0.0356152956	0.085459842	-0.1089875378	-0.0903420627	0.0384688227	-0.0412492992	-0.0201555433	-0.0366276625	0.1209446857	0.0236580417	-0.0938746181	0.0248301616	-0.0763670231	0.057481538	0.064921864	0.1134116489	-0.009689843	-0.1838424635	-0.0166807696	0.0836963936	-0.0338521644	-0.0241516801	-0.0904626389	-0.0661108278	0.1069325302	-0.0451478202	0.0266362995	-0.1141955083	0.0210490947	0.0346333276	-0.0138721142	-0.0837195741	-0.0556274311	-0.0368115357	0.0812497883	0.0711742327	0.019014258	0.066618522	0.0875582431	-0.1745988292	-0.1545869754	-0.1789168116	0.1441560974	0.1092250069	0.1048889447	0.0678256983	-0.1179728347	-0.0308862849	0.0951862976	0.0866067498	0.062690438	-0.1287866049	0.0312491755	-0.0793914709	-0.027427404	-0.1127090782	0.0675504522	-0.0619095073	-0.0403816704	0.0769019987	-0.0424685277	0.0051947368	-0.0908304835	0.1151140254	0.0865373687	-0.0171368334	-0.1412565922	-0.1217754458	-0.0108362547	0.1039188816	0.0825542078	-0.0894744866	0.0681011626	-0.067332518	0.0602809748	-0.1429786903	-0.0504126122	-0.0232980025	-0.0654427961	0.0851439649	0.0601053525	-0.0120298224	-0.1783039778	0.1278860936	0.036724244	0.0923660107	-0.1375868889	-0.1314087911	0.0003740177	0.0202260245	-0.1064709447	0.138921697	0.028156044	0.1189139965	0.1170936064	0.1140802373	-0.0289873	-2.7000000000013125e-06	7.290000000007087e-12	0.00084026356129	-0.02609	0.0205115	0.0004207216322499	0.0006806881	-0.042019	0.002298	5.280804000000006e-06	0.001765596361	-0.000298205	-0.000408509	1.6687960308100005e-07	8.8926222025e-08	0.00161889	6.699999999999241e-07	2.6208048321e-06	4.4889999999989846e-13	-0.00111785	2.3369999999999988e-05	5.461568999999993e-10	1.2495886225000005e-06
328.7642697206201	0.187422324536044	0.0351271277344942	108085.94504493264	323.59596251911586	-0.535623637835215	0.2868926814078296	104714.34695867304	234.39766052855484	-0.2261648533911682	0.0511505409094486	54942.26326125964	233.3401207341661	372.67732091221006	1.091794	18.460838	0.07220775	0.0468724	-0.0068001276	-0.077818134	0.1060583027	0.0413360718	-0.0836813707	-0.0267531261	-0.0316191429	-0.0996848538	0.0484374651	0.0650394536	-0.1028610739	-0.0765593964	0.041285395	-0.0532637199	-0.0200740617	-0.1865715707	-0.0452802744	-0.1309078755	-0.0093623503	-0.0204971204	0.1017267483	0.1159510311	0.0166533347	-0.1147878446	-0.0471281157	0.2464198897	-0.1962480558	-0.0801154351	-0.0651663129	-0.1089135568	0.0594155782	0.0255277587	-0.1213429417	-0.0793400132	-0.0513356165	-0.1360787199	-0.075643917	0.0397592017	-0.0157303728	-0.1443657332	-0.0186186706	-0.0305277692	0.0511843627	-0.0229772794	-0.0470771372	-0.1004866805	0.0182904007	0.184262611	-0.1186768036	-0.0057873006	-0.1903853437	-0.0154914386	0.0554852886	0.0576887382	-0.0767916711	0.0711422863	-0.0567785958	-0.1236042549	0.0255387174	0.0507596403	0.0037898426	-0.0341227318	-3.1961e-05	-0.1928628574	-0.0298854864	0.1038247591	-0.0340819587	0.0083542426	-0.0973619141	0.0530464352	-0.0823929259	-0.162922816	-0.1303590485	0.2295120181	-0.1880442278	-0.0041711762	-0.0965183003	-0.0698006468	0.0201080616	0.1336071656	0.0521477842	-0.0939561408	-0.0701108052	0.0822692008	0.077712862	0.0731370354	-0.006542612	0.0835571627	-0.0164825106	-0.0600184522	-0.1014852914	-0.0882537045	0.0427413979	0.1711390857	0.0800329055	0.1214757523	0.0800504327	0.0825641307	-0.1150362575	-0.0113599894	-0.0578187479	-0.0633615694	-0.1608876818	-0.0241785993	0.0494095451	-0.0433502636	-0.116987741	-0.0332369093	0.0605949242	-0.1073460662	0.0586207752	-0.0615152681	0.0503484354	-0.020086743	0.1462297574	-0.1106562767	-0.0478333809	0.0756727069	0.0298424104	0.0890296755	-0.0128893503	0.113266377	-0.0010287238	0.071745971	-0.0387170076	0.0559317861	-0.0346685809	-0.0526965176	0.1581680412	-0.1376963582	0.0603840463	-0.0316962551	-0.1187380796	0.1186137044	0.1159000657	0.1114232278	-0.0290631	-7.580000000000087e-05	5.7456400000001315e-09	0.00084466378161	-0.0688876	-0.0427975999999999	0.0018316345657599	0.0047455014337599	-0.0371599	0.0048590999999999	2.3610852809999982e-05	0.00138085816801	-0.000106521	0.000191684	3.6742755856000013e-08	1.1346723441e-08	0.00164918	3.029000000000009e-05	2.7197946724e-06	9.174841000000056e-10	-0.000850319	0.000267531	7.157283596100005e-08	7.23042401761e-07
328.7997330842337	0.0354633636135872	0.0012576501587895	108109.26447626331	323.5251834498512	-0.0707790692646312	0.0050096766459674	104668.54432625989	234.3598141492321	-0.0378463793227297	0.0014323484278399	54924.52248806261	233.3322549610639	375.27925659148553	1.097878	18.563713	0.0437044999999999	0.0311696	-0.0054130797	0.0403991543	0.1237508899	0.0017871712	0.0014747095	-0.1182348183	-0.0076624746	0.0153042382	0.053109833	-0.0937994358	-0.0304702274	-0.0533469266	0.2013788875	-0.1204536112	0.0846577413	-0.1412202664	-0.0674267315	0.0580005118	0.0259666337	0.0588488293	-0.1004343076	0.071615231	0.0572166597	0.0775789571	-0.1934115287	0.0232964685	0.0432733432	0.0133366811	-0.089123635	0.0598489526	-0.0141665973	-0.0959459091	-0.0856088079	-0.0593983158	0.1875099128	0.1233270858	0.0421116125	-0.0551381586	-0.038770278	0.0076226059	0.0513939597	0.0878206093	0.1698235899	-0.1046537345	-0.0658868339	0.0109182786	-0.1052300749	0.1521762971	-0.0729480033	0.0525817404	0.0883982393	-0.0340378511	0.0621045603	0.0277198905	-0.0956022579	-0.1172355762	0.103591411	0.0481908808	0.0455465841	-0.1049471943	-0.0212662244	-0.1003581239	0.1087293244	-0.1442293449	-0.0604191601	-0.0602250917	-0.0161283489	-0.0416090242	0.1071320338	0.0757700868	-0.0392147564	0.0746850754	-0.1577100039	-0.0142198401	0.0816506109	0.0577243175	-0.0576671873	0.1373662154	-0.0131068171	0.0158994561	0.1130090412	-0.1242612619	0.140192778	-0.062588518	-0.1301521308	-0.0719500567	-0.0407353158	-0.0589065731	0.0319970469	0.0441965111	-0.2039663032	-0.0601725595	-0.0591655278	0.0180902686	-0.0885921846	0.179113958	0.0048748587	-0.0293315627	0.0639984609	-0.0538072506	-0.0210965183	-0.1003746853	0.0715064799	-0.1475821223	-0.027506794	0.0025952607	0.0250736031	0.1106003796	0.0295128359	-0.0578306883	0.0388816853	-0.0032728902	0.1407169668	0.0980940845	0.0106208065	-0.1461039081	-0.0405848078	0.0506904634	-0.1386580129	-0.0320295478	-0.1215739745	0.0245530119	-0.0928559304	0.0251350667	-0.0454321656	-0.0087259454	0.0501757384	-0.0139530121	-0.0391422965	0.0414706927	0.2155543575	0.0286166491	0.0351246585	0.1182536866	0.1144731177	0.1082614433	-0.0290088	5.430000000000018e-05	2.9484900000000203e-09	0.00084151047744	-0.0400063	0.0288812999999999	0.0008341294896899	0.00160050403969	-0.0346906	0.0024693	6.097442490000003e-06	0.00120343772836	-0.000268139	-0.0001616179999999	2.6120377923999995e-08	7.1898523321e-08	0.00162704	-2.2140000000000137e-05	2.6472591616e-06	4.90179600000006e-10	-0.000912553	-6.223399999999999e-05	3.873070755999999e-09	8.32752977809e-07
328.5232699380542	-0.2764631461794806	0.0764318711954568	107927.53889079163	323.5297203355365	0.0045368856852974	2.0583331721456645e-05	104671.47994039048	234.52996624512105	0.1701520958889375	0.0289517357353981	55004.30506693762	233.4820607562215	373.9125953251102	1.166598	19.725689	0.02192065	0.0109309	0.0217077491	0.098198825	-0.036844676	-0.0812326832	0.0877139826	-0.0234708723	0.0377129287	-0.0157451013	-0.1192945212	0.0046890177	-0.01334263	-0.0524381326	0.0370611336	-0.1387865662	0.0364899507	-0.0009784496	0.074403154	0.0137147281	0.0978769915	0.0245571849	-0.0047571698	0.0745870517	-0.0073566757	-0.0866415224	-0.1908755674	0.0306100749	0.0552337101	0.127833581	0.0178694785	0.0876794058	-0.02736254	0.0153437685	-0.0195270316	-0.0116831286	-0.1653578916	0.0170786061	-0.0005931651	0.0865671851	0.1007253463	0.0040010342	0.0266906289	0.0872504419	-0.0733988751	-0.013925318	0.0434636335	-0.1477883883	-0.1469363095	-0.2074767877	0.0563103168	-0.0402898179	-0.0826581309	-0.138535639	0.0906219233	0.0530886335	0.0103923216	-0.0578576533	0.0524830625	0.0260254568	0.1592883684	0.1014767924	-0.0218965469	-0.1419622548	0.0348691675	-0.0014362557	0.0752121196	-0.0336855392	-0.0952907212	-0.0152957663	0.0067337226	0.0636032187	-0.0255293198	-0.0825024354	-0.141715518	-0.0352382841	0.1045064554	0.1531119806	0.0491915086	0.0666619116	-0.0114557752	0.0426214792	-0.0075355399	0.0652425296	-0.170697986	-0.020268132	-0.0481725394	0.0851818446	0.1024374953	0.0136914671	0.0481967273	0.0520434646	0.0339489743	-0.0622636247	0.1368190975	-0.0334007164	-0.1611446394	-0.17063435	-0.125208582	-0.0473631573	-0.1255373829	-0.1419783667	0.0041880625	-0.0855177932	0.0275911016	-0.0367967239	0.0020986392	0.1565531242	-0.0244485895	-0.0295212093	-0.0009879667	0.0590639369	-0.0068423271	0.0972648072	0.1385086174	-0.0774294923	0.0712305904	-0.0444065811	-0.0217820312	0.0510763291	0.0112334502	0.190625749	-0.0717355887	-0.0298577041	0.0630304961	-0.0669873084	0.0983831567	-0.0124746038	0.0716058964	-0.0786905491	-0.0878356924	0.0681631898	0.1651759503	-0.0047163069	0.0815002919	0.1178341246	0.112815636	0.1046092073	-0.0218127	0.0071961	5.178385521000001e-05	0.00047579388129	-0.0400228	-1.6499999999995685e-05	2.722499999998576e-10	0.0016018245198399	-0.0312645	0.0034261	1.1738161210000009e-05	0.00097746896025	-0.000163961	0.0001041779999999	1.0853055683999992e-08	2.6883209521000004e-08	0.0017159	8.886000000000007e-05	2.94431281e-06	7.896099600000012e-09	-0.000879952	3.260099999999994e-05	1.062825200999996e-09	7.74315522304e-07
328.77200240877085	0.248732470716618	0.0618678419887932	108091.02956787284	322.9073764456643	-0.6223438898722407	0.3873119172613116	104269.17376302194	234.866175147902	0.3362089027809531	0.1130364263091724	55162.12022860498	233.8306831328418	371.8314861645866	1.074804	18.173567	0.0363559	0.0223097	0.0497711823	0.04792044	-0.099862063	-0.0491375988	0.1067420706	0.0516285163	0.0492544696	-0.0620984644	0.0899400162	-0.0812603044	-0.0553301575	0.0245172334	0.0105067946	-0.0720186422	-0.0214424427	0.1020848703	-0.056869402	-0.033699042	-0.014599169	0.0730608511	-0.0493683713	0.0966661738	-0.0048347929	0.007238731	0.1285945962	-0.0520072709	-0.0965804597	0.0140644213	0.1773806351	0.0556949298	0.1387295006	-0.0488917909	0.0309565572	-0.1744554631	-0.1242907297	-0.0685066617	0.1314830931	0.0514094852	0.0517532717	0.0101262947	-0.1323750853	-0.0336949881	-0.102115691	-0.0013762695	-0.0432954186	-0.0282026943	0.0680053036	0.0141012966	-0.0825340358	-0.0510973765	0.045829735	-0.0020450606	0.0344723302	0.0119699263	-0.0355625734	0.0214849152	-0.0037651685	0.0922706347	-0.0714046096	-0.1016602679	-0.0749306889	-0.0831964423	-0.0238564719	0.0893992365	-0.0646589661	0.0288103464	0.0215605536	-0.0577584778	0.0634879066	0.1022751296	-0.0109120607	-0.0056056235	0.1241033113	-0.0130210828	-0.1261309381	0.0440761598	0.1671735658	-0.0320456856	0.1337857157	-0.0615908005	0.0529628527	-0.0889801572	-0.1592773018	-0.1469128295	0.1283835725	0.0635500396	-0.0137900526	0.0388102559	-0.06446997	0.0153439099	0.0869509285	-0.0086815629	-0.0028353341	0.0709724823	0.1033964303	0.0168472574	-0.0880469318	-0.0067115032	0.0143264132	-0.0439862208	0.0062353261	0.0201453312	0.0122710012	0.0069528241	0.0594386468	-0.0817308559	0.1024951012	0.0822252121	0.1231588044	-0.0745831955	-0.051352589	-0.0068702107	0.1128059849	-0.0916427699	-0.054248206	-0.0425152088	-0.1090989075	0.0378898416	-0.0957413631	0.1260685103	-0.1272799654	0.1245810077	0.0048030607	-0.0075523394	-0.0534581189	0.0333832974	0.0688655344	0.0116183707	-0.0739531654	-0.0156605759	-0.0918807764	-0.0176183797	0.0362327554	0.1173552296	0.1109309587	0.1004830656	-0.0255214	-0.0037086999999999	1.3754455689999992e-05	0.00065134185796	-0.060646	-0.0206232	0.00042531637824	0.0036779373159999	-0.0300091	0.0012554	1.5760291600000006e-06	0.00090054608281	-0.000109886	5.407500000000001e-05	2.9241056250000004e-09	1.2074932996e-08	0.00173868	2.2780000000000022e-05	3.0230081424e-06	5.18928400000001e-10	-0.000741435	0.000138517	1.9186959289e-08	5.49725859225e-07
