onset	duration	trial_type	trial_code	valence	arousal
7.2669	15	CON	NEU16	6	4
24.2919	11	Q	Q_NEU16	6	4
41.3503	15	NEU	NEU14	6	7
58.3753	11	Q	Q_NEU14	6	7
75.1837	15	NEU	NEU15	6	6
92.2087	11	Q	Q_NEU15	6	6
110.267	15	CON	NEU26	7	4
127.2921	11	Q	Q_NEU26	7	4
143.8671	15	CON	NEU25	3	6
160.8921	11	Q	Q_NEU25	3	6
177.7088	15	NEU	NEU29	6	6
194.7338	11	Q	Q_NEU29	6	6
212.2922	15	CON	NEU4	4	6
229.3165	11	Q	Q_NEU4	4	6
247.6339	15	NEU	NEU21	4	7
264.6589	11	Q	Q_NEU21	4	7
