onset	duration	trial_type	trial_code	response	RT	money	carbon
5.7856	10	CET	c4_m2	LEFT	2.4943999999999997	50	40
20.8273	10	CET	c1_m1	LEFT	4.076699999999999	10	2
36.1196	10	dummy	dl0	LEFT	2.000300000000003	0	0
51.1613	10	CET	m5_c2	LEFT	1.9187000000000012	120	10
66.9613	10	CET	c3_m5	LEFT	3.5586000000000126	120	25
83.253	10	CET	m0_c2	RIGHT	2.9869000000000057	0	10
99.5525	10	CET	c5_m0	LEFT	2.0315000000000083	0	50
114.5942	10	dummy	dr0	RIGHT	1.4697000000000031	0	0
130.6448	10	CET	m4_c5	LEFT	2.9150999999999954	100	50
147.4359	10	CET	c3_m2	LEFT	1.4437000000000069	50	25
162.9781	10	CET	m1_c3	RIGHT	2.4457999999999913	10	25
178.0193	10	dummy	dl1	LEFT	1.6606000000000165	0	0
193.0615	10	CET	c0_m0	LEFT	3.9224000000000103	0	0
208.3532	10	CET	c4_m1	LEFT	2.190700000000021	10	40
224.8949	10	CET	m4_c3	LEFT	1.8089999999999975	100	25
240.936	10	dummy	dr1	RIGHT	2.527799999999985	0	0
256.7278	10	CET	c5_m5	LEFT	2.0319999999999823	120	50
273.02	10	CET	m1_c0	LEFT	1.5798000000000343	10	0
290.0617	10	dummy	dr3	RIGHT	1.4581000000000017	0	0
306.6028	10	CET	m3_c3	LEFT	3.540999999999997	80	25
322.8951	10	CET	m3_c5	RIGHT	1.5686999999999784	80	50
338.1868	10	CET	m2_c1	LEFT	1.65300000000002	50	2
354.7285	10	CET	c1_m0	LEFT	2.1673000000000116	0	2
371.7695	10	dummy	dr2	RIGHT	1.3102999999999838	0	0
387.8113	10	CET	m2_c2	LEFT	4.40440000000001	50	10
403.3535	10	CET	m4_c0	LEFT	1.606299999999976	100	0
418.9036	10	CET	c0_m5	RIGHT	2.376100000000008	120	0
435.2036	10	dummy	dl3	LEFT	1.5960999999999785	0	0
452.003	10	CET	m4_c1	LEFT	2.9727000000000317	100	2
467.3036	10	CET	c4_m4	LEFT	3.4162000000000035	100	40
483.3447	10	dummy	dl2	LEFT	2.11099999999999	0	0
498.4037	10	CET	c0_m2	RIGHT	2.211999999999989	50	0
514.9454	10	CET	c4_m3	LEFT	2.2303000000000566	80	40
530.7371	10	CET	m5_c4	RIGHT	2.902599999999893	120	40
546.5288	10	CET	c4_m0	LEFT	2.470899999999915	0	40
561.5705	10	dummy	dl4	LEFT	1.629199999999969	0	0
578.3698	10	CET	c2_m4	RIGHT	1.3898999999998978	100	10
593.4122	10	CET	m5_c1	LEFT	3.203399999999988	120	2
609.9533	10	CET	c5_m1	LEFT	1.206299999999942	10	50
625.7456	10	dummy	dr4	RIGHT	1.75	0	0
640.7873	10	CET	m0_c3	RIGHT	1.6283000000000811	0	25
657.579	10	CET	c0_m3	RIGHT	1.820600000000013	80	0
674.3789	10	dummy	dl5	LEFT	1.4207000000000107	0	0
689.9207	10	CET	m3_c2	RIGHT	2.7749000000000024	80	10
705.2124	10	CET	m2_c5	RIGHT	1.0031999999999925	50	50
721.5207	10	dummy	dr5	RIGHT	1.4148999999999887	0	0
737.0535	10	CET	c1_m3	LEFT	3.8821000000000367	80	2
753.8458	10	CET	m1_c2	RIGHT	2.4496999999998934	10	10
