onset	duration	trial_type	trial_code	valence	arousal
7.2655	15	CON	NEU16	none	none
24.2905	11	Q	Q_NEU16	none	none
41.3489	15	ANG	ANG8	4	none
58.3739	11	Q	Q_ANG8	4	none
75.1822	15	ANG	ANG30	none	none
92.2073	11	Q	Q_ANG30	none	none
110.2739	15	CON	NEU26	6	7
127.299	11	Q	Q_NEU26	6	7
143.8657	15	CON	NEU25	none	none
160.899	11	Q	Q_NEU25	none	none
177.7157	15	ANG	ANG9	3	6
194.7402	11	Q	Q_ANG9	3	6
212.2991	15	CON	NEU4	none	none
229.3241	11	Q	Q_NEU4	none	none
247.6408	15	ANG	ANG6	none	none
264.6658	11	Q	Q_ANG6	none	none
