global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01
235.4052698615136	n/a	n/a	55415.64107857204	233.6796985914625	n/a	54606.20153379677	n/a	171.08366921327422	n/a	29269.621871477037	n/a	171.42753511333967	256.5599320347581	n/a	n/a	n/a	n/a	-0.068572419	-0.0618254119	0.1167229816	-0.0027495249	-0.1782875776	0.0196802411	-0.0190877276	0.1474606439	-0.3083467722	0.214854167	-0.0681449756	0.072681209	0.1491709375	-0.5083487843	0.0654311282	-0.3021083417	-0.042102928	0.0041326337	-0.2347845456	-0.0063401081	0.1032783423	-0.0240612498	0.0081383935	-0.038643723	0.0700725026	-0.0530907786	0.0100218603	-0.0442868179	0.0308687155	-0.0844290586	0.0768700419	-0.1400782802	0.0246881944	-0.0216413466	0.0288658344	-0.0333073651	0.0063459871	0.0281327717	-0.0546498759	0.0919124945	0.0591273454	-0.0455204224	0.0545361305	0.0803282674	-0.0078328155	-0.0368436404	0.0041830771	0.0198576375	0.0926755254	-0.0475062331	-0.1175594937	0.1303439512	-0.0608379462	-0.0105176662	-0.1006459104	-0.1273012425	0.2135859921	0.0748229206	-0.1471580504	-0.0589531623	0.0056534795	0.020163944	0.0201709288	0.008770611	-0.0223484527	-0.0818735152	-0.1193402582	0.1528861875	0.0417366223	0.0448880781	-0.0247026883	0.131535421	-0.0524631574	0.2078566006	0.0509314681	-0.0079947406	0.0452031533	-0.0028839315	0.0514991135	-0.0575711744	0.1081172535	-0.0180112918	0.0902328555	-0.0397749751	0.1572276778	-0.0627048072	0.0538071608	-0.0037759238	-0.0232015897	0.0619171357	-0.0891307094	0.0344852087	-0.066012442	0.0120743275	0.0951283446	-0.0171113878	-0.0390630586	0.057489512	-0.0948161833	0.0506459552	0.0222404319	-0.0388018163	-0.0491542944	0.0427816462	0.0056600038	0.0797849177	0.0072517539	-0.1274232359	-0.1055450865	0.2555585206	0.0469199113	-0.2035787564	-0.0344811063	-0.0348096015	0.0543904417	0.0140157242	0.0128456576	0.0517030242	0.0383755797	-0.1561583267	-0.1475463763	0.0567143302	-0.0858079224	0.03743463	-0.055487574	0.0476344702	-0.0744093422	0.0471336922	-0.0875942724	0.0997768424	-0.0554158567	0.062883387	-0.1781880556	0.0007021307	-0.138625487	0.1069543377	-0.108546393	0.0244273428	-0.1618742043	0.0675516106	-0.0200297581	-0.0147512679	-0.066976375	0.1145673288	0.1195153378	0.1194927693	0.1194551582	-0.000374837	n/a	1.40502776569e-07	n/a	-0.000167419	n/a	2.8029121561e-08	n/a	0.124911	n/a	0.0156027579209999	n/a	-0.0008295089999999	n/a	n/a	6.880851810808341e-07	0.002	n/a	4e-06	n/a	0.000275277	n/a	7.577742672899999e-08	n/a	0.0	0.0
234.35154236029047	-1.0537275012231362	1.1103416468339544	54920.64540664702	230.3287287812676	-3.350969810194897	53051.32330199474	11.228998668837624	170.7588662126755	-0.3248030005987061	29158.590390238416	0.1054969891979231	171.0448721142363	251.3670568646038	1.200109	23.83674	0.040395135	0.0316266	-0.0729214435	-0.0980206709	0.0148042498	0.0235543557	-0.0522207824	-0.066045154	0.097228273	0.0857178125	-0.1009292792	0.1408753316	-0.1517263952	0.1871666956	-0.0140736845	0.0514987224	-0.112451356	-0.0333895175	-0.0822167778	0.050194669	-0.095871307	-0.1385432322	-0.0176157228	0.0364305781	-0.0717707005	-0.0144847899	0.1240338173	-0.0366977005	0.1032680119	0.2182843801	-0.0237920937	-0.1232273283	0.0531471157	-0.0488753586	0.0551292369	0.121337916	0.0041002741	-0.0668722745	0.1547299277	-0.0775161181	0.0115586369	0.012550742	0.0204139613	-0.0223402123	-0.0037801006	0.0192798774	-0.0603687304	0.0736796478	-0.0366515218	0.0064445085	-0.0708589373	-0.0319742888	-0.1624825856	-0.0498456947	0.0652984194	0.0022135627	-0.1078021647	0.0114803704	-0.0478166484	0.1049430176	0.163630286	0.0913826185	0.0296939866	0.08105704	0.0094306933	0.0219047335	-0.1000101982	-0.0822423864	-0.049098839	-0.110375944	0.0709850357	0.1041109006	0.1109355715	0.0883808172	0.0110651074	0.1258435547	-0.0267137262	0.0883838641	-0.0035562616	-0.0135714237	0.0866213865	0.1123398128	0.0464691146	0.1606646436	0.1341455473	-0.1004514974	0.0282449947	-0.0184157423	0.2243107156	0.1157630175	0.0275158182	-0.0414425336	0.0583776312	-0.0186432252	-0.0419168166	0.0401562028	-0.0733823813	0.0540371365	-0.0406435742	-0.0270536527	-0.0117358229	0.0975833434	0.0686361379	0.0246366027	-0.129740245	0.0701369859	-0.0046336558	-0.2008247721	0.028994276	0.0162144399	0.0562887412	-0.0898887297	0.0346676064	-0.0202498267	0.1768898044	-0.1203590023	0.0050045386	-0.0033078754	-0.1209119635	0.0348100703	-0.0457450313	0.0384652583	-0.1898644096	-0.0834683812	0.0286659515	0.0419945626	-0.0664679951	0.0528039974	-0.0017926495	0.1619051163	-0.0431978026	0.0369907851	-0.1552919524	0.0559461551	-0.2245501494	-0.0245642829	0.0007612917	-0.0364743981	0.1724710455	-0.1105619918	0.073020904	0.0738711071	0.0617577154	-0.0433900451	-0.0424466105	0.1012097075	0.1194551582	0.1192521267	0.1189139965	-0.00273056	-0.002355723	7.455957913599999e-06	5.549430852729001e-06	-0.000197181	-2.976199999999999e-05	3.8880346761e-08	8.857766439999993e-10	0.153981	0.02907	0.023710148361	0.0008450649	-0.000971913	-0.0001424040000001	2.0278899216028487e-08	9.44614879569e-07	0.002	0.0	4e-06	0.0	0.000238888	-3.638899999999998e-05	5.706747654400001e-08	1.3241593209999983e-09	0.0	0.0
233.9576358430164	-0.3939065172740754	0.1551623443509915	54736.17536925347	229.3509647752309	-0.977764006036722	52601.8650433292	0.9560224515009786	170.5976876647029	-0.1611785479726108	29103.57103654353	0.0259785243265592	170.91448033603578	248.29046221212909	1.136388	22.571102	0.079121299	0.0462851	-0.0936637082	-0.1125422306	-0.0488431323	0.0537133072	-0.0084744257	-0.0203545568	-0.1243785815	0.0709265673	0.0133024803	0.1523583498	-0.1320176137	-0.0532090925	-0.1235610574	0.1882946613	0.0842786775	-0.0800118727	-0.0888774787	0.1336329714	-0.0614952948	0.0514265153	0.0029067988	0.1255581633	-0.0768016265	0.0875454015	0.1108148254	-0.083767397	0.0317260124	0.0745100102	0.0048024746	0.0369357438	0.0177739655	-0.0601694447	0.0270619701	-0.1184289378	-0.1391142419	0.0798495554	0.1245416264	0.0287243434	-0.0853196436	0.0599052449	0.0348342366	-0.0416497715	-0.0444260671	-0.0660947071	0.0298536197	0.0461264138	-0.0063371262	-0.0636726407	-0.0143840436	0.0357895823	0.0001940421	-0.216721789	-0.0657865245	0.0930321402	0.0177154397	0.1606156589	-0.1262959369	0.0014920335	-0.0485163033	0.0153762156	-0.0702107405	-0.1129524981	0.0216787648	0.1093639176	0.0896412816	0.0116556981	0.039394218	0.0118416347	0.0441291131	0.0802949758	-0.0823932916	0.1200958426	0.0892834109	0.0025023094	-0.0786352818	0.0846112432	-0.0322451884	0.0983749878	0.1663271906	0.050133279	-0.0016309222	0.0371044234	-0.0484624531	-0.0574313747	-0.0512652963	-0.0216873608	0.0501127875	-0.1623027515	0.0408869297	0.0288267483	-0.0166173106	-0.0299177944	-0.1960692132	0.1271591257	0.0724849787	-0.0048380131	0.0605779307	-0.0199447876	-0.0243076643	0.0450610228	-0.098051306	0.0768740431	-0.0052193435	-0.0126797518	0.1468392375	0.088571792	0.0147686103	0.0361781502	0.0274503672	-0.192980901	0.0417643846	0.114352967	-0.0437581491	0.0230930826	-0.0791350324	0.0294874817	0.0181566628	-0.1739390824	-0.1211949869	0.0366226455	-0.1393452749	0.1133521717	0.0679860651	-0.007570573	-0.0384734296	0.0127015016	-0.0016317369	0.203610274	-0.0135536843	-0.0462682069	-0.055699158	0.0437131849	-0.114734285	0.1121397864	0.1193525371	0.1207159181	-0.012859984	0.1362924631	0.0073478676	-0.0885754419	0.0799543558	0.02326438	0.0114926632	0.0139708534	0.1193348294	0.1187713263	0.1178341246	-0.00263918	9.137999999999985e-05	6.9652710724e-06	8.350304399999972e-09	-0.0298702	-0.029673019	0.00089222884804	0.0008804880565743	0.125121	-0.0288599999999999	0.015655264641	0.0008328995999999	-0.00074719	0.000224723	5.050042672900002e-08	5.582928961e-07	0.00181751	-0.00018249	3.3033426001e-06	3.33026001e-08	0.000241613	2.7249999999999985e-06	5.8376841769000003e-08	7.425624999999992e-12	0.0	0.0
233.74565468480776	-0.2119811582086299	0.0449360114354722	54637.03108402939	228.3697046561041	-0.9812601191268016	52152.72200471621	0.9628714213887448	170.48420971562115	-0.113477949081755	29064.86576235989	0.0128772449278013	170.75542349398486	245.7580949632988	1.005777	19.976892	0.09095189	0.066754	-0.115763336	-0.1092835487	-0.09143981	0.0560530183	0.0265046399	-0.0409434962	-0.0028532547	0.0538472168	0.0394547705	0.1894498415	0.0801371039	0.0765259321	-0.0312602102	0.1740260825	0.1799610163	0.1478966447	-0.1023024074	0.1724849631	0.0200043645	0.0633447663	-0.0173022273	-0.0481714584	-0.0471850014	0.0438012919	0.0534688564	-0.1243226643	-0.0222540667	-0.0209695257	0.0088779791	-0.2528744937	0.0969883708	0.0772449675	-0.1119223049	0.0959370176	0.0237182582	0.0041707399	-0.0091877279	0.0981917617	-0.0521693454	0.0676209225	-0.0328973444	0.088901718	0.0325954203	0.0136158179	-0.140454137	-0.0100311243	-0.2202600354	-0.067737718	0.013634482	-0.0222935508	0.170932047	0.0968132114	-0.1455708694	0.1608911255	0.0106290211	-0.1086799526	-0.1040324282	-0.0076956566	-0.008609407	-0.0822618065	0.0025179188	0.1005779099	0.0119311177	0.063900732	0.0081810926	-0.0845637014	-0.0730712295	0.1244630002	0.0722199305	0.1055747512	-0.0246640384	0.1544464128	0.0805779459	-0.0893164959	0.0442334993	0.0343309988	0.0144986704	0.0885200467	0.1607917677	-0.029020686	0.0444856185	0.0564341391	0.1115926108	-0.0650161326	0.1768618203	0.1650677345	-0.0830380994	0.1049924657	-0.008440481	0.0055661741	0.1176116406	-0.0261580967	-0.0074369774	-0.0209985078	0.1339253436	-0.0257246819	-0.051647339	0.0674464863	0.0343649508	0.0068432404	0.0643174959	0.2150188653	0.0698724312	-0.1470820106	-0.0550972061	0.1718961828	0.1288365126	0.0703255944	0.1725150271	0.1134057121	0.0474612191	0.0471829795	-0.0133195875	-0.0436235824	0.0314510873	-0.0671881498	-0.0812630361	-0.0760875126	-0.0128184922	-0.1095130656	-0.1609148882	0.0545950776	-0.0840869275	-0.0230494775	-0.060901206	0.0057580647	0.0098707707	0.2384463691	-0.0192510408	-0.0470562839	-0.0816575227	0.0064735337	-0.1411976119	0.1320687113	0.0973663423	0.1105425655	-0.0287467086	-0.0104062294	-0.1950593923	-0.0716252823	-0.157825487	0.0765957903	0.0420594422	-0.0419873259	0.1191544118	0.1180513362	0.1162204348	-0.00257169	6.748999999999991e-05	6.613589456100001e-06	4.554900099999988e-09	0.0333924	0.0632626	0.00111505237776	0.00400215655876	0.137555	0.012434	0.018921378025	0.000154604356	-0.000931821	-0.000184631	3.4088606160999994e-08	8.68290376041e-07	0.0018128	-4.710000000000001e-06	3.28624384e-06	2.218410000000001e-11	0.000127198	-0.000114415	1.6179331204e-08	1.3090792225000002e-08	0.0	0.0
234.0439569413097	0.2983022565019269	0.0889842362341413	54776.57378074562	228.35808958455905	-0.0116150715450373	52147.4170787095	0.0001349098869963	170.61639032411816	0.1321806084970092	29109.95264723184	0.0174717132626396	170.90306948378088	246.0235345755601	1.079719	21.445534	0.0625901989999999	0.0345025	-0.0923739662	-0.1051340467	-0.0759737362	0.0404222648	0.0460062727	-0.1026625419	0.115093573	0.1494283282	0.1319605876	0.0863674015	-0.0096784381	0.1631199773	0.016633985	0.1242558991	-0.0095722671	0.1166850685	-0.0953051295	0.1586013515	-0.0193460612	-0.0801468533	-0.0978690957	0.0140854276	0.0750485829	0.0316057248	0.0934725991	0.0932607345	0.0700318702	0.2267559117	-0.0735496592	-0.0839592111	0.0462420285	0.1059020836	-0.1248307756	0.1012619825	0.1354780941	0.1700665735	-0.0179853269	0.0702099146	0.0140053031	-0.1486183486	-0.0714261912	0.0094241527	-0.0530543416	-0.0474698396	0.0468690983	0.0810778901	0.0832533074	-0.0664921722	0.0730025723	0.0427743152	0.0652979408	0.0752825589	-0.0249337357	-0.0229774455	0.1462691225	-0.1970088414	-0.0324911709	-0.134096999	0.0402998338	-0.0544429914	-0.0408014978	-0.0993948701	-0.096299923	0.0059297749	-0.0357374998	0.0443810046	-0.0414846775	-0.08445931	-0.0788828917	0.1225607373	0.1289855744	0.146303861	0.0711492389	-0.0508251385	-0.0515594673	-0.0310659021	-0.0812249878	-0.0209160992	0.0776379948	0.2064259596	-0.0371335415	0.1440463566	0.0865327711	-0.1166603493	-0.1015666205	0.1017453806	-0.0661162434	0.0667936459	-0.1447828801	-0.0150307615	0.1975673535	0.0368318998	0.0333366526	-0.0340532227	-0.0528112239	-0.0342453214	0.0400271365	0.0272152394	0.0853481484	0.0708462081	-0.0860480886	-0.0404473494	0.1358251126	0.0119044053	-0.1014618145	-0.0263704052	0.003984484	0.1786937973	0.0452070018	0.0582452971	-0.1382267307	-0.0917859756	-0.0782839727	0.1263258188	0.0072693871	-0.0059711697	-0.029340756	0.0757099461	0.0545929765	-0.0155576214	-0.173937916	-0.1126671521	0.0358954995	0.0220783641	-0.049556728	0.0199825054	0.0115679789	0.2438566314	-0.0119735369	-0.0282000199	-0.1632329193	-0.0427256267	-0.1219565039	0.0747471466	0.062207731	-0.0473438489	0.1161325874	-0.2241519187	0.0901822186	0.0367190871	-0.0198575335	-0.0228519826	-0.0207337933	0.0103558547	0.1189139965	0.1170936064	0.1140802373	-0.000304911	0.002266779	9.2970717921e-08	5.138287034841e-06	0.00538858	-0.02800382	2.9036794416399997e-05	0.0007842139345924	0.153946	0.0163909999999999	0.023699370916	0.0002686648809999	-0.00107274	-0.0001409189999999	1.9858164561e-08	1.1507711076e-06	0.0016459	-0.0001669	2.70898681e-06	2.785561e-08	0.000116445	-1.0752999999999997e-05	1.3559438025e-08	1.1562700899999991e-10	0.0	0.0
234.54182144525325	0.4978645039435605	0.2478690642869676	55009.86600685705	228.7071693534318	0.3490797688727411	52306.96931365933	0.1218566850362464	170.7985363549723	0.1821460308541418	29172.140021000792	0.0331771765559179	171.04214172139373	250.8626822779672	1.205072	23.935305	0.102146858	0.0615011	-0.0368683546	-0.0945402121	0.0125224093	0.0739787179	0.0340546731	-0.035112453	-0.1321503517	0.157584926	0.1079037277	0.0661132963	0.0024050434	-0.0782181146	0.0123951577	0.1337122504	-0.0085611777	-0.014581628	-0.0756300936	0.1041774026	-0.116173543	0.0387611222	0.0599517499	0.0685330247	-0.0522794653	0.2066906119	0.0487319885	-0.024612642	0.1275614478	-0.0275711122	-0.0541138631	-0.0083608459	0.0660506263	-0.106794275	-0.0100167667	-0.0828274823	-0.0480429101	-0.0088928446	-0.0537747674	0.0136699643	-0.1350404529	-0.0599563972	0.0725885145	-0.1172449198	-0.1221913098	0.0156708908	0.1116238142	-0.0201436978	0.0925328966	0.1291651619	0.0940968716	0.0043498064	-0.0612488124	-0.2595945317	-0.0513717886	-0.0813027365	0.0815500483	-0.0137750093	0.0850984991	-0.1692968359	-0.0300373541	-0.0391916526	0.0339511819	0.0106393644	-0.0063623839	-0.0182567262	0.1053727126	-0.1313884837	0.1606305906	0.0648026343	0.0971602556	0.0516504539	-0.0932531427	0.1380853086	0.0597767749	0.0508880469	-0.070817218	0.010517256	-0.0948679341	0.183473099	0.0757156197	0.0297270518	0.0821554468	-0.0149618601	0.0018836874	-0.072128071	0.0406625029	-0.1151748347	-0.072602739	-0.0865066169	-0.0439142223	0.0236438681	-0.0932907061	-0.0884636106	-0.0610154953	0.167526066	-0.0901170707	-0.0420398696	0.1480488098	-0.07532451	-0.0319391244	-0.0242674271	-0.025663879	-0.1500025702	-0.0174240722	0.0029393421	0.2086133525	-0.0446254472	0.0674367166	0.0013677752	-0.0498937429	-0.0654486621	-0.0950525783	-0.0409974064	-0.254700963	0.012461856	0.0335016384	-0.0080026648	0.1360521348	-0.0736018746	0.0941242665	0.0108446201	-0.1358683853	0.1138591354	0.0589180438	0.0199104074	-0.0081478647	-0.0189170941	-0.0104928757	0.1142263909	-0.0548423892	-0.0249672066	-0.0767562083	0.0210406199	-0.0053651484	0.1334374068	-0.0308074476	0.0920437011	-0.0891819249	0.1395706026	0.1089752843	0.0743346239	0.0818499452	0.0170709475	-0.0357921066	-0.0382440359	0.1186137044	0.1159000657	0.1114232278	-0.000302033	2.877999999999995e-06	9.1223933089e-08	8.282883999999973e-12	-0.025272	-0.03066058	0.000638673984	0.0009400711659363	0.112977	-0.040969	0.012763802529	0.001678458961	-0.000617693	0.000455047	2.07067772209e-07	3.81544642249e-07	0.00151391	-0.00013199	2.2919234881e-06	1.7421360100000005e-08	0.000139696	2.3251e-05	1.9514972416e-08	5.406090009999999e-10	0.0	0.0
234.7279820098099	0.1861605645566442	0.0346557557960484	55097.22553839764	229.15017158891223	0.443002235480435	52509.80113922792	0.1962509806406628	171.04025728107496	0.2417209261026585	29254.769610776315	0.0584290061159268	171.27247357596798	253.5166308303405	1.045327	20.762434	0.087508507	0.0602935	0.0215619764	-0.0641640747	0.0611473408	0.0369245154	-0.0219409981	-0.0168941388	-0.0297037632	0.0565400105	-0.0235712599	0.0920877188	0.0866607137	0.0570819371	0.199019583	0.0170913802	0.0261212359	0.0396542948	-0.0112775494	0.0463834309	-0.1294796031	-0.001444884	0.0592134965	-0.0247612039	0.0083631514	0.1146494311	-0.0945065736	0.0586719374	-0.0640263665	-0.0760558802	0.0172353368	-0.1517068743	0.0671443337	0.0197598711	-0.0785970325	-0.0411431785	0.0079531133	-0.0216326688	-0.0207158226	0.0313547876	0.0204740476	-0.0282586032	-0.1013422608	0.0890347022	0.0562354141	0.1401454464	-0.0163554582	0.0352738958	-0.0068374279	0.0037429947	-0.0203838608	0.1017957064	0.0642440236	0.036444259	0.133522692	0.1024805827	0.0448500709	-0.092956162	0.0422465397	-0.0259064471	-0.0962451572	0.0476296268	0.0524010531	0.1995364334	0.0080099974	0.1179472537	-0.0097799606	0.0442965361	0.0691205953	-0.1379555356	-0.0211464454	0.0059793588	-0.0284297585	0.1131749618	-0.0027218972	0.0909246971	0.0471895516	-0.0225430544	-0.0779564465	0.0741693845	-0.1083360277	-0.0397810265	0.0204599954	-0.0126566943	0.0644076241	-0.0033174303	0.1560769315	0.0971999681	-0.0854471746	-0.0416717375	-0.0702527982	0.0302297441	0.0188543813	-0.0466898226	0.0493741707	-0.0210815204	0.0323929256	0.0042389044	-0.140861382	-0.0288779251	0.0469820779	-0.0622247683	0.0620145906	0.0391284595	0.0707353502	0.0382953387	0.0426359521	0.0738026889	-0.1843506002	0.0002493735	0.1187383518	0.1465837394	-0.0694573277	0.0330241917	0.0268865347	-0.1013228025	0.0471039072	-0.0445712477	-0.0189791272	-0.0007160836	-0.0121942984	0.1364033869	-0.1382451481	0.0531607775	-0.0758345198	0.0499856852	-0.0082566829	-0.0239330298	-0.017698504	-0.0023106244	-0.0400923739	0.0349179571	-0.0229227751	0.0423282853	-0.0650650296	0.0163762687	-0.1088363828	0.0409826202	-0.1436740226	0.0439501787	-0.1191316899	0.0950376506	-0.0638859617	0.0491274011	-0.0150747834	-0.1329717234	0.1182536866	0.1144731177	0.1082614433	-0.00630904	-0.006007007	3.9803985721600005e-05	3.6084133098049e-05	0.0305739	0.0558459	0.00093476336121	0.00311876454681	0.114521	0.001544	0.0131150594409999	2.3839360000000117e-06	-0.000904269	-0.000286576	8.2125803776e-08	8.17702424361e-07	0.00156987	5.595999999999986e-05	2.4644918169e-06	3.1315215999999843e-09	0.0	-0.000139696	0.0	1.9514972416e-08	0.0	0.0
234.40752348959083	-0.3204585202190628	0.1026936631809915	54946.88706852308	229.09953070959264	-0.0506408793195873	52486.59497135558	0.002564498658261	170.85820248602224	-0.1820547950527213	29192.525356754573	0.0331439484016883	171.11045609958236	252.5200506143517	1.075123	21.354239	0.05007534	0.031985	0.080871812	-0.0615342804	0.0325181396	0.0213848771	-0.0159423602	-0.0666112396	0.082478326	0.0448490167	0.0193908822	0.0119590389	-0.038716835	0.1095120186	0.1195341469	0.0439380982	-0.1306929174	0.0247734925	-0.0985262358	0.0527051781	-0.1470441236	-0.0866090918	-0.0468703223	-0.0254931362	-0.1308244152	0.0412663097	-0.0841540454	0.1108807002	0.0112686313	0.0224555286	-0.0627880296	0.0842135465	-0.0543125563	0.0392112398	-0.0065752719	0.0674167094	0.1540715677	-0.1068598265	-0.0270996381	0.044528815	0.1260633935	-0.0736525547	-0.0852289662	-0.0376536397	0.1692154825	-0.0974922261	0.0398988494	0.1525775044	0.0402969383	0.0550678919	-0.0063591835	0.1156474786	-0.0365085144	-0.039989788	-0.0660805123	-0.1125616232	0.1008064033	0.1161939555	0.0721463882	0.0108164989	-0.0465229045	0.0243827506	-0.0011712667	0.0460450656	0.0815997967	-0.028580759	-0.0270087126	0.091504886	0.0556810318	-0.1229156199	-0.1694174068	0.0873813588	0.0769554422	0.1018076056	-0.0314857104	0.0959959007	-0.0025131694	0.1283784459	-0.1150035437	-0.0055157126	-0.1220451261	0.0826301614	-0.0445304906	-0.0092824549	-0.02163569	0.0221050038	-0.0812760468	-0.0547303327	0.0145965094	0.1436661703	-0.0365497167	0.0256502864	0.0699617879	0.0251780673	0.1920382773	-0.069006915	0.0110520423	-0.1611283217	-0.0386961894	-0.0602690825	0.0854077521	-0.0185933198	0.0368128536	-0.0841981263	0.021790428	0.0757731605	0.1473634874	-0.0079952043	0.0112167179	-0.0194358705	-0.2254310694	-0.0635830667	-0.0364458419	0.0548591599	0.0850691769	-0.0182339098	-0.0698548427	-0.0508278499	-0.0778016219	0.0737411919	0.0530517307	0.0832310654	-0.1450956348	-0.0865502268	0.0430559861	0.0795986	0.0111251827	-0.0187321905	0.0331605123	-0.0071802371	-0.0166564312	0.078700283	-0.0501239416	0.0310557037	-0.0341646074	-0.1229113611	-0.0527263065	-0.0694538308	0.0850220959	-0.0408556414	0.0971077129	0.1192116643	0.0683847888	-0.0337663536	-0.0843276975	-0.0565055599	0.1178341246	0.112815636	0.1046092073	-0.00583305	0.0004759899999999	3.4024472302500005e-05	2.2656648009999998e-07	0.0032489	-0.027325	1.055535121e-05	0.000746655625	0.126308	0.011787	0.015953710864	0.000138933369	-0.000694522	0.0002097469999999	4.399380400899998e-08	4.823608084840001e-07	0.00156987	0.0	2.4644918169e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
