global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26
297.953131829924	n/a	n/a	88776.06876726008	287.60109234430706	n/a	n/a	82714.38831763864	205.1733975992236	n/a	n/a	42096.12308240909	204.67685622369456	349.84097203577727	n/a	n/a	n/a	n/a	-0.2533255546	-0.0702612133	0.0255582671	-0.1328312782	0.0338574743	-0.0967741444	0.0043715849	-0.0162063748	-0.0362367133	0.2417321982	-0.0279181903	0.1396519988	0.0261531104	-0.0788016628	0.0085419055	-0.0515632362	0.2221852835	-0.041080567	0.035254621	-0.2742114256	0.3798849639	-0.1580554614	0.0504827173	-0.0708241385	0.1098975292	-0.1570777826	0.0143602205	-0.0605888144	0.0534360321	-0.0574951572	0.0586354274	-0.0242300001	-0.0245270561	0.1310344881	-0.0694320026	0.0738973361	-0.1235214651	0.0240479061	-0.0365792664	0.0153799809	-0.0455527044	0.1217105244	-0.0113469198	0.0036261676	-0.1421018651	0.0319138291	-0.0633371847	-0.0256667477	0.0430202967	-0.0563955121	0.0211783288	0.0418504038	0.0071103557	-0.0688753729	-0.1806441464	0.0008962033	0.0877361567	-0.0002270023	-0.1038084267	0.0855414038	0.1121561675	-0.1464445598	-0.028933853	-0.0324669223	0.1186719384	0.0540606286	0.038171094	-0.0672778883	-0.03258211	-0.0255706642	0.2075637099	0.0463772394	-0.0704837982	0.1010596773	-0.1631206939	0.0016798069	-0.0543020833	0.0455009711	-0.0615669627	0.0781586265	-0.0105785069	-0.1323473778	0.1079321013	-0.0272707033	0.0366921759	-0.1399432345	0.0196924311	-0.0173833448	0.0061954017	-0.0207184276	0.1341610081	-0.0384219377	0.0064547474	-0.0972832571	0.0662014867	-0.1092372074	0.0033812331	0.0598925094	-0.0122635853	-0.032586969	-0.0298987133	0.1103202247	-0.089087892	-0.0913809965	0.030802674	0.0065506565	0.0584200361	-0.1471437523	0.1030873513	0.118224928	-0.1172744609	-0.0699035323	-0.0005016912	0.1023151976	0.0389453542	0.0441651092	-0.0574163391	-0.0803866408	0.0921712628	0.1634772562	-0.050130031	0.0407636255	-0.0674957521	0.2175203595	-0.0072993866	0.2596644631	-0.0047021257	0.0615787412	-0.0311581808	0.159117654	-0.025243147	0.113150964	-0.100617737	0.0262059498	-0.1229212299	0.0462158473	-0.0559560762	0.0974437545	-0.0859556001	0.0755979775	0.0099753402	0.0238403916	-0.0359251225	0.1198501593	0.1195153378	0.1194927693	0.1194551582	-0.0134565	n/a	n/a	0.0001810773922499	-0.0781575	n/a	0.00610859480625	n/a	0.0255028	n/a	n/a	0.0006503928078399	-0.000422158	n/a	n/a	1.78217376964e-07	0.0015698	n/a	2.4642720400000005e-06	n/a	0.0	n/a	0.0	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
297.831219827837	-0.121912002087015	0.0148625362528643	88703.43550413736	283.9855660596116	-3.615526284695477	13.07203031532388	80647.80173019801	204.8099061972467	-0.3634914019768871	0.1321259993111229	41947.097676524994	204.30555192010848	348.2534103807568	1.211846	27.493645	0.12205138	0.0689185	-0.2185573308	-0.1125489032	0.0028656185	-0.1139590228	-0.1011677589	-0.0274254664	-0.0509846498	0.0048934757	0.0220967269	0.1922054396	0.0894775866	0.024452448	-0.1152747335	-0.0013952653	0.0397869826	0.0428845368	0.0518967975	0.080203846	0.0488039397	-0.0456878289	0.148884284	-0.0603078606	0.1949132421	-0.0762460457	0.0882756794	0.0048100511	0.0846339833	0.0387750817	0.0702290377	0.0911738258	0.0819937051	0.0157504737	0.0190057498	-0.0012998079	0.0295330396	0.0861177918	-0.0895695598	-0.0748151465	-0.0690634703	-0.0395005253	0.1120290232	-0.0647856399	-0.0586046128	0.0515707428	-0.0710736889	-0.0277375779	-0.0934871662	-0.0508740539	0.1272880801	-0.0648690355	-0.0892981784	-0.0597399401	0.0363994912	0.0086854164	-0.0712264024	-0.0816368092	0.0139330005	0.0686855192	-0.0382379307	0.041329543	-0.0061765875	0.1010313065	-0.1237934766	0.0258940752	-0.1541478729	-0.0541975804	-0.0057458216	-0.0124118427	-0.0486809947	0.0609628125	0.1023551901	0.1901707796	-0.0788785494	0.0958244656	-0.0069456898	0.0847668878	0.0418074116	0.0722860582	0.0992597518	0.0644882753	0.004496921	0.0081156079	0.0115526254	-0.0322699718	0.0812227147	-0.0813138276	0.0882548876	-0.0335387682	0.1159898579	0.0311971798	-0.0726002782	0.0324335992	-0.0633195957	-0.0757425463	-0.0034704102	-0.0564961112	0.0190564457	0.1560810093	-0.103229977	-0.0380680159	0.0902551775	-0.0194180099	-0.0459823387	-0.0773484853	-0.0304758943	-0.0644428084	-0.0353327532	-0.0408468141	0.0261860483	-0.0721563088	0.108547974	-0.0641283521	0.0787906039	-0.1137797699	-0.0429083887	0.0336586044	0.0209756441	-0.0332339637	0.0902803547	0.0786193137	0.0033009785	0.0655720528	-0.1222738916	0.0968198148	0.0450874292	0.1613190247	-0.004247139	0.0968636877	-0.0454672623	0.1455301672	-0.0291464893	0.0772058797	-0.0780710801	0.0358410757	-0.0096100517	0.0377412761	-0.1221365463	-0.0837012367	-0.0470192075	0.0078684476	0.0853782237	0.0739072727	0.0654872139	0.0623283864	0.1194551582	0.1192521267	0.1189139965	0.00370123	0.01715773	0.0002943876987529	1.36991035129e-05	-0.0782154	-5.789999999999962e-05	0.00611764879716	3.3524099999999558e-09	0.0579435	0.0324407	0.00105239901649	0.00335744919225	-0.000317626	0.000104532	1.0926939024000002e-08	1.00886275876e-07	0.000381565	-0.001188235	1.45591849225e-07	1.4119024152250005e-06	-0.000155134	-0.000155134	2.4066557956e-08	2.4066557956e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
298.83632089016254	1.0051010623255363	1.010228145487922	89303.14668316819	284.7689362220633	0.7833701624517175	0.6136688114196304	81093.34703704556	205.0695639044465	0.2596577071998069	0.0674221249082606	42053.52603995987	204.563076032136	356.2641685924886	1.253074	28.429008	0.12417655	0.0661862	-0.1232489218	-0.0884357781	-0.0467736806	-0.1663275663	-0.0871943065	-0.0304412406	-0.0337224798	-0.0398817883	0.0487282336	0.1439134789	0.0716968303	0.0846416792	0.0165562502	-0.0227252159	0.041343062	0.0628352288	0.1505770928	0.0208542214	0.1163679532	-0.0695954333	-0.0490539278	0.2064033888	0.1403124278	-0.0300513555	0.0067546929	-0.0505650623	0.0300423362	-0.1183677423	-0.0782012029	0.0827318111	0.0044522837	0.0400006614	0.0439681826	0.0294560759	-0.0921153424	0.107022978	-0.10457145	-0.0634879723	0.013787725	0.0072491333	0.1334198362	-0.0603877631	0.0120995342	0.0378138413	0.0017692281	0.0854338346	0.0494594642	-0.0494486807	0.0909020096	0.0996940375	-0.1871623107	0.0154862709	-0.0253290008	0.0132486255	0.0895635421	-0.1927974464	-0.0563163957	-0.0164907455	0.0983365132	-0.0433084213	-0.0492683548	0.0800272906	0.070030317	-0.0524794606	-0.1232817272	0.1654871465	0.0424942151	0.0623531862	-0.0309324592	0.0378966364	-0.1493737624	0.1395579785	-0.0319570599	0.0051636347	-0.0625629632	0.0204331829	-0.0968178881	-0.1032697127	0.08061801	0.000941998	0.051372294	-0.0384905867	0.1028079335	0.039194539	0.0930025997	-0.0969678933	0.1008924022	0.0396778331	0.0720621043	0.0110895698	-0.0935225962	-0.0319499172	-0.0559415679	-0.0058876219	0.0790747641	0.0846028145	-0.0569506718	0.0726335178	-0.1028860091	0.1337758362	0.1420788186	-0.0464440407	0.0294547996	0.032634436	-0.0639814171	-0.1697876085	-0.0017699445	0.1276804489	-0.003216084	-0.0120469815	0.0619726417	0.1522660982	0.0311429018	-0.0943600822	0.1482701237	0.006179564	0.1172651463	0.0329309361	-0.0499225463	-0.156801707	0.0292549946	0.0822623775	-0.0207698197	0.013517374	-0.0307264051	0.031760061	-0.0088130867	0.0093676628	0.0041853615	0.1340834658	-0.1606252365	0.0971361331	0.0101385986	-0.0066952424	0.0113838163	-0.0271082624	-0.1165719008	-0.0479008819	-0.0486907005	-0.1099978208	-0.0299555911	-0.0403218274	0.1028769657	0.0312208353	0.1193348294	0.1187713263	0.1178341246	0.00315323	-0.0005479999999999	3.0030399999999985e-07	9.9428594329e-06	-0.0323666	0.0458488	0.00104759679556	0.00210211246144	0.0610402	0.0030967	9.589550890000003e-06	0.00372590601604	-0.000741036	-0.00042341	1.7927602810000007e-07	5.491343532960001e-07	-0.00022843	-0.000609995	5.21802649e-08	3.72093900025e-07	-0.00061539	-0.0004602559999999	3.787048520999999e-07	2.1183558553599998e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
299.3908889540461	0.5545680638835506	0.3075457374795499	89634.90438869396	284.83547400602373	0.0665377839604275	0.0044272766943645	81131.24725223622	205.2636951053609	0.1941312009143985	0.0376869231684665	42133.18452830656	204.7626308623902	362.5806693895967	1.166399	26.46257	0.053095831	0.035075	-0.0386022998	-0.0577371254	-0.0331183724	-0.1670653836	-0.1002728842	0.0407042648	-0.0584908085	-0.0513587259	-0.0026932769	0.0444778046	0.0907857374	0.0394697127	-0.1204643742	0.0015642979	-0.0064419386	0.076084191	-0.0672342829	-0.0967750988	0.0598599223	-0.1196528023	-0.0104460047	0.0828642199	0.0908575851	0.0223819599	-0.0194660781	-0.0177700723	0.1270507226	-0.004991589	0.1236442065	0.0122523167	-0.1477552156	-0.0504246522	0.0731689857	0.0893837432	-0.0567972298	0.0028153392	-0.0641446754	0.0038676091	0.0126930109	0.0474177288	0.1094319573	0.0821321186	-0.005552876	-0.0906454646	-0.000284947	0.0872987161	0.1519472793	-0.1014620833	0.0047732817	0.1004047587	0.0130216923	-0.1054216085	-0.1303853212	-0.027530528	0.0068547419	-0.0130317105	-0.0061072952	0.0138973729	-0.0367661186	-0.0614741918	0.1404301099	0.0932372585	0.0586918453	-0.0333487022	0.1396328566	-0.0193269015	-0.1012021171	0.0537218311	-0.1060798079	-0.0201505581	-0.068630679	0.0931524194	0.021094065	-0.0216821149	-0.0153609163	0.1316033393	-0.0161337417	0.1072366406	-0.0087440162	-0.1295525012	-0.0369776533	-0.0336380229	0.1354233969	0.0146569578	-0.0205064164	-0.042511235	0.0412891871	0.0644156477	0.068756555	-0.0190137257	-0.0104521645	-0.0584138859	0.1166344668	-0.0561324227	0.0811976532	0.1266946836	-0.1771566189	-0.023888481	0.1023673392	0.0603607112	-0.0064615243	-0.1114817484	-0.0657136067	-0.0250818437	-0.0362129895	-0.037410182	-0.0045733289	-0.0075970974	-0.0438238729	0.1504148636	0.116799378	0.0275738278	-0.0223884115	0.1333699454	-0.0801412388	-0.0825352659	0.0985619144	-0.0971339028	-0.0194213118	-0.0331845695	0.0317692546	0.0660973676	-0.0344927126	-0.0176887967	0.0137899758	0.0220136759	0.0232467282	0.0712472481	-0.0947869791	0.0485642906	-0.0139707021	0.0610446668	-0.088419579	0.0024181731	0.1139828053	-0.0818836416	-0.1034571733	-0.0399790625	-0.1405123895	0.0616855314	-0.0065937775	0.091353691	0.0289857419	0.0509418918	0.1191544118	0.1180513362	0.1162204348	-0.000645251	-0.003798481	1.4428457907361e-05	4.16348853001e-07	-0.0669556	-0.034589	0.00448305237136	0.001196398921	0.057902	-0.0031382	9.848299240000003e-06	0.003352641604	-0.000844821	-0.000103785	1.0771326225000004e-08	7.137225220410001e-07	-0.000275777	-4.734699999999999e-05	7.6052953729e-08	2.2417384089999993e-09	-0.000535119	8.027099999999992e-05	2.8635234416100005e-07	6.443433440999987e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
300.0459314604887	0.6550425064426122	0.4290806852466196	90027.56098599228	286.9404697838831	2.104995777859358	4.431007224805724	82334.83319979552	205.7630202446724	0.4993251393114803	0.2493255947484292	42338.42050020946	205.27102653994527	366.0061882554372	1.105415	25.079018	0.060582989	0.0363226	-0.0095302705	-0.0520283701	-0.0097042289	-0.1882962483	-0.0574493984	0.0869385528	-0.0687823726	-0.074198188	0.0192949158	0.0242683581	0.0555095253	-0.0485317694	-0.0212393665	-0.0323181986	0.0895999136	0.1096816325	0.1525562794	-0.0212075512	0.0228964161	-0.0355741211	-0.0984509066	0.0157274316	0.0048786051	0.0203138346	-0.0824956027	0.0090827001	-0.013625247	-0.0736189908	-0.0273718174	0.1551418791	0.0418021951	0.0633839517	0.0319068978	0.0179346132	-0.0255877671	-0.0483074192	-0.0550176642	0.1202133397	-0.1361554177	0.0185084312	0.0813702794	-0.0771147541	-0.0021704281	0.0151035996	0.0388801303	0.0654132368	0.049822352	-0.0851738776	-0.0535026907	-0.0180260485	-0.0882723143	0.0585411412	-0.0417340303	-0.0526240536	-0.0532286457	-0.0480095664	-0.1720786703	0.0291161849	0.2595709814	0.037629761	0.0599806591	0.093576524	0.0898525526	0.0124382619	-0.0673736625	0.0723037132	-0.0486724472	0.1226750138	0.0908304554	0.0084446465	0.1856118862	0.0066306056	0.0221944869	-0.0788714422	0.0136121881	-0.0233814214	-0.0571442428	-0.0492084037	0.1588725943	0.0256194816	0.0405936658	-0.0182187064	0.0505291033	-0.0043187008	-0.0609690261	-0.0939622495	-0.1229706864	-0.0628730765	0.1057813767	0.0025178275	-0.0992206978	0.0091250901	-0.0132332359	0.0059511938	0.0276694082	0.0200096208	-0.1030598157	-0.0465849008	-0.0959667395	0.0510007845	0.0125105749	0.0729172831	-0.0659818466	-0.0261043006	-0.1415209579	0.013764443	-0.014792777	0.2377775116	0.1048105457	0.0135624604	0.1146230025	0.0950695289	-0.1067969163	-0.0006551694	0.073890401	-0.0791997951	0.005780829	0.1718279923	0.1175576368	0.1673889219	0.0197402814	0.0476049217	0.0138719947	-0.0330170774	-0.0139689328	-0.0084561872	0.0129710845	-0.0029706824	0.033188524	0.1143557193	-0.1470482955	0.1075881077	0.0840016445	0.0606361008	-0.0495916077	-0.02397788	-0.0806267303	-0.0855480958	-0.1460823617	-0.0464794033	-0.0822488718	0.0529056767	0.0544695619	-0.0475507555	0.1189139965	0.1170936064	0.1140802373	-0.00105029	-0.0004050389999999	1.6405659152099998e-07	1.1031090841e-06	-0.0363338	0.0306218	0.00132014502244	0.00093769463524	0.0413117	-0.0165903	0.00027523805409	0.00170665655689	-0.000665909	0.000178912	3.2009503744000016e-08	4.4343479628100003e-07	-0.000346127	-7.035e-05	1.19803900129e-07	4.9491225e-09	-0.000545174	-1.0055000000000023e-05	2.9721469027600004e-07	1.0110302500000049e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
301.17316334787114	1.127231887382436	1.270651727931769	90705.27432096346	287.15767437741545	0.2172045935323581	0.0471778354515569	82459.52995384576	205.8583422160248	0.0953219713524049	0.0090862782225087	42377.65705992997	205.32481439813168	375.6440259056342	1.147533	26.03455	0.06719241	0.0403913	0.0861426719	-0.0083121602	-0.0439580954	-0.1576075609	-0.0691866306	0.0770582519	0.0033573175	0.0186784923	0.0091459842	-0.0739965725	0.144001353	0.0235431103	-0.147258845	0.0196320729	-0.0306732321	-0.0827255031	-0.0206720954	0.0282549833	-0.0402816744	0.0526384979	0.1008987546	0.0244106323	-0.0522152257	0.0536450955	-0.1479113625	-0.0339469239	0.1705215113	-0.0169830179	0.0512200129	-0.0747033858	-0.0805612976	0.023893419	0.0702789697	0.0412975455	0.0621162004	-0.0744953111	-0.0206927359	0.0649580811	-0.0046601608	-0.0541598936	-0.0725784585	0.0621319295	-0.0555249672	0.0618773007	-0.1084270926	0.076519585	-0.0488755677	-0.0037865357	-0.0311371434	0.0429599436	-0.2097757657	0.0711763423	-0.0094705877	0.0151636916	0.0792117768	0.1037960564	0.0011056094	0.1722388942	-0.0653647736	0.0157696349	0.0462920908	0.0634398741	-0.0189909154	0.0953501198	-0.055030112	-0.0819032942	0.0008055852	-0.026277135	-0.1625132299	0.0221980115	-0.0033537387	-0.0449721674	0.0557829678	-0.1508937486	-0.0234980103	0.1781098722	-0.0262021993	0.0420548262	-0.0731068314	-0.055886005	0.0065759553	0.0608250839	0.0550994255	-0.0567258685	-0.0934329031	-0.0223024173	-0.0444395492	-0.0101677665	-0.0552360972	0.0485994611	0.0766932762	0.0310694148	-0.0259574108	-0.1055875987	0.0798893246	-0.0581279383	-0.0128242683	-0.0127079124	-0.1553684189	0.1563274035	0.0346068012	-0.0350611386	0.0436758415	0.0701558688	-0.0723340976	0.0944914242	-0.151579908	-0.1160980213	-0.0134048665	-0.0015498842	0.1045359697	-0.0580241986	-0.0425033454	-0.0561256496	-0.0790389791	0.0362872565	0.0551739559	-0.1435647444	0.0221167411	0.0052870062	0.0256656595	0.0526209936	-0.0117656526	-0.0686725235	0.0138885087	-0.0207180956	0.0462875615	0.0802717231	-0.1191295135	0.008873743	-0.0617179266	0.0254930057	-0.1061567585	-0.0248211705	0.0372396929	-0.0925828848	-0.0340399499	-0.0808318289	-0.085253523	0.06032564	-0.0317802833	0.0294095745	0.0631588097	0.0628816865	0.1186137044	0.1159000657	0.1114232278	0.0081491199999999	0.0091994099999999	8.462914434809818e-05	6.640815677439837e-05	-0.0732502	-0.0369164	0.00536559180004	0.00136282058896	0.045932	0.0046203	2.1347172090000006e-05	0.002109748624	-0.000590054	7.5855e-05	5.753981025e-09	3.481637229160001e-07	-0.000230793	0.000115334	5.3265408849e-08	1.3301931556e-08	-0.000407237	0.000137937	1.65841974169e-07	1.9026615969000013e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
301.2962986574384	0.1231353095672602	0.015162304462225	90779.45958467232	289.6386602454259	2.480985868010464	6.155290877267635	83890.55350876527	205.8544526167217	-0.0038895993031076	1.5128982738735253e-05	42376.05566213012	205.34697708969344	379.6854703172417	1.091482	24.762905	0.097413915	0.0536546	0.1041965911	0.029049412	-0.0698736102	-0.0780956239	-0.0444141686	0.089403469	-0.0396692947	-0.0530187632	0.0842276657	-0.068939624	0.089669856	-0.1000882765	0.0087459103	7.51333e-05	0.1547557912	0.0094550456	0.0240649279	0.0264664175	-0.0174055628	-0.0350668592	-0.0421944236	0.0295750951	-0.0427432885	0.0442055909	-0.1273940698	0.0863229529	-0.0195065474	-0.0387417816	-0.0252455651	0.0494013074	0.0733546958	0.039887736	0.1335728909	0.038783444	0.1164393349	0.0818124569	0.1352691356	0.0559150289	-0.1197640064	-0.0825395501	-0.0188676517	0.063212211	-0.0018789842	0.0830249241	-0.0989768309	0.1351570263	0.0264895407	0.0674657736	0.0423201605	-0.020274216	0.0411004691	0.0585523213	0.0116838377	-0.0678426253	-0.0177323813	0.0630008808	-0.0490646184	-0.0129092728	0.0043289531	-0.0669432706	-0.1339375236	-0.0445074701	-0.0500507268	-0.1463494049	0.1139088772	-0.0722980812	-0.0514654764	0.1426841258	-0.1825666793	-0.128956624	0.021174546	-0.0353950638	0.0416859406	-0.1291747743	0.0896412608	-0.0258297402	-0.0426747875	-0.0280960046	0.082233554	0.0640266872	0.0005831582	0.113336237	0.0807997226	-0.0958846779	0.0804685825	0.0768021892	-0.103284924	-0.1628787792	-0.0299052581	0.0768854554	0.056428259	-0.0219626001	-0.0696788286	-0.0891370522	0.1698315693	0.0124654333	0.0240006009	0.0107533017	0.0273119329	-0.0371240322	-0.0346629737	0.0637734257	-0.0337690639	0.0589447925	-0.0079435652	0.0844519095	0.0093999681	0.0674795666	-0.0933243304	-0.0408969373	-0.0925700451	0.0576105953	0.0983731776	0.1418937029	-0.1255144327	-0.0524460136	0.1695632633	-0.0774344883	-0.1460860328	0.1032632321	0.0241881021	0.0368611965	0.017322275	-0.0669708897	-0.0246383424	-0.0447061441	0.0353557849	-0.0334280977	-0.0084923284	0.0068725863	-0.0978869443	0.1232630758	0.0204161887	0.0610501564	-0.1224106272	-0.0241368505	0.0239204107	-0.1174820855	-0.0797540086	0.0023027579	-0.0109194221	0.0326307594	-0.0582464956	-0.0816448234	0.1182536866	0.1144731177	0.1082614433	-0.00288486	-0.0110339799999999	0.0001217487146403	8.3224172196e-06	-0.0269893	0.0462609	0.00072842231449	0.00214007086881	0.0347095	-0.0112225	0.00012594450625	0.0012047493902499	-0.000665909	-7.5855e-05	5.753981025e-09	4.4343479628100003e-07	-8.107929999999998e-05	0.0001497137	6.573852888489997e-09	2.2414191967690004e-08	-0.000759599	-0.000352362	5.769906408010001e-07	1.24158979044e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
