global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04
260.66877752346574	n/a	n/a	67948.21157557807	280.84232535406534	n/a	78872.41171027868	n/a	175.44139710431574	n/a	n/a	30779.683817914207	189.9350493164819	303.02529047583863	n/a	n/a	n/a	n/a	-0.0720993142	0.0932914762	-0.163901874	0.2295945878	-0.2010723706	0.1300427519	-0.0122852942	0.1571594989	-0.1900325231	0.5592758125	-0.257295766	0.1199153229	-0.2303310522	-0.054564342	0.16791154	-0.0742371009	0.0109911619	-0.1296419241	-0.0040939164	0.0804454918	-0.1057018204	0.1060937018	-0.0497199953	0.249741778	-0.0352343377	0.2281438348	-0.1887091617	0.0421334365	-0.0768960086	0.0136349846	-0.0158766516	0.0337590929	-0.0172222625	0.123357321	-0.1654445326	0.1104605837	-0.0406546147	0.031538533	-0.0903805814	0.0122360849	-0.209770168	-0.0725082719	0.1790463842	-0.0071896459	-0.0718872602	0.0370082133	0.0537176179	-0.0711776027	-0.0412332681	0.1044903547	0.1043123823	-0.1261679114	-0.0082893594	0.1234013679	0.0910755626	-0.0597138299	-0.0636891533	0.0545698465	0.036631145	0.0849324992	-0.01286526	-0.0262752394	-0.0589741951	-0.0331013925	0.1169370475	0.0354048203	0.1134605814	-0.0828225566	0.1328375877	-0.065142382	0.0292391794	-0.0771832767	0.5114027236	-0.0753811946	0.1991992196	-0.037091194	0.1691873822	-0.3123446587	0.0423359128	-0.0351030581	0.0739068717	0.1839129293	-0.0752591439	0.0506864261	-0.0301712178	0.0007150347	-0.045350944	0.0508044915	-0.014046	0.1643237841	-0.1138404933	0.0948617618	-0.1506546515	0.0809316876	-0.0604783743	-0.0344675279	0.0651886233	-0.0166781628	-0.1136088465	0.1594341068	-0.1115234868	-0.0223046606	-0.033324457	0.0467463397	0.0747550939	-0.0595207779	-0.0284750523	-0.0875749822	0.100787745	0.0059948242	0.0234874133	-0.0616190766	-0.0955264835	-0.3340617224	0.1166375206	-0.1690605204	0.0459491723	-0.0487088984	-0.0595593511	0.0049678926	-0.0968948878	0.012202075	-0.2056321823	0.0164542294	-0.1655438426	0.0859484447	-0.110178643	0.1057851957	-0.0854422943	0.0320180404	-0.0322029858	0.0682702506	0.1260849577	-0.0363548493	-0.2533805929	-0.262173956	0.1195153378	0.1194927693	0.1194551582	-0.0489447	n/a	0.00239558365809	n/a	-0.000634346	n/a	n/a	4.023948477160001e-07	-0.173922	n/a	n/a	0.030248862084	0.00298157	n/a	n/a	8.889759664899998e-06	-0.000935862	n/a	8.758376830439999e-07	n/a	0.000688055	n/a	n/a	4.734196830250001e-07	0.0	0.0	0.0	0.0	0.0
261.0413401973664	0.3725626739006884	0.1388029459840307	68142.5812920372	277.3748567970913	-3.4674685569740404	76936.8111832069	12.023338193603635	175.67673735157862	0.2353402472628829	0.0553850319817548	30862.31604649554	189.447795509738	305.951299860097	1.357539	33.070522	0.192602834	0.0901779	-0.130810899	0.0905925965	-0.1723196561	0.2926049142	-0.0698981639	-0.0622360353	-0.0537750982	0.0195417663	-0.0074943128	0.3600166833	-0.1226376305	0.1219550055	0.016840137	-0.155488115	-0.0650472327	0.1182931262	0.042493871	-0.0879025733	-0.0599721543	0.1979235851	-0.0506146889	0.0619801726	-0.0086956975	0.4166773791	-0.0698635617	0.1059196492	-0.1597913457	-0.0545857326	-0.0017146527	0.0115271919	0.1029286968	-0.0852965844	-0.0035311544	0.0051658026	0.0175262443	0.0056426137	0.0547649248	0.0857515789	0.064282063	0.0466913897	-0.0811586662	-0.0657361766	-0.1806017104	0.1655119789	-0.1578107895	0.0224075222	0.0685950506	-0.0433796343	0.0201114047	0.1005946591	0.0835833905	0.0015703774	0.1114014638	-0.0071629443	0.0357156143	0.0082722734	0.1201671845	-0.0542119553	-0.0208609497	0.0136562674	-0.069524747	0.0031506809	0.1099040035	0.0161590713	-0.058029147	-0.1848435744	-0.0789687581	-0.0289230788	-0.0536607827	-0.1216693614	0.081326249	-0.0698615209	0.3735952225	-0.2195930809	0.1581286611	-0.16632322	-0.0429650179	-0.0236004328	-0.1145603344	0.0020868344	0.0003106583	-0.1930758794	0.1297364995	-0.0835523913	-0.0459941042	-0.0704687398	-0.0338138601	0.0100773059	-0.0228618551	-0.0630297636	-0.1443701923	-0.067715763	-0.0148367755	-0.1842924424	0.032470469	-0.1796127674	-0.1192545101	0.0279519999	0.0778704875	-0.0646745461	0.0827344542	-0.0178111179	-0.0591471966	-0.0136441238	-0.0032913534	-0.096929798	-0.0155459207	0.0858871149	0.0024430261	0.0125519202	0.0997462595	0.1266316071	-0.1223137811	-0.4199717973	0.0407096712	-0.0820589181	-0.0041307048	0.1467802089	-0.0777816284	-0.2010692483	-0.1132141305	-0.0194419301	0.1127817422	-0.0291280468	-0.0478276427	0.3122815425	-0.1338339099	0.0683322604	0.1793287681	0.0884493699	0.0125380261	-0.133009116	-0.2170226706	-0.0427659955	0.259232287	0.2029282982	0.1194551582	0.1192521267	0.1189139965	0.00256633	0.05151103	6.5860496689e-06	0.0026533862116609	-0.0526645	-0.052030154	0.0027071369252637	0.00277354956025	-0.150907	0.0230149999999999	0.0005296902249999	0.022772922649	0.00363942	0.00065785	4.3276662250000027e-07	1.32453779364e-05	-0.00109329	-0.000157428	1.1952830241e-06	2.4783575184000013e-08	0.00119371	0.0005056549999999	2.55686979025e-07	1.4249435640999998e-06	0.0	0.0	0.0	0.0	0.0
260.1866422882513	-0.8546979091151456	0.7305085158458018	67697.08882523443	275.85368477906974	-1.521172018021559	76095.25540619036	2.313964308411783	175.0287406933373	-0.6479966582413113	0.4198996690919067	30635.06006869551	188.61726179852883	305.63731115779143	1.298126	31.623199	0.25015368	0.128909	-0.120559803	0.0617468717	-0.141025147	0.2417001211	0.0648696711	-0.1876210869	-0.0347503881	0.1697650104	-0.1263079069	0.1067170283	0.0506016299	0.1371011927	0.188433739	-0.1591922876	-0.1289910125	-0.1571145396	0.1208861956	0.077892119	0.0304122233	0.1081233904	0.0880962065	-0.1637213765	-0.1218302521	0.1370384619	-0.3349777852	0.0725748117	-0.1290425331	-0.007937656	-0.0967825876	0.1085444166	-0.0715925866	-0.0331345042	0.1837738278	0.0667710968	0.0334136599	-0.1091755812	0.1147411233	-0.0905007284	-0.0009098133	-0.0290850522	0.0686170839	-0.0987095522	-0.0395568006	-0.2049064936	-0.0698813076	-0.024928999	-0.0887328466	0.0228189772	0.1138473111	-0.0857075393	0.0324376773	0.2140632905	0.0308399566	-0.161067414	-0.0782714074	0.0638192021	-0.0215013457	0.0103528014	0.1116531555	-0.0502796511	-0.0875383163	-0.0648642326	-0.031991423	0.0366241407	-0.0476765826	0.1848602804	0.0021591719	0.0944929713	-0.1130052687	0.1834396637	-0.0399548844	0.0055891329	0.1614230494	-0.1218424399	0.2853335547	-0.048597398	0.0883436502	0.291175881	0.0228426171	-0.0264882466	-0.0491746395	-0.0809850534	-0.1713483534	0.0681762952	0.190761063	-0.0219185728	0.0288910889	0.0383499091	-0.0767952971	-0.1773224993	0.1267122967	-0.0459868414	0.1266092133	0.1938752016	0.0393545649	-0.0371709886	-0.1392784347	0.200356995	0.0826695364	-0.0516159842	0.1599015324	0.0157263316	-0.0080040553	0.0292170378	-0.0174472164	0.095282808	0.0180564273	0.0085940761	-0.0789826167	0.0662592469	-0.065460895	-0.0103671065	-0.107369035	-0.3487449103	0.0291055212	-0.0311673847	-2.2581e-06	-0.0619817036	0.1779218224	-0.0590911157	0.0241690492	-0.0870789004	0.0839020811	0.1128420708	0.1078904495	0.0441581915	0.0023995699	0.3287438597	0.1194867601	0.0044344055	0.0727908561	-0.1296337162	-0.0091309168	0.1312364249	0.0657532005	-0.0102057734	0.1193348294	0.1187713263	0.1178341246	-0.0492375	-0.0518038299999999	0.00242433140625	0.0026836368026688	0.0162902	0.0689547	0.00475475065209	0.00026537061604	-0.148418	0.002489	6.195121000000094e-06	0.0220279027239999	0.00389231	0.0002528899999999	6.395335209999999e-08	1.51500771361e-05	-0.0020049	-0.00091161	4.01962401e-06	8.310327921e-07	-0.000179913	-0.001373623	1.886840146129e-06	3.2368687569e-08	0.0	0.0	0.0	0.0	0.0
259.6762170326418	-0.5104252556095048	0.2605339415640283	67431.73769238367	275.56440896663133	-0.2892758124384045	75935.74348912884	0.0836804956618989	174.8956805766331	-0.1330601167042004	0.0177049946573354	30588.49908436368	188.5024697179945	295.4733831606966	1.227741	29.908577	0.31393676	0.188723	-0.1125088718	0.0359341233	-0.0015162458	-0.0648013144	-0.0229016767	0.0318429528	-0.0021875792	0.0164850112	-0.1615605924	0.0998761549	0.015486652	0.026978067	0.1321064092	0.1639458198	-0.0363035654	0.0245160697	0.0627422799	0.2148815187	0.0729849119	-0.0249186472	-0.0195019696	-0.1075505968	-0.0344775897	-0.0059080089	-0.1471669963	0.0271736726	0.0448075583	-0.2601028477	-0.1996307324	-0.0184905002	-0.0339913391	0.0273175466	-0.1376043223	-0.0671395849	-0.0130321459	-0.0651602104	0.08506894	0.1008379445	0.1681789131	0.0218064351	-0.059332229	0.0532662673	0.0144263853	-0.2781976876	0.0190664603	0.0939006683	-0.0668202772	0.1297943379	-0.165382305	-0.0565170046	0.0629972456	-0.0145802575	-0.0098442892	-0.0132516956	0.0195457193	-0.067013763	-0.0943484369	-0.0258712028	-0.0371852256	0.0911657761	0.1314731324	0.0082571232	-0.2388986049	-0.0127734523	0.0233601705	0.0107250557	0.0413619011	0.0299479893	0.0454721646	0.0454651395	-0.1208318226	-0.1104936282	0.0156363989	0.0180851618	0.2014290722	-0.049140595	0.0363985216	0.1088520089	-0.178538951	0.3102686009	-0.0130610525	0.0615363053	-0.1309119198	-0.0060155333	0.0542277239	0.0543760834	0.205132014	-0.0991781999	0.0657408598	0.0712626123	0.2120358332	-0.1139058409	0.0064885716	0.0877034793	-0.1366231451	0.0865388716	0.0766461071	-0.0640843987	0.0914439341	0.1274320638	-0.1181025304	0.0280152102	0.1506287332	0.0152887356	-0.0295805066	-0.1605391903	-0.0276191117	-0.0034196145	-0.0555383791	-0.1295466447	-0.1278157472	-0.1343727072	-0.0629639037	-0.0806647582	-0.006907643	-0.0820872828	0.0240344558	-0.1044869928	0.1235129437	0.113757468	0.1203677546	-0.2647792183	0.0414625561	0.2110080501	0.1292126876	-0.0611919433	-0.0740647019	0.1853297046	-0.1281949338	0.0717425461	-0.1136507949	0.2410503412	0.0595321161	0.0786289774	-0.0003116731	-0.1228858742	0.1191544118	0.1180513362	0.1162204348	-0.0816065	-0.032369	0.0066596208422499	0.001047752161	0.0162058	-8.440000000000183e-05	7.123360000000309e-09	0.0002626279536399	-0.00489634	0.14352166	0.0205984668891556	2.39741453956e-05	0.00234824	-0.0015440699999999	2.3841521648999997e-06	5.514231097600001e-06	-0.00109832	0.0009065799999999	1.2063068224e-06	8.218872963999999e-07	-0.000488497	-0.000308584	9.5224085056e-08	2.38629319009e-07	0.0	0.0	0.0	0.0	0.0
260.0743056444577	0.3980886118159219	0.1584745428575277	67638.6444564468	275.5530713568531	-0.011337609778252	75929.49513419496	0.0001285413954839	174.98627433866753	0.0905937620344161	0.0082072297195484	30620.19620692741	188.5334004419006	297.5668150170437	1.339955	32.642166	0.23508282	0.128333	-0.1614764148	0.0162482761	0.0190192475	-0.1651583624	0.0054455369	0.0576625718	0.0595612551	-0.0453641582	-0.0575263122	0.1028729635	0.20607879	0.0685061616	-0.0610165433	0.1547957219	0.1143780898	0.1343212205	0.1013674249	0.1243682272	0.0634835234	-0.0573850235	-0.1143974567	-0.1554294777	0.1499086026	0.0657163022	-0.1041183011	0.0121286928	0.1259106748	-0.1477493564	0.1759077072	0.067538997	0.2088306273	0.1562581464	-0.043815143	-0.0202369696	0.048396708	-0.1266679895	-0.009304157	0.1717181236	0.1794354643	0.0225613795	0.0852753106	-0.0570630645	0.1368048291	0.0343438097	0.0535278906	-0.0637401498	0.1391106305	0.2159681783	0.0453654656	-0.1155099211	-0.05463677	-0.0641561482	-0.0360400607	-0.0012305387	0.0095616611	-0.0686834582	0.0884549406	-0.0323349467	0.0580394234	0.0977225913	-0.1157184396	-0.0416830237	0.0701195879	-0.1065692393	0.0167577771	-0.0105083341	-0.0580185979	0.0269815281	0.0937815226	-0.055437122	-0.143391155	-0.1785720815	-0.1671954957	-0.1584130762	0.1144635138	-0.0488911429	0.0225363738	-0.1138640812	-0.2159331771	-0.0791159396	-0.1972509877	-0.0698626817	0.1358496138	0.1541126072	0.0038710827	0.1052291579	0.0410874166	-0.1187757975	0.0594746656	0.0937996501	0.105084118	-0.1784951356	-0.0552395881	-0.0749721833	0.2147561617	-0.0009532884	0.0177689392	-0.0697597176	0.0382857736	-0.0293675862	0.0449394876	0.104320109	0.1650755263	-0.0763405101	-0.0249025696	0.1475658545	0.1125521457	-0.0400383711	0.0084211519	-0.0580387126	0.1693865588	-0.0512026568	-0.0352057626	-0.0436168914	-0.2307089256	-0.0341167461	-0.0137793111	0.0361114681	-0.0129589987	0.0908885416	-0.1314191883	-0.1283537551	0.2604778407	-0.0346720738	0.2544044486	0.0529321498	0.0889010937	-0.2146452303	0.0174753257	-0.2629347497	-0.014109568	0.0348387314	0.0652620472	-0.0945690626	0.162158266	0.1310878574	0.1189139965	0.1170936064	0.1140802373	-0.00670397	0.07490253	4.49432137609e-05	0.0056103890004008	0.0161667	-3.9100000000000246e-05	1.528810000000019e-09	0.0002613621888899	0.0692461	0.07414244	0.0054971014091536	0.00479502236521	0.00177688	-0.00057136	3.2645224960000015e-07	3.1573025344e-06	-0.0008094779999999	0.0002888420000001	6.552546324838381e-07	8.34297009640578e-08	0.000371276	0.0008597729999999	7.392096115289998e-07	1.3784586817599997e-07	0.0	0.0	0.0	0.0	0.0
259.8206221212471	-0.2536835232106114	0.0643553299485488	67506.75567947187	274.56000313773615	-0.9930682191169352	75383.19532299368	0.9861844878200816	175.0597129815784	0.0734386429108724	0.0053932342725906	30645.903109192608	188.4433650751767	296.8490699960805	1.154796	28.131567	0.103727814	0.0729025999999999	-0.124554498	-0.0137894213	-0.0301346484	-0.1390717399	-0.1090538931	-0.0561011317	0.1746121593	0.0906535869	0.1133200537	0.0079814778	0.1844513627	0.0429230568	0.1592228923	0.0248349056	0.0010421926	-0.0300765935	0.0987617764	0.0195415982	0.0789945347	0.0252096131	-0.1100988173	-0.0298154137	0.144576693	0.0140945448	-0.1390482395	0.0848294886	0.0695885729	0.0384135715	-0.0993213323	-0.079320071	0.167883812	0.0748496055	0.1507962655	-0.0795053516	-0.0256781225	-0.106010708	-0.0835033357	-0.1757720235	0.0559644081	0.0624945021	0.0138715577	0.152058816	0.1223471286	-0.0262763037	0.1293019017	-0.0513907617	-0.0349699535	-0.0165537825	0.089372886	-0.0216939135	-0.104975225	0.0769817436	-0.012443048	0.0024628313	0.0447894371	-0.1370707144	-0.0639539735	0.0355265668	-0.1035092883	0.0274553701	0.0253893645	0.1492230851	0.0440726988	0.114988345	0.0546362007	0.1239429632	-0.0208176425	0.0735088705	0.0539887975	0.0710032315	0.120004561	-0.0814368655	-0.1876282247	-0.1162557426	0.1304153256	0.047204116	0.0198829505	0.1670979946	0.0272596061	-0.1501795631	-0.109730673	0.0413175898	-0.0259646559	0.0405590572	-0.302349065	-0.0608212167	0.0804161118	0.0377418066	-0.1350679786	0.0424982761	0.108509069	0.0123105239	-0.0994412215	0.089463617	0.0336189553	0.0590552227	-0.0385201673	-0.0636309401	-0.088251543	-0.0823393113	0.0121081384	0.0212501844	-0.0428096879	0.0527227317	0.0141691006	-0.0431901641	0.1452478362	-0.040042907	-0.0450965151	-0.0116134841	-0.076061667	0.0743339656	-0.0139129872	-0.0674041138	-0.127796585	-0.0432326834	-0.0140069283	-0.0376836932	-0.1261490307	0.0750541456	-0.0168174185	-0.0935161284	0.0575034266	0.0742133816	0.1649713158	-0.0773488983	0.0411402369	-0.0990097324	-0.0313903683	-0.0647751339	0.0321013998	0.1002795229	0.0755448634	0.0103506026	-0.2170941686	-0.0406173278	0.1186137044	0.1159000657	0.1114232278	-0.0162339	-0.0095299299999999	0.00026353950921	9.081956580489996e-05	0.0161443	-2.239999999999881e-05	5.017599999999467e-10	0.00026063842249	-5.5389e-05	-0.069301489	0.0048026963776171	3.0679413210000003e-09	0.00177664	-2.4000000000009257e-07	5.760000000004443e-14	3.1564496896e-06	-0.000668853	0.0001406249999999	4.47364335609e-07	1.977539062497189e-08	1.46611e-05	-0.0003566149	1.2717418690201e-07	2.1494785321e-10	0.0	0.0	0.0	0.0	0.0
259.9923957551274	0.1717736338803206	0.0295061812964504	67596.04585049079	274.5227490168238	-0.0372541209123369	75362.73972775404	0.001387869524951	175.32759975244562	0.2678867708672214	0.0717633220056672	30739.76723495377	188.76806241541703	299.65814799079305	0.999534	24.349306	0.075310684	0.0450646	-0.1090153016	-0.0637506732	-0.0415876365	-0.0370057841	-0.0487771204	-0.0830874954	0.0463544585	0.030668752	0.1013499201	0.0203045764	0.1546364889	0.0855337962	0.0692637551	0.0211680025	-0.0815717241	0.0326524785	0.028332253	-0.1347584625	-0.0393195172	0.1247424664	-0.0209140181	0.0324849874	0.0649324256	0.082167611	-0.0594877349	0.0354640425	0.0836257986	0.0430357025	0.0429076538	-0.0333419304	0.0186677196	-0.0260012296	-0.0877923145	-0.040604811	0.1211458504	0.1430517267	-0.261716334	0.0028291467	-0.06414118	0.0998151114	0.0189697023	-0.0308340171	-0.0827547512	0.0219533533	0.0497616249	0.0129998857	-0.2637189131	0.0543723215	-0.1992145797	-0.0645816924	-0.0709611957	0.0048717266	-0.1510842521	-0.0717062187	-0.2292569843	-0.0383460725	-0.0181262661	-0.0371425479	0.0316895624	0.1719391268	0.1433682386	0.0394044548	0.0473573581	-0.1483257538	-0.0763611322	-0.0611245881	-0.1061740596	0.0118538348	-0.0502703294	-0.0050641431	0.0770396277	-0.0232237666	-0.0571103668	-0.1113298661	-0.0081161378	-0.1124564857	-0.0036332466	0.1244288966	0.1435999396	-0.0339252075	-0.0988265725	0.0865873566	0.2249161441	-0.0583669467	-0.0973298176	-0.1143261455	0.0378912494	0.0556539338	0.1193293658	0.0536895726	0.0465670127	0.1131042795	0.2406464966	-0.0301200189	-0.1133820792	0.1648297279	-0.0344927092	-0.073919752	0.1140796151	0.052763351	-0.0729779582	0.0922916481	0.0305551623	0.099062731	-0.1036173333	-0.0786763394	-0.086649565	-0.1259943675	-0.0618308425	-0.0905844703	0.1008144156	0.060441424	-0.0011713487	-0.1032180399	-0.1337010076	-0.0553729757	-0.0375965377	0.0633282727	-0.1131827619	-0.0309461636	0.0124668552	-0.0217783633	0.1025764869	-0.0523181669	0.1181362926	-0.0618216829	0.0481951559	-0.1444458487	-0.0875510232	-0.0499680641	-0.0388989744	0.1765096446	0.1022074377	-0.1024826166	0.0482278618	-0.0433045636	0.1182536866	0.1144731177	0.1082614433	0.010842	0.0270759	0.0001175489639999	0.00073310436081	0.0161809	3.6600000000001215e-05	1.339560000000089e-09	0.00026182152481	0.00757575	0.007631139	5.8234282437321007e-05	5.73919880625e-05	0.0016761	-0.0001005399999999	1.0108291599999974e-08	2.80931121e-06	-0.000510329	0.0001585239999999	2.604356882410001e-07	2.5129858575999985e-08	0.000566938	0.0005522769	3.0500977427361e-07	3.21418695844e-07	0.0	0.0	0.0	0.0	0.0
260.0952697766893	0.1028740215618881	0.0105830643123158	67649.54936020878	274.29432417453256	-0.2284248422912469	75237.37627436356	0.052177908575781	175.35902159961302	0.0314218471673939	0.000987332479411	30750.786456373546	188.85239624363888	307.0014518396207	1.016315	24.758095	0.0987471499999999	0.0620874	-0.0573069037	-0.051797	-0.1488590615	0.2308985893	0.0891812318	-0.1488233256	-0.0405626993	0.0852119559	0.0740362435	-0.0099989684	0.0490519547	0.0161131349	0.1105944716	-0.0755568182	-0.0555343988	-0.0020511318	-0.0931285255	-0.1797173662	-0.0661112429	0.1305478654	0.0424205438	0.0210262205	0.0076931841	0.0402203686	-0.0754371931	-0.010791497	-0.0061922672	0.2227730496	0.127278078	-0.0721968263	-0.0011579349	-0.0611026557	-0.1920699331	0.1558773124	-0.0055490206	0.0011098737	0.0835901938	0.0485327589	-0.1912762749	0.0258173829	0.1237082064	0.1098454245	0.1361383748	-0.0862333895	-0.0040159765	-0.1298278719	-0.087524627	-0.1201440943	-0.0737275976	0.0932155192	0.0612754976	-0.1367888714	-0.0513423703	0.1519607721	-0.0989762691	-0.1103824533	0.034263078	-0.0203100606	-0.0271862398	-0.0245230772	-0.0123473979	-0.0095545548	0.0614302806	0.2222728861	0.055205671	-0.0064591101	0.0098045994	0.0248786167	-0.1519000958	0.0477680614	0.1022419298	0.0520206195	0.0250540651	-0.069174175	-0.020322748	-0.0085145844	0.0437084637	0.03972897	0.1180275389	-0.1024557428	-0.0243693948	-0.0704287255	0.130498047	-0.2045017419	0.0467743046	0.1884184329	-0.0654302093	-0.0090235972	0.1231524984	0.0671488247	0.0702044465	0.1762130437	-0.045875438	0.1241819909	-0.1075151858	-0.0303943966	0.1509930949	0.0862843567	-0.1221803695	0.028475113	-0.1935438824	0.0838613861	-0.083104342	-0.0584115721	-0.1242888287	0.1157295403	-0.0333462483	-0.0064214714	-0.062344953	0.0316966904	-0.0806933334	-0.0223748365	0.0071484702	-0.2038989549	-0.059148441	0.0055560204	-0.0400968674	0.0431914401	0.0073762208	-0.1086931851	0.0133691728	0.1096670841	-0.0252037864	-0.0888389701	0.0040566279	-0.185119495	0.0678803834	-0.1387882724	-0.0763954438	-0.097107165	0.0188564438	-0.0398552688	0.0881541828	-0.1533516709	-0.2141498406	0.0338984685	0.1178341246	0.112815636	0.1046092073	0.00924275	-0.00159925	8.542842756249998e-05	2.5576005625e-06	0.00265255	-0.01352835	0.0001830162537225	7.0360215025000005e-06	-0.0537777	-0.06135345	0.0037642458269024	0.00289204101729	0.00144818	-0.0002279199999999	5.1947526399999984e-08	2.0972253124e-06	-0.000440103	7.0226e-05	1.93690650609e-07	4.931691076e-09	0.000714114	0.0001471759999999	2.1660774975999985e-08	5.099588049959999e-07	0.0	0.0	0.0	0.0	0.0
