onset	duration	trial_type	trial_code	valence	arousal
7.266	15	CON	NEU16	7	6
24.2911	11	Q	Q_NEU16	7	6
41.3578	15	NEU	NEU14	7	none
58.3828	11	Q	Q_NEU14	7	none
75.1911	15	NEU	NEU15	none	none
92.2162	11	Q	Q_NEU15	none	none
110.2829	15	CON	NEU26	6	6
127.3079	11	Q	Q_NEU26	6	6
143.8662	15	CON	NEU25	none	3
160.8913	11	Q	Q_NEU25	none	3
177.6996	15	NEU	NEU29	none	2
194.7246	11	Q	Q_NEU29	none	2
212.2913	15	CON	NEU4	none	2
229.3157	11	Q	Q_NEU4	none	2
247.6247	15	NEU	NEU21	none	2
264.6581	11	Q	Q_NEU21	none	2
