onset	duration	trial_type	trial_code	valence	arousal
5.5104	15	HOP	HOP22	7	7
22.5354	11	Q	Q_HOP22	7	7
40.6022	15	CON	NEU5	none	none
57.6355	11	Q	Q_NEU5	none	none
75.4522	15	CON	NEU3	7	6
92.4772	11	Q	Q_NEU3	7	6
109.0356	15	HOP	HOP19	4	2
126.0606	11	Q	Q_HOP19	4	2
143.3767	15	CON	NEU2	none	2
160.4023	11	Q	Q_NEU2	none	2
178.219	15	HOP	HOP7	8	4
195.2441	11	Q	Q_HOP7	8	4
213.0524	15	HOP	HOP15	8	4
230.0941	11	Q	Q_HOP15	8	4
246.6524	15	CON	NEU22	4	0
263.677	11	Q	Q_NEU22	4	0
