global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2
287.52761513485007	n/a	n/a	82672.12946513447	270.91820572115853	n/a	73396.67419117197	n/a	197.78859284790656	n/a	n/a	39120.32746075496	197.6737453848283	326.86717753503643	n/a	n/a	n/a	n/a	-0.0200342609	0.022396049	-0.109948041	0.0505113978	-0.046063746	0.0982222463	0.1012143325	-0.0379479288	0.1060203878	-0.2287725496	0.0053345347	-0.2497122365	0.3802702834	0.1952744665	-0.5796508823	0.1710105729	-0.0363709009	0.0503865593	-0.069145115	0.1094759111	-0.0027527074	0.003388127	-0.0659133897	0.0395553479	0.021844071	-0.1442972467	0.0944114017	-0.0885721505	0.0718645514	-0.0249429661	0.0185921808	-0.1413970495	0.0467583305	-0.0484696067	0.0591236363	-0.0061655751	0.0360167286	-0.1975491358	0.0220458481	-0.0931374841	0.0609569407	0.0066946299	0.0081825433	0.0451730897	-0.0696636764	0.1237834117	0.1164973348	-0.0608069618	-0.0825076182	0.0194506651	0.032229444	-0.162319884	-0.0157707394	-0.0147423876	-0.0412750289	0.1024630809	0.0016330213	-0.034714409	-0.0603194522	0.0925399338	0.0429339658	0.0026588743	-0.0748681006	-0.0442473735	-0.0506876609	-0.1620123727	-0.0422990074	0.0936673689	-0.0745762261	0.0793183262	-0.0193826866	0.0083479667	-0.0635429938	0.0664533951	0.0040569901	-0.1694499354	0.0083465853	-0.115901729	0.0016629775	-0.0421814505	0.0200380797	-0.1553393693	0.0222303073	-0.0421052227	0.0171600651	-0.007689905	0.0823842288	-0.1942781864	0.0081688799	0.0496175562	-0.0373419692	0.0520258573	0.0093055633	-0.0821890088	0.0706120635	0.0653356287	0.0960760538	-0.1315844301	0.1167958202	0.0191562669	0.0618686493	-0.1282850344	-0.0344235998	0.0034935415	0.0168269974	0.0290765034	0.1397863957	-0.0177410328	-0.0532705083	0.0463920744	0.0667332805	0.0556706192	-0.0282882795	-0.1417811386	-0.093296658	0.0934339181	0.0041219498	-0.1120061975	0.0830842253	-0.1238393057	0.1262213782	-0.0729922014	0.0177283778	-0.0606430449	0.0657667154	-0.0050727513	0.0679623187	-0.0956973504	0.0782407919	-0.0460017462	0.0465539067	-0.0010505637	0.0664587182	-0.1863688061	0.2021532631	-0.056834426	0.0050526746	-0.0163073557	0.0502857827	-0.0090466215	0.1195153378	0.1194927693	0.1194551582	0.00729169	n/a	n/a	5.31687430561e-05	-0.0609231	n/a	0.00371162411361	n/a	-0.0312253	n/a	0.00097501936009	n/a	0.000251715	n/a	n/a	6.3360441225e-08	-0.0	n/a	0.0	n/a	-0.00100301	n/a	n/a	1.0060290600999998e-06
287.2526297741558	-0.2749853606942452	0.0756169485961441	82514.07331216823	267.70352738630686	-3.214678334851669	71665.17857507114	10.3341567965647	197.6003411504421	-0.1882516974644659	0.0354387015982528	39045.8948227711	197.40545845031733	328.4425504720788	1.188609	24.871613	0.05490641	0.0325209	0.0018748312	0.0421178029	0.0883047424	0.1661877021	-0.0229845705	-0.0229240291	0.0862291838	-0.1126336553	-0.0690042515	-0.1026598227	-0.132404951	-0.0990710258	-0.0319530347	0.060443942	-0.159965297	-0.0209154706	0.061114182	0.0660136251	-0.0977112254	-0.0030643048	0.0687007323	-0.1467734358	-0.027327956	0.0830240386	0.0844413932	-0.1962132229	0.1203610528	0.1057273265	-0.0476297627	-0.0463514646	-0.0881701861	-0.065067385	0.0236307245	0.0359603901	-0.0725045878	0.1606580038	0.0460208086	-0.0532126811	0.0251830405	-0.0655808737	-0.0747039505	-0.0064467748	0.0842064052	0.0672542971	-0.0266516281	-0.0118567963	-0.0037747944	-0.0848782991	-0.0034403624	-0.0993280022	-0.0123933847	-0.2183029658	-0.0599547256	-0.0499966555	-0.027155389	0.1187142938	-0.1271135155	0.0114766972	-0.0878464338	-0.0237592986	0.0832460118	0.0213345483	0.1228568669	-0.1397907377	0.0579036137	0.0193879689	0.0735663027	0.0749732685	-0.0514508993	-0.0282220806	0.0937031781	0.143691517	-0.0186001539	0.1008786982	0.015474443	-0.1944026811	-0.1567766835	0.0003283318	0.0823446945	-0.0286514689	0.077158806	-0.0327953268	-0.0415752878	0.0593141769	-0.1161526891	0.1717598576	0.0552802565	-0.0445057326	0.0156706073	-0.0447036241	-0.098132271	0.064715578	0.0858820149	-0.0145851468	0.0024265156	-0.0147852038	-0.0271012343	-0.0861138957	0.0060345969	-0.1048929194	0.0512016281	-0.1845377226	0.0042405993	-0.0558211953	0.0705651557	-0.0466535633	0.1528685124	-0.1284381018	-0.0949568209	0.0054108249	-0.0406921519	0.084043378	0.160939419	-0.0242938569	0.079998922	-0.0324508716	-0.0344175525	0.1097611023	0.1708278915	-0.0676562233	0.0422577261	-0.0493434928	-0.0223303999	0.033414185	0.1379912725	-0.1088598745	0.0857032672	-0.0133585827	-0.1255534633	0.1187972188	-0.0267626858	-0.0358191572	0.0319975298	-0.0415231664	0.1648469591	-0.0502462913	0.1317942993	-0.127689492	0.0031404558	0.1055031385	0.1194551582	0.1192521267	0.1189139965	0.0160819	0.00879021	7.726779184409999e-05	0.00025862750761	-0.0368495	0.0240736	0.00135788565025	0.00057953821696	-0.0107454	0.0204799	0.00011546362116	0.00041942630401	0.000282969	3.125399999999998e-05	9.768125159999991e-10	8.0071454961e-08	-0.0	0.0	0.0	0.0	-0.00100301	0.0	0.0	1.0060290600999998e-06
287.02830694211053	-0.2243228320452885	0.0503207329768187	82385.24898605442	266.079849993929	-1.6236773923778856	70798.48657279175	2.63632827451905	197.5962437628585	-0.0040973875835845	1.678858501011306e-05	39044.275549191	197.3755498322209	331.26067212632216	1.203876	25.191072	0.0708233399999999	0.0380103	0.0258451804	0.1195433225	-0.0595246857	0.0468910303	0.0985827691	-0.1122605847	-0.0818752985	-0.1630762389	0.0258537958	-0.057072628	0.0562865329	-0.0303335212	-0.0231719343	-0.0831140404	-0.1012983936	0.1900187163	-0.0784256206	-0.0757329759	0.0291575316	-0.0181568914	0.033577533	-0.2381260694	0.012024164	0.1385490994	0.1976424067	-0.1116575407	-0.0398262445	0.0125743195	-0.0904007401	0.0108847503	-0.1416693394	0.0706909602	0.0172306967	-0.1161740402	0.0026358901	-0.0701167358	-0.1261175759	0.0734913358	-0.0126716426	0.0329828635	-0.0749152651	-0.0148576321	-0.007380957	0.0395426866	-0.0836404571	-0.0416803649	-0.1114474725	0.1202706994	0.0695997892	0.0532741917	-0.0579583867	0.1136044659	0.105548048	0.0091924834	-0.0003935339	-0.1763122589	0.0203879602	-0.0654335396	-0.0338504633	-0.0526360718	-0.0719023031	0.0206097564	0.0075557963	0.0463113608	-0.1394879708	0.0808637699	-0.0797458492	-0.0866309065	0.0068263658	-0.0237622143	0.0937481348	0.2202966084	0.0098527651	0.1841123986	0.106286724	-0.0816367538	-0.0522938068	0.0981711147	0.0927962056	0.0053753159	0.1265068304	0.0512488503	0.0398362481	-0.1299148705	0.0118171439	-0.0348482112	-0.1753828188	0.0810976275	-0.0221086683	-0.0699992702	-0.0404351214	-0.0301178922	-0.0108918772	-0.0283445953	0.0650469772	0.0013212122	-0.0923376857	0.1239183211	-0.0604730164	0.0608939511	-0.1321717282	0.0890779259	0.1221286695	0.0196342506	0.0051447061	-0.0321898083	-0.1429378708	0.0358003363	-0.0549258412	-0.0096371439	-0.0406808606	-0.0465131551	0.0190125972	0.0309464776	-0.167963925	-0.1281208808	0.0941099978	-0.0434796809	0.1396969491	-0.0822993264	-0.0700298293	0.052792011	-0.0723502698	0.0857407448	0.1813054836	-0.0689444311	0.0510598341	-0.0937595236	0.0590763326	-0.0521765642	-0.0169244703	-0.0072941276	-0.0571516909	-0.0088817219	0.1827067271	-0.0361789233	0.0317014473	-0.121857648	-0.0827628843	-0.0582831156	0.1193348294	0.1187713263	0.1178341246	0.0202333	0.0041513999999999	1.7234121959999996e-05	0.00040938642889	-0.0693485	-0.0324989999999999	0.0048092144522499	0.0010561850009999	0.00242639	0.01317179	5.8873684321e-06	0.0001734960518041	0.000605075	0.0003221059999999	1.0375227523599997e-07	3.6611575562500005e-07	-0.0	0.0	0.0	0.0	-0.000905093	9.791699999999988e-05	9.587738888999978e-09	8.19193338649e-07
286.9409618703063	-0.0873450718042363	0.0076291615684872	82335.11559905657	264.0452983463909	-2.0345516475380805	69719.91957883458	4.1394004064999175	197.5503200134229	-0.0459237494355875	0.0021089907622226	39026.1289374058	197.3125105159168	330.7092782883885	1.226486	25.6642	0.14357345	0.0872121	0.0229309062	0.1149324152	0.0672141116	-0.0884934897	0.0554185304	0.0515188308	-0.1145450652	0.1084699462	0.0470051582	-0.036066755	-0.0695320969	-0.0569659738	-0.1329443187	-0.0925662366	0.057633674	0.088013209	-0.0091799683	0.0837049408	0.1492843933	0.0861035344	0.09286507	-0.0690252908	0.0951237652	0.0838996279	-0.0271670249	0.0523104875	-0.0032242103	-0.0323999929	0.168611864	-0.0220777445	0.0537029846	0.0166852285	-0.0071072885	0.1687360611	-0.1989349137	-0.0050015341	0.0701527187	0.0120469264	0.1181860476	-0.0069423399	0.0263149195	0.0478059901	-0.200424212	-0.0055246735	-0.0047557279	-0.0283475871	0.0896074471	-0.0335236847	-0.0546136987	0.0337944263	0.1305330262	0.0791559272	-0.084132935	-0.0039583566	0.2096356739	-0.1209174602	0.0503386229	-0.0009980748	0.0668238615	0.0336196955	-0.0206190129	0.1065429141	0.0198524029	-0.1185236455	0.1610049135	0.0681600119	-0.0047600417	0.0144663224	0.1252182246	0.1414783061	0.1196993103	0.0521738967	0.0815271551	0.0580745174	-0.0397580346	0.0439106309	0.0323952531	-0.0508905828	-0.1401353072	-0.009390656	-0.0099615856	0.0299597848	-0.042224334	0.1581996862	-0.2033930289	-0.0745047733	0.0679519702	0.0054433158	0.1112494041	0.0305369927	0.0126177887	-0.0746505751	-0.1839988714	-0.0578135606	-0.011884274	-0.0684949665	0.0381532344	-0.0659205715	0.0302126093	0.0718044313	0.0820051955	0.0448112915	-0.0861163669	-0.0887211747	-0.1191506886	0.0073917765	-0.2048596539	0.0707832073	0.0173831559	0.0535356118	-0.1172572681	0.01630073	0.0346225346	-0.1356790921	0.1841086671	-0.0301264477	-0.1187991202	-0.0005115392	-0.0317898228	-0.1553158736	0.0035656625	0.1041147718	0.1478098131	0.003578571	0.1331348446	-0.2515007346	-0.022664326	-0.1016896861	-0.0977454919	0.0793033391	-0.2779266768	0.0939726238	0.2315255775	0.2540506778	0.0226835229	0.075947883	-0.2477447985	0.0306437927	0.1184579121	-0.031276066	0.1191544118	0.1180513362	0.1162204348	0.0182589	-0.0019743999999999	3.898255359999991e-06	0.00033338742921	0.00622201	0.07557051	3.87134084401e-05	0.00571090198166	-0.042601	-0.04502739	0.0018148452009999	0.0020274658502121	0.000282969	-0.0003221059999999	1.0375227523599997e-07	8.0071454961e-08	-0.0	0.0	0.0	0.0	-0.00100301	-9.791699999999988e-05	9.587738888999978e-09	1.0060290600999998e-06
287.5230211080498	0.5820592377435219	0.3387929562425697	82669.48766710007	264.48242171605426	0.437123369663368	69950.95139678878	0.1910768403058575	197.75517941970145	0.2048594062785298	0.0419673763407917	39107.11098731831	197.56021996797543	330.6076986843722	1.281694	26.819426	0.19076036	0.0957422	0.0545287077	0.090303435	-0.0725728057	0.0502831201	-0.1204690169	-0.074192974	0.0737167477	0.0028507437	-0.0816285587	-0.0908486746	0.0547379156	-0.0695597175	-0.203593899	-0.0055553494	-0.0560493608	0.0228304849	-0.1058777959	0.0533844612	-0.1220492486	-0.0078147848	-0.0582364544	-0.09215989	0.147004488	0.0027717203	-0.0511872407	0.0523316896	0.1731053855	0.0133973754	0.0179423313	0.034021845	-0.1282202777	-0.0764372919	0.1479235336	0.0436104226	0.0045778385	-0.0560539297	0.0256113002	0.2694140922	0.0063842182	0.135373016	0.0335107465	-0.0889461968	-0.0811799181	0.0752177406	-0.0942811835	-0.0513376577	-0.0868958969	0.0140140723	0.0041712662	-0.0664999887	0.0753626581	0.0932151373	-0.0984196928	-0.0609861359	0.0475508216	0.0301148874	0.0444039283	-0.0292663922	-0.0518143248	-0.0138056451	-0.0047382969	-0.0782507553	0.0387104882	0.1446207884	0.0301081575	0.0910645193	-0.0890681814	0.1060378776	-0.0465538664	-0.0574906106	-0.0347577007	0.117530358	0.1518292188	-0.044647395	-0.053153302	0.0581523895	-0.1339755417	-0.1323108685	0.0364007508	0.0255857054	0.1367261293	-0.1004606553	0.0834543479	0.0413323188	-0.031046218	-0.0413190826	0.0016391836	0.2842788085	0.0162740224	-0.0507177792	0.0945321538	-0.1336509754	-0.0260742914	-0.1122125498	0.0475333383	0.0051647749	-0.1064459516	0.0449110385	-0.0551377835	-0.0146497983	0.0881859679	0.0663375084	-0.0659929473	-0.115697627	0.0173034691	0.0512637119	-0.0245017937	0.0264728846	-0.0572138447	-0.0285169928	0.0892435328	-0.0563039478	-0.0489813046	0.1357639803	0.0718547789	-0.0341626329	0.1327044484	0.0329495561	0.0493540601	-0.0767534676	0.1271004699	0.0873018407	0.1163427467	-0.0047528883	0.108561627	-0.1276278224	-0.0995628614	-0.0081410536	-0.2248019493	0.0316963531	0.0421800302	0.0835336388	0.1384605703	0.1629324771	-0.1310900956	-0.1872958104	-0.1984661942	0.0190955502	-0.1146999654	-0.0095192154	0.1189139965	0.1170936064	0.1140802373	0.0270776	0.0088186999999999	7.776946968999998e-05	0.00073319642176	-0.0691894	-0.07541141	0.0047871730723599	0.0056868807581881	0.00544125	0.04804225	2.96072015625e-05	0.0023080577850625	0.000869644	0.000586675	3.441875556250001e-07	7.56280686736e-07	-7.41119e-24	-7.41119e-24	5.49257372161e-47	5.49257372161e-47	-0.000419925	0.0005830849999999	3.3998811722499986e-07	1.76337005625e-07
288.0589086810302	0.5358875729803572	0.2871754908747776	82977.93487050608	265.9133068652863	1.43088514923204	70709.88676803192	2.0474323102927974	198.095496349684	0.3403169299825492	0.1158156128327473	39241.82567402766	197.86506706744865	337.2680920724643	1.299189	27.185495	0.0995593	0.0582879	0.1061698018	0.1844252638	-0.0280399502	-0.0308599682	0.1309120339	0.0375167843	-0.1012347096	-0.0409284696	0.1113948813	-0.1098725334	-0.0254182813	-0.0169031929	-0.1087405128	-0.0138148393	0.0167923463	-0.1878730713	0.0444798641	-0.0358602576	0.0418028725	0.16453431	-0.1342886093	-0.1111651628	0.12977512	-0.0670672754	-0.0801745278	0.0258376542	-0.0015376034	-0.0933685367	0.039582674	-0.0583940424	0.0367124393	-0.0550605322	0.0355318223	-0.0914267727	0.1432431563	-0.0536014828	-0.1234813566	-0.1628222583	-0.1218890567	-0.1829136173	-0.079749804	0.0878916856	-0.0691339528	-0.0207827889	0.0967029752	0.0363002665	0.0096155875	0.0655698151	0.0584101462	0.03465962	0.0305780823	0.0634628419	0.0981233411	-0.0403131662	0.0278535466	-0.035246896	-0.0359132973	-0.0245578842	-0.0434924657	-0.0826357999	-0.0041695507	-0.082140585	-0.0227686662	0.1138409052	0.1122935283	0.0312369033	0.0220043982	-0.0584086413	-0.0116523152	0.1530620566	-0.1182563995	0.1503275673	0.1186307175	-0.0869082458	-0.0319432749	0.0146614661	0.0988438258	-0.0783514918	-0.0327293503	-0.0876746406	-0.0200708013	-0.0721790352	0.0446212067	-0.0836356983	0.1280177232	-0.0100339588	-0.0923706083	-0.1542007947	-0.109114648	0.0545292379	-0.1845661769	0.0793325454	-0.0927458901	-0.003073818	-0.1096553157	0.0479490274	0.0750572593	0.0519662109	-0.0692958951	0.0741092635	0.0009606487	0.0613028441	0.077115877	-0.0146082176	-0.0634095313	-0.0644242344	-0.0438915394	-0.0179361173	-0.0468514774	-0.085856868	0.0695199864	-0.0539005399	-0.0358614857	0.1130722633	0.0794046017	0.0075968438	-0.0276455407	-0.146626463	0.0548124601	-0.1034218837	-0.0170394203	0.1879948539	-0.0780055968	0.0545340446	-0.011826163	0.0442617313	0.1234889038	-0.0359098137	0.0290532579	-9.35946e-05	0.2503742396	-0.0433374476	-0.0245626113	-0.0606443997	-0.0124788702	-0.0925647054	-0.0578758566	-0.0535076326	0.063581277	0.09207996	0.1186137044	0.1159000657	0.1114232278	0.0213496	-0.005728	3.2809984e-05	0.00045580542016	-0.0197598	0.0494296	0.00039044969604	0.00244328535616	-0.0223308	-0.02777205	0.00049866462864	0.0007712867612025	0.000797004	-7.264000000000001e-05	5.2765696000000025e-09	6.352153760160001e-07	-0.0	7.41119e-24	0.0	5.49257372161e-47	-0.000679878	-0.000259953	6.7575562209e-08	4.6223409488400006e-07
287.1353435184083	-0.9235651626218556	0.8529726096087344	82446.70549743435	266.27564880695746	0.3623419416711613	70902.72114756615	0.1312916826940272	197.9540954518513	-0.1414008978327103	0.0199942139078965	39185.82390616065	197.76156650598583	334.3105481520495	1.280542	26.795307	0.01290365	0.00645066	0.1201575888	0.0904356165	0.1613868752	-0.0875297112	-0.071591887	0.1052066834	-0.0419119123	0.0907576977	-0.0903789749	-0.0990468418	-0.1366144123	-0.0225206609	0.1124836349	-0.0552865564	0.1406188353	0.0134440636	0.0807717172	0.1367228488	0.0448544153	0.0291002396	-0.144367656	0.0238338984	0.0931580956	0.1423380104	-0.0190100839	-0.0367919552	-0.0377136253	0.0596522467	0.0017319843	0.0957809064	0.174760483	-0.012314318	-0.0654997715	-0.0394091066	-0.1058045381	-0.0171932484	0.0873098248	0.0786857348	-0.1294892585	0.0940383279	-0.0391490378	0.0516419469	0.0411686991	-0.0113336285	-0.1223695025	-0.1744288509	0.119009493	0.0082877389	-0.0288673856	0.0422133018	-0.0389745883	-0.0123380168	-0.0365930403	0.0038226581	0.0364060239	0.0066116508	-0.047407526	0.0151206471	0.0780616092	-0.1119884538	0.0985154683	-0.0794069705	-0.0037524797	0.1317735873	-0.0482498928	0.0723860346	0.0982192613	0.1000784316	0.0984577919	0.0602975789	-0.1408646234	0.0102706792	0.0922748472	0.1066228411	-0.081406991	-0.0078141785	-0.032944458	0.0662054808	-0.0328110489	0.1125569527	-0.1734507386	0.0025114042	-0.0455853308	-0.0738996766	-0.1155349762	-0.0517258207	0.0576226835	0.1008353923	-0.1377797994	-0.0553624975	0.0597695693	0.061445214	-0.034889847	0.0186998684	0.1352058187	-0.1969106286	0.0167160753	0.0044245059	0.0104384022	-0.007244698	-0.0155657158	-0.0216662778	-0.0478950205	-0.0168883102	-0.051643286	-0.0540069965	-0.0205679987	0.005489998	0.0431491271	-0.1198662501	0.0910040737	0.0857965714	-0.0164855394	0.1464627652	-0.0064118156	-0.0828850841	-0.0939489019	0.0924751445	-0.0789660071	-0.1772477859	0.0921963194	0.1302322134	-0.0209901504	0.0992115563	0.0458176151	0.0057341964	-0.1049910447	0.0638512843	0.0436966027	-0.0363884214	0.0589341341	-0.1482123632	0.0291464023	0.1048844472	-0.0664857788	0.0453434998	0.0227648653	0.0916570212	-0.0085880263	0.0660532237	0.1182536866	0.1144731177	0.1082614433	0.0172849	-0.0040647	1.652178609000001e-05	0.0002987677680099	-0.0197483	1.1500000000001093e-05	0.00038999535289	1.322500000000251e-10	-0.0249247	-0.0025938999999999	0.00062124067009	6.728317209999998e-06	0.000856282	5.927799999999996e-05	3.513881283999995e-09	7.332188635239999e-07	6.66226e-23	6.66226e-23	4.438570830760001e-45	4.438570830760001e-45	-0.000614485	6.539299999999996e-05	4.276244448999995e-09	3.77591815225e-07
286.5094278448949	-0.6259156735134184	0.3917704303497561	82087.65224400903	265.35738321399015	-0.918265592967316	70414.54082617642	0.8432116992276165	197.72701926504448	-0.227076186806812	0.0515635946147222	39095.97414743927	197.57164930514108	328.56009534998856	1.205365	25.222248	0.09636261	0.0537737	0.123540757	-0.0557630101	-0.0286518336	0.0230818496	-0.1393366964	-0.023749272	0.1015472768	0.0064631559	-0.0993585934	-0.0369533739	0.0581476426	-0.0310750257	0.0819150473	0.1183648036	0.135407655	-0.0137450929	-0.0632844539	0.0640771295	-0.1600193678	-0.0721661043	-0.0555833365	-0.0075760606	0.0145145428	-0.108012129	0.1365622791	-0.0415278532	-0.1379804156	-0.0251605725	-0.1293059389	-0.072671598	-0.0145912521	-0.0580601604	-0.0824475615	0.0821337341	0.0396249363	-0.0969423423	0.0108496758	-0.0426680734	-0.0748657825	0.0122382498	0.181542944	0.1087108981	0.0264389555	-0.0194572798	-0.1136037069	0.0159256248	0.0122878848	-0.0109237875	-0.0222613294	-0.0154147212	-0.0744131916	0.0987693284	0.1166371991	-0.0143169872	-0.0956587874	0.0031481237	-0.0648686506	-0.0376899782	0.1306809346	-0.0999921825	-0.0216203766	-0.0656602121	-0.0485316432	-0.1757592074	-0.0827204569	0.0860793794	-0.051017653	0.1274384169	-0.0694594108	-0.1189128497	-0.0566915823	0.0235120081	0.0225588605	-0.034588554	0.1398361878	-0.0287238869	0.0541661949	0.1483007821	0.1274846455	-0.086271003	-0.0135249997	-0.038136377	-0.1000573292	0.0629612516	0.0971508639	-0.1268756278	-0.0042941801	-0.0324624387	-0.0518911444	0.1150463243	0.1242393823	0.1024462423	-0.0501731711	-0.015544503	0.1231293616	0.0073612008	-0.0150158773	-0.0397195107	0.021682422	-0.0201507719	-0.0586438393	0.1094375626	0.1114680059	0.0529445231	-0.0075316412	-0.1086140747	0.0703783005	0.1155083219	0.0627507343	-0.1217000221	0.08892403	-0.0412064702	0.0257718891	-0.1311281926	0.0032615097	-0.1316634638	0.1105259439	0.0484488129	0.0230571563	-0.0822526675	0.1363152891	0.0467398719	0.0672078763	0.1395580357	-0.0470290951	-0.0103143991	0.0181822194	-0.1161568975	0.1478554212	-0.0963706758	0.0362517372	0.0131239319	-0.0690678052	-0.0563645088	0.011522088	-0.0465449402	0.0475925256	-0.012391909	-0.0380057287	0.032345797	0.1178341246	0.112815636	0.1046092073	0.0179404	0.0006554999999999	4.296802499999998e-07	0.00032185795216	-0.0635458	-0.0437975	0.00403806869764	0.00191822100625	0.00600511	0.03092981	3.60613461121e-05	0.0009566531466361	0.00116523	0.0003089479999999	9.544886670400001e-08	1.3577609529e-06	-0.000105895	-0.000105895	1.1213751025e-08	1.1213751025e-08	-0.000619238	-4.753000000000027e-06	2.259100900000026e-11	3.8345570064400004e-07
