onset	duration	trial_type	trial_code	response	RT	money	carbon
5.7915	10	CET	c4_m2	LEFT	2.5683999999999996	50	40
20.833	10	CET	c1_m1	LEFT	2.5269000000000013	10	2
36.1338	10	dummy	dl0	LEFT	1.5060999999999964	0	0
51.1672	10	CET	m5_c2	LEFT	1.5287000000000006	120	10
66.9667	10	CET	c3_m5	RIGHT	2.4491999999999905	120	25
83.2589	10	CET	m0_c2	RIGHT	2.037000000000006	0	10
99.5506	10	CET	c5_m0	LEFT	1.8252999999999986	0	50
114.5917	10	dummy	dr0	RIGHT	1.8881999999999977	0	0
130.634	10	CET	m4_c5	LEFT	2.7419000000000153	100	50
147.4257	10	CET	c3_m2	LEFT	2.470100000000002	50	25
162.9924	10	CET	m1_c3	RIGHT	1.7273999999999887	10	25
178.034	10	dummy	dl1	LEFT	1.765800000000013	0	0
193.0757	10	CET	c0_m0	LEFT	3.060099999999977	0	0
208.3674	10	CET	c4_m1	LEFT	2.6484000000000094	10	40
224.9091	10	CET	m4_c3	LEFT	1.3067000000000064	100	25
240.9502	10	dummy	dr1	RIGHT	1.8256000000000085	0	0
256.7419	10	CET	c5_m5	RIGHT	2.8099000000000274	120	50
273.0342	10	CET	m1_c0	LEFT	2.021599999999978	10	0
290.0753	10	dummy	dr3	RIGHT	1.940499999999986	0	0
306.617	10	CET	m3_c3	LEFT	2.1748000000000047	80	25
322.9176	10	CET	m3_c5	LEFT	3.7542000000000257	80	50
338.2176	10	CET	m2_c1	LEFT	3.014099999999985	50	2
354.7593	10	CET	c1_m0	LEFT	1.6564000000000192	0	2
371.8004	10	dummy	dr2	RIGHT	1.4712999999999852	0	0
387.8427	10	CET	m2_c2	RIGHT	2.813000000000045	50	10
403.3844	10	CET	m4_c0	LEFT	2.911299999999983	100	0
418.9344	10	CET	c0_m5	RIGHT	1.641300000000001	120	0
435.2178	10	dummy	dl3	LEFT	1.6538999999999646	0	0
452.0095	10	CET	m4_c1	LEFT	1.8222000000000094	100	2
467.3012	10	CET	c4_m4	RIGHT	3.2345000000000255	100	40
483.3424	10	dummy	dl2	LEFT	1.9531999999999812	0	0
498.384	10	CET	c0_m2	RIGHT	1.9676000000000045	50	0
514.9263	10	CET	c4_m3	RIGHT	3.9692999999999756	80	40
530.718	10	CET	m5_c4	LEFT	2.057600000000093	120	40
546.5096	10	CET	c4_m0	LEFT	1.5220000000000482	0	40
561.5513	10	dummy	dl4	LEFT	1.040300000000002	0	0
578.3425	10	CET	c2_m4	RIGHT	1.6891000000000531	100	10
593.3841	10	CET	m5_c1	LEFT	1.3274999999999864	120	2
609.9431	10	CET	c5_m1	LEFT	1.4725000000000819	10	50
625.7348	10	dummy	dr4	RIGHT	1.6008000000000493	0	0
640.7765	10	CET	m0_c3	RIGHT	1.559099999999944	0	25
657.5765	10	CET	c0_m3	RIGHT	1.799099999999953	80	0
674.3682	10	dummy	dl5	LEFT	1.5273999999999432	0	0
689.9093	10	CET	m3_c2	LEFT	1.7221999999999298	80	10
705.2016	10	CET	m2_c5	RIGHT	1.4139000000000124	50	50
721.5099	10	dummy	dr5	RIGHT	1.7215999999999667	0	0
737.0516	10	CET	c1_m3	RIGHT	1.5798999999999523	80	2
753.835	10	CET	m1_c2	RIGHT	1.836500000000001	10	10
