global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
330.08228440530263	n/a	n/a	108954.3144782231	362.2080327664701	n/a	131194.6590005563	n/a	202.208631526657	n/a	40888.33066388335	n/a	209.1372466966447	405.7395638066792	n/a	n/a	n/a	n/a	-0.0123292081	0.0275415883	-0.0357812977	0.0519775199	-0.1293190514	0.1050856739	-0.2032961944	0.1547510029	-0.6290731022	0.2041508967	-0.3665687983	0.1082758957	-0.3359402476	0.0281507835	-0.0071667478	0.0257915159	-0.0860622367	0.1557642697	-0.1738229176	0.0261411063	-0.0687738207	0.0989030836	0.0227618507	-0.0165869893	0.0744768984	-0.139007129	0.0924230699	-0.1374328566	0.1340843734	-0.1061683263	0.062840818	-0.019720068	0.1058062082	-0.0393730181	0.120129777	-0.0314372299	0.0453229013	-0.0221864912	0.076897301	-0.0291796806	0.0147237591	0.1136119805	-0.1629991386	0.1379843905	-0.1293533944	0.0423635603	-0.0346662395	-0.020432471	-0.0039893942	0.0086036302	0.0059933126	0.0733256942	-0.071136576	-0.1104106938	0.0583916549	0.0066684304	0.0916165862	-0.0212182144	-0.0547167769	-0.0394257847	0.1042228929	-0.0803454466	-0.174222279	-0.0897308165	0.1268964028	0.0204804318	0.0968756128	0.0599984156	-0.032919516	0.1139193873	-0.1267545684	0.1020382279	-0.0815121825	0.0837849979	0.0226028516	-0.2809810096	0.266495866	-0.0331118733	0.1673459324	0.1264880345	-0.2475898064	0.1370991258	-0.0496757811	0.0806857822	-0.1254652508	0.2449930891	-0.001631059	0.0150207786	-0.1283875218	0.0721429304	-0.0799350396	0.1482213794	-0.0715446172	0.1205206351	-0.0065928732	-0.0107757266	0.0204702512	-0.1158353298	-0.0736381696	0.0123686778	0.0611084366	-0.0294183052	-0.0479486677	-0.0185005462	0.0667173669	-0.0493907072	-0.0142212349	-0.0758934856	0.0791604647	0.010512697	0.1317578621	-0.159756237	-0.0157350115	-0.0042863995	0.0464055271	0.0625199955	-0.0356753556	-0.0114187908	0.0534935265	-0.0381259866	0.0083263842	-0.17493021	0.1240773307	-0.0517736468	0.1005320903	-0.1074264034	0.0427140816	-0.0328825031	0.1759916523	-0.035491308	0.046966599	-0.0484119972	0.0700048233	-0.0434721327	0.091610618	-0.08877644	-0.1193302763	0.04895002	-0.0243269152	0.054589685	-0.0672122687	0.1195153378	0.1194927693	0.1194551582	-0.0149894	n/a	0.00022468211236	n/a	0.000182144	n/a	3.3176436736e-08	n/a	-0.0801056	n/a	n/a	0.0064169071513599	-0.000918557	n/a	n/a	8.437469622489999e-07	-0.000249305	n/a	6.215298302500001e-08	n/a	-0.000305845	n/a	9.354116402500001e-08	n/a
328.8462091199152	-1.2360752853874146	1.5278821111455785	108139.829252539	356.30152623721966	-5.906506529250464	126950.77759897213	34.886819380078364	201.858474034744	-0.350157491912995	40746.84353963542	0.1226102691427992	208.2506705028612	402.6256784730822	1.303798	22.2411	0.068870856	0.0383963	-0.056374033	0.0056354467	-0.0175903761	0.0114328585	-0.1998750804	-0.0022686813	-0.0406028207	0.1147845407	-0.2414685365	0.0696995303	-0.0642687532	-0.0442633882	0.0222848207	0.1615918115	-0.0473746671	-0.0106483232	0.0300735776	-0.0476743228	0.228641708	-0.0882799456	-0.0668086701	0.0592068406	0.0571782578	-0.0549866959	-0.0496153486	0.0419356675	0.0334330913	-0.1932071914	-0.0209783405	-0.0839328998	-0.0231716108	0.0951314133	0.1060996149	0.0756127239	0.1458723097	0.0241757037	-0.0513673771	0.0864158349	0.1174297253	0.1577671055	-0.0342108694	-0.0277820678	-0.0981959249	-0.0239992011	-0.075764547	0.054390947	-0.0137884743	-0.0416589087	0.0680828389	-0.0402348343	0.013493402	-0.0010617788	-0.0403552403	0.0023053515	0.1527011717	-0.132037662	0.015519872	0.2419545924	-0.104933427	0.0366582188	-0.05532495	0.0293319384	-0.0551669859	0.0375862422	-0.0106471374	-0.0429058936	0.1343128869	-0.0574691331	-0.096884459	0.0110888226	-0.1167807967	0.0095348069	-0.0761169947	-0.0789800747	-0.0523928591	-0.0697101044	0.0677141989	0.1145240164	0.1390947531	-0.0499200934	-0.122748064	0.1570024522	-0.0147893853	0.0462869069	0.1536357924	0.083218747	-0.1294968295	-0.0487704671	0.0280870786	0.0572268197	0.0978323755	0.0631734916	0.0106838701	0.1237042301	-0.0917666305	-0.0163687144	-0.0894657976	0.0036450031	0.016052225	-0.0239684631	-0.0305800134	-0.1388597088	-0.0630724888	-0.0822408755	0.0396356561	0.1411199741	-0.0319851281	-0.0197287978	-0.1689899009	-0.0749404822	-0.055679906	-0.029019009	0.0705707341	-0.0883248724	0.0554801527	-0.0129776038	0.0008779816	-0.0472998294	-0.0714891372	-0.1530913983	-0.0240988041	-0.1096017958	0.0625090723	-0.0602526823	0.1532686883	-0.1837019211	-0.0108883614	-0.0009937797	0.1067182684	0.0913008501	0.1540930077	0.0608608859	0.0661150219	0.0109125347	-0.0057477831	-0.018278239	0.0332749281	-0.0562667285	0.053980005	0.1935549489	-0.0636072191	0.1194551582	0.1192521267	0.1189139965	-0.0172722	-0.0022828	0.00029832889284	5.211175840000007e-06	0.0174191	0.017236956	0.00030342504481	0.0002971126521459	-0.0490867	0.0310189	0.00096217215721	0.0024095041168899	-0.00106531	-0.000146753	2.1536443009000037e-08	1.1348853961000002e-06	-0.00036567	-0.000116365	1.3371454890000001e-07	1.3540813225e-08	-0.000202319	0.000103526	4.093297776100001e-08	1.0717632676e-08
327.8935639858478	-0.9526451340674384	0.9075327514623678	107514.18930334123	354.4017116619756	-1.8998145752440792	125600.57322893808	3.609295420309841	201.6700084478641	-0.1884655868798859	40670.79230736158	0.0355192774379798	207.9577394114824	401.6895461951405	1.346441	22.968533	0.0682725	0.0343313	-0.0379079261	-0.0506806158	-0.029051563	-0.0894566651	0.011309034	-0.010996168	0.0414466176	-0.0285570001	-0.128917752	-0.0954967678	-0.0925696113	-0.0378554842	0.0376558711	0.0003204536	-0.1633783974	-0.0428190558	0.1015287815	0.001790986	0.160144478	-0.0832006192	0.0550316053	0.0090795028	-0.074397982	-0.004834575	-0.0164764272	-0.0388592156	0.1033309218	-0.0674876101	-0.0321086948	0.0163611176	-0.0509976039	0.0175757509	-0.0561091676	-0.0129493487	0.0336889732	-0.0652482531	-0.1224523402	0.0588643771	-0.0846780396	-0.0666038116	0.0376515849	-0.0555832509	-0.1508677946	-0.0871006195	0.1521479567	-0.0447407306	-0.0499564213	-0.0685124159	0.0643544639	0.0332877031	-0.0919782823	-0.0139050912	-0.080431277	-0.1361353858	-0.0422931662	-0.0401999508	0.116570371	0.2643061178	0.106825542	-0.0398865499	-0.0859152251	-0.0183769491	0.0432077625	-0.0189195648	-0.0077426266	-0.0789382828	-0.0777575067	-0.0154574159	0.0671216569	-0.0755975025	-0.0457061168	0.0385043717	0.0864415308	-0.0078861559	0.0244851482	-0.0746047425	0.0287859664	0.0176492747	0.06173373	-0.051529885	0.006748626	0.1299558756	-0.0684392773	-0.1088971312	-0.0032925338	0.1123302509	-0.0162178822	-0.20592573	0.0324503227	0.0901731424	0.0416934485	-0.0351461564	0.17425433	-0.1341439563	-0.0391617313	0.0137533529	0.0797622315	0.0492514081	0.0077050318	-0.1261487951	-0.0976603971	-0.1395420374	-0.0996977229	-0.0975364699	-0.0794758871	-0.0249036501	-0.0213954697	-0.0128661865	-0.0443972733	0.1817855874	-0.1090794278	0.0294333137	-0.0566393995	-0.0448388411	-0.0869632396	-0.0707318336	-0.1182864768	-0.0025084472	-0.0068239062	-0.122780337	0.1151019267	-0.0374941218	0.2013826119	-0.059084309	0.1794945064	-0.0679502852	0.0676932538	-0.0234939502	0.0856762922	0.0133787031	0.002653436	0.1196629325	0.0021023737	0.1507047269	-0.0639125078	-0.0125076022	0.1326293914	-0.104698061	0.1748527029	0.0798882667	-0.1024207788	0.1193348294	0.1187713263	0.1178341246	-0.0200338	-0.0027615999999999	0.00040135314244	7.626434559999997e-06	-0.013863	-0.0312821	0.000192182769	0.00097856978041	-0.0558562	-0.0067695	4.582613025000006e-05	0.00311991507844	-0.00133631	-0.000271	7.3441e-08	1.7857244161000002e-06	-0.000215595	0.000150075	4.6481204025e-08	2.2522505625e-08	-0.00033043	-0.0001281109999999	1.091839849e-07	1.6412428320999996e-08
327.52774978454886	-0.3658142012989174	0.1338200298719648	107274.42687893004	352.94903173507595	-1.4526799268996342	124573.01900272764	2.1102789700171267	201.74146960246043	0.0714611545963066	40699.62055736047	0.0051066966162372	207.839148860272	395.5473291169869	1.22658	20.923862	0.0752418	0.0455675	0.0052108236	-0.1283924178	0.0258093662	-0.0698295349	0.0492340194	0.0437421103	0.0830726557	-0.0791092429	-0.0105564786	-0.0469437582	0.015431045	0.0239782211	0.005594044	-0.0200360031	-0.0976378693	-0.0215536034	0.1029379511	0.0170385675	0.1840565555	-0.0891095223	0.1112989492	0.0049375989	0.0752756353	-0.1320794535	0.0260499166	-0.047790717	0.05446134	0.0410098906	0.0028655051	-0.0443082493	-0.1721919178	0.0588554672	-0.1086090531	-0.0474454787	0.0174664264	0.1962152659	-0.0299780126	-0.1427991031	0.0730553318	0.1266967189	-0.0048970191	-0.0242248698	-0.0085687142	-0.0553617019	-0.0644394051	-0.0248748352	-0.1688871466	0.0992820718	-0.2047268649	0.1030248038	0.0422905345	0.0612803095	0.0905784164	-0.0042045785	-0.0441915064	0.1062642122	0.0743777572	-0.0493836396	-0.0640946351	0.0176667845	0.0581857312	0.0254234157	0.028786832	-0.012638864	-0.0345953313	-0.0289197964	0.007771401	0.08354355	0.1444561258	-0.1189251033	0.036233842	0.0483508522	-0.0819937581	-0.099280561	0.0634505435	-0.0322113195	-0.0400917055	-0.0210556515	-0.0531066434	0.0031498837	-0.1088655596	0.0606552163	-0.0808591678	-0.0313868455	0.1236061607	-0.0965499355	0.0588058332	-0.1397812052	0.0931596004	-0.0490134139	0.0781630562	0.0663654129	-0.0324248509	-0.0312855177	-0.0791905183	0.1895774538	0.1439170837	-0.1695594217	0.0675383221	-0.0538130819	-0.0158486718	0.1011951764	0.0832135035	0.1346504818	0.1232743337	-0.1221389958	0.0026123083	-0.1297419189	0.0119003495	0.0490875967	0.0466509441	0.0574825093	0.0069780538	0.0558406049	0.0941588036	-0.0245428678	-0.0132004116	0.0152721534	0.0454237896	-0.1569281423	0.0128929334	0.012569856	0.172346561	-0.1189562544	0.1162723548	0.0196066464	-0.0193768375	0.0523010252	0.035433288	-0.0582982181	-0.0065544839	-0.0290605339	0.0651614045	0.0772011624	-0.0278568392	-0.0827173218	-0.0955135731	-0.0756690738	-0.0295390152	0.052820944	-0.0258700186	0.1191544118	0.1180513362	0.1162204348	-0.0216379	-0.0016041	0.00046819871641	2.573136810000002e-06	0.0244357	0.0382987	0.00059710343449	0.00146679042169	-0.0621397	-0.0062834999999999	3.948237224999997e-05	0.00386134231609	-0.0007774309999999	0.0005588790000001	3.123457366411119e-07	6.043989597608445e-07	-0.000193791	2.1804000000000024e-05	3.755495168099999e-08	4.75414416000001e-10	-0.000330003	4.270000000000012e-07	1.0890198000900001e-07	1.82329000000001e-13
328.3529152609529	0.8251654764040381	0.6808980634491032	107815.63696036652	352.7891611400885	-0.159870594987467	124460.19221792732	0.0255586071416467	201.8208893361094	0.0794197336489617	40731.67137241811	0.006307494092872	208.01878723855123	397.0587988559313	1.230031	20.982738	0.04739085	0.0242569	-0.0430822953	-0.1533596453	-0.0167272791	-0.031499783	-0.1426439181	-0.0341202244	0.0598687658	-0.0349772727	-0.0236286202	-0.1394057419	-0.0563781962	-0.079690564	0.0272371941	0.1501950784	0.0563531506	0.1391766224	0.0533953851	0.0454752204	0.150140959	-0.1186995287	0.059480709	-0.092593363	0.0872848366	-0.0767589873	-0.0888938073	0.1324357342	-0.0601354939	-0.1028774668	-0.0738235091	-0.0333275923	-0.1233103239	0.0535792895	0.0517225175	-0.0269506256	0.0004976558	0.02326353	-0.0037276896	-0.0605468853	0.1508496986	-0.0468436284	0.0397881751	-0.093016636	0.0291446661	0.0300382893	0.0880640261	-0.0633087167	0.0385535459	0.0247150064	0.0254297738	-0.0215325384	0.0014423215	0.0869095632	0.0816618984	-0.0639742903	0.0129874245	-0.0880363385	-0.1118191361	-0.1435556705	0.017191261	-0.1050807622	-0.036085948	0.105064417	0.0749491535	-0.1472196028	-0.2831047962	-0.0195993367	0.0470840627	-0.0914902882	0.1338583797	-0.0977605832	-0.0337833576	-0.0792371046	0.0051763826	-0.1620201063	-0.0242167287	0.0477658102	-0.03628375	0.1422278911	0.1138748984	-0.0725282611	-0.0100671617	-0.0508385953	-0.1525647864	-0.0185682076	0.141484525	-0.0785428301	0.0805523972	0.0796410569	0.045147169	-0.0453733453	0.0424275907	0.088667306	0.057704071	0.0421251484	-0.0134263677	-0.0970798565	0.0714196196	0.1267213598	-0.0849721762	0.1179414564	-0.0621849378	-0.0224107965	0.0042856379	0.0906625313	0.0288702184	-0.0164244854	-0.1038508505	-0.0449449937	0.0388544842	-0.0588457929	-0.0989937421	0.0651648434	0.0585450031	-0.0915733045	0.0635546744	-0.1350755964	0.0808006273	0.0227887985	-0.0953691578	-0.1329813836	-0.0053900176	-0.0108305829	0.0377746462	-0.0395708928	0.1330870088	-0.0660502878	-0.0198020415	-0.0685523079	-0.0480093005	0.093851952	-0.0323921193	0.0943049922	0.0416740068	-0.0009804016	0.0636235923	-0.0149933621	-0.1654147514	0.0059611331	-0.0218676845	0.1340554649	-0.1085571896	0.1189139965	0.1170936064	0.1140802373	-0.0107796	0.0108583	0.00011619977616	0.00011790267889	0.0165825	-0.0078532	0.00027497930625	6.167275024000002e-05	-0.0558893	0.0062503999999999	3.906750015999996e-05	0.00312361385449	-0.000660785	0.0001166459999999	1.3606289315976677e-08	4.36636816225e-07	-0.000191861	1.9299999999999764e-06	3.6810643321e-08	3.724899999999909e-12	0.0	0.000330003	0.0	1.0890198000900001e-07
329.33936616296126	0.9864509020083574	0.973085382073102	108464.41810462109	353.8855898982039	1.096428758115394	125235.01073759972	1.2021560216224652	202.0259755658396	0.2050862297301989	40814.49480332922	0.0420603616249479	208.14888187933352	406.24768829586407	1.291955	22.039085	0.04058832	0.0204728	-0.0903377033	-0.0391089016	-0.1298989204	-0.0620912016	-0.2146793872	-0.0370411986	0.0709463093	-0.0284145862	-0.0300429484	-0.0737392454	-0.1191357075	-0.0334750982	0.2615338059	0.1145389581	0.1944083547	0.1007313151	-0.0119662312	0.0047499721	0.0224470462	-0.095791679	-0.0241232338	-0.0253697272	-0.0721334922	0.086418253	-0.0607558779	0.0406162022	-0.150783489	-0.0181805433	-0.0211092028	-0.1876948458	0.0545677135	0.065267544	0.1513786702	-0.1451174248	0.0045246432	-0.0076889622	0.0658167341	-0.0898667028	-0.058278461	-0.1168089907	0.0446744069	-0.1024049348	0.0834760362	0.2233555161	0.0578884181	0.0385046226	0.0162153571	-0.0857682081	0.1467206396	0.0063468343	0.0806118521	-0.0709224436	-2.0737e-05	-0.0001576819	0.0045882752	0.1614880826	-0.0103858756	-0.1091015354	-0.0458383257	0.1592030902	-0.070547874	-0.1055138517	4.01144e-05	0.0196474382	0.059127807	-0.0163875928	-0.0552335992	-0.1369230588	-0.0419686559	-0.0813518869	-0.0501046469	-0.1290620881	0.0923795582	0.0609786213	-0.0438388178	0.1860852267	0.1177596435	0.0991697454	0.1297835989	0.0694175913	-0.0264698588	-0.1859585943	-0.0734718719	0.0280155411	0.1055639229	-0.0203178095	-0.043232502	0.0782068481	-0.0646128054	-0.1045010319	-0.0874649821	-0.0663201056	-0.1096547043	-0.0074691703	0.2082281596	-0.1149356861	0.0895353967	0.0439290566	0.0271575078	0.0212455646	0.08366493	-0.0961309099	-0.0007237598	-0.0599349595	-0.0029273256	-0.0139862622	0.1315487674	-0.0047855953	-0.0220191875	-0.1092525897	0.1807141913	0.0147810493	0.0215410218	0.097721101	-0.0354300022	-0.0165720333	-0.0284067159	0.0257421325	-0.0901724548	-0.0174645988	0.1688272244	-0.0318849546	-0.0258477483	0.0774445396	0.0943967146	-0.1776569539	-0.1150469827	-0.0581983176	-0.0697816353	-0.0037864498	0.0605853532	-0.0346776493	0.1094601235	-0.0276703692	0.1802369063	0.2371758763	-0.1828241057	0.1126434042	0.0411521506	-0.1533974423	-0.0757783896	0.1186137044	0.1159000657	0.1114232278	-0.00591898	0.00486062	3.50343242404e-05	2.3625626784400005e-05	0.0122202	-0.0043622999999999	0.00014933328804	1.902966129e-05	-0.0559252	-3.589999999999843e-05	1.2888099999998875e-09	0.00312762799504	-0.000390667	0.000270118	7.296373392400001e-08	1.5262070488899997e-07	8.923559999999998e-24	0.000191861	7.962992307359997e-47	3.6810643321e-08	-0.000164611	-0.000164611	2.7096781321e-08	2.7096781321e-08
328.918480373878	-0.4208857890832291	0.1771448474522124	108187.36673146118	353.8084140850713	-0.0771758131325555	125180.39387739328	0.0059561061326711	202.11495310499816	0.0889775391585772	40850.45426863561	0.0079170024747161	208.2665613685453	409.0124880084481	1.200572	20.480209	0.05091949	0.0332557	-0.0462712454	0.0219235714	-0.1661640978	-0.139930242	-0.042817282	-0.0076745638	0.126846046	-0.0418550515	-0.0346681191	0.0442834545	0.0244816926	0.0773424375	0.1697014355	0.0141991933	0.1378222882	-0.1188730954	-0.031785134	-0.0277704888	-0.2182459861	-0.0352569408	0.079064461	0.1755930758	-0.0586473669	0.0657127973	-0.0571494482	0.0584996909	-0.0766625086	0.0324559189	-0.0731947446	0.0419581075	-0.0439822599	0.0735722545	0.1977120409	-0.0342137957	-0.1688463934	0.0563205076	0.0347805994	0.1060089997	-0.0018570134	-0.0890030228	-0.1301412092	0.1424160937	-0.0306957403	-0.0287217342	0.1295059398	0.0466154745	-0.0146324319	0.125490379	-0.0373076928	-0.0050151539	0.0018248631	-0.0140011343	-0.0907918889	0.118562486	0.1501787517	-0.2031793461	-0.0185217838	-0.064794928	-0.1582912721	0.0152729269	-0.1563597527	0.1362589162	0.1157226076	0.0580710995	0.1283290827	0.0201533592	0.0098813818	0.0523470552	0.0217626754	-0.1121422973	-0.0097509054	0.1132235511	0.0186904336	0.0832790163	-0.0585073984	0.1563418135	0.0962224927	0.087640587	-0.0171947577	0.0651918834	0.0817670864	-0.000558626	-0.0631953842	0.0859035313	0.035425376	-0.0968219048	-0.0968456054	0.0287714487	-0.0198675768	0.1439933468	-0.1954424699	0.1826474581	-0.0085590757	-0.0992498044	-0.0366384048	-0.0757568455	-0.1159461769	0.0985800501	0.0942396551	-0.1085906886	0.0444592266	0.1887118388	0.0594503691	0.0054881323	-0.0096309777	0.1212678676	0.1282857983	-0.1155164887	0.0992978283	-0.015801582	-0.2285788011	-0.0859281042	0.1036342515	-0.0776375759	0.1078302626	0.1320367256	0.0025948598	0.0684190035	0.0531195705	-0.0582262096	0.109066676	0.0409630125	0.0079398744	0.1794231555	0.1207375661	-0.1223637711	-0.0301408039	-0.0749045831	-0.1045274888	-0.0762190191	-0.0833984231	-0.0859273124	-0.0057030823	0.0556636912	0.0058038153	0.0596355861	-0.0028580074	0.0975783669	-0.0869655766	-0.1727222252	0.0694480317	0.1182536866	0.1144731177	0.1082614433	-0.00925689	-0.00333791	8.56900124721e-05	1.1141643168100002e-05	0.00772548	-0.00449472	5.96830412304e-05	2.0202507878400005e-05	-0.0749830999999999	-0.0190578999999999	0.0003632035524099	0.0056224652856099	7.307919999999998e-05	0.0004637462	2.1506053801444002e-07	5.3405694726399984e-09	-0.0	-8.923559999999998e-24	0.0	7.962992307359997e-47	-0.000181444	-1.6833000000000006e-05	3.2921925136e-08	2.833498890000002e-10
328.2267548986817	-0.6917254751963355	0.4784841330355962	107732.80263131928	353.6131780405014	-0.1952360445699241	125042.27968390334	0.0381171130993094	202.1182822288825	0.0033291238843276	40851.8000111542	1.108306583720049e-05	208.1819839594509	404.2703533581806	1.218959	20.793867	0.062534235	0.03801	0.067908643	0.0084791414	-0.1368120651	-0.0429513869	0.0930360727	-0.1006738946	0.0491818226	-0.1381752631	-0.0588518753	0.0191758266	0.1581573259	-0.0559417145	-0.0670466052	-0.0648100034	0.105425838	-0.2250101077	-0.0406453906	0.0842551238	-0.0897565035	0.0465986625	0.1401441976	0.0357811176	0.0649517654	-0.1537765821	-0.0917629072	-0.0244939396	0.026408434	0.0614372717	0.0576416105	-0.0438837022	-0.0734068174	-0.045627183	-0.0164999744	0.1289215233	-0.0180573031	-0.0900000987	-0.0047399661	-0.0302624143	0.0075427283	0.0592476883	-0.0289176719	0.0278168483	-0.0954100424	0.093407537	-0.0587661972	0.0964992965	-0.0294620214	-0.0402355495	0.1638479129	0.0483282054	-0.0160076734	0.0777822126	-0.0501308157	-0.0428000695	0.0155865131	-0.0447444176	-0.0803228409	-0.0794364104	-0.0165225687	0.1595887707	0.0015358817	0.1048774754	-0.0901066214	0.0761619128	-0.0391156203	0.1162670921	0.0843012111	0.1084417303	-0.0823388241	-0.0793609479	0.1022477126	0.1418117738	-0.0510522301	-0.1295627835	-0.0728453842	-0.0491503415	-0.064101276	-0.0708933768	0.0153209645	0.153742545	0.0351333754	0.0817528078	0.0512528005	0.1424097715	0.0229189914	-0.0362711005	0.0535112035	0.0688880245	0.0831426708	-0.0879134811	-0.1126392443	-0.0221861142	0.0233971394	0.1091238358	-0.0204071258	-0.0276018137	0.0209870029	-0.0064907816	-0.0201059281	0.1075935718	-0.0314471502	0.0430385868	0.0526094883	-0.1293120344	-0.0658339388	0.0980459229	0.1440215641	-0.0894706525	-0.0918783278	-0.010357352	-0.013969806	-0.0451133888	-0.0130877066	0.0094776726	-0.1116707946	0.1018870872	0.1575981774	0.104218779	0.002498512	-0.090430495	-0.1429056858	0.0911443977	0.0764331439	0.1403398062	0.1438989081	-0.0400532658	-0.0193024169	0.0019009134	-0.0943584588	-0.0480250592	-0.1746159588	-0.1748711787	-0.0036985135	-0.0229474877	-0.1337239055	0.0784215578	0.0421628842	0.0316719868	-0.1038774055	0.0167747669	0.1508290032	0.1178341246	0.112815636	0.1046092073	-0.00165496	0.00760193	2.7388926016e-06	5.77893397249e-05	0.0443772	0.03665172	0.00196933587984	0.0013433485789584	-0.0724438	0.0025392999999998	6.4480444899994775e-06	0.00524810415844	0.000288391	0.0002153118	4.635917121924e-08	8.3169368881e-08	-0.0	0.0	0.0	0.0	-8.19301e-05	9.95139e-05	6.7125412860100015e-09	9.90301629321e-09
