onset	duration	trial_type	trial_code	response	RT	money	carbon
5.7901	10	CET	c4_m2	RIGHT	1.4499000000000004	50	40
20.8313	10	CET	c1_m1	LEFT	2.8887	10	2
36.1235	10	dummy	dl0	LEFT	1.9324000000000012	0	0
51.1645	10	CET	m5_c2	LEFT	2.1555000000000035	120	10
66.9563	10	CET	c3_m5	RIGHT	2.019599999999997	120	25
83.2481	10	CET	m0_c2	RIGHT	2.1518000000000086	0	10
99.5397	10	CET	c5_m0	LEFT	1.556200000000004	0	50
114.5814	10	dummy	dr0	RIGHT	1.778499999999994	0	0
130.6236	10	CET	m4_c5	LEFT	2.512299999999982	100	50
147.4153	10	CET	c3_m2	LEFT	1.9846000000000004	50	25
162.957	10	CET	m1_c3	RIGHT	1.8829000000000065	10	25
177.9981	10	dummy	dl1	LEFT	2.657800000000009	0	0
193.0404	10	CET	c0_m0	LEFT	2.7194999999999823	0	0
208.3398	10	CET	c4_m1	LEFT	2.5960000000000036	10	40
224.8816	10	CET	m4_c3	LEFT	2.0942000000000007	100	25
240.9233	10	dummy	dr1	RIGHT	2.132499999999993	0	0
256.7149	10	CET	c5_m5	RIGHT	2.644900000000007	120	50
273.0072	10	CET	m1_c0	LEFT	2.128600000000006	10	0
290.0482	10	dummy	dr3	RIGHT	2.4875999999999863	0	0
306.5906	10	CET	m3_c3	LEFT	2.4651999999999816	80	25
322.8906	10	CET	m3_c5	LEFT	2.525199999999984	80	50
338.199	10	CET	m2_c1	LEFT	2.7601999999999975	50	2
354.7235	10	CET	c1_m0	LEFT	2.1562999999999874	0	2
371.7651	10	dummy	dr2	RIGHT	2.194699999999955	0	0
387.8157	10	CET	m2_c2	LEFT	2.424000000000035	50	10
403.3574	10	CET	m4_c0	LEFT	2.0424000000000433	100	0
418.8991	10	CET	c0_m5	RIGHT	1.8366000000000327	120	0
435.1908	10	dummy	dl3	LEFT	2.224899999999991	0	0
451.9819	10	CET	m4_c1	LEFT	2.113800000000026	100	2
467.2825	10	CET	c4_m4	RIGHT	2.38919999999996	100	40
483.332	10	dummy	dl2	LEFT	2.403700000000015	0	0
498.3737	10	CET	c0_m2	RIGHT	1.7220000000000368	50	0
514.9159	10	CET	c4_m3	RIGHT	1.6198000000000548	80	40
530.7076	10	CET	m5_c4	LEFT	2.748100000000022	120	40
546.4993	10	CET	c4_m0	LEFT	2.0124000000000706	0	40
561.5404	10	dummy	dl4	LEFT	1.9311999999999898	0	0
578.3321	10	CET	c2_m4	RIGHT	2.1795000000000755	100	10
593.3744	10	CET	m5_c1	LEFT	1.5611999999999853	120	2
609.9154	10	CET	c5_m1	LEFT	1.9002000000000407	10	50
625.7072	10	dummy	dr4	RIGHT	1.1884000000000015	0	0
640.7495	10	CET	m0_c3	RIGHT	1.6020999999999503	0	25
657.5412	10	CET	c0_m3	RIGHT	1.770399999999995	80	0
674.3329	10	dummy	dl5	LEFT	1.9627000000000407	0	0
689.874	10	CET	m3_c2	LEFT	2.2615999999999303	80	10
705.1662	10	CET	m2_c5	RIGHT	2.5054000000000087	50	50
721.4574	10	dummy	dr5	RIGHT	2.01419999999996	0	0
736.9996	10	CET	c1_m3	RIGHT	2.05600000000004	80	2
753.7997	10	CET	m1_c2	RIGHT	2.175799999999981	10	10
