onset	duration	trial_type	trial_code	response	RT	money	carbon
5.788	10	CET	c4_m2	RIGHT	2.8919999999999995	50	40
20.8386	10	CET	c1_m1	LEFT	3.8413000000000004	10	2
36.1303	10	dummy	dl0	LEFT	1.8295999999999992	0	0
51.1714	10	CET	m5_c2	LEFT	3.0685000000000002	120	10
66.9636	10	CET	c3_m5	RIGHT	3.9802999999999997	120	25
83.2553	10	CET	m0_c2	RIGHT	3.288599999999988	0	10
99.547	10	CET	c5_m0	LEFT	2.1728999999999985	0	50
114.5881	10	dummy	dr0	RIGHT	2.6518000000000086	0	0
130.6298	10	CET	m4_c5	LEFT	3.290100000000024	100	50
147.4304	10	CET	c3_m2	LEFT	4.265500000000003	50	25
162.9638	10	CET	m1_c3	RIGHT	2.612099999999998	10	25
178.0055	10	dummy	dl1	LEFT	2.9943999999999846	0	0
193.0555	10	CET	c0_m0	LEFT	3.480400000000003	0	0
208.3472	10	CET	c4_m1	LEFT	4.908600000000007	10	40
224.8972	10	CET	m4_c3	LEFT	2.8626000000000147	100	25
240.9389	10	dummy	dr1	RIGHT	1.7409000000000106	0	0
256.73	10	CET	c5_m5	RIGHT	2.445799999999963	120	50
273.0223	10	CET	m1_c0	LEFT	4.0575000000000045	10	0
290.0634	10	dummy	dr3	RIGHT	1.7364000000000033	0	0
306.6134	10	CET	m3_c3	LEFT	3.2423	80	25
322.914	10	CET	m3_c5	LEFT	3.845799999999997	80	50
338.2057	10	CET	m2_c1	RIGHT	5.114100000000008	50	2
354.7558	10	CET	c1_m0	LEFT	2.6999999999999886	0	2
371.7975	10	dummy	dr2	RIGHT	1.522199999999998	0	0
387.8386	10	CET	m2_c2	LEFT	2.2006000000000085	50	10
403.3802	10	CET	m4_c0	LEFT	1.739500000000021	100	0
418.9225	10	CET	c0_m5	RIGHT	2.293200000000013	120	0
435.2142	10	dummy	dl3	LEFT	1.6655000000000086	0	0
452.0136	10	CET	m4_c1	LEFT	1.8421000000000163	100	2
467.3059	10	CET	c4_m4	RIGHT	2.949799999999982	100	40
483.347	10	dummy	dl2	LEFT	1.7887000000000057	0	0
498.3893	10	CET	c0_m2	RIGHT	2.610400000000027	50	0
514.9394	10	CET	c4_m3	RIGHT	3.1001999999999725	80	40
530.7394	10	CET	m5_c4	LEFT	3.220299999999952	120	40
546.5227	10	CET	c4_m0	LEFT	2.092999999999961	0	40
561.5811	10	dummy	dl4	LEFT	1.594500000000039	0	0
578.3728	10	CET	c2_m4	RIGHT	2.602800000000002	100	10
593.4139	10	CET	m5_c1	LEFT	2.161699999999996	120	2
609.9556	10	CET	c5_m1	LEFT	2.524000000000001	10	50
625.7562	10	dummy	dr4	RIGHT	2.603399999999965	0	0
640.7896	10	CET	m0_c3	RIGHT	2.2660000000000764	0	25
657.5979	10	CET	c0_m3	RIGHT	2.2736999999999625	80	0
674.3813	10	dummy	dl5	LEFT	1.9542999999999893	0	0
689.923	10	CET	m3_c2	LEFT	1.7726000000000113	80	10
705.2147	10	CET	m2_c5	RIGHT	3.856899999999996	50	50
721.5147	10	dummy	dr5	RIGHT	2.2769000000000688	0	0
737.048	10	CET	c1_m3	RIGHT	2.3274999999999864	80	2
753.8397	10	CET	m1_c2	RIGHT	2.775800000000004	10	10
