onset	duration	trial_type	trial_code	response	RT	money	carbon
5.7868	10	CET	c4_m2	LEFT	3.1732000000000005	50	40
20.8451	10	CET	c1_m1	RIGHT	4.0349	10	2
36.1368	10	dummy	dl0	LEFT	2.2631999999999977	0	0
51.1779	10	CET	m5_c2	LEFT	7.4780000000000015	120	10
66.9696	10	CET	c3_m5	LEFT	3.1263000000000005	120	25
83.2619	10	CET	m0_c2	RIGHT	3.858000000000004	0	10
99.5536	10	CET	c5_m0	LEFT	2.5823000000000036	0	50
114.5953	10	dummy	dr0	LEFT	2.300600000000003	0	0
130.6446	10	CET	m4_c5	RIGHT	5.09129999999999	100	50
147.4364	10	CET	c3_m2	RIGHT	4.779500000000013	50	25
162.9864	10	CET	m1_c3	RIGHT	1.7094999999999914	10	25
178.0281	10	dummy	dl1	LEFT	1.7878000000000043	0	0
193.0704	10	CET	c0_m0	LEFT	3.9454999999999814	0	0
208.3621	10	CET	c4_m1	LEFT	4.133800000000008	10	40
224.9038	10	CET	m4_c3	LEFT	2.216000000000008	100	25
240.9449	10	dummy	dr1	RIGHT	2.094900000000024	0	0
256.7372	10	CET	c5_m5	LEFT	6.118600000000015	120	50
273.0289	10	CET	m1_c0	LEFT	2.8508999999999673	10	0
290.07	10	dummy	dr3	RIGHT	1.8657999999999788	0	0
306.6123	10	CET	m3_c3	LEFT	4.123499999999979	80	25
322.904	10	CET	m3_c5	LEFT	7.271799999999985	80	50
338.1957	10	CET	m2_c1	LEFT	2.5400999999999954	50	2
354.7373	10	CET	c1_m0	LEFT	3.9184999999999945	0	2
371.779	10	dummy	dr2	RIGHT	5.1807999999999765	0	0
387.8201	10	CET	m2_c2	RIGHT	8.115699999999947	50	10
403.3624	10	CET	m4_c0	LEFT	3.17330000000004	100	0
418.9041	10	CET	c0_m5	RIGHT	3.0955999999999904	120	0
435.1958	10	dummy	dl3	LEFT	1.9239000000000033	0	0
451.987	10	CET	m4_c1	LEFT	3.7326999999999657	100	2
467.2959	10	CET	c4_m4	LEFT	4.479799999999955	100	40
483.3292	10	dummy	dl2	LEFT	1.7264999999999873	0	0
498.3704	10	CET	c0_m2	RIGHT	2.2052999999999656	50	0
514.9126	10	CET	c4_m3	LEFT	2.1031000000000404	80	40
530.7126	10	CET	m5_c4	RIGHT	3.3670000000000755	120	40
546.496	10	CET	c4_m0	LEFT	2.463700000000017	0	40
561.5371	10	dummy	dl4	LEFT	1.078200000000038	0	0
578.3371	10	CET	c2_m4	RIGHT	2.614599999999996	100	10
593.3876	10	CET	m5_c1	LEFT	6.643599999999992	120	2
609.9293	10	CET	c5_m1	LEFT	3.022299999999973	10	50
625.7206	10	dummy	dr4	RIGHT	1.7749999999999773	0	0
640.7628	10	CET	m0_c3	RIGHT	2.372799999999984	0	25
657.5545	10	CET	c0_m3	RIGHT	3.5971000000000686	80	0
674.3545	10	dummy	dl5	LEFT	1.6210999999999558	0	0
689.8873	10	CET	m3_c2	RIGHT	2.2643000000000484	80	10
705.1796	10	CET	m2_c5	RIGHT	2.2519999999999527	50	50
721.4713	10	dummy	dr5	RIGHT	2.0802999999999656	0	0
737.038	10	CET	c1_m3	RIGHT	6.097599999999943	80	2
753.8296	10	CET	m1_c2	RIGHT	1.481899999999996	10	10
