global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	a_comp_cor_52	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02
271.2584656043506	n/a	n/a	73581.15516202665	268.4033626328581	n/a	72040.36507262553	n/a	203.5754137646829	n/a	n/a	41442.94908946184	203.6092074261985	275.3446862631374	n/a	n/a	n/a	n/a	0.0131420573	0.111773436	0.0327678436	-0.1061716416	-0.0896898982	-0.0963350135	0.1478838521	-0.4017713876	0.1371716712	0.6612996547	-0.0576693658	0.1005488368	-0.0437689952	0.1004475959	-0.0662602805	0.1435274012	-0.0636793756	-0.1490951314	0.005561599	-0.0266051614	0.1349488159	-0.1053911186	-0.0919394161	0.0033314064	-0.1166166214	0.1142034123	-0.0818882346	0.0726216245	-0.0054604421	0.0866313434	-0.0119611365	0.0457232476	-0.0134587789	0.045478847	-0.066428987	0.0696026394	0.0033260665	-0.1749658795	0.0297222452	-0.1302378968	-0.0376797641	0.0323780237	0.0012473594	-0.0992647294	-0.0106266154	0.0471038345	-0.0864155547	-0.1010965869	-0.0168123528	0.0760974718	-0.1243879725	-0.0176837068	-0.0091293815	-0.0093374094	0.0190231054	0.1556634599	0.0633806844	-0.0781041049	0.1914263187	0.03619726	-0.0984467706	-0.0595561797	-0.1264703973	0.1123633711	0.0980565761	0.0029706129	0.1220893831	-0.0573392234	-0.0274619642	-0.0186646015	0.1538105585	-0.0121425102	0.0134349948	-0.1392048359	0.0847889454	-0.1583783763	0.0321222492	-0.0248258209	0.0027096196	-0.1758541215	0.0163801918	-0.0429899279	0.0200136149	-0.055324374	0.0231726441	-0.0186306633	0.0246906346	-0.0400253691	0.0521768959	-0.0052655062	-0.166400039	0.0167514907	0.0969603014	-0.0991863006	0.0433903606	-0.0569604504	-0.0469331758	-0.0572559955	0.1659108721	-0.144598873	-0.0001290576	0.0802041508	0.1193245193	-0.0220485277	-0.032850502	-0.0036705064	-0.060589655	0.0882533871	0.0260219882	-0.1108424538	-0.0069928896	0.078140095	0.2205154194	-0.0298521711	-0.0052690305	-0.0330318548	-0.1461295991	0.0742956149	0.0418025911	0.0803800243	-0.0173650905	-0.060655261	-0.0684938097	-0.1012314816	0.0675862217	-0.0340925999	0.0127436191	-0.0713662956	0.0327055542	0.0060028526	-0.1119552473	0.0528106528	-0.045630461	0.1664486742	-0.2472111844	0.0092371682	-0.0224831439	0.0031738593	-0.0306107744	0.0199652271	-0.1299573451	0.1782494388	-0.1356535603	-0.2052588546	-0.0084275144	0.046797869	-0.03096049	0.1195153378	0.1194927693	0.1194551582	0.0059301	n/a	n/a	3.516608601e-05	0.0103665	n/a	n/a	0.00010746432225	0.0379926	n/a	n/a	0.00144343765476	-0.00105601	n/a	1.1151571201e-06	n/a	3.58825e-05	n/a	1.28755380625e-09	n/a	0.0	n/a	n/a	0.0	0.0	0.0	0.0
271.37269095674253	0.1142253523919407	0.013047431129063	73643.1373971037	265.9024607356652	-2.500901897192876	70704.11862528198	6.254510299382924	203.82971636260208	0.2543025979191782	0.0646698113084432	41546.55327245882	203.82768386580537	271.3509819890772	1.25696	24.591354	0.1150191643	0.0731826	-0.1381729528	-0.0410186993	0.0419445016	-0.0262384287	0.0978721831	-0.0838964661	0.1973391009	-0.0915283639	0.0540268061	0.2012268217	0.1055177554	0.0551114969	0.0330536809	-0.0338229654	-0.0352223008	0.1853722673	-0.0276010503	-0.046838337	-0.1354456023	-0.05113752	0.0179098147	-0.0715966633	0.0638736521	-0.0862537372	-0.0311434281	0.0381781893	-0.0445231487	-0.0957112346	0.0332959021	0.0395901802	-0.0537870422	-0.0016025823	-0.0999495755	0.0548703981	-0.0044694408	0.1163808345	-0.0853225216	-0.1922595762	-0.1514914312	-0.1087033676	0.0684940912	0.1308340409	-0.1371545881	-0.0517385467	0.1286619698	-0.033873938	-0.0627538173	-0.0813524846	-0.1749701733	0.0188962622	-0.0587089611	-0.0904212849	-0.0386200886	0.0558351706	0.0088392729	-0.0617762008	-0.007674339	-0.0658619404	-0.086937576	0.0084498092	0.0022069247	-0.1084246286	-0.0083332359	-0.009581234	-0.0367800726	-0.1824074862	-0.0605754353	-0.0406889563	-0.1069410268	0.044905867	0.0240850658	0.1285950601	0.0565929985	-0.0322720863	0.0532513717	-0.0509258355	0.0998470709	-0.0542728383	0.0583632696	0.0097671406	0.0345227036	-0.0979002818	0.0633923888	-0.0011055378	-0.11575252	-0.0466675029	0.0811409658	-0.0502693661	0.0249276343	-0.0472026712	-0.2626964264	-0.0708448724	-0.0621845619	-0.0681299857	0.025087142	-0.1215971395	-0.0753096593	0.0619523412	-0.0776275561	-0.0758823952	-0.196868069	0.1096053559	0.0587285538	-0.0015196768	-0.0934940124	-0.0751572993	-0.0134223408	-0.0497953534	-0.031642831	-0.0568874433	-0.0610184691	0.0733396369	-0.0416269846	-0.0118388266	0.0537258513	0.100027742	-0.062597556	-0.0321597882	-0.1264554138	0.0032819737	-0.0480951845	0.1309165999	0.1225718589	0.0531217439	0.0037219499	0.1281819793	-0.0668735802	-0.0921815589	0.0007596399	0.1576791138	0.0308242582	0.1969032485	-0.0631738836	0.0085640313	-0.0726850844	-0.0302057591	0.0357418018	-0.1206417654	-0.0948555385	-0.0488715032	0.0415899536	0.2278274006	0.0395708954	-0.03487185	-0.0071726543	-0.2074503504	-0.0465472914	0.1194551582	0.1192521267	0.1189139965	-3.20322e-05	-0.0059621321999999	3.554702037027683e-05	1.02606183684e-09	-2.14571e-05	-0.0103879571	0.0001079096527114	4.604071404100001e-10	0.0214909	-0.0165017	0.00027230610289	0.00046185878281	0.000118984	0.001174994	1.4157192256e-08	1.380610900036e-06	0.000504236	0.0004683535	2.5425394369600004e-07	2.1935500096225002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
271.8028703666172	0.4301794098746541	0.1850543246801056	73876.8003395321	264.9494408821969	-0.9530198534683336	70198.20622378874	0.908246841104804	204.2204417651139	0.390725402511805	0.152666340168012	41705.98883473827	204.1466288381172	277.2120706359782	1.228872	24.041824	0.1222190643	0.0661631	0.0367079355	-0.1263335961	0.0650301134	0.0246169199	0.0326818021	0.1168803135	0.1318587937	-0.0870854253	-0.0983689019	-0.0206503912	0.0420689395	-0.0888220226	0.0786513947	-0.2000904817	0.0398909849	-0.0600350429	-0.1187217576	0.145983559	0.0059120732	-0.0347590914	-0.1156390926	-0.1363815988	0.0089694755	0.0203246636	0.1358336378	-0.0397977956	-0.001785553	-0.0155263236	0.0456729652	-0.0051620194	-0.1071954675	-0.1759604505	0.0125094858	-0.0067073042	-0.0788750395	-0.0624182512	0.0016136209	-0.0416074022	-0.0262676964	0.0084845071	0.0728465309	-0.0055027187	0.0287217528	0.0827763211	-0.015877769	0.0154311453	0.0159579909	-0.1486942237	-0.1663962753	0.0493561085	0.1727986108	0.0114868999	0.0042152784	0.0122504602	-0.107401556	0.0227266384	-0.0830335814	0.029660927	-0.0472166618	-0.0118350695	0.1545826925	0.0934705016	-0.1542547311	0.1083778233	0.0133681597	-0.0689316222	-0.1653863955	0.007021077	0.0189307113	-0.0258982597	-0.1371918527	-0.0524989217	0.0547146732	0.0799442794	0.1623799102	0.1313283192	-0.0396743024	0.0091958569	0.0345959158	0.0109757062	-0.0177603646	-0.0335935053	0.0393260443	0.1463446738	0.0076683078	-0.0902631955	-0.0512080363	-0.1083192125	-0.0338156212	0.047369622	-0.0628086792	0.0282002526	-0.0418346874	0.0305353828	0.0380889716	0.0653409336	0.0219865001	0.053559947	-0.0548980017	0.0365591282	-0.0654864205	0.2145188786	-0.1348879531	-0.0718199982	0.0581349291	0.0103702741	0.0190367026	0.0068343854	0.018673111	0.0692004957	0.0477253271	0.1110041757	-0.1839057415	0.1104693804	-0.0542409993	-0.0170898422	-0.1377876556	0.1198911409	-0.08631633	-0.0155116901	0.1478437137	0.0488457111	0.0169170497	0.0937602625	-0.0776504482	-0.0137266948	0.1359095965	-0.0515898198	-0.0252279397	-0.0508688975	-0.04176245	-0.0189860696	-0.0330574279	-0.1387222782	-0.0200319437	-0.0175386989	0.064475374	-0.0274837655	-0.246054588	-0.0976412286	0.0080510678	0.0187053092	0.0669419421	-0.0604515568	-0.0389699448	0.0027172166	-0.2034801657	0.1193348294	0.1187713263	0.1178341246	0.00728349	0.0073155222	5.351686505869284e-05	5.30492265801e-05	0.0441074	0.0441288570999999	0.0019473560289522	0.0019454627347599	0.0272839	0.0057929999999999	3.3558848999999995e-05	0.00074441119921	-0.000549147	-0.000668131	3.015624276090001e-07	4.463990331610001e-07	-2.70477e-05	-0.0005312837	7.315780752899999e-10	2.8226236988569005e-07	0.000100219	0.000100219	1.0043847961e-08	1.0043847961e-08	0.0	0.0	0.0
271.2419067143692	-0.5609636522480059	0.3146802191434217	73572.17195804656	264.14398774773525	-0.8054531344616294	69772.04626327571	0.6487547518140636	204.2236313949055	0.0031896297916205	1.0173738207593152e-05	41707.29162012223	204.19057966975367	277.7103990794174	1.093667	21.39666	0.0635558269	0.0292608	0.0746071422	-0.0712785926	0.0531536376	-0.0525579882	-0.0519086131	0.1024444172	0.0610000526	-0.0095181225	0.0661199694	-0.05767078	-0.2166640753	0.1284671374	0.0906859063	-0.0892903396	-0.1751963691	-0.1973186064	0.0122257596	0.130977815	0.0968670209	0.1795147424	-0.0427427692	0.0534586089	0.2159475584	-0.048556297	-0.0205164088	0.0913665856	0.0164094006	0.1571699564	-0.0345580461	0.0838442085	0.1222405619	0.0871204136	0.014432804	-0.0147405065	0.0778699308	-0.0238812775	0.1077266754	0.0520382628	0.0711717068	0.0288496823	0.0368699406	0.0119125696	0.0315448038	0.0816043895	0.0633120631	0.0797394225	0.0541263745	-0.0248841777	-0.0239592996	0.1243555621	0.0348578498	-0.066111012	-0.0804549644	-0.0979734507	-0.0069331329	-0.0903329258	0.1068985726	0.0288448679	0.0182586374	0.0610021859	-0.1600301506	-0.0134875731	-0.1803402623	0.0528028224	-0.0217687931	0.034109345	-0.0334329813	0.0230117903	-0.0615120374	0.0936510319	-0.1113150582	-0.0934333973	-0.1721672086	0.0853979041	-0.0946858949	0.0656701765	0.2021375615	0.0514170484	0.0367996478	-0.1410137302	-0.0878128832	-0.0113152576	-0.0125551465	-0.1163161793	0.0418628937	0.0556426676	-0.0184130802	0.1368861359	0.0048765976	0.0354848164	0.0787373473	0.0785803032	0.0195945529	0.0501301174	0.0492870796	0.0040688794	-0.056277304	0.1026250392	-0.0012663425	0.0872864138	0.0314531899	0.0748788514	-0.0311291416	-0.0331793615	0.0790301919	-0.1665593522	0.062425923	0.0906250628	0.0132328354	0.0798580256	-0.0911122744	0.0005466346	0.1192595345	-0.128259974	-0.0489040503	0.0645401066	-0.1144825808	0.0273339173	-0.0432063903	-0.0599416321	0.0359536832	-0.1078235637	0.0329644033	-0.025550508	-0.1357818185	-0.0803780444	-0.0869416285	-0.1177196708	0.0656496641	-0.2018408395	0.0614675054	-0.0782191781	-0.0364636452	-0.0099292214	-0.0806198981	0.126904978	0.1992454051	0.0228189301	-0.0965348233	-0.045490525	0.0806981481	0.218598243	-0.194518797	-0.2467358747	0.0674512183	0.0162661191	0.2130018705	0.1191544118	0.1180513362	0.1162204348	-1.40019e-05	-0.0072974919	5.325338803056562e-05	1.9605320361e-10	0.022854	-0.0212534	0.0004517070115599	0.000522305316	0.0278113	0.0005274	2.7815076000000084e-07	0.00077346840769	-0.0007863049999999	-0.0002371579999998	6.182755530248428e-07	5.624391696395254e-08	0.00026842	0.0002954677	7.204929640000002e-08	8.730116174329003e-08	0.000257144	0.000156925	2.4625455625e-08	6.6123036736e-08	0.0	0.0	0.0
270.5924663875895	-0.6494403267796542	0.4217727380476641	73220.28286571876	263.85134881272853	-0.2926389350067211	69617.53427029614	0.0856375462818679	203.908845698456	-0.314785696449519	0.0990900346892087	41578.81735407673	203.88591783009988	275.57703597713555	1.107006	21.657631	0.0736207368999999	0.0361372	0.1017673656	-0.0279466482	0.0125937332	-0.1457532067	-0.0915420826	0.0976218448	-0.0730146724	0.0602960446	-0.0643366794	-0.0045000825	0.0467714801	0.043967258	-0.0004328382	0.1487419228	-0.0124678574	-0.0723697263	0.1215554858	0.0649804251	0.1185154555	-0.0417944996	-0.0589523392	0.0718991201	0.1231105139	-0.0084887384	0.0567867289	0.0711214265	-0.0244482031	-0.0153413427	0.0760273467	-0.0068615974	0.0621354442	-0.0751160532	-0.0242444434	0.1242436487	-0.0171531471	-0.1714216779	-0.0933333012	0.0039231076	-0.0416313624	-0.0331671824	-0.0030169629	0.0390724724	-0.0664803926	0.0135099513	0.066078459	-0.117662269	-0.0059130745	-0.0002004066	0.0527630124	-0.1052183791	-0.0405919888	0.0477021581	-0.1104303429	0.0084861886	-0.1417405652	0.0965770727	0.1128535184	-0.0907794522	0.0826064607	-0.1245168361	-0.0505488804	-0.0970540482	0.0136858448	0.098790691	0.0067482826	0.0380307562	0.0842649241	0.1041911482	0.1067687882	0.021961518	-0.0494260887	-0.1252108082	0.0377841993	0.0792457756	-0.0700492411	0.054463682	0.0681323053	0.0339273395	0.1150712864	-0.0131565984	0.0159580337	0.0355029955	0.0629601891	0.0357485593	0.0338561503	-0.0687508904	0.0487729518	-0.0102755137	-0.2421448895	0.0678373096	0.0002213501	-0.0325827876	-0.0254560489	-0.0436670877	0.0073439484	-0.0369436393	-0.026874438	-0.0082950831	-0.109146103	-0.0543406982	-0.0273214403	-0.0354550466	0.0142058894	0.0387029939	0.000242086	-0.0146643472	-0.1650074326	-0.0579656568	0.1617361746	-0.1264899587	-0.085061975	-0.1160917653	0.1574898539	0.0722004514	0.0266164319	-0.0770402263	-0.1133715092	0.0947742806	0.0843193107	-0.0783771681	0.001401964	0.0545223801	-0.0033474475	0.1271522587	0.0214513961	-0.0717319699	0.0495561699	-0.0155092257	0.0913381829	0.0289198021	0.1142097533	-0.0057474619	0.1898585654	-0.0257360038	0.0105614201	-0.0232522194	-0.0224657094	-0.1039007544	-0.0119603847	0.056771218	-0.0343709232	0.0351771057	0.0801512176	0.0352688453	-0.0516970751	-0.017104762	0.0239010991	0.1189139965	0.1170936064	0.1140802373	0.0108326	0.0108466018999999	0.000117648772777	0.0001173452227599	0.0153903	-0.0074636999999999	5.570681768999998e-05	0.00023686133409	0.0231642	-0.0046471	2.159553841000001e-05	0.0005365801616399	-0.000255252	0.0005310529999999	6.515358350399998e-08	2.820172888088938e-07	-2.70477e-05	-0.0002954677	7.315780752899999e-10	8.730116174329003e-08	7.0398e-05	-0.000186746	3.4874068516000005e-08	4.955878404e-09	0.0	0.0	0.0
270.73390044513195	0.1414340575424262	0.0200035926329143	73296.84485023461	263.3228975548072	-0.528451257921347	69338.94837665948	0.279260731998654	203.86037638786863	-0.0484693105873645	0.0023492740688144	41559.05306100346	203.84366218919536	273.4339317192161	1.219519	23.858852	0.0722424	0.0435916	0.050775353	0.1005574599	0.0241834118	-0.0812578343	-0.096741789	-0.0981571297	-0.0483248724	-0.0713243514	0.1293766507	-0.0320783125	-0.0831942143	-0.0409947207	-0.0421463747	0.0232303937	0.1068013257	-0.0065792904	0.0230657829	-0.1195811602	0.0088082454	0.1036543006	0.0891872677	0.0751533366	-0.1041545165	0.0450679761	-0.0733211612	0.1184291301	0.1661981753	-0.0245814281	0.1232283374	-0.0899776074	-0.0885956963	0.0525208173	-0.0037576496	-0.0911409242	-0.1280734586	-0.0916253888	-0.0499279078	0.099953248	0.1492785996	0.207344779	0.032199727	0.0255797408	-0.081120044	0.0604271571	-0.0244182027	0.0858638975	-0.0457393806	0.0603585975	0.0313311411	-0.0889340678	-0.1570815605	-0.0121035529	-0.0372076488	-0.073836285	0.0808787735	0.0500533389	-0.2310916271	0.0024889985	0.0324505335	-0.15748414	0.0044640081	0.0124422855	0.023354989	0.2222903968	0.2940464296	-0.0688268058	0.0306472456	0.0207040818	-0.0448352694	0.0094807436	0.1176893668	0.0128361121	-0.119368456	-0.0513239421	-0.0704360137	-0.1606992666	-0.0790733221	-0.0008968047	0.0254766218	0.0220021825	-0.0803011801	0.1377297614	0.0643731025	0.0372582958	-0.0262894623	0.1359178959	-0.15523384	-0.1453781414	-0.0448338067	0.0319245541	0.1638287603	-0.0040034078	0.1568368502	0.1294799871	-0.0538190849	-0.0861907489	0.1003676469	0.0808079735	0.033317016	-0.0202653514	-0.0049557859	-0.0275928524	0.0863571093	0.0864084832	0.0111927297	-0.0098939167	0.1263398504	-0.0877719165	-0.0305253922	-0.0911566311	0.2571524466	-0.0973368733	0.0542853475	0.087304768	-0.085606051	-0.1409324584	-0.1240069346	0.173475664	-0.0116452849	0.1536367271	-0.1242985819	0.0628712375	0.0382202704	-0.1740356583	0.0266709819	-0.0770015541	0.004415554	-0.0733186981	-0.0026667858	0.0327088697	-0.1716012393	0.0375592004	-0.0351848526	0.0981515796	-0.0923560514	-0.1296564726	0.025897759	-4.2086e-05	-0.0147437497	0.0132480422	-0.2190121254	-0.0169115976	-0.0781963479	0.0506981882	-0.0187853798	-0.0214420326	0.0414889775	0.1186137044	0.1159000657	0.1114232278	0.0141147	0.0032821	1.0772180410000008e-05	0.00019922475609	0.0406979	0.0253076	0.00064047461776	0.00165631906441	0.049523	0.0263587999999999	0.00069478633744	0.002452527529	-0.000569931	-0.000314679	3.24821344761e-07	9.9022873041e-08	-2.70477e-05	0.0	7.315780752899999e-10	0.0	0.000101597	3.1199e-05	9.733776009999998e-10	1.0321950408999998e-08	0.0	0.0	0.0
271.04153358160323	0.3076331364712814	0.094638146655158	73463.51292626736	263.7282174993803	0.4053199445731366	69552.57270540045	0.1642842574687705	203.86145082988253	0.0010744420139019	1.154425641237665e-06	41559.49113446461	203.8156513723484	276.2140789760484	1.296692	25.368671	0.0904131579	0.0445234	-0.0937397319	0.1051368382	-0.0336468475	0.0021269479	0.080021702	-0.1205592151	0.0322175999	0.1292939458	-0.1008127586	0.0032032247	0.0550980854	0.0703063445	0.0502841409	-0.0545263842	-0.1304618428	-0.0740240646	0.0541006733	-0.1078325101	-0.0924330624	-0.042860582	0.0305556531	0.0698727885	-0.0335290237	0.1005357803	-0.0679097987	0.0496853415	-0.0769829548	0.1002875971	0.0095538324	0.0647672925	-0.0496761941	0.0913249162	-0.0600167418	-0.0106622775	-0.1778232434	-0.0593855198	0.1172212398	0.0107311434	-0.0254067065	0.1706495805	0.0190156126	-0.108262185	0.0323108379	-0.0925494709	-0.0868866615	-0.0741625766	0.0186604104	0.005624044	0.097531125	0.0439093574	0.0737635754	-0.0312962834	0.0183184334	-0.0150011691	-0.0075633217	0.0579586472	0.0377573546	-0.025221082	-0.0953604108	0.0067517376	-0.0120218263	-0.0081634329	0.0930315666	-0.1110197609	-0.0124536148	0.0132661827	0.0143476068	-0.1066915096	-0.003403468	-0.0977655037	0.094112548	0.1036351988	0.0705675871	-0.0461639584	-0.0753252994	-0.0423714411	-0.0433968701	0.0608477535	-0.0189809369	-0.1677002339	0.0015980234	-0.0547140284	-0.0238781679	-0.0687899593	-0.0397401673	0.0400229347	-0.0033087422	-0.1410410192	0.0546506666	0.1647762382	0.0559992825	0.005981758	0.0488299856	0.1266417535	-0.0960909097	0.128815256	0.0799084728	-0.1175611913	0.0048336311	0.0044207268	0.0285565908	-0.0838403882	-0.0437092044	-0.0668391068	-0.018482968	-0.0011455335	-0.0531945778	0.1089405184	0.0164149864	-0.0195493912	0.0081029979	-0.0291205607	-0.0569742408	0.0103878754	-0.0170663246	0.1124396395	0.0915177242	-0.0952297496	-0.0371013758	0.1316975961	-0.0266133373	-0.0494496164	-0.0379297048	0.045205264	0.1359233824	0.1128156673	-0.069688382	0.0588236611	0.0404253326	-0.100928067	0.1434121596	0.0127143748	0.0536135349	-0.0013969261	-0.0520762773	0.0705415304	-0.0031645364	-0.0720308117	-0.0840959978	0.0673580869	0.012959005	0.1323800003	0.0481208802	0.2478839656	0.0142577817	-0.2078581442	0.0595816144	0.1182536866	0.1144731177	0.1082614433	-2.03429e-05	-0.0141350429	0.0001997994377848	4.1383358041000006e-10	0.00438309	-0.03631481	0.0013187654253361	1.92114779481e-05	0.0375429	-0.0119801	0.00014352279601	0.0014094693404099	-0.000361934	0.0002079969999999	1.30996220356e-07	4.326275200899999e-08	9.31944e-05	0.0001202421	8.68519619136e-09	1.445816261241e-08	0.000333022	0.000231425	5.3557530625e-08	1.10903652484e-07	0.0	0.0	0.0
270.9694732393737	-0.0720603422295198	0.0051926929222355	73424.45542762366	263.76386439724524	0.0356468978649218	69571.37616176838	0.0012707013273921	203.8393418356828	-0.0221089941997263	0.0004888076245235	41550.47728000434	203.82366731493943	273.0362971175521	1.20018	23.480494	0.0782433679	0.0386421	-0.1191964279	-0.0257006224	-0.0834615495	-0.0035685174	0.0961789644	-0.0407453405	-0.0874570442	-0.0670820331	0.0610195853	-0.1020406582	0.1261500167	-0.1330171321	-0.0472889462	-0.0701041051	-0.0167230731	-0.018818078	-0.0301720847	-0.0120280318	-0.1114021716	-0.0301556991	0.0871051635	-0.0114744231	0.0175366078	0.0832890715	0.008611698	-0.092253052	-0.0404756201	0.0104927477	0.0809597255	-0.1008033788	-0.007198618	0.0414146957	-0.0156092691	0.1088356588	0.1145194579	0.2025323853	-0.1084710449	0.0207768149	-0.0601513318	-0.1007386876	0.0867376209	-0.0090577436	0.089026378	-0.105815862	-0.1048233723	-0.1085716576	0.0075126438	0.1418359477	-0.0207182037	0.0599787577	-0.0560918608	-0.0231502924	0.1287125454	-0.105228583	-0.1595196979	-0.0092309172	-0.0080923607	-0.1073411819	-0.0476243165	-0.0437023127	-0.0526255443	0.0812563945	0.0805537526	0.0970729946	0.025283211	-0.0581365126	0.0835433325	0.0475484129	0.1141099253	0.1022698925	-0.0119904824	0.1014887676	0.0262677406	-0.1080304251	0.0122161924	0.0360425725	-0.0350284619	0.0827132989	0.0072741941	0.0267257052	0.0707547873	0.0067096132	0.0503095656	0.078550913	-0.075743023	0.0886521125	0.1655886222	0.0361315156	-0.0091961186	-0.2143909334	-0.0884094672	0.0761831297	-0.1039824369	-0.0304431732	-0.0079306802	0.0568758119	-0.0059718781	-0.1066471781	0.0301763859	-0.0070428576	-0.0811660156	-0.1659397601	0.0661959378	-0.0762730976	-0.0763390399	0.0839863965	0.1340102129	0.0774508599	0.1959257504	-0.0690999422	-0.0208455372	-0.0486052317	-0.0619640271	-0.0740071901	0.0208122013	-0.1041823289	-0.014777468	0.0618711992	-0.0159773825	-0.0563432692	-0.1121932199	0.0411042031	-0.0423384525	-0.049552552	-0.0413961353	0.1012992342	0.071187822	0.0353306938	0.0598722028	0.1931720497	-0.0575390952	0.086133463	0.0345069733	-0.0421150527	0.0410749644	-0.062055936	0.1560165027	0.0130940369	-0.0650528229	0.000925797	0.0066947334	0.0160165716	0.0808016578	0.0379413171	0.0744308529	-0.0200454527	-0.1472482089	0.1178341246	0.112815636	0.1046092073	0.0204626	0.0204829429	0.0004195509498446	0.00041871799876	0.0335137	0.02913061	0.0008485924389721	0.00112316808769	0.0507159	0.013173	0.000173527929	0.00257210251281	-0.000442513	-8.0579e-05	1.95817755169e-07	6.4929752410000005e-09	5.39821e-05	-3.92123e-05	2.91406712041e-09	1.5376044712900002e-09	0.000143677	-0.000189345	3.5851529025e-08	2.0643080328999995e-08	0.0	0.0	0.0
