onset	duration	trial_type	trial_code	response	RT	money	carbon
5.7907	10	CET	c4_m2	LEFT	2.5532999999999992	50	40
20.8325	10	CET	c1_m1	LEFT	2.927500000000002	10	2
36.1247	10	dummy	dl0	LEFT	2.5553000000000026	0	0
51.1747	10	CET	m5_c2	LEFT	3.3851999999999975	120	10
66.9664	10	CET	c3_m5	LEFT	4.23360000000001	120	25
83.2664	10	CET	m0_c2	LEFT	2.6374999999999886	0	10
99.5581	10	CET	c5_m0	LEFT	2.2657999999999987	0	50
114.5998	10	dummy	dr0	RIGHT	2.5441000000000003	0	0
130.6498	10	CET	m4_c5	RIGHT	2.5901000000000067	100	50
147.4332	10	CET	c3_m2	LEFT	3.246700000000004	50	25
162.9749	10	CET	m1_c3	RIGHT	1.825000000000017	10	25
178.016	10	dummy	dl1	LEFT	2.5839	0	0
193.0666	10	CET	c0_m0	LEFT	5.13330000000002	0	0
208.3583	10	CET	c4_m1	LEFT	2.3615999999999815	10	40
224.9083	10	CET	m4_c3	RIGHT	2.6674999999999898	100	25
240.9417	10	dummy	dr1	RIGHT	2.1381000000000085	0	0
256.7327	10	CET	c5_m5	LEFT	5.403099999999995	120	50
273.025	10	CET	m1_c0	LEFT	2.1748000000000047	10	0
290.0661	10	dummy	dr3	RIGHT	2.2697000000000003	0	0
306.6079	10	CET	m3_c3	RIGHT	4.871900000000039	80	25
322.9085	10	CET	m3_c5	RIGHT	2.7472999999999956	80	50
338.2002	10	CET	m2_c1	LEFT	3.479600000000005	50	2
354.7335	10	CET	c1_m0	LEFT	2.3623000000000047	0	2
371.7746	10	dummy	dr2	RIGHT	1.9851999999999634	0	0
387.8169	10	CET	m2_c2	LEFT	4.718900000000019	50	10
403.358	10	CET	m4_c0	LEFT	1.5378000000000043	100	0
418.9002	10	CET	c0_m5	RIGHT	1.899499999999989	120	0
435.192	10	dummy	dl3	LEFT	1.7676999999999907	0	0
451.9919	10	CET	m4_c1	LEFT	2.1838000000000193	100	2
467.3004	10	CET	c4_m4	LEFT	3.3152999999999793	100	40
483.3415	10	dummy	dl2	LEFT	1.9381999999999948	0	0
498.3921	10	CET	c0_m2	RIGHT	2.007599999999968	50	0
514.9254	10	CET	c4_m3	LEFT	2.530300000000011	80	40
530.7171	10	CET	m5_c4	RIGHT	2.0586000000000695	120	40
546.5088	10	CET	c4_m0	LEFT	1.9069000000000642	0	40
561.5505	10	dummy	dl4	LEFT	1.289199999999937	0	0
578.3417	10	CET	c2_m4	RIGHT	3.8979000000000497	100	10
593.3839	10	CET	m5_c1	LEFT	2.7916999999999916	120	2
609.9256	10	CET	c5_m1	LEFT	2.409999999999968	10	50
625.7166	10	dummy	dr4	RIGHT	1.9390000000000782	0	0
640.759	10	CET	m0_c3	RIGHT	2.656600000000026	0	25
657.5501	10	CET	c0_m3	RIGHT	2.4654999999999063	80	0
674.3507	10	dummy	dl5	LEFT	1.6809000000000651	0	0
689.8834	10	CET	m3_c2	RIGHT	6.092199999999934	80	10
705.1757	10	CET	m2_c5	RIGHT	1.6958999999999378	50	50
721.4668	10	dummy	dr5	RIGHT	1.8048000000000002	0	0
737.0091	10	CET	c1_m3	RIGHT	2.622500000000059	80	2
753.8008	10	CET	m1_c2	RIGHT	3.390700000000038	10	10
