onset	duration	trial_type	trial_code	response	RT	money	carbon
5.7937	10	CET	c4_m2	LEFT	2.646299999999999	50	40
20.8443	10	CET	c1_m1	LEFT	5.755600000000001	10	2
36.1276	10	dummy	dl0	LEFT	2.168300000000002	0	0
51.1687	10	CET	m5_c2	LEFT	4.2712	120	10
66.9693	10	CET	c3_m5	LEFT	6.670599999999993	120	25
83.2605	10	CET	m0_c2	RIGHT	2.0594000000000108	0	10
99.5527	10	CET	c5_m0	LEFT	1.3272000000000048	0	50
114.5938	10	dummy	dr0	RIGHT	1.9021000000000043	0	0
130.6361	10	CET	m4_c5	RIGHT	6.883800000000008	100	50
147.4278	10	CET	c3_m2	LEFT	3.6681000000000097	50	25
162.9695	10	CET	m1_c3	RIGHT	1.7502999999999815	10	25
178.0106	10	dummy	dl1	LEFT	1.965299999999985	0	0
193.0529	10	CET	c0_m0	LEFT	5.946899999999999	0	0
208.3445	10	CET	c4_m1	LEFT	1.8312999999999988	10	40
224.8946	10	CET	m4_c3	LEFT	6.265199999999993	100	25
240.9278	10	dummy	dr1	RIGHT	2.0320000000000107	0	0
256.7191	10	CET	c5_m5	LEFT	4.976699999999994	120	50
273.0113	10	CET	m1_c0	LEFT	2.7484999999999786	10	0
290.0697	10	dummy	dr3	RIGHT	2.010099999999966	0	0
306.6192	10	CET	m3_c3	RIGHT	6.316599999999994	80	25
322.9114	10	CET	m3_c5	RIGHT	2.808400000000006	80	50
338.2114	10	CET	m2_c1	LEFT	3.4843999999999937	50	2
354.7531	10	CET	c1_m0	LEFT	2.4787000000000035	0	2
371.7942	10	dummy	dr2	RIGHT	2.6374999999999886	0	0
387.8359	10	CET	m2_c2	RIGHT	6.6358000000000175	50	10
403.3949	10	CET	m4_c0	LEFT	1.7407999999999788	100	0
418.9365	10	CET	c0_m5	RIGHT	1.4551999999999907	120	0
435.2282	10	dummy	dl3	LEFT	1.9074999999999704	0	0
452.0199	10	CET	m4_c1	LEFT	3.2916999999999916	100	2
467.3116	10	CET	c4_m4	LEFT	6.064099999999996	100	40
483.3528	10	dummy	dl2	LEFT	1.3589000000000055	0	0
498.4033	10	CET	c0_m2	RIGHT	1.8523999999999887	50	0
514.9367	10	CET	c4_m3	LEFT	2.4950000000000045	80	40
530.7451	10	CET	m5_c4	RIGHT	7.646600000000035	120	40
546.5367	10	CET	c4_m0	LEFT	1.9343000000000075	0	40
561.5868	10	dummy	dl4	LEFT	2.0448000000000093	0	0
578.3696	10	CET	c2_m4	RIGHT	4.926000000000045	100	10
593.4118	10	CET	m5_c1	LEFT	2.6598000000000184	120	2
609.9535	10	CET	c5_m1	LEFT	1.9581000000000586	10	50
625.7446	10	dummy	dr4	RIGHT	2.0710000000000264	0	0
640.7869	10	CET	m0_c3	RIGHT	1.7085000000000719	0	25
657.5786	10	CET	c0_m3	RIGHT	1.572999999999979	80	0
674.3703	10	dummy	dl5	LEFT	3.7012999999999465	0	0
689.9119	10	CET	m3_c2	LEFT	7.143700000000081	80	10
705.2037	10	CET	m2_c5	RIGHT	3.5878999999999905	50	50
721.5115	10	dummy	dr5	RIGHT	1.560100000000034	0	0
737.0537	10	CET	c1_m3	RIGHT	5.441799999999944	80	2
753.8454	10	CET	m1_c2	RIGHT	3.8260999999999967	10	10
