global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	t_comp_cor_07	t_comp_cor_08	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15
273.6103490741742	n/a	n/a	74862.62312049147	323.3194575987251	n/a	n/a	104535.4716619338	174.93714063137824	n/a	30603.00317228261	n/a	174.90099099780397	385.3550644854132	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.00328244	n/a	n/a	1.0774412353600002e-05	0.0493794	n/a	0.0024383251443599	n/a	0.00623169	n/a	3.88339602561e-05	n/a	0.00248774	n/a	6.1888503076e-06	n/a	0.00158375	n/a	n/a	2.5082640625e-06	0.000916487	n/a	n/a	8.39948421169e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
272.1050772144854	-1.5052718596888326	2.2658433715710764	74041.17304590106	315.51752539846154	-7.801932200263536	60.87014605750903	99551.30883356882	174.6289431662058	-0.3081974651724408	30495.267791345937	0.0949856775387178	174.51163440155247	375.4237569590919	1.002665	27.270296	0.095462246	0.061322	-0.0043209847	0.04393604	-0.0608462979	0.1609199791	-0.0856833435	0.1063394894	-0.0865163431	0.0075441636	-0.0116777974	0.0968566314	-0.0358143228	0.1051084362	-0.0612793063	0.0115346928	-0.057558142	0.1281005984	-0.0778199627	0.0378184638	-0.1965513138	0.052320961	-0.0294089204	0.0076159792	-0.2439728428	0.0076228281	-0.1074425306	0.0959066189	-0.0508599437	-0.0539200935	0.0711438259	-0.0923984292	0.0552468385	-0.0535218859	0.137768267	-0.2027034338	0.1064910235	0.1077520742	-0.0468629831	0.0454057039	-0.1001989828	0.0772532051	-0.0248165413	0.018175782	-0.0914804456	0.035133941	-0.0369558252	0.0729347021	-0.004555369	0.0116865703	-0.0482045702	0.0229928646	0.0109344922	0.1065475647	-0.1235373175	0.0540625124	-0.1160693589	-0.0204382955	0.0161889799	0.0215430713	0.1454437677	-0.0463569596	-0.0384593963	0.0806043739	0.0031868813	0.0686819519	-0.1292076114	-0.0626505357	-0.0377111597	0.0955414143	0.0626446222	0.0479279082	-0.0798379548	-0.1263722601	-0.0786657387	0.1248109307	-0.0284703394	0.0743747791	-0.0741616874	0.1045811696	-0.041315427	0.1004490713	-0.1257432082	0.1933564441	-0.1158154974	0.0825854006	-0.0681974379	0.0877217067	-0.0348938851	0.0887203479	-0.0091650307	0.1191070318	-0.0576041038	0.0306202223	-0.0110671511	0.0087503215	-0.0084470211	0.028652488	-0.1585500762	-0.0434018512	0.0703976165	-0.0069789335	-0.0311097188	0.1447843202	0.0986214022	-0.0006209879	-0.0474151863	0.0205454449	0.0534075362	-0.0506789336	-0.0621350297	0.016815405	0.0550397233	-0.0846891136	-0.0715454683	-0.0180122135	0.0445687458	0.1020043706	0.1252800651	-0.0874015975	-0.0526065432	-0.0508167719	0.0656307307	-0.0834574662	0.2353542074	-0.0560023593	0.045823906	-0.0151807578	0.0538149683	-0.0426833937	0.0411270721	-0.0030229918	0.0614026038	-0.0173415031	0.1308487087	-0.0246037658	0.1148226819	-0.1179440916	0.0032661028	0.0320088777	-0.0213216057	0.0137279992	0.1374482385	-0.0766994515	0.1978410351	0.0317090464	0.1199443696	0.119921393	0.1198831019	0.0	0.000180164	-0.003102276	9.624116380176e-06	3.2459066896e-08	0.00496599	-0.04441341	2.46610566801e-05	0.0019725509878281	0.0474849	0.04125321	0.00225481572801	0.0017018273353041	0.0023926	-9.514000000000008e-05	5.72453476e-06	9.051619600000012e-09	0.00158375	0.0	0.0	2.5082640625e-06	0.000955214	3.872700000000001e-05	1.4997805290000007e-09	9.12433785796e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
272.25936506788366	0.154287853398273	0.0238047417062469	74125.16186716715	314.48270788753734	-1.0348175109241993	1.0708472809153553	98899.37356027814	174.77102121142354	0.1420780452177439	30544.90985528386	0.0201861709328952	174.6449327134744	376.1935109190452	0.8968749999999999	24.393034	0.0789501229999999	0.0613071	-0.0334803247	0.0712457833	-0.0984924499	0.1956494494	-0.0438828005	0.0150651218	-0.0927139872	-0.0588450147	0.0007240531	0.1411392578	-0.0335902019	0.0680798382	-0.0869383719	0.0292331266	0.056079264	0.0323048755	-0.0093703589	0.1090451931	-0.0395555529	0.0687613941	0.02833325	0.0517264287	-0.2171496105	0.0346325912	-0.0796229501	0.1408484241	-0.0705559117	-0.0152226753	0.0369670464	-0.1170080677	0.0204252475	-0.0505609878	-0.0165051979	-0.0465530351	0.1205044837	0.0959210718	0.0035014279	0.0500017859	-0.0212262707	0.0334055947	0.1098374104	0.0959763472	-0.0401423263	0.0520201195	-0.0596465534	0.0602536302	0.0241998627	0.0155041688	0.0051987652	0.0773044794	0.1403023099	0.0383126791	0.0190865524	0.0842827813	0.0238577979	0.0390190035	0.0647929224	-0.0498534481	0.0825301691	-0.0774056911	0.0385606822	0.0866736191	-0.1014257082	-0.1210915284	-0.1351611129	-0.0552364164	-0.0729797994	0.0958417619	-0.0584581842	0.0996317242	0.0433393626	0.0218366296	-0.0414519152	0.1639189394	-0.0290371808	0.0262412196	-0.0234690593	0.1501250073	-0.0705569299	0.0433231711	-0.01691935	0.0228613619	-0.0880979701	0.071396482	-0.0620479858	0.0721327719	-0.0672494815	0.0450299077	0.0186775195	-0.0411958846	-0.1253751434	0.0537315969	-0.034217048	0.0618348243	-0.0059973973	0.1037702975	-0.1278688388	-0.0773727368	0.0518356551	0.0895085383	0.030747071	-0.0591575163	0.0481772399	0.0133985947	-0.0403134525	-0.0040539029	0.1401470842	-0.0395464057	0.0526759613	0.1278335379	-0.0066520092	0.0773142318	-0.0926812552	0.0332292607	0.1222730511	0.1949472505	0.0194412436	-0.0118429708	0.1003379377	-0.0346867986	0.0647916767	-0.0846206503	0.2303499352	-0.1035891271	0.0751786906	-0.0069093988	0.0864718182	0.0138392341	0.0131890216	0.0554275092	-0.0657025332	-0.0265388156	0.0927822099	0.0233887699	0.1152749329	-0.0923759458	-0.0189791636	-0.1085387584	0.121311844	0.0352948128	0.0231519499	-0.0731335731	0.066484654	0.0582512158	0.1198831019	0.1196764004	0.119332162	0.0	0.000237627	5.7463e-05	3.301996369e-09	5.6466591129e-08	0.0608552	0.0558892099999999	0.0037033553670399	0.003123603794424	0.0441293	-0.0033555999999999	0.00194739511849	1.1260051359999957e-05	0.002	-0.0003925999999999	4e-06	1.5413475999999992e-07	0.00158375	0.0	0.0	2.5082640625e-06	0.000955571	3.569999999999832e-07	1.2744899999998801e-13	9.13115936041e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
271.99616674740867	-0.2631983204749986	0.06927335590086	73981.91472528414	313.6424535932584	-0.8402542942789637	0.7060272790542393	98371.58869599923	174.73897119851887	-0.0320500129046763	30533.708055516807	0.0010272033271899	174.58937502370298	375.1715953747432	0.8756589999999999	23.816017	0.088685423	0.0382347	-0.0293665538	0.0828439282	-0.0927754027	0.2522271237	-0.0492433853	0.03032218	-0.0469187091	-0.0834586654	-0.0138683602	0.1328570785	-0.0127815334	0.0535897763	-0.0895557127	0.0428683578	-0.0020787542	0.0126668181	-0.0153076883	0.1436703896	-0.0556202806	-0.0889171766	-0.0053004019	0.0445537611	-0.175923457	0.1507769426	-0.0009438968	0.1562866147	-0.0516544935	-0.055929395	-0.0313804978	-0.1849219227	0.0905011555	-0.0190157594	-0.0126731226	-0.0694723761	0.0931700973	-0.0838810665	0.0078029056	-0.0049479742	-0.0263738269	-0.0616706183	-0.036020034	0.0615639768	0.0428379975	-0.15438595	-0.0562961469	0.0457728383	0.0593994932	-0.0266852914	-0.0543070448	-0.0916142829	0.0331351242	0.1180007666	0.0193785038	0.0417745307	0.1600569539	0.089059328	0.0390860346	0.0249888132	-0.073326625	0.077801858	0.0846504087	0.0547079882	-0.0375294427	0.1169820606	0.0087531412	0.0034154764	-0.0766704614	-0.0984024912	-0.0389873267	0.0596462786	0.1820952954	0.0994284223	0.0427618029	0.1505613534	-0.0221141458	0.0523810493	0.0743454088	0.1783177646	-0.0038101758	0.1018858441	-0.007023265	0.0416217537	-0.0354244652	0.0890151397	0.0941218819	0.0324049175	0.069534943	0.0678931769	-0.0143010318	-0.0719206089	-0.002905219	-0.1428155006	0.0430443997	0.0427690414	-0.0178034186	0.0308417196	0.0345951243	-0.0404376596	0.1037822558	0.0342678945	-0.1392024067	-0.020362864	-0.0954581574	-0.0380424903	0.160653752	-0.0036473557	0.0578398549	0.09337993	-0.0326294202	0.0960594169	0.0618434673	-0.038545581	-0.0476181619	-0.0245679634	-0.0535581456	-0.061374482	-0.1273165552	0.090586825	0.0797538731	0.0235991401	0.0851824613	-0.1065906952	0.2313377553	-0.1679287303	0.1017179154	-0.0761934263	0.0133761047	-0.0219330079	0.0542172501	0.0811022638	-0.0369442835	-0.0603112383	0.0864634634	-0.0383112042	0.077404613	-0.173387489	-0.0210109172	0.0759877851	0.0295830501	0.045425755	0.1337432613	0.0088209186	0.0471984797	0.0870841559	0.1197605978	0.1191869159	0.1182328141	0.0	0.0232155	0.022977873	0.0005279826476041	0.00053895944025	0.0768318999999999	0.0159766999999999	0.0059031408576099	0.0002552549428899	0.0554742	0.0113448999999999	0.00307738686564	0.0001287067560099	0.00219808	0.0001980799999999	4.8315556864e-06	3.923568639999992e-08	0.0013074	-0.00027635	7.636932250000006e-08	1.70929476e-06	0.00124886	0.000293289	8.601843752100006e-08	1.5596512996e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
272.2652673371974	0.2691005897887066	0.0724151274246297	74128.37579819556	313.0998130832862	-0.5426405099721592	0.294458723062845	98031.49295278876	174.83187008499036	0.0928988864714881	30566.182797414946	0.0086302031076424	174.69468358781782	377.1316659104111	0.925104	25.160797	0.11458295	0.0600529	0.0101468192	0.0435218193	-0.1312213516	0.1299564289	-0.073064102	-0.048240751	-0.0788474418	-0.1096915005	0.0166730433	0.1387684479	-0.0012516829	0.0354134506	-0.0196516538	0.0112919068	0.0193448079	-0.0257479414	-0.0532316559	0.1302943504	-0.0483467757	0.0280210307	0.0078204757	0.0347225893	-0.078010024	0.0301786758	-0.0359885537	0.1151279648	-0.112948381	0.0190925534	0.1141857295	-0.1623347583	0.1027880434	-0.1192218056	-0.0147145382	-0.1582603104	0.1892690719	0.025264524	-0.056536823	0.0613578065	-0.0470776419	0.084537203	-0.1044898119	0.0827050935	0.0356644789	0.0445080667	0.0646420331	0.0089478824	0.0041080339	0.0498879217	-0.1295603432	0.0752606372	-0.042850365	-0.023366278	0.0840352532	-0.0184423069	-0.033436139	-0.0651482628	-0.115669985	0.0939816184	0.0074931808	-0.0393082571	-0.0844439059	-0.0712742055	-0.0855119172	0.0845325842	-0.0064719384	0.1332558445	0.095075844	-0.0816422543	0.0083233544	0.0117374161	-0.0540828641	-0.023761431	-7.57022e-05	0.1355443614	-0.0823766499	-0.0037625565	-0.1049932893	0.1631283374	-0.1160133308	0.1229471454	-0.0228688569	0.0755840158	-0.0935443073	0.1961117364	0.0347715572	0.0917566618	-0.049974019	0.0949522819	-0.0721203744	-0.0320323737	0.0600533948	0.0785296962	0.0077634965	-0.0694309199	-0.0376187559	-0.1009674655	-0.0936463311	0.1094013992	0.0225805145	0.0047086371	-0.0606038675	-0.0398803726	0.0834266168	0.0528090475	0.0685724626	0.0550472345	-0.1189817098	-0.049401518	-0.002585042	0.0520410362	-0.0625765751	-0.0592059264	-0.093713054	-0.0140102153	-0.0544003843	-0.172650961	0.0283675247	-0.1126138203	-0.0096053097	0.0281576031	0.0794328785	-0.0346785042	0.2439328577	-0.1169280567	0.1316805035	0.003230882	0.0567839886	0.0310210074	0.0138831201	0.0159975987	-0.0244933084	0.0094329835	0.0659370398	-0.0232930046	0.0760535967	-0.0227225733	-0.012688521	-0.0489365266	0.1576341873	-0.0172760472	-0.0097327735	-0.0443513196	0.0719031317	0.0052970871	0.1195769199	0.1184539393	0.1165901104	0.0	0.0139464	-0.0092691	8.591621481000001e-05	0.0001945020729599	0.0330852	-0.0437466999999998	0.00109463045904	0.0019137737608899	0.0283445	-0.0271297	0.00080341068025	0.00073602062209	0.00249889	0.00030081	6.244451232100001e-06	9.048665610000018e-08	0.000981431	-0.0003259689999999	1.0625578896099997e-07	9.632068077610002e-07	0.00131083	6.196999999999995e-05	3.8402808999999936e-09	1.7182752889e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
272.5077114831154	0.2424441459180002	0.0587791638899085	74260.45281776485	314.01988198983724	0.9200689065510232	0.8465267928019955	98608.48628491133	174.8340203043824	0.0021502193920355	30566.934655793197	4.623443433885618e-06	174.67812941516186	380.1165744382092	0.958006	26.055664	0.17688115	0.0990705	0.0203327691	0.019317153	-0.2210780425	0.0723669582	-0.0740210313	-0.0135068083	0.0099476553	-0.0328476748	-0.0297227527	0.144655231	0.0540022029	0.0255525489	-0.0959265387	0.000982585	0.0508263902	-0.0119287664	-0.0399529452	0.0616032597	-0.0140278367	-0.0919825143	-0.1198385358	0.0037309872	0.0599608882	0.0936084168	0.1133257349	0.1023710962	-0.0954163025	-0.0462159399	0.0107380972	-0.114896252	-0.0101697502	-0.0095207698	-0.0251056394	-0.0259311332	0.0639956357	-0.0162956937	-0.0934144313	-0.1677068859	-0.0918545188	-0.0631448594	-0.0229775416	-0.0094954975	0.0384398323	0.1846728635	-0.0099857555	-0.1250963118	0.0425951684	0.0169371077	-0.0528833879	0.0660511675	-0.0942844236	0.0088346444	0.2578175562	-0.2303982846	0.1041346928	-0.0261010005	-0.049738263	0.081877815	0.1649190913	0.098084494	-0.0051949518	-0.0422947137	0.0788268994	0.0493911315	0.1613826833	-0.0473527146	-0.0240813642	0.0845899847	-0.0524416385	-0.0350736999	-0.0555206428	0.0358659147	0.1340924955	0.0863452517	-0.0694430386	0.0512636554	0.0491810862	0.1232248905	-0.0530394223	-0.0003028667	0.0038632923	0.0063626445	-0.0384472521	0.0523194788	-0.0028153091	-0.1134682884	0.1355425411	0.0924744113	0.0078437199	-0.0303610493	0.0969010123	0.1506776775	-0.0881757203	0.0321658409	0.0037032432	0.022989185	0.0241506226	0.1345692835	-0.1537337897	-0.1567069213	-0.1484824237	-0.2018293284	0.1008732427	0.1174586222	0.1250138907	0.0036128297	-0.0077774203	-0.0615827179	-0.1188980634	-0.0664959024	0.0322357827	-0.0026158914	0.1357544225	0.0596396563	-0.1607016755	0.0452406427	0.0195448286	0.0684116322	0.0078181522	-0.0654817026	0.0725030733	-0.0719815344	0.164331011	-0.1549269873	0.0618251182	-0.0989641375	-0.0012270123	0.0159566287	0.0723291188	0.1111676827	-0.0190363089	-0.039115775	-0.0436735325	-0.0050228059	-0.0707884098	-0.0637233776	-0.0308084499	0.056860134	-0.0449874471	0.0611012343	-0.0577929533	0.0801814145	-0.0430743049	-0.0568088018	0.119332162	0.1174789681	0.1144116002	0.0	0.0123608	-0.0015855999999999	2.5141273599999987e-06	0.00015278937664	0.110085	0.0769998	0.012118707225	0.00592896920004	0.0323077	0.0039632	0.00104378747929	1.570695424e-05	0.002	-0.00049889	4e-06	2.488912321000001e-07	0.000454343	-0.000527088	2.77821759744e-07	2.06427561649e-07	0.000450157	-0.000860673	7.407580129289999e-07	2.02641324649e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
272.403671884776	-0.1040395983393978	0.0108242380226232	74203.7604563087	313.60379008901606	-0.4160919008211863	0.1731324699289879	98347.33715819565	174.93187316768734	0.0978528633049506	30601.16024995585	0.0095751828569773	174.7978083359737	384.3596261984263	1.0822	29.433468	0.1469052899999999	0.0973164	0.0272374989	-0.0213581899	-0.1931123322	-0.0575333422	0.0002446695	-0.0618744586	-0.047410243	-0.030717227	-0.0810555851	0.0646442223	0.1144573138	-0.0486791509	-0.0160841302	-0.0436097481	0.0236243118	0.0309700705	-0.1446313289	0.0334586958	0.0080903929	0.0415752728	-0.1046847948	-0.0100600519	0.0924555182	0.0372148064	0.1142978959	0.034709764	-0.135557606	-0.0202763486	0.0092448446	-0.1131892993	0.0302745964	-0.065013043	-0.0102849751	-0.0007273422	-0.0075900405	0.1019331311	-0.0745779906	-0.0022096878	0.1612014975	0.0085458777	5.56035e-05	-0.0701522194	0.068215799	-0.0249484819	0.007613533	-0.0066291659	-0.1733000158	-0.159225431	0.0700074343	-0.1369999342	0.1899134304	-0.0927287412	-0.0796576067	-0.1016889561	0.0045206579	-0.103815348	0.0379485151	-0.078957578	0.0293187676	0.0386946468	0.0714778688	-0.0581496367	0.0138773636	-0.0967107892	-0.0114477556	0.0459180241	0.0701265881	-0.0565549505	0.0504294856	-0.1147123394	0.0528366295	-0.1772092277	0.1201841784	0.0287694587	-0.1211420242	0.0246441728	-0.0287304989	0.0999498653	-0.037184037	0.0617367214	-0.0573530592	-0.0302107528	0.0252772932	0.0421013975	-0.0958859838	-0.034578491	-0.1040567178	-0.1033915502	-0.0753610428	-0.0210808675	-0.0010440783	0.0035221879	0.1022057653	-0.0337202127	0.1727855678	0.1645651787	0.1350210151	0.0933950481	-0.1208373274	0.1814603732	-0.0007549474	0.0708260828	-0.0353067346	0.0450282653	-0.0486294872	0.0057227537	0.0225903647	0.0623459949	0.0659659987	-0.1357590955	0.0283669181	0.07685267	0.0556515527	-0.0469778568	0.0197270685	-0.0821301955	-0.0429981406	-0.05594994	-0.2441004711	0.1488159093	0.066512813	0.0182077521	0.1708029216	-0.0769672259	0.087140245	-0.037652438	0.0086616199	0.0953933387	0.0357790694	0.0344375733	0.091596143	0.0437871284	-0.0840816872	-0.0185559936	-0.0565532316	0.0738986441	0.0304806709	-0.0477354499	0.1198188036	0.0138622832	-0.1748214238	0.0657406439	-0.0214191448	-0.0885383551	0.1190264491	0.1162639941	0.1117072952	0.0	0.00990611	-0.00245469	6.025502996100004e-06	9.813101533209998e-05	0.0261465	-0.0839385	0.00068363946225	0.00704567178225	-0.0117795	-0.0440872	0.00013875662025	0.00194368120384	0.00217048	0.0001704799999999	4.710983430399999e-06	2.9063430399999922e-08	0.000296325	-0.000158018	2.4969688324e-08	8.780850562500002e-08	0.000450157	0.0	0.0	2.02641324649e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
272.0585137738409	-0.3451581109350741	0.1191341215442689	74015.83491683118	313.4811095138481	-0.1226805751679762	0.0150505235235454	98270.40602203322	174.94061528850153	0.0087421208141904	30604.21887751949	7.642467632990202e-05	174.80981757058126	380.54520154101215	1.089474	29.631311	0.1000343065	0.0471306	0.0764449952	-0.0667272134	-0.1403757038	-0.0584547238	0.0624586212	-0.031064891	-0.0060009699	0.0726761263	-0.1968015348	-0.0084043017	0.1385441863	-0.0564594867	-0.0025628989	0.0629429719	0.0427906738	0.0677250163	-0.0934333193	-0.0682975593	0.0200473338	-0.085048537	-0.0890173422	-0.0021065341	0.0813514667	-0.0384146617	0.1082518124	-0.0112572379	-0.091474931	0.042627476	-0.069490765	-0.1311090691	-0.0099698866	-0.0306573624	-0.1045514353	-0.0065375812	0.0036250041	0.0983645551	0.0962393895	-0.0392470393	0.0367944141	0.1440803378	0.0613520505	0.0044409406	-0.1428195126	0.0524835667	-0.0786980034	0.0090596575	-0.0290935214	-0.0585635557	0.0802179205	0.0148899049	0.1076999645	-0.0763815892	0.1708974536	-0.0572214894	0.0090738891	0.064364111	-0.0100721705	-0.1560315273	-0.0367813661	0.1012686469	0.0124627933	-0.0032262053	-0.1071955255	-0.0350864755	-0.1503816669	-0.0071346739	0.1651011396	0.0166684162	-0.0249058022	-0.0792039294	-0.1211833014	-0.0814954734	0.1029276524	-0.0266204517	-0.0878655184	-0.0448097409	0.0873502563	0.130307781	-0.0558712274	-0.0052181835	0.0415013224	-0.0372111537	-0.0349126762	-0.0601522091	-0.0320107487	-0.0229475611	-0.2029687668	0.0457603713	-0.042375733	0.0845692023	-0.1351707798	0.0316798467	-0.092456584	0.079379414	0.0552593432	0.0601457915	0.0899307549	0.0413754681	-0.0904326877	0.0650239391	0.0836037368	-0.1580671954	0.0231264799	0.0778717387	0.0027308515	-0.1434765956	0.0356678989	0.1335068293	0.0163710631	0.0063236385	-0.1135000123	0.0702548019	-0.0859197803	0.0653138412	0.0959793843	-0.1023516764	0.0260372885	-0.0571907925	-0.1829851766	-0.0815129567	0.035512605	-0.0338127776	0.1274140976	-0.0090803516	-0.0168126382	-0.1427488749	0.0727859409	0.0856317702	0.0421794982	0.0457804574	-0.0136492307	-0.1123083083	-0.1759979149	0.0739322783	0.0663919022	0.1106688874	-0.0362128926	0.1061842505	-0.2124032546	0.094667005	-0.0724213011	-0.0332467968	-0.1288637814	-0.1804541442	0.1186599374	0.1148114994	0.1084896234	0.0	-0.0131275	-0.02303361	0.0005305471896321	0.00017233125625	0.0518005	0.025654	0.00268329180025	0.000658127716	-0.0156877	-0.0039081999999999	0.00024610393129	1.527402723999999e-05	0.00243727	0.00026679	5.9402850529000006e-06	7.117690410000015e-08	0.000526257	0.000229932	5.2868724624000014e-08	2.769464300490001e-07	-1.89093e-06	-0.00045204793	2.0434733101728493e-07	3.5756162649e-12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
