onset	duration	trial_type	trial_code	valence	arousal
5.5131	15	NEU	NEU24	6	4
22.5376	11	Q	Q_NEU24	6	4
40.6048	15	CON	NEU5	6	none
57.6298	11	Q	Q_NEU5	6	none
75.4382	15	CON	NEU3	6	none
92.4632	11	Q	Q_NEU3	6	none
109.0216	15	NEU	NEU6	6	none
126.0466	11	Q	Q_NEU6	6	none
143.3633	15	CON	NEU2	6	none
160.3883	11	Q	Q_NEU2	6	none
178.1967	15	NEU	NEU12	7	none
195.2217	11	Q	Q_NEU12	7	none
213.03	15	NEU	NEU30	none	none
230.0551	11	Q	Q_NEU30	none	none
246.6134	15	CON	NEU22	4	none
263.6384	11	Q	Q_NEU22	4	none
