global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15
345.6000266101555	n/a	n/a	119439.3783929402	423.0716533469417	n/a	178989.6238657148	n/a	230.4080027793311	n/a	n/a	53087.84774476025	229.93532608628445	423.07990900166186	n/a	n/a	n/a	n/a	-0.0070042121	-0.0651109935	0.0641774569	-0.0731535674	0.0528778401	0.1334567428	-0.0363394546	0.1573769752	-0.0764019991	0.1747758119	-0.5514576165	0.2500007918	-0.1860001886	0.158000227	0.1326761063	-0.0014472889	0.1293492054	-0.0817646204	0.0705799953	0.0520117764	-0.0335776591	0.1154671204	-0.1780183917	0.165391654	-0.0250378697	0.0124499671	0.0257650239	-0.0420532098	0.0086092347	-0.0110741199	0.1091694724	-0.0903332518	0.1342033497	-0.0924764597	0.1513120539	-0.0046079847	0.0625788639	-0.0652918046	0.0179080638	-0.0218191816	0.0304916215	-0.040971014	0.1236293848	0.0080274526	0.0009708935	0.0406330066	-0.0117465874	-0.0510592413	0.0535129554	0.0483851274	-0.0803172934	-0.1061642105	0.0971733417	0.0047805027	0.0276036278	-0.0943366401	-0.0048155887	-0.0248810556	-0.0419873998	0.1199521939	-0.0136758705	0.1432617632	-0.0749534855	0.0625848682	0.0558065886	-0.0715976107	0.0737451917	-0.1951466272	0.1580822451	-0.0214908088	0.010479737	-0.0476948628	-0.0358229449	0.0072640442	-0.135754494	0.026745944	-0.0906712716	0.1603243692	-0.2054463596	0.0850607632	-0.0934587441	0.0100467727	-0.0570715321	0.0387349949	-0.0175985256	0.021305525	-0.1095101789	-0.0022688685	0.0299441913	0.0029401729	0.0245161761	-0.0512523468	-0.0291460222	0.0861237403	0.0762994044	-0.0750828792	-0.0733299068	0.1365898831	0.0135787545	-0.0054903693	-0.0840161659	-0.0156742601	0.0074443534	-0.0253015357	-0.00032149	0.0911640107	-0.0019874695	0.0809342106	-0.0624280778	0.1046515908	0.0853900692	-0.1627125003	0.0044661272	-0.0178972844	0.114487701	-0.0109742023	0.1246523225	-0.1519994889	0.1132186577	-0.0095156776	0.1314707496	-0.0284557466	0.1251234416	-0.0819124983	-0.03074277	0.0457355774	0.0840816978	0.1195153378	0.1194927693	0.1194551582	-0.0252912	n/a	n/a	0.00063964479744	-0.0185196	n/a	0.00034297558416	n/a	0.0304296	n/a	n/a	0.00092596055616	-0.00115998	n/a	n/a	1.3455536003999998e-06	-0.00112469	n/a	1.2649275961e-06	n/a	-0.00126564	n/a	n/a	1.6018446095999998e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
345.0020897158775	-0.597936894278007	0.3575285295388285	119026.4419083224	418.9803899875479	-4.091263359393793	175544.5671941177	16.73843587591818	230.7376823329108	0.3296795535796946	0.1086886080485067	53239.87804836325	230.2124342745879	422.9509322179576	1.334666	31.116171	0.09408511	0.0450389	0.0260169737	0.00953093	-0.0197365866	0.0076866633	-0.0961117265	0.0212752267	0.0773041494	0.1235857362	0.1114171839	-0.0156682058	-0.1968070831	0.0370863804	-0.1459349442	0.2719624387	0.0845277669	-0.014941399	-0.0345970887	0.0772469311	0.1532122373	-0.0289868261	-0.0642650629	0.0677828581	-0.1596188245	0.0748325234	0.0973879507	-0.1047609171	-0.0526996204	0.1164032746	0.0015810554	-0.0601907645	0.1583566991	-0.0530656299	0.0255173391	0.0479717968	0.0481444111	-0.0500208952	-0.145183293	0.1526190968	-0.1267837134	0.0323937353	0.0002887332	-0.1917846416	0.1007313077	0.0759141561	-0.0022907887	-0.0318696753	0.0659995033	0.0601488667	0.0495714126	0.0176637397	0.1337392282	-0.0299502834	0.1157924938	0.0656311662	0.1269910781	0.1014906969	-0.04686108	-0.0617663907	0.0419379395	0.0861327305	0.0139317681	-0.0469774023	0.0693013591	0.0970032427	0.1284464932	-0.0549757547	0.0831885022	-0.1478283683	0.0787614854	-0.0756829066	-0.1514218653	0.1018210468	0.0859742776	0.0010173477	-0.1473851457	-0.0645423667	-0.009003756	0.0043897092	-0.0408029491	-0.0059395829	-0.023983434	-0.0593096289	0.1342654246	-0.2020445211	-0.0116700194	-0.0158460335	-0.1618303906	0.1706060212	0.0862184447	-0.0328043178	-0.0593494407	0.0107110855	0.033378677	-0.0151555589	-0.0676685714	-0.0483482461	0.1104989662	0.1624140182	-0.0542564538	0.0748638872	-0.034837574	-0.0547500381	0.0314257697	-0.0387004232	0.0372857696	0.0761031058	-0.0165676661	0.161717975	0.0263836375	0.0833928358	0.0915790277	-0.1739936365	0.0135334883	-0.1258697123	0.1107188509	-0.0604167861	-0.0285274297	-0.0474927766	0.1491842904	-0.0352946559	0.0029996273	-0.024014057	-0.0357315381	0.0019429098	0.0803391855	-0.1218330295	0.0153175994	0.1194551582	0.1192521267	0.1189139965	-0.0307225	-0.0054313	2.949901969e-05	0.00094387200625	0.00560191	0.02412151	3.13813956481e-05	0.0005818472446801	0.0648832	0.0344536	0.00118705055296	0.00420982964224	-0.00100533	0.0001546499999999	2.391662249999996e-08	1.0106884089e-06	-0.000979606	0.0001450839999999	9.59627915236e-07	2.1049367055999992e-08	-0.00156748	-0.00030184	9.110738560000005e-08	2.4569935504e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
344.9999421353056	-0.0021475805718864	4.612102312744196e-06	119024.96007336424	416.81394224277335	-2.16644774477453	173733.862447962	4.693495830838646	230.87627215056003	0.1385898176492332	0.0192071375560477	53303.85304213946	230.3398816687901	427.0442555994717	1.203036	28.047365	0.04867482	0.0253256	-0.013578155	0.0048897255	0.0781818561	0.1234635369	-0.1269307115	0.0504273119	-0.0998712654	0.0433238946	0.0741734928	-0.0097027014	-0.0829206398	0.0093087417	-0.0627610048	0.096205824	0.0376128738	0.0657319126	-0.0255554395	0.0354390762	0.1243095291	0.1354333735	0.0425775884	0.0922407641	-0.1409385715	0.075768371	0.1014444655	-0.1921331085	-0.0848433092	0.0718740586	-0.2002799096	-0.0137431373	0.0371424042	-0.0033206086	-0.0562624304	0.0105989501	-0.0777213428	-0.0754930755	-0.0399679804	-0.0078595858	-0.0823089302	0.0054794607	-0.0499833922	-0.1437590482	-0.0469783241	0.0291970366	0.1075514845	0.019833561	-0.0507559901	0.0303134512	-0.0076260701	-0.0797974699	-0.0901768755	-0.0041903723	-0.0254062363	0.0262548996	0.0570492437	0.0072453783	0.0818151752	0.1944910622	-0.0307530582	0.0431853601	-0.0588825673	-0.029005135	-0.0122516975	0.174162418	-0.0625200811	-0.0639308365	0.0748263727	-0.1558957866	0.0828030753	-0.0496736717	-0.1658496272	0.1415376149	0.0551992151	-0.2074220995	-0.0146126574	-0.0254098701	0.0057903874	-0.0762535589	0.0482515268	-0.0687241484	0.030445226	-0.0091225961	-0.0093980673	-0.0660591081	-0.0253605766	-0.0697730026	-0.007248987	0.0905495306	0.1039086774	0.0453074294	0.0528577395	0.1109675157	-0.0250442945	-0.0790593196	-0.0037843062	-0.0203025963	-0.0632369539	-0.060089902	-0.0273746976	0.1136021331	0.1806425687	0.100141659	-0.0453903462	-0.0427821563	0.0109102837	0.0804112132	-0.0020170812	0.0726895594	-0.112149697	0.0354173965	0.0877238813	-0.257179196	-0.0300128766	-0.1377730333	0.1453123803	0.0590877784	-0.1027107732	0.0184868983	0.0398993687	0.0279395806	0.0112871873	0.1062498278	0.0938008216	-0.005060558	0.0065384653	-0.0650358197	0.00410743	0.1193348294	0.1187713263	0.1178341246	-0.0380929	-0.0073703999999999	5.432279615999999e-05	0.00145106903041	0.00931213	0.00371022	8.67157651369e-05	1.37657324484e-05	0.0431637	-0.0217195	0.00047173668025	0.00186310499769	-0.00116362	-0.0001582899999999	2.5055724099999986e-08	1.3540115044e-06	-0.00113881	-0.000159204	1.2968882161e-06	2.5345913616000012e-08	-0.00156748	0.0	0.0	2.4569935504e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
345.08494231508166	0.0850001797760455	0.00722503056196	119083.61741260324	416.34873020805446	-0.4652120347188884	173346.26514585933	0.2164222372472882	231.1091850384641	0.2329128879040638	0.054248413351811	53411.45540914303	230.5661952216097	428.2458106674057	1.237221	28.844357	0.05514098	0.0238083	-0.0153252774	0.0462467246	-0.0647005499	-0.0998942325	-0.0919194343	0.0033387329	0.0351845627	0.1632792265	-0.0404097109	-0.0014289201	-0.0451493161	-0.020956223	-0.0387233608	-0.0636896087	-0.0036903818	0.0845742658	-0.0556889863	-0.0766488254	0.0656141727	-0.0373822056	-0.0378038929	0.0901889972	-0.208626172	0.0078678935	-0.001533356	-0.1253022329	0.0458296199	-0.1004322724	-0.1388548698	-0.0607385254	-0.0736775173	0.0583606672	-0.1036553563	-0.1562135021	-0.0816213275	0.0322824212	-0.0047867099	0.0286028441	-0.0066600415	-0.0941456624	-0.0017812377	0.0654586584	-0.0845609859	0.0186094382	0.0545441336	0.087840879	-0.0644312355	0.0041539348	-0.0804052385	-0.2191032671	-0.0373612744	0.1197145622	0.0460278297	-0.1539653788	0.0234200062	-0.1226629797	0.1579815231	-0.1387397736	-0.0990983863	0.0026824229	-0.0883278197	-0.044276742	-0.0871275925	0.0055625983	0.0890030535	-0.0081116491	0.0979199966	-0.2081294405	0.0412564736	0.0034692553	-0.0806478382	-0.0809173282	-0.0149265838	-0.1790972673	0.044151487	0.1638366236	-0.0106119429	-0.0012767994	0.1332221294	-0.047310073	0.0698792194	-0.0297985674	0.00658369	0.0460444207	0.1179519591	-0.0013357639	0.0960285326	-0.0207118873	0.0470649227	0.1176930873	0.1037412636	0.064885105	0.0065048792	-0.0974542649	-0.11635156	0.0696681915	-0.1615215772	0.0066332782	0.0864718635	0.0332926023	-0.2460409791	-0.0683472709	-0.0603757183	-0.0368677136	0.0051027563	0.0840878905	0.0227424909	0.1152273256	0.0074349246	0.1018627333	0.1622595203	-0.1699383365	-0.0698009014	-0.1821240232	0.0621790524	0.0227608377	-0.0008717013	-0.0162601972	0.0257653051	-0.0423051962	0.0463538118	0.1182560947	0.1165824289	-0.0736279836	-0.0202279774	0.1000140232	-0.0184201882	0.1191544118	0.1180513362	0.1162204348	-0.0307221	0.0073708	5.432869264e-05	0.0009438474284099	-0.00281855	-0.01213068	7.944224102499999e-06	0.0001471533972624	0.0322537	-0.0109099999999999	0.0001190280999999	0.00104030116369	-0.00149132	-0.0003277	1.0738729e-07	2.2240353424e-06	-0.00103805	0.00010076	1.0775478025e-06	1.0152577600000018e-08	-0.00150135	6.612999999999996e-05	4.373176899999996e-09	2.2540518225e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
345.0803445347672	-0.004597780314441	2.1139583819861408e-05	119080.44418423364	416.4156685906488	0.0669383825943441	173402.00904779707	0.0044807470643467	230.8138424271715	-0.2953426112925967	0.0872272580451299	53275.02985599515	230.2640128938461	427.3807415939437	1.163624	27.128525	0.0848584	0.0439642	-0.0072831887	0.0423955821	-0.0628541166	0.0980617848	-0.0433001122	0.0030206362	0.01293052	0.0120877518	0.1708470691	-0.0388335844	-0.0390497792	-0.0181141836	-0.0589485753	-0.014519002	0.0509933918	0.013932976	-0.0680451731	0.1413001922	0.0737104767	0.02122778	-0.0283671442	0.0571375337	-0.1380797265	-0.0632853858	0.038019496	-0.0463358904	0.0447211034	0.0008841496	-0.1174140657	-0.1155369211	0.0338569364	-0.0318119865	-0.1111717816	-0.030698114	0.0053701704	0.1237274095	-0.1754465007	0.0802212195	-0.0350871745	-0.0250465094	0.0005386133	0.0111650104	-0.0501678458	-0.0881130659	-0.1820934934	-0.1736026947	-0.0633351903	-0.0609032904	0.0742791734	-0.0503312422	-0.0363248867	-0.0980405188	-0.096270795	-0.0112229102	0.0702842417	-0.0153849992	-0.0503097628	-0.1138698079	0.0299123323	0.0571431421	-0.0038887172	-0.0900554039	0.1071125277	0.0797910578	0.0084015583	-0.0361452243	0.0602408502	-0.1428181572	-0.030216125	-0.0308579837	-0.0476839956	-0.0500772512	0.0568259277	-0.110922289	-0.0481923983	0.1197566005	-0.0212331961	-0.0480165189	0.0409684408	0.0401005185	0.1300870645	0.0364402117	0.1578480253	-0.1214847547	0.0607039575	-0.0076678719	-0.0143480808	0.0607173637	-0.2285594525	0.0416209597	-0.1379655318	-0.0121349372	0.0079517174	0.0230688721	0.0642466124	-0.0851101824	-0.0214221	-0.1056753224	0.0053433337	0.0340646183	-0.0337439971	0.0286748294	0.0540030834	-0.0379919138	0.0392494576	0.0898730231	0.0011146171	0.1671643207	-0.0122929513	-0.023750569	-0.0182289478	-0.1482747834	0.0016770847	-0.0351863172	0.064891138	-0.0710264146	0.0853202489	-0.013633373	0.022706834	0.005238068	0.0200131854	-0.0589050304	0.0244999176	-0.1380185259	-0.0761091552	-0.0080765524	0.0797233597	0.1189139965	0.1170936064	0.1140802373	-0.0031463	0.0275757999999999	0.0007604247456399	9.89920369e-06	0.0129815	0.01580005	0.00016851934225	0.0002496415800025	0.0473598	0.0151060999999999	0.0002281942572099	0.00224295065604	-0.00147846	1.2859999999999956e-05	1.6537959999999884e-10	2.1858439716e-06	-0.000959501	7.854900000000002e-05	9.20642169001e-07	6.169945401000003e-09	-0.00106523	0.00043612	1.902006544000001e-07	1.1347149528999998e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
345.0364429861295	-0.0439015486377343	0.0019273459727913	119050.1469885206	415.9485820431507	-0.4670865474981269	173013.22290370765	0.21816984285372	230.8314930737409	0.0176506465693933	0.0003115453243176	53283.178194652486	230.3099967065895	429.44405243944897	1.269387	29.594257	0.05781277	0.0303636	-0.0288580423	0.0159835515	0.1649725172	-0.0104504637	-0.0640375997	0.0298889212	-0.1230148577	0.047729718	-0.0193177206	-0.0438879362	0.0187324129	-0.0697200831	-0.0405642204	-0.0018367309	0.0280553946	0.0169160623	0.0334108397	-0.0956279758	0.0113968274	0.0607250926	-0.0277039976	0.1209543038	-0.0419804535	0.0684878628	0.0093592453	-0.0378310921	0.0542532605	-0.0680596196	0.0167867925	0.0692142995	0.0402852562	0.055002018	0.0196572554	0.0603542336	-0.0222945062	0.0235217926	0.0252673176	-0.0977775497	0.1097469575	-0.0606151213	-0.1085138794	0.0948451999	-0.0733130774	-0.083159379	0.0106641132	-0.0936898877	0.0650301463	-0.0218784327	-0.1302039744	-0.059472601	-0.0156197458	-0.0556122553	-0.0768109956	-0.0199299288	-0.0544218436	0.0238734005	0.1236865751	-0.1787230311	-0.1445144502	0.0274165523	-0.0298047496	0.0551728443	-0.0942661954	0.007713422	-0.0275935655	-0.0652692293	0.1034550198	-0.0518959599	0.05611571	-0.0298077598	-0.0251539236	-0.0690718332	-0.0457102682	0.0038403626	0.0143773941	-0.0796239872	-0.0107057562	0.0006993341	0.0279847716	0.0149015386	-0.0340889428	0.150328261	-0.0237631801	0.1251990518	0.0523564039	-0.0699230618	0.0718922737	-0.1034698437	-0.0826592602	-0.0221229342	-0.0845202325	-0.0169157908	-0.1290988931	-0.1297957756	0.0192453356	0.0338488451	-0.0118167255	-0.0368757527	-0.0214591656	-0.0308789099	-0.1245375461	-0.1473738263	-0.1381731835	-0.029127535	0.0107019523	0.0769084309	0.0393767474	-0.0136539445	-0.1251781233	0.0615031598	0.0829073587	-0.0679896787	0.0615667558	-0.0185070893	-0.0014389985	-0.0046862782	0.0468277778	0.0062453802	0.0216932082	0.0099894494	-0.0211073908	-0.0007780702	-0.0831625612	-0.0250147231	-0.0047674122	-0.0856594218	0.005435478	0.1186137044	0.1159000657	0.1114232278	-0.00646832	-0.0033220199999999	1.1035816880399998e-05	4.18391636224e-05	0.0106804	-0.0023011	0.0001140709441599	5.295061210000002e-06	0.0241273	-0.0232325	0.00053974905625	0.00058212660529	-0.0013991	7.936000000000011e-05	6.2980096000000175e-09	1.95748081e-06	-0.000686272	0.0002732289999999	4.70969257984e-07	7.465408644099997e-08	-0.000838676	0.0002265539999999	5.1326714915999966e-08	7.033774329760001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
344.95104419526814	-0.0853987908613476	0.0072929534805801	118991.22289140584	415.86100722648	-0.0875748166706671	172940.37733142247	0.0076693485149009	230.70536209198784	-0.1261309817530502	0.0159090245579883	53224.96409799522	230.17572205318555	429.1575681539719	1.23646	28.826616	0.05317239	0.0253388	-0.0093538982	0.0357743163	-0.0857807004	-0.0491727622	-0.1511119637	-0.0222267327	0.1031974033	0.0936474323	0.0328361611	-0.0413631189	0.0427734837	-0.0814138307	-0.0756689414	0.0328561476	0.0746129803	0.0149178829	-0.0313550788	0.0046291466	0.068286573	-0.0794942473	-0.0977279785	0.0175800941	-0.0682596679	-0.0798809818	-0.0012314734	0.0635685118	-0.0265982395	-0.0086260816	0.0761451346	0.110261712	0.024778828	0.0447336878	0.0748848382	0.1609205056	-0.0784652737	-0.0152573928	0.0954661028	0.0727910235	-0.0080054898	0.1204220666	-0.0029028218	0.0460335773	-0.0504162438	-0.1537170832	-0.0541152273	-0.1339234256	-0.0503104501	0.0231088981	-0.0208858576	-0.0713486455	-0.0426778439	-0.0047428623	-0.1753515002	-0.1353737792	-0.0679475798	0.0096643106	0.0974555009	0.1320384898	0.0462564982	0.0711057175	-0.0173269328	-0.0266182193	0.0310928143	-0.0051796946	0.1378555012	-0.0423002393	0.0436537184	-0.0400567235	-0.0616973366	0.007851959	0.0348972684	0.0539419091	-0.0277578755	0.0702867175	0.0503081398	-0.2009241331	0.0944646496	-0.0302077341	-0.000197389	-0.0419270999	-0.0055402624	-0.0749200345	0.0105715006	0.0542585568	-0.0742760915	-0.0203519168	0.0812270678	-0.0174092285	-0.2131126917	0.0181881164	-0.0645741779	0.0830819528	-0.0521769804	-0.0552962823	0.0671798971	0.0141157811	-0.002558767	-0.2053281613	0.0784603703	-0.0190117469	0.0295596185	0.0412780966	-0.0954064101	-0.0327282306	0.0222887693	0.0841166373	0.0080178574	0.107669533	0.0723055295	0.096680741	0.0440389342	-0.0222297086	0.004375468	-0.0200591995	0.0604458891	0.0130689693	-0.083347446	-0.0075307894	0.001351541	0.0864926089	-0.0892186905	-0.0423685875	-0.0371876288	-0.0098132733	-0.016077564	-0.0551874857	0.09232931	0.1182536866	0.1144731177	0.1082614433	-0.0032434	0.0032249199999999	1.0400109006399998e-05	1.051964356e-05	-0.00281002	-0.01349042	7.8962124004e-06	0.0001819914317763	0.0292847	0.0051573999999999	2.659877476e-05	0.00085759365409	-0.00131118	8.792000000000001e-05	7.729926400000002e-09	1.7191929923999996e-06	-0.000447585	0.000238687	2.0033233222500002e-07	5.6971483969000013e-08	-0.00053929	0.000299386	8.963197699600002e-08	2.908337041e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
344.75283788477714	-0.1982063104910025	0.0392857415184557	118854.51922960742	415.3855845212016	-0.4754227052783903	172545.18382802032	0.2260267486942232	230.77179434464185	0.0664322526540104	0.0044132441926862	53255.62106504567	230.2482059366509	426.8287809708602	1.125811	26.246948	0.108653	0.0499415	0.0018120078	0.0091759324	-0.0535877452	0.1488523343	-0.1229932925	-0.008643995	-0.0533175599	-0.036619456	0.129477018	-0.0829332185	0.0108862746	-0.0390611631	-0.0292852104	-0.0763140892	0.0662215398	-0.0515382705	-0.0361620684	0.0775420659	0.0246101637	0.0745425899	0.0094565894	0.1122803792	-0.0210865313	-0.026027955	0.0013938421	0.1473240592	-0.06474863	-0.0580102632	0.0896979731	-0.0458489048	0.0187080477	-0.0135526394	0.0264825974	0.152972701	-0.0210506693	-0.0174501279	-0.0179249584	0.0164333586	0.0480903455	-0.024503223	0.0407848839	0.1710586214	0.0447705347	-0.0890136702	0.1447808191	0.0025613322	-0.0760831997	-0.0589897544	-0.0982259419	0.1526513997	0.0286044214	-0.2486588247	0.1235374944	-0.0619337462	-0.0599254248	-0.0273806676	0.0461249524	0.0253990615	0.0576270703	0.0716937531	0.0577443533	-0.0399006355	0.0533048714	0.0632012989	-0.0758723293	-0.0362159639	0.1002823202	-0.0394567169	-0.0528126989	-0.0196637457	0.1152095172	0.0489595576	-0.0942275498	0.1064919131	-0.0299172679	-0.0383707518	0.0871169873	-0.0714361439	-0.0368007063	-0.0027154203	-0.0450043572	0.0510610978	0.0832353687	0.0320952296	0.0492429211	0.0540028094	0.0069942795	-0.1446100652	-0.113722977	0.0506250368	0.0911654402	0.0136809244	-0.1744109409	-0.0269281569	0.1578605516	-0.0717897321	0.1105126123	0.1776977108	0.1010491672	-0.0797744455	0.0360602759	0.0605828613	-0.0875171421	-0.0290127717	0.0564436069	0.0951108669	-0.014376298	0.0897647717	-0.0526249159	0.0197588295	-0.1678705604	-0.0041200672	0.0236129453	0.0629592644	0.0535836588	0.0156237354	-0.0445784872	-0.0298741815	-0.1240741733	0.0534104182	0.0390595267	-0.018095907	-0.0281931111	-0.0557540703	-0.1042921802	-0.0764404638	0.0114947616	0.1178341246	0.112815636	0.1046092073	0.0029206	0.006164	3.7994896e-05	8.52990436e-06	0.0175655	0.02037552	0.00030854679025	0.0004151618152704	0.0454609	0.0161761999999999	0.0002616694464399	0.0020666934288099	-0.0017437	-0.00043252	1.8707355040000007e-07	3.04048969e-06	2.11806e-05	0.0004687656	4.4861781636e-10	2.1974118774336003e-07	-0.00012183	0.00041746	1.7427285159999997e-07	1.48425489e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
344.496864273098	-0.25597361167911	0.0655224898760478	118678.08949399732	414.31130647843406	-1.0742780427675598	171653.8586758669	1.154073313172499	230.97614167136973	0.2043473267278841	0.0417578299408326	53349.97802139266	230.4233417869821	426.9311756086591	1.196695	27.899542	0.0642836599999999	0.0314667	-0.0002141826	-0.010023106	0.0709528404	-0.084578786	-0.0441800011	-0.0244657786	-0.0849042352	0.0437053785	-0.0684901594	-0.0472942543	0.005726182	-0.1062393338	0.0138162856	-0.1338436804	0.019447648	0.0118984378	-0.0298647479	-0.1316044205	0.0397655664	-0.0294187546	0.0013000458	0.0928280072	-0.0240749834	-0.0259104048	-0.0715736692	0.1284174963	0.0003211043	-0.0376375327	0.0090100081	-0.0514970667	-0.0105888699	-0.0733735921	0.0237902429	0.0071653416	0.0343731771	-0.0625204044	0.0101022724	0.0227902899	0.1290403517	-0.0097346061	0.0401228001	-0.0809311465	-0.0721252354	-0.0313234466	0.1862547285	-0.0039450668	0.0877444436	-0.0851679097	-0.0657253483	0.0326300637	0.0844604139	0.0752948965	0.0474736563	0.1026442768	0.1359456722	-0.0698039663	-0.1410578983	-0.0335114668	-0.1475668714	0.0242730105	-0.0181672961	-0.0055194404	-0.1385203272	-0.0041800367	0.0456061375	0.0041347475	0.0872140461	-0.0306256393	-0.0391911056	0.0319317745	0.146869216	-0.0138594481	-0.0192967236	0.0179370594	-0.0402587038	0.0680346665	-0.0137572653	-0.026289004	-0.0518980258	-0.0346186093	-0.0802036352	0.0326699038	0.0477247318	0.0848819111	-0.0054239619	0.0086335094	0.1133871681	0.0794397647	0.0399158219	-0.0998384346	0.0642094547	-0.0205346741	-0.1749581064	-0.0421100812	-0.1249351924	-0.0111084186	0.0679423196	0.1246670245	-0.1033646007	0.0702225462	0.0272979263	-0.0476396654	0.2089782169	-0.0201061887	0.033955428	0.0964765798	-0.0013394051	0.0086255592	-0.0551841338	0.0951403949	-0.0299719156	0.0823589577	0.0378718138	0.0649098898	-0.0560642824	-0.0584798001	0.0151749228	-0.1392861895	-0.0666237603	-0.0307455885	0.0299661271	-0.0790705872	-0.0077287441	-0.0972682438	-0.1474037877	0.0351603738	-0.0102578422	0.1173552296	0.1109309587	0.1004830656	-0.0080252599999999	-0.0109458599999999	0.0001198118511395	6.44047980675984e-05	0.0123532	-0.0052123	0.00015260155024	2.716807129000001e-05	0.0258091	-0.0196517999999999	0.0003861932432399	0.00066610964281	-0.00150479	0.0002389099999999	5.7077988099999975e-08	2.2643929441e-06	2.11806e-05	0.0	4.4861781636e-10	0.0	0.000208734	0.000330564	1.0927255809600001e-07	4.3569882756e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
