onset	duration	trial_type	trial_code	response	RT	money	carbon
5.7983	10	CET	c4_m2	LEFT	5.8577	50	40
20.84	10	CET	c1_m1	RIGHT	1.5599999999999987	10	2
36.1316	10	dummy	dl0	LEFT	2.324300000000001	0	0
51.1733	10	CET	m5_c2	LEFT	2.6826000000000008	120	10
66.9656	10	CET	c3_m5	RIGHT	5.834299999999999	120	25
83.2573	10	CET	m0_c2	RIGHT	3.718599999999995	0	10
99.549	10	CET	c5_m0	LEFT	4.610899999999987	0	50
114.5907	10	dummy	dr0	RIGHT	2.2811999999999983	0	0
130.6318	10	CET	m4_c5	RIGHT	9.600099999999998	100	50
147.4236	10	CET	c3_m2	RIGHT	4.608300000000014	50	25
162.9652	10	CET	m1_c3	RIGHT	3.986699999999985	10	25
178.0068	10	dummy	dl1	LEFT	3.8651000000000124	0	0
193.0491	10	CET	c0_m0	LEFT	5.222700000000003	0	0
208.3402	10	CET	c4_m1	LEFT	7.331699999999984	10	40
224.8825	10	CET	m4_c3	LEFT	4.13330000000002	100	25
240.9236	10	dummy	dr1	RIGHT	2.188199999999995	0	0
256.7154	10	CET	c5_m5	LEFT	5.620400000000018	120	50
273.0076	10	CET	m1_c0	LEFT	2.1042999999999665	10	0
290.0493	10	dummy	dr3	RIGHT	1.8465999999999667	0	0
306.591	10	CET	m3_c3	LEFT	4.560799999999972	80	25
322.8827	10	CET	m3_c5	LEFT	9.493100000000027	80	50
338.1744	10	CET	m2_c1	LEFT	2.937400000000025	50	2
354.7244	10	CET	c1_m0	LEFT	3.4513000000000034	0	2
371.7655	10	dummy	dr2	RIGHT	2.2502000000000066	0	0
387.8073	10	CET	m2_c2	LEFT	3.488400000000013	50	10
403.3495	10	CET	m4_c0	LEFT	3.186200000000042	100	0
418.8995	10	CET	c0_m5	RIGHT	2.7322000000000344	120	0
435.1912	10	dummy	dl3	LEFT	2.3845000000000027	0	0
451.9912	10	CET	m4_c1	LEFT	2.9845000000000255	100	2
467.2746	10	CET	c4_m4	LEFT	6.997099999999989	100	40
483.3162	10	dummy	dl2	LEFT	2.5395000000000323	0	0
498.3657	10	CET	c0_m2	RIGHT	3.4499999999999886	50	0
514.908	10	CET	c4_m3	RIGHT	4.56370000000004	80	40
530.6991	10	CET	m5_c4	LEFT	2.916599999999903	120	40
546.4913	10	CET	c4_m0	LEFT	3.540300000000002	0	40
561.5408	10	dummy	dl4	LEFT	2.6748000000000047	0	0
578.3497	10	CET	c2_m4	RIGHT	6.505899999999997	100	10
593.3914	10	CET	m5_c1	LEFT	2.384200000000078	120	2
609.9331	10	CET	c5_m1	LEFT	2.698500000000081	10	50
625.7248	10	dummy	dr4	RIGHT	1.9068000000000893	0	0
640.7665	10	CET	m0_c3	RIGHT	3.6011000000000877	0	25
657.5577	10	CET	c0_m3	RIGHT	3.3699000000000296	80	0
674.3499	10	dummy	dl5	LEFT	2.441699999999969	0	0
689.8916	10	CET	m3_c2	LEFT	5.419999999999959	80	10
705.1832	10	CET	m2_c5	RIGHT	2.5043999999999187	50	50
721.4744	10	dummy	dr5	RIGHT	2.3732000000001108	0	0
737.025	10	CET	c1_m3	RIGHT	3.2065000000000055	80	2
753.8245	10	CET	m1_c2	RIGHT	3.6230000000000473	10	10
