global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	w_comp_cor_52	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01
235.07352859531755	n/a	55259.56384625358	n/a	236.58753828401737	n/a	55973.663271291385	n/a	171.1278988723576	n/a	n/a	29284.75777246785	171.6343987633616	256.95139244950684	n/a	n/a	n/a	n/a	-0.0670978411	-0.0684550586	0.1149663963	-0.0085558341	-0.1624469364	0.0681226039	-0.010341328	0.2537231389	-0.186595754	0.2718968803	-0.0273375705	0.0650518895	-0.2039634227	0.4965829695	-0.0976177475	0.265760085	-0.0362808253	0.0108232979	-0.2258887679	-0.0632688433	0.1208943067	-0.0312239968	0.0057748106	-0.0541048249	-0.0627889237	0.0412557612	-0.0076310374	0.0315024341	-0.0112979185	0.0928999692	-0.0080204494	0.0930221417	-0.0505479818	0.054381502	-0.0365606386	0.0532966193	-0.0841048167	0.0033319929	0.0191250719	-0.041291477	0.1025095328	-0.0836601555	-0.0176214786	-0.0671520363	0.0481149679	0.0265315133	-0.1364034452	-0.0825629016	0.1032107857	0.0190832881	0.0033090825	-0.1310715589	-0.1205494813	0.0833345553	0.0694344154	0.0739042143	-0.1873443599	0.0792551601	0.0104129501	0.0535666411	-0.0321312317	-0.0349250034	-0.024361016	-0.0169485298	-0.0737970999	0.1213388118	0.0870464286	-0.0306833757	-0.0723891213	0.0523274956	-0.0232030317	0.0836532037	-0.1075221282	0.2176681673	-0.0584422682	0.021881009	-0.0237532447	0.0009694198	-0.0871154502	0.0312307853	-0.0863223265	0.039296184	-0.0750118014	0.0722186508	-0.0428559269	0.0085139156	-0.1055851424	0.0320057704	-0.0203489375	0.0396283663	-0.096383216	0.1031367344	-0.0124608892	0.0143115177	0.0057196888	0.0914877475	-0.0218198484	-0.0019524786	0.0930861879	-0.0560252374	-0.0915020611	0.0632102475	0.0847256514	-0.1141007693	-0.0719790204	-0.0074007684	0.1678489753	0.0146771504	0.0694968105	-0.1653403696	0.1060058334	0.0760495684	0.066163996	0.0272737464	-0.0356378533	-0.1405951098	-0.017438446	0.0476598611	0.0276737088	0.0326617095	0.1482973175	-0.0572369165	0.0824911924	-0.0377100686	0.0657401538	-0.0298548425	0.078570319	-0.0539102357	-0.0902753618	0.0981872243	-0.0627849323	0.0654726637	-0.1791555694	0.0187115763	-0.1437767985	0.1302878252	-0.0571146363	0.0135822927	-0.1707014153	0.0626156383	-0.0142130921	-0.0133592502	-0.0599660252	0.1041706245	0.1195153378	0.1194927693	0.1194551582	-0.000374837	n/a	n/a	1.40502776569e-07	-0.000167419	n/a	n/a	2.8029121561e-08	0.124911	n/a	n/a	0.0156027579209999	-0.0008295089999999	n/a	n/a	6.880851810808341e-07	0.002	n/a	4e-06	n/a	0.000275277	n/a	7.577742672899999e-08	n/a	0.0	0.0
234.0201735554934	-1.053355039824169	54765.44163094325	1.109556839922976	233.13292679014427	-3.4546114938731023	54350.961553738765	11.934340573600148	170.81554365972232	-0.312355212635282	0.0975657788604322	29177.949955766504	171.27059874809905	251.7462916238493	1.202964	23.947603	0.040395135	0.0316266	-0.0721759071	-0.0970798605	0.0090391379	0.023400854	-0.0729029869	-0.0728566054	-0.0817204788	0.1099341931	-0.0454653104	0.1808666901	-0.1040706021	0.1838438127	-0.0009786037	-0.0076347853	0.1331691446	0.0140585268	-0.0792647019	-0.055855007	-0.0737093132	-0.1506752088	-0.018457742	0.0329666403	0.0670024096	0.0636614451	-0.1185120723	-0.0230666825	0.2339441337	0.0257348604	0.0871275405	0.0875941191	-0.0420837259	0.1111840029	0.1057851455	-0.0028503664	-0.1274285011	-0.0378995489	0.007020293	-0.058819679	-0.0444899171	0.0116957606	-0.0609883075	-0.0997902855	-0.01126061	0.058810429	0.093579695	0.0509109018	-0.030354555	-0.0294402104	0.0630072034	0.1350740474	-0.0320446041	0.1692196485	-0.0255212915	0.049129583	0.0163227102	-0.0039606083	0.0953742644	0.0382020321	0.1286991254	0.0075354036	-0.0700326616	0.0715329011	-0.0408908251	0.045920254	-0.0567320997	0.0765374485	-0.1001421148	-0.0178171429	-0.009841246	0.107522024	0.1197027074	0.0677866679	-0.0417944142	0.1197741792	0.030978138	0.0821742602	0.0528057475	0.0489968353	-0.0650459266	-0.1671422064	0.0663596657	0.1359632795	-0.1794868673	0.0748437361	0.0310673891	-0.1118955321	-0.1039869207	-0.1211601355	-0.0036866753	0.0606842427	0.1018572899	-0.0143551409	0.0362454262	0.0291794955	-0.1204874743	-0.0627817029	-0.026659248	0.054978845	0.0886702636	0.0604486093	-0.1101011718	-0.0197678628	0.0198239655	0.0701212176	0.0606859979	0.2020316222	-0.0107160813	-0.0226285599	-0.0297679163	0.0172067557	-0.0859940296	0.0247923492	-0.0864852738	-0.1490242787	-0.058930188	-0.0656211925	-0.0131019925	0.0437187731	-0.1201427749	-0.016055178	0.1894228789	0.0821529496	-0.0292698935	-0.0424952773	0.0774756937	-0.031987794	0.0034617219	-0.1629618075	-0.0446837022	0.0465963263	-0.1644522425	0.0620687947	-0.2096394576	-0.0244616617	0.0021909385	-0.1133092835	0.1428113058	-0.1176418459	0.0748254199	0.0638767009	0.0689815772	-0.0177413194	-0.03497313	0.1019986065	0.1194551582	0.1192521267	0.1189139965	-0.00273056	-0.002355723	5.549430852729001e-06	7.455957913599999e-06	-0.000197181	-2.976199999999999e-05	8.857766439999993e-10	3.8880346761e-08	0.153981	0.02907	0.0008450649	0.023710148361	-0.000971913	-0.0001424040000001	2.0278899216028487e-08	9.44614879569e-07	0.002	0.0	4e-06	0.0	0.000238888	-3.638899999999998e-05	5.706747654400001e-08	1.3241593209999983e-09	0.0	0.0
233.62657660854245	-0.3935969469509359	54581.37729782715	0.1549185566490978	231.9699225830235	-1.163004207120764	53810.04498317392	1.3525787857805969	170.65357786650478	-0.1619657932175471	0.0262329181725892	29122.64363863921	171.14169870242912	248.6456757488885	1.135695	22.608469	0.079121299	0.0462851	-0.0938726213	-0.1079480677	-0.0571724705	0.0558674603	-0.0145438088	0.0144013004	0.1167207651	0.0674928516	0.0710619493	0.1634403025	-0.1022970233	-0.056272052	0.1414948807	-0.1765158785	-0.0210593291	0.0731440314	-0.0826086582	-0.1373255415	-0.0668499543	0.0456858407	0.0292576588	0.1218857242	0.0731496449	0.1168465606	-0.1309563766	-0.0110107242	0.0698255377	0.0383914989	0.0564585183	0.0054424563	0.0008699232	-0.0024367318	-0.0418483593	0.1517824497	0.111891481	0.1289047996	-0.1285781048	-0.061291007	0.0183491488	-0.0039926955	-0.057275231	-0.0103128443	0.0222495955	0.0496541223	-0.0723491005	0.0077829192	0.0436475212	0.0092213735	-0.1498765605	-0.1158492493	-0.0022802183	0.1780996321	0.0487762639	-0.0064861573	0.1005472166	-0.0660687193	0.1048796213	-0.0267986265	-0.0023935895	0.0024478764	0.0362917381	-0.0462046488	0.1033886657	0.0533687357	-0.0955860251	-0.1731470988	0.1830254807	-0.0030424451	-0.0203050293	0.0802114031	-0.0727534635	0.1571253297	0.0189518179	-0.0046688061	0.0736537348	0.0690466241	0.0597963051	0.1565781028	-0.0878598177	-0.0963927834	0.0049521352	-0.0116934239	0.01735727	0.0600031588	-0.001720526	0.0163028631	0.0982970406	-0.0413356695	-0.1665307727	0.0496103798	-0.1983584331	0.0235698301	0.1380834177	0.0092270438	-0.0606234826	0.0186347167	-0.0045230923	-0.036593733	-0.0339460696	-0.0054480547	0.1123863209	0.0835794491	-0.0651557535	0.0763850399	0.0416012134	0.0752661601	-0.0641896923	0.1564228157	-0.0698396641	0.0651466872	0.010275152	-0.0948895939	-0.0125752058	0.0299398457	0.0819768812	0.115864361	0.0178363441	0.1073408347	0.077089432	0.0548106083	0.1387131108	-0.1135829453	-0.0690779275	0.0107570101	0.0403354966	-0.0002482144	-0.001976635	-0.2059909982	-0.012317419	-0.0445381318	-0.0619409519	0.0473595034	-0.1126845378	0.0972443406	0.127108156	0.1047398435	0.0358901961	0.1404062068	0.0014248115	-0.0839515907	0.0684734355	0.0400126361	0.0063468191	0.0152083068	0.1193348294	0.1187713263	0.1178341246	-0.00263918	9.137999999999985e-05	8.350304399999972e-09	6.9652710724e-06	-0.0298702	-0.029673019	0.0008804880565743	0.00089222884804	0.125121	-0.0288599999999999	0.0008328995999999	0.015655264641	-0.00074719	0.000224723	5.050042672900002e-08	5.582928961e-07	0.00181751	-0.00018249	3.3033426001e-06	3.33026001e-08	0.000241613	2.7249999999999985e-06	5.8376841769000003e-08	7.425624999999992e-12	0.0	0.0
233.41559644340745	-0.2109801651349983	54482.840663031646	0.0445126300803911	231.1326361867027	-0.8372863963207919	53422.29551061468	0.7010485094638582	170.53902074522026	-0.1145571212845197	0.0131233340369961	29083.557596738665	170.98859634352306	246.1693642009472	1.006302	20.032606	0.09095189	0.066754	-0.1175210392	-0.1030717735	-0.0958738641	0.0577240826	0.0113143105	-0.0439272853	0.0096810461	0.0271313622	0.0947895007	0.1602086061	0.1005563917	0.0743897988	0.0550814091	-0.1653701209	-0.1552065132	-0.1193335753	-0.0991277851	-0.1711737671	-0.0037105443	0.0764180477	-0.0123512156	-0.0461095184	0.0469855952	0.077648766	-0.0468097908	0.140425289	-0.0001652495	-0.0264746393	0.0035362987	0.2319723465	-0.0102648896	-0.0869415353	0.0087776783	0.0305368302	-0.0970062147	-0.1180312033	-0.028527793	-0.0671127121	0.1266662967	-0.1426503583	0.0502887369	0.0346971608	0.0473373449	0.1513127357	0.0654144466	-0.1618272129	0.1445868191	-0.0072823438	-0.0354569085	-0.0433524681	0.14462932	-0.0420566713	-0.1865597822	0.0341831759	-0.0945783096	-0.0490950011	-0.0400742108	0.0863907052	-0.0980921306	0.116623966	-0.0022493646	0.0411786098	0.0052297421	-0.0058670402	-0.0805094992	0.0064858154	0.0763687434	-0.0603851005	-0.0032487941	0.1030054572	-0.0082202732	0.173678951	-0.0049317616	-0.0904239339	-0.0442663955	0.0335651346	0.0259943283	0.1486440415	-0.1035392887	0.0805591337	0.0029491496	0.0612213652	-0.0709395912	0.0539452648	-0.221544892	-0.0059407684	-0.0399251444	-0.0199065906	0.128807635	0.0155510489	0.0617119391	0.0687540556	0.1607288199	0.111776405	0.0708603946	-0.0063729808	-0.1421034767	-0.0372885469	0.0191232181	0.0073945835	0.1475979684	-0.1790324355	-0.0411620917	0.0818857508	-0.2011601454	-0.0334500589	0.0633450706	0.0061283705	-0.0891504611	-0.0686615403	0.02670113	0.0147700695	0.1396469054	-0.0500483003	-0.0357076968	0.0857535871	-0.0112070293	0.071855833	0.0203151479	0.0387375356	0.1614962937	-0.0564748054	0.0827912603	0.0244334752	0.0600430944	0.0139752061	-0.0123526806	-0.2393086296	-0.0167564542	-0.0470123342	-0.0951502877	0.0128014335	-0.1346683335	0.1162111099	0.1011504954	0.0977876151	0.0196496079	-0.0066553855	-0.1991576561	-0.0811771966	-0.1741990983	0.0308863355	0.0396598431	-0.0523236836	0.1191544118	0.1180513362	0.1162204348	-0.00257169	6.748999999999991e-05	4.554900099999988e-09	6.613589456100001e-06	0.0333924	0.0632626	0.00400215655876	0.00111505237776	0.137555	0.012434	0.000154604356	0.018921378025	-0.000931821	-0.000184631	3.4088606160999994e-08	8.68290376041e-07	0.0018128	-4.710000000000001e-06	3.28624384e-06	2.218410000000001e-11	0.000127198	-0.000114415	1.6179331204e-08	1.3090792225000002e-08	0.0	0.0
233.7128482680198	0.2972518246123456	54621.695445550446	0.0883586472353687	231.18706132084668	0.0544251341439689	53447.45732216892	0.002962095226589	170.65078786563268	0.1117671204124235	0.0124918892052851	29121.691399161165	171.09728579301824	246.3796138443696	1.08211	21.541729	0.0625901989999999	0.0345025	-0.0911466758	-0.1010185856	-0.0823840857	0.0438009039	0.0025019676	-0.1347934032	-0.0871633759	0.0878028748	0.1867834332	0.0566868196	0.0001852116	0.167889342	-0.0008838965	-0.1032431529	0.0416604228	-0.1073298508	-0.0959179614	-0.1674877707	-0.0135303986	-0.0592421381	-0.1011647312	0.0154863465	-0.0717529345	0.0658803833	-0.0733690883	-0.1251278889	0.1993888046	-0.0511074527	0.0898046686	0.0687554972	-0.007442165	-0.0273520241	-0.0708743313	-0.1218196949	0.0075995085	-0.2564201859	0.0770120831	0.0278543966	0.1318462946	0.0438077033	-0.101622154	0.0258729073	0.0194763172	-0.0115502336	-0.0716702467	0.0167273636	0.0503473913	-0.0298722638	-0.1439291296	-0.0670358802	0.0017431363	-0.0721283346	-0.0582820249	-0.0017958688	-0.2020927467	0.0961724447	-0.0923640665	-0.042913899	-0.0160270778	0.1052685896	0.0205416541	-0.158395585	0.0573783195	0.0117126673	0.1167072412	-0.0284824016	-0.0933962312	0.0685125731	0.0143130562	0.1208645302	0.1397932247	0.15246531	-0.0188784987	-0.0671593474	0.0531234198	-0.0376100001	0.0951788506	0.0360731999	-0.0269979187	-0.2182465034	0.1155732946	0.0706655572	-0.1024174795	0.0082493255	-0.0381890857	-0.0165528773	0.1124202656	0.1255380908	0.1270305491	-0.0207271988	0.2084211399	-0.0407379401	0.1129368954	-0.0325979102	-0.0155966746	-0.020124842	-0.0373818321	-0.0086912525	-0.0824532827	0.0078861192	0.1466812608	0.0593995563	-0.1032663402	-0.0444360141	-0.0847532928	0.0045299429	0.0055684628	-0.1930795842	-0.0509784222	-0.031021743	-0.0798598761	0.066535058	0.0920449153	0.1924453565	-0.030134628	-0.0542010073	0.0370973618	-0.0960092835	-0.1354080343	-0.0132332659	0.1733658027	0.111913137	-0.0360319553	-0.0226624272	0.0506334914	-0.0050152935	-0.0147941223	-0.2414423127	-0.008659508	-0.0221078942	-0.1683869083	-0.0360352479	-0.1122818095	0.0748087422	0.0741557172	-0.088224788	0.0890168232	-0.2235590143	0.0986248959	0.0268039763	-0.0125862247	-0.0328480553	-0.013397371	0.0220475489	0.1189139965	0.1170936064	0.1140802373	-0.000304911	0.002266779	5.138287034841e-06	9.2970717921e-08	0.00538858	-0.02800382	0.0007842139345924	2.9036794416399997e-05	0.153946	0.0163909999999999	0.0002686648809999	0.023699370916	-0.00107274	-0.0001409189999999	1.9858164561e-08	1.1507711076e-06	0.0016459	-0.0001669	2.70898681e-06	2.785561e-08	0.000116445	-1.0752999999999997e-05	1.3559438025e-08	1.1562700899999991e-10	0.0	0.0
234.20944248280483	0.4965942147850342	54854.06294810626	0.2466058141579646	231.38034833795308	0.1932870171063996	53536.86559699251	0.0373598709818896	170.86295769547473	0.212169829842054	0.0450160366952061	29194.15031244559	171.2617121328723	251.1961462243536	1.206997	24.027876	0.102146858	0.0615011	-0.0356667943	-0.0925811625	0.0057098406	0.0755008647	0.0173019522	0.0011447432	0.1402768749	0.1041569239	0.1695730548	0.0365362292	0.0084434894	-0.075395291	-0.0013417506	-0.1275240521	0.0373769462	0.015713452	-0.0706450708	-0.1056776217	-0.1230635462	0.0020988139	0.077509586	0.0644118402	0.0557171275	0.1906256978	-0.0305398239	-0.0573335585	-0.0115006425	0.1547697894	0.0209295606	0.0567240176	-0.0262278302	-0.0115920146	-0.0863766635	0.0764925224	0.0470446026	0.0668161057	-0.0367606429	0.1712911416	0.0356069441	0.0711286789	0.0783727148	-0.1266203039	0.0569040205	-0.0801878492	-0.0950055251	0.1544029296	0.010124628	0.098157311	0.0538426414	-0.1467922799	-0.098254892	0.1197204524	0.1230445192	0.1248782583	-0.0308808692	0.0236924115	-0.093645132	-0.1078166474	-0.1169448509	-0.0216355265	0.1214816307	0.0180817236	0.0877325891	-0.072169233	0.0002702574	0.0504269942	0.1382997542	0.033659488	0.0379316811	0.0571060209	-0.0729027447	0.1597257234	-0.0161444418	0.0580066305	0.0657646557	0.0081082725	0.1117529694	0.181857992	0.0291402955	-0.045190489	-0.062445632	0.0087275596	0.0296358909	0.1221904268	-0.0430078079	0.1028391297	-0.0071489402	0.0269882942	-0.0004102208	-0.0394931197	-0.170036394	-0.0721622427	-0.0478259136	-0.0951173056	-0.1427503668	0.0860921991	0.0825582978	0.0989319043	-0.1438644247	0.0101557063	-0.0927935078	0.1268779749	-0.1094550802	0.0303669946	0.1263622399	0.0456929871	0.0702088358	0.0782027857	-0.0453907736	0.0599201094	0.1663745042	0.0048456943	0.0495338025	0.1383216955	0.0366580843	0.1115465219	0.0407100172	-0.0744955111	0.1205672333	-0.0179913456	0.1353936885	-0.1139101253	-0.0601158563	-0.0180700045	0.0023359895	0.0207246191	0.0079000474	-0.1154196602	-0.0519135558	-0.0207942638	-0.0782576508	0.0218464153	-0.0070246418	0.1355140693	-0.016481265	0.1198455919	-0.0462610696	0.1346516544	0.1019580396	0.0869778677	0.0751171012	0.0314125452	-0.0398037443	-0.0242892125	0.1186137044	0.1159000657	0.1114232278	-0.000302033	2.877999999999995e-06	8.282883999999973e-12	9.1223933089e-08	-0.025272	-0.03066058	0.0009400711659363	0.000638673984	0.112977	-0.040969	0.001678458961	0.012763802529	-0.000617693	0.000455047	2.07067772209e-07	3.81544642249e-07	0.00151391	-0.00013199	2.2919234881e-06	1.7421360100000005e-08	0.000139696	2.3251e-05	1.9514972416e-08	5.406090009999999e-10	0.0	0.0
234.39683784102743	0.1873953582226022	54941.87758987291	0.0351170202833774	231.8528949619872	0.4725466240341234	53755.76490225427	0.2233003118860471	171.09942906127154	0.2364713657968025	0.0559187068418051	29275.01462509309	171.4888258719378	253.91044483389533	1.046555	20.833942	0.087508507	0.0602935	0.0228198056	-0.0651842833	0.058114413	0.0334096782	-0.0235750697	-0.0003859617	0.031612013	0.0435281182	0.0274334047	0.0764509895	0.0913550419	0.0411294414	-0.1914959164	-0.0596244649	-0.0441618548	-0.0382880542	-0.0058740492	-0.0417310814	-0.1280162481	-0.0302116213	0.0568066541	-0.0222365661	-0.0160729959	0.0832346001	0.1374409923	-0.0012035658	-0.1170028725	-0.0259676702	0.0001470567	0.1732890218	-0.0372673476	-0.0288974996	-0.0543793494	-0.0235727466	-0.0365229043	0.0150223531	0.0743176062	-0.0547653006	0.0482427761	-0.0435179396	-0.0039339158	0.0564551477	0.0516476267	-0.0124996892	0.1718265049	-0.017463525	-0.0162710436	-0.0458312394	-0.0328913412	-0.0080583204	-0.0642524551	-0.2005558902	0.0541282614	0.1143448952	-0.1060909939	-0.1009639955	0.0169932335	0.0150182906	-0.1009239444	0.0194516439	0.0180192166	0.1374886979	-0.0326300353	0.1113194083	-0.0215064207	0.0216671888	-0.1069264191	0.0233525026	0.1022435148	0.0084426531	-0.0177907363	0.092650487	-0.0574532791	0.0915618436	-0.0376048011	-0.0044353747	0.0762914085	0.0076468609	0.1192827613	0.112628841	-0.0615803953	0.0169730957	-0.0367739096	-0.0188998297	-0.191336062	-0.0017540312	-0.0792009542	0.11109215	0.0141239215	-0.0348581289	0.0059905683	0.037260455	-0.0016621983	0.091184745	0.004606484	-0.0681708706	-0.1051408015	0.0288515271	0.0383969093	-0.004614545	0.0172313128	-0.0708027983	0.0915192876	-0.1776892377	0.0090754058	-0.1543088287	0.1149145369	-0.0310974113	-0.1326409777	0.1275720559	0.019910015	0.0135390398	0.0340994878	-0.1007960489	-0.064973365	0.0968309401	-0.0046367462	-0.0211126936	-0.0357419676	-0.0254494541	0.139108417	-0.0532563412	0.0737712256	-0.0472958233	-0.0005151141	0.0253037136	0.0203872798	0.0003543123	-0.0444834993	0.036124584	-0.0269146869	0.0403488556	-0.0646291754	0.0277700576	-0.1112594662	0.0838216355	-0.1076540487	0.0345773156	-0.122018757	0.0971193299	-0.0768565455	0.0314901781	-0.0265302285	-0.1455278189	0.1182536866	0.1144731177	0.1082614433	-0.00630904	-0.006007007	3.6084133098049e-05	3.9803985721600005e-05	0.0305739	0.0558459	0.00311876454681	0.00093476336121	0.114521	0.001544	2.3839360000000117e-06	0.0131150594409999	-0.000904269	-0.000286576	8.2125803776e-08	8.17702424361e-07	0.00156987	5.595999999999986e-05	2.4644918169e-06	3.1315215999999843e-09	0.0	-0.000139696	0.0	1.9514972416e-08	0.0	0.0
234.0791131136883	-0.3177247273391401	54793.03119609088	0.1009490023627309	231.68647594010616	-0.1664190218810404	53678.62313354539	0.0276952908438422	170.90399631338053	-0.1954327478910045	0.0381939589482289	29208.175955883988	171.30865659681356	252.9799104884691	1.077188	21.443747	0.05007534	0.031985	0.0821784036	-0.060907882	0.0266833447	0.0211772807	-0.0391383631	-0.0819339816	-0.0620780635	0.0208700938	0.0387808752	0.0157975363	-0.0397371281	0.1089232769	-0.1341358634	-0.0469415454	0.1277771997	-0.038461933	-0.0902912563	-0.0545402224	-0.1314240272	-0.0972109096	-0.0639616443	-0.0192663764	0.1320209486	0.0254166663	0.0911960126	-0.0697133673	-0.0095350685	-0.028710885	0.0045877292	-0.0678664733	-0.0490310037	-9.97483e-05	-0.0031633858	-0.1688757816	-0.0834871433	-0.021832761	0.0167097526	0.13073299	-0.0427034659	0.0123452442	-0.1542608121	0.12468779	-0.1911410688	-0.0131659012	0.0953520042	0.1149974529	0.0528942557	-0.0046934135	-0.0768991761	-0.0249263916	-0.1085242963	0.0094591327	0.0287401434	-0.0933371144	0.0586929355	0.0325033094	-0.0990522267	-0.038052952	-0.1115491177	-0.0723495391	0.047062263	0.0068408323	-0.0974802605	-0.0439846287	-0.022975721	-0.0847716725	-0.1631675915	-0.0532412854	-0.0559522919	0.0836075124	0.0878384414	0.0590723958	-0.0828755812	0.0771596239	0.0180313911	0.1353325133	0.083135475	-0.046621261	0.1168774595	-0.0525811983	0.0469935689	-0.0180545378	0.0265443283	-0.0684175544	0.0697716463	-0.0473204983	-0.0083262269	0.0437194329	0.119476887	0.0782801615	0.1137766486	-0.1875986653	-0.0779257602	0.0025625675	0.100104556	0.0416170948	-0.104425847	0.1357088795	-0.0013814137	0.0379478149	-0.0250616992	0.0666719063	-0.0436923325	-0.1016670857	0.1122735911	-0.04933121	-0.1092439775	0.0857419705	0.1365952305	0.0544331611	0.0941017325	-0.1147892693	0.0693149709	-0.0402462745	-0.1245001781	-0.0414960617	-0.0207394653	-0.1029581205	-0.1012705108	-0.0831253952	0.1450753768	0.0870068873	-0.0423029382	-0.0806878977	-0.0189694257	0.0141521301	-0.0310646605	0.0101102564	-0.0225211021	0.0817865516	-0.0493061853	0.0266518805	-0.0316954304	-0.1182817479	-0.0550319336	-0.09419176	0.0483790997	-0.0468965488	0.1009396486	0.12567038	0.0776394238	-0.0123776113	-0.0841019342	-0.0414723409	0.1178341246	0.112815636	0.1046092073	-0.00583305	0.0004759899999999	2.2656648009999998e-07	3.4024472302500005e-05	0.0032489	-0.027325	0.000746655625	1.055535121e-05	0.126308	0.011787	0.000138933369	0.015953710864	-0.000694522	0.0002097469999999	4.399380400899998e-08	4.823608084840001e-07	0.00156987	0.0	2.4644918169e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0
