global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13
319.3414263737632	n/a	101978.94659842964	n/a	313.53359739165944	n/a	n/a	98303.3166933552	197.3533940203409	n/a	n/a	38948.36213134792	197.1542754348771	432.70225495919584	n/a	n/a	n/a	n/a	-0.0438048537	0.1011595683	-0.1495859261	0.0075560191	-0.0922899229	-0.0511715893	0.1023967084	-0.1403318049	0.0315021261	-0.2116042297	0.1377075698	-0.0877791497	0.2252701412	-0.3554281423	0.2548126772	-0.0002854446	0.2369312244	-0.0544285706	0.1148671847	-0.007128454	0.0404938444	-0.0885485224	0.0953874199	-0.0717193421	0.0060912864	-0.0128550471	0.0415097213	-0.0396372313	-0.0244667124	0.0817038311	-0.0426734535	0.0372358044	-0.0094828625	0.0600784102	-0.0720699242	0.0151164806	-0.0234481573	0.1074168596	-0.1867722155	0.0753467922	-0.0579285569	0.1550346954	-0.1214220369	-0.0013137513	0.0395503677	0.0115664537	-0.1525886804	-0.058656362	0.0234439744	0.1113002815	-0.0970163388	0.0919929198	0.0006906199	0.174441419	-0.0688994467	-0.0280422584	0.0898127303	0.0161290184	0.087882417	-0.1249454154	0.0083616572	0.0340031314	0.0083018016	-0.0576974832	0.1141412932	-0.004890111	0.0380800832	0.0915333284	-0.1008465527	0.0802097735	-0.0100853366	0.0320014216	-0.0478491179	0.0372516756	0.0196817521	-0.0871821324	0.0481692037	-0.0254573788	0.0218169684	-0.0344999232	0.0514843984	-0.0897434852	0.0078889244	-0.0779471674	0.1991759283	-0.1120929169	0.0165727046	-0.1276796888	0.1513576464	0.0022529899	-0.0017254267	-0.0300453465	0.1745865558	0.0336694653	-0.0344684345	0.1185336786	0.0099683526	0.0939876706	-0.0371938049	-0.1060196283	0.0960955633	0.1334246987	-0.0567877165	-0.0817121338	0.1014402283	0.0244570508	0.0031643671	0.0175214268	0.0484664443	-0.0520571097	-0.0820248218	0.078462446	-0.0621655155	0.0221641984	-0.1348410023	-0.0117755094	0.0056623173	-0.0488167041	0.1218363154	-0.0789563138	0.0830006665	-0.0388043368	0.0516257084	-0.020473401	0.0029403968	-0.0237293076	0.014793842	0.2466836004	-0.0706893062	0.0179131736	0.0335714143	-0.1057819177	-0.0291555733	0.1195153378	0.1194927693	0.1194551582	-0.0371882	n/a	n/a	0.0013829622192399	-0.0408408	n/a	0.0016679709446399	n/a	-0.0230909	n/a	0.00053318966281	n/a	-0.0007751999999999	n/a	6.00935039999845e-07	n/a	-0.000648532	n/a	4.2059375502400004e-07	n/a	-0.000226656	n/a	n/a	5.1372942336e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
317.67044281073	-1.6709835630332464	100914.51023556526	2.7921860679272834	308.3690500574013	-5.164547334258145	26.67254916779292	95091.47103330409	197.16381769444644	-0.1895763258944498	0.0359391833396386	38873.57100784891	196.92954222260963	414.79234258880217	1.281762	27.331291	0.0644005999999999	0.0359278	0.0753067155	0.0439010603	-0.0115152019	0.0244109834	0.0006445599	0.0314381577	0.0416286062	0.0096167201	-0.0704319628	-0.1343328258	0.0979272494	-0.0034875309	-0.0518105845	-0.0944991019	0.0342511369	-0.1223365253	-0.017370269	-0.0929331235	0.0948923776	-0.0483317421	-0.0010766098	-0.0796555636	0.140274066	0.075307922	-0.0218565349	-0.0190143763	0.1350727097	0.0001123992	-0.0381529825	-0.0109143421	-0.0470054694	0.0568448872	-0.0199367873	0.009369101	-0.0513435435	-0.0633564655	0.1118870128	0.0708697165	-0.0552150047	-0.0056925741	-0.0290303878	-0.0169814588	-0.052116563	0.0463006603	0.0540843757	0.1209458111	0.1093755497	-0.0898945782	0.1259172385	-0.024281341	-0.0403296681	0.0314072404	0.0262663395	0.0635119684	-0.0582771071	-0.000845859	0.1665826743	-0.0448692874	0.1334960494	0.0881502308	-0.1052773632	-0.0041313408	-0.031029478	-0.094208877	0.0925486475	-0.0506521842	-0.0041012423	0.0771880936	-0.1391943841	-0.0649176125	0.0107606379	0.0740830975	-0.1273992407	-0.0150412097	0.056556151	0.0316577252	0.0517763072	-0.0451142193	0.0091936215	-0.0166325446	0.0718382214	0.1138522086	0.0068048396	-0.0614875186	0.0660513833	-0.0289210658	0.0054979064	0.0139924643	0.0624451702	0.0171698426	0.0496562385	-0.1320718526	-0.0882619556	0.0922164052	-0.1459640428	-0.0420212727	-0.0131283335	0.0353712117	-0.0483569875	-0.0348204358	0.0955992834	-0.0127616395	-0.0614700049	-0.1533340381	-0.0583985639	-0.1354388628	-0.0954960408	-0.0030417435	-0.0051212075	-0.079230044	-0.0472625271	0.074201021	-0.0071961772	0.0526023284	-0.1419083932	0.02260242	0.0848207286	-0.045796464	-0.1138214246	-0.0058537079	0.1298016331	0.0170384635	0.0993917694	-0.0536914922	-0.0582191264	0.0058107802	-0.000154607	0.1548549366	-0.0532557007	-0.0089703637	-0.0759609396	-0.073049372	-0.1175816254	0.1194551582	0.1192521267	0.1189139965	-0.0491037	-0.0119155	0.00014197914025	0.00241117335369	-0.0341812	0.0066595999999999	0.00116835443344	4.435027215999993e-05	0.010299	0.0333899	0.000106069401	0.00111488542201	-0.000688618	8.658199999990001e-05	4.74194749924e-07	7.496442723982686e-09	-0.000526165	0.0001223669999999	2.76849607225e-07	1.4973682688999992e-08	-0.000266419	-3.9763000000000005e-05	1.5810961690000002e-09	7.097908356099999e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
316.94869548666804	-0.721747324061937	100456.47557070064	0.5209191997905667	306.2960137863749	-2.0730362710264103	4.297479380991084	93817.24806142316	196.89965145420163	-0.2641662402448048	0.0697838024850759	38769.472742786085	196.68084499788336	410.855495985349	1.133057	24.160427	0.0792896	0.0448192	0.0836226548	-0.0238061143	0.0509354959	0.1554981003	0.0628514255	0.0550501384	0.0314971287	0.1395091598	-0.0297763153	0.0544900459	0.0066466491	0.05509969	0.0416589968	-0.1444129203	0.1639284715	-0.010471565	-0.0772466169	-0.1018694162	-0.009565017	-0.1661875008	-0.0294953881	-0.1523044033	0.0466092741	0.0451689901	-0.0073057524	-0.0538848581	-0.0209633618	-0.0206487381	0.0337265309	0.0960939182	-0.1183959443	-0.0252300171	-0.0633108528	-0.0663426371	0.1500681818	-0.1144215917	-0.0944184416	-0.028521052	-0.0407518252	-0.0136957292	-0.0191191922	-0.0387382161	0.1638245831	0.0938486363	-0.1332144441	-0.0642347866	-0.0442622943	0.1235854701	0.0596408554	-0.1441249386	-0.1019527017	-0.0018252374	-0.2164254588	-0.1984087759	-0.028705058	0.0678030455	-0.0979679574	0.044199632	-0.0085458815	-0.0174424104	-0.087023597	0.0665302571	-0.032221041	-0.1007241722	-0.0101043282	-0.1732833976	-0.0268484911	0.1484229995	-0.0351965939	-0.0370300102	-0.0030520974	0.0531673122	0.0316354604	0.013899009	-0.0167138105	-0.0662521124	0.1160636063	0.0038115887	0.0757978186	-0.0121798057	-0.1519637329	0.0699812936	-0.1215152996	0.0396695118	0.0444568557	0.0547278786	0.037053975	0.0563621167	-0.1558801522	0.1452857833	-0.1385432841	0.0694654721	-0.0098995648	-0.15266813	-0.0308247265	-0.1182244035	0.147516576	0.1573222524	0.1726885062	0.13762978	-0.0596129766	-0.0456434515	0.0209433101	0.0819438735	0.0621119921	0.0124087615	-0.1291609095	-0.0234889879	0.073711048	-0.0755790087	-0.0297942401	-0.0160892165	0.1952063909	-0.048705792	-0.2088658308	-0.0197327767	-0.0541233571	-0.0044958387	-0.1343491399	-0.0688436006	0.1196782032	-0.0803999101	0.1012114288	0.0335298567	0.0379048413	-0.075110616	0.0574772995	-0.0423151925	0.0186840172	0.0986280363	0.0584842913	0.0865602835	-0.0301431604	0.1193348294	0.1187713263	0.1178341246	-0.0451041	0.0039995999999999	1.5996800159999993e-05	0.00203437983681	-0.0423649	-0.0081836999999999	0.0017947847520099	6.697294568999992e-05	0.0527446	0.0424456	0.00278199282916	0.00180162895936	-0.000405446	0.000283172	1.64386458916e-07	8.0186381584e-08	-0.000668001	-0.000141836	4.46225336001e-07	2.0117450896e-08	-0.000198213	6.820599999999999e-05	4.652058435999998e-09	3.9288393369e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
316.85151645030754	-0.0971790363605009	100394.88347685953	0.0094437651079555	305.2738538860046	-1.0221599003702977	1.044810861925017	93192.12586641368	197.1431268435805	0.2434753893788581	0.0592802652331865	38865.41246166407	196.9101736568126	404.7488632768392	1.273888	27.163389	0.0583428	0.0402605	0.1207894965	0.0093067917	-0.1661897885	0.0190611018	0.1521453858	0.0131402224	-0.1628280989	-0.1134509043	-0.1599368356	0.0636988978	0.1187759521	0.0242952318	0.0102216349	0.0748296744	-0.0560843439	0.0160135451	-0.0319680989	-0.0639920536	-0.1066866606	-0.0508366744	0.0011824695	-0.1115401264	-0.028271617	0.0386833069	0.0498337629	0.0381597598	-0.0263759772	-0.0764965412	0.0113324105	0.1296423039	0.0954509891	-0.0679823665	-0.1434690602	0.0104327791	0.0841486315	0.1046534052	0.027332343	-0.203025599	-0.0156733587	-0.1793600667	0.0211998317	0.0510878198	0.0396180001	-0.1500656756	-0.0106740193	-0.0617692153	-0.0085678348	-0.0236292481	-0.1039195358	0.0011489108	-0.0936365526	-0.0880080475	-0.0195382245	0.0315075913	-0.0152806307	-0.0088736356	0.0235847022	0.0580683878	-0.1030342675	-0.0003763312	0.0197889263	-0.0504944148	0.0077034756	-0.0585781	-0.1050782995	-0.050554644	-0.0006715706	0.1165635347	0.0064378759	-0.0381389232	-0.0460993555	-0.0644785675	0.0224186278	0.0817279152	-0.0212608792	-0.1277619132	-0.083174943	0.0713938282	0.1453104157	-0.0343360234	-0.0332289498	-0.0036430689	0.1061249655	0.1535950678	-0.0086976426	0.2075807579	-0.0992969029	-0.0810862092	-0.0561576356	-0.1224623295	-0.0018714139	0.0886476679	0.0220259529	0.0212035404	0.1019944696	-0.0247189992	-0.0663538941	0.0643594408	0.0393020691	-0.0150311907	0.0268790849	-0.0296071895	-0.0628041179	0.0187066219	-0.0634831474	0.0810822796	0.0054550508	0.0338301615	-0.068781968	-0.0525734872	-0.0266000367	0.016548743	-0.0802835063	-0.1739630525	-0.1064964084	0.0765657351	0.0084645927	0.0065580793	-0.1596772766	-0.0698869601	-0.0535116117	0.0425825987	0.0744057215	-0.095734293	0.0070552167	0.1060884339	-0.0960528359	0.1213602836	-0.1576184583	0.0044665084	0.0220421279	-0.0587947766	0.158443271	0.1191544118	0.1180513362	0.1162204348	-0.0427835	0.0023205999999999	5.385184359999996e-06	0.00183042787225	-0.040251	0.0021138999999999	0.001620143001	4.468573209999979e-06	0.0139682	-0.0387764	0.00019511061124	0.00150360919696	-0.000468896	-6.345e-05	2.19863458816e-07	4.0259024999999995e-09	-0.000457573	0.0002104279999999	2.09373050329e-07	4.4279943183999996e-08	-0.000226973	-2.875999999999999e-05	8.271375999999992e-10	5.1516742729e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
318.5892323230917	1.7377158727841788	101499.09895221693	3.01965645452608	305.34529905614164	0.0714451701370535	0.0051044123359125	93235.75165568458	197.4182046471374	0.2750778035569112	0.0756677980096946	38973.94752609902	197.1686666651103	420.54237677107255	1.510725	32.213539	0.0912035999999999	0.0669812	0.024756034	0.0140516005	0.0158617504	0.1745413947	-0.0607354402	0.0406392694	0.0836946154	-0.0553635798	0.0790094945	0.0383925215	0.0512909704	0.1704086628	-0.0636074041	0.140691957	-0.011220189	0.0735557665	-0.021198048	-0.0218085811	0.0932646982	0.0933822442	0.0380891803	-0.0675848339	-0.0656891298	0.0563818643	-0.0533906795	-0.1501312937	-0.1338165702	0.0416059162	-0.0332610249	-0.0552557138	0.0734485273	0.0161548195	0.0342560133	0.0151683266	-0.107325413	0.1676561359	-0.0965929183	0.0504629978	0.0447973064	-0.0083851589	-0.1706756983	0.0191087659	0.0872801006	0.0372102154	-0.0234567996	-0.100054551	-0.0378889744	0.0520095357	-0.0060386442	0.0040285806	0.0746938606	-0.0058558901	0.0861295914	0.1203478683	-0.0832304147	-0.0018739803	-0.1038630335	-0.1521651694	0.0358537929	0.0419672672	-0.0566269816	0.1447857383	-0.0501645122	-0.0222293793	0.089896543	0.0961043116	0.0405897091	0.0646413722	0.0628343371	-0.0586802119	0.0419750198	0.1131679028	0.1645984029	-0.0214897317	-0.0037371906	0.0533516512	-0.0992769268	-0.0139006887	-0.0272245846	0.0271490005	0.0740825655	-0.184525112	0.0718673872	-0.0502830509	-0.0251067917	0.0748563434	0.1733066922	-0.0348178253	-0.0555369939	0.0818650717	-0.0352307199	0.0829239553	0.0467663439	-0.0562217529	0.0025841698	-0.0111492654	-0.0710060001	-0.1024959323	-0.0758951318	-0.0658341584	0.070491142	0.0922573727	0.1684451288	-0.0080522554	0.0011658218	-0.0705808737	-0.0569202335	0.0730518926	0.1247954117	-0.0235144817	-0.0947267561	0.0168703778	-0.0177992581	0.0446327694	0.0729582369	-0.0826007164	0.0556143581	-0.1094235821	0.0600993119	-0.1383800928	0.0678042218	0.1575760131	-0.0564835132	0.0320105764	-0.0328982724	0.0072844179	0.0685747817	0.0515992274	-0.0986606612	0.0679720604	0.0124431717	-0.0676412748	-0.0733829932	0.1189139965	0.1170936064	0.1140802373	-0.0463404	-0.0035568999999999	1.2651537609999962e-05	0.00214743267216	-0.0277295	0.0125215	0.00076892517025	0.00015678796225	-0.0512414	-0.0652096	0.00262568107396	0.00425229193216	-0.000456044	1.2851999999999991e-05	2.0797612993600002e-07	1.6517390399999978e-10	-0.000385416	7.2157e-05	1.4854549305600002e-07	5.206632648999999e-09	-0.000340276	-0.0001133029999999	1.2837569808999995e-08	1.1578775617599999e-07	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
319.5109240918416	0.9216917687498948	102087.23061402256	0.8495157165813098	307.8849497450996	2.539650688957977	6.449825621924727	94793.14227954252	197.6006212031155	0.1824165559781079	0.0332757998949141	39046.00549985714	197.3615855990148	426.5092718223731	1.346202	28.705372	0.0868003499999999	0.0671719	-0.0292497341	0.0397468662	0.0545660729	-0.0323888014	-0.1563342465	0.0134537764	0.0827977624	0.0953919307	-0.0225707765	-0.0865409267	-0.0583343963	-0.0278553416	-0.0445840432	0.0585715745	-0.0105109222	0.0850866028	0.0913911598	-0.0137354609	0.0357117548	-0.055610496	0.0996823535	-0.0550548642	0.0948629941	0.0274225351	0.0466202868	0.0295479597	-0.0097099546	0.0383456014	-0.115200285	-0.0768616859	0.0705584938	0.0904651828	0.0203028262	-0.0796441651	-0.1316395986	0.0355095903	-0.0399768731	-0.0472074374	-0.0778921482	0.0236132038	0.0150416493	0.0009279067	0.0177287903	-0.0466064202	0.0694665836	0.1795172767	-0.0399444849	0.0146140684	-0.0604788008	0.1943428685	-0.0582371893	0.1013082652	-0.115391621	0.0229586964	-0.0280010692	0.1025817361	-0.0896795251	-0.0913114103	-0.0572464202	0.0800954126	0.0727421154	0.1108375776	0.0249611124	-0.0144257783	0.0371592586	-0.0497831727	0.1014781489	0.0447168786	-0.0909073268	-0.0169684609	-0.0591791488	0.0071775614	-0.0038427727	-0.0641210457	0.1071312772	0.0530369076	-0.0843692849	-0.1077611519	-0.0412391771	0.1046350081	0.0901568407	-0.0738892465	0.0167160591	0.0466716779	0.0838094085	-0.0162653998	-0.0122495278	-0.0019052133	-0.0172911602	-0.0530617969	0.086618868	-0.1303853904	-0.0104839208	-0.0402431992	0.0444213639	0.2290336851	0.0703995127	0.1133673159	0.1075598043	-0.0271713757	0.0699624638	-0.0706858106	0.1671645748	0.0253156017	-0.0614927622	-0.023810995	0.0513256562	0.0375117482	0.1022314785	-0.0522549015	-0.042126129	0.0033597614	0.0391253691	0.0631884534	-0.1169401599	0.0220180173	0.049869517	0.012344033	-0.1047885732	0.0209435372	0.0809867379	0.0445473391	0.071036367	-0.0945809371	0.0196712695	-0.0308422635	-0.0641974509	-0.0481122094	-0.0240896281	0.0284063731	0.0464392054	-0.0428434111	-0.1118280417	0.1186137044	0.1159000657	0.1114232278	-0.0443459	0.0019944999999999	3.978030249999985e-06	0.00196655884681	-0.0381089	-0.0103794	0.00145228825921	0.00010773194436	0.0135518	0.0647932	0.0001836512832399	0.0041981587662399	-0.0006115	-0.0001554559999999	3.7393225e-07	2.4166567935999986e-08	-0.000348217	3.719900000000002e-05	1.21255079089e-07	1.3837656010000015e-09	-0.000340286	-9.999999999994822e-09	9.999999999989644e-17	1.1579456179600001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
318.4584716864147	-1.052452405426891	101415.798188847	1.1076560656888488	306.9727002055375	-0.91224953956214	0.8321992224313364	94232.2386714788	197.37856934472188	-0.2220518583936268	0.0493070278160633	38958.29963656919	197.1272220019913	424.8826885332664	0.967414	20.628386	0.06039215	0.0320143	-0.010332593	0.0051491706	0.0537026937	-0.0887665696	-0.0830766447	-0.003877807	-0.0310460373	0.0946492102	-0.012949757	-0.0008051521	-0.0856276135	-0.0862946572	0.0011768034	0.0615430541	0.0729006984	0.1225788229	0.0491315628	-0.0354281159	-0.1024621628	-0.053600689	0.0437432213	-0.1355020043	0.1060077679	0.0185126579	0.0171156019	0.029732904	-0.1001430746	-0.0818798419	-0.0977418533	0.0143865933	-0.1063326385	0.1563047091	0.0321674145	0.0920284574	-0.0217592071	0.0856699625	0.0258105279	-0.1531531003	0.0258487062	0.0648535037	-0.014420198	-0.1352124794	0.0605401236	0.1703639033	0.0335754851	-0.0641172363	0.1715905337	0.0252930169	-0.0969549149	-0.1607157448	0.0146589548	-0.0362277987	-0.051816419	-0.1312251101	-0.1209605806	0.0314654904	0.0552112748	-0.130208115	-0.0669357305	0.1147822566	0.0027850477	-0.0795449125	0.0392772127	-0.0330650751	-0.1042133147	-0.0535673159	0.0364283412	0.1307156673	-0.0866827714	-0.0033833302	-0.0245943396	-0.0173118145	0.0861597472	0.0424470784	0.144643107	-0.0139520378	0.1002508713	-0.1290602977	-0.086181644	-0.1037917253	0.0698656041	0.0069130124	0.0965349213	0.159145152	-0.029433704	0.0158375756	0.084032182	0.1813466377	-0.0568067033	0.137150049	0.0529665922	0.0598137269	-0.1484454139	0.0234200854	0.0985833271	-0.1698667249	0.0199726403	0.0172159024	0.0335006918	0.142993621	0.0163559003	0.0116230914	0.108290161	-0.1034710199	-0.1267612681	-0.0157581746	0.0008487455	0.0099590749	-0.0877498789	-0.0609065993	-0.0166245141	-0.0477662551	0.105095031	-0.06287922	-0.17830531	0.073049707	-0.0111478289	0.087237409	-0.1177575979	0.0993829365	0.1143155453	-0.0783333458	0.1121688958	-0.0231422978	0.0424676463	-0.0450567663	-0.1394391374	-0.1246518248	0.0096724495	0.0306520608	0.1112635374	0.0252481109	-0.0190060722	0.1182536866	0.1144731177	0.1082614433	-0.0449176	-0.0005717	3.268408900000016e-07	0.00201759078976	-0.0269507	0.0111582	0.00072634023049	0.00012450542724	0.0421615	0.0286097	0.0017775920822499	0.0008185149340899	-0.000405446	0.0002060539999999	1.64386458916e-07	4.245825091599999e-08	-0.000529936	-0.0001817189999999	2.80832164096e-07	3.302179496099998e-08	-0.000327008	1.3277999999999975e-05	1.7630528399999938e-10	1.06934232064e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
317.3590439123481	-1.099427774066612	100716.7627529597	1.2087414303890651	306.4177674932578	-0.5549327122796512	0.3079503151580502	93891.8482355522	197.2496342221811	-0.1289351225407813	0.0166242658246062	38907.41820078424	197.021336677824	415.74946774567167	1.185211	25.272528	0.0526405	0.0271591	0.0528328354	0.0175469613	-0.1660059808	-0.0129275714	0.0396244327	-0.0005413553	-0.1474216532	-0.08473766	-0.033232906	0.0176550691	0.0941809824	-0.0429103493	0.0567123722	0.0090887088	-0.0481495381	-0.0042826654	-0.0094761467	-0.0336905129	-0.1093980945	0.0890362454	-0.0326799561	-0.1214180963	0.0792617125	-0.004647933	0.049176884	0.0358823757	-0.0612334045	-0.0118567154	0.0256309673	0.1020832886	-0.1925006642	-0.1144488495	0.0240321069	0.0315622552	0.0095828851	-0.087476577	-0.1264172694	0.0223840155	0.0305326832	-0.034018291	-0.0351597983	-0.1104342582	0.0286576994	0.0802262527	0.1233426931	0.0483841979	-0.0365646114	-0.070614522	-0.0289212197	-0.0349866756	-0.1149255706	-0.089090545	0.1353915487	-0.031884582	0.0473496609	-0.1136260269	-0.0545006556	0.0535610404	0.0204514713	0.0317385981	0.1557915505	0.0555979043	-0.1849544615	-0.0299794693	-0.1121556173	0.079965186	-0.0345685761	0.1295821099	-0.0745539902	0.0108248992	-0.0334933522	-0.0393198731	0.054996422	-0.0039392994	0.0031649011	-0.0747775271	0.212416678	0.0761207368	0.0137244893	0.0130360151	-0.048625964	-0.052164802	-0.1509238685	-0.0093284222	-0.0193411858	0.0603906266	0.0401749041	0.0680379884	-0.0476246179	0.0259695413	0.1138583252	-0.0769084081	0.0621953308	0.0766496964	0.0161360236	-0.0713198979	-0.1412948187	0.0835817743	-0.0974472221	0.024881081	-0.1172431787	0.0453874965	-0.0478060123	0.1059252956	-0.0211784134	-0.0393055406	0.1542740038	-0.0553389686	0.1453990764	-0.045863022	-0.0331244983	0.0117941157	-0.0433991402	-0.1954402331	-0.063248277	0.0288957283	0.0138241429	0.0238355356	-0.0627889066	-0.0054758103	0.0293489053	-0.0362717153	0.1078795339	-0.1057794001	-0.0521397345	0.0106873943	-0.1143329836	0.0346058967	0.0237598907	0.1305497542	-0.0261707114	-0.0537739207	0.0813088458	0.1178341246	0.112815636	0.1046092073	-0.0347095	0.0102081	0.00010420530561	0.0012047493902499	-0.0314279	-0.0044772	0.00098771289841	2.0045319840000007e-05	0.0184049	-0.0237566	0.0003387403440099	0.00056437604356	-0.00051232	-0.000106874	2.624717824000001e-07	1.1422051876000004e-08	-0.000399377	0.0001305589999999	1.5950198812900002e-07	1.704565248099998e-08	-0.000373547	-4.653900000000001e-05	2.165878521000001e-09	1.39537361209e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
