onset	duration	trial_type	trial_code	valence	arousal
6.2675	15	CON	NEU17	none	none
23.3008	11	Q	Q_NEU17	none	none
40.1092	15	ANG	ANG25	2	7
57.1342	11	Q	Q_ANG25	2	7
75.4426	15	CON	NEU27	none	none
92.4676	11	Q	Q_NEU27	none	none
109.5259	15	CON	NEU10	none	none
126.551	11	Q	Q_NEU10	none	none
143.6093	15	ANG	ANG7	3	6
160.6344	11	Q	Q_ANG7	3	6
178.6927	15	CON	NEU18	7	none
195.7172	11	Q	Q_NEU18	7	none
213.7844	15	ANG	ANG1	4	none
230.8095	11	Q	Q_ANG1	4	none
248.6345	15	ANG	ANG17	5	none
265.6595	11	Q	Q_ANG17	5	none
