global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
291.06055598856227	n/a	n/a	84716.24725237099	382.3431686215395	n/a	146186.298591559	n/a	184.3714819093758	n/a	n/a	33992.84334145929	183.42340387892068	329.4007893744755	n/a	n/a	n/a	n/a	-0.0206665987	0.0017793931	-0.0179826486	0.0216366132	-0.6184952036	0.3270055047	-0.1417982944	0.3512770097	-0.2338351856	0.092014578	-0.1853473049	0.1159361286	-0.0811874759	0.063186479	0.0374203406	-0.0180787968	0.4158665558	-0.1241490927	0.1397108719	-0.1904290776	0.0127315804	-0.054120735	0.0320557544	-0.0395936421	0.1441803641	-0.0034365085	0.0331948329	-0.0766001232	0.0364020638	-0.0122785415	0.1443724081	-0.0126764096	0.0087228745	-0.0683220585	0.0446568547	-0.0049210489	-0.130696919	0.0288915481	-0.0592286618	-0.1065027004	0.099265525	-0.1378370326	0.0637411299	0.0571239332	0.0514095898	-0.0022598302	-0.1825850077	0.0650041074	0.1320981019	-0.0846622105	-0.0231970403	-0.000419946	-0.0026740605	0.159195646	0.0255784069	0.0172325672	-0.0735139594	-0.003613935	-0.0575583915	0.0670032193	0.0526137581	-0.0639716246	-0.0463001626	-0.0657889608	0.2052801133	0.0395297646	-0.0251278566	0.3883804167	0.1150573692	-0.2744025064	0.0384088471	-0.0237980448	-0.0780269252	0.0303280364	-0.0305787311	0.1439315122	-0.0221560171	0.0770644866	-0.0758145957	0.0615158538	-0.0783198241	0.0161564857	-0.0679171586	0.0111403637	-0.0380935238	0.1020301821	-0.0479221714	0.0920767595	-0.0160214176	-0.0142273223	-0.1593443144	0.0327481485	-0.1361153176	-0.0841545353	0.0489759448	0.0009830068	0.0801989537	-0.163325512	0.0367585302	0.1957972706	-0.00683002	-0.0015078002	-0.0135417341	-0.0317609996	0.1626245637	0.0031034121	0.0168316093	-0.0294431206	-0.1038572511	-0.0279219796	0.0457433866	0.0597750317	-0.0451642925	-0.039565013	-0.0900173384	0.1859667021	-0.5707882781	0.0506760273	-0.0693953214	0.1019479551	-0.0601438569	0.1003439502	-0.0073268851	0.2247575137	0.0457544412	-0.009543212	0.0742523174	-0.2093333138	0.2297698737	-0.1288849819	0.0706046645	-0.2581932449	0.4707915194	-0.0587495881	0.268870613	-0.0397415946	0.0597137474	-0.037374023	0.0983883865	0.0144935329	0.1195153378	0.1194927693	0.1194551582	0.0225052	n/a	n/a	0.00050648402704	-0.0373895	n/a	n/a	0.0013979747102499	-0.0999847	n/a	n/a	0.0099969402340899	0.000756761	n/a	n/a	5.72687211121e-07	-8.315820000000001e-23	n/a	n/a	6.915286227239999e-45	0.0007669989999999	n/a	5.882874660008466e-07	n/a
291.4311876380463	0.3706316494840393	0.1373678195992598	84932.13712812215	377.5387180018794	-4.804450619660145	142535.48359050258	23.082745756752747	184.87481374285585	0.503331833480047	0.2533429345943857	34178.69675645564	183.91233282378224	332.8882288204463	1.49048	30.154053	0.16508028	0.0899576	0.0251403953	0.0258691301	-0.0225445077	-0.0631553485	-0.2987039115	0.122941627	-0.0372393295	0.1262923844	0.0430084244	-0.0879912759	-0.0555460854	0.0131495052	-0.0173185823	-0.0745872791	0.0355467806	-0.0185236632	0.2628815366	-0.0789473087	0.0761835195	-0.0581947803	-0.1586408348	0.2016155576	0.0248098303	-0.0149695631	0.1314743059	0.05859378	-0.1281977113	-0.0002324644	0.1059754475	-0.0274370576	-0.1310376967	0.0641496638	0.0495975722	0.0078640993	0.1005392963	0.0454093968	0.0074845732	-0.1227892019	7.13156e-05	-0.0020814028	-0.0435212581	0.0116089312	-0.057212767	0.0651719413	0.0367080094	0.0601719954	0.1465384666	0.1184409452	-0.184211561	-0.0143514223	0.0259651541	-0.0182622356	0.031978396	0.0650082561	0.011971069	-0.0426713663	-0.0372094202	0.0074994379	-0.0192100072	0.0387563481	0.0531635291	0.1257665051	0.0355612146	-0.0213890695	0.0806594942	0.0270361058	-0.0151779325	0.2550130864	0.0574096499	-0.1083132564	-0.0077181106	-0.1391397668	0.2101334653	0.0317780185	-0.0637885984	0.1681548286	0.0297035092	-0.094161555	-0.0434077299	0.0697228573	0.1194101653	-0.0449171885	0.1168148283	0.0160055032	-0.0015906722	0.0707729762	-0.0446181742	-0.0741550619	0.1276660736	0.032448791	0.0268364289	-0.0511178676	-0.0069642818	0.0364804848	0.0550779423	-0.0553621488	-0.1119900615	0.0792646432	-0.1306747457	-0.1076573285	-0.1485599054	0.0110556855	-0.0360740976	0.0308289261	0.0913218456	-0.0132666768	-0.0433532313	0.009714985	-0.0245223832	0.0007857424	0.0205838329	0.0816611918	0.1144620587	-0.0482667517	0.031478732	0.0635675057	-0.2592035317	0.0170050396	0.0168179268	0.1184109	0.0516796872	-0.0883772632	-0.0075473967	-0.2101403116	0.0426443293	0.0865682086	-0.0167161962	-0.058390269	0.2337336351	-0.0204738499	-0.1459698844	-0.1139913421	-0.3435078304	-0.0599955174	-0.2753244645	-0.1655679247	0.0838289853	0.026309631	-0.049942629	0.1619662649	0.1194551582	0.1192521267	0.1189139965	0.0202994	-0.0022058	4.865553640000003e-06	0.0004120656403599	0.0152293	0.0526188	0.00276873811344	0.00023193157849	-0.0567689	0.0432158	0.0018676053696399	0.00322270800721	-7.02829e-05	-0.0008270439	6.840016125272101e-07	4.93968603241e-09	-6.99947e-05	-6.99947e-05	4.899258028090001e-09	4.899258028090001e-09	0.00032324	-0.0004437589999999	1.044840976e-07	1.969220500809113e-07
290.80428036137295	-0.6269072766733643	0.3930127335460142	84567.129476496	376.0159958035427	-1.5227221983366803	141388.02910012985	2.3186828933072925	184.6251153936637	-0.2496983491921582	0.062349265589289	34086.43323412364	183.72169672794905	335.2346359079449	1.226741	24.818335	0.0841502049999999	0.0411255	0.0724366206	-0.0160079674	0.0875970747	-0.0398509258	-0.0960982499	0.1138610939	0.0465426017	0.0371768934	0.1386124977	-0.1256152901	0.0444270568	-0.1841728082	-0.0549108861	-0.0898696178	0.035384101	0.0376345107	0.051321241	-0.1041556391	0.0102956684	0.1387425743	0.020920352	0.1037440102	-0.0151388065	0.0460392019	-0.0301998936	0.1076496211	-0.16293816	-0.0612277046	-0.0721614572	-0.0712767899	0.1641900558	-0.0762462731	0.1651060467	-0.0097389942	0.1139923119	0.0759032361	-0.0543739538	0.0627023609	-0.0084146187	0.0635474239	-0.0202138265	0.0349497453	-0.0467386827	-0.0127395039	0.0554032077	-0.0363042728	0.0487274116	0.1026135919	-0.0814985457	0.1683509279	-0.0444920998	0.02794947	-0.0457813358	-0.0755689495	-0.0109633306	-0.1351471224	-0.1006389851	-0.0962706194	0.0468127502	-0.0119551329	0.0352807471	0.0631234515	0.0808131037	0.0921789187	0.0429650613	0.0488322539	0.0460470459	0.0440797424	0.1431460729	0.0696132207	-0.0985155746	0.0478601714	0.1211470105	-0.0325784289	0.0355734191	0.0174218317	0.1289279942	-0.1057534571	-0.0748270887	0.0668955304	-0.1982455435	-0.0094124272	-0.0605271774	0.1552193871	0.0102854741	0.1242407175	-0.1228690792	-0.0172125026	-0.0532172471	0.0287827742	0.049625593	0.0107946492	0.023377938	0.0532519641	0.0021046755	-0.0711450361	0.0396105335	0.0179025808	-0.1299539752	-0.1411069829	0.0539377173	0.0663425163	-0.0367759297	-0.0567370093	-0.0484710821	-0.1220391844	-0.1067397679	0.1122392002	-0.0809141035	0.0152611829	-0.0511290318	0.0378325952	-0.0026876416	0.0149810206	0.1437833562	0.0459603449	-0.0277069256	-0.0602897879	-0.0486670845	-0.0303705359	0.0041600233	-0.2001444625	-0.1222889991	-0.1290121122	-0.0660786814	-0.0063257998	-0.1771434467	0.001720857	0.0157803306	-0.1769570449	-0.0216703951	-0.1359509191	-0.0271343559	0.2243260532	-0.1503283948	2.1184e-05	0.1798324161	-0.0910517754	-0.0533811982	-0.0186939063	0.1193348294	0.1187713263	0.1178341246	-0.000145435	-0.0204448349999999	0.0004179912781772	2.1151339225e-08	0.0104367	-0.0047925999999999	2.296901475999999e-05	0.00010892470689	-0.0319117	0.0248571999999999	0.0006178803918399	0.00101835659689	-0.000300613	-0.0002303300999999	5.305195496601e-08	9.0368175769e-08	-0.000315462	-0.0002454673	6.025419536929e-08	9.951627344400003e-08	0.000117926	-0.0002053139999999	1.3906541476e-08	4.215383859599999e-08
289.46350832171765	-1.3407720396552918	1.7976696623214117	83789.1226499171	373.0337713323224	-2.98222447122032	139154.1945544154	8.893662796745318	184.4490405772654	-0.1760748163982839	0.0310023409696893	34021.4485698737	183.47318864522387	326.4711606751205	1.27616	25.818119	0.026023335	0.0170045	0.0153289532	-0.1028798952	-0.0869022718	0.0577253756	0.0184224886	0.0226806446	-0.1254170306	-0.0407972299	-0.0174344901	0.0190684282	0.0548252352	-0.2172060398	-0.0449647286	-0.064472902	-0.1000382786	-0.0663342706	0.0747235049	0.0964572867	0.1116973097	0.0081700054	0.1229743572	-0.0429807767	-0.1669964725	0.0648091273	0.0021845141	-0.1146922556	-0.0497086481	0.0145602758	-0.0303574441	0.088168993	0.0460700966	0.0568518461	0.1888500317	0.1350042445	-0.0549948626	0.0239014132	0.0897759377	0.1348369181	0.0029421527	0.0547130358	-0.0188135621	0.0625697792	0.056793552	-0.0430093708	0.0357338967	0.062022942	-0.0402187208	-0.1412077474	0.1131743883	-0.0299820387	-0.0928807728	-0.0346727351	0.0050447187	-0.0492355715	-0.0335400525	0.0332121412	-0.035039116	0.0870363354	-0.0116899853	0.0743584194	0.0228176088	0.0376412408	-0.0202808968	-0.0319017675	0.000708905	-0.096076246	-0.0759164962	0.084860991	-0.0823694959	-0.0358523702	-0.1193620243	0.1116022659	-0.037498597	0.0926095978	0.1398896085	-0.0269638179	-0.116213629	-0.0125417153	-0.0189548734	0.0103872827	-0.0240996155	0.1212330491	0.0674305656	0.1987529832	0.0947906686	-0.0689618588	0.0098579042	-0.0632469963	-0.1426507009	0.0298653606	0.0535857743	0.0205098387	0.07274767	-0.0225323787	-0.0554661247	-0.0362745327	-0.0553223696	0.0118066032	0.122962331	0.1421414009	0.0797232876	0.0842590682	0.0226340436	0.0101210918	-0.0677479017	0.0588875146	-0.0082337009	-0.0506492305	-0.0163321275	0.0579372492	0.0870288695	0.0208774974	0.0411327174	0.0024364875	0.0043632725	0.0114227413	0.0085531322	0.1015411455	-0.0901589972	-0.1196749902	-0.0333603044	-0.0376744346	-0.1826413411	-0.2009440635	-0.0010858517	0.1318447229	-0.0687771752	-0.07236994	0.079057217	-0.0087053737	0.0103987273	0.0020551871	0.0100638312	0.2177491188	-0.0600826404	0.0441348415	0.0213879367	0.0760788141	-0.0431524523	-0.0144103952	0.1191544118	0.1180513362	0.1162204348	-0.00014412	1.3149999999999967e-06	1.7292249999999916e-12	2.07705744e-08	0.00714868	-0.00328802	1.08110755204e-05	5.11036257424e-05	-0.017006	0.0149057	0.00022217989249	0.000289204036	-0.000317167	-1.6554000000000004e-05	2.7403491600000016e-10	1.0059490588899998e-07	-0.000455474	-0.0001400119999999	1.9603360143999988e-08	2.07456564676e-07	0.000117926	0.0	1.3906541476e-08	0.0
289.0015931049739	-0.4619152167437619	0.2133656674594365	83521.9208172129	371.11763621567263	-1.916135116649741	137728.29991030833	3.671573785258317	184.27857002288016	-0.1704705543852469	0.0290602099124134	33958.591369677546	183.3521307192496	323.6591676579097	1.249931	25.287487	0.058722343	0.0333969	0.0204705398	0.1161935658	-0.061367113	0.1688213977	0.0145688289	-0.1448505114	0.0308760202	0.0791305802	0.0642387169	0.1410070905	0.0879447675	-0.0305761461	0.0025129494	0.1250931945	0.0822722259	-0.0473255566	-0.0526505479	0.028280401	0.1720809236	-0.0252217893	-0.0018786838	0.0072054811	0.0122842735	0.0126975034	0.0038044059	-0.0177560573	0.1906295505	0.0035644342	-0.0328568954	0.1100867044	-0.0323619837	-0.0608538609	-0.0243537083	-0.0952925822	-0.1223035804	0.0576114962	0.07215528	0.0701262037	-0.0056905439	-0.1476136395	-0.1525360419	-0.0268896773	-0.0892811756	0.0128255211	-0.1033253291	0.1243846548	-0.0421441157	0.0714094639	0.1279941364	0.0085906907	-0.023277236	0.0048303243	-0.0583371285	0.0001990506	0.0696144139	0.0160865805	0.0506114998	-0.0542018076	0.020436656	-0.1264022778	0.0988230618	-0.0662538766	0.0659795374	0.068016126	0.0884988585	0.0786532843	-0.038695434	-0.055583408	-0.042054718	-0.1302697638	-0.1088562556	-0.0175793083	0.0017403812	-0.0012406941	-0.0202612382	-0.0220632323	-0.0165634873	0.1370497483	0.0423503084	-0.1328046097	0.0827857093	0.0578217324	-0.0855175182	-0.010692222	-0.1016091608	-0.1059753829	0.0021863269	-0.0526391608	-0.0987694444	-0.0096271261	-0.0669858359	-0.2051942562	0.0109916956	0.0672442119	0.034147823	0.1023145015	-0.0446623617	-0.1133510831	-0.0942994199	0.10778195	0.0725302351	-0.0263247517	0.0028358114	-0.0541678045	-0.0195538473	-0.0496596731	0.0818500429	-0.0169909789	0.0650691257	-0.0436273069	-0.145879705	0.0554702651	-0.0830960012	0.0373071495	0.1151592191	0.0970840856	-0.0160726302	-0.0022689004	0.0606525901	-0.1773952523	-0.0543219065	-0.1027859458	-0.1620111072	-0.0235569454	0.1267180956	-0.1024329342	-0.0866345996	-0.0517802881	-0.0364156529	0.0731212296	0.172619168	0.0758302288	0.0285880024	0.0737339592	0.0361498559	-0.154861401	-0.1244762117	-0.088741986	0.0358747659	-0.0684793021	0.1189139965	0.1170936064	0.1140802373	-0.000121957	2.2163e-05	4.911985689999998e-10	1.4873509849e-08	-0.0136685	-0.02081718	0.0004333549831524	0.00018682789225	-0.0154255	0.0015805	2.497980250000001e-06	0.00023794605025	-0.000587743	-0.0002705759999999	7.3211371776e-08	3.45441834049e-07	-0.0	0.000455474	2.07456564676e-07	0.0	0.000117926	0.0	1.3906541476e-08	0.0
289.5830806644727	0.5814875594987825	0.3381277818518501	83858.3606071265	372.12754298900734	1.0099067733347056	138478.9082510355	1.0199116908273165	184.32053601637324	0.0419659934930791	0.0017611446098611	33974.05999736315	183.3275668908909	325.61814197383774	1.165401	23.577353	0.0224080559999999	0.012854	-0.0126113306	-0.0636406714	0.0637329558	0.1112465522	0.1216806852	0.0484398324	0.0030572673	0.0046353735	0.060653148	0.0402614025	0.0680225444	0.0425573567	0.0091141557	0.0252812282	-0.0369934973	0.0605296867	-0.0128991578	-0.0726795947	-0.0048401843	0.0602068379	-0.1189114392	-0.0885299535	0.1079102318	0.0227269564	-0.0409112679	-0.0668272882	0.0839945329	-0.1432683117	-0.0269764284	-0.0424590896	0.0804356971	0.0065820258	-0.0090478033	-0.05902843	-0.0491952081	-0.0301094228	-0.0386881872	-0.0148579176	0.0070547306	0.1862576161	-0.1672612464	-0.0545434073	0.0406399371	0.0499791828	0.0037023203	0.026930071	-0.061259297	0.0406016627	-0.1632364029	-0.1078459712	0.0440640081	-0.066428841	-0.0775729293	-0.0251645623	0.0135674973	-0.0174250833	0.0892418348	-0.0751911487	0.0357530292	-0.171013526	0.049913038	-0.1085808351	-0.0786031136	-0.124449384	0.0478228834	-0.0508092249	0.0523051337	-0.024080977	0.0620789893	-0.0199274453	0.013597432	-0.1373003938	-0.083784268	-0.136193643	-0.0567526555	-0.0767455842	-0.0463092933	0.1017797027	-0.1093650565	-0.0045210664	-0.081742032	-0.0489497228	-0.0185701386	-0.005187278	-0.0513681097	-0.0244257725	-0.0224882728	0.0809963107	-0.0134239239	0.1068564131	0.2303628715	-0.0734485617	-0.0431445067	-0.0511980957	0.0024883028	0.0083195056	-0.014289473	-0.04848206	0.0340916699	-0.0301732266	-0.1811064368	-0.0453093177	-0.1022388334	-0.0352963872	-0.0173771773	-0.0466862455	0.0195968772	0.0713708806	0.1135973423	-0.0743978396	-0.1514699881	0.0540172154	-0.054265863	-0.0278595602	-0.1515212968	0.0724362348	0.0078906099	-0.0283389366	-0.1078784743	-0.1116834002	-0.0657026095	-0.0274081204	-0.1465873879	0.0274898286	0.0484907465	-0.0951573312	0.0184564687	-0.1346171895	-0.1627695327	0.1373529469	0.0277319079	0.0565956422	-0.1206890977	0.0204365076	0.114287721	-0.1159682817	0.0483371708	0.049052405	-0.1043820825	0.0703343061	0.1186137044	0.1159000657	0.1114232278	-0.000118471	3.486e-06	1.2152196e-11	1.4035377841e-08	-0.0101546	0.0035139	1.2347493210000002e-05	0.0001031159011599	-0.0251487	-0.0097232	9.454061824e-05	0.00063245711169	-0.000488474	9.926899999999992e-05	9.854334360999983e-09	2.3860684867600005e-07	8.408039999999998e-05	8.408039999999998e-05	7.069513664159997e-09	7.069513664159997e-09	0.000117926	0.0	1.3906541476e-08	0.0
290.1128740967196	0.5297934322469473	0.2806810808520007	84165.47971665909	372.7099478990371	0.5824049100297657	138912.70526290295	0.3391954792267794	184.55150139204136	0.23096537566812	0.0533450047575158	34059.256666056644	183.60272277531112	331.441049444752	1.173709	23.745424	0.041863859	0.0201912	-0.0312800428	0.0910126514	-0.0577156524	-0.062355579	-0.0281924989	-0.0998542346	0.029402855	-0.0238503543	0.0370989565	-0.0299594436	0.2209049217	0.0976300317	0.0782455761	0.0317243267	0.0329637653	-0.0660966595	0.0165579266	-0.0198284314	0.0364299244	0.1034761478	-0.0691071192	-0.0034976751	0.0658061992	0.0659653309	-0.1075816604	-0.1139255523	-0.1286420012	0.0728336473	0.1595753239	0.1087032377	0.1307398842	0.1119223122	-0.0479302419	0.0683607103	-0.0777504655	0.0399667166	0.0794352653	-0.025641415	0.0222034849	0.0194657633	0.0450814077	0.0182556389	0.0139930385	-0.061529843	-0.078729661	0.0190275494	0.0207772434	-0.0167783095	-0.0329163428	0.076831231	0.0088960753	0.3057558502	-0.0033115156	0.0865268991	0.0262554599	-0.0831253878	0.06198095	0.0853665314	0.1308174146	-0.0318653357	-0.026025708	0.0178200462	-0.0860782802	-0.0432197948	-0.117040177	0.0362064972	-0.0572883238	0.0119455426	0.0336687908	-0.0066394209	-0.0737838892	-0.0517693695	0.0237908423	-0.115638136	-0.0213565778	-0.1163791073	-0.0919691931	-0.0698989022	0.002196759	0.2339527355	0.0269939429	0.1736467906	0.0217766758	-0.013565178	0.0410596828	-0.130463587	0.0149216089	-0.0517808851	-0.0136024498	-0.0474054295	0.0162067462	0.0514590929	0.0320794	-0.016934628	-0.0691623001	0.0676909248	-0.04815198	-0.0272420733	-0.0212830737	-0.16292987	0.0567265164	-0.0569690938	0.2406375375	-0.1209165444	0.1106926342	-0.085020101	-0.0301878952	-0.0199877374	0.1283618355	0.1079035487	-0.0017356401	-0.0237283742	0.0613575241	0.07872051	-0.0721926274	-0.1467042188	-0.0269435596	0.0229676331	0.0860388527	-0.0572928287	0.0118250746	0.0592963338	-0.1428891469	0.0645568283	0.0037169101	-0.2248795907	-0.0625512163	0.0589987074	0.0019513194	0.0564325819	0.0536757355	0.1612565705	-0.006686436	0.1128568382	0.111052073	-0.1804315239	-0.0592173168	0.0540636568	-0.03953346	0.0110484456	0.1182536866	0.1144731177	0.1082614433	-0.0123582	-0.012239729	0.0001498109659934	0.00015272510724	-0.0144849	-0.0043303	1.8751498090000005e-05	0.00020981232801	-0.0318843	-0.0067355999999999	4.536830735999997e-05	0.0010166085864899	-0.000288819	0.000199655	3.986211902500001e-08	8.3416414761e-08	0.00025559	0.0001715096	2.9415542892160004e-08	6.53262481e-08	0.000117926	0.0	1.3906541476e-08	0.0
289.5506249056997	-0.5622491910199301	0.3161241528025658	83839.5643832812	372.6822553741237	-0.027692524913391	138892.06347074357	0.0007668759360787	184.5352833867653	-0.0162180052760732	0.0002630236951347	34053.270814633775	183.6036488329808	331.636873622372	1.205356	24.385675	0.04909117	0.0242163	-0.0731173328	-0.0287666643	0.1331858053	-0.0557489356	0.1008713699	0.0530657366	0.073831093	0.0433621164	0.0847527747	-0.0978358872	0.1024228318	0.1126471482	0.0150550956	-0.2581213946	-0.0291560471	0.1211309469	0.0429858853	-0.1362914364	-0.0845875611	0.1503162479	0.0117763316	0.0673578953	-0.0126191012	0.0169679651	-0.0279745816	-0.0409643882	0.1109957596	0.139090474	0.1101120025	0.0180615642	-0.124653944	-0.0709049303	-0.0173169507	-0.0888959928	-0.0458196634	0.1688878122	0.0441679004	0.2250902877	-0.0814548451	0.0045549488	0.0262503831	-0.0365812817	0.0825248673	-0.0475528323	-0.1411523986	-0.0796645046	0.0371201728	-0.0091767646	-0.0533532822	0.1381803615	0.0516432451	-0.102091559	0.1308611138	-0.0890286146	-0.0315553886	-0.0433436946	0.0395661531	-0.0454464252	-0.004776985	-0.0434004168	0.0430858298	-0.063611828	0.1638293065	-0.0218156675	0.0046226964	-0.0221015608	0.1210808864	0.047426769	0.1743184246	0.1379318428	-0.0175028185	0.0361635146	0.0727007814	-0.017969599	0.011390435	-0.0605559762	-0.0202479323	0.0576284143	0.1446707248	-0.0025898636	0.2006306673	-0.0695694927	-0.069445482	0.0014947896	-0.1247346956	-0.0532636378	-0.1067074844	-0.0847471631	-0.2357913541	0.0252587573	-0.061367083	0.0696602673	-0.0059434026	-0.0477322286	-0.0790990889	0.1316968084	0.0509721941	0.0297913048	-0.0244299247	-0.1293284872	0.0511287865	0.0150697195	-0.0611925822	0.1832056717	-0.0739962903	-0.016022344	-0.0200438865	0.0579324737	0.0458319768	-0.03306934	-0.0294177405	0.0539511347	-0.0707349034	-0.1097485891	0.0678135321	-0.0054545107	-0.0173442605	-0.0963556396	-0.062959009	0.1104808946	-0.0162159829	-0.0352968198	0.0079059161	-0.090159733	-0.08167836	-0.1342343879	-0.150487992	-0.0217330176	-0.1284196506	-0.0605251847	0.0259118517	0.0459116198	0.0485599029	0.1251490442	0.0675449067	0.0200204912	0.0066745365	0.116196296	-0.0171028479	0.0817809129	0.1178341246	0.112815636	0.1046092073	-0.0083240499999999	0.00403415	1.6274366222500798e-05	6.928980840249835e-05	0.00300932	0.01749422	0.0003060477334084	9.0560068624e-06	-0.032107	-0.0002226999999999	4.9595289999999684e-08	0.0010308594489999	-0.000118589	0.00017023	2.89782529e-08	1.4063350921e-08	0.000129018	-0.0001265719999999	1.6020471183999996e-08	1.6645644324e-08	0.000367926	0.00025	1.35369541476e-07	6.25e-08
