onset	duration	trial_type	trial_code	valence	arousal
7.2645	15	CON	NEU16	none	none
24.2979	11	Q	Q_NEU16	none	none
41.3563	15	NEU	NEU14	4	6
58.3806	11	Q	Q_NEU14	4	6
75.1897	15	NEU	NEU15	6	6
92.2147	11	Q	Q_NEU15	6	6
110.2897	15	CON	NEU26	7	4
127.3147	11	Q	Q_NEU26	7	4
143.8898	15	CON	NEU25	9	5
160.9148	11	Q	Q_NEU25	9	5
177.7315	15	NEU	NEU29	8	6
194.7732	11	Q	Q_NEU29	8	6
212.3399	15	CON	NEU4	none	none
229.3649	11	Q	Q_NEU4	none	none
247.6733	15	NEU	NEU21	7	4
264.6983	11	Q	Q_NEU21	7	4
