global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00
302.8333035363264	n/a	91708.0097307248	n/a	313.6750688929059	n/a	98392.04884496928	n/a	197.43257758826368	n/a	n/a	38979.62269314576	198.69291534210768	361.9094676513064	n/a	n/a	n/a	n/a	-0.0251534966	0.0640836817	-0.0280663939	0.0202503616	-0.0010061047	0.1134679898	0.0832220111	-0.0595200554	0.0510796209	-0.1224678811	0.0244784775	-0.4068438108	-0.5110958672	0.1596558084	-0.1131756514	0.1427183821	-0.0227608437	0.1524271404	0.0816855138	-0.1184494889	0.0034522701	-0.0388110108	0.0981544239	-0.0092211899	0.0753620641	-0.0191704981	0.0048466937	-0.1024047295	0.0171160575	-0.0403748216	0.0009602301	-0.0283810468	0.0967910327	-0.0460692893	0.0393732991	-0.0577220187	0.081459487	-0.0398682115	0.1258100228	-0.0531323069	0.0793364113	-0.0532718331	0.0172932399	0.0013413646	0.0241759694	-0.2090644205	0.1395264073	-0.0389241281	-0.0529566527	0.0034903844	0.0122965048	0.0078039334	-0.0425715943	-0.0192459007	-0.0010669046	0.0809060274	0.0266109171	0.1874320626	-0.1344668347	-0.0372717419	-0.0541744509	0.1469681373	0.0507197154	-0.0090726998	-0.1584813775	0.0894847788	0.1264294272	-0.0883194502	0.0216068336	-0.0217247705	0.1157552796	-0.005376531	0.0347965472	-0.0545232432	0.0130383757	-0.1191972016	-0.0574016198	0.0664627044	-0.010937783	0.0196856719	-0.0799455736	0.0477129918	-0.0206992617	0.018053968	-0.1329678884	0.0032767284	-0.0514237633	0.0191746641	-0.1177305194	0.0785083042	-0.031479404	-0.0359395427	0.1596259662	-0.1785238164	-0.0079690188	-0.1143577016	0.0909002114	-0.0310259346	-0.0244430372	0.0148567053	0.0151718139	0.0792186107	-0.0521446621	-0.1024609645	-0.0002219394	0.1467761572	0.1559272472	-0.0268594774	-0.04700493	-0.0900789404	0.075196176	0.087735916	-0.1670125517	-0.0556692882	0.002725548	-0.0561699336	0.172973152	-0.0147896319	0.0247205085	-0.0061230248	0.0147093726	-0.2692152139	0.1008967224	-0.065609657	0.0447211465	-0.1325433402	0.0228801639	-0.0680767164	0.030655653	-0.0734685433	0.1134397602	-0.0877897566	0.1498080084	-0.0702150641	0.0043479139	0.2057855537	-0.042704802	-0.1380750117	0.1195153378	0.1194927693	0.1194551582	-0.0317436	n/a	n/a	0.0010076561409599	-0.118278	n/a	0.0139896852839999	n/a	0.000339383	n/a	n/a	1.1518082068900001e-07	0.00109668	n/a	1.2027070224e-06	n/a	0.00212859	n/a	4.530895388100001e-06	n/a	-0.000446323	n/a	1.9920422032900003e-07	n/a	0.0
301.9558196965506	-0.8774838397758344	91177.31704861576	0.7699778890677423	309.48443600882206	-4.190632884083868	95780.61613169868	17.56140396916508	197.221295695498	-0.2112818927656974	0.0446400382106556	38896.23947581105	198.4103435221779	360.7028253724423	1.211942	26.955141	0.140661243	0.0597541	-0.0152411985	0.156187393	-0.0064158874	0.1575016093	-0.0733847892	-0.0191101652	0.114948263	-0.0304103395	-0.0770085242	-0.1388720908	-0.1307504839	-0.1754678469	-0.0415500393	0.0703433443	0.0234930035	0.0724475665	0.0649542546	-0.0628963544	0.151690903	0.0270774483	-0.0114364433	0.1136106561	0.1148250007	-0.0886216306	0.0193186094	-0.0305470828	0.125019576	-0.0464106676	0.0556112994	-0.1958192423	0.0697953556	0.074114595	0.13262858	-0.0914993293	0.0622916418	-0.0535459044	-0.0004912864	-0.0821118308	0.0454144086	-0.207708275	0.0479433607	-0.0659513341	0.0003887892	0.1096801024	-0.1677146663	0.0056374988	-0.0915274935	-0.007593835	-0.1974522931	0.0308593846	-0.0033362294	0.0066736877	0.0814132993	-0.0664641544	0.0718278758	0.0824258258	-0.1039146076	0.029200225	-0.0505230442	0.0748943449	-0.0246938256	-0.055060916	-0.018622278	-0.0077915865	0.0558955224	0.0596733976	0.144523637	0.071626061	-0.0564944582	0.1163511887	0.0884830486	-0.0920157832	0.0350634774	-0.0228758304	0.109135447	-0.0062657808	-0.0741381309	0.1422067192	0.0126957989	0.0941595357	-0.0215504071	0.1944982777	0.0758517326	-0.1018086086	-0.1223498456	-0.0449011468	-0.2030781267	-0.0585313793	-0.0850232839	0.0476849043	-0.071646219	0.0286287849	0.1529467212	0.0679594737	0.0503538356	0.1052476331	-0.0363622289	-0.2119532994	-0.0487066962	0.022000615	0.0664517221	-0.0220000283	0.0016129389	0.0356107173	-0.0981182674	0.0817079128	-0.0602751276	-0.0649016217	-0.0073084016	-0.0527007931	-0.0568867382	-0.0211008265	0.048247047	0.0592770563	-0.0050542409	0.0953186601	0.0743782063	-0.0978837049	-0.0581408556	-0.1229895838	0.0272865021	-0.1233758746	0.0150434766	-0.0565895846	-0.13206942	-0.1754437474	0.1582086515	-0.0323169652	0.0635641419	-0.1055036959	0.1009117914	-0.037223	0.2223470774	-0.1157112314	0.0866435451	0.1907147867	-0.1320418994	-0.1494152575	0.1194551582	0.1192521267	0.1189139965	-0.00388242	0.0278611799999999	0.0007762453509923	1.50731850564e-05	-0.0949688	0.0233091999999999	0.00901907297344	0.0005433188046399	-0.0185923	-0.0189316829999999	0.0003584086212124	0.00034567361929	0.000746586	-0.000350094	5.57390655396e-07	1.22565808836e-07	0.00142918	-0.00069941	2.0425554724e-06	4.891743481000002e-07	-8.464339999999998e-05	0.0003616796	7.164505163559997e-09	1.3081213305616e-07	0.0
301.7703957682656	-0.1854239282849903	91065.37176213563	0.0343820331806372	306.4988726346921	-2.985563374129981	93941.5589263372	8.913588660946399	197.13804164145435	-0.0832540540436355	0.0069312375147005	38863.40746222779	198.2024045456029	353.91704606350874	1.280776	28.486092	0.13607778	0.0790764999999999	0.0299292261	0.0776762034	-0.092312735	0.0152830353	-0.1485891671	0.0393673313	-0.097145867	-0.038008877	-0.1626542047	0.0433406018	-0.0051683727	-0.1128352831	-0.0534161696	0.207451678	0.1103167063	-0.056330207	0.0283174512	-0.1259730963	0.0074811412	0.1187406879	-0.0541411234	-0.0288766658	0.0131100771	0.0922525724	-0.0284992855	0.0041051167	-0.0111949743	-0.0546458101	-0.0684485663	0.0814161861	0.1380004779	-0.1786267493	0.1011846519	-0.0151121518	-0.1517750279	0.0336631132	-0.1452153938	-0.0531636777	0.0145852383	-0.1632768557	0.0921729999	-0.0718271677	-0.0091022875	0.0540862215	0.0178853394	-0.0709497838	-0.0792522162	-0.0693182803	0.1079684981	0.0657837213	0.004482923	-0.0221995329	-0.1439289229	0.0334675309	-0.0701248641	0.074681418	-0.1293369975	-0.0594609188	-0.271953378	0.0153524047	-0.0631633148	-0.0714225417	0.0483251408	0.0668843314	-0.0082257802	-0.065318152	-0.0440306086	0.1322555333	0.0351850858	0.0259093515	0.0284527512	0.0814869721	-0.0488674254	0.0303750786	-0.025530365	-0.0902333852	0.0083015481	-0.0744759892	-0.2245905473	-0.0802895702	-0.120310833	0.0869746731	-0.1168863386	-0.0621062163	0.0520102252	-0.1269033501	-0.1229183012	-0.1011956716	-0.0944480354	0.04409827	-0.0946865027	0.0046139253	0.0680844764	0.0127293601	0.0668587874	-0.0594111812	-0.0963706956	0.1403033814	0.0525946444	0.0281176106	0.0587978899	0.2404641473	0.0267800385	-0.0931698113	-0.1763985736	0.0896999005	-0.1174755896	0.0642706147	-0.0963234989	0.0222806559	-0.0497916708	0.0238863981	-0.0044397447	-0.04391124	0.0592075697	-0.029468852	0.1034910036	0.0139081964	-0.0814410457	-0.0546944229	0.1676199956	-0.1274551252	-0.0434671991	-0.1027521282	0.0359871525	-0.0017536383	0.1254723275	0.0174143363	0.0352013219	-0.0866153664	0.0952881838	0.1240078367	-0.0825565811	-0.2011198861	-0.0244512523	0.0397628792	0.0855103754	-0.0824468906	0.1193348294	0.1187713263	0.1178341246	-0.0245626	-0.02068018	0.0004276698448324	0.00060332131876	-0.11559	-0.0206211999999999	0.0133610481	0.0004252338894399	0.0562239	0.0748162	0.0055974637824399	0.00316112693121	0.000917651	0.0001710649999999	8.42083357801e-07	2.9263234224999996e-08	0.00162406	0.00019488	2.6375708836000003e-06	3.797821440000005e-08	-5.13844e-05	3.325899999999998e-05	2.6403565633600004e-09	1.1061610809999988e-09	0.0
301.5443749488555	-0.2260208194101096	90929.01006329594	0.0510854108068174	305.0572714363565	-1.4416011983356043	93059.93885619489	2.0782140150426502	197.1960430384782	0.0580013970238439	0.0033641620567175	38886.27939003334	198.2660252722564	354.4156617257004	1.26502	28.135643	0.13528363	0.0723918999999999	0.0302833655	0.0844801703	-0.0516194253	-0.1290021658	-0.0748986707	0.0917785687	-0.1332279877	0.0728960509	0.0505006299	0.0629359532	-0.1278456003	-0.0181449461	-0.1346617347	-0.0332398933	0.0877537149	-0.048196245	-0.0023052238	-0.0728789461	-0.1167113848	-0.0185550495	-0.1020918073	-0.0072737126	-0.0119045672	0.0047948776	0.1010895434	-0.0208536003	-0.0437087174	-0.0091343406	-0.2751330618	-0.104104639	-0.0247597394	-0.0228746927	0.0242240168	0.0835935054	-0.0219508607	-0.1151936399	-0.0848613377	-0.2135528372	0.0585155064	-0.0301628131	0.0696425377	0.0315255847	0.1677728087	0.0431754542	0.0210406303	0.0617504782	-0.0498085889	0.0219354969	0.0435746401	-0.0339608892	0.0318594433	-0.0414242041	-0.0209911551	0.0802389449	0.0267149048	-0.0890244988	0.0537979494	-0.1217942193	0.0701444112	0.0259871009	-0.0751376041	-0.0164694777	0.0934280113	-0.0062435213	-0.1312276137	-0.0484492551	-0.1082476076	-0.0482395511	0.1012439806	0.0484545544	-0.0105942076	0.0273578006	0.0324466517	-0.1121107268	-0.034478567	-0.0343259231	-0.2418731805	-0.0981365315	-0.0596455825	-0.0598200614	0.0160667549	-0.0049346702	0.0904763646	-0.1290048505	-0.0110166173	-0.1604349297	0.0695438377	0.0916113744	-0.1101421273	0.0575754318	-0.0134240172	0.1475705725	0.0354871012	0.1413699801	0.0019693406	0.0290346937	-0.0222835063	0.0807351823	0.1124035881	0.0695570507	0.1238506104	-0.0324088812	-0.01759514	-0.0083679428	0.0583954771	0.0182597681	0.0015205866	0.1272019385	0.0640346361	-0.0057669273	-0.0231573442	0.0791542831	0.0081461362	-0.0537893907	0.0358521367	-0.0418661394	0.0812507408	0.1210064515	0.1477373064	0.0405951069	0.1286064858	-0.2008245309	-0.0172048543	0.1511593531	-0.0570877126	-0.0434267405	0.1539226331	-0.0311616005	0.1371259512	-0.0614513074	0.1831738369	0.1376988458	0.0992369873	-0.0362100072	0.0310835118	-0.064806048	0.0570150321	0.0645711842	0.1191544118	0.1180513362	0.1162204348	-0.0343272	-0.0097646	9.534741316000003e-05	0.00117835665984	-0.0776995	0.0378904999999999	0.00603721230025	0.0014356899902499	0.0574866	0.0012626999999999	1.5944112899999964e-06	0.00330470917956	0.000161066	-0.000756585	2.5942256356e-08	5.724208622250001e-07	0.00176688	0.0001428199999999	3.1218649344e-06	2.0397552399999965e-08	-0.000879296	-0.0008279116	7.731614556160001e-07	6.8543761741456e-07	0.0
302.1631456766722	0.6187707278166954	91302.5666052218	0.3828772136028029	305.69238948069614	0.6351180443396629	93447.83698641762	0.403374930245838	197.48761229268223	0.2915692542040347	0.085012629997097	39001.35700906477	198.6074929656538	352.0115285449558	1.263833	28.109245	0.1070709999999999	0.0582527	0.0531623625	0.0422567206	-0.0429458103	0.0448477599	0.0743015741	0.1627584318	0.0863856586	0.0669169361	0.0690635085	0.0688441209	-0.0347467694	-0.0069505118	0.002606938	0.1044402365	-0.0478473105	-0.132798808	0.0638916555	-0.0497446756	-0.0010301288	-0.1063755292	0.0677389944	-0.0926464631	-0.0045939533	-0.0742348644	-0.1809538678	-0.0628693037	-0.1111118942	-0.0905814598	-0.1220566106	-0.0928142195	0.0584558151	-0.0035611692	0.0931294642	0.0369618878	-0.1137617141	-0.0793549848	0.0275562338	0.1388276507	-0.0025585749	-0.0522780355	0.0206936812	-0.0694103065	0.1168695518	0.1503097085	-0.183464449	-0.0190796982	0.0179304315	0.2481937962	-0.0474459569	-0.0270308931	-0.1042219639	-0.084690566	-0.0395649416	0.0621608801	-0.0332164859	-0.0551754325	-0.128063968	0.1081258616	0.0847444682	-0.2055014196	0.1583063044	-0.0921725626	0.1073004179	0.0451364754	-0.0028529328	0.0560212203	0.0391936181	-0.0870189116	0.0187645265	-0.1356927646	-0.0274049266	-0.0901322876	-0.1836931351	0.0743180685	0.0355211244	-0.0847309301	-0.1834683433	0.0121771387	-0.0409383546	2.18597e-05	-0.0702160776	-0.0225613293	-0.1253082462	-0.0220102998	-0.0423391481	-0.005321779	0.0891307281	-0.0755271622	-0.0554558922	0.0134520269	0.0836280129	0.0525906589	0.13823671	-0.0291632272	-0.1522589818	0.3153718794	-0.1021059928	0.0432743	-0.1513843003	-0.0687997149	-0.0097998294	0.0971617752	0.0823723327	0.1207376884	0.0912794391	0.0157597169	-0.1244223504	-0.1655453298	0.0633723436	0.142971886	0.024352587	0.02182568	-0.0673397184	-0.0028546973	0.0239128382	-0.043966074	0.1206130637	-0.0051076559	0.0375789128	-0.0594651319	-0.0367635606	-0.1732586139	0.1027944092	0.0026590511	0.2037974266	0.0072233825	0.142159946	-0.0027736395	-0.0162956932	-0.055825106	0.0816578869	0.0579153112	-0.0355770646	-0.0578919976	0.1142635121	-0.0681776988	0.1526369864	-0.0145886837	0.1189139965	0.1170936064	0.1140802373	-0.0244598	0.0098674	9.736558276000005e-05	0.00059828181604	-0.106261	-0.0285614999999999	0.0112914001209999	0.0008157592822499	0.0320068	-0.0254797999999999	0.0006492202080399	0.00102443524624	0.0008261539999999	0.0006650879999999	6.825304317158347e-07	4.42342047743867e-07	0.00185684	8.996000000000004e-05	3.4478547856e-06	8.092801600000008e-09	-0.000771098	0.000108198	5.94592125604e-07	1.1706807204e-08	0.0
303.11466830205154	0.9515226253793684	91878.50213986271	0.905395306608846	307.3969744601428	1.704584979446679	94492.8999072497	2.9056099521552348	197.5045089428392	0.0168966501569798	0.0002854967865273	39008.031052752056	198.58698620085232	360.3394444470335	1.325068	29.471189	0.11468354	0.0581608	0.0284470989	-0.1234060837	-0.0250784412	0.0783950148	-0.1292070097	0.0525215004	0.0142086734	-0.0746502221	-0.0723484177	0.1074865468	-0.0063499262	0.0393346609	-0.0991959491	-0.0869900164	0.0398520016	0.0165099264	-0.0132892124	-0.0103330126	0.0803518361	0.0958462075	0.0276381184	-0.1078908003	-0.0816291197	-0.0782048661	-0.0240224687	0.0874175347	0.0141417251	-0.0181778486	-0.2601357906	0.0929721527	-0.1223835141	-0.0797972735	-0.0715782606	0.0057432171	0.0906436933	0.1139153206	-0.1265561989	0.1383096253	0.2108138782	0.1700064638	-0.0196076267	0.0123955066	0.0275730561	0.0382625822	-0.1439177843	0.0432758213	0.0546692288	-0.1050441212	0.0273486882	-0.005178938	0.074293579	0.1027206326	-0.0893988514	-0.1359802319	-0.0374821121	-0.0614224112	0.0236594945	-0.0663286219	-0.1051288847	-0.0289565321	0.0618362378	0.0162286531	-0.128914765	-0.1116394363	0.07109494	0.1585628478	0.0345495193	0.1292803971	0.0095363242	-0.0819115585	-0.0420780412	-0.0255328595	0.0969842138	0.0381349688	0.0123388234	0.0387219321	-0.151387059	-0.2161608492	-0.0246850211	-0.180873414	0.0394752365	-0.1417025105	-0.0908381501	0.0381504463	0.118787972	0.2262371331	-0.0522670046	0.2152136746	0.0398540583	0.0906734576	0.0241142828	-0.0002472869	0.1049135479	0.0316810763	0.0028927441	-0.0536623788	0.0254663821	-0.1032301781	-0.003843128	-0.0114740854	-0.1936693633	0.0493689032	0.1228999363	-0.054930962	-0.0445458903	-0.0311565262	0.0156826562	0.0747998869	-0.164327651	0.088449838	0.079262091	0.0092181561	0.0082766997	0.1473159242	0.0950914897	-0.0692584	0.1099842343	-0.0585048025	-0.0039647547	-0.0809098387	0.1268620617	-0.0809913237	0.0897243749	-0.1013584955	-0.0712715388	0.0566414724	0.1178622616	-0.0061929968	0.0229392707	0.0777629115	-0.042647706	-8.21589e-05	-0.0446710633	0.0247034478	-0.0679159131	-0.0227787522	0.1845702109	0.0846771915	0.1186137044	0.1159000657	0.1114232278	0.00539049	0.02985029	0.0008910398130841	2.9057382440100005e-05	-0.105086	0.0011749999999999	0.011043067396	1.3806249999999894e-06	0.0513172	0.0193104	0.0003728915481599	0.00263345501584	0.00100619	0.000180036	1.0124183161e-06	3.2412961296035975e-08	0.00243733	0.00058049	5.940577528900001e-06	3.3696864010000015e-07	-0.000244667	0.000526431	5.9861940889e-08	2.77129597761e-07	0.0
302.7781151317826	-0.3365531702689281	91674.587002755	0.1132680364180661	306.09218802442683	-1.3047864357159824	93692.42756958106	1.7024676428284176	197.58234562817623	0.0778366853370187	0.006058549584254	39038.78330393209	198.67622912491683	362.7017075199864	1.427017	31.738672	0.1404435299999999	0.06833	0.051190902	-0.0793447934	0.1113539313	-0.0981511011	-0.0531974889	0.0386408741	-0.0652258307	0.0788141683	-0.0106784197	-0.0409674254	-0.0249871101	0.0536651166	0.0102665906	-0.1467237195	-0.2579642104	-0.0881471215	-0.1069749692	0.1784929573	-0.0720701129	0.055223424	0.0603876597	0.0573775398	0.0117979324	-0.039032807	0.0241730336	-0.2095631324	0.1343490067	0.0265302782	0.0121132602	-0.0109284651	-0.0737038584	0.0579817453	-0.1600854733	0.1175264618	-0.0791803873	0.1476512098	0.1006335139	0.1546499178	-0.0241645254	0.0526532473	-0.0231356661	-0.1425372491	0.0161284973	0.0099504335	-0.0590387944	0.0018946861	-0.0718551804	-0.049350244	0.0051572566	-0.1407610403	0.0338394654	0.0278387553	0.097208832	-0.0445350468	0.0827700442	-0.140367715	0.0520279048	-0.1130141523	-0.0641170303	-0.1021348292	0.1441949977	0.0556058035	-0.1604945256	0.0363096891	0.1473315763	-0.050376131	-0.0770733412	-0.0048348891	-0.0910064792	0.0329053931	0.0081934154	-0.0253432721	-0.0249870096	-0.1270544578	0.1977388302	0.0594624791	0.0315502715	0.0607214716	0.0501018443	0.0289915823	0.0527558766	-0.2488132645	-0.0940208202	0.1696302155	0.0279141304	0.0406634625	-0.0426401326	-0.0326532328	0.0368614887	0.0653516197	0.0113382344	-0.026598654	-0.0300033064	0.0630332631	0.0558542289	0.0825304727	0.0891618672	0.0369002247	-0.0032585081	-0.0091888462	-0.0915915526	-0.086543101	0.0918754885	0.0866280923	0.0003261831	0.0179857968	0.0471145773	0.0982007884	-0.100590983	0.1886581632	-0.0962996626	-0.1938871292	0.055763265	0.0234030024	0.0735912129	0.007859539	-0.0004367369	-0.0561957828	0.1947773716	0.0161436399	0.0646187023	-0.0056638395	0.0689146623	-0.0035504625	0.0290900539	-0.0891490006	0.1385880597	0.017840773	-0.0957735123	0.0617078884	-0.1201099584	-0.036058498	0.1524292022	0.2469504323	-0.053687591	-0.0387640755	-0.0184429258	0.0465615668	0.1182536866	0.1144731177	0.1082614433	0.0085547699999999	0.0031642799999999	1.001266791839937e-05	7.31840897528983e-05	-0.0524181	0.0526679	0.00274765720761	0.0027739076904099	0.0158277	-0.0354895	0.00125950461025	0.00025051608729	0.000725585	-0.0002806049999999	5.264735922250001e-07	7.873916602499992e-08	0.00215885	-0.00027848	4.6606333225e-06	7.755111040000013e-08	-0.000668019	-0.0004233519999999	4.4624938436100005e-07	1.7922691590399997e-07	0.0
302.6275467350381	-0.1505683967445179	91583.43204286767	0.0226708420982145	305.44801218081744	-0.6441758436093892	93298.4881452128	0.4149625174898682	197.63561709632268	0.0532714681464483	0.002837849318478	39059.83714504427	198.7973154317181	356.51761134961424	1.181391	26.275637	0.11970819	0.0682287	0.0957025741	-0.1190806314	0.0719669158	-0.0612914648	0.0941510639	0.036396717	0.0344261592	0.0905514255	0.0734070933	0.0386454807	0.1266774838	0.0557823093	0.0111908564	-0.0023360693	-0.079253513	0.0583710063	0.0084895785	0.1726285809	-0.0589111361	-0.100359951	0.0243268187	-0.053519725	0.1593045117	-0.03944003	-0.0505166037	0.0508439327	0.0314599665	0.0675378769	0.0480187517	0.0558413429	0.2310270195	0.0045408004	-0.2109411157	0.0333308738	0.0187708012	-0.0380771472	0.016749959	-0.0101034588	-0.1804678807	0.0299367866	0.0680061122	-0.0699465291	0.0507330142	-0.1005495351	0.0633390644	-0.0534270984	-0.1586517163	-0.1674764863	0.0328063062	0.019687425	-0.0753339547	-0.0459809316	-0.1724622522	-0.0157780526	-0.0384760593	0.0438789602	-0.1539031932	0.1331061077	0.0577325411	0.0450374706	0.0673250368	0.1514651462	-0.0042765819	-0.0916272988	0.1738095818	0.0010071748	-0.0150619391	-0.1124287136	0.003252345	-0.0259474829	0.173456077	-0.0441046142	0.0112796844	0.0681493951	0.0137681581	0.0954464783	0.0962816312	-0.0292359329	-0.1572949346	0.124217489	0.185047984	-0.0171539868	0.0007996947	-0.0043333568	0.0076700724	-0.0291544007	0.1024320546	-0.1691045773	-0.0972312132	-0.0050427674	0.0115722668	0.0215861883	-0.1280522956	-0.0183211525	0.2082504706	-0.1197815745	-0.0103222151	0.0421893527	-0.2042820775	-0.0274268266	-0.0902459793	0.0796413188	0.1774389517	-0.0284140476	0.1000395704	0.0159486325	-0.0531772698	-0.1613801476	-0.1016261068	-0.120425924	-0.066722571	-0.0176623849	0.0774197008	0.0865680307	0.0660549615	-0.0429334876	0.130440561	-0.0654539444	0.0341614493	0.1020146278	-0.0419939007	-0.0234400449	0.1132230816	-0.1927180976	-0.0792265437	-0.0174157453	-0.0271694278	-0.064086709	-0.0575892828	-0.0004562655	-0.2126739413	-0.0752617054	-0.0675254676	0.1200572388	-0.0643152001	-0.0148497938	-0.0196325657	-0.0524688276	0.1178341246	0.112815636	0.1046092073	-0.00247807	-0.0110328399999999	0.0001217235584655	6.140830924900001e-06	-0.111394	-0.0589759	0.012408623236	0.00347815678081	0.011231	-0.0045967	2.1129650890000003e-05	0.000126135361	0.00115836	0.0004327749999999	1.3417978896e-06	1.87294200625e-07	0.00211027	-4.857999999999989e-05	4.4532394729000005e-06	2.3600163999999884e-09	-0.000247319	0.0004206999999999	6.1166687761e-08	1.7698848999999997e-07	0.0
