onset	duration	trial_type	trial_code	response	RT	money	carbon
5.7921	10	CET	c4_m2	LEFT	2.1919000000000004	50	40
20.8338	10	CET	c1_m1	LEFT	2.5661999999999985	10	2
36.1249	10	dummy	dl0	LEFT	1.7551000000000059	0	0
51.1672	10	CET	m5_c2	LEFT	2.8566999999999965	120	10
66.9667	10	CET	c3_m5	LEFT	2.313199999999995	120	25
83.2583	10	CET	m0_c2	RIGHT	3.245599999999996	0	10
99.5506	10	CET	c5_m0	LEFT	1.0493000000000023	0	50
114.5922	10	dummy	dr0	RIGHT	1.6477000000000004	0	0
130.6334	10	CET	m4_c5	RIGHT	2.2065000000000055	100	50
147.4257	10	CET	c3_m2	LEFT	2.2941999999999894	50	25
162.9674	10	CET	m1_c3	RIGHT	1.0564999999999998	10	25
178.0085	10	dummy	dl1	LEFT	1.6714000000000055	0	0
193.0507	10	CET	c0_m0	LEFT	3.373199999999997	0	0
208.3424	10	CET	c4_m1	LEFT	1.3774999999999977	10	40
224.8841	10	CET	m4_c3	LEFT	4.195700000000016	100	25
240.9253	10	dummy	dr1	RIGHT	1.5545000000000186	0	0
256.7175	10	CET	c5_m5	LEFT	2.266300000000001	120	50
273.0092	10	CET	m1_c0	LEFT	1.6145999999999958	10	0
290.0504	10	dummy	dr3	RIGHT	1.3333999999999833	0	0
306.592	10	CET	m3_c3	RIGHT	3.1918000000000006	80	25
322.8843	10	CET	m3_c5	RIGHT	1.5155000000000314	80	50
338.1843	10	CET	m2_c1	LEFT	2.535500000000013	50	2
354.7176	10	CET	c1_m0	LEFT	1.5382000000000176	0	2
371.7587	10	dummy	dr2	RIGHT	1.3771000000000413	0	0
387.8004	10	CET	m2_c2	RIGHT	2.5592999999999506	50	10
403.3427	10	CET	m4_c0	LEFT	1.7370000000000232	100	0
418.8844	10	CET	c0_m5	RIGHT	1.9712999999999852	120	0
435.1761	10	dummy	dl3	LEFT	1.4395999999999844	0	0
451.9673	10	CET	m4_c1	LEFT	1.6083999999999605	100	2
467.2595	10	CET	c4_m4	LEFT	2.196199999999976	100	40
483.3012	10	dummy	dl2	LEFT	1.538499999999999	0	0
498.3429	10	CET	c0_m2	RIGHT	1.8968000000000416	50	0
514.8846	10	CET	c4_m3	LEFT	2.0511000000000195	80	40
530.6757	10	CET	m5_c4	RIGHT	2.004000000000019	120	40
546.4679	10	CET	c4_m0	LEFT	1.8278000000000247	0	40
561.5096	10	dummy	dl4	LEFT	1.3700000000000045	0	0
578.3007	10	CET	c2_m4	RIGHT	3.898900000000026	100	10
593.3513	10	CET	m5_c1	LEFT	1.5043999999999187	120	2
609.893	10	CET	c5_m1	LEFT	2.562599999999975	10	50
625.6847	10	dummy	dr4	RIGHT	1.4909000000000106	0	0
640.7347	10	CET	m0_c3	RIGHT	1.704900000000066	0	25
657.5264	10	CET	c0_m3	RIGHT	1.769200000000069	80	0
674.3181	10	dummy	dl5	LEFT	1.4175000000000182	0	0
689.8598	10	CET	m3_c2	RIGHT	2.539800000000014	80	10
705.1515	10	CET	m2_c5	RIGHT	1.128099999999904	50	50
721.4515	10	dummy	dr5	RIGHT	1.5880999999999403	0	0
736.9932	10	CET	c1_m3	LEFT	2.206299999999942	80	2
753.7849	10	CET	m1_c2	RIGHT	2.1105999999999767	10	10
