global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04
299.5328080660236	n/a	n/a	89719.90310791734	309.5959560869076	n/a	95849.65602536644	n/a	200.02567736969428	n/a	40010.271607205024	n/a	201.6256685929976	400.2273061535103	n/a	n/a	n/a	n/a	-0.0256137327	0.1070264622	-0.0014392351	0.0940898559	0.1209335655	-0.0033994362	0.0772402568	-0.2644615515	0.3402123057	-0.1980586778	0.1487091049	-0.4120217928	0.1976343451	-0.0054818549	-0.0982770929	0.0260189921	-0.032851387	0.043357139	0.0154806639	-0.0487050938	0.0684727222	-0.1416279002	0.0909248727	-0.0382554491	0.01267377	0.0321880572	-0.0958658548	0.0686194528	-0.0169319183	0.0847852551	-0.0592341823	0.1382338298	-0.1618399826	0.036977204	-0.0131805522	0.1024083888	-0.0104579359	-0.0422398578	0.1835460174	-0.1402235662	-0.015092335	0.0622182731	0.0184880642	-0.0924965829	-0.105803585	0.0609112643	0.1504640993	-0.0969219775	-0.055969898	0.0307913947	-0.0957500642	-0.0372435848	-0.0549015646	0.0629463353	-0.0321375266	-0.0420402397	-0.0019525884	-0.0446044432	0.0389972343	0.0735058762	0.0823159691	-0.0292505376	-0.0456420737	-0.1362828185	0.0494783947	0.0546397598	-0.015958583	0.0933704792	-0.0182720877	0.107874482	0.013859516	-0.0510010898	0.1899326672	-0.0822249765	0.1115504654	-0.0872450868	0.1764898868	-0.1523340525	0.1052952396	-0.0691078619	0.0022557679	-0.0521608342	0.1266032754	-0.0886530113	0.0169746675	-0.1553265718	0.0940721313	-0.1708478617	0.1152143496	-0.1415610693	0.110838837	0.0266665764	-0.1448296519	0.0209790697	0.1692962249	-0.0015075271	-0.0075027804	-0.0429678565	-0.035416031	0.0691344863	-0.004811443	-0.0540749656	0.062221543	0.0035641845	0.0456354883	-0.0484460103	-0.0728100938	0.100649928	0.1202693125	0.0030245118	-0.0767856651	-0.0459013569	-0.0426764229	0.1352111351	0.0415490054	0.0533666391	-0.0298885526	0.012382272	-0.0317396982	0.0304525762	-0.0987909979	0.0559099976	-0.1510203368	-0.1156328983	0.0275604595	-0.0800404756	0.1136265398	-0.00214228	0.0228021726	-0.0865886691	0.1186303181	-0.127471411	0.0151484483	-0.0259415985	0.1973293696	-0.0879534793	0.1965295635	-0.1430136202	-0.04686928	0.1195153378	0.1194927693	0.1194551582	0.0340676	n/a	n/a	0.00116060136976	-0.0813093	n/a	0.00661120226649	n/a	0.0308374	n/a	0.00095094523876	n/a	-0.000424274	n/a	n/a	1.80008427076e-07	-0.000667338	n/a	4.453400062439999e-07	n/a	0.000829035	n/a	6.87299031225e-07	n/a	0.0	0.0	0.0	0.0	0.0
298.8658596747096	-0.6669483913140084	0.4448201566763436	89320.80207910322	305.16365988803483	-4.432296198872791	93124.8593162602	19.645249594542197	200.3585954652304	0.3329180955361153	40143.56677679984	0.1108344583353939	201.84692129355747	396.8966607950128	1.06131	29.440371	0.11490085	0.0621877	0.0930704125	0.0548228878	0.087594636	0.0764537855	0.0327038396	-0.1234478788	-0.1611224025	-0.113732387	0.1474471814	-0.0831707333	0.0190795403	-0.142929196	0.0537420965	0.0420352142	0.0232658367	0.0386713173	-0.0189257952	0.064626996	-0.2222643713	0.0286405741	0.0417413198	-0.0996951522	-0.1014673563	-0.0414013604	0.0304800084	-0.0219410329	-0.0011728077	0.0155367789	-0.117634485	0.2342666804	-0.0332157741	0.0604635167	0.0069189317	0.2574225199	0.0322234949	0.0926501302	0.015174871	-0.0170088532	0.0852559863	0.002298366	0.0288795322	-0.0672315639	0.1044439441	0.0224783191	-0.0232321185	0.1175725189	-0.0262673203	-0.1110743548	-0.0914276043	0.0553557418	0.0587248579	0.0114912468	0.1099512959	0.06910739	0.0462393956	0.0472360311	-0.0477834145	0.0875623761	0.0738801328	0.1103033936	-0.0159999978	-0.1191090902	-0.1294719771	0.0121501807	-0.0726194872	-0.0475690191	0.0078774142	0.0308339671	-0.1241563211	-0.1429814951	0.04431679	-0.0671753591	0.1615855611	-0.1439404365	-0.0334271663	-0.063790475	0.1113429476	-0.1737382529	0.2031597005	-0.031090524	-0.0644184272	-0.0062017249	0.0638709373	0.1530451966	-0.0280177712	0.0645536015	0.0235961397	-0.0372474742	-0.0436856638	-0.1432976687	0.0117174102	0.017747999	0.0749489385	-0.046372194	0.1308489261	0.018311815	-0.0265294116	0.0447018364	0.080025177	0.0584518697	-0.096065663	0.0005063843	-0.0785909639	0.1344250677	0.0454332027	-0.0395773246	-0.0718909746	0.0785328076	0.1354688476	0.0472089299	-0.1111247398	0.1196577064	-0.0708926698	-0.0285819606	0.0152481484	-0.1179452305	-0.0048248902	-0.0006774611	-0.102314667	0.0045319281	-0.0798583144	-0.1566805551	-0.063873899	-0.2243655783	0.0803919404	0.0646331751	-0.0469677351	0.0236993041	-0.0640055775	-0.0158884686	0.0445370421	-0.0087338995	-0.111956998	-0.0380907068	0.1739880717	-0.0873084205	0.0246235012	-0.042395308	-0.1904378084	0.1194551582	0.1192521267	0.1189139965	0.054468	0.0204004	0.0004161763201599	0.002966763024	-0.100884	-0.0195747	0.010177581456	0.00038316888009	-0.0224391	-0.0532765	0.00050351320881	0.00283838545225	-0.000225431	0.0001988429999999	3.953853864899999e-08	5.0819135761e-08	-0.000855636	-0.000188298	7.32112964496e-07	3.5456136804000014e-08	0.0008748789999999	4.58439999999e-05	7.654132646408251e-07	2.1016723359908313e-09	0.0	0.0	0.0	0.0	0.0
298.4028250450817	-0.4630346296278844	0.2144010682346321	89044.24599488566	302.2830251729775	-2.88063471505734	91375.02730772694	8.298056361593483	200.51399945896983	0.1554039937394407	40205.86397903176	0.0241504012701681	201.9011237003444	394.9450837929755	1.19489	33.145836	0.104858083	0.0569589	-0.1364073149	0.0314933137	0.0477906132	0.0238800317	0.0032557386	0.1064092114	0.0398663024	0.1050200592	0.1140986423	-0.0662557721	-0.0292739201	0.0816839004	-0.0285876331	-0.0433469938	0.0133481382	-0.0564817129	0.0229454878	-0.1734715903	-0.015705848	-0.0219611332	-0.0457689956	-0.0211134925	-0.0820464385	0.0988878217	0.0771523527	-0.0180002939	0.0263533295	-0.0703773034	-0.1610769118	0.1437333351	0.0148062115	0.0858661531	-0.025303764	-0.0683787685	0.0163303981	0.0814429168	0.0719062754	0.0839044049	0.0507436819	-0.0983628918	-0.0371993254	0.0352054855	-0.0024575389	0.0101033208	-0.0407644457	0.0602442876	0.0245023379	0.0342345423	-0.0597218135	0.0349050828	-0.0213387035	0.064831716	-0.0626854528	0.0589954819	-0.0152981082	-0.0179697304	0.0622731293	0.0791870733	0.1407954627	-0.0547451245	-0.0187610369	-0.0276314543	-0.0305818401	0.0696580375	0.0329549643	0.012935965	-0.0206127265	-0.0650126143	0.1718304467	-0.0499798319	0.0179183399	0.0356018055	-0.0061325594	0.0191120094	-0.1155248954	-0.0662304131	0.0516201914	-0.0645275699	0.1900785714	0.0332738634	-0.0604622412	0.1251547806	-0.0542682547	-0.0736840164	-0.0762474262	0.0209502319	0.0308759178	-0.0563844353	0.0065207691	-0.1102523698	0.0856162306	1.42031e-05	-0.0423099397	0.0066530558	-0.0207979621	-0.0257391387	-0.0440783086	-0.0125673248	0.0561292575	0.0757990994	-0.0570233059	-0.0026003571	0.0605111151	-0.018078107	-0.0107015858	0.0018365784	-0.0459005918	-0.0078811402	-0.1519977167	-0.0416637469	0.0025742125	0.1585832642	0.0433751092	0.0522395773	0.0155375654	0.0540612542	0.0850597554	0.0115597263	-0.0990226063	0.037473367	0.1586816643	0.0429178581	-0.1368567368	-0.1164034618	-0.0922870346	-0.0520155996	-0.0929364289	-0.0133729942	-0.0558891026	-0.0575975303	0.0022790825	0.0569813232	-0.0989232138	-0.1163396671	0.0266761376	-0.1651730372	0.0150841052	-0.0652799633	-0.0311491682	0.1193348294	0.1187713263	0.1178341246	0.0430725	-0.0113955	0.00012985742025	0.00185524025625	-0.0542137	0.0466703	0.00293912526769	0.00217811690209	0.000259133	0.022698233	6.7149911689e-08	0.0005152097813222	-0.000441242	-0.000215811	4.6574387721e-08	1.94694502564e-07	-0.000880103	-2.4467000000000025e-05	7.74581290609e-07	5.98634089000001e-10	0.000633276	-0.0002416029999999	4.01038492176e-07	5.837200960895168e-08	0.0	0.0	0.0	0.0	0.0
298.3284736235886	-0.0743514214931337	0.0055281338780496	88999.8781745802	301.90807766684964	-0.3749475061278531	91148.48736049252	0.1405856323514964	200.5283144033884	0.0143149444185723	40211.60487746419	0.0002049176337068	201.95947432511025	395.2453254410446	1.121261	31.103403	0.115324017	0.0653742	0.0359882075	0.1144095649	-0.0163297202	0.0164579623	0.0148914761	-0.0493445032	0.0933922937	-0.1571392861	-0.0363470043	0.0378246553	-0.0218761521	-0.0181588758	-0.1347898389	-0.0762742899	0.0463802287	-0.0451665214	-0.0349302658	0.1335587655	0.0909288135	-0.0961720186	0.0839163253	-0.0476255623	0.0615023609	-0.0061036809	0.0321080622	0.0781461261	-0.029850575	-0.0406007374	-0.1462088392	0.0926604957	0.0071494194	0.1603784172	0.0150547746	-0.0803578088	-0.0740303128	-0.0076961246	0.0341962643	0.0055910376	-0.0647945291	0.1463791536	-0.1391257274	0.0395291242	-0.0525808841	0.0147983035	0.1150836608	-0.0019079664	0.0308356366	-0.0700136724	0.0624064155	0.1747160087	-0.0791762749	0.0445098857	-0.1053521744	0.0340822278	0.0356194584	0.0933113687	-0.1581551236	-0.1186521375	0.0492769879	0.0271538032	-0.1140314325	0.1482504918	-0.0460142475	-0.1234369589	-0.0174208107	-0.0205853581	0.0691163415	-0.0230395176	-0.0824259639	0.1786702727	0.0344320493	-0.0439814055	0.0641932727	0.0205732094	0.057188452	-0.0310581101	0.1036673057	0.0172299092	0.1050204738	0.0325769409	0.0066918018	0.0935757182	-0.0595978959	-0.0453701014	-0.1194073988	0.0263541398	-0.0260334626	-0.0984833917	0.0043403859	0.0921335553	-0.0257104197	-0.1541341896	0.0156806319	0.0904206547	-0.1040715324	0.0071483377	0.0832154547	0.0479912945	-0.0739797084	-0.0247360646	-0.1245911367	-0.0130541534	0.1232584939	0.0129696715	0.167807067	0.1162731795	-0.0593520232	0.1013183637	0.1726004478	-0.0395468203	0.1237083925	0.0054857097	-0.0424029198	-0.1259766454	0.0209001909	0.0067078469	-0.0879317556	0.0561028816	-0.0144375989	-0.0566501159	-0.1156698279	0.0308719766	-0.1060369628	-0.0767008211	-0.0367539325	-0.1589345682	0.0169440665	0.0927549993	0.0084463111	-0.063097365	0.0507974899	-0.0628489336	-0.0152003881	-0.0125093665	0.0814465097	-0.0288481145	-0.0655971334	-0.0215775021	-0.043635567	0.1191544118	0.1180513362	0.1162204348	0.0247134	-0.0183591	0.00033705655281	0.00061075213956	-0.112182	-0.0579683	0.012584801124	0.00336032380489	0.0166991	0.016439967	0.00027885994081	0.000270272514961	-0.000254269	0.000186973	3.4958902729e-08	6.4652724361e-08	-0.000714456	0.000165647	5.10447375936e-07	2.7438928609e-08	0.000534763	-9.851300000000004e-05	2.85971466169e-07	9.704811169000011e-09	0.0	0.0	0.0	0.0	0.0
298.6455087412059	0.3170351176173085	0.1005112658026206	89189.13989129369	302.3321138304943	0.4240361636446437	91404.70705321497	0.179806668078467	200.6097933294945	0.0814789261060866	40244.28917970249	0.0066388153994011	202.05072238190456	393.5505097118458	1.080201	29.964411	0.0744064499999999	0.0412784	0.0212039511	0.0139317471	0.1184400353	0.0421912214	-0.0088551971	-0.0343552756	-0.1733883559	0.0260623385	0.0429589577	0.0300554168	0.023443279	-0.0837711121	-0.0512083433	0.0737122934	0.0786548479	-0.0279642886	0.0601196472	-0.0014113439	-0.1585555335	0.079872795	0.004941178	-0.0570839329	-0.0381416287	-0.0587574433	0.0049857809	0.10192046	-0.0415613501	-0.0785981712	-0.0836901842	0.0411808348	-0.131948353	-0.0358872754	-0.0299442614	0.0131104365	0.0005063056	-0.0315073605	0.0354530012	-0.1040040562	-0.1533989475	0.0318715334	-0.0258471752	-0.087600138	-0.0708283951	0.154701982	0.0475049765	-0.0946210147	-0.1204314139	0.0368513644	-0.0613059684	-0.0492434998	-0.081913117	-0.0240766114	0.0907914566	-0.0397066119	-0.0516252205	0.0006760829	-0.0193386818	0.003513353	0.0456115483	0.0837269838	-0.1297755225	0.0859769494	-0.0449253016	-0.1613253194	0.0228357537	-0.0685851342	-0.0117174763	-0.0815348389	-0.0598666848	-0.1439047603	-0.0171806975	-0.0362848587	0.0876780219	-0.081649306	0.0097545856	-0.0099901409	0.1126330313	0.0118211547	0.0193811723	0.005679946	-0.0979215728	-0.0271803697	-0.1464309031	-0.012966977	0.053701356	0.0658713898	-0.072321219	0.0262794672	-0.0588596815	0.1248281927	0.0345011506	0.0713927337	0.1653103397	-0.102212472	-0.1111478711	0.0402465703	0.078420929	0.0736955555	-0.0047732654	0.0295905685	0.0755593397	-0.0074562133	0.0326848391	0.0891022711	0.0765450879	-0.1461895065	-0.0055857008	0.1403732311	0.0977784191	-0.0137547305	0.0541487024	-0.0215968718	0.0474027466	-0.0354173515	0.0179593521	-0.0849437423	0.0611657531	0.0140463434	-0.0778006277	-0.0193189964	0.0092418154	-0.1599899768	-0.0557598057	-0.127910023	0.0492594257	0.095675557	0.0595813674	0.0630650813	0.0077522083	0.0163888763	0.0214659656	0.0451118442	-0.1340673795	-0.0321097978	0.0494740157	-0.0785398492	-0.0266218564	-0.0337055651	-0.1613534541	0.1189139965	0.1170936064	0.1140802373	0.0414637	0.0167503	0.0002805725500899	0.0017192384176899	-0.0901983	0.0219837	0.0081357333228899	0.00048328306569	-0.013668	-0.0303671	0.000186814224	0.00092216076241	-0.000160994	9.3275e-05	8.700225625000001e-09	2.5919068036e-08	-0.000713533	9.230000000000044e-07	5.09129342089e-07	8.519290000000084e-13	0.000546672	1.1909000000000051e-05	2.98850275584e-07	1.4182428100000123e-10	0.0	0.0	0.0	0.0	0.0
298.2328947960468	-0.4126139451590802	0.1702502677397404	88942.85953842993	301.5859312224634	-0.7461826080308924	90954.07391132042	0.5567884845277844	200.3228929664614	-0.2869003630330837	40129.26144645236	0.0823118183085152	201.69858942101675	396.5702223933544	1.048706	29.09074	0.1057684549999999	0.0506328	-0.077291096	0.0631258549	-0.0042266165	-0.0214629699	0.0151919891	0.0537425051	0.0875585671	0.088170139	0.0340598319	-0.0514185933	-0.1141854777	0.1316292219	-0.0031803408	0.0143769088	-0.0147183608	-0.0239771224	0.0010164886	-0.1357572536	0.0389803138	-0.1413842704	-0.0015875276	0.0156471524	0.0089095334	-0.0330411311	0.0976279208	-0.0376957568	0.008251882	0.1507070358	-0.1418021029	0.0421406014	-0.0215141963	-0.0639853974	0.0313694819	-0.2109493306	0.0165393018	0.1063581694	-0.0833554214	-0.0236227812	0.0429301144	-0.0552856152	0.0367532761	0.0311018051	-0.0044110028	0.0361949548	-0.168609607	0.0393575993	-0.1705393072	0.050205021	-0.0527867494	0.0123218048	0.1183411737	0.0309277595	0.0295140429	-0.0202920035	0.0223977943	-0.0473747668	0.0940343439	-0.131668121	-0.0869296567	-0.0640800775	0.167610231	0.0420557838	0.0609826529	0.0954926458	-0.0157755931	0.022650678	-0.0140225808	-0.0123216152	0.1629053027	0.0588161267	0.0858369142	0.0193792433	0.0101707441	-0.00133749	-0.0169963857	-0.1270282647	-0.0419296431	-0.0222639159	0.0434971381	-0.0265682381	0.1547966901	0.1147504458	-0.1993547406	-0.0838610694	-0.0013641425	-0.0153577182	0.1088694086	0.0573698044	0.0598330331	-0.027785456	0.0016357494	0.0210645901	0.0679391051	-0.1745445003	0.0084644032	0.0559097468	-0.1989878805	0.0191566873	-0.0190355846	0.0638815665	-0.100366724	0.038687213	-0.0978655254	-0.0510453685	-0.1621866199	0.0779324177	0.0475482704	-0.1520527234	-0.0519799686	-0.0098540005	-0.0464008763	-0.1070528797	-0.0800869588	0.0388588939	-0.1309601626	0.0675006706	0.0024888318	0.0215683534	-0.108011303	0.1199136886	0.0327016897	0.1269303397	-0.0715200649	-0.0952065709	-0.125565461	0.0480733664	-0.0310596529	-0.0744855383	0.0184329273	-0.0831887746	0.0079869489	-0.0302644446	-0.0251520898	-0.0324368244	0.053080644	-0.0592640004	-0.0182127677	0.0020987952	0.0872203053	0.1186137044	0.1159000657	0.1114232278	0.0563061	0.0148423999999999	0.0002202968377599	0.00317037689721	-0.0659107	0.0242875999999999	0.00434422037449	0.0005898875137599	0.0252242	0.0388922	0.0006362602656399	0.00151260322084	7.61771e-05	0.0002371711	5.6250130675210004e-08	5.8029505644100015e-09	-0.0007691659999999	-5.563299999989996e-05	5.916163355558461e-07	3.0950306889888687e-09	0.000808793	0.000262121	6.541461168490001e-07	6.870741864100002e-08	0.0	0.0	0.0	0.0	0.0
297.8100156637671	-0.4228791322797178	0.1788267605176471	88690.8054296532	301.43090558543645	-0.155025637026938	90860.5908420563	0.0240329481356079	200.31823876512348	-0.004654201337928	40127.39678196102	2.166159009397119e-05	201.7747989280332	391.2080078855184	0.985639	27.341303	0.115915855	0.0731503	0.0500700359	0.0245766083	-0.0264829711	-0.0158409147	-0.0292800003	-0.0595918847	-0.0276818939	-0.0987373045	-0.1003326332	-0.0065645742	-0.1133178605	0.0495101698	-0.1408010447	-0.0410353891	0.0391134956	0.0282772311	-0.0526739308	0.1549002682	-0.0243466966	-0.1048265215	0.0832708018	0.1367378244	0.0658393103	0.1371640529	0.0812923813	0.0334707113	0.0996086591	0.1198150548	0.0336458494	0.0017873044	0.0871420581	-0.1380944277	0.1021244343	-0.0167793982	0.0116270578	0.0981517396	-0.0954631054	-0.0880137929	0.1268392071	0.0374008492	-0.0063346915	-0.0103345132	0.0153970594	0.0112088483	0.1043876099	-0.0037292431	0.0558540862	-0.0415374411	0.1072607467	0.1928014102	-0.0031227283	-0.0329189908	-0.0433211565	-0.1429099066	0.0375447915	0.0343940407	0.0120100116	0.015630388	-0.0964337511	0.110158034	-0.1030740377	0.0046698215	0.1113738543	0.0133256224	-0.0260639234	-0.0287026195	0.0572205715	0.0217088061	-0.1368664924	0.0762889051	0.1266966077	-0.0487748568	-0.0905246939	0.1181525771	0.0062591166	-0.1088021246	-0.0258813799	0.0558594264	0.0477127342	-0.0628978814	0.1335138868	0.0113585761	0.0615902354	0.1224838255	0.0941684249	-0.0468608314	0.1852151743	0.0905968662	0.1132569337	-0.0257409095	-0.0913570836	-0.0223958117	0.0097979182	0.0366158462	0.0116947009	-0.0702204887	0.09476153	-0.0110584323	0.03586658	-0.077738761	-0.1411149449	-0.0087845852	0.0239378947	-0.0543466627	0.0934892124	0.031597912	0.1902497806	-0.0011380981	0.0425439424	0.0899892025	-0.0053552468	-0.0264458932	0.0584912039	-0.1213806637	-0.0040623082	-0.0311138565	-0.0711446758	-0.0032557689	-0.0988110373	-0.0670545525	-0.1613760994	-0.0055865556	-0.0505690469	-0.0064932427	-0.1525076243	-0.0227411308	0.0372137456	0.0247894933	-0.0500688083	0.0381387398	0.0015187676	-0.0146425696	0.0568618413	0.1224388572	-0.0417146845	-0.0427513566	-0.0433573868	0.0799603862	-0.0015447523	0.1182536866	0.1144731177	0.1082614433	0.0592536	0.0029474999999999	8.687756249999992e-06	0.0035109891129599	-0.137155	-0.0712443	0.018811494025	0.00507575028249	0.0133236	-0.0119005999999999	0.0001775183169599	0.0001416242803599	-0.000165692	-0.0002418691	5.850066153481e-08	2.7453838864e-08	-0.000590083	0.0001790829999998	3.481979468890001e-07	3.207072088896416e-08	0.000633276	-0.000175517	4.01038492176e-07	3.080621728900001e-08	0.0	0.0	0.0	0.0	0.0
297.55372980184995	-0.2562858619171493	0.0656824430186161	88538.22211899233	300.96450959284283	-0.4663959925936183	90579.6360344604	0.2175252219073864	200.1306520736921	-0.1875866914313917	40052.27789944119	0.0351887668021761	201.5576789811276	388.10479417189066	1.029166	28.548719	0.1093778999999999	0.0780711999999999	0.0455966395	-0.0782988141	0.0637827042	-0.0249643282	-0.025113761	-0.0295721025	-0.0972809465	0.1313359194	-0.0327367296	0.0620335167	0.0933548386	-0.1191004992	-0.0879089001	0.0315754302	-0.0024276623	0.0706329277	0.0176029453	-0.0287274489	-0.1703475362	0.0699846309	-0.0183587632	-0.0153567294	0.0743835197	-0.1205685094	-0.0688606405	0.1340123687	-0.0071880299	0.0797304029	-0.0054851888	-0.0331640419	-0.1221823753	-0.1029579015	-0.0464863482	-0.0978366901	0.0913277866	-0.0686299817	-0.0457803472	0.1751037501	0.0224605784	0.0097813805	0.0872151617	-0.0504187308	0.0259125162	0.0167582586	-0.1192307375	-0.0472044315	-0.0215245063	0.1918671181	0.0305709664	-0.043030935	0.0286992591	-0.0359581226	-0.0439138184	0.0002348833	0.0853802535	-0.0723151044	0.0484633518	-0.0013609015	-0.0134685816	-0.0579356441	0.0845880997	-0.0116185192	0.0313938227	0.1000960075	-0.0526581147	-0.0197918868	-0.0396353134	0.0332262136	-0.0419076311	-0.190682655	0.0019801135	0.0103742303	0.0335036003	-0.026573903	0.1044253318	0.0343641648	0.0653013392	0.0865160873	-0.0614812134	-0.0790818808	0.04550116	-0.0417377788	-0.2033188614	-0.0602332035	0.0423451407	-0.0229903232	-0.0672739328	0.0723127173	-0.0840155729	-0.098248128	-0.0273107044	-0.0104788151	-0.0310314546	-0.1218108567	0.03023117	0.006072228	-0.0500841175	-0.1546157496	0.0663769458	-0.0171802234	0.1230307001	0.0047145032	0.0221240234	-0.0592397359	0.0143247599	0.0458691259	0.022918197	-0.060396942	-0.1366416168	-0.0318077583	-0.0603994035	-0.0844261217	-0.100104412	-0.0105671896	-0.0351888289	-0.072871909	0.0554823734	-0.034601083	-0.0609016986	0.1090558109	0.0106211757	-0.1340181025	0.0536847761	-0.0189767133	0.0009037515	-0.0135820731	0.1098940736	0.1332359176	-0.0349220912	0.0106676653	-0.0003591393	0.0281471374	0.0478790791	-0.0281143613	-0.0385029425	-0.1434616616	0.0078206627	0.0660210109	0.0342372374	0.1178341246	0.112815636	0.1046092073	0.0542318	-0.0050218	2.521847524e-05	0.0029410881312399	-0.061885	0.07527	0.003829753225	0.0056655729	0.0175303	0.0042066999999999	0.0003073114180899	1.7696324889999992e-05	-0.000376521	-0.000210829	4.4448867241e-08	1.41768063441e-07	-0.000468533	0.00012155	2.19523172089e-07	1.4774402500000013e-08	0.000468067	-0.0001652089999999	2.1908671648900002e-07	2.7294013680999998e-08	0.0	0.0	0.0	0.0	0.0
