global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13
307.1294794992845	n/a	94328.51717750145	n/a	314.66101088019104	n/a	n/a	99011.5517681437	214.4689286306252	n/a	n/a	45996.9213479682	214.29741713063265	414.8478121934158	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-2.70758e-05	n/a	7.330989456399998e-10	n/a	-0.0940824	n/a	n/a	0.00885149798976	0.035078	n/a	n/a	0.0012304660839999	-0.00207736	n/a	n/a	4.3154245696e-06	0.00132368	n/a	1.7521287424e-06	n/a	-7.87476e-05	n/a	n/a	6.20118450576e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
305.277840748948	-1.8516387503365197	93194.56005234004	3.4285660617477878	307.9137072724265	-6.747303607764536	45.52610597535232	94810.85112624956	214.34789486141327	-0.1210337692118628	0.0146491732896304	45945.0200315195	214.11408559382883	404.60495595826256	1.184358	29.186356	0.08830747171	0.0486942	-0.0075017799	-0.0473782674	0.0374901842	-0.1025280869	0.0426557247	-0.0860702425	0.0170566387	-0.0475516902	0.0178696238	-0.1406786524	0.1361450094	-0.0706133252	0.1362161648	-0.0030423058	0.0642874769	0.0096557861	-0.0407370522	0.0536511522	-0.0975227203	-0.0481196083	0.0757737688	-0.2188197962	0.0706186149	-0.0061273552	0.0033762955	-0.1230973726	-0.1404523552	0.1104126925	-0.0872639363	0.0535024611	-0.0658993311	0.0482060079	-0.043989982	0.0765817203	-0.104218163	0.0323584751	-0.1527014405	0.0051940886	-0.0362610047	0.0741840799	-0.030205798	-0.0053230306	0.0725835178	-0.0159079482	-0.071662214	0.076410771	0.0801245102	-0.0983399767	0.0026484396	0.0920713857	0.0688359171	-0.0699560812	-0.0370600663	-0.0381247166	-0.0478306443	0.1662227045	0.1003894929	-0.100975401	-0.0153037675	-0.0044658618	0.0591878854	0.0017603583	-0.0387386229	0.0404099693	-0.0960272805	0.0888595762	-0.0511972426	0.2061430399	-0.0959433678	0.0395773192	-0.0438469602	0.027839139	-0.2124464084	0.0619427032	0.0191752434	-0.028715557	0.0057139304	-0.0726350859	0.1072297082	-0.0880798677	0.0613721016	-0.011291284	0.0430717236	-0.03756734	0.0578283884	-0.0419278347	0.0650215318	-0.0883051879	0.0114049892	-0.0753669991	-0.0058582224	-0.0764180092	0.1545306862	0.0225468205	-0.1250473589	0.0900499191	0.016557341	0.0348723264	-0.0179870319	-0.0826828715	-0.0202088027	0.114486991	0.066842508	-0.1305606928	-0.0574754182	-0.0130615825	-0.006212579	-0.0383592195	-0.0651994209	0.023207131	-0.0433124018	0.1536083703	-0.0246129043	0.1282821892	0.0014470594	-0.0149720831	0.0263495068	-0.0462936568	0.1186915158	-0.037764499	0.0942346651	-0.0805425004	0.019307465	-0.1597329367	0.013652411	0.1169027455	-0.1460244367	0.1269806413	-0.0998877431	-0.0077759454	0.1193082078	0.1199443696	0.119921393	0.1198831019	0.0	-8.38409e-06	1.869171e-05	7.029296512809999e-11	3.493800227241e-10	-0.0674334	0.0266489999999999	0.0007101692009999	0.00454726343556	0.0682929	0.0332149	0.00110322958201	0.00466392019041	-0.00237241	-0.00029505	8.705450250000016e-08	5.628329208100001e-06	0.00112898	-0.0001947	1.2745958404e-06	3.7908090000000046e-08	0.0	7.87476e-05	6.20118450576e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
304.7052840313904	-0.5725567175575748	92845.3101166503	0.3278211948203044	306.03014275619574	-1.8835645162307628	3.5478152868036275	93654.44827537757	214.1134591994848	-0.2344356619285292	0.0549600795838676	45844.57341036944	213.85356748436257	399.0389992945617	1.066099	26.272066	0.07203511591	0.0417184	0.0054208103	0.1040714639	0.0141376534	-0.0723437499	-0.0444619968	0.07164532	0.0615504962	-0.0007013192	-0.0068513465	-0.0462870747	0.0017644899	-0.1166961801	0.0554888572	-0.1916539138	0.1315719753	0.0069269703	0.128713501	-0.0049060362	-0.0741454135	-0.0174696135	0.0681332091	-0.085558397	0.0581249465	0.0917533217	0.016108271	-0.1267259763	-0.0748231366	-0.1318629083	0.0441885376	0.0552262384	-0.0048400252	-0.0850180109	-0.0801672872	0.1755475823	-0.0143783419	-0.08285155	0.0724869071	0.0297053575	-0.0117858289	-0.0362378845	-0.0666484977	-0.1757912722	0.0891036148	0.0198293541	-0.0401918053	0.0080651661	0.0774580396	-0.0028977185	0.1059645184	-0.0465026604	-0.1501985173	-0.1320242795	-0.0979520342	-0.0137666773	-0.0376076098	-0.1014111703	-0.1507611118	0.0674799983	0.0515958103	0.0350310867	-0.1589252608	0.0046638293	0.1339651398	-0.0101644022	-0.0478314607	0.0253161373	-0.0571707463	0.0789492313	-0.054710935	0.1170213865	0.1742553953	0.1085493954	-0.0403799306	-0.0953900556	0.0527142844	0.0175318182	-0.0161181607	0.0389030892	0.0392485256	-0.0949145502	0.0072149595	-0.0786097981	0.1219686583	0.0218649978	-0.0171258419	0.1578592788	0.1299675745	-0.0316506069	-0.0291333106	-0.0724749964	0.0439431255	0.0919445086	0.0645755404	0.0026411826	-0.01517565	-0.1584960024	-0.0764519589	-0.1669799224	-0.0261390899	-0.0544366951	-0.0845098787	-0.1288529074	-0.0639523054	0.0594042891	-0.0346829285	0.0665799523	0.0308950418	-0.0140256629	0.0586754514	0.0990899443	0.0210427196	0.1399126626	0.0223980733	0.128864629	0.0086686573	0.0213256753	0.080691074	0.0605901888	-0.0836129161	-0.026240357	0.0585133985	-0.071175641	0.1846227975	0.1267787116	0.0901403653	-0.1245227795	-0.1582249822	-0.028202601	-0.0297466966	-0.0102217507	0.0274598527	0.1198831019	0.1196764004	0.119332162	0.0	-0.0104159	-0.01040751591	0.00010849097281	0.0001083163874169	-0.102064	-0.0346306	0.0011992784563599	0.010417060096	0.0732823999999999	0.0049894999999998	2.489511024999897e-05	0.0053703101497599	-0.00205136	0.00032105	1.0307310250000017e-07	4.208077849599999e-06	0.00100988	-0.0001191	1.0198576143999998e-06	1.4184810000000005e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
304.5026823904634	-0.2026016409270141	92721.88358298744	0.0410474249063187	304.113354464372	-1.916788291823764	3.674077355672662	92484.93236357276	213.67585751984103	-0.4376016796437625	0.1914952300270421	45657.37208683941	213.3983600567738	396.6456541688211	1.003495	24.729319	0.12229285	0.0786834	-0.0573133332	0.0122485113	-0.0788702071	-0.104174295	0.0494325954	0.0487243788	-0.0727583888	0.031631581	-0.0286466038	-0.0094737732	0.0111601516	-0.1447670503	-0.0214066832	-0.0092533138	-0.0558407058	-0.0665743018	0.0586625372	0.0011254944	0.1152299881	-0.1315872305	-0.012348164	-0.0481222418	-0.053429376	0.1248868315	0.0096577022	0.0537715684	0.0167637422	0.1249531077	0.033028989	-0.1478106755	-0.022594238	0.0573224304	-0.0542759078	0.1329621048	0.0240542092	-0.0256352375	-0.0046533337	-0.0696639464	0.0589027621	0.0390366089	0.1256981951	-0.0371596423	0.1089519415	0.0559867834	0.0870997577	-0.0203654996	0.084996842	0.1200631717	0.0137097804	-0.0514550664	0.0890467396	0.1001674898	0.0427524855	-0.0941768863	0.1037739261	0.0610795431	-0.1937838547	0.0780251986	0.0922890424	0.0238700859	0.0516305494	-0.0619366458	0.0407833205	0.0005614226	0.1367944393	0.125615447	0.0166635568	0.0412640741	0.0773394322	0.0865900588	-0.0025141212	-0.0580434959	0.0629065514	0.0882678774	-0.0697806417	-0.0628398928	0.0037576575	-0.1163884906	0.0187987872	0.0104902393	-0.0415196607	-0.1332973093	0.084632167	0.0149556371	0.023695729	0.0440113511	-0.0805736022	-0.0651199756	0.1188307776	-0.0307451611	0.1112622561	0.0705790954	0.0032420162	-0.0136307763	0.2096839414	0.112569672	0.0775664056	0.0725028181	0.00879128	0.0323518434	0.0127487519	-0.1197879346	-0.1451278692	-0.0668894066	-0.1426694526	0.0531765266	-0.0196215236	-0.0288971461	0.0746819359	0.0066569506	-0.068316894	0.1280650042	-0.0095543214	0.0594777999	0.0082225934	0.0732246284	-0.0328150886	0.0766351969	0.0571585768	0.0837671562	-0.052385769	-0.0638646339	0.0458832518	-0.0863229743	0.0286835387	-0.0120807774	-0.0509585423	0.0181391373	0.1027522152	0.0505900272	-0.0406439967	0.1197605978	0.1191869159	0.1182328141	0.0	-0.0133252	-0.0029093	0.00017756095504	8.46402649e-06	-0.0299365	0.0721275	0.0052023762562499	0.00089619403225	0.0561745	-0.0171078999999998	0.0002926802424099	0.00315557445025	-0.00242963	-0.00037827	1.430881929e-07	5.903101936899999e-06	0.000785187	-0.0002246929999999	6.16518624969e-07	5.048694424899994e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
304.9464748522911	0.4437924618276838	92992.352524839	0.1969517491750762	305.0487592204197	0.935404756047717	0.8749820576366889	93054.7455019176	213.74576947585047	0.0699119560094914	0.004887681593073	45687.25396882343	213.46481868283297	401.7736495425624	1.061525	26.159361	0.0299697	0.0152881	0.0075143208	-0.0958870198	0.0311301556	-0.1325576066	0.0773688406	-0.1210845021	0.0292307057	0.0747741163	-0.0172651942	-0.0754586212	0.0824441781	0.0445442915	0.0476898749	-0.0182060543	0.0544930972	-0.0811923055	-0.0467987839	-0.073959961	-0.0489350347	-0.1173010402	0.0190829689	-0.0460163402	-0.0368226752	-0.0491815007	-0.0465175019	0.1611099732	-0.0530385841	-0.1419869136	0.0173562446	0.1231209691	-0.0408685942	-0.1434062029	0.0166783546	0.0614624515	0.0031281763	-0.1344280717	-0.13754172	-0.0456359865	0.0382599376	0.0586729866	-0.0109441062	0.0025279388	0.1909976952	0.1538549816	0.029474228	0.1081636954	0.0572717542	-0.0316539831	0.019935782	0.0119146505	0.0727651836	0.0112097056	-0.0150632838	0.0946076041	0.1434247189	0.0237486432	-0.0544127477	-0.0125306556	0.0661143719	-0.0485185924	0.1090977021	-0.0741661485	-0.0650225049	-0.0845736581	-0.0258175036	0.1255981128	-0.0281894197	0.0298506046	0.0294352293	-0.0770269372	-0.0221268292	-0.0390323177	0.0523668614	-0.2627593695	0.0408943781	-0.0652107773	0.0640964346	0.0904136497	0.0048985876	-0.1082595889	0.0792648302	-0.0795456667	-0.0536182035	-0.0567519108	0.0802920766	0.0618718789	0.0497455838	-0.1209537405	0.0698163437	-0.0333202358	0.1839472783	-0.0244626393	0.1131638987	0.0675337382	-0.0329498925	0.0281692161	0.0897050539	-0.0023320316	0.0270073292	-0.0734839963	0.1212977285	-0.1132652598	0.0760278001	-0.0032363445	-0.0773256452	0.0393965326	-0.0431100993	-0.0366278152	-0.0961270383	-0.0006682205	-0.0743827463	0.1508167891	-0.0030537217	0.0571881636	0.0307350246	0.0541217641	0.010076119	-0.0770471385	0.0972965771	-0.0766204009	0.0439497503	0.031983031	0.0634105216	0.086900388	-0.077058045	0.0684780774	-0.192395728	0.0240027046	0.0141641599	-0.0156880152	0.0520524584	0.1195769199	0.1184539393	0.1165901104	0.0	-0.0155901	-0.0022649	0.00024305121801	5.129772010000001e-06	-0.0358604	-0.0059238999999999	3.509259120999999e-05	0.00128596828816	0.0680574	0.0118829	0.00014120331241	0.00463180969476	-0.00234433	8.529999999999996e-05	7.276089999999993e-09	5.4958831489e-06	0.000672527	-0.00011266	4.5229256572900004e-07	1.26922756e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
305.1470461653781	0.2005713130869821	93114.71978345538	0.0402288516334362	305.56862837666864	0.5198691562489444	0.2702639396189893	93372.18664799862	213.8809800814766	0.1352106056260709	0.0182819078737688	45745.07364061299	213.6480181032659	401.62301612579296	1.29457	31.902325	0.0751810499999999	0.0500476	0.0312345961	0.1523360449	0.0373690034	-0.0522139395	-0.0907319613	0.0473893273	0.1048781857	0.0085740268	0.0711707989	0.012977576	0.0650638909	-0.159085443	0.0098596087	-0.0260576991	-0.1213652087	0.0035760092	0.1260995342	-0.0781579238	0.0304890233	-0.056472646	0.0031043279	0.0641773949	0.0825440701	0.1108453685	-0.0171225448	0.0191807731	0.1005356086	-0.0312577458	0.1627306965	-0.0822376071	0.0184592775	0.0211108281	0.0738837049	0.0009366219	0.1096312934	0.044495136	0.107769933	0.0357774069	0.0263954282	0.0590837012	0.0596013873	0.0334204058	0.0337543989	-0.206694794	-0.0483087458	-0.0036275909	0.0864669375	-0.049094618	0.0868949391	-0.1665894848	0.1212738616	-0.0502983269	0.0018956166	-0.0366552846	-0.0305303527	-0.0272220957	0.0694847769	-0.0631686971	-0.0690525335	-0.1443394965	0.1447205664	0.0027999244	0.1177370465	-0.0819444477	0.0260044887	0.0376259483	-0.0027994511	-0.0791968323	-0.0463339147	0.1024970136	0.0606144639	-0.0291968125	0.1498464932	0.041610134	0.0006243215	-0.1293726894	-0.0367378884	0.0244307994	-0.0806547674	0.0490896334	-0.0407774429	-0.0620889705	-0.0568911867	0.0475991421	0.0016088168	-0.1301190788	-0.1085365999	0.0330075243	0.0503084106	-0.1556777574	-0.1802959952	0.1312004956	0.11692336	0.0162754053	0.0599838255	-0.0089899661	0.1666912399	-0.0291927187	-0.0798505998	-0.0319391466	-0.0226308016	0.0028060486	0.1189336541	-0.0529688652	0.0180836626	-0.1217335875	0.0180837097	-0.0005291341	0.0609842795	0.1166280725	0.0446075636	0.1272224875	0.0464797822	0.0754682903	-0.0197666438	0.0398569751	0.0382185189	0.0742573867	-0.0501297414	0.0752647793	-0.0702194699	-0.0391394553	0.0461003176	-0.0684631959	0.0734585351	-0.0709910534	-0.0511367701	-0.0685837851	0.2532382409	-0.0571436058	0.0323833233	0.119332162	0.1174789681	0.1144116002	0.0	-0.0119921	0.003598	0.00014381046241	1.2945604000000005e-05	-0.0809021999999999	-0.0450417999999998	0.0020287637472399	0.0065451659648399	0.0585036	-0.0095538	9.127509444000002e-05	0.00342267121296	-0.0020627	0.0002816299999999	7.931545689999984e-08	4.254731290000001e-06	0.000730646	5.811900000000003e-05	5.338435773160001e-07	3.3778181610000038e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
304.8791926821824	-0.2678534831956654	92951.32213053932	0.0717454884600505	305.8316495660189	0.2630211893502405	0.069180146047215	93532.99787627216	214.1976430537601	0.3166629722834955	0.1002754380154178	45880.630289786015	213.9054680771134	396.73612962903513	1.180774	29.098024	0.0803964499999999	0.0556135	-0.0792424151	0.0355747981	-0.0973336222	-0.1060812487	0.0322012053	0.0678228062	-0.0766868282	-0.036650693	0.0867984459	-0.0312192012	0.1428646715	-0.0693646886	0.0020767223	0.183721383	0.1637312034	-0.0084299383	0.0541399814	0.0985869408	0.0277742817	-0.1002280712	0.0573974297	-0.1322081273	0.120574512	0.0766336267	0.0344949452	0.0679125673	-0.0737043032	-0.0530605715	-0.116132594	0.0126866411	-0.1501578681	-0.0304582671	-0.0908520794	-0.0358853269	-0.0133810037	-0.0226819295	0.0100603924	0.0180060301	-0.1262397424	-0.0548780936	-0.0565429348	0.143107521	-0.039031312	-0.0855813732	-0.0631297534	-0.140904783	-0.0459294012	0.0151629825	-0.1129013973	0.0113891791	-0.0439927195	0.0519117839	-0.0202502082	-0.1309054699	-0.0955847002	-0.0318989922	0.0265306654	0.0298809297	-0.1666197869	0.0643859037	0.1344311852	-0.0152605744	0.0473904539	0.1007017358	0.0364019945	0.1034261243	-0.0542825628	0.1101931025	-0.0825278242	0.123393949	-0.0551053893	0.0159996556	-0.0311568357	-0.15318777	0.0424973219	-0.0258679045	0.1204844804	-0.0666389987	0.1359233123	-0.0354488607	0.0066920992	0.0224967269	-0.0406205281	0.0043163614	-0.0276199714	-0.0872158457	0.037285691	0.0887805902	0.0059981643	0.1418078696	-0.160778283	0.0184392756	-0.0038019614	-0.0322727541	0.0282010203	0.0720671595	-0.110759283	0.0042987522	0.0510907677	0.029800944	-0.1394888945	0.0662402189	-0.1089228536	-0.013397314	0.1108765214	-0.1118553229	-0.0827451113	-0.0509206022	0.0966034349	0.0247129877	-0.0722884968	0.135361554	-0.0184525591	0.0570424072	0.0482412078	0.0955619623	0.027840563	-0.0528063137	0.0938534193	-0.0172860739	0.0959846429	-0.1010968054	-0.0205574076	0.1054216508	-0.063951894	0.0013212037	-0.0009397382	0.1067767204	0.1179188816	0.0653913309	-0.1696272862	0.1190264491	0.1162639941	0.1117072952	0.0	-0.0127266	-0.0007344999999999	0.0001619663475599	5.394902499999986e-07	-0.0295556	0.0513465999999998	0.0026364733315599	0.00087353349136	0.0767039999999999	0.0182003999999998	0.0003312545601599	0.0058835036159999	-0.00215301	-9.03099999999997e-05	8.155896099999946e-09	4.6354520601e-06	0.000618657	-0.000111989	3.82736483649e-07	1.2541536121000012e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
304.5658982713904	-0.3132944107920252	92760.38638985892	0.0981533878335222	304.7422842082677	-1.0893653577512057	1.1867168826684118	92867.8597844726	214.0219429900974	-0.1757000636627026	0.0308705123710777	45805.3920812565	213.7348240868595	399.68218395017806	1.045223	25.757624	0.042541	0.0340162	-0.039272101	-0.0586651947	0.0260443278	-0.1293893119	0.0880846257	-0.0895590807	9.17954e-05	0.0502381531	-0.015926666	0.0791784902	0.018164255	-0.2039646656	-0.0147048762	-0.0008015536	-0.0329723231	-0.0457514697	-0.0454214134	0.0230944687	0.0033140033	-0.0504350133	0.0779766259	-0.0771465432	0.0877337433	0.1235244943	0.1337612786	-0.0372971993	0.0426748903	0.0211679055	0.0531990384	-0.0898226212	-0.1533517484	-0.0263058719	0.0782331338	0.0877005872	-0.0204224925	-0.0942846689	0.0915920294	0.0821130057	0.0760787367	0.0468259658	-0.1119741986	0.0106039219	0.0168033973	0.0922856363	-0.0323758041	0.0047276474	-0.0389348133	-0.0546260919	0.0523492948	0.0566210165	0.1127251212	0.0327358007	0.0619194119	0.1201376602	-0.0820423213	0.0928090956	0.110491281	-0.1003738997	0.1241360716	0.1329895804	-0.009306217	-0.0410582185	-0.0510641064	0.0123644013	0.00794673	0.0447537413	-0.0758152426	0.0568089212	-0.0808924975	0.1226795434	0.0566675184	0.1082183791	0.1093237867	0.0781644062	0.0231890061	-0.1351070495	0.0590321631	-0.1168065449	-0.0293001358	-0.0753835085	-0.0954397259	0.0340537375	0.0547167418	0.1742717505	0.0705758223	0.0059410711	0.0795669974	-0.0820847965	-0.0357020588	0.0630092551	0.0280060967	-0.0289222674	0.039535865	0.0295222947	-0.0815485821	0.0427755953	0.075488216	-0.0501580341	0.0045418052	0.118297912	0.0557438103	0.1566101154	0.1686687345	-0.0381689435	-0.0841339568	0.1066776879	-0.0360322799	-0.0695520147	-0.057720015	0.0234877855	-0.0841910611	0.1521304761	-0.050088637	0.0668431242	0.0578583291	0.0923201862	0.0234985751	0.0035463829	-0.0898476311	0.0311893507	-0.0708335816	0.0244061378	-0.036827027	0.0085894962	0.0684472208	0.223972102	-0.0570054951	-4.22944e-05	0.0060960174	-0.050517771	-0.0008949403	0.1186599374	0.1148114994	0.1084896234	0.0	-0.0133842	-0.0006576	0.00017913680964	4.3243776000000164e-07	-0.032784	-0.0032283999999999	1.0422566559999996e-05	0.001074790656	0.109408	0.0327040000000001	0.001069551616	0.011970110464	-0.00227203	-0.00011902	1.4165760400000016e-08	5.1621203209e-06	0.000618657	0.0	3.82736483649e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
304.34139846184644	-0.2244998095439427	92623.68681771238	0.0504001644852665	305.4839187108719	0.7416345026041995	0.5500217354529784	93320.42459095056	214.0282514924377	0.0063085023403175	3.979720177779195e-05	45808.09243691016	213.7873967040803	398.244504621673	1.09349	26.94706	0.12163445	0.0736466	-0.0094219214	0.0917521378	0.0469094243	-0.0871705096	-0.037111247	0.0409427637	0.089415823	-0.0390544636	-0.0039990942	-0.148396049	0.1309649206	-0.0608268124	-0.0038963694	0.0856685691	0.1229934029	-0.0057391882	0.0835806195	-0.0323579789	-0.080450436	-0.057945427	0.0379563467	-0.088526743	0.1148127972	-0.0527540921	0.0648399676	-0.0445761582	-0.1211429523	0.0740047518	-0.1406668095	0.068392908	-0.009641065	-0.0319546416	0.0014166522	0.1204339395	-0.0118306281	0.0330979895	0.0669205207	0.0027447353	0.152213919	0.0476953261	0.0032517283	-0.1591323035	-0.0488651662	0.0654775614	-0.0387364359	0.0301255494	-0.0894875048	-0.0674457813	-0.1230012483	0.0069153236	0.0316909134	-0.0114825332	-0.0626422879	0.0504826667	0.0132255682	-0.026814122	0.0406728807	-0.0375312081	-0.0999331167	-0.1213912747	0.1554513496	-0.0073857455	0.0895473366	-0.0385638117	-0.0765902891	0.0800145994	-0.04537845	0.0676828208	-0.0976259784	0.0458169148	-0.1431947988	0.0694330815	-0.1811272974	-0.0058195275	0.0534326832	0.0436579303	0.0384611933	0.0063174093	-0.0163100885	-0.0006882322	-0.092680712	0.0168523109	0.1562137063	0.0952695339	0.0314616083	0.0687120757	0.0486017348	-0.0804855457	-0.0259953803	-0.0480991648	0.0130820234	-0.0026052013	-0.0731447446	0.1471243831	-0.0049078092	-0.0034041026	-0.0157565491	0.0453486439	0.0472936034	-0.0723641511	0.0521591528	-0.0170600697	0.0471208314	0.0290576979	0.051848366	-0.1389418545	-0.0361354711	-0.0298184024	0.0268105383	0.1183918232	0.0096395409	0.12224144	0.0254427497	0.1046181362	0.0151721309	-0.009845452	0.1318010502	-0.0435699538	0.0664346181	0.0455574936	0.1348274689	-0.1011504052	-0.0009400285	-0.0699741755	0.0273151317	-0.0835682761	-0.0070978239	-0.0217269536	-0.038486229	-0.0032034634	0.0858245762	0.1182328141	0.1131244514	0.104773372	0.0	-0.0165624	-0.0031782	0.00027431309376	1.0100955240000003e-05	-0.0887561	-0.0559721	0.00313287597841	0.00787764528721	0.0837756999999999	-0.0256323000000001	0.00065701480329	0.0070183679104899	-0.00163902	0.00063301	4.0070166010000004e-07	2.6863865604e-06	0.000618657	0.0	3.82736483649e-07	0.0	-0.000104027	-0.000104027	1.0821616729e-08	1.0821616729e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
