onset	duration	trial_type	trial_code	response	RT	money	carbon
5.7911	10	CET	c4_m2	LEFT	2.1048	50	40
20.8333	10	CET	c1_m1	LEFT	1.6226999999999983	10	2
36.1248	10	dummy	dl0	LEFT	1.6751000000000005	0	0
51.175	10	CET	m5_c2	RIGHT	3.0249000000000024	120	10
66.9667	10	CET	c3_m5	LEFT	3.1692000000000036	120	25
83.2584	10	CET	m0_c2	RIGHT	2.5575000000000045	0	10
99.5585	10	CET	c5_m0	LEFT	1.3614000000000033	0	50
114.5996	10	dummy	dr0	RIGHT	2.5763000000000034	0	0
130.6413	10	CET	m4_c5	RIGHT	4.894599999999997	100	50
147.4335	10	CET	c3_m2	LEFT	1.7423000000000002	50	25
162.9747	10	CET	m1_c3	RIGHT	1.3450999999999738	10	25
178.0163	10	dummy	dl1	LEFT	2.6794999999999902	0	0
193.0669	10	CET	c0_m0	LEFT	2.9088999999999885	0	0
208.3503	10	CET	c4_m1	LEFT	2.7055000000000007	10	40
224.892	10	CET	m4_c3	LEFT	3.7878000000000043	100	25
240.942	10	dummy	dr1	RIGHT	1.737799999999993	0	0
256.7414	10	CET	c5_m5	RIGHT	4.0183999999999855	120	50
273.0337	10	CET	m1_c0	LEFT	2.3421000000000163	10	0
290.0748	10	dummy	dr3	RIGHT	1.7010000000000218	0	0
306.6165	10	CET	m3_c3	RIGHT	1.9993000000000052	80	25
322.9338	10	CET	m3_c5	RIGHT	2.0259999999999536	80	50
338.2172	10	CET	m2_c1	LEFT	2.3186000000000035	50	2
354.7589	10	CET	c1_m0	LEFT	2.0808000000000106	0	2
371.7917	10	dummy	dr2	RIGHT	1.9279999999999973	0	0
387.8333	10	CET	m2_c2	RIGHT	2.9024	50	10
403.3756	10	CET	m4_c0	LEFT	1.584099999999978	100	0
418.9173	10	CET	c0_m5	RIGHT	1.5383999999999673	120	0
435.209	10	dummy	dl3	LEFT	1.7667000000000144	0	0
452.009	10	CET	m4_c1	LEFT	1.9506999999999834	100	2
467.3007	10	CET	c4_m4	LEFT	1.4189999999999827	100	40
483.3424	10	dummy	dl2	LEFT	1.4972999999999956	0	0
498.3835	10	CET	c0_m2	RIGHT	2.352199999999982	50	0
514.9341	10	CET	c4_m3	LEFT	2.057600000000093	80	40
530.7342	10	CET	m5_c4	LEFT	2.0814000000000306	120	40
546.5259	10	CET	c4_m0	LEFT	1.0656999999999925	0	40
561.567	10	dummy	dl4	LEFT	2.7286000000000286	0	0
578.3586	10	CET	c2_m4	LEFT	2.2730000000000246	100	10
593.4009	10	CET	m5_c1	LEFT	1.2707000000000335	120	2
609.942	10	CET	c5_m1	LEFT	1.889599999999973	10	50
625.7343	10	dummy	dr4	RIGHT	1.8413000000000466	0	0
640.7844	10	CET	m0_c3	RIGHT	1.8712000000000444	0	25
657.5754	10	CET	c0_m3	RIGHT	2.4162000000000035	80	0
674.3677	10	dummy	dl5	LEFT	1.727800000000002	0	0
689.9089	10	CET	m3_c2	RIGHT	2.3865999999999303	80	10
705.2011	10	CET	m2_c5	RIGHT	1.3343999999999596	50	50
721.4922	10	dummy	dr5	RIGHT	2.1632999999999356	0	0
737.0345	10	CET	c1_m3	LEFT	1.2369999999999663	80	2
753.826	10	CET	m1_c2	RIGHT	1.3495000000000346	10	10
