global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00
304.8377494942372	n/a	n/a	92926.0535167113	337.21667534044104	n/a	n/a	113715.0861276604	210.7698547004251	n/a	n/a	44423.93165043831	214.17362173132	337.8036284599479	n/a	n/a	n/a	n/a	-0.0594455947	0.0472723772	-0.0584535036	0.1697478939	-0.0575692852	0.0317500554	0.0409073818	-0.3473264995	0.3612964895	-0.0480487823	0.3857650609	-0.0081547217	0.5324755353	-0.1026237619	0.0046711739	-0.0436017281	0.1832589277	-0.0437836284	0.1650201191	0.120873102	-0.014310746	0.0690058578	-0.0059257821	0.0410222279	-0.0532050734	0.0876789175	-0.0491985028	0.0933670974	0.0254519009	-0.0234716046	0.0311652354	-0.0042595169	0.0433146924	-0.0474659215	0.1228850484	-0.1354117975	0.0358256862	-0.0888715264	0.096103175	-0.0068252426	0.0789604603	-0.0622171122	0.1554192033	-0.0493573988	-0.0241830841	0.0560767001	0.0636162267	-0.0597692557	-0.0305118599	0.086851448	0.0430007242	-0.0278574587	-0.0081531052	-0.0641033923	0.0764014846	-0.1661504839	-0.0554023767	-0.0474564918	0.0102880631	0.1260661374	0.0201877812	-0.0725708279	-0.2117384033	-0.0801971006	0.0011137267	0.1045976675	-0.0539183261	-0.0109018429	-0.0503494604	0.1267903165	-0.0710736046	0.0897000081	-0.0268854682	0.0449904713	-0.0807560887	0.010920321	-0.0087279052	0.1187292397	0.0362462195	-0.0629484069	0.1587508515	-0.021871044	0.0837032104	-0.1200695694	0.0022400146	-0.0249677726	0.0252934362	-0.1019873225	0.0097228739	-0.0861096828	0.1316545947	-0.0825142208	0.1068338639	0.1524094125	-0.06000918	0.0222391976	0.1003249221	-0.0739068542	0.0063678123	0.0281653129	0.0871164523	-0.0276306844	-0.1647803	0.0491512317	0.2134775303	-0.000814638	-0.1278954793	-0.0696754408	0.1192730698	0.0520644776	-0.0493552548	-0.0342341508	-0.0466095047	-0.1659245041	0.1618433919	0.0365675573	-0.1323081442	0.0941848228	-0.047615146	0.10618645	-0.0790739535	-0.0725574733	0.070445462	-0.028838069	0.0435109718	-0.0173325965	0.0361968786	-0.1119182513	0.077831672	-0.129694152	0.0166766238	-0.1275930238	0.0796945981	-0.0582403226	0.0322709194	-0.110799325	0.0571422593	-0.0202262232	0.0235533093	-0.0668220393	0.1195153378	0.1194927693	0.1194551582	0.057584	n/a	0.003315917056	n/a	-0.00013963	n/a	n/a	1.9496536899999995e-08	0.0249202	n/a	n/a	0.00062101636804	-0.00010424	n/a	n/a	1.08659776e-08	0.000581155	n/a	3.37741134025e-07	n/a	0.00130692	n/a	n/a	1.7080398864e-06	0.0
303.45111669941605	-1.3866327948211392	1.922750507673484	92082.58022612262	330.8427251793496	-6.373950161091443	40.62724065607763	109456.90880409864	210.64881050109864	-0.1210441993264623	0.0146516981905843	44372.92136552776	213.9542109597696	335.2562391916184	1.20504	24.449316	0.04537933	0.0235876	-0.0689294389	-0.1366218724	-0.0454004113	-0.0113080869	0.033312251	-0.0379405821	0.1087142057	-0.1080551975	0.0622283597	-0.0255888621	0.0632441589	0.2041180562	0.221509504	0.0572823586	0.0328187898	-0.0266237719	0.0130770059	0.1146502563	-0.1196161227	-0.0083658145	0.041133712	-0.0417810223	-0.0988264924	0.0477822716	-0.0083034101	0.0723350967	-0.0137865012	0.1369991017	-0.0769615403	-0.0316035699	0.0204711349	0.021383269	0.0771122205	-0.1684439313	-0.0540755563	-0.0008808061	-0.001870528	0.0741332924	-0.0133424385	0.0180750391	-0.0311213955	0.1502080778	0.0906140913	-0.1043422982	0.0463902031	-6.96136e-05	-0.1781566515	0.2524940448	-0.0399691523	-0.0457747539	-0.1448256327	0.0759730541	0.0597340796	0.0092344546	-0.0809094442	0.0379176166	-0.0159274965	-0.0141870669	0.1280684582	0.0331716184	0.0755969034	-0.0183131563	-0.1094823096	-0.1278466629	0.0061137108	0.0296949757	-0.0035161715	0.1317522331	0.0084263078	0.0251543697	-0.0598796015	0.0267714936	0.0404757599	0.0547864691	-0.2419546231	-0.1395990651	-0.0783672259	0.0664174252	-0.0655124257	-0.1389119561	-0.0392755147	0.1635956078	-0.0213244427	-0.1388941228	0.0065595398	-0.0342796346	-0.0704460646	0.0053669824	0.1053592507	0.0028117056	0.0838568282	0.0704416256	-0.0998900944	-0.0480164567	0.0268453009	0.1562022428	0.036289008	0.1187735338	-0.1061617516	-0.0625579655	-0.1843877214	0.0708680995	0.0439317265	0.0329490747	0.0017011408	0.0323038069	0.1265487126	-0.1093608584	0.0544870043	0.137707173	-0.0021189314	-0.1110890109	-0.0207694999	-0.076190554	0.1460752546	0.0320865873	-0.1055191815	0.0854422489	0.0437623323	-0.077250848	0.0878807509	0.0544699926	0.0849216431	-0.0161533758	0.092795176	0.0150777546	-0.0094304795	-0.0323458914	-0.0846890533	-0.1141465905	-0.0577603811	-0.0240538752	0.1094847031	-0.0639700953	0.1303032753	0.0085895922	0.0148766089	-0.0439586049	-0.0201527773	0.1257624789	0.1194551582	0.1192521267	0.1189139965	0.0434657	-0.0141183	0.00188926707649	0.00019932639489	0.01687	0.01700963	0.0002893275127369	0.0002845969	0.0332141	0.0082939	6.878877721000006e-05	0.00110317643881	0.0	0.00010424	1.08659776e-08	0.0	0.000566245	-1.4909999999999923e-05	3.2063340002500005e-07	2.2230809999999767e-10	0.00130692	0.0	0.0	1.7080398864e-06	0.0
302.0769087201458	-1.3742079792702384	1.888447570289992	91250.4587819193	327.3138375995341	-3.528887579815489	12.45304755097602	107134.3482841342	210.32964612624224	-0.319164374856399	0.101865898177476	44238.56003959029	213.56122123512063	324.06601629213554	1.305036	26.478148	0.13988005	0.0751357	0.0251009149	0.1329363201	0.051099219	-0.1322319573	0.072081177	-0.0297352586	-0.032748097	-0.0429043192	-0.0894859892	-0.0599844583	0.0295712775	0.076702715	0.0539887841	0.128555829	0.2835577195	0.0878678564	0.0820654681	0.0033980516	0.0776460169	-0.098196413	-0.1545156227	-0.0354470367	-0.0209394003	-0.0005898695	-0.0909289063	0.0410341559	0.0349167845	0.1597682401	0.076098951	-0.017457742	-0.2046820033	-0.0525627706	0.1245463968	0.2058342838	-0.0481849601	0.0908285601	-9.40687e-05	0.0975594065	-0.1848347175	-0.0870111991	0.0095954173	0.0446184966	0.0577252449	-0.127625323	0.0422280772	0.039746609	-0.062927691	0.0519454472	0.0236249047	-0.1080444653	-0.0286381159	0.0222329952	-0.053071903	-0.0661104709	-0.0972036955	0.1152078663	-0.0126822173	-0.0929502071	0.0575417701	-0.1050619599	0.0386573985	0.1199979213	-0.0239036081	0.0496220518	-0.0692289498	0.0367398729	-0.1169137515	0.1762126988	0.0213030598	0.0553663022	0.1652278238	0.0732434145	0.0468798165	0.0440650195	-0.1459105692	-0.1740918607	0.0571913209	0.0007621811	0.0118099086	0.1604039543	-0.0637097644	-0.0831312286	0.1284434964	0.0118653093	0.1799969112	0.1469638928	0.0765240402	0.003496593	0.1381238455	0.1534462205	-0.0675813473	-0.0051719805	-0.0337327188	0.0101620127	0.0253387337	0.067536026	-0.0407527862	0.1665223744	-0.0809784541	-0.0531215013	-0.0441496798	-0.0243487731	0.033255776	-0.0574330331	-0.1764875646	-0.0771307559	0.0559347449	0.0850718635	0.0719340585	0.0646468457	-0.0594804926	0.0165757558	-0.0815318669	0.0303632257	-0.0640669166	0.1490480714	-0.0375839685	-0.0570527882	0.2221205174	0.1890785304	0.0126171368	0.1754839137	-0.0060296376	-0.1068599581	0.0325772118	-0.0088977222	0.0304378972	0.1606884226	0.0999072075	-0.0795837573	0.0821132584	-0.0387013348	0.0573543038	-0.1766449436	0.210528844	-0.1427632866	0.2153936428	0.0813349047	0.1791404464	0.0633956729	0.1193348294	0.1187713263	0.1178341246	0.0175191	-0.0259466	0.0003069188648099	0.00067322605156	0.0452667	0.0283967	0.00080637257089	0.00204907412889	0.0904948	0.0572807	0.0032810785924899	0.00818930882704	5.29395e-23	5.29395e-23	2.8025906602499998e-45	2.8025906602499998e-45	0.000500319	-6.5926e-05	2.50319101761e-07	4.346237476000001e-09	0.000807725	-0.000499195	2.4919564802500004e-07	6.52419675625e-07	0.0
303.6200121468949	1.5431034267490986	2.381168185644811	92185.1117760806	328.87300200935874	1.559164409824632	2.430993656863793	108157.45145064768	210.57242310916675	0.2427769829245107	0.0589406634379282	44340.74537406594	213.717804140658	328.36650260034907	1.300982	26.395914	0.18408272	0.110982	-0.0430917296	0.1004807259	-0.0048203179	-0.1577204247	-0.0148977101	0.2011256152	0.1088426629	0.0968831082	-0.0155369442	-0.095864361	0.0347623123	-0.1401395205	-0.0905996084	0.0592621719	-0.0038161188	0.0784692006	0.2114894245	0.0498056133	-0.2042334882	0.1197612714	-0.1055994939	-0.1083597904	0.1588395351	-0.0700328464	0.0105013159	-0.0131440158	0.042524073	0.1982711106	0.0526292125	0.1952395746	0.1149541783	-0.0570281841	-0.0388221882	0.28945198	0.011257659	-0.0958343228	-0.058586436	0.0667961478	0.0537504852	-0.0313963496	0.216695641	0.0699579898	-0.0176128036	-0.077907166	0.0939850507	-0.0101831414	-0.0646180274	0.0359470091	-0.0164273879	-0.0094834117	0.0671702996	0.0304454994	-0.0375388582	0.0576388237	0.07137061	-0.1066517542	-0.081661305	0.0813866786	-0.0881794363	0.1005665871	-0.0438742602	0.0986511503	0.0464677961	0.0312084379	-0.0177931881	0.0582248117	-0.0549144023	-0.1666850962	-0.1351559035	0.0434695	0.0309529563	0.1017312623	0.1401655943	-0.0873975803	0.0299022073	-0.0758949469	-0.0209141532	0.0245003715	0.2666236529	-0.0980653495	-0.0514949267	-0.136290448	0.2000425522	0.1785256009	0.1794540637	0.0121077847	-0.1169384683	0.0077652959	-0.1473577491	0.082748383	0.0307842853	-0.046915923	0.010838582	-0.0374901512	0.0098885393	-0.0908317504	0.114131917	0.0186168396	-0.1384966183	0.0480914353	0.0055470198	-0.0514007679	0.017152278	0.0754865301	0.0566205121	-0.0230728974	-0.0776144902	0.0289955766	0.102305245	-0.0066437911	0.1014914444	0.1360637822	0.1005534142	0.0224815051	-0.0386514468	-0.0317242823	0.0841094839	0.0941498588	-0.0378118288	0.0784181411	-0.1017616884	-0.0004951001	-0.1220049372	-0.0984614199	0.0710480727	-0.1518158065	0.0259542323	-0.0482610429	-0.2432365422	-0.2007651918	0.0204077217	-0.1098696236	-0.0149651723	0.0372446113	0.314393612	0.1140835275	0.0793303396	-0.2186244771	0.2004955978	0.0011878249	0.1191544118	0.1180513362	0.1162204348	-0.00276797	-0.0202870699999999	7.6616579209e-06	0.0004115652091848	-0.044443	-0.0897097	0.00804783027409	0.001975180249	0.0284435	-0.0620513	0.00385036383169	0.00080903269225	0.0	-5.29395e-23	2.8025906602499998e-45	0.0	0.000363202	-0.000137117	1.3191569280400004e-07	1.8801071689000005e-08	0.000911301	0.0001035759999999	1.0727987775999994e-08	8.30469512601e-07	0.0
304.5778288956168	0.957816748721882	0.9174129241321568	92767.65385476762	330.4517049409501	1.5787029315913514	2.492302946215127	109198.32929838076	211.00299794365367	0.4305748344869755	0.1853946880934864	44522.26514120954	214.15301947103964	340.0897824655136	1.341309	27.214111	0.10971292	0.0563339	-0.195172708	-0.079860341	-0.0703333362	-0.0818094174	-0.0735522533	0.0045977955	0.1818123084	0.0436446724	0.0760367496	0.0584049312	-0.1185041391	-0.0591531145	-0.0103876588	-0.0018024528	-0.0317721622	-0.0459249812	-0.0438942587	-0.1198352391	0.0187326608	0.0231152683	0.1450180126	-0.0772334381	0.0478524588	-0.0556476534	0.1723891823	-0.0494709729	-0.0843837222	0.1228331389	-0.1009275382	0.1361442741	0.2121732731	0.0851905747	-0.2162638194	0.0809351571	-0.0222709666	0.0231134679	0.0516222726	-0.0675132702	-0.105781655	0.1200268919	-0.1100651145	0.0807368569	-0.1086898512	0.017687347	0.0818288294	0.0780564785	-0.0107327565	-0.0752351938	0.0430724742	0.0071019988	0.1094903582	-0.0347399663	0.0134524381	0.0143339056	-0.0407390038	0.1530320867	0.1086782668	0.0519893567	0.0135229906	0.0256023508	0.0317463035	-0.1783211433	0.0690022949	-0.0601632981	0.0819562424	0.0090008203	-0.0474742414	-0.0102497677	-0.0600666699	-0.1575762563	-0.0706481557	-0.1416396613	0.0118314237	-0.127462794	0.0827606156	-0.0514994981	0.0699845913	0.0959886598	0.1151132892	-0.1713279888	0.0715083457	0.060690416	-0.0283510507	0.2745934797	-0.0295231745	-0.1107491215	0.0413428165	0.0976326635	0.0065140006	-0.0382282764	-0.0947172301	0.0810943929	-0.1764607209	-0.0598341195	0.0509503412	-0.0319180563	0.0329959956	0.0094630032	-0.051444576	0.0319433711	0.1055646816	-0.0029784272	0.0300985621	-0.0526901095	-0.0498569626	0.1013972984	-0.0514717725	-0.1056585656	-0.1491568551	-0.0317493272	0.0849304831	-0.1452827527	0.10644401	0.0127357467	0.0106062644	0.0184283756	-0.0166375647	0.211035881	0.0731513225	-0.1556869506	-0.0611132408	-0.1262915526	-0.0685934858	0.0101633737	-0.091337998	-0.0548061688	0.1779592462	-0.1615069286	-0.3372756189	-0.0680071132	-0.1810885439	0.040246402	-0.1924725085	0.0315903791	0.1720749736	0.0765553845	0.0320975462	0.019004784	-0.2384045174	-0.0141474879	0.1189139965	0.1170936064	0.1140802373	0.0374004	0.04016837	0.00139878992016	0.0016134979484569	-0.0314512	0.0129918	0.00016878686724	0.00098917798144	-0.0037575	-0.032201	0.001036904401	1.411880625e-05	0.000268339	0.000268339	7.200581892099998e-08	7.200581892099998e-08	0.000478322	0.0001151199999999	2.28791935684e-07	1.3252614399999993e-08	0.000807725	-0.0001035759999999	1.0727987775999994e-08	6.52419675625e-07	0.0
304.08403954666187	-0.4937893489549196	0.2438279211413234	92467.10310701582	329.8095432795223	-0.6421616614277923	0.4123715994077025	108774.3348382471	211.34043320599724	0.3374352623435186	0.1138625562728392	44664.77870769858	214.53396475302208	342.2926577152322	1.277378	25.917	0.09537	0.0482755	-0.1391929749	-0.1706419305	-0.0363666816	0.0924582574	-0.0737953375	-0.1972025951	0.0639036533	0.0334800917	0.0285364243	0.1777204069	-0.1885396378	0.0499131557	0.0141933385	-0.1017978871	-0.1476201555	0.0646555063	-0.1100223545	-0.0469438459	0.0504297304	-0.0479510483	0.3116865719	0.0146955299	0.01507789	-0.0555078724	0.0355668128	0.0214291584	-0.1412059258	-0.125431549	-0.1180886083	-0.0371179746	-0.1598478734	0.2025254414	0.1744955644	0.0222472691	0.0487489076	-0.1789912295	-0.0447097024	0.0361719181	-0.0981640142	0.1778175557	-0.0357126376	-0.0981229811	0.0710113799	0.0671157043	0.0193705029	-0.0856977389	0.0423581858	-0.1152880043	-0.1550056632	0.0354099614	-0.0071092694	0.0862814549	0.0512422512	0.0059478112	0.1991711166	-0.0758131014	-0.0177932474	-0.0095300596	0.0710255528	-0.0349583392	0.0723931037	0.0149508712	0.0988796664	0.0363905851	0.0225091995	-0.0809075163	-0.0931857517	-0.0416531853	0.0998552138	-0.1536803734	-0.1892047204	-0.187218697	-0.0674554548	-0.0679709744	0.0919787834	0.106700966	0.1443910519	0.0985848983	-0.0087459867	0.1513996186	0.096893374	0.0561497285	-0.0527485004	-0.2007801799	0.2196069534	-0.0143132477	-0.0640580655	0.012958158	0.0550942368	-0.1318833545	-0.1384353173	0.0724999067	0.1196696048	0.0469243969	0.0681540607	0.0877619923	0.0374246656	-0.0893872371	0.1450798816	0.1730647247	-0.1008190143	-0.0784094056	-0.0600326455	0.1327099153	-0.0265441903	-0.0067865695	-0.0543863099	0.0082941075	0.0575586737	0.045195707	0.0798995355	-0.0004061371	-0.0455774691	0.0607300763	-0.0752287735	-0.0405685878	-0.0731772881	0.1190960141	-0.0274618736	-0.2296509796	-0.0250005254	-0.0775658369	0.0175939167	0.0546357987	-0.0623766154	0.083016605	0.1857680926	-0.0723367211	0.000999717	0.0050682679	-0.0299871285	-0.0410338295	0.0015456225	0.0298133716	-0.1931410677	0.0408250268	0.0345885644	-0.0394109664	0.2570783758	0.0734991388	0.1186137044	0.1159000657	0.1114232278	0.0444857	0.0070853	0.00197897750449	5.020147609000004e-05	-0.0123942	0.0190569999999999	0.0003631692489999	0.0001536161936399	-0.0194952	-0.0157377	0.00024767520129	0.00038006282304	-0.000454222	-0.000722561	5.22094398721e-07	2.06317625284e-07	0.000503156	2.483400000000005e-05	2.531659603360001e-07	6.167275560000026e-10	0.00113013	0.000322405	1.03944984025e-07	1.2771938169e-06	0.0
302.1171069921419	-1.9669325545199852	3.8688236740305153	91274.7463373013	328.59698729151665	-1.2125559880056471	1.470292024048351	107975.98005706116	210.9060546426212	-0.4343785633760433	0.1886847363206352	44481.36388491632	214.31896228687185	334.956911568238	1.315683	26.694181	0.13799065	0.0646592	-0.0309607355	-0.0377400559	0.0248941705	0.1904481379	-0.0288342904	-0.2232001026	-0.0835144185	-0.1435130309	-0.1222026333	0.1072103273	-0.1173240479	0.1452148245	0.0874387642	-0.0533950733	-0.1378689997	-0.0524090818	0.0424632871	-0.2226410718	-0.0553477393	-0.0982932783	0.2093622755	0.0881629701	-0.1757691713	-0.0060395513	-0.1236676836	-0.0628448389	-0.0334946363	0.0641432359	0.0069693386	0.0571610079	0.0425233971	0.0300023228	-0.0735160443	-0.0172833913	0.1472932338	0.0820738495	0.0409851501	-0.119684349	0.0458065106	-0.0473688857	0.0721708935	-0.048719206	-0.0695078371	-0.2002974445	-0.0810642091	0.0518563588	0.0184583355	-0.1856382882	-0.0283576651	0.0401736225	0.1194393154	0.0606903015	0.1092116192	-0.1165832524	-0.0414234479	0.1327446222	0.0073386432	0.0280175519	0.0838858246	-0.1394174929	-0.1129497727	0.047130707	0.06079104	0.0396721577	-0.1205457817	0.0189795914	0.1290265794	0.1383292199	0.258025995	0.0178098165	-0.1394423052	-0.1211378913	-0.095006053	0.074874986	0.0407888512	-0.069399482	0.1068837251	-0.0106450151	0.0869124449	0.013131247	0.1132018347	-0.0209172865	-0.0145697781	0.0763596518	-0.1220970615	0.0369007859	0.07203923	0.0468799445	0.0318390207	0.0603592613	0.1825256585	-0.1530508696	-0.0684804009	0.0441246808	-0.0624620969	-0.1390994113	-0.0008730333	0.0633003748	-0.0024591029	0.1622303068	-0.0390868601	-0.0831157308	0.0664270657	-0.1738406165	-0.0455952861	-0.0518557659	0.039987404	-0.0582851819	-0.105066252	0.080336342	-0.2090540146	0.0055729788	0.020871422	-0.0096864854	0.0234882105	0.0521420272	-0.2000096384	-0.0535260615	-0.001710433	-0.1355844816	-0.0626190012	0.049356139	-0.0266550291	-0.0328424562	-0.0912498201	0.3514014027	0.0875972943	0.0763089588	-0.0612327215	0.0026059857	-0.0331401987	0.0509196896	-0.0449971092	-0.082652242	-0.0243487476	0.0180615267	-0.1478003965	-0.1176299183	0.0635509129	-0.0187029607	0.1182536866	0.1144731177	0.1082614433	0.0615625	0.0170767999999999	0.00378994140625	0.0002916170982399	0.0347978	0.047192	0.002227084864	0.0012108868848399	0.0149499	0.0344451	0.00118646491401	0.00022349951001	-0.000166926	0.000287296	8.253899161600003e-08	2.7864289476e-08	0.000643705	0.0001405489999999	4.14356127025e-07	1.975402140099997e-08	0.00148782	0.0003576899999999	1.2794213609999998e-07	2.2136083524e-06	0.0
300.0678634678741	-2.0492435242678084	4.199399021753548	90040.72268617472	324.97326511185935	-3.6237221796573063	13.131362435340302	105607.62303746282	210.29328512303968	-0.6127695195815193	0.3754864841281659	44223.26576784007	213.606696529904	316.3501728044768	1.521574	30.871532	0.0785919499999999	0.0445752	0.1720842416	-0.1666794903	0.2042189042	-0.0048462934	-0.0177503609	0.0291666867	-0.1546072823	0.2228981698	-0.1586352393	0.1249387337	0.0904250385	0.1127849703	0.0257397305	0.0521574329	-0.0981392366	0.0539698987	-0.0335927621	0.012926184	0.0956010433	-0.2268924284	0.0304516941	0.0102517592	-0.0281653291	0.210319323	-0.1553105627	0.0683687023	-0.0498664501	-0.0383155107	-0.0007495489	-0.1592499885	0.0497526358	-0.0729594333	-0.0904626611	-0.0478283605	-0.0770205098	-0.0885650615	-0.1063757389	-0.0887397496	0.0619592796	0.0082625555	-0.0607710171	0.0043336451	0.0017068502	0.2606679928	-0.112698137	0.0346987569	-0.0093007722	0.0354602519	-0.1067655555	-0.0173609016	-0.0950929533	-0.0436542609	-0.0056557773	-0.1020012226	-0.0861050004	0.0518329213	0.0098786322	0.0820180401	0.0571581346	0.0105128672	0.0812447708	0.0593789599	0.0383910923	-0.0481765433	0.0578188638	0.1053340658	-0.060420534	-0.0463984991	0.1626558082	-0.1535374835	0.0518290525	0.0421459122	-0.0255736722	0.2868284556	-0.0658266964	0.0741949322	0.0476867934	0.0274069056	-0.1620707274	0.059051529	-0.0073871206	-0.070170167	-0.0342776435	0.0829969653	-0.0799554285	-0.165571599	-0.088345871	-0.1025854571	-0.0475518187	-0.1143924403	-0.0148849859	0.067791568	0.051427581	-0.0963650132	-0.1212247027	0.1222146247	-0.0254535202	-0.1119255589	0.0858830359	-0.0584838063	0.0393249196	0.0841022779	0.0430960742	-0.158485496	-0.140936966	0.0434219653	0.0832181278	0.0253179299	0.0266666997	0.0606363042	0.1104944326	0.06773615	0.1184881237	-0.0632976616	-0.0449202864	0.0239293321	-0.2172006369	-0.0788999547	-0.1264323212	-0.0443000007	0.1205401987	-0.0912900833	0.0159055898	-0.0819602907	-0.0444525264	-0.054073953	0.0469835947	0.0477868272	0.0650996918	0.1405234642	0.1586330656	0.0072337758	-0.1290164185	0.0647238382	-0.0152172727	-0.0757269782	-0.2070948021	-0.1361301128	0.124441432	-0.0867554312	0.1178341246	0.112815636	0.1046092073	0.0677541	0.0061915999999999	0.00459061806681	3.8335910559999984e-05	0.0150411	-0.0197566999999999	0.0003903271948899	0.00022623468921	0.0529628	0.0380128999999999	0.0014449805664099	0.0028050581838399	-0.000199422	-3.2495999999999995e-05	1.0559900159999995e-09	3.976913408399999e-08	0.000503156	-0.0001405489999999	2.531659603360001e-07	1.975402140099997e-08	0.00136825	-0.00011957	1.4296984900000012e-08	1.8721080625e-06	1.0
