global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2
281.7318395805068	n/a	79372.82943341642	n/a	293.32088772682454	n/a	86037.1431768524	n/a	204.66476707412565	n/a	n/a	41887.666881506106	205.09473252477173	355.69040867274896	n/a	n/a	n/a	n/a	-0.0059494085	0.0205269408	-0.1872673343	0.1048891378	-0.0211509976	0.0171627942	0.0669503601	-0.0734622069	0.1080662045	-0.1647115647	0.0872024161	-0.1428268536	0.0312827111	-0.113844936	0.2046627139	-0.0982727918	0.400489488	-0.3382061758	0.1239445338	0.0582982951	-0.1522269698	0.0769852353	-0.0447110037	0.06259853	-0.082264444	0.0357759077	-0.0476323262	0.0012483754	-0.0652506308	0.0048437785	-0.1433359168	0.0034932738	-0.0732327894	0.0193143397	-0.0303279498	0.0021648739	-0.0881825911	0.0887692369	-0.0727546121	0.1458746808	-0.0904418336	0.0165336856	-0.0101902746	-0.0090034741	0.0085653321	-0.0542748159	-0.0084246707	0.064172256	0.1100062398	-0.1633694468	-0.0300188282	0.0306661673	0.0699123222	-0.0552003182	-0.0555232405	0.0365267257	0.0131740561	0.0821937067	-0.0516963668	-0.0661096561	0.104867241	0.1057059292	-0.0260440769	-0.0656665436	-0.0113980462	-0.0804141991	0.0379607874	0.0669273507	-0.1558730515	-0.0759730498	0.0918507729	-0.0208278966	0.0874713775	-0.0205625724	0.0033233229	-0.0660285564	0.0068206707	-0.1015121838	0.0995271813	-0.0578190401	0.0564925836	-0.002674031	0.0324085672	-0.0620728712	0.0572810463	-0.0918080467	0.1182694148	-0.0824856376	0.0997501686	-0.0700235194	0.0048978447	0.0064537609	-0.0105583867	0.0335151622	-0.0186472416	-0.0484867186	0.195361146	-0.0699108618	-0.0115315252	-0.0270481357	0.0333406124	0.029716419	0.0085028238	-0.1260146851	0.0258643889	0.0951956314	0.0640628637	-0.056161444	-0.0872441915	0.0527836049	0.0818830817	-0.054205793	-0.0240870595	-0.0528816362	-0.028123128	-0.082634995	0.0274118083	-0.0993103129	0.0686441928	-0.0655705305	0.0213006308	-0.0390483792	0.0914413489	-0.0633655281	0.0272957509	-0.1112340536	0.0067353114	-0.0497538346	0.0223378261	-0.0013738068	0.1044858335	-0.0959241195	0.0409885189	-0.0841209429	0.0373549599	0.0078174995	-0.0686467975	0.0040902438	0.0268309395	0.1195153378	0.1194927693	0.1194551582	0.0233375	n/a	0.00054463890625	n/a	0.0317458	n/a	0.00100779581764	n/a	0.090947	n/a	0.008271356809	n/a	-0.00022192	n/a	4.92484864e-08	n/a	0.000749063	n/a	5.610953779690001e-07	n/a	0.0	n/a	0.0	n/a
281.1892853318436	-0.5425542486631798	79067.41418543296	0.2943651127424675	290.60612368535124	-2.714764041473302	84451.91912342566	7.369943800876455	204.914470506102	0.2497034319763429	0.0623518039407641	41989.94022279614	205.29139722484888	352.7480335465536	1.102516	20.491365	0.02398485	0.0133505	0.0208093273	0.0098668385	-0.0806068906	-0.11138775	-0.0821898076	0.0616874306	-0.0736812273	0.0422361358	0.0868975666	-0.091649322	0.0198807279	-0.1298512938	-0.0731470614	0.0532215306	0.0050373359	0.1099221822	0.2453493822	-0.1909390925	-0.0510132463	-0.0644588786	-0.1452972602	-0.0720535416	-0.1266290293	-0.0170184376	0.0105578473	0.0139478178	-0.1001307086	0.1140012825	-0.1039182961	0.1337857325	0.0377865483	0.1346115289	-0.1213129809	0.0638714615	0.0105258919	0.0699609733	-0.0722335049	0.1195886334	0.052871901	0.02316626	0.0466403773	0.0219404737	-0.0172971487	-0.0342129656	0.0647561659	0.0115429587	0.0696789469	-0.0455661039	0.1532770793	-0.0338602037	0.0441176097	0.0815449938	0.1300290676	-0.0561812974	0.0773352244	-0.0923558437	0.1096777752	-0.0158720611	-0.206069077	-0.0169962966	0.0423987314	-0.03465553	0.0474997827	0.1225035607	-0.0225308609	-0.0395034525	-0.0656244455	-0.0612384286	-0.1415653177	0.0871728404	0.0892803082	0.034843764	-0.0313918814	0.0239993967	-0.0501597301	-0.120969018	-0.0990692693	-0.1183966243	-0.0792148506	0.0883810778	0.1398877947	0.0530837376	0.0842482167	-0.0907893445	0.0326727429	-0.118764755	-0.0175519351	0.005374958	-0.0288894006	-0.0250546814	0.0101684805	-0.0468628709	-0.0343860585	0.0005911244	-0.0269103752	0.1185481805	0.1127699831	-0.0304810336	-0.0891179192	0.0227874925	0.1611258292	0.0077100764	0.1514017558	-0.1559710864	-0.1010485782	0.1048941651	-0.0653218194	0.0148298275	-0.0232033684	-0.0772667704	-0.0868755945	0.0627538869	0.001502902	-0.0498285907	0.0675480849	-0.0854064123	0.0374298472	0.041754521	0.1390863947	-0.0195624149	-0.0196306472	-0.0900903397	-0.0957495597	0.0113688527	-0.0224732738	-0.1085204852	0.0718455967	-0.1164272825	0.0329528717	-0.0403328292	0.0461685452	0.0710098327	0.049073763	-0.0196831325	-0.0439208457	-0.0650941738	-0.0280334746	0.0211703867	0.0929837621	0.1194551582	0.1192521267	0.1189139965	0.0226485	-0.000689	0.0005129545522499	4.747210000000029e-07	0.0329382	0.0011924	0.00108492501924	1.4218177600000076e-06	0.0926267	0.0016797	0.00857970555289	2.821392090000021e-06	-0.000345895	-0.000123975	1.19643351025e-07	1.5369800625e-08	0.000636379	-0.000112684	4.04978231641e-07	1.269768385600001e-08	-0.000171816	-0.000171816	2.9520737856000004e-08	2.9520737856000004e-08
280.5255085591733	-0.6637767726703032	78694.56095238282	0.4405996039366034	288.5121757212093	-2.0939479641419325	83239.27553938596	4.384618076534144	205.01302953257323	0.0985590264712357	0.0097138816989577	42030.34227812375	205.40152249906225	350.52575369036435	1.133397	21.065323	0.0356588	0.0154216	-0.011016448	-0.0676273162	-0.0824298332	0.0545876896	0.1111801526	0.0069473762	0.0579688252	-0.0677761002	-0.0765884141	-0.0259617006	0.0533595726	-0.0299615235	0.0583450239	0.0293716616	0.0473198551	-0.0248570471	0.139093808	-0.1280075029	-0.0362233688	0.1122305514	0.0213123844	-0.0475021665	-0.0251233094	0.0312693969	0.0397939823	-0.0525041813	0.004554512	0.1392475049	-0.0566570239	0.1075821621	0.0879302256	-0.0025439639	0.0016628655	0.0763492905	-0.0800905157	0.0342323666	0.0042375117	-0.1750139863	0.1539878982	0.1444257082	-0.0828333224	0.1383903357	-0.121381563	-0.0544358711	0.0551381227	0.0176111529	-0.0075154897	-0.1097590598	-0.0043813519	0.0403885594	-0.193180114	-0.100700856	0.0331658385	0.0590441291	0.125041257	0.1251319043	-0.0175612044	0.2273905464	-0.0730371554	0.0284780227	0.0087209896	-0.0566014293	-0.0029335524	0.0596366169	-0.0769168896	0.0559808234	0.0246370492	0.1067643579	0.0240526247	0.0444171929	0.0412585964	-0.0371731056	-0.0721805478	-0.0117883933	0.0098226644	-0.0562828602	-0.1138943589	-0.0575239084	-0.0731020857	0.0617305277	-0.023544816	-0.0439249618	0.0478828711	-0.1183655499	0.0050777284	0.1643312384	-0.1486843486	-0.1438152625	0.133361243	-0.1781335951	-0.0419904697	-0.1085198209	-0.0571007005	0.0234489935	-0.0359556167	0.1010445118	-0.037026387	0.0579841572	0.178558781	-0.023837133	-0.0621140838	-0.1109555332	0.1402720983	-0.0338070893	0.0819295305	0.1257617211	0.160173713	0.1093630571	-0.0317177107	-0.0299464274	-0.0389494329	0.0802807011	0.0240712243	0.0987298137	0.0576000834	-0.0776537142	0.0266779485	0.0484524901	0.0098045881	-0.0422929485	-0.0789235615	-0.1140733533	0.0307130119	-0.0190014597	0.1426373493	-0.0852161226	0.0305091903	-0.0464497504	-0.0436021753	-0.0381719772	-0.0642652554	-0.1013415003	0.0007425178	-0.1437006293	-0.0676127997	-0.0440766102	-0.0724140197	-0.0251559967	-0.0049165917	0.1193348294	0.1187713263	0.1178341246	0.0154429	-0.0072055999999999	0.00023848316041	5.1920671359999966e-05	0.0308103	-0.0021279	0.0009492745860899	4.527958410000009e-06	0.0892044	-0.0034223	0.00795742497936	1.171213729000002e-05	-0.000518763	-0.000172868	2.69115050169e-07	2.9883345424e-08	0.000523003	-0.000113376	2.73532138009e-07	1.2854117375999998e-08	-5.293960000000001e-23	0.000171816	2.802601248160001e-45	2.9520737856000004e-08
279.9489737689746	-0.576534790198707	78371.42791430204	0.3323923643094671	287.4637975906403	-1.048378130569006	82635.43492523262	1.0990967046553637	204.9834289527815	-0.0296005797917189	0.0008761943240059	42018.20614524002	205.36485992298185	344.7139822929433	1.149057	21.35638	0.06137225	0.0433434	-0.0719672633	-0.1227058985	-0.0529619039	-0.1136057351	-0.0631840417	-0.0451218667	0.0264694434	0.1383343895	-0.0361319964	-0.0256181605	0.1298129484	-0.0130578122	0.0337796208	0.1758486835	0.1048130936	0.0055921187	0.040597603	0.0420125343	-0.0472177497	-0.0793509509	-0.073430124	-0.0888331587	-0.0453660334	-0.0217438535	-0.1191943833	0.1178494393	0.1920848356	-0.0134405939	0.0218215806	-0.1199390581	0.066468543	0.0431716647	0.0274962603	0.080806697	0.0817258148	-0.0365836582	-0.0308493559	-0.1692244776	-0.033695458	0.0175923375	-0.0049858401	-0.0666631218	-0.0367493143	-0.1546979097	-0.0116128047	0.0661223451	-0.0364405379	-0.0539840821	-0.0305812853	-0.1367062168	0.1663904862	0.0976166299	0.0145221079	0.1097205173	0.0214057182	0.0564969653	0.037477816	0.1482710712	0.0089948143	0.1545474289	0.0058240009	-0.0097604563	-0.0415431153	0.0110724931	0.0458202054	-0.1000742086	0.0652495673	-0.0673777142	-0.0790228227	0.1004282559	0.0743258975	0.0023627671	0.1525393006	0.0060532605	0.1969489439	0.0245487727	0.1153159323	0.1180337268	0.0019312196	0.0200036703	-0.001964482	0.0169505068	0.1148469309	0.0778567296	0.0636543371	0.1401249934	-0.0153024401	-0.0448908193	0.0159145682	0.0386095068	-0.0467004379	-0.0221994892	-0.1530896772	0.034639275	-0.0880120997	-0.0406125649	-0.0462639694	-0.0644818363	-0.1775377675	0.1466701881	0.0008726811	-0.1078271647	0.0112722026	-0.0497092055	0.042621204	0.0278469117	0.1215621681	0.0120525138	0.1076687028	-0.0293328346	0.1003182338	0.092805016	-0.0115871668	-0.0266520772	0.017412039	-0.1051079256	-0.0048265934	-0.0898846417	-0.0078400494	-0.0243057548	-0.1141245248	-0.0291201941	-0.0195119938	0.1674170225	-0.0319964197	-0.1693558585	0.1429583832	-0.0310823208	-0.0306676061	0.0911199063	0.0003188528	0.0578003215	0.0445055793	-0.0354573569	-0.3211091335	0.0673832384	-0.1404529541	0.0620100296	-0.0804816321	0.1191544118	0.1180513362	0.1162204348	0.0246652	0.0092223	0.00060837209104	8.505081729000002e-05	0.0268106	-0.0039996999999999	0.00071880827236	1.5997600089999986e-05	0.13039	0.0411856	0.0170015521	0.00169625364736	-0.00054468	-2.5916999999999976e-05	2.966763024e-07	6.716908889999986e-10	0.000636379	0.000113376	4.04978231641e-07	1.2854117375999998e-08	0.0	5.293960000000001e-23	0.0	2.802601248160001e-45
279.6636378126234	-0.2853359563512185	78211.7503145902	0.0814166079868645	286.5051902568996	-0.9586073337407016	82085.22404414223	0.9189280203014568	204.6774381089828	-0.3059908437986962	0.0936303964886381	41892.853670856486	205.02351279856512	341.60021734036474	1.160522	21.569471	0.02161495	0.0125825	-0.0962228717	-0.1737695423	0.114558814	-0.0675074329	0.1239539274	0.0500360951	-0.1155516647	-0.0228765076	-0.2273801632	-0.04053637	0.1269132963	0.0423810072	-0.0042527396	0.0611754904	0.0275775953	-0.1412889892	-0.0975613117	0.0389826462	-0.024620879	0.0773356813	-0.0939390331	-0.0769276617	-0.0838876642	-0.1538519835	0.0226029981	0.000535091	0.0695855841	-0.0481751788	0.0857065255	-0.0758093341	0.1056096822	-0.0189970554	0.0828809924	-0.0438340304	-0.0127864755	0.0211772675	0.0546065596	0.1378894947	-0.0426697322	-0.1152538992	0.0055877255	-0.0921954827	-0.0170424731	0.0463914709	0.0104337159	-0.0523747073	-0.039765248	-0.0481116533	-0.0710784019	-0.078725053	0.0866294164	0.0801279857	-0.0181406987	0.0109409147	0.099345224	-0.0399440576	0.0711797884	-0.1051591581	0.0152619239	-0.0168994061	-0.0356704521	-0.0801687665	0.0741722387	-0.0078465623	0.0938277065	-0.0799936204	0.0770273084	0.0821209491	-0.0926679349	0.1137591481	0.0149060709	0.1468069493	-0.0484208515	0.0396176821	0.051362879	0.0695765561	0.0718191627	0.148301314	-0.0545764939	0.0436349069	-0.0853654862	-0.010950894	-0.0365012832	0.0085075659	-0.0465020725	-0.1071328942	0.0615052052	0.0745214195	-0.0245101593	0.1014964415	-0.0743230577	0.0177744659	0.0479024131	0.0916936612	0.0323854035	-0.0260993086	-0.0078406344	-0.0660149219	-0.0832234278	0.0723372211	0.0284373886	-0.0308820442	0.051250926	0.0314034073	-0.0538677313	-0.0922040386	-0.1377402355	0.0510310805	0.0361441212	-0.0501105391	-0.0201617267	0.0211874858	-0.0161375605	-0.116830261	-0.0766209953	-0.0817317406	0.0398553065	-0.1024846195	-0.0464048072	0.0004405988	-0.1054269824	0.1100097083	-0.1131980886	-0.1348645248	0.0111643371	-0.215217299	0.1342440744	0.0519767052	-0.0251003878	0.0415495775	-0.0072201709	0.0533760054	0.040298092	-0.0454255173	-0.1189288138	0.0674768542	0.0118788715	0.0172509629	-0.06409232	0.1189139965	0.1170936064	0.1140802373	0.0251677	0.0005024999999999	0.00063341312329	2.5250624999999945e-07	0.0234751	-0.0033355	0.00055108032001	1.112556025000001e-05	0.121443	-0.008947	0.0147484022489999	8.004880900000019e-05	-0.000450562	9.411799999999996e-05	2.03006115844e-07	8.858197923999995e-09	0.000553898	-8.248099999999992e-05	3.068029944040001e-07	6.803115360999986e-09	0.0	0.0	0.0	0.0
280.350432103518	0.6867942908946247	78596.36478062927	0.4716863980054504	285.6131329274226	-0.8920573294769838	81574.86170061758	0.795766279073608	204.6690577059751	-0.0083804030077203	7.023115457180846e-05	41889.42318225176	205.00778480841188	343.07417487293355	1.176006	21.857243	0.0403396099999999	0.0225078	-0.0238678851	-0.152514706	-0.0941690823	0.0167320357	0.1441336056	-0.0184175603	0.1400541262	-0.039117134	-0.1282244209	-0.0499448688	0.0803311253	-0.0608598345	-0.0174221881	0.0627681231	-0.0730780051	-0.0840892903	-0.1593501314	0.0151432701	0.0462216243	0.1449944247	-0.1173546695	0.0036110318	-0.034690215	0.0314714271	0.0672262596	-0.0398999727	-0.067605289	0.0935882745	0.1367770772	-3.78281e-05	-0.1425329126	-0.0108808267	0.2992462293	-0.0756081951	-0.0024553778	0.0563081687	0.1289474744	-0.0520721308	0.0599833601	0.1202978168	0.0149049976	-0.1458001818	-0.0052112192	0.0453466139	-0.0636155627	0.0634605455	0.0224192042	0.0485452397	-0.097314304	-0.0750013836	-0.0461335628	0.0401669344	-0.037320779	-0.1030668854	-0.001093994	0.0963358861	0.0901008051	0.0742176066	0.1249508081	-0.1774768618	0.0352509513	0.0777717013	-0.0912787004	-0.0086159688	-0.0605835554	0.0302615636	-0.1282843206	0.1467680897	-0.1253176005	0.0007257475	0.0344676703	-0.0122249946	-0.0568666948	0.0245170946	-0.0769641129	0.0850628871	-0.1429447199	0.0521257979	0.1444994608	0.0441367111	-0.2527351995	0.101967634	-0.0384734181	0.0614897404	-0.1673340091	0.0423775002	-0.0087885049	-0.157584265	-0.0055086079	0.0636851728	-0.0694203998	0.0799503153	-0.010558257	-0.0189081116	-0.0554467281	-0.0533560313	-0.0291164138	-0.0989555635	0.1096937401	0.0410304817	-0.002589591	0.0618248672	-0.0031390699	-0.054503819	0.0800544561	-0.0963530163	-0.0010856174	0.0522381847	-0.2251833988	0.0793559384	0.0812928215	-0.0773916198	0.0247904099	0.035651972	0.1443183276	-0.0899706567	0.026529804	-0.0410977737	0.120219199	-0.0124362632	-0.033582856	0.0327694197	0.0664358049	-0.1026539876	0.1259883136	-0.1494437741	0.1128232524	-0.0557104375	-0.0388466649	0.055859452	-0.040533652	-0.0573413301	0.2009126382	-0.0976918534	0.0072489982	0.0399998214	0.0811562999	-0.0041958551	-0.0826859738	0.1186137044	0.1159000657	0.1114232278	0.0226739	-0.0024938	0.00051410574121	6.219038440000004e-06	0.00262049	-0.02085461	6.866967840100001e-06	0.000434914758252	0.110848	-0.0105949999999999	0.012287279104	0.0001122540249999	-0.000549857	-9.929499999999996e-05	3.02342720449e-07	9.859497024999991e-09	0.000582527	2.862899999999996e-05	3.39337705729e-07	8.196196409999975e-10	-5.293960000000001e-23	-5.293960000000001e-23	2.802601248160001e-45	2.802601248160001e-45
281.7017759062559	1.3513438027378584	79355.8905487384	1.826130073198016	289.10833299329954	3.4952000658769293	83583.62820616458	12.21642350050609	205.1031667558921	0.4341090499169979	0.1884506672198386	42067.30901329528	205.4625205148413	354.66518978845505	1.236979	22.990484	0.07769046	0.0372442	0.0661583816	0.049649872	-0.0674055557	0.0306621326	-0.0336856898	-0.1105306498	0.0845543302	0.0215071537	0.141153014	-0.0087371625	0.030869132	-0.0841445554	-0.0934576499	-0.0121502129	-0.0460465339	-0.1339591568	-0.155199733	-0.0504738758	0.0227754428	0.0015243502	-0.0362896262	0.0595086858	-0.1299025736	0.0631699263	-0.0857759267	-0.0367941738	-0.0772281146	0.0199486082	0.0323484195	0.0450766061	0.0039810634	0.201805635	0.0966579709	-0.1673234478	0.0252127891	-0.0286133663	-0.0972511024	0.0844652464	-0.0175728511	-0.0456113321	0.0956754473	-0.0942711606	0.008215334	0.0627906858	-0.0369328812	-0.0826922384	0.2685695789	0.0805416805	-0.0906377251	0.0153897502	0.0682446656	0.0190617111	-0.0997004299	0.0482383217	0.0296060424	-0.0894511283	-0.0886018796	-0.0921101121	0.0112299126	0.0159658641	-0.1192367731	-0.0351570016	-0.0534982227	-0.1051175523	-0.0314701098	0.1164994551	-0.0469360059	-0.005084844	-0.0489240815	-0.064756333	0.1323427607	-0.0112301017	-0.0050418101	-0.0866184651	-0.0996994931	0.0211280323	-0.0464399595	-0.0197538991	-0.0426843455	0.1033258009	-0.0203547388	0.2174666819	-0.1168443292	0.1183076938	0.0940569428	-0.0990251405	0.0629930523	0.0143694201	-0.1170295487	0.0838952856	-0.0164590977	0.084058429	0.0309168993	-0.1013407356	0.199394156	0.0904732082	-0.0309000839	-0.1885103866	0.0221024411	0.0136663033	-0.042635821	-0.0102042023	-0.0682977787	0.1570813542	-0.0899032225	-0.0232849194	-0.0722871261	0.0564581262	0.0580454999	-0.0292693962	-0.0084277018	-0.071663484	-0.0205261453	0.1251036658	-0.0212917084	-0.0393004937	0.0434114537	0.0687697831	0.0667170949	0.0322210075	-0.0547728195	0.0542407831	0.1188228245	0.0499391818	-0.0275176897	-0.1205769097	-0.0374037445	-0.1136819798	0.0800585927	-0.0875191916	0.0634551025	0.086598671	0.1440054664	0.0100451384	0.0733613005	-0.0360825832	0.0740715849	-0.1011093542	0.0200582652	0.1182536866	0.1144731177	0.1082614433	0.0158589	-0.006815	0.0002515047092099	4.644422500000002e-05	0.0235207	0.02090021	0.0005532233284899	0.000436818778044	0.085861	-0.0249869999999999	0.007372111321	0.0006243501689999	-0.000363513	0.0001863439999999	1.3214170116899998e-07	3.4724086335999985e-08	0.000474479	-0.000108048	2.25130321441e-07	1.1674370304000004e-08	-0.000205373	-0.000205373	4.2178069129e-08	4.2178069129e-08
281.78290316200366	0.0811272557477877	79401.60451440714	0.0065816316251669	290.3134444988429	1.205111505543357	84281.89605678273	1.4522937407929766	205.63601230642007	0.5328455505279805	0.2839243807174667	42286.16955728615	206.0242698814014	360.875885886985	1.149161	21.358316	0.0336882	0.0180934	0.1260960455	0.1713453409	-0.0011067939	-0.0488312854	-0.1049374645	0.0637037927	-0.1048515766	0.0280927759	0.1829584509	-0.010232791	-0.0566504416	-0.1095666032	-0.0700467806	-0.0141921173	0.1235804475	0.0934265373	-0.0669813457	-0.0030388433	-0.0696826409	-0.1591944134	0.1184082811	0.0256089222	-0.0563065229	-0.0313519085	-0.0238120798	-0.0350439175	-0.0723797993	0.0622667863	-0.1324480764	0.1328170611	-0.0390067317	0.025855993	-0.0519761858	-0.1574042962	-0.0698259018	0.1843717909	-0.0935925242	0.1004344507	0.1197084216	-0.0726420287	-0.1214402409	0.0004118951	0.0853926094	-0.0036520926	-0.0959441077	0.0561477552	0.0229912815	-0.0239911698	0.0451890389	0.0141662842	-0.0670019887	-0.1255115258	-0.0349259485	-0.0696483495	-0.0006370029	0.0923792277	0.008117844	0.0205217275	0.0667416717	0.0747375706	0.0383853719	-0.0460212261	0.208839887	-0.0111600621	-0.0468307577	-0.1823875998	0.0082400993	-0.1628940621	0.116409251	-0.004110965	0.0571207342	0.0659199075	-0.0070254995	-0.0572726269	-0.0322787417	-0.0635875957	-0.0848728554	-0.1807236711	-0.0977127844	-0.0449888201	0.0077029877	0.1494132769	-0.144421208	-0.1938866405	0.0308235624	-0.1145385954	-0.0673352471	0.0280448863	0.0814793597	0.050796106	0.0257803654	0.1399746071	-0.0023880659	-0.0281001894	-0.0890649078	0.0571236868	0.0033465007	0.0121263723	0.0532661447	-0.0930817973	-0.0519969108	0.069495047	0.0403410717	-0.0232964804	0.1389398789	-0.0473276366	0.051396031	-0.0128625311	0.041489145	0.0159798204	-0.1340354057	0.0594668211	-0.119761132	-0.1835214744	-0.0186142573	-0.0351647333	0.0483983276	0.0348812637	0.0007512823	-0.0114248619	-0.0377575864	-0.1606484511	-0.0993482385	0.0649268647	-0.0732504162	-0.0201683035	-0.1256138759	-0.1259226827	0.0889697067	-0.1492926741	0.1189849712	0.1153908212	-0.0135937613	-0.0373861808	-0.0071127092	-0.0083947054	0.0339125072	0.0407835122	0.003648268	0.1178341246	0.112815636	0.1046092073	0.0090428	-0.0068160999999999	8.177223184e-05	4.645921920999998e-05	0.036809	0.0132883	0.001354902481	0.00017657891689	0.0754118	-0.0104492	0.00568693957924	0.00010918578064	-0.000337628	2.588500000000001e-05	1.1399266638399999e-07	6.700332250000006e-10	0.000483992	9.513000000000002e-06	2.3424825606400003e-07	9.049716900000004e-11	-0.000178079	2.7294e-05	3.171213024099999e-08	7.44962436e-10
