global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06
312.33131912010003	n/a	n/a	97550.85290330175	257.3409073758854	n/a	66224.34260904403	n/a	219.5972583921764	n/a	48222.95589336029	n/a	218.6521563303673	409.3359932801265	n/a	n/a	n/a	n/a	-0.0431820937	-0.023446767	0.0045287038	0.0548085879	-0.039939384	0.1224909695	-0.0309165465	0.0382943666	-0.0909811562	0.0774579199	0.0695937336	-0.0335813672	0.1273967978	-0.0787995631	0.0484377333	-0.007257149	0.0170727903	-0.0879688541	0.1261754799	-0.0174106281	0.0322600259	-0.0363725207	0.0840525832	-0.0685038357	0.1679621244	-0.1547000831	0.0716600497	-0.130196852	0.0084114326	-0.0157438865	0.0486385794	-0.0193233001	0.136594281	-0.0268225743	0.0328120426	0.0448963862	-0.0429673022	-0.0510537898	0.1119583389	0.0369512735	-0.0624253971	0.0891377974	0.0311141165	0.0209250589	-0.0091841198	-0.0665335012	-0.0113591111	0.0825406875	-0.0725898477	-0.0661223969	0.1728121053	0.0337873207	0.0206984413	-0.0928706177	-0.0251962573	-0.0705623533	0.0331527429	-0.1266505968	0.0719935086	-0.0352308639	0.0053990863	-0.0124122343	0.0306080112	-0.1425268851	0.013893023	-0.0419272827	-0.0133079024	0.0881529762	-0.0032417691	0.1970636675	-0.0872216592	0.1146271487	-0.0918950467	0.0527077887	-0.0273097867	0.0297716007	-0.0647750164	0.1279252613	-0.0257710355	0.090499389	0.0141421314	0.0346007511	-0.1249541452	0.0818554992	-0.0111248628	-0.0881824515	0.0762991349	0.0376819087	-0.019110471	-0.0162346731	-0.0588394599	0.0254381306	0.070727996	-0.0787807747	-0.0819557348	0.1278626455	0.0366364299	0.0083908332	-0.1004940514	-0.0513913268	-0.057650751	-0.0442095085	0.0044769201	-0.0332040314	0.092275741	-0.0801514052	0.0765730232	-0.0414377134	0.1544587859	-0.0555467962	0.2017717239	-0.0307869594	0.1736816148	-0.071613567	0.0530028525	-0.0399325299	0.0461957102	-0.0134027996	0.1049378837	-0.0915395243	0.0608492583	0.0096713206	0.0772937812	-0.0650749007	0.1195153378	0.1194927693	0.1194551582	0.0214746	n/a	n/a	0.00046115844516	0.0177594	n/a	n/a	0.00031539628836	0.0124262	n/a	n/a	0.00015441044644	0.00140924	n/a	1.9859573776e-06	n/a	0.002	n/a	n/a	4e-06	0.0	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
311.7759385588059	-0.5553805612941574	0.3084475678634132	97204.23586422428	254.47863413048623	-2.8622732453991944	64759.37522891787	8.192608131328036	219.28230414004827	-0.3149542521281319	48084.72890896863	0.0991961809335908	218.4039361177865	404.8699884126996	1.181506	27.389931	0.13280815	0.0763086999999999	-0.0254603904	-0.0237272459	0.0056959239	0.0707996097	-0.0529869347	-0.0272501882	0.0616531364	0.0106835616	-0.0671214312	-0.084415655	0.0549686888	0.0426624172	-0.0236770347	-0.0043617089	-0.0148440602	0.0994957975	0.023123362	-0.0345123817	0.0534269002	0.1968379816	0.0268652978	0.161037312	0.1542039633	-0.1040422603	0.0693468696	0.0186645748	-0.001424723	-0.1517753668	0.0456542934	-0.0359876718	0.0395676577	-0.0461893601	0.0126344516	-0.0577535837	0.0011092158	-0.1214485132	0.0076398261	-0.0758745048	0.1096882484	-0.0651795786	0.0836669764	0.043100043	0.1177525791	-0.0914480611	0.0425401023	0.0666553094	0.083673643	0.0595525072	0.0981124876	0.0429591119	0.0231244428	0.1263400193	0.1367177925	0.019412407	0.021581252	-0.0536149644	-0.0453885554	0.0263749267	-0.0004382731	0.0273396058	0.0873379241	-0.0171692057	-0.0521593993	-0.0245486648	0.2139096587	-0.0499027514	-0.21618195	0.0176762768	-0.0687469192	0.1061420691	-0.0222377965	-0.0163890674	-0.0933301138	0.1218428342	-0.0314999876	0.060319481	0.022210631	0.0102019673	0.0377302031	-0.0440989458	-0.032226522	0.0832951118	-0.1303120465	0.0651529744	0.0821427426	0.0863794323	0.1077952994	-0.0462083084	0.0401789966	0.0097549079	-0.0104013966	-0.1222454367	0.0907297077	0.1024952325	0.0100406005	-0.0314375613	0.1226675802	0.0878466622	-0.059885838	0.1139469455	-0.0573938796	-0.0388455511	0.0272159244	-0.0439041207	0.0440618206	0.0866606802	0.2228376916	-0.0220434529	0.0156736473	0.0467591822	-0.0101800816	-0.1488095319	0.1767996675	0.1056714637	0.0488040585	0.1880782746	0.0856437347	0.0081058356	0.0663400275	0.0272741653	-0.0071223315	0.1113568216	0.0224076676	0.0448025849	0.1194551582	0.1192521267	0.1189139965	0.0263247	0.0048500999999999	2.352347001e-05	0.00069298983009	0.0533462	0.0355868	0.00126642033424	0.00284581705444	0.0692649	0.0568387	0.00323063781769	0.00479762637201	0.000994054	-0.0004151859999999	9.88143354916e-07	1.7237941459599994e-07	0.002	0.0	0.0	4e-06	0.000295465	0.000295465	8.729956622500003e-08	8.729956622500003e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
311.6881549316093	-0.0877836271965861	0.0077059652037892	97149.50592467088	253.4851095707656	-0.9935245597206404	64254.70077410303	0.9870910507680922	219.5806032006794	0.2982990606311375	48215.64130197422	0.088982329573419	218.6289275993735	405.3077739743801	1.197134	27.752211	0.20154806	0.114114	-0.0390971746	0.0195891001	0.035822116	0.0152736171	-0.0258279	-0.0786874125	-0.1763264137	0.0101957644	0.0931238567	0.0308455559	0.1051853472	0.0064743624	-0.0929195315	-0.0580209941	0.0796777175	-0.0216629876	0.005155612	-0.1412138292	0.0372898135	0.0422554283	0.0020124407	0.0583265459	-0.0079497338	-0.031040182	-0.2310285782	-0.0640644367	-0.0185441454	0.015552933	-0.027587224	-0.0762507877	-0.1393527697	-0.0059993641	-0.0424658819	0.0606632632	0.1204271048	-0.1570323284	-0.0877284602	0.0061237895	-0.0909617961	0.1211981133	-0.1645692267	0.1139471717	-0.0256589187	0.0431818054	-0.1206901951	-0.1098581591	-0.00760712	-0.0499648148	0.0193767167	0.0412684068	0.0637937013	0.1373686228	-0.0950367594	0.0190093887	-0.0912137478	-0.1053034116	-0.0072850029	0.0853233782	0.0678024741	-0.0805959506	-0.0266800155	-0.0064503899	0.0967051793	-0.0950560925	0.0657252741	-0.0147320091	-0.0553458225	-0.0300288879	-0.0780780161	-0.2038622258	-0.0998675307	0.0267165014	0.0516811589	0.0385890791	-0.0798646216	-0.120530112	0.0584580541	-0.0260837888	-0.0395055569	-0.0907849111	0.1168864204	0.1608763027	0.088409062	-0.0755120525	-0.0847711816	-0.173148311	0.0507356275	0.0606023044	-0.0598540011	0.0678348226	-0.1224465702	0.0691355401	-0.0374989821	0.0482875087	-0.0225847013	0.1134474385	0.1092820865	-0.0819381511	0.1096164671	-0.021315315	-0.04852848	-0.0557964267	0.0166771009	-0.0244661906	-0.1176586704	-0.0838375942	0.1058158526	0.0138523567	0.2058636028	-0.0149514368	0.0958116409	-0.0275128457	0.1824763246	0.0972337945	-0.0276468015	-0.057177158	0.0226193298	-0.0678621608	0.0645908576	-0.0412833286	0.1196441333	0.1526289703	-0.0049809298	-0.093688394	0.1193348294	0.1187713263	0.1178341246	0.0290954	0.0027707	7.676778490000006e-06	0.00084654230116	0.0130019	-0.0403443	0.00162766254249	0.00016904940361	-0.00130286	-0.07056776	0.0049798087514176	1.6974441796e-06	0.00219159	0.001197536	4.803066728100001e-06	1.4340924712960004e-06	0.00160708	-0.0003929199999999	1.5438612639999998e-07	2.5827061264e-06	0.000128615	-0.00016685	2.7838922500000005e-08	1.6541818225e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
311.3283866817893	-0.3597682498199788	0.1294331935785306	96925.36435388571	252.9555641907272	-0.5295453800383996	63986.5174550491	0.280418309520013	219.42536867506124	-0.1552345256181695	48147.49241818654	0.0240977579438981	218.4643090167288	404.7041216395969	1.166063	27.03191	0.17006591	0.111236	-0.0534572453	-0.018393163	0.0227062782	0.0468297856	0.0450556639	0.0934242961	-0.00263682	-0.0169445138	-0.0691218343	-0.0215709848	0.0413517244	0.0034165287	0.1089628002	-0.0099038821	0.0501129852	-0.0174539605	0.0724465862	-0.0395210803	0.1729922737	0.0473359507	0.103570762	0.0493631009	0.0628850267	-0.2570243041	-0.0272983443	-0.1308932237	0.0330372382	-0.0149675159	-0.0903790966	-0.1270755658	-0.0168660903	0.1237268795	-0.0415921413	-0.0767260425	-0.1285362264	-0.0209577149	0.0257799791	-0.0568380755	-0.0466122459	-0.0423191353	0.1069569621	0.113258094	0.0991084921	-0.0843467845	0.0109384974	0.0212951673	0.0091504302	-0.1121966815	-0.0968178369	0.0453762194	0.0525893731	0.1140418124	-0.0003037178	0.0672509161	0.0759092025	-0.041432376	5.3844e-05	-0.1158691423	0.0089167707	-0.0504898961	-0.021851472	-0.066967899	-0.0511451883	-0.1482518434	0.0831645356	-0.1136627787	-0.0602921657	0.0292186301	-0.205453131	0.084379601	-0.1340454097	0.0811199589	0.02568333	-0.0110454722	-0.1618167343	-0.0576440451	-0.116866801	-0.029208434	0.1269573058	-0.0150520213	-0.1319801074	-0.0266875945	-0.009445117	-0.069476387	-0.0115599131	0.1170488353	0.1802370054	0.0106354414	0.0634358385	0.0445916823	0.0326142881	-0.0084381986	-0.1019684426	-0.0715867899	0.0202626398	0.1015814607	0.1203155273	0.0121608082	0.0306988523	0.0632056571	-0.0584054156	-0.037372	0.0176651854	-0.033517721	0.1306880717	-0.0663500484	0.1675970035	0.0448531266	0.0244501664	-0.0033030325	0.0869337304	-0.09031429	0.1380983279	-0.06491404	0.0603933793	0.0374854221	0.0343220498	0.0535722767	0.0586614311	-0.0666739445	-0.0110537732	0.0582384895	0.0874955221	-0.0156051582	0.1191544118	0.1180513362	0.1162204348	0.028141	-0.0009544	9.10879360000002e-07	0.000791915881	0.040382	0.0273801	0.00074966987601	0.001630705924	0.0574168	0.05871966	0.0034479984705156	0.0032966889222399	0.00068864	-0.00150295	4.7422504960000004e-07	2.258858702500001e-06	0.00157841	-2.867000000000017e-05	8.219689000000097e-10	2.4913781281e-06	2.11758e-22	-0.000128615	1.6541818225e-08	4.4841450563999997e-44	0.0	0.0	0.0	0.0	0.0	0.0	0.0
311.0055838555919	-0.3228028261974032	0.1042016646010308	96724.4731893576	252.7269384309194	-0.2286257598077838	63870.90540866573	0.0522697380476864	219.4401244821729	0.0147558071116691	48153.96823275154	0.0002177338435167	218.5477291446621	401.7646878415641	1.114115	25.827637	0.0822321	0.0500787	-0.0535222872	-0.0095517583	0.0238047431	0.0585445195	-0.0069047069	0.005723468	0.1001765752	0.0032946361	0.1175724853	0.0422845619	0.0719777224	0.010310903	0.0191887442	0.0265681629	-0.0148689687	0.1231573176	0.074645775	-0.1582110107	0.0777687456	-0.0155008682	-0.1173680057	0.110373761	-0.0920130063	0.0462711462	-0.1240508989	0.1271150863	-0.005186573	-0.054448934	-0.0921357855	0.1099719252	0.0662492306	-0.0474034738	-0.0203873963	0.1629904481	-0.0449375341	-0.1458976226	0.1090683026	0.1917914533	-0.0022704346	0.1067176412	-0.0257219744	0.093924873	-0.0657723723	0.0620368925	0.0908859639	0.1020088989	0.0474135777	-0.0749173625	0.1028311714	0.0488734244	-0.0442574077	-0.0191674694	0.0675637076	-0.0532265663	0.0891080905	-0.0708838921	-0.0143669933	-0.0074804352	-0.0250038191	0.0287156435	0.1218452992	-0.0688316068	0.0856063446	-0.1518315292	0.0251092522	0.096663534	-0.1030151733	-0.1075806728	-0.0261789219	-0.1660144625	0.1038405014	-0.0294579836	-0.1308482179	-0.0776103907	0.0360905033	0.0640626369	0.0469701121	-0.0144194213	-0.1025813262	-0.1589144968	-0.0579280113	0.006469941	0.2019039541	0.1417320289	-0.1063873769	-0.0305255719	0.0131143033	0.0997471597	0.0151971753	-0.1054305748	0.0546525468	-0.0584108146	-0.0647917516	0.1314059587	0.0324333641	-0.0437610004	-0.0245646128	0.0361492393	-0.0696157757	-0.0028420428	-0.0622539004	-0.0406697557	0.0003570248	-0.0444577885	0.0586274623	0.1205735575	0.0499125683	-0.0490056682	0.159672798	0.0121799158	-0.0104383639	-0.0336836093	0.0188391626	0.0890341048	-0.0273458233	-0.0200848268	0.0684542198	0.0189870673	0.0547066973	-0.0272551058	-0.0350195453	-0.0539638449	0.0358401586	0.0496788864	0.1189139965	0.1170936064	0.1140802373	0.0256755	-0.0024654999999999	6.078690249999995e-06	0.00065923130025	-0.0015069	-0.0418889	0.00175467994321	2.2707476100000003e-06	0.0355362	-0.0218806	0.00047876065636	0.0012628215104399	0.000703602	1.4961999999999985e-05	4.95055774404e-07	2.2386144399999948e-10	0.00127343	-0.0003049799999999	9.30128003999999e-08	1.6216239649000002e-06	0.0	-2.11758e-22	4.4841450563999997e-44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
311.06522540314	0.0596415475480966	0.0035571141939318	96761.5744551063	254.22824593090075	1.5013074999813512	64632.00102910256	2.2539242095002545	219.4675287913127	0.027404309139797	48165.99619376567	0.0007509961594295	218.5535144320989	404.6298052028424	1.102554	25.559645	0.142216115	0.0783137	-0.0607387656	0.026634147	0.0617512009	0.0776751961	-0.0615815671	-0.1066960814	-0.0108179473	-0.0091360086	-0.081589486	-0.0346974487	0.0670473631	0.0064759405	-0.0839701923	0.0150320616	0.0064052819	0.0299857979	0.1182114393	-0.0425972641	0.1079887817	0.0240887778	0.1167104736	0.0353542666	-0.0294145192	0.0679719853	0.0657021788	0.0225232994	-0.0676176182	0.0527687054	0.0314152841	0.0772317059	0.0967275145	-0.1730229924	0.0546138696	0.0350331121	-0.0013241953	-0.1078523006	-0.0317866833	0.105680187	-0.087796558	0.0205997664	0.0520002785	-0.0634293767	-0.0271699138	0.032565635	-0.0451532617	0.1133757415	-0.0178648576	0.2017809598	-0.0615887635	0.0967676306	-0.0479826593	-0.0129666819	-0.0137020233	0.0200410241	0.0759419685	-0.0675125672	-0.0083956924	0.0880173832	-0.0109390198	-0.0089554187	0.0235020723	-0.1140171583	-0.0010578203	-0.1108876642	0.0434162814	-0.123760572	0.0086481071	-0.0343264005	0.0835023383	0.0356848312	0.005821424	-0.0517356794	-0.0052580405	-0.0474411966	0.1019645475	0.1345595879	0.1475955042	0.0887685096	-0.023009059	-0.0301027232	-0.0067178817	0.0961842142	0.122864861	0.0012278972	-0.0213226518	0.0681305652	-0.0827458128	0.0045977455	-0.0652563007	0.0173065801	0.0412944168	-0.1326672334	0.1785098708	-0.0769269888	0.1070495026	-0.0370552022	-0.0169355824	-0.0488911078	0.0002318512	0.0592667075	-0.0622589567	-0.0328096164	0.0167019374	-0.015024915	-0.0663116416	0.0508226256	0.17406581	0.0677088097	-0.0268505683	-0.123078838	0.0335800704	-0.0534160015	0.0280980931	-0.0825428782	0.0175723054	-0.0587137506	-0.0280145546	0.0829377626	0.0212151149	0.038386236	-0.0430245942	-0.0460662217	-0.0939590292	0.0807825682	0.1186137044	0.1159000657	0.1114232278	0.0215164	-0.0041590999999999	1.729811280999999e-05	0.00046295546896	0.0505482	0.0520551	0.00270973343601	0.00255512052324	0.0670843	0.0315481	0.00099528261361	0.00450030330649	-3.28703e-05	-0.0007364723	1.08045662209e-09	5.423914486672901e-07	0.00141472	0.0001412899999999	1.9962864099999963e-08	2.0014326784e-06	0.000211314	0.000211314	4.4653606596e-08	4.4653606596e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0
310.87366690641653	-0.1915584967234735	0.036694657666957	96642.43677584162	251.4699473401865	-2.758298590714247	63237.134415276174	7.608211115536203	219.27172684464315	-0.1958019466695475	48080.0901934318	0.0383384023195843	218.3325285345821	401.8735564931523	1.173635	27.207447	0.122635355	0.0609757	-0.0785777641	0.0461082249	0.026733932	0.0473705279	0.0590140554	-0.0259298042	-0.1279735198	-0.0197158269	0.1098132389	0.0793726097	0.0635999303	0.0234038732	-0.0615981851	0.0737241023	0.065439023	-0.1231550483	0.0058079846	-0.0824613148	-0.1016159144	-0.0660115765	0.0073938737	0.0085452422	0.1890732178	0.040330992	0.0297061743	0.1094344282	-0.1231787861	0.1323183566	-0.0007983743	0.0134749449	0.0678815494	0.1824077711	-0.0551649295	0.0554750997	-0.0221656442	0.1234082192	0.0505934746	0.0682767125	0.0685700206	-0.1108394832	0.0990462606	-0.1794002075	0.0304478068	-0.0702690655	0.0779658276	-0.0449326136	-0.1747957194	-0.0108210928	-0.0466210301	-0.0672601517	0.1067823614	-0.076728044	-0.1769348494	-0.1734260427	0.0466469676	-0.0647218761	-0.0217458075	0.0534973444	-0.0605176498	-0.0848620509	-0.1035176358	-0.0116831797	0.1089240848	0.0655135835	-0.0506118384	-0.0067280948	-0.108208133	0.1331545087	0.0480698006	0.018232774	0.0247329964	-0.1867441606	0.1147228811	-0.0981188348	0.0267326498	0.0081976639	-0.1560249787	-0.0832028452	-0.0738417609	0.0290255426	-0.01656751	-0.1338458817	0.0371607973	0.0534007033	0.1059629097	0.1240161316	-0.0935282373	-0.1433489	0.0770024693	0.0399778918	0.1322289361	0.1626807316	0.0283556382	-0.0859329615	-0.0211122108	0.0288798888	-0.0762860963	-0.22598526	-0.1149558569	0.0163530205	-0.0666053469	-0.0285642883	-0.0014736748	-0.0128691152	-0.068659517	-0.0821255319	0.0686765944	0.0708692254	0.0293596414	0.0969342946	-0.1789030966	0.0772729299	-0.0267558501	0.1083196491	-0.0180085914	0.1070621402	0.0861804513	0.0468586219	0.0026756537	0.041903766	0.0398704579	-0.0868090098	-0.1382855671	-0.1134996526	0.1182536866	0.1144731177	0.1082614433	0.0138732	-0.0076432	5.8418506240000016e-05	0.00019246567824	0.00492926	-0.04561894	0.0020810876867236	2.4297604147600004e-05	0.0400931	-0.0269912	0.00072852487744	0.00160745666761	0.000111793	0.0001446633	1.2497674849000002e-08	2.092747036689e-08	0.00113223	-0.00028249	7.980060010000004e-08	1.2819447728999998e-06	0.000631801	0.000420487	1.76809317169e-07	3.99172503601e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
311.2085898655916	0.33492295917506	0.1121733885825789	96850.78640613	250.73585035499008	-0.7340969851964303	62868.46665323998	0.538898383674488	219.33550869454209	0.0637818498989304	48108.06537429355	0.0040681243765296	218.3889247958943	401.9339104073253	1.242451	28.802761	0.0256495899999999	0.0120356	-0.0454003409	-0.0068233139	0.019603022	0.0403733219	0.0615244525	0.1135459969	0.073295667	-0.0429428284	0.0218218149	0.0433780669	0.0331173789	-0.0081873242	0.1305980732	0.0004539276	0.0423529993	0.0280506167	-0.0218216094	-0.0560496803	0.0353420908	-0.0947757256	-0.0714276865	-0.0089558992	0.1696240215	0.0652054856	0.2706706382	-0.0089968099	0.0980686549	0.1133455935	-0.1790267978	0.1290004891	0.0380534177	-0.0408437551	0.1463591339	-0.0746086751	-0.0782512046	-0.0504927071	-0.0563402404	0.0310741146	-0.085918861	-0.0313745871	-0.181764794	-0.0940351528	-0.0218435919	0.0744840662	0.0314361105	0.0218771399	0.1100841095	-0.0638919992	0.0244777145	-0.1467837519	-0.066268028	0.0052368168	-0.1172471918	-0.0010494414	-0.0894427113	-0.0335549681	0.0117942001	-0.1317303186	-0.0045456919	-0.0380153329	0.0265274032	0.0310807908	0.0313622614	-0.0697600865	-0.1015306632	0.0581169253	-0.1075066817	0.1337958647	0.1389669648	0.2565796488	0.0687946404	0.0672642717	-0.0463675781	-0.2332301713	0.0282438167	-0.0183591111	0.041379498	0.1346890115	0.0462439644	0.0195982633	-0.0968139278	0.0546792152	0.0862436005	-0.0714497538	0.0764966397	-0.1525492866	-0.1052380244	-0.0463939454	-0.0215766804	-0.1048739638	-0.0240613008	-0.056508889	-0.0934186516	0.0321659443	-0.1508535598	-0.0527107196	0.0123430482	-0.0930875573	0.0766564013	-0.0971641209	-0.0592831189	-0.0280342454	-0.004893932	-0.0446672233	0.1164057614	-0.012038908	-0.0197200193	0.0190508729	0.1211293023	-0.093201749	0.0439053599	0.03848554	-0.040183218	-0.0542440139	-0.0159660605	-0.0863789605	0.0087749693	0.0501589674	0.0515245472	0.0645341486	0.0069709459	-0.1617441823	0.0328009513	-0.0779057118	0.1178341246	0.112815636	0.1046092073	0.0161472	0.002274	5.171076e-06	0.00026073206784	0.0138174	0.00888814	7.899903265959998e-05	0.00019092054276	0.0343571	-0.0057359999999999	3.290169599999998e-05	0.00118041032041	0.000162783	5.099e-05	2.6498305089e-08	2.5999801e-09	0.00105119	-8.103999999999989e-05	6.5674815999999825e-09	1.1050004161e-06	0.000588802	-4.2998999999999945e-05	1.848914000999995e-09	3.466877952040001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
311.36856949933366	0.1599796337420684	0.0255934832122463	96950.38607206136	253.56244265460552	2.8265922996154416	64293.91232497012	7.98962402824531	219.259585835232	-0.0759228593100829	48074.76598063747	0.0057642805658186	218.38498345391224	404.9866010218638	1.09303	25.338846	0.05616295	0.0274223	-0.0395931256	-0.004037136	0.0313719418	0.0728049092	-0.0085084151	-0.0253140739	0.1008018034	-0.0423434549	-0.0804080935	-0.0582046614	0.0398273447	0.0296889203	-0.0281509072	0.0813964347	-0.0158699165	0.1472349767	-0.0437756683	0.0840364057	-0.0586864418	0.1512322573	0.035452189	0.1631947965	-0.0173454066	-0.074164421	-0.0041654759	0.0915777289	0.1047455396	-0.1755293125	0.004891191	-0.0007543284	-0.003745106	0.0438600943	-0.0148603067	-0.0686256965	-0.0052451412	0.1729307109	0.0287943165	-0.0308254154	0.0738004719	-0.0528374117	-0.0707320071	-0.0564880861	-0.0486329961	-0.1149686054	0.0758849464	-0.0773464322	-0.0541401212	0.0060887428	-0.0582818244	0.0062677467	-0.0188774762	-0.1700458011	0.0203399003	0.0318567792	-0.0375433996	-0.0385299973	-0.0329660159	0.035091631	-0.0804591952	0.0236249743	0.1397986698	0.0435366531	-0.0829080312	0.1173863518	0.1297348641	-0.0480129293	-0.117460367	-0.1023632257	-0.0740166047	0.0109218141	0.0959859924	0.0509954225	-0.1382778811	0.1100827351	-0.0148574638	-0.0123404556	-0.0514692659	-0.0361974834	0.047509336	0.1157362298	0.0087682374	-0.1485470972	-0.0669343289	0.0078839347	0.0707860597	-0.0630333499	-0.0412348419	-0.0479914338	0.157112768	0.0158338191	0.0098850224	0.0903983893	0.0162876133	-0.0704451361	0.0204304812	0.0056902154	-0.1262544027	0.0512196647	0.0329372976	-0.0665525662	-0.0525286712	-0.0200214169	0.0092470049	-0.0258216957	0.0223127026	0.1155167203	0.1504784199	-0.00138099	-0.1002310628	0.0346774229	-0.0779493062	-0.0804705178	-0.0028124714	0.0869908749	0.0823721116	0.110030804	0.0395060435	0.0194806617	0.0190697442	0.0777904485	0.0295450085	-0.0200953564	0.0041350139	0.0209906659	0.1173552296	0.1109309587	0.1004830656	0.0119935	-0.0041537	1.7253223689999997e-05	0.00014384404225	0.0283365	0.0145191	0.00021080426481	0.00080295723225	0.0563868	0.0220297	0.0004853076820899	0.00317947121424	0.000336351	0.0001735679999999	1.1313199520099998e-07	3.0125850623999994e-08	0.00105902	7.829999999999903e-06	6.130889999999848e-11	1.1215233604e-06	0.000460991	-0.000127811	1.6335651721000006e-08	2.12512702081e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0
