global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	c_comp_cor_12	c_comp_cor_13	c_comp_cor_14	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30	motion_outlier31	motion_outlier32	motion_outlier33	motion_outlier34	motion_outlier35	motion_outlier36	motion_outlier37	motion_outlier38	motion_outlier39	motion_outlier40	motion_outlier41	motion_outlier42	motion_outlier43	motion_outlier44	motion_outlier45	motion_outlier46	motion_outlier47	motion_outlier48	motion_outlier49	motion_outlier50	motion_outlier51	motion_outlier52	motion_outlier53	motion_outlier54
296.0106481863453	n/a	87622.30383970028	n/a	329.4695597158739	n/a	108550.1907793718	n/a	171.4861073055531	n/a	29407.484998811677	n/a	177.7369563996707	423.50492970751264	n/a	n/a	n/a	n/a	-0.0757718484	-0.212440771	0.0356591076	-0.0258518124	0.3063358958	-0.2629099715	0.2043684208	-0.4189041604	0.4640982873	-0.0964048131	0.1331154246	0.1140364412	-0.0954953016	0.0458865375	-0.1350928373	0.0322353008	-0.0661344401	0.0475961547	-0.2356078025	0.0413842706	-0.0905900459	0.0243031078	-0.029472719	0.1490807854	-0.0034779022	0.1350939768	-0.1478467228	0.0254064835	0.021792142	-0.0559400128	0.0917686918	-0.0725763191	0.0116179099	-0.1296990561	0.0172522622	-0.0469137302	0.0905556779	-0.0082888015	0.0642642763	-0.0056659675	0.1499550534	-0.0252448009	0.122214072	0.0338370176	-0.0148818135	-0.1190814811	0.104469294	0.1399759122	-0.0743420668	0.0136808945	0.0652295589	0.0456839845	-0.0502478737	-0.0467456835	0.0712702737	0.0562199353	-0.128098087	-0.0302496636	-0.0570769252	0.0514160585	0.175589734	-0.0086193113	-0.0944834507	0.1337851364	0.0986499599	0.0319395995	0.0070594827	-0.0596214839	-0.0559405118	0.0662941687	-0.2224402895	0.0017629418	-0.0669475022	0.1407974838	-0.0288907754	0.1571638906	-0.2630032152	0.1704756523	-0.0754319364	0.3263943195	-0.0769113953	-0.1308447077	0.0766921016	-0.0806501566	0.0520081092	-0.0993334835	0.046242571	-0.0844400333	0.1282371341	-0.0922556275	0.0560809293	-0.0173012769	0.119784151	-0.0692431013	-0.0830398623	0.2326239595	-0.039314173	-0.0397268022	0.0784636645	0.1117186412	-0.0909211269	-0.0275221125	0.0452023548	0.0525755346	-0.0410019113	-0.019963776	-0.0089100172	-0.0652833626	0.1224304551	-0.0598378507	-0.0166918925	0.1209709831	0.0569408355	-0.1403279043	-0.0140533621	-0.027626363	-0.0105012939	-0.0428178058	-0.0182154902	0.1356723802	-0.1359645189	0.0380051001	-0.0223600097	0.1762264619	-0.0455870961	0.0245980456	-0.0731136136	2.75465e-05	-0.1028717468	0.0532901264	-0.0676187281	0.099289589	-0.0793508556	0.0321203792	-0.0419417007	0.1805372635	-0.0121685986	0.0757369916	0.0390272323	-0.0626244317	0.0489715562	0.0830596258	0.1195153378	0.1194927693	0.1194551582	0.0335335	n/a	0.00112449562225	n/a	0.114476	n/a	0.013104754576	n/a	0.0433117	n/a	n/a	0.00187590335689	4.84855e-05	n/a	2.3508437102500004e-09	n/a	-0.000458016	n/a	n/a	2.09778656256e-07	0.000808246	n/a	6.53261596516e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
295.18656486487464	-0.8240833214706527	87135.10807672485	0.6791133207261031	324.3993036227627	-5.0702560931111975	105234.9081909334	25.707496849731225	171.44314059792154	-0.0429667076315638	29392.75045807869	0.0018461379646962	177.26450922953794	417.04230266562735	1.092611	27.111725	0.102750025	0.0666641	-0.0746791293	-0.144575135	0.0401551642	0.1519626419	0.2045425045	0.0652368663	0.1612933848	-0.1998312504	0.1407322643	-0.003786938	0.0218527454	0.0104671594	0.0501799978	-0.0837478833	0.0624900701	0.0022245332	0.0796007064	0.0917032663	0.0214687436	0.1041800912	-0.0623826132	0.0565194564	0.0435064498	0.0418912112	-0.0618086933	0.030489806	-0.1487724648	-0.0003236579	0.0193080826	0.0044340261	0.0018160313	0.0062679072	-0.1091772252	-0.1736659381	-0.0786414771	-0.148646491	0.0378843684	0.0300446381	0.0155477928	0.0837437481	0.0973859687	-0.0239536212	0.03535165	-0.1104766568	0.0681621896	0.1307096451	0.0517548157	0.0731362152	0.0410239165	0.2210675762	-0.1877847006	0.0469089341	-0.0478105033	0.039281755	0.1007691295	-0.057705532	-0.0613316178	0.0007928341	-0.0681299277	0.0517211673	0.1680197146	-0.1357199616	-0.0243589933	0.0353868734	-0.1405938712	-0.0201839977	0.0333490769	-0.0462106072	-0.0194467147	0.1397830993	-0.0312904885	-0.0700263036	0.0688765248	0.0353941956	-0.049368299	0.0822948965	-0.1492555995	-0.0144980176	0.009145023	0.1656814237	0.0070412948	-0.0923043795	0.0118840127	0.0627425071	-0.0464731341	-0.1040463796	0.0762595027	-0.0258801975	0.0287648072	0.0461650811	-0.0674202836	-0.0976165268	-0.0643262963	-0.147363897	-0.0546422979	-0.0191406372	-0.1102307563	-0.1992672782	0.0796581086	-0.0856796698	0.0820964462	0.023197727	-0.1198276526	0.0596377155	0.1277850899	-0.0798642157	-0.0154499849	-0.0527587276	-0.1644271034	-0.0061721499	-0.0408590755	-0.0339210756	-0.0860491006	-0.057382626	-0.0585594824	-0.0007419247	-0.0580855171	-0.0156521962	-0.0866473492	0.0847964613	-0.0463569845	-0.1271445536	-0.0545441528	0.1306491032	-0.0947111083	-0.0026093146	-0.0908536987	0.0037403618	-0.1501877512	0.1153748395	-0.0351773232	0.196717936	-0.090077502	0.0767666917	-0.0385641697	0.1127998414	-0.0154858486	0.0403150655	-0.0015502572	-0.0694721257	0.0271483665	0.1414554675	0.1194551582	0.1192521267	0.1189139965	0.0288091	-0.0047244	0.00082996424281	2.231995536e-05	0.172679	0.058203	0.029818037041	0.003387589209	0.0663566	0.0230449	0.00053106741601	0.00440319836356	-0.000205277	-0.0002537625	4.2138646729e-08	6.439540640625e-08	-0.000430668	2.734800000000001e-05	7.479131040000004e-10	1.85474926224e-07	0.000753802	-5.444399999999996e-05	5.682174552040001e-07	2.964149135999995e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
295.34801215344464	0.1614472885700024	87230.44828299129	0.0260652269866056	323.13674781822505	-1.2625558045376692	104417.35779053916	1.5940471595717614	171.47868781714442	0.0355472192228774	29404.940375489678	0.0012636047944793	177.15038836222794	419.6945902985945	1.018504	25.272833	0.1186954	0.0840963	-0.0520885559	-0.1838929224	0.042921172	0.0272415765	0.1705564652	0.077592286	0.1259301871	0.0445471382	0.0331707666	-0.2103129435	-0.0785041578	-0.0247649336	0.0448332896	-0.0154311988	0.0517698501	0.0950830944	-0.0051707951	0.0232061833	0.136288938	0.1068507789	-0.0965019418	-0.1056173196	0.10346059	0.0382615416	-0.0566154066	-0.0343360284	-0.14368385	0.0158963806	-0.1413570766	-0.042237445	0.0204328192	0.0246153217	-0.152630813	0.0866468991	0.0938337977	0.0629319921	0.1356347068	0.1023373731	-0.0627346708	-0.0565015076	0.018759541	0.1105260168	-0.0126430732	-0.032909378	-0.0083439966	0.0558354492	-0.0421342078	-0.1178029642	-0.0114417367	0.0018177269	0.0841435925	0.0128072489	0.0264718472	0.1866469281	0.050884736	-0.0257744058	0.038303785	0.05773796	0.0346372086	0.04785684	0.0039706239	0.0555873646	0.0341392622	0.0351881737	0.0429946791	-0.0009818627	-0.1133581321	-0.0713461662	0.0616402146	0.1636445598	0.0966647674	-0.1586575662	-0.068538714	0.0543844392	-0.0843424613	0.0142585101	-0.0402806257	-0.1348590506	0.0712181977	-0.03240512	-0.1033235622	-0.0488074028	-0.1190411914	0.1279985057	0.0212952211	-0.0639739656	-0.1316472558	0.1281381041	0.0159961524	-0.1676510454	-0.044214236	-0.0216884155	0.0267725165	0.0233127028	0.0084104105	-0.0254845619	-0.0844949334	0.01821952	-0.0250903428	-0.0735914648	0.0027703307	0.0004514828	-0.0219351495	-0.1172373478	-0.0034608338	-0.00010483	0.1448030959	0.0202741967	-0.0686321039	0.0354923228	-0.0706337659	-0.0780166303	0.0216083416	0.0920633508	-0.0279855892	-0.02250377	0.0530573785	-0.1495358019	-0.031255187	0.1376338516	0.1590912468	-0.0216004153	-0.0683008549	0.1507997576	-0.0690822042	0.0165754572	-0.0902121023	0.0093001394	-0.1255592813	0.0186979122	0.0477574309	0.1094331491	-0.0628203854	0.0446531838	-0.0146917558	0.0324950639	-0.0315044273	0.0359300382	0.0167962289	-0.0149544969	0.1758036474	-0.0042781815	0.1193348294	0.1187713263	0.1178341246	0.0259372	-0.0028719	0.00067273834384	8.247809610000002e-06	0.0935808	-0.0790982	0.00875736612864	0.0062565252432399	0.0763109	0.0099543	9.908808848999998e-05	0.00582335345881	0.000141027	0.0003463039999999	1.9888614729e-08	1.1992646041599997e-07	-0.00054177	-0.000111102	1.2343654404000004e-08	2.935147329000001e-07	0.000675788	-7.801400000000006e-05	4.56689420944e-07	6.086184196000009e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
295.0456738436848	-0.3023383097598184	87051.94965387405	0.0914084535484239	323.0453593617394	-0.0913884564856744	104358.30420515532	0.008351849978834	171.45376073373248	-0.0249270834119386	29396.392069739984	0.0006213594874257	177.17343445963743	417.61360602742445	0.963255	23.901924	0.0790773499999999	0.0329131	-0.0613889063	-0.1960998174	0.0819338461	-0.1119536476	0.1956571726	-0.1017855164	0.0467001426	0.0952401971	-0.055510983	-0.0559868092	0.0046246542	-0.1230118234	0.1229750677	-0.0674474317	-0.0062569952	-0.0057257778	-0.0813653948	-0.0156663538	0.1701403076	0.0942425728	-0.0844575642	-0.0925642153	0.0520839985	0.2338897403	0.050760516	-0.015439754	-0.0022931355	-0.0043393798	0.0317961778	-0.0712122712	0.0317697599	-0.0565619583	-0.0163544638	0.0862455926	0.0642990005	-0.0815567846	0.0348571848	-0.0750971777	-0.0318554343	0.0401353306	-0.0851690261	0.0192608872	0.0527410261	0.0517476957	0.1002815382	0.0416422002	-0.0850687494	0.1799758031	-0.1516391304	0.2101756927	0.1588732829	-0.1640216896	0.1189234372	0.1160090112	-0.0658137762	0.0973120028	0.0022276216	-0.0704786531	0.0915784252	-0.1756200534	-0.0911648697	0.0150135298	-0.0346195214	-0.0771435869	0.0750163807	0.0608735298	0.0023942453	-0.0188201066	0.0211581926	0.1364661838	-0.0805859264	-0.0710374973	-0.128772046	0.1827736565	-0.1176234305	-0.0565493321	-0.0039854332	-0.0267481494	-0.0129025289	-0.1040629554	-0.0944910108	-0.0575570429	0.0622990706	0.0326432145	-0.0212036028	0.0782604858	-0.1576033897	-0.0157988936	0.0845978043	-0.0398256941	-0.1424354709	-0.0494970437	-0.0081057446	0.0891993191	0.067417695	0.0041159882	-0.0748485851	-0.0800846999	-0.0891408916	0.0270809678	0.1782314227	-0.1253588821	0.0334888108	0.13746758	-0.0544689918	0.1411873564	0.1041567825	0.0093494887	0.1440807504	0.0044897876	0.1508583402	-0.016596133	0.0797007018	0.0156056534	0.0426166698	0.0561746735	0.0364572653	0.0505930905	-0.0231774338	0.1486654221	0.005686411	0.135748585	-0.0233939455	0.1529252945	-0.0512408048	0.0479718449	-0.0478654863	0.0284568979	-0.1316690953	-0.0895465131	0.2042219307	0.0185497891	-0.0119005595	0.003088045	-0.0974115341	0.0012478215	0.0210606161	0.0063230135	-0.1243087615	0.0248477103	0.2202497489	-0.079247206	0.1191544118	0.1180513362	0.1162204348	0.0106284	-0.0153088	0.00011296288656	0.00023435935744	0.108607	0.0150261999999999	0.011795480449	0.0002257866864399	0.0607841	-0.0155268	0.00024108151824	0.00369470681281	-0.000139511	-0.000280538	1.9463319121000006e-08	7.870156944399999e-08	-0.00028291	0.00025886	6.700849960000002e-08	8.00380681e-08	0.000550875	-0.0001249129999999	3.03463265625e-07	1.5603257568999984e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
295.1825683296388	0.1368944859539738	87132.74864568187	0.0187401002846027	322.5396951981712	-0.5056641635681558	104031.8549785292	0.2556962463170826	171.53562037201797	0.0818596382854934	29424.46905641307	0.0067010003802318	177.23229779966525	416.34356848024856	0.891003	22.10907	0.04658388	0.0249424	-0.0636635484	-0.1732117748	0.0510346181	-0.0102787372	0.1541043857	-0.0875809465	0.0744103453	0.042703761	-0.0780714829	0.0488012412	0.063440948	-0.109571528	0.06448523	-0.0828782972	0.0605033758	0.0399536058	-0.0723506408	0.0125119057	0.1512282628	0.1042173278	-0.1074048909	0.0374077572	0.0717357031	0.1394460704	0.0628050298	0.0231908675	-0.0621275295	0.0061695628	-0.0719927618	-0.0852089244	0.1866701991	-0.0583112796	0.0625048106	0.0432877844	-0.0384148751	0.0414782062	-0.1849659608	-0.1267462653	0.0822616653	0.0844784435	-0.0252259618	0.0067669989	0.0495564776	-0.0050382889	0.063036075	0.0029819605	0.0332851414	-0.0181675996	-0.0531549487	-0.0895014397	-0.067606829	0.0267348	0.1026634027	0.0372928401	-0.0908951547	0.1270231153	-0.0418162891	-0.1285954432	-0.0252623782	0.0808889661	-0.0075733577	0.2043747439	0.106169344	-0.0118908097	-0.1556758126	-0.0819750658	-0.0426237381	-0.0170082383	0.0625726123	0.1161598921	-0.1309112502	-0.0743828274	0.0126789811	0.1307374999	-0.019314038	-0.0310081842	0.0021786542	-0.0173778536	-0.0556858682	0.0017414812	-0.1036916665	-0.1229263855	-0.0223177602	-0.0068778906	0.069414742	0.2067625566	-0.0491450962	0.007058226	-0.0198189711	0.1878270186	-0.0067375811	0.0188458412	0.008450637	0.1834407144	0.1464182726	-0.0888982974	-0.0332406394	0.0310844025	-0.0909542637	-0.0861655668	0.0370880743	0.0306071325	0.0406401287	-0.0707648929	0.0847683595	-0.0427703096	-0.0921471262	-0.0264759921	0.1089626293	-0.0470572818	-0.1456465593	-0.0102033766	0.0144414794	0.1043643803	-0.0482364042	0.0158741338	-0.1092850346	0.0493341214	-0.0103599094	0.1233514548	-0.1093168391	0.0380729104	0.0222943394	0.1018532165	-0.0750908411	0.0682636461	-0.008195737	0.0798724981	-0.1290823668	-0.0654605974	0.0451041579	0.0293325006	0.0740748913	-0.0374129982	-0.0818588947	0.1040609604	0.066478917	-0.0693774599	-0.1277179747	0.1847033792	0.0201514315	-0.0092914035	0.1189139965	0.1170936064	0.1140802373	-0.00400883	-0.01463723	1.6070717968899997e-05	0.0002142485020729	0.0995392	-0.0090678	0.00990805233664	8.222499684000002e-05	0.0435924	-0.0171916999999999	0.0002955545488899	0.00190029733776	-0.000119314	2.019700000000001e-05	1.4235830596000001e-08	4.0791880900000036e-10	-0.000243336	3.9573999999999984e-05	1.5661014759999988e-09	5.9212408896e-08	0.000496903	-5.3972e-05	2.469125914090001e-07	2.9129767840000003e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
294.6709943196395	-0.5115740099993218	86830.994893325	0.2617079677067861	322.3987101846674	-0.1409850135038368	103940.92832873717	0.019876774032677	171.43466731258482	-0.1009530594331522	29389.84515657664	0.0101915202089135	177.23221526342638	417.6459667873798	0.977643	24.258928	0.06133804	0.0436689	-0.0769643877	-0.1375484503	-0.0409855382	0.1539617531	0.0836974009	0.0938951692	0.1798409355	0.1129072154	-0.0596109539	0.1417842518	0.036151764	-0.0747374288	-0.0099791396	-0.0544203867	-0.1318993637	-0.0313537966	-0.1485896318	-0.0064198607	-0.0350755792	0.0674727214	-0.0124914927	0.137233253	0.1270265876	-0.0069389725	0.0651872925	-0.0564180141	-0.0924635725	0.0475180016	-0.0747243356	-0.0958180919	0.0690116533	0.0754492614	0.0820338913	-0.0634393248	0.1096730365	-0.0521074905	0.0915725528	0.1244772151	0.1254616462	0.048495126	0.0370124816	0.0632591358	-0.0518793406	0.0694965192	-0.0018029363	0.0685849655	0.2197009138	-0.0276448391	0.1395768224	-0.0806589891	-0.0285542959	0.0628617881	0.0229284987	-0.0594158924	0.0637679587	0.0106396495	-0.0386193306	0.0867460545	0.0540275373	0.0255283426	0.1043276872	0.0731756911	0.2164375205	-0.0226566598	0.0034331135	-0.0840408197	0.1802145598	-0.1001194007	-0.0163228637	0.0716235924	0.0177030348	-0.0365524608	0.1930768956	0.0618430741	-0.0261777972	-0.1300430098	-0.0705957499	-0.0040465165	-0.0176669308	0.0465362223	-0.0976687356	0.0156125396	-0.1447118901	-0.0110589089	-0.015226401	-0.048464918	-0.0507976847	-0.0482416184	0.0779259673	0.1133385643	0.1294080039	-0.0879502068	-0.024150601	0.0018525201	0.0189249604	-0.0070025905	0.063088745	0.1431614557	0.1897550446	-0.1194273358	0.0735817064	-0.0337609919	-0.0802977329	-0.0537313172	-0.0207785442	-0.2191519406	-0.0752633446	0.1663967592	0.0766726877	-0.0758447054	-0.130390423	-0.0167613733	-0.1055502884	0.1033043534	-0.0457631448	-0.0503338182	0.0427445086	0.0116994679	-0.0342760244	0.0904131656	-0.0687953645	-0.1506077006	-0.009812133	0.1027847848	-0.109592925	0.0207669066	0.0450189835	0.1081002625	0.0325854511	-0.0773096341	-0.0533068659	0.0922278985	0.0975308686	-0.1142540645	-0.0024288792	0.0397030709	0.0478317714	-0.056673475	-0.0327463813	0.0869553965	0.0091331264	0.0454303038	0.1186137044	0.1159000657	0.1114232278	-0.00229894	0.0017098899999999	5.285125123600001e-06	2.923723812099998e-06	0.140374	0.0408348	0.019704859876	0.00166748089104	0.0572034	0.0136109999999999	0.0001852593209999	0.00327222897156	-0.000163123	-4.380899999999999e-05	2.6609113129e-08	1.919228480999999e-09	-0.000229308	1.4027999999999997e-05	1.9678478399999983e-10	5.2582158864e-08	0.000542713	4.580999999999997e-05	2.94537400369e-07	2.098556099999997e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
293.731713334998	-0.9392809846414708	86278.31941871345	0.8822487681090507	321.37799231211346	-1.0207178725539163	103283.81394256486	1.0418649753509934	171.2684846836149	-0.1661826289699206	29332.893845821636	0.0276166661713543	177.12860069641178	413.6232676728359	1.044052	25.906778	0.0781108199999999	0.0402591	-0.1149301611	-0.0457531484	-0.043450253	0.0073490807	0.0596134435	0.0930403915	-0.0039870699	0.1853161627	0.0351974977	0.0430750421	0.0113363854	-0.0081384204	-0.1167496569	0.1585606045	-0.073198529	0.0204502486	0.0098724804	-0.0526326945	-0.0797353364	0.0943934006	0.0605448377	-0.0021820462	0.0268910434	-0.0019158789	0.092711186	-0.1304308729	-0.0281698285	0.0207035245	0.0218771895	0.0274567265	0.0520581937	-0.1660008749	0.0708544349	0.0804816502	-0.065146927	0.0189334661	0.0098673712	0.0937229622	-0.030317099	0.0551939175	-0.0770991574	0.0530529155	0.1059929204	-0.0011313067	0.1247562451	0.0328652881	-0.005252643	0.0052893434	0.0407503724	-0.1209480588	-0.1002352814	0.0728040267	-0.0673309752	-0.0175207871	-0.0690737978	-0.0850060816	0.1717467491	0.1002316332	-0.0258382441	-0.0146908876	-0.0581170462	-0.1187153548	-0.0670523268	-0.0621879438	0.1023886799	0.0310994311	0.0092919278	0.0741695083	0.005280671	0.0910390638	0.1127074079	0.0434362021	0.0098821365	-0.0043315843	-0.0299246567	-0.1819301493	-0.0247236327	0.0450207065	-0.0156903528	0.0380744109	0.0017529558	-0.0306379454	-0.0151863968	-0.0508907335	-0.1857020642	0.1246285084	0.0432280333	0.0102685852	-0.0601771638	-0.0819212557	0.0773957369	-0.0162817786	0.0822054397	0.1668418964	0.0492047181	-0.0335901357	0.1411408265	-0.0214427138	0.0464008667	-0.111287028	-0.0447871084	-0.005766152	0.1174753422	0.0127083945	0.0176594062	-0.0300560598	-0.0038014525	-0.0792123799	-0.2044737802	-0.0184284761	0.1284542844	0.0045438027	-0.0286539276	0.0191200921	0.0971580787	0.0463229864	0.116436311	0.0052568487	-0.0899742895	0.0764486118	0.1094017678	-0.023365729	-0.0628172846	0.1095304097	-0.05890876	-0.0119686392	0.0711522458	0.0776355812	0.0622559789	-0.0084097668	-0.032445985	0.0718680866	-0.0677408767	-0.0722268448	0.0465403783	-0.0712527046	-0.0510322114	-0.1256957385	-0.0188741327	0.0639120782	0.0380551529	-0.0898107837	0.1182536866	0.1144731177	0.1082614433	0.00789978	0.01019872	6.240652404840001e-05	0.0001040138896384	0.15883	0.018456	0.0252269689	0.000340623936	0.0886035	0.0314001	0.00098596628001	0.00785058021225	-0.000291316	-0.000128193	8.486501185600002e-08	1.6433445249000008e-08	-0.000330126	-0.0001008179999999	1.0164269123999994e-08	1.08983175876e-07	0.000410604	-0.000132109	1.68595644816e-07	1.7452787880999997e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
