onset	duration	trial_type	trial_code	response	RT	money	carbon
5.7932	10	CET	c4_m2	LEFT	2.846800000000001	50	40
20.8349	10	CET	c1_m1	RIGHT	4.300999999999998	10	2
36.126	10	dummy	dl0	LEFT	2.0091000000000037	0	0
51.1682	10	CET	m5_c2	LEFT	3.5117000000000047	120	10
66.9599	10	CET	c3_m5	LEFT	7.079999999999998	120	25
83.26	10	CET	m0_c2	RIGHT	3.379899999999992	0	10
99.5517	10	CET	c5_m0	LEFT	3.143500000000003	0	50
114.6012	10	dummy	dr0	RIGHT	2.2146999999999935	0	0
130.6428	10	CET	m4_c5	RIGHT	4.373099999999994	100	50
147.4434	10	CET	c3_m2	LEFT	6.532499999999999	50	25
162.9762	10	CET	m1_c3	RIGHT	2.8237000000000023	10	25
178.0184	10	dummy	dl1	LEFT	4.9173999999999864	0	0
193.0601	10	CET	c0_m0	LEFT	4.555700000000002	0	0
208.3518	10	CET	c4_m1	LEFT	3.584000000000003	10	40
224.893	10	CET	m4_c3	LEFT	2.8588000000000022	100	25
240.9346	10	dummy	dr1	RIGHT	2.617199999999997	0	0
256.7352	10	CET	c5_m5	LEFT	5.256599999999992	120	50
273.0269	10	CET	m1_c0	LEFT	2.044899999999984	10	0
290.0681	10	dummy	dr3	RIGHT	1.827699999999993	0	0
306.6098	10	CET	m3_c3	RIGHT	3.8859999999999673	80	25
322.902	10	CET	m3_c5	RIGHT	2.2098000000000297	80	50
338.1937	10	CET	m2_c1	LEFT	2.117500000000007	50	2
354.7354	10	CET	c1_m0	LEFT	1.9362999999999602	0	2
371.7764	10	dummy	dr2	RIGHT	1.6552999999999543	0	0
387.8188	10	CET	m2_c2	RIGHT	5.532899999999984	50	10
403.3605	10	CET	m4_c0	LEFT	2.855200000000025	100	0
418.9105	10	CET	c0_m5	RIGHT	3.1211999999999875	120	0
435.2022	10	dummy	dl3	LEFT	1.9735000000000014	0	0
451.985	10	CET	m4_c1	LEFT	2.390699999999981	100	2
467.2767	10	CET	c4_m4	LEFT	4.154999999999973	100	40
483.3189	10	dummy	dl2	LEFT	1.776800000000037	0	0
498.36	10	CET	c0_m2	RIGHT	2.751699999999971	50	0
514.9023	10	CET	c4_m3	LEFT	2.673400000000015	80	40
530.694	10	CET	m5_c4	LEFT	3.497600000000034	120	40
546.4857	10	CET	c4_m0	LEFT	2.985900000000015	0	40
561.5268	10	dummy	dl4	LEFT	1.6648000000000138	0	0
578.3191	10	CET	c2_m4	RIGHT	3.4565000000000055	100	10
593.3608	10	CET	m5_c1	LEFT	2.334799999999973	120	2
609.9025	10	CET	c5_m1	LEFT	2.649099999999976	10	50
625.6935	10	dummy	dr4	RIGHT	2.0021000000000413	0	0
640.7436	10	CET	m0_c3	RIGHT	2.15199999999993	0	25
657.5442	10	CET	c0_m3	RIGHT	2.2713999999999714	80	0
674.3359	10	dummy	dl5	LEFT	1.7355999999999767	0	0
689.8771	10	CET	m3_c2	LEFT	4.314399999999978	80	10
705.1776	10	CET	m2_c5	RIGHT	2.6299999999999955	50	50
721.4688	10	dummy	dr5	RIGHT	1.8986999999999625	0	0
737.011	10	CET	c1_m3	RIGHT	2.556500000000028	80	2
753.8111	10	CET	m1_c2	RIGHT	2.300299999999993	10	10
