global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	non_steady_state_outlier00	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16	motion_outlier17	motion_outlier18	motion_outlier19	motion_outlier20	motion_outlier21	motion_outlier22	motion_outlier23	motion_outlier24	motion_outlier25	motion_outlier26	motion_outlier27	motion_outlier28	motion_outlier29	motion_outlier30
277.51117004315023	n/a	77012.44949871824	n/a	304.95830766289635	n/a	92999.56941261774	n/a	189.2805153655088	n/a	35827.11349703261	n/a	190.04034860716487	434.803630611111	n/a	n/a	n/a	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	-0.259245	n/a	n/a	0.067207970025	0.255387	n/a	0.0652225197689999	n/a	-0.0996804	n/a	0.00993618214416	n/a	0.00352497	n/a	1.24254135009e-05	n/a	-0.00168396	n/a	2.8357212816e-06	n/a	-0.00246658	n/a	6.0840168964e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
285.6167607410161	8.105590697865864	81576.93401619083	65.70060056132962	309.472610992668	4.514303329771678	95773.29695461925	20.378934553187666	192.91337240244363	3.632857036934837	37215.5692516839	13.197650250806964	194.2804648040783	449.0799415197389	3.52751	140.446304	0.6735891	0.333058	-0.1186539134	-0.0092286571	0.0768342997	-0.0865075043	-0.0418065323	0.1080456294	-0.1078052955	0.1528717418	-0.0745340546	-0.0874480117	0.123680583	-0.1290790859	0.1374039039	-0.0082235776	0.0367812913	-0.0123415483	0.0150773265	-0.0792598825	0.0056345824	-0.23903356	0.0210865676	-0.0539480342	0.2190474805	-0.0767582423	0.0847394684	-0.0773593044	0.040031268	-0.1644006435	-0.0293549996	0.1099029425	-0.1506502771	0.1722675431	-0.1692957431	0.1832555548	-0.0050484493	0.0711894385	-0.0986756262	0.035348838	-0.1989874192	0.0115602153	-0.0010898932	-0.0157528996	0.12150366	-0.0680916246	-0.0213324431	-0.0019547876	-0.0387754078	0.0122182479	-0.0169651385	0.0044679754	-0.0769767681	-0.2193199352	0.0948101648	-0.130225575	0.227470714	-0.0811268087	0.1438883816	-0.0053021393	0.1305218854	-0.1775024838	0.061788217	-0.1444848276	0.0457082841	-0.0653318059	0.175382968	-0.1752081555	0.1477633589	-0.1045565578	0.1173399678	-0.1737489429	0.1153125578	-0.1503734649	0.0585984694	-0.0173681619	0.116335691	-0.0800928972	-0.0887815469	0.0331074022	-0.0652492727	0.0883168633	-0.0274822163	0.0300000841	0.1340005171	-0.0388890779	0.1584265545	-0.0774359909	0.2521705879	-0.1684933649	0.084233039	-0.057045526	0.0508229503	-0.1164331584	0.0249220747	-0.020096352	0.1116718085	-0.012653949	-0.0700475384	0.0607085803	0.1257721193	-0.0828911823	0.1199443696	0.119921393	0.1198831019	0.0	-0.0875505	0.1716945	0.02947900133025	0.00766509005025	0.0397035	-0.2156834999999999	0.00157636791225	0.0465193721722499	-0.195819	-0.0961385999999999	0.0383450807609999	0.0092426304099599	0.00499746	0.0014724899999999	2.49746064516e-05	2.1682268000999987e-06	-0.00071701	0.00096695	5.141033401e-07	9.349923025e-07	-0.00110457	0.0013620099999999	1.2200748849000002e-06	1.8550712400999995e-06	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
284.771334093349	-0.8454266476670682	81094.71272130581	0.7147462165855771	306.8535713358263	-2.6190396568417214	94159.11424155104	6.8593687241096015	192.74723968016207	-0.16613272228156	37151.49840432184	0.0276000814126819	193.9210696710336	451.4692916564629	1.307592	52.061214	0.56220315	0.277997	-0.1392159302	0.0122561761	0.0688253691	-0.0276564653	-0.0100111883	0.1103606152	-0.0175562092	0.0784676182	0.0499946666	-0.0906218243	0.0112252619	0.1187448276	0.0231784791	-0.0101308389	0.101008555	-0.0738459652	0.0210088743	-0.0650938379	0.0073945308	-0.0799463857	-0.1039509385	-0.095509668	-0.0475809028	0.0383541104	0.067636399	0.042895351	0.0050944302	-0.063321954	-0.0916616154	0.1534736128	-0.0632781788	0.0745272925	0.0419193418	0.1872285128	-0.1926030856	0.1420663868	0.0869417719	0.0474993048	-0.1356819538	0.0134376739	0.083778101	0.0962198979	-0.015115805	-0.0328386098	-0.1297028132	0.0110585169	-0.1034640445	0.0687467586	0.0126246128	-0.0325403644	-0.0534656382	-0.0906867359	-0.1065028694	0.0860341518	0.0086195927	0.0079094445	0.0635980584	-0.0164105151	0.0669420381	-0.0600979939	-0.0658126327	-0.1279723745	0.0784400067	0.0254659489	0.2160598278	0.0003489168	-0.0339135535	-0.2498130705	-0.0060251822	0.0123289036	0.154859225	-0.0359579102	-0.0881268784	-0.0054772694	0.0468699081	0.2073818832	-0.1208680228	-0.0100348039	-0.0439927575	0.0505523608	-0.0168294001	0.020075467	0.0742067634	0.0259724103	0.1234796609	-0.024046928	0.2292839869	-0.2323208331	0.0885800049	0.0890963699	0.0766330971	0.0197202737	-0.0022906744	-0.0401759469	-0.0124113324	0.0758046122	0.0465904927	0.1109867375	-0.0370085265	-0.0854027595	0.1198831019	0.1196764004	0.119332162	0.0	0.0602368	0.1477873	0.02184108604129	0.00362847207424	0.180716	0.1410124999999999	0.0326582726559999	0.0198845251562499	-0.0924943	0.1033246999999999	0.00855519553249	0.0106759936300899	0.00280777	-0.0021896899999999	7.883572372899999e-06	4.794742296099999e-06	-0.00107138	-0.00035437	1.1478551044e-06	1.255780969e-07	-0.000247057	0.000857513	6.103716124900002e-08	7.353285451690001e-07	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
284.831760098185	0.0604260048359606	81129.13156063	0.0036513020604355	304.5828682447957	-2.270703091030612	92770.72362822657	5.156092527615974	193.2237427991124	0.476503118950319	37335.414781297535	0.2270552223693819	194.30954631163647	448.5591152038188	1.210631	48.200748	0.12815235	0.0693823	-0.1510156997	-0.0126099337	-0.0045378082	-0.0408253072	0.0252947169	0.1322457409	-0.0332061258	0.046026318	-0.0838786045	0.0358036949	-0.1150089716	-0.0001649796	0.0955003901	0.0360015562	0.1242953446	-0.0250373884	0.0972486694	-0.1534546302	0.0729429242	-0.1085966891	-0.0915869877	-0.0783360993	0.1330185396	0.0040066178	-0.0115462629	0.1208465306	0.0911352147	-0.1121742837	-0.0507348679	-0.0051264219	-0.2084410524	0.1665258276	-0.0181863039	-0.0114408486	0.012575284	-0.0584300401	-0.0114756237	0.0557324461	-0.0344447534	-0.0144103326	-0.0148966356	-0.0626249601	0.0814544499	0.0435645919	-0.0972822292	-0.0350217654	-0.1294076994	0.0163422726	0.0701278239	-0.0164951022	-0.1707580683	-0.1050295013	-0.0762983566	-0.015536506	0.1460426966	-0.0924246082	0.0503937994	0.1287079142	0.1042034833	-0.1427866528	0.012439774	-0.1022972379	-0.0360459368	-0.1206624453	0.1066618672	0.0499652102	-0.0342165643	0.0873197764	-0.0252580536	-0.0252147941	0.0505032868	0.013522065	0.0131239122	0.1763121297	0.0796899871	0.0313608314	-0.1254557074	-0.0305399215	-0.0467774839	0.0545934577	0.0049995323	-0.0736777236	0.1316428175	-0.1009274903	0.0710973953	-0.0494099314	0.3757011557	-0.2608081844	0.1117983359	0.0034801955	0.0482340394	-0.1297122359	0.0675635858	0.091056899	-0.0288469269	-0.0265559055	-0.0024420131	0.0064535378	0.0342210555	0.000837355	0.1197605978	0.1191869159	0.1182328141	0.0	0.0637061	0.0034693	1.2036042490000011e-05	0.00405846717721	0.125195	-0.0555209999999999	0.015673788025	0.0030825814409999	-0.0582169	0.0342774	0.00338920744561	0.00117494015076	0.00314961	0.00034184	9.9200431521e-06	1.1685458560000025e-07	-0.00117914	-0.0001077599999999	1.3903711396e-06	1.1612217599999985e-08	-0.00049515	-0.0002480929999999	2.451735225e-07	6.155013664899999e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
280.3986319298393	-4.433128168345661	78623.39278812551	19.652625356979755	304.3209156747413	-0.2619525700544045	92611.219717113	0.0686191489581077	191.35094057122149	-1.872802227890901	36615.18245749114	3.507388184793122	192.66924111305613	441.49080510681534	3.071786	122.301842	0.94555045	0.426043	-0.0809473492	-0.1289959159	0.3806015693	-0.089078357	0.0396891238	0.0421834047	-0.1908679274	0.2025855395	-0.0112093266	-0.2737617503	0.2539402263	0.0826638599	-0.0995352111	-0.167297459	-0.0992333786	-0.4297586548	-0.2740201402	0.5299898471	-0.1026809107	0.1212251607	0.012697746	-0.2249576086	-0.0372864004	0.2799529605	0.0658604769	-0.1336869635	-0.0255058208	-0.1694102758	-0.000652006	-0.0702880217	0.0231233493	0.0295610535	-0.0491736477	0.0483110041	-0.036557574	-0.0930211522	-0.0489253431	0.0590284955	0.0208661887	-0.0484963266	-0.0734841574	0.0040471349	-0.0056403755	0.0283956925	-0.0266354506	0.1619571854	0.0899188603	0.4308239832	-0.2585232478	0.2005040574	0.5286136471	0.0679699257	-0.0076647023	0.1618625007	0.0507760409	0.3149043494	0.1655793413	0.0303416148	0.0114884405	-0.1113946057	-0.0486141223	0.1158174269	0.0888860139	-0.0553437783	0.0126531025	0.0234213552	0.1154812152	0.0380214657	0.0104203209	0.0276246413	0.0208392437	0.0672003947	0.0626940008	0.0311030244	-0.0393668159	-0.0053416822	-0.0875323603	0.1668157222	-0.0269803133	0.0337184385	-0.181138054	0.4348547	-0.1623775524	0.4965077716	0.3682860725	0.1052322379	-0.196170877	-0.1072872818	-0.0166072855	0.2500528638	0.0666280293	0.1997266094	-0.1055047754	0.073312804	-0.0681556598	-0.0179898845	-0.102737949	-0.1257412496	-0.035274608	0.0097757122	0.1195769199	0.1184539393	0.1165901104	0.0	-0.200617	-0.2643231	0.0698667011936099	0.0402471806889999	-0.0856856	-0.2108806	0.00734202204736	0.04447062745636	-0.325197	-0.2669801	0.105753088809	0.07127837379601	0.000529334	-0.002620276	2.801944835560001e-07	6.865846316176002e-06	-0.000501444	0.000677696	2.51446085136e-07	4.59271868416e-07	0.000274211	0.000769361	7.5191672521e-08	5.91916348321e-07	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
277.993594345594	-2.405037584245349	77280.43849718267	5.784205781632704	299.7714725680056	-4.54944310673568	89862.93576559053	20.697432581424795	192.806167030258	1.4552264590365098	37174.21804489975	2.1176840470799387	193.75231406973143	410.2443275203594	3.239554	128.981461	1.881100165	0.955107	0.1553288872	-0.2696926064	0.1243436397	-0.1587415604	0.1624292004	-0.1186629962	-0.2645141869	0.2886299375	-0.1549576072	0.0734161249	0.1961261834	-0.1868544652	-0.4004042305	-0.0878324094	-0.2526386973	-0.1584639823	-0.3691877753	0.0006430605	-0.043100876	0.2821548334	0.1682743607	0.0249629392	-0.1431990283	-0.3942363987	-0.144822705	0.1564911385	0.1014112264	0.0980552879	-0.1237830568	0.2206949191	-0.1907275351	-0.0595826671	0.0286037872	-0.1513775163	-0.094367861	-0.0004724468	0.0593828855	0.0502336902	-0.1264509118	0.0162244456	0.034669203	-0.0581291477	0.0042472573	-0.1182778957	0.0867022882	0.0992193742	0.2473190118	0.1921158655	-0.3355352335	-0.0956358985	0.0686770753	0.3750453321	0.1220404296	0.0709556151	-0.0440705054	-0.4360743912	-0.2039014443	-0.0779677358	0.0293355448	0.004517578	-0.0942556397	-0.2803312719	-0.0695763806	-0.0813341629	-0.1253289583	0.0859983176	-0.0133136	-0.0536808379	0.0630386153	-0.0366076673	0.0735937394	-0.1005280718	-0.0333665283	0.0330438292	0.0730950499	-0.0328704727	0.0430767434	0.3665995466	0.0044538314	-0.1694920144	-0.1869462013	0.4068527973	-0.3678526788	-0.1130011991	-0.3490329294	-0.0521625769	0.0576851538	-0.1252394535	-0.0842896231	-0.3440802503	-0.1713451328	-0.2255874092	0.0160066124	0.0325648649	0.1668522535	0.1025157197	0.0666541225	0.025709274	0.0109382732	0.0005478759	0.119332162	0.1174789681	0.1144116002	0.0	-0.182052	0.0185649999999999	0.0003446592249999	0.033142930704	-0.767092	-0.6814064	0.588430136464	0.4643146819609599	-0.922604	-0.597407	0.851198140816	0.356895123649	-0.0096974	-0.010226734	9.403956676e-05	0.0001045860883067	0.0007672519999999	0.0012686959999999	5.886756315038465e-07	1.6095895404157462e-06	9.52057e-05	-0.0001790053	9.06412531249e-09	3.204289742809e-08	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
281.7470612517702	3.753466906176243	79381.40652400877	14.088513815760257	300.1483884796632	0.3769159116575906	90089.05510693882	0.1420656044606726	193.52149129592888	0.7153242656708869	37450.56759340028	0.5116888050575936	194.6019977731816	426.1542862375807	2.880016	114.66658	1.876510115	0.808864	0.1676886662	-0.0684208032	-0.0421390342	0.0218289857	0.1123234049	-0.1675594741	0.1909670702	0.0314361894	0.2497076689	0.5545966657	0.0907024655	0.026210302	-0.0743377559	0.0520544963	-0.0495018767	0.1939186466	-0.150376608	-0.250559806	0.1572683447	0.2727540295	0.0072410542	-0.1388359119	-0.1681568675	-0.3107086026	0.150747337	-0.0559928168	-0.2116602878	-0.1765488398	0.0401444165	-0.1998463394	0.0802037798	0.2307906811	0.1266411022	0.0144965971	0.0649545655	-0.1335276893	0.0785415387	-0.0968059454	0.076523115	0.0203136163	-0.1353543058	0.0920959507	0.0642465619	0.1359565607	0.059729543	-0.0417422132	0.0675730297	-0.1873573041	-0.1527643675	-0.0761307612	-0.2722919838	0.3241223825	-0.0706834825	0.1853322911	-0.0286297841	-0.1461343937	0.1338169539	-0.3098672501	-0.0681377106	-0.1722758101	0.2112517069	0.223693741	0.0694161418	0.0356532078	0.1626140069	0.1412041768	-0.0053471694	0.1553508719	-0.0059362354	0.127840907	-0.0632442787	0.0113143099	0.0739747646	-0.1178320269	-0.0441553508	-0.0588549257	0.0905531122	0.0940271278	0.1037252144	-0.3024391658	-0.0050515645	-0.0753379817	0.0135138913	-0.1507572062	-0.2468379474	0.2134917458	0.2616043834	-0.0322903363	-0.1122440762	-0.0088412584	0.1139227812	0.5509998105	-0.1869664533	-0.0640367777	0.0046784758	-0.1701970845	-0.1700493547	-0.0201317288	-0.0484847398	0.1324491116	0.1190264491	0.1162639941	0.1117072952	0.0	0.124401	0.306453	0.0939134412089999	0.0154756088009999	-0.274206	0.492886	0.075188930436	0.242936608996	-0.444274	0.47833	0.197379387076	0.2287995889	-0.00436627	0.00533113	1.9064313712900003e-05	2.84209470769e-05	0.0050381	0.0042708480000001	2.538245161e-05	1.8240142639104854e-05	0.00247005	0.0023748443	6.101147002500001e-06	5.639885449242491e-06	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
284.7100705982007	2.9630093464304537	81059.82430003241	8.779424387034224	307.7356077437907	7.587219264127498	94701.2042734402	57.56589616194741	192.935454950436	-0.5860363454928859	37224.08977693172	0.3434385982386571	194.0920982848984	449.5012402782551	2.508515	99.875443	1.048486125	0.445053	-0.0293184179	0.0693532324	-0.0212492864	0.0281310107	-0.0517332711	-0.0275048021	0.1929852298	0.0040574892	0.0434522676	0.1441838896	-0.1612246259	0.2277647166	0.0264926437	-0.0093450571	0.0061997394	0.0314928169	0.0630391526	-0.0109325974	0.0336760173	-0.0354282536	0.0045063295	-0.1003773342	0.0188132954	0.0931271477	0.0789690268	0.1785971338	-0.1565055306	0.2225132764	0.1309297915	0.2350966158	-0.1408679537	0.0846066737	-0.0570428091	0.0899380299	-0.1520775751	-0.0407253998	0.1140158422	-0.3032576392	0.1281363421	-0.132502156	-0.152375379	0.0804231937	0.0450560598	0.0931119038	0.1606557189	0.0115626917	-0.0028403248	-0.0367144802	0.0415812013	0.02356899	-0.0352441236	-0.0315365391	-0.0327804607	0.1254361032	-0.0991005224	-0.0018730989	0.1634902837	0.0832129041	-0.1018528605	0.0489366838	0.052339251	-0.2546898667	-0.2950680212	-0.0124512039	0.1476124175	0.0204404664	0.1305359258	-0.1186341281	-0.2996952477	0.1140138815	-0.135289358	0.0676674235	0.092663768	-0.2051728698	-0.0551724064	-0.0570808653	-0.0105866402	-0.0468153786	-0.0043911887	0.0224416861	-0.0341971578	-0.0383463328	0.0884317831	0.0353479152	0.0976553171	0.1329793482	-0.0755229981	0.0751266773	-0.0398206113	0.0177633382	0.0049523539	0.0652653325	0.1122347997	0.0144185538	0.1453360823	0.1530852944	0.114799068	0.0363157661	-0.2319292713	0.3683529742	0.1186599374	0.1148114994	0.1084896234	0.0	0.0157882	-0.1086128	0.0117967403238399	0.00024926725924	-0.0909374	0.1832686	0.00826961071876	0.03358737974596	-0.132129	0.312145	0.0174580726409999	0.097434501025	-5.98955e-05	0.0043063745	3.58747092025e-09	1.8544861334250256e-05	0.00188204	-0.00315606	3.5420745616e-06	9.960714723600004e-06	0.00104329	-0.00142676	1.0884540241000002e-06	2.0356440976e-06	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
282.8282890989725	-1.8817814992281685	79991.84111465196	3.541101610837413	301.15959050697563	-6.576017236815062	90697.09895432924	43.244002698888806	193.1803835391807	0.244928588744699	37318.66058434496	0.0599900135844699	194.36335157998127	433.896783418049	1.658321	66.025314	0.238286395	0.13218	-0.0394944645	-0.0196529665	0.0197706008	0.0011609393	0.0496501218	0.0105686557	-0.0797840802	-0.0400435938	0.0299894277	0.0623062286	0.029666707	0.1320533161	-0.0122517597	0.0441618486	0.0367446692	-0.0120829881	0.0026769094	-0.0983734433	-0.0017890042	0.0074739734	-0.0479904904	-0.0004536845	0.041325344	-0.004722689	-0.04531191	-0.0145767661	-0.0524911039	0.0323501531	-0.0823426937	-0.1145889548	-0.0121217053	0.0471578582	-0.0981227168	-0.0899133889	-0.0033360149	0.0672322401	0.0306454223	-0.0927439995	-0.0876321511	-0.1060292261	-0.1917472085	0.0200934416	-0.0491135162	0.0211075579	-0.1319584822	-0.0416256816	-0.0349744081	0.0127297712	0.0044594491	-0.0672535985	-0.0762163774	-0.0067984335	-0.0414132328	-0.0154974509	0.0906923187	0.0460140478	-0.020094111	-0.0287399	-0.0620967522	-0.0208109936	0.1579601457	-0.0151196265	-0.0047817282	-0.0133305088	-0.0768875109	0.0074132486	-0.0930830544	-0.0570497036	-0.1034838838	0.0239585792	0.0232164493	-0.0062347299	0.1831626047	0.0220160311	0.0349356488	0.1860017955	-0.0371187953	-0.0178472938	-0.0191672323	0.0397109661	0.0359046674	0.0126540764	0.0239658697	0.0029353085	-0.0994943221	0.0472188915	0.0452639749	0.0933452879	0.0055369086	0.0168627902	0.1272698502	0.0306146037	-0.0053799753	0.0179805276	0.0122370405	-0.1554033439	0.019034814	0.1419894633	0.0040499004	-0.0185652928	0.1182328141	0.1131244514	0.104773372	0.0	-0.0209874	-0.0367756	0.00135244475536	0.00044047095876	-0.116031	-0.0250935999999999	0.0134631929609999	0.0006296887609599	-0.149143	-0.017014	0.022243634449	0.000289476196	-3.00156e-05	2.98799e-05	9.009362433599999e-10	8.9280842401e-10	0.000189825	-0.001692215	3.6033530625e-08	2.863591606225e-06	-0.000422679	-0.001465969	1.7865753704100005e-07	2.1490651089610003e-06	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
283.4316051273635	0.6033160283910206	80333.47478507372	0.3639902301135148	305.09385633785115	3.9342658308755176	93082.26117510136	15.478447627994626	192.75572376733223	-0.4246597718484679	37154.76904506809	0.1803359218263928	193.9271352248933	440.3568630080692	1.226509	48.832924	0.29693348	0.139283	-0.0901535626	0.0093440796	-0.0009645769	-0.0668899054	-0.0186883046	0.0404140403	0.0067000714	0.0541151206	-0.0350273526	-0.0113012861	-0.1687632634	0.1266515003	-0.0478618223	-0.008052213	0.0299386914	-0.0905169945	0.0132502874	0.0253700875	-0.0265592902	-0.1545377862	-0.0507692016	0.1233795277	-0.0357818881	0.0805990545	-0.0475258098	0.0811232729	0.0428703682	0.188423231	0.0216762706	0.0300007415	0.0430841613	-0.0982998957	0.127845848	-0.0117998239	-0.0452079771	-0.009215116	0.1095380329	-0.1164857566	-0.0429177628	0.0006078862	-0.0751702137	0.0627329935	0.1415023248	-0.027281852	-0.0978702101	0.0070486047	-0.0339353316	0.0874866037	0.0163249476	-0.0106097369	0.0224707944	-0.1582538064	-0.0521681392	-0.0342181508	-0.1492952035	-0.002749488	-0.0843223331	0.0911885405	-0.0147653121	0.1726556696	-0.0210842086	-0.0409320992	-0.0641319694	-0.0010676999	-0.0261167302	0.1036204886	-0.041016502	-0.0546626737	-0.1528284703	0.0692203252	0.0162533151	-0.0437890967	0.0261169313	-0.0875155852	0.1344637037	0.0851347867	-0.074324261	0.0078704467	-0.0866272029	0.088711648	0.0160999879	-0.0033162895	0.0466055717	0.0502795183	0.0258054058	-0.0833885493	-0.0400725281	0.1471929449	0.0413503701	0.043351915	0.0417071713	-0.05784641	0.0418681844	-0.0700264598	0.1915269109	0.0967696984	0.0229135967	0.0403946336	0.0123112359	0.0652248212	0.1177452974	0.1112062966	0.1005756196	0.0	-0.0570155	-0.0360280999999999	0.0012980239896099	0.0032507672402499	-0.108914	0.0071169999999999	0.011862259396	5.065168899999998e-05	-0.0871587	0.0619842999999999	0.00759663898569	0.0038420534464899	0.00141391	0.0014439256	1.9991414881e-06	2.08492113833536e-06	-0.00153796	-0.001727785	2.3653209616e-06	2.9852410062250004e-06	-0.00108705	-0.000664371	1.1816777025e-06	4.4138882564100005e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
