global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_power2	rot_x_derivative1_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07
338.6872640116845	n/a	114709.06280372046	n/a	331.18007822099804	n/a	n/a	109680.24421046638	209.04491154621465	n/a	n/a	43699.77504336471	207.63007017451784	452.664541453396	n/a	n/a	n/a	n/a	-0.011926702	-0.0060618201	0.0106607684	-0.0601289983	-0.0454762936	0.130028433	-0.0970119897	0.0431557027	-0.0390808522	0.3667382909	-0.0379583405	0.2954653329	-0.1600664164	-0.0314613125	0.0217002623	-0.1192237463	0.0240786159	-0.0519302997	-0.176626028	0.0137656413	-0.019664048	0.0044587872	-0.140072367	0.0178329668	-0.0407689083	0.006065953	-0.0278473327	0.0710127061	-0.022128546	0.0084148516	-0.1034414127	0.2691112209	-0.0092229575	0.1010368299	-0.0515670975	0.0103853416	-0.042718768	0.1143906763	-0.1201774127	0.0137770329	0.0666778406	-0.0536813441	0.0909222222	-0.1583103972	-0.0012432463	-0.1368270528	0.0807777783	-0.0165866044	-0.1180322928	0.0393495482	0.0601592802	0.0059109932	-0.04259747	-0.0786331123	-0.0295228754	0.0525288502	-0.0977211533	0.0369856914	-0.0460828058	-0.1804368549	0.027110897	-0.0122268784	0.0324911653	-0.1570448422	0.007689301	-0.0409843003	0.0234236781	-0.0204448769	0.0656120211	0.0531237795	-0.0211138679	0.0586484181	-0.2073532424	0.0766008236	-0.0452865591	0.1439202447	-0.0888112394	0.0292411817	-0.0366987073	0.122558063	-0.0904574264	0.0988052741	0.0647568648	-0.1674048064	0.0242488582	0.0182471935	-0.1132006506	-0.0405996237	0.0352655512	0.1386852974	-0.0591687014	-0.01534278	0.0808569077	0.0137093932	0.0389548118	-0.0152673547	-0.0198703361	0.1146544668	-0.0696676638	0.0405347417	-0.214738683	-0.0022378427	0.0047404871	-0.0183666997	0.0273336296	-0.0480740173	0.1758086186	-0.0366436838	0.0208329455	-0.0027998078	0.0339653717	-0.0053427761	0.0400690652	0.1265545289	-0.0271007799	0.0336868868	-0.0324479534	-0.0256739118	0.1221940266	0.1195153378	0.1194927693	0.1194551582	0.0209425	n/a	0.00043858830625	n/a	-0.0824975	n/a	0.00680583750625	n/a	-0.146366	n/a	0.021423005956	n/a	0.000259893	n/a	6.754437144899998e-08	n/a	-0.000990395	n/a	9.80882256025e-07	n/a	-0.00108475	n/a	n/a	1.1766825625e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
337.732928624832	-0.9543353868524492	114063.53107750588	0.9107560305988136	327.0737239594134	-4.106354261584613	16.862145321634113	106977.22090467856	208.8002310434977	-0.2446805027169603	0.0598685484098244	43597.53648381802	207.3582261351572	451.53550863380894	1.208023	26.420647	0.04549415	0.0199251	-0.006503839	0.0043924205	-0.0496631833	0.0207399423	-0.0536337333	-0.0023834153	0.0985655746	0.0240649694	-0.0138551488	0.1939888645	0.043626024	0.1265109311	0.0020845969	-0.047678723	-0.0256552772	0.0673237032	-0.0174549648	0.0468143638	-0.1287602408	-0.0164773638	-0.020064079	-0.0016393064	-0.0696945049	0.044239969	0.0943601962	0.0813797071	-0.1157534453	0.1400408798	-0.0762007548	0.112497512	0.0860877741	0.0883254487	-0.0762101726	-0.098050403	-0.1504841704	0.0821241685	-0.1075369231	0.0723173118	0.0088496907	0.0361221052	0.0292025851	0.0359913	0.0069783991	-0.0703367737	0.0183008622	-0.1352847086	-0.0024565172	-0.0719710586	0.0605076176	-0.1226793636	0.002921687	-0.0013853169	0.0122250045	-0.0604107723	-0.0466416388	-0.0416154377	0.0640479107	-0.0233289125	0.0425460502	-0.1262559295	0.0407567654	-0.014798022	0.0194601552	-0.0706555883	-0.0257716628	0.0861388856	-0.0890936961	-0.0811419429	0.1552677092	0.0954401173	0.0804098974	-0.0942142801	-0.0863846534	0.1533875066	-0.0190682507	-0.0991799617	0.0309195841	0.0264964786	0.0300268804	0.1419146854	-0.0388717803	0.063413033	-0.0696702812	-0.018687012	0.0005561621	0.0200192245	-0.1493229906	-0.0291995503	-0.0056106075	0.0221316234	0.1543271442	0.0498453677	0.0099008437	-0.0144270548	0.0654022168	-0.0261847063	-0.0083046513	0.1131647221	-0.0217856308	0.0615735551	-0.1563974051	-0.01040197	-0.1097006912	0.1549897647	0.0095544674	0.0578573449	0.0036808537	-0.0029883389	0.0249673677	-0.0257563827	-0.0142562504	-0.0588135728	-0.1015540075	0.0992406281	0.0135469153	-0.0984196276	-0.0680177222	0.0207288761	0.0883914275	0.1194551582	0.1192521267	0.1189139965	0.0122585	-0.0086839999999999	0.00015027082225	7.541185599999998e-05	-0.0803032999999999	0.0021942000000001	0.0064486199908899	4.814513640000458e-06	-0.130429	0.015937	0.0170117240409999	0.000253987969	0.000377842	0.000117949	1.4276457696399998e-07	1.3911966601000002e-08	-0.000924698	6.569700000000009e-05	8.550663912039999e-07	4.3160958090000124e-09	-0.000894817	0.0001899329999999	3.607454448899999e-08	8.00697463489e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
337.8095252078072	0.0765965829751849	114115.27532112414	0.0058670365234743	326.30156332211965	-0.7721606372937799	0.5962320497859364	106472.71022645924	208.9708971847391	0.1706661412414121	0.0291269317662336	43668.8358701948	207.53119873914164	455.05816641290505	1.110377	24.28503	0.01816915	0.0101263	-0.0298915483	0.0017682167	-0.0490850173	0.0398248569	-0.0554386998	0.0413688015	-0.0455134851	-0.0875209009	0.0416690614	0.0328894366	0.0760017822	0.1410664385	-0.0741630486	-0.0222165164	0.0178579196	-0.0376355627	0.1571721596	0.0606546917	-0.0275141847	-0.1322835715	-0.0283201514	-0.0297555856	-0.0548533233	0.0405127997	0.1902131799	0.0060716147	-0.0749798206	-0.0151858394	-0.1860450025	-0.1821926447	0.1173981063	-0.1094567794	0.1325759984	-0.0404908193	0.0629505061	-0.1390031907	-0.1277450008	0.0093691689	-0.006594256	0.1062935297	-0.0512617018	0.1010059071	0.1000245873	0.0798353197	-0.056995665	-0.0876334448	0.0312379944	0.0694990092	-0.0671938374	-0.0469422868	0.063314401	0.0988879459	0.1616636783	0.1340153847	-0.0235485285	0.033467487	-0.0150056395	0.1588573345	0.0520411188	-0.0089277223	0.092430827	-0.0600250502	-0.0467986542	-0.0152808465	-0.0303108687	0.2049948237	-0.0312259946	-0.051090102	-0.0134593971	0.0456729421	-0.2089241195	-0.2009192221	0.1809842994	-0.11530014	-0.0320326713	-0.0628138248	-0.1726850609	-0.004778569	0.0839762586	0.0814058777	-0.0099863183	-0.0153320256	-0.0211877308	0.0545942353	0.1684125481	0.013004624	-0.0750632512	-0.0041094278	0.0929483059	0.0283218639	0.0475874577	-0.0670778118	0.0829171795	-0.1149495066	-0.1347105175	-0.0268762582	-0.0265971625	0.0989118835	-0.0455322943	0.0663679112	-0.1757867467	-0.1362873595	-0.0443136809	0.0039168818	-0.0431540275	-0.0149809889	0.0088382598	0.0449773053	0.0791860663	0.0931996028	-0.0053444214	0.1183790778	-0.0348693745	0.0257406527	0.0009859583	-0.0410604833	0.0269393096	-0.038127428	0.0711749374	0.1193348294	0.1187713263	0.1178341246	0.012427	0.0001685	0.000154430329	2.8392250000000083e-08	-0.0775161999999999	0.0027871	0.0060087612624399	7.767926410000003e-06	-0.137342	-0.006913	0.0188628249639999	4.778956900000004e-05	0.000459508	8.166600000000004e-05	2.1114760206400005e-07	6.669335556000007e-09	-0.0008403529999999	8.434500000009996e-05	7.061931646088319e-07	7.114079025016861e-09	-0.000894817	0.0	0.0	8.00697463489e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
337.29399247098166	-0.5155327368255485	113767.23735701464	0.2657740027388402	325.68571486671965	-0.6158484553999983	0.3792693200185637	106071.18486824622	209.02411548945827	0.0532183047191665	0.002832187957182	43691.08085615039	207.5065243913644	455.2926699148891	1.01535	22.206703	0.0228536499999999	0.0120245	-0.0273106134	-0.0013215327	-0.0468486416	-0.0677961963	-0.0282889251	0.0051134952	0.0004478968	0.1607809439	0.010012211	0.0469388197	0.1013788543	0.0931339622	0.0298552773	-0.0114999293	0.0310733187	0.0192253349	-0.1102335872	0.0225310478	-0.0721310336	-0.0377396963	0.0254718392	-0.0685790417	-0.0017914682	0.0210306868	0.084271347	0.0735839846	-0.1010498627	-0.0348536069	0.0907640727	-0.2833883727	-0.0593712599	0.1203779744	0.0520382706	-0.1629438201	-0.0225439835	0.090123747	-0.1031492354	-0.067985052	-0.1679172846	0.0112725992	0.0528119461	-0.0225990325	-0.0402496372	-0.1644850054	0.0155938603	0.1140146071	-0.0513188297	0.1135646513	-0.0490804134	0.0198694656	-0.0992819996	0.0923569146	0.074340624	0.0285391972	-0.0138691724	0.0227980286	0.0047642904	-0.1174400066	0.0143333809	-0.048506058	0.0629807799	0.0264128703	-0.0849877194	0.0163493352	-0.0340703452	0.0878224769	-0.0953758407	-0.0669284812	-0.0268373199	-0.121902063	-0.2380604661	0.108843902	-0.1102531349	-0.0677702236	-0.0216005661	-0.1529749213	-0.0209827435	-0.0613614151	0.0110669067	0.1153261071	-0.2028510399	0.039144941	-0.0173757342	-0.111623432	-0.1260826301	0.0141013686	0.0685482979	0.1561064078	0.0878093901	0.0730481608	-0.0372137193	0.0705058177	-0.0237940117	-0.0553528301	0.0026696756	-0.0213134154	-0.0185817984	0.1090474228	-0.0478277328	0.0526053752	-0.1576431139	0.0432408616	-0.0435733708	0.0535679029	0.0112327309	-0.0790070595	0.0382896941	-0.0397667284	0.1149272114	0.0300235341	0.0558254655	0.040202798	0.0761619303	0.0301027599	-0.0904210301	0.0768828285	0.017239493	0.0372071475	0.1332393571	0.1191544118	0.1180513362	0.1162204348	0.0184157	0.0059887	0.00033913800649	3.5864527689999994e-05	-0.0699008	0.0076153999999998	0.00488612184064	5.799431715999843e-05	-0.134001	0.0033409999999999	0.017956268001	1.1162280999999886e-05	0.000380206	-7.930200000000001e-05	1.4455660243600002e-07	6.288807204000001e-09	-0.000801484	3.8868999999900006e-05	6.42376602256e-07	1.5107991609922267e-09	-0.000894817	0.0	0.0	8.00697463489e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
336.932313241198	-0.3616792297836468	113523.38370606478	0.130811865256892	325.02333135110075	-0.6623835156188989	0.438751921763652	105640.16592256744	209.0499022795001	0.0257867900418204	0.0006649585406609	43701.861643068536	207.6129828788664	450.36312001917736	1.088404	23.804466	0.04581885	0.0261352	-0.0039689835	0.0101542595	-0.0141960796	0.118076066	-0.040296854	-0.0207401764	0.0376649762	-0.0990430595	0.0139444258	0.0848461934	0.0178968449	0.0852890961	0.0376045597	-0.0090227199	-0.0051486603	0.0936902152	0.0571858877	0.0574274875	0.0261900988	-0.0892123074	-0.047137715	-0.0538886994	0.0254239801	-0.0988708255	0.0123583705	-0.0539942552	-0.0931740971	-0.0584360694	-0.0090724019	-0.1863442663	-0.2163182469	-0.0466901095	-0.0700996106	-0.1283965082	0.0901891471	0.1014986347	0.1085661157	-0.0418880484	-0.0524605781	0.1868676599	-0.2490732726	-0.0602595092	-0.0858132117	0.2465210419	0.0346034369	-0.0725285933	-0.0843080268	-0.0224947351	0.0839938021	-0.0521345482	0.107817129	0.0210444922	0.072281777	-0.1307759736	-0.0090363864	-0.0326162996	0.0975458424	0.0495821273	0.0540786113	0.04050567	0.059984526	-0.0814757455	-0.0621036056	0.0406775569	0.0955502294	-0.0196899743	0.0114806995	-0.0844749013	-0.0420761898	0.0388182079	-0.1830130404	0.193781838	0.0034894554	-0.0970418116	0.1295447702	-0.0898999334	0.0609459701	-0.1145058992	-0.0893638493	0.1296554611	0.0427939046	-0.3046051881	0.0721922127	0.1995531626	0.0549334066	0.087251856	-0.0712471704	0.0283410354	-0.0651984486	-0.1480300603	0.0830664038	-0.0713328696	0.0461376015	-0.1185386004	0.0538962595	-0.0216796311	-0.0313157486	0.1106419699	-0.0604703142	0.0323111465	-0.1227163438	-0.1627880472	-0.0889763663	0.0701694287	-0.0531949603	0.036660756	0.0094655617	-0.0806312175	0.0589893131	-0.0008316134	0.0750834148	-0.0204528935	0.1035432483	0.027024131	-0.1225965929	-0.0005527853	-0.0144136558	-0.0201123678	0.1500372124	0.1189139965	0.1170936064	0.1140802373	0.0137828	-0.0046329	0.0001899655758399	2.1463762410000005e-05	-0.049703	0.0201978	0.0024703882089999	0.00040795112484	-0.130442	0.003559	0.017015115364	1.2666481000000049e-05	0.000172044	-0.000208162	2.9599137936e-08	4.333141824400002e-08	-0.000891567	-9.008300000000004e-05	7.94891715489e-07	8.114946889000005e-09	-0.000945155	-5.033800000000003e-05	2.5339142440000033e-09	8.93317974025e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
337.0939933271145	0.1616800859164868	113632.36033722071	0.0261404501819625	324.3250604034804	-0.6982709476203581	0.4875823162906329	105186.7448057212	209.2700893576716	0.2201870781715058	0.0484823493937048	43793.970299767854	207.76115786813307	448.428979237568	1.14008	24.934658	0.0573815	0.0316661	0.0017961248	0.0218016408	0.0229795187	-0.0438689803	-0.0055432031	0.0253726843	-0.1637931734	0.0339013931	0.0317898843	0.1082576424	-0.0690764701	0.0037246745	-0.0039602664	0.0028514676	0.1147845382	-0.1328133295	-0.0466621407	0.0598847221	-0.1145210982	-0.1005290367	-0.0562666836	-0.0013708797	0.0140550599	-0.0060546256	-0.102438495	-0.0184767291	-0.0687505324	0.0259055237	-0.1947951635	0.0638477625	-0.2068270706	-0.0743941923	-0.0390292163	0.1380295653	-0.1039573221	-0.0862686422	-0.0321773505	-0.1014934747	0.0689752481	-0.0751041722	-0.0347936712	0.1432773731	0.1441009524	0.0016707143	0.0434510955	-0.0606230966	-0.031894449	0.089766802	0.1128903369	0.1524990352	-0.0246593601	-0.1847767013	0.0229192543	-0.0981860118	-0.0004007233	0.1367091057	-0.1032074031	-0.0387058033	0.0811207895	-0.0935019863	0.1033973309	-0.0892202574	0.0001530486	-0.0297219143	-0.0151267536	-0.1431867995	0.0336147266	-0.0427686727	0.0532358875	0.2063663369	-0.0661812358	0.0659212636	0.1388697352	0.1785514938	-0.0308884421	0.1303504918	-0.0815210099	-0.0800294159	0.0760747519	-0.0846714949	0.0193183683	0.0301631091	-0.0860427673	-0.0630123933	0.1773435391	-0.0133983492	-0.0395487286	-0.0265790271	-0.0226813328	-0.1739061783	-0.1672566683	0.0159325462	-0.1763048745	-0.0146384616	0.0599435437	-0.0282859074	-0.0112564034	0.1133290134	-0.0084710006	0.0451027507	-0.2168106209	-0.011788763	0.05742292	-0.0236117	0.0287659025	0.1089251964	0.0223087459	0.0226394613	-0.0326704884	0.0031170721	0.0654080168	-0.0080338895	-0.0213485411	-0.0117574939	-0.0550725908	-0.0036915194	0.0203540616	-0.0607840381	0.0331365534	0.1186137044	0.1159000657	0.1114232278	0.0187893	0.0050064999999999	0.0003530377944899	2.506504224999999e-05	-0.0330882	0.0166148	0.0010948289792399	0.0002760515790399	-0.130377	6.50000000000095e-05	0.016998162129	4.225000000001234e-09	0.000712491	0.000540447	5.07643425081e-07	2.92082959809e-07	-0.00075622	0.0001353469999999	5.718686884000001e-07	1.8318810408999992e-08	-0.000983265	-3.811000000000005e-05	1.452372100000004e-09	9.668100602250002e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
337.1536110066817	0.0596176795671681	113672.55741484482	0.0035542677169735	324.5379393282645	0.2128789247840927	0.0453174366172314	105324.87406343628	209.04114149792093	-0.2289478597506615	0.0524171224844086	43698.1988387538	207.56314906477928	451.4170706461711	1.188395	25.991354	0.06882731	0.04964	-0.00308829	0.0277921722	-0.007954123	0.0594516822	-0.0281774982	-0.0604860439	0.1362115852	0.0537703394	0.0280080659	0.1036857702	-0.0091629731	-0.1088536469	0.0748422861	-0.0084077538	0.0188086193	0.0836620082	-0.0192428705	0.1069922516	-0.1077855627	0.086951716	-0.0679078988	0.0094188039	-0.0443361735	0.1240755663	-0.0003043542	-0.0771822798	0.0394430214	0.0353798393	-0.0356761196	-0.0420812108	0.0516273751	-0.0473585348	-0.0724442666	0.0361391866	-0.1906979396	0.0080479551	0.0135652278	-0.1230840747	0.1560665138	0.1350520465	0.0791711812	0.0697476932	0.0478914796	0.1158052748	0.0708302366	0.1465389059	0.034791946	-0.1166083979	0.1788285059	-0.0509698408	0.0024304686	0.0062464529	-0.0938623404	-0.1279251931	-0.0109445746	-0.0079507493	0.0925538861	-0.0514856351	0.0949113202	-0.1313303376	-0.0789010898	-0.0336409596	0.0210163333	-0.0482957042	-0.1241368336	0.0277156578	0.0631783422	0.0170046045	-0.0393245417	-0.0459669028	-0.0407683852	-0.0899554383	0.0461581624	0.2069634657	-0.0222446614	-0.0312612387	0.0031298252	-0.1660054917	0.0235265282	0.0362602227	0.0965013091	-0.0083119424	-0.0812570708	0.124303621	-0.001798157	0.0098344452	0.1594956792	-0.1162499201	-0.0191442124	-0.1664774238	0.147533078	0.0975319989	0.010814625	0.0858887102	0.140771759	-0.0269496234	-0.0222524622	0.0874911486	-0.0046837456	0.0628055223	-0.1384031022	0.0078744602	-0.1616871933	0.1307131243	-0.0101729843	0.0645198378	0.0186652054	-0.0284330126	-0.002419345	0.0272316507	-0.1112149061	-0.0049453746	-0.0789481109	-0.0480713747	-0.0179887693	-0.0474789724	-0.0828067666	0.0199629183	-0.0277780372	0.1182536866	0.1144731177	0.1082614433	0.00418114	-0.0146081599999999	1.74819316996e-05	0.0002133983385855	-0.0806898	-0.0476016	0.00651084382404	0.00226591232256	-0.130359	1.7999999999990246e-05	0.016993468881	3.239999999996489e-10	0.000727103	1.4612000000000002e-05	5.286787726089999e-07	2.1351054400000002e-10	-0.000727289	2.893100000000005e-05	5.28949289521e-07	8.37002761000003e-10	-0.000894817	8.844800000000009e-05	7.823048704000014e-09	8.00697463489e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
336.78151086579544	-0.3721001408862321	113421.7860610479	0.1384585148475537	323.6220205395292	-0.9159187887352688	0.8389072275582817	104731.21217808747	208.86386418051563	-0.1772773174052986	0.0314272472664189	43624.11376041688	207.4260750196982	447.8823815290612	1.182194	25.855736	0.02914353	0.0179266	0.0159484327	0.0353357466	0.0400966828	0.1243581329	-0.0168764634	-0.0318170057	-0.0341529921	-0.1313359246	0.0489473114	0.0118996362	0.0652235757	-0.0299470965	0.0290879277	-0.0372756704	0.0255090097	-0.0022232342	0.1303767524	0.1517711684	-0.0330146506	-0.0443066691	0.0242803193	-0.0482628648	0.0864061504	0.0970625299	0.1272089091	0.0169471451	-0.0501723409	0.0092472495	0.0300160786	-0.0052111358	0.0609583949	-0.0384122422	0.0234932481	0.0755195658	0.023892412	-0.1376503561	0.0938463789	0.1865613227	-0.0474997787	0.1312308289	0.0205959868	0.01911676	-0.0885475928	-0.0607948198	0.1508766882	0.0390152557	0.1315887787	-0.1896130709	0.0325459698	-0.0369331265	-0.0609915659	-0.0140752652	0.0738147751	-0.0030066581	-0.0379376393	0.0245871262	0.0243006216	0.1370472461	0.1354251142	-0.0156327848	0.0525408145	0.0165825144	-0.0809392427	0.0972358419	-0.1138274619	0.1434451061	-0.0276897046	-0.0232804272	0.0109839599	-0.0476722927	0.0157356933	-0.0637272038	0.0596581052	-0.0198937031	-0.0162922805	0.1133289307	-0.0923555459	0.0868707901	-0.1740971548	0.1111302615	0.0316444199	-0.0019805918	-0.0156503664	-0.0489112786	-0.116896451	0.0377513744	-0.0027218382	-0.1871264767	-0.1397078841	-0.0308932029	0.0678230326	0.0293948228	-0.011902042	-0.0544666354	-0.0448655651	-0.0193555135	-0.0303524021	0.0829021988	0.0050866806	0.0413284835	-0.1164086278	-0.1575066838	-0.0203390806	0.0114625992	-0.0289794439	-0.1140307896	-0.0032040407	-0.0070406294	0.0284874437	0.0422156654	-0.0120797261	0.0971495792	0.0475128796	-0.0655978343	-0.0574158357	-0.0616581123	0.0734423151	-0.1207882923	-0.0216128507	0.1178341246	0.112815636	0.1046092073	0.00481827	0.00063713	2.3215725792900004e-05	4.059346369000007e-07	-0.0760904	0.0045994	0.00578974897216	2.1154480360000032e-05	-0.11401	0.016349	0.0129982801	0.000267289801	0.000694382	-3.272099999999999e-05	4.82166361924e-07	1.0706638409999992e-09	-0.000663735	6.355399999999995e-05	4.405441502250001e-07	4.039110915999994e-09	-0.000839932	5.488499999999996e-05	3.0123632249999958e-09	7.05485764624e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
337.19512156268286	0.4136106968874173	113700.55000567248	0.171073808579695	323.294360215157	-0.327660324372232	0.1073612881677163	104519.24334692767	208.92198328076395	0.0581191002483194	0.0033778298136742	43648.39509796781	207.47930339777807	446.6839282366741	1.125168	24.608522	0.0420785499999999	0.023249	0.017612564	0.027923945	0.0838650909	-0.0492345714	0.0173222812	-0.0052529087	-0.1352252981	0.0620442237	0.0120905013	0.0778947776	0.0284713477	-0.0426039842	-0.0704455013	-0.0323875863	0.0108225499	-0.1458886281	-0.0471714019	-0.0687800925	-0.1602130494	-0.0202167693	-0.0919150917	-0.0395665692	0.013829927	-0.0402994341	-0.1465208954	-0.0164451454	-0.0679782383	0.1309493071	0.0018484938	-0.0805958736	-0.0231403334	0.2237508339	-0.1470343625	0.0564144206	-0.1309380611	0.0167951382	-0.0584684602	-0.1111845603	0.0590730514	0.0404424292	0.0854228836	0.0277409068	-0.0428640136	0.0101404637	0.0181037669	-0.1194363512	-0.0628732525	-0.0698472102	0.1919087964	-0.0789738534	-0.0650197398	-0.0101831568	0.0539840992	0.0278470743	-0.0312380721	0.0456977795	-0.1389033009	-0.0304967243	-0.0538964355	-0.1539257137	0.0464192373	-0.0840653339	-0.0294548277	-0.026596785	0.0299109752	-0.151810389	0.0425492657	-0.0564262953	0.1015579467	-0.0559902844	-0.085734132	-0.0085988861	-0.2098100948	0.2230058077	0.0226285866	0.0535431294	-0.0551393307	-0.1022362587	0.0596590944	0.0132232175	-0.0293034296	0.0700205671	-0.0244246188	0.0518511229	-0.0506152667	0.0146971747	-0.0980425815	0.0263033533	-0.0430250936	-0.0764767776	0.1543296395	0.1497518331	-0.0549580038	-0.0246972357	-0.0806805118	-0.0190469194	-0.0372643073	0.075215515	-0.0297348584	0.0528917394	-0.241716663	0.0249212913	0.039616854	-0.0365413065	-0.0909116401	0.1394275156	0.0347362992	-0.0986195253	-0.0564253878	-0.1174983134	-0.0253100263	-0.0356626473	-0.0621799689	0.0013627609	-0.0581411847	0.1079925742	0.059519954	-0.0684142347	-0.1898812753	0.1173552296	0.1109309587	0.1004830656	0.00686272	0.0020444499999999	4.70969257984e-05	4.179775802499999e-06	-0.0621555	0.0139349	0.00386330618025	0.00019418143801	-0.113681	0.0003289999999999	0.012923369761	1.0824099999999736e-07	0.000476791	-0.000217591	2.2732965768100002e-07	4.7345843281e-08	-0.000904883	-0.0002411479999999	8.18813243689e-07	5.8152357903999984e-08	-0.000783267	5.6665000000000014e-05	3.210922225000001e-09	6.135071932890001e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
