global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	t_comp_cor_06	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	w_comp_cor_48	w_comp_cor_49	w_comp_cor_50	w_comp_cor_51	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	a_comp_cor_47	a_comp_cor_48	a_comp_cor_49	a_comp_cor_50	a_comp_cor_51	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03
291.0497494204522	n/a	84709.95663770802	n/a	296.28426027297974	n/a	87784.3628855068	n/a	192.29618015164644	n/a	n/a	36977.82090091446	190.83971629487243	333.27957439378025	n/a	n/a	n/a	n/a	0.0746804839	-0.1311160079	0.0641083719	-0.0105414008	0.0194056966	-0.0854728759	0.1244541207	-0.0464154953	0.2542511641	-0.01688936	0.2363685743	-0.04426767	0.1036197478	-0.0975834288	0.0933735183	-0.211728219	0.0235286691	-0.3183861229	0.1805856381	-0.1573221307	0.0738877266	-0.0087491649	-0.0966111685	0.0565565639	-0.0892210177	0.0813328355	-0.0483659191	0.0602498217	-0.0974390609	0.0904585185	-0.1089113423	0.0850802555	-0.0618330585	0.1165849216	-0.1002873851	0.0360730744	-0.0728888332	0.0446166861	-0.0068806229	0.1441521107	-0.0173660974	-0.0735828365	0.0364409129	-0.0337777988	-0.0589633959	0.0408906706	-0.0479506907	-0.0158913392	0.1368901047	-0.1298545884	-0.0013450308	-0.0290850556	0.0331917378	0.0876140873	-0.0669335328	-0.0263307504	0.0259567623	0.0866459132	0.0715634397	-0.0921698363	-0.0198134505	-0.1609250725	0.1227298748	0.0944430066	-0.0348853094	-0.1568138953	0.0266759425	0.0609539389	0.0119551439	0.0022251541	0.1273073513	-0.1555305428	0.0380640962	-0.0975004122	0.0656667162	-0.0845757437	0.0274105891	-0.1144325964	0.0442892513	-0.0818566868	0.0869063993	0.0427712668	-0.0293930234	0.1221726932	-0.0436844824	0.078596125	-0.1139868539	0.1074506806	-0.001775101	0.0420821263	-0.0733695802	0.0996786761	-0.0976655382	0.1365498521	-0.0621762789	0.0523783954	0.0261181705	-0.0687335074	-0.0600446009	0.0994895934	0.0425429266	-0.0777397165	0.04047679	0.0237980493	0.0259194975	-0.0291502481	-0.0535844474	0.1012150662	0.0973032066	-0.1447437304	-0.0071106629	-0.0307588231	-0.0893928793	0.1044787244	-0.0462192023	-0.1273531854	-0.0777273623	-0.0724241597	0.1964986548	0.1248714551	-0.0315735197	-0.0437459865	-0.0250186577	-0.1531491406	-0.0218593735	0.127738524	-0.0505908969	0.0858773866	-0.0776820254	0.0683211406	-0.0795806092	0.065372202	-0.0409067921	0.008767378	-0.0479821521	0.0473046937	-0.0077652329	0.0782177516	-0.0066042853	0.0303143103	-0.0270983908	0.0371113093	-0.0015437121	-0.0510255441	0.0735631908	0.0236508487	-0.0103251069	0.1195153378	0.1194927693	0.1194551582	0.103578	n/a	n/a	0.010728402084	-0.0623381	n/a	0.00388603871161	n/a	0.0601466	n/a	n/a	0.00361761349156	-0.000407246	n/a	n/a	1.65849304516e-07	0.000445948	n/a	n/a	1.98869618704e-07	0.0011838	n/a	n/a	1.40138244e-06	0.0	0.0	0.0	0.0
289.8267706779747	-1.222978742477494	83999.55700162334	1.4956770045518326	291.3362700858554	-4.947990187124333	84876.82226753849	24.48260689187869	192.295471460679	-0.0007086909674285	5.022428873147971e-07	36977.54834428481	190.84444526846417	325.2749115942571	1.126472	25.94068	0.1789242	0.103702	0.1377026798	-0.0863375611	0.0579494434	-0.064361964	-0.1098589559	-0.0722466891	-0.0439748224	0.1046804952	0.1404766629	-0.0842000317	0.0494450495	-0.0334727559	0.0126296124	-0.0342970711	0.0608282136	-0.1813026617	0.1620181227	-0.0645761365	0.1762210183	-0.1249820403	0.1098447397	0.0076507161	-0.0446544189	0.1042318687	0.047384696	-0.1317491528	0.1166863373	-0.0596064452	-0.129100016	0.0031412962	0.1346016352	0.05763886	-0.0739525236	0.0565942135	-0.0572969211	0.0801161339	-0.1263999764	-0.0790025007	0.0454888364	0.0337876187	-0.0055583405	-0.1351812412	0.1289553213	0.0437923016	0.0723065986	-0.0728552415	0.0005981567	-0.021366719	0.1064357667	-0.0299297533	-0.1078304542	-0.0220677958	0.0696819015	0.1103134522	0.0823850818	-0.1090171183	0.0392396296	0.1114571712	0.1062905631	0.0637087226	0.0905834962	0.054154244	-0.0089019353	-0.0077611814	0.1262397023	0.0436764312	0.0079166856	0.073672552	0.0358902624	0.0584204139	-0.0184222931	-0.1397648568	0.0918011555	-0.0430558	0.0024342853	-0.1023503721	0.0748729411	0.1245207518	-0.0976320226	0.0800394219	0.1506657539	-0.0236442377	0.1198686416	0.0268350092	0.0776922066	0.0445165492	-0.0926979905	0.0643158707	0.0716727602	-0.0012924766	0.1054441314	0.0367779476	-0.1021754742	0.0281898857	-0.1036280353	-0.0740018851	0.1494594922	0.0113857006	-0.0686083028	0.013781982	-0.0011644514	0.0148615698	-0.1067336458	-0.0072289091	0.050329612	0.0558397318	-0.0976419226	0.1369715164	0.0027156212	0.0290220312	-0.1556236878	0.0230953667	-0.0472650496	0.1023603122	0.0079732769	0.1176957645	0.050166268	-0.0397161906	0.055854633	0.0471217853	-0.0035368646	-0.1004002979	0.0069347706	-0.16190402	-0.068070329	0.0751140328	-0.1148000761	0.1022608193	0.1429870878	0.1066686164	0.0620732523	0.0891655123	0.0708949166	0.1655730416	0.0093497045	0.0750320015	0.1011541842	-0.0125375404	0.0168408055	-0.009760495	0.0474340774	0.0289586835	-0.0788128359	0.0038960345	0.0404574241	0.0481830459	-0.056836215	0.1194551582	0.1192521267	0.1189139965	0.0926523	-0.0109256999999999	0.0001193709204899	0.00858444869529	0.0161148	0.0784528999999999	0.0002596867790399	0.0061548575184099	0.113297	0.0531503999999999	0.0028249650201599	0.0128362102089999	-0.00088029	-0.000473044	2.2377062593600006e-07	7.749104841000001e-07	0.000410618	-3.5329999999999975e-05	1.2482088999999982e-09	1.68607141924e-07	0.00140333	0.0002195299999999	4.8193420899999964e-08	1.9693350889e-06	0.0	0.0	0.0	0.0
290.49218811964624	0.6654174416715364	84385.71135853995	0.4427803716806925	289.8396804474786	-1.496589638376804	84007.0403618965	2.239780545696813	192.18439950880665	-0.1110719518723613	0.0123369784927361	36934.8434145606	190.6723037328104	326.7901554847778	1.063097	24.481247	0.16724275	0.136425	0.106599214	-0.1361137668	0.0512724116	-0.0368159366	-0.1239165456	-0.1486138575	0.0748365088	0.073871506	0.1037463645	0.0054031418	-0.0761219846	-0.072867637	0.0344207403	-0.1043956447	-0.1698392907	-0.1970754484	0.0461831647	-0.0565030492	0.0509389692	-0.207313457	0.0185848701	0.040562831	-0.0948615932	0.1359424295	-0.0960998363	-0.07870131	0.1453980481	0.0450761789	0.1030662491	-0.0851775822	0.1237692459	0.0236915496	0.0438436912	-0.0432394203	0.0593378878	0.0130558072	0.0878430163	-0.0881450805	-0.0031591522	-0.1447201315	0.0001725945	0.0676027266	0.1378751434	-0.0517083292	-0.0626555463	-0.1514065989	0.1263524707	-0.0148890697	-0.0877842012	-0.0929016461	0.0497985519	0.0224940596	-0.0579230374	-0.0296703132	0.1649151073	0.0756060467	0.0170722005	-0.1271696776	-0.1705396844	0.0898633518	-0.0505347418	-0.0155975193	0.0258271418	-0.0739495251	0.070280221	-0.0250507719	-0.0238614952	-0.0572388571	-0.0793304235	0.0380431665	-0.0110164695	-0.2070038382	-0.0176524558	-0.0281300288	0.0245930977	-0.1351477321	0.0863153846	-0.0376165233	-0.1572734676	0.1112653708	-0.0912384597	-0.1301024633	0.0445589883	-0.0279436221	0.0248468413	-0.0350840692	0.0434257637	0.0175500171	0.0144464526	-0.0318043123	0.0760550245	-0.1127587504	0.0661189489	-0.1032199022	-0.1817709323	0.0498127277	-0.0043181288	-0.0455461405	0.141658798	-0.1234674665	-0.0218339965	-0.0873012253	0.0170888428	-0.0221992002	0.0301292653	0.093744219	-0.0769989654	-0.1260840569	-0.076793371	0.053550279	0.1461065245	-0.1588922418	0.0440518049	-0.055939579	-0.0556474281	0.1120193341	-0.0417286779	0.0733746882	-0.039054653	-0.0911800377	0.042303256	-0.0172571339	0.0312109749	-0.1691036776	0.0175149159	0.1933857907	-0.0506816558	0.1018744875	0.0169995568	0.0658100595	-0.098449384	0.1184987209	0.0005097806	-0.0028331087	-0.1122724603	-0.0198099616	0.0306640004	0.0335546502	-0.0464605324	-0.0276316591	-0.0766835307	-0.0097501114	-0.0300812575	-0.015057695	-0.0098010503	-0.0205719458	0.0939035927	0.1193348294	0.1187713263	0.1178341246	0.0915679	-0.0010844	1.1759233600000285e-06	0.0083846803104099	-0.112425	-0.1285397999999999	0.012639380625	0.0165224801840399	0.109097	-0.0041999999999999	1.763999999999996e-05	0.011902155409	-0.000248855	0.000631435	3.987101592250001e-07	6.192881102499999e-08	0.000382442	-2.817600000000004e-05	7.93886976000002e-10	1.4626188336399998e-07	0.00141209	8.760000000000018e-06	7.673760000000029e-11	1.9939981681e-06	0.0	0.0	0.0	0.0
290.6256216799599	0.1334335603136764	84463.25197686319	0.0178045150179835	289.8971072771315	0.0574268296529112	84040.3328076487	0.0032978407639844	192.454479466856	0.2700799580493367	0.0729431837399314	37038.72666685849	190.97477610362048	329.55257096542493	0.992331	22.851648	0.1795665	0.135077	0.0917355848	-0.1637694712	0.096647096	0.0089984949	-0.0724783573	-0.0808728433	0.0570664339	0.0965156353	0.126008809	-0.0270776801	0.018451544	-0.0702093628	-0.104754702	-0.1671096182	-0.0380138503	-0.1363502667	0.0837950705	0.1187897578	0.0129959705	-0.164300579	0.1055519551	0.0206059298	-0.0366783377	0.0340329774	-0.0761357132	-0.0903352366	0.120580693	-0.010916789	-0.0052414476	-0.0565249339	0.1500643231	0.066647527	0.0976073969	0.0100174571	-0.1162352844	0.0502168257	0.0839272072	0.092126752	0.0338442742	0.0307094971	0.0943530892	-0.0732729435	0.0045754458	0.0307540205	-0.1073212676	-0.0366336409	0.0744692594	0.0940822079	0.0160176693	0.0180373754	0.0231374421	0.0091498587	0.095076463	-0.0923183094	0.0718636211	0.0018620329	0.0251841467	-0.0573547003	-0.0113876452	-0.0936548685	-0.0454459533	-0.0056584221	-0.0208867408	0.1580455964	0.005531124	-0.0546458162	0.1349103544	-0.0633954414	0.0066072714	0.0202219084	0.0491264673	-0.1820995076	0.0777711775	-0.0362911977	0.008426046	-0.0394887839	0.0803424363	-0.0057125542	-0.1129532324	0.1206747616	0.0158886141	-0.1425097331	0.127934251	0.054903714	0.0098444116	0.0410400895	-0.00897549	-0.0001608919	-0.037726212	-0.0038305348	-0.1287673951	-0.0810287388	-0.0382993137	0.0047704663	0.0071245606	-0.0241611084	-0.0101150805	-0.1440068517	0.0131816083	-0.0274098438	0.0698111627	0.0832105904	-0.0598409843	0.0052552325	0.0450614702	0.1250676335	-0.0034126182	-0.0258884648	0.0424682933	0.046445413	0.07950869	0.0004205566	-0.0092628142	-0.033256602	0.0529638147	-0.1175879533	0.0294760474	-0.1311217781	0.0653295367	-0.0947512726	-0.0112925677	0.0062614926	0.0687953763	-0.1739318889	-0.0678746854	0.1242583731	-0.1106119385	0.1217521132	0.0789906573	0.1466940625	0.0602908177	0.0569413821	0.1086122331	0.0856786869	0.012452715	0.0206312842	0.104527815	-0.0284642327	0.0068549125	-0.056374507	0.0707705341	-0.0253499951	-0.0248153972	-0.0250336276	0.0245522809	0.0381287134	-0.0454489302	0.1191544118	0.1180513362	0.1162204348	0.0914155	-0.0001523999999999	2.3225759999999082e-08	0.00835679364025	0.0157823	0.1282073	0.00024908099329	0.01643711177329	0.124708	0.015611	0.000243703321	0.015552085264	-0.000699339	-0.000450484	2.0293583425600006e-07	4.89075036921e-07	0.00028519	-9.725199999999998e-05	9.457951503999996e-09	8.13333361e-08	0.00157627	0.00016418	2.6955072400000032e-08	2.4846271129e-06	0.0	0.0	0.0	0.0
290.53059287283014	-0.0950288071297791	84408.02539503817	0.0090304741845087	289.3021932009146	-0.5949140762169236	83695.7589908593	0.3539227580810355	192.43374419617496	-0.0207352706810297	0.0004299514502155	37030.7459053589	190.91488137021565	329.8181649502776	0.945158	21.765326	0.164932	0.120343	0.1084692	-0.1615443801	0.0923397591	0.0117301538	-0.0406738981	-0.1454725765	0.1003622052	0.0797020504	0.1448781787	-0.0324923553	-0.0459309109	-0.0875166838	-0.0180957691	-0.1659290304	-0.1126677552	-0.1000759083	-0.0434276816	-0.0544439956	0.0457337836	-0.2119783011	0.0235436501	0.046278992	-0.0822442077	0.0153925623	-0.1657589428	0.0184055855	0.1450248171	-0.0528237318	0.0539864226	-0.0612749286	0.0736140498	-0.084414684	0.0976498601	-0.0214602346	0.0613439574	0.0775092267	0.0329067549	-0.0314923231	-0.0333103143	-0.0933437024	-0.0657282696	0.0528406911	0.0088416258	0.0805981401	0.0731756684	0.0117167088	-0.0258169016	-0.0213504118	0.1327340722	0.1363864053	0.0892740894	-0.0160663466	0.091998202	-0.1720862079	-0.0863620272	0.011834434	0.0885127089	0.0906769606	0.0897096475	-0.0557304652	-0.0237328155	-0.0217870962	-0.0944420601	-0.0221547182	-0.0436329046	-0.0388368167	0.0550853192	0.0979515136	-0.1333205183	-0.0057415373	-0.0268900314	-0.2187683785	-0.0113014939	-0.0330016848	0.0605918567	-0.0297585934	0.0783721004	-0.1199882715	-0.0822788222	0.1615624735	-0.0126937522	-0.0939725539	0.0003440139	-0.0912584983	-0.0565870706	-0.0075492618	0.1055631254	0.0737319644	0.007797037	-0.0501946787	0.0688916042	-0.0115680634	0.09809201	-0.1037910409	-0.0017643835	-0.0540888183	0.0286739296	0.0246909568	-0.0708023553	0.0837792374	-0.0221733206	0.0534513723	0.0392853014	0.0087571184	-0.0644554303	0.1040244029	0.1441986058	-0.0520215754	0.1603445511	0.0382404589	-0.0389038667	0.140471554	-0.0537615364	-0.0604745202	-0.0168631995	-0.045567622	-0.0320350145	-0.0592433884	0.056295122	0.0386368045	-0.0361340048	0.0097868653	-0.1345409712	-0.1713704563	-0.0021103374	0.2011790423	-0.0456008633	0.0945426054	0.0703839105	0.0715599491	-0.0995633542	0.1313607593	0.0085468967	-0.0613940257	-0.0263508444	0.004152395	0.0400580282	0.0360890694	-0.0183838964	-0.025219475	-0.0758931632	-0.0080954591	0.0289583732	-0.0206731496	-0.0070866933	-0.0096766448	0.1070500764	0.1189139965	0.1170936064	0.1140802373	0.0865385999999999	-0.0048769000000001	2.3784153610000985e-05	0.0074889292899599	-0.097226	-0.1130083	0.009452895076	0.01277087586889	0.126835	0.002127	4.524129000000017e-06	0.016087117225	-0.000206394	0.000492945	2.429947730250001e-07	4.2598483236e-08	0.000442391	0.000157201	2.4712154400999998e-08	1.95709796881e-07	0.00132802	-0.00024825	6.162806249999999e-08	1.7636371204000002e-06	0.0	0.0	0.0	0.0
290.36468024040147	-0.1659126324286717	84311.64753111059	0.0275270015994115	290.4806692151056	1.1784760141910056	84379.01918765559	1.3888057160235192	192.50216221528893	0.0684180191139773	0.0046810253394805	37057.08245756142	191.0050034541141	329.96419523184744	0.953936	21.967461	0.15549962	0.0983503	0.1013519599	-0.1153357444	0.0760655535	0.0047411281	0.0523093241	-0.0882518277	0.0816556927	0.0365991633	0.0939622697	-0.0605484609	0.013834668	-0.1061928501	-0.1230270956	-0.1765203307	-0.0537332492	0.0223608977	-0.0347425186	0.1484664887	-0.0070742759	-0.0956026912	0.0599412597	-0.0438309963	-0.1412834825	-0.0080156151	-0.0849828671	0.0973776825	0.1817591717	-0.1141006622	-0.0011191604	-0.0410117092	0.0554436099	-0.1384444377	-0.1089006232	-0.054596208	0.0427594697	-0.0078728238	-0.0259297521	0.0395320366	-0.0197225924	-0.0674117905	0.0405837585	-0.0284002096	-0.1313279212	-0.037323667	0.1216814204	0.0570120172	0.1489403069	-0.0648575588	-0.1062538556	-0.0123736273	-0.0064587199	0.0480500287	-0.1190960711	0.0028357213	-0.0665959264	-0.03190919	0.0762707569	-0.122690997	-0.1076504321	0.0570190751	-0.0138802831	-0.0146041008	-0.0989320829	0.0601336313	-0.0762684162	-0.0288535324	-0.0143662941	0.0176067065	0.1208435099	-0.0423727188	-0.0049108394	-0.0984112854	0.0347849566	-0.0881418278	0.064818308	-0.0583629073	-0.0230976127	-0.1374591857	-0.0462146628	0.2142825954	0.0685255689	0.0128335386	-0.0159857535	-0.144764751	0.0428701139	-0.0409790436	-0.0488508852	-0.0769759882	0.0675949011	0.0137109031	-0.0118880833	-0.0439440907	0.024222627	-0.0270907659	0.1209162369	-0.0395983077	0.0517986694	0.0860645861	0.2286349134	0.0963131921	-0.0682924416	-0.0266155369	0.0182685112	-0.0427175734	-0.0130986564	-0.1429914364	0.0356704163	-0.0465250944	-0.0316166598	0.1513368887	0.115266979	-0.0782329287	-0.0159154435	-0.0623210369	0.0208619776	-0.058919466	0.0346408072	-0.031203564	0.0376675839	0.0672709566	0.0006096262	0.0523031845	0.023905097	-0.1370316024	-0.0470752917	0.1211435867	-0.0674176607	0.0985798674	0.0212933165	0.078512299	0.0239084015	-0.0187100354	0.0270358741	0.0253508755	0.0355161224	-0.0293458693	0.0199464093	0.0093186665	-0.0190809017	0.0151701434	0.0754058784	-0.0015004662	0.0218098738	-0.0886421477	-0.0761739354	0.0081223596	-0.0517354242	0.1186137044	0.1159000657	0.1114232278	0.0721013999999999	-0.0144371999999999	0.0002084327438399	0.0051986118819599	-0.00477033	0.09245567	2.27560483089e-05	0.0085480509151489	0.101608	-0.025227	0.0006364015289999	0.010324185664	-0.00036908	-0.000162686	2.6466734596e-08	1.362200464e-07	0.000276592	-0.000165799	2.7489308401e-08	7.650313446399999e-08	0.00118891	-0.00013911	1.9351592100000004e-08	1.4135069881e-06	0.0	0.0	0.0	0.0
290.0865823288748	-0.2780979115266859	84150.22524724704	0.0773384483955044	289.9749244787459	-0.5057447363597021	84085.45682645438	0.2557777383555445	192.3987990198572	-0.10336319543174	0.01068395016986	37017.2978642834	190.80986909781723	329.76987759339136	0.954439	21.979061	0.116946665	0.0837853999999999	0.0994730246	-0.1069618219	0.0732500835	-0.0375634098	0.1155383263	-0.0355786691	0.1479042153	-0.029318098	0.1071051998	-0.0803090655	-0.0375618838	-0.1013973921	0.0111020404	-0.0880726821	-0.2378900706	0.0921146701	0.0267946362	-0.0387220229	-0.0280960488	-0.1334084122	0.0105077861	-0.0616942707	-0.1686105019	-0.0192654625	-0.0666172613	0.0728679948	0.2749814707	-0.0218708619	0.0464282933	0.1095411981	-0.0977698022	0.0479423098	-7.43309e-05	0.2022619982	0.0151685725	-0.1368571379	0.0675587907	-0.0206655959	0.0658887941	-0.0685451348	-0.0149341195	-0.0388303543	-0.0820264605	-0.0581375864	-0.1822014349	0.0202667589	-0.0747342856	0.0476709361	-0.0549873512	0.0223354027	-0.0198296407	-0.090055492	0.0266170758	0.0773913684	0.0365318795	0.1194427383	-0.1020122623	-0.0280342472	0.1328670693	0.0164316343	0.0860751754	0.1690191264	-0.1236253018	-0.0651167547	-0.0446695164	-0.0415802485	-0.024318503	-0.0446947639	0.0913398405	-0.0345574445	-0.063986579	-0.1095226026	-0.030442743	-0.1289516686	0.0749316172	-0.0619805314	-0.0778545038	-0.174031239	-0.1669331687	0.1271455295	0.0403094271	0.1463628104	-0.1129911415	0.1026976099	0.1264622219	0.1895827722	0.0629087714	0.0051562806	-0.0231642591	0.0113549441	-0.0136005323	-0.0515273955	-0.0443610191	-0.0981464328	-0.0087094019	0.092069082	-0.0816230545	-0.0999946447	-0.0299715484	-0.0214597376	0.051150866	0.0191523094	-0.0445682368	0.1022658834	-0.0477622269	-0.0838395489	-0.1004244321	-0.0977511145	-0.0787262485	-0.0221315436	-0.1119988851	0.1520376075	0.0802045798	-0.0162536731	0.1711345212	-0.0163311502	-1.53051e-05	0.1926506152	0.0165340205	-0.0637906297	-0.0041605114	0.0524683016	0.0941849041	-0.148357562	0.0027111951	0.1736454968	-0.0341674534	0.061128988	0.0591097637	0.0804762465	-0.0815866881	-0.0452160438	-0.0969950076	-0.0272522281	0.088486317	-0.0507367114	-0.1235915102	0.1492665797	-0.0066172998	-0.0175046545	-0.0063617675	0.0378469694	0.0289477857	-0.0608917543	-0.0792594681	-0.0395451177	0.0170675705	0.1182536866	0.1144731177	0.1082614433	0.0748023	0.0027009000000001	7.294860810000557e-06	0.00559538408529	-0.0846736	-0.07990327	0.00716961853696	0.0063845325566929	0.113539	0.0119309999999999	0.0001423487609999	0.012891104521	-8.51681e-05	0.0002839118999999	8.060596696160999e-08	7.25360525761e-09	0.00039266	0.000116068	1.3471780624000011e-08	1.5418187560000004e-07	0.00114066	-4.825000000000012e-05	2.328062500000011e-09	1.3011052355999998e-06	0.0	0.0	0.0	0.0
289.47370510395325	-0.6128772249215331	83795.02594661049	0.3756184928275194	289.6543336705501	-0.3205908081957886	83899.63301413038	0.1027784662996289	192.0528696085113	-0.3459294113459066	0.1196671576341254	36884.30472486384	190.5010692091193	326.83020472693744	1.035177	23.838305	0.1401486549999999	0.0956165	0.0920926956	-0.0362672316	0.0408804351	-0.0856575768	0.0935369925	0.0197563097	0.0930021326	-0.0640638011	0.0729453272	-0.1194666545	0.0087512001	-0.0459530987	-0.0012872569	-0.0832506085	0.0059662271	0.1771104717	0.0044408646	0.040050988	0.0343147618	-0.0902565153	0.0886442239	-0.0949718649	-0.1509789467	0.1120610978	0.0253057193	0.0449996606	-0.0145371148	0.0202296736	0.0165493531	0.0682403281	-0.0517415394	-0.1861825399	-0.0886396769	-0.0606531713	-0.0654762694	0.0550289392	0.0938780358	-0.0259568315	-0.0155877419	0.0212560097	-0.1423143525	-0.030019424	0.0302620036	0.1706364381	-0.0346703859	0.1158272692	0.00704876	-0.0131722474	-0.0753248478	0.0792365495	0.0008807874	-0.0573515018	-0.0992792039	0.1110556792	0.0052424406	0.1001844118	-0.1197560984	-0.0597745538	-0.0191774213	-0.0354783674	0.0510693862	-0.1107491171	0.0637450793	-0.0931343472	-0.0086529089	-0.0654467907	0.0256119962	-0.017480416	-0.0697893671	0.0989243667	-0.0543225387	-0.0691090643	0.0457841518	-0.15923089	0.0388406811	-0.1581225365	-0.0275428112	-0.0407564347	-0.0296233159	-0.0193524129	-0.0189699006	0.1333777124	-0.0159717953	-0.1618981463	-0.1007220427	-0.0647593075	-0.0981648243	0.0456261851	-0.0467347641	-0.0589302709	-0.0488609594	0.0359313489	-0.0875894414	-0.0818986691	-0.0117074738	-0.1783622038	-0.1297312714	-0.0129587521	-0.0133325649	0.0270786325	-0.0487544155	0.0414905024	0.0196555092	0.0332696369	-0.0615291159	-0.0997817486	-0.0534643684	-0.0135368629	-0.0929832762	-0.1169320143	0.0321977917	0.000157102	0.1293436574	0.017850302	-0.1281520143	0.0004977926	-0.0901503648	0.0472946629	0.0045960043	-0.0223914169	0.0500266122	-0.0304287758	0.02961867	-0.1031798627	-0.040244537	0.0706478929	-0.0819643421	0.0612080382	0.0441945206	0.0325319377	0.0208835405	-0.1324697132	-0.0239333912	-0.0033421124	-0.0091039508	0.0195317298	-0.0849241143	-0.0177248014	-0.0405048013	0.1177441714	0.0754801679	0.0327599717	0.0050346211	-0.0970573673	-0.0547549792	0.0629848388	-0.0837267757	0.1178341246	0.112815636	0.1046092073	0.0726437	-0.0021585999999999	4.659553959999986e-06	0.00527710714969	0.00482621	0.08949981	2.32923029641e-05	0.0080102159900361	0.0822269999999999	-0.0313120000000001	0.000980441344	0.0067612795289999	-5.87072e-05	2.6460900000000003e-05	7.0017922881e-10	3.44653533184e-09	0.000108926	-0.000283734	8.0504982756e-08	1.1864873475999998e-08	0.00110729	-3.3370000000000014e-05	1.1135569000000011e-09	1.2260911441e-06	0.0	0.0	0.0	0.0
