global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00
270.5069518017908	n/a	n/a	73174.01097309639	302.0432532026961	n/a	n/a	91230.126805268	198.6175800806957	n/a	39448.943117111565	n/a	197.6776577675566	301.55930181984814	n/a	n/a	n/a	n/a	-0.1023982568	-0.0951359068	0.031974631	-0.0588579761	0.0205797042	0.20413552	-0.0126639066	0.0523721494	-0.0157175377	0.0459002397	-0.7354884466	0.0709901658	-0.256745478	0.1052562057	-0.0209691541	-0.0268403775	0.0975701908	-0.0789696295	0.0427682156	-0.0665985109	0.0184988942	-0.0131472228	0.0140580153	-0.2080565948	-0.0097677359	0.0536532326	-0.1108584074	0.0525868881	-0.0488337928	0.1725944115	-0.0191931644	7.27372e-05	-0.0536496839	0.0374424898	-0.0288122569	0.0629600916	-0.0353779453	0.0260326019	-0.0131547783	0.0175368441	0.0261176293	0.0353561906	-0.0290394798	0.0963970612	0.0041061354	-0.1500998426	-0.0347909187	0.1574334633	0.0061992597	0.0323218966	0.0141482297	-0.0394732928	-0.0851755763	0.0636977728	0.0897297888	-0.2242295711	-0.0549292473	0.1392324927	0.0054063115	0.0257588372	0.025033055	-0.0233234579	0.1031626631	-0.0820049852	0.0163966263	-0.0651802078	0.0059414366	-0.013543579	0.0722709551	-0.2361397863	0.1118690582	-0.0578233014	-0.1369851607	0.1196293234	-0.0198777616	0.0475725699	-0.1627621343	0.0216758655	-0.0092454017	0.0493975265	-0.0490539864	0.0180499588	-0.085364906	0.0272940238	-0.0147932303	-0.0279125989	0.0127753256	0.0333564667	-0.1134396651	-0.1025031775	0.0340955833	0.0199742256	-0.1203599947	0.1932914985	0.0519864311	-0.0077345938	-0.0722133475	-0.0689348736	0.074259837	0.034969154	0.0798756905	-0.1452610079	0.1682840362	0.1076540002	0.0435725747	-0.0375896614	-0.1172717275	-0.1134339814	0.0885646868	-0.0234685029	0.1138809204	-0.0988350224	0.0510287977	-0.2378504867	0.0852512971	-0.0540707556	0.0115946551	-0.1478195814	0.073581315	-0.0058327948	0.2109962838	-0.045567059	0.0290060714	-0.1219447257	0.0291213686	-0.0534392914	0.0986817693	-0.0111569198	-0.0588001371	0.1776364754	-0.1381754386	0.1195153378	0.1194927693	0.1194551582	-0.00795957	n/a	6.335475458489998e-05	n/a	0.0330953	n/a	0.00109529888209	n/a	-0.168278	n/a	n/a	0.028317485284	-4.78081e-05	n/a	n/a	2.28561442561e-09	-0.000412411	n/a	1.70082832921e-07	n/a	-0.000905869	n/a	n/a	8.20598645161e-07	0.0
269.90404789756286	-0.6029039042279578	0.3634931177333145	72848.19507148991	298.4418948147748	-3.601358387921323	12.96978223825127	89067.5645806331	198.59990447946947	-0.017675601226216	39441.9220592544	0.0003124268787082	197.624999371121	301.489259966669	1.075179	19.681564	0.149053183	0.0811068	-0.106304865	-0.1110538336	-0.0403079329	-0.0560121108	0.0106779738	0.1577845588	-0.0195619097	0.0242279508	0.0297323511	0.1505270809	-0.2177464071	-0.0420339377	-0.1354354282	-0.0523361344	0.1155343706	0.0354458512	0.0942227251	-0.144652509	0.0375922103	0.0853250731	0.008401974	-0.0256858727	0.041665725	-0.2213168892	-0.0462377311	0.0310600095	-0.1118107005	-0.0101855756	-0.0442175483	0.0264319846	0.0473369724	-0.0232300933	0.0245754524	0.0512576362	0.0102307024	0.1121093462	-0.0730727254	-0.142274199	-0.0227367619	0.1791652805	-0.0355326183	0.0890434281	0.0501344648	0.0167556802	-0.1495504323	0.0938895261	0.1597646039	-0.0777876129	0.0771268931	-0.0074717298	0.0856874256	0.1215399472	-0.1055188632	0.0313225031	-0.013584875	-0.0023289629	-0.067327561	-0.0311984791	-0.0016262527	0.0115809549	0.0908053902	0.0378006043	0.1070977454	-0.1356161574	0.0372234968	0.0854365433	-0.0145730866	-0.0117743563	0.049277331	-0.2447926301	0.10626583	0.0392751341	-0.0953338659	0.0302494383	0.0035939758	0.071362835	-0.0099856693	0.0371092606	-0.0111601672	0.0231450718	-0.0089125183	0.1224218669	0.0101489679	-0.1013097888	-0.1428675329	-0.0678847016	-0.0085083309	0.1080026108	-0.0418945465	0.0572756703	-0.0268958975	-0.185986608	0.0171645159	-0.1145241111	0.0114300953	-0.0950536449	0.1102327228	-0.0907630877	0.1103470245	-0.1097787707	-0.0445859856	-0.0204707811	0.0194809067	-0.0454334411	-0.0150486906	-0.0323241394	0.0135946179	0.0593628627	0.0409187677	0.0300686548	0.1863953276	-0.0622576596	0.0150887553	-0.2311878883	0.1052327828	-0.1103444417	0.0554306036	-0.0889413006	0.0494140556	0.0184603797	0.1423594194	-0.0353755571	-0.0509531233	0.1174430602	-0.0249026605	-0.0401117736	-0.0368939932	-0.1007332417	-0.1761777122	0.00666687	-0.0345294474	0.1194551582	0.1192521267	0.1189139965	-1.2482e-05	0.007947088	1.55800324e-10	6.3156207679744e-05	0.0523613	0.019266	0.00274170573769	0.0003711787559999	-0.132048	0.03623	0.0013126129	0.0174366743039999	-0.00112621	-0.0010784019	1.1629506579236104e-06	1.2683489641000002e-06	0.000107514	0.000519925	1.1559260196e-08	2.70322005625e-07	-0.0007919939999999	0.0001138750000001	1.2967515625022776e-08	6.272544960358416e-07	0.0
269.26364864826826	-0.6403992492946031	0.4101111984970912	72502.91248337805	295.62410941317273	-2.817785401602066	7.939914569481717	87393.61406633152	198.5267075779879	-0.0731969014815661	39412.85362175592	0.005357786386502	197.56474449180308	298.0647389088525	0.988599	18.096684	0.090359341	0.0568137	-0.0686051038	-0.0984750209	-0.0911851126	-0.0291443614	-0.0374364902	0.0768318318	-0.0326590682	0.075096056	-0.0252533798	0.0029737496	-0.0170052452	-0.0459703117	-0.212231178	-0.0177076555	0.0651995629	0.07773179	0.0733608761	-0.1245922917	-0.0407805181	-0.0450386483	-0.0467768554	0.0957903356	0.0550671155	-0.1801035389	0.0499983831	0.1231046553	-0.0951547776	-0.0425740959	-0.0643283326	0.098936845	0.0049969063	0.0493932504	-0.1072607668	0.0714532179	0.0331311317	0.0684328533	-0.1628388317	0.0246501981	-0.0627201232	-0.1829292388	-0.0647975031	-0.0107417994	0.0410055834	0.1196267733	0.0199345458	-0.0094690144	0.0624488203	-0.0707204416	-0.0223761875	-0.0750941316	-0.0906989636	-0.0014822725	0.1684448449	0.0531304673	-0.0064036094	0.0311986415	0.0001834509	-0.1373139795	0.085145442	-0.1427867943	-0.0051570605	0.0849326634	0.0796368177	-0.1170543975	-0.0463040182	-0.0464528289	-0.0526966625	0.1124836289	-0.0162755529	-0.1957159989	0.1296508404	-0.0545935826	-0.1231539394	-0.011275622	-0.0458984408	0.044719986	-0.1220697397	-0.0285804768	-0.0789867006	0.0704788368	-0.0321340627	0.1095505014	-0.1698072396	-0.0514322304	0.1817611865	0.0439569038	-0.0435143547	0.0301168156	0.0169990416	-0.002729214	-0.002734231	0.0103965833	0.0548830273	-0.0826027557	0.0555605623	-0.0380538453	0.0742948887	0.1095402831	-0.0842754733	0.0885711904	0.0971875415	-0.0076543706	-0.0921105091	-0.0935463435	-0.1615455992	0.0234239411	0.0904016887	0.0430251447	-0.0161791997	-0.1437285517	0.1105263793	-0.0924732628	-0.0067395279	-0.1769514436	0.1332660938	-0.1647223019	0.0435698127	-0.1084901056	-0.0012353383	-0.0457640601	0.0470536156	0.0052326457	-0.0095023252	0.0915173425	-0.0061506034	0.0606491398	0.0628100991	0.0188225785	-0.0269466742	-0.0320662007	-0.0687001943	0.1193348294	0.1187713263	0.1178341246	-0.0115015	-0.011489018	0.0001322845022499	0.0001319975346043	0.000129292	-0.0522320079999999	1.6716421264000004e-08	0.002728182659712	-0.124078	0.00797	6.352090000000008e-05	0.0153953500839999	-0.0008169269999999	0.0003092830000001	9.565597408906193e-08	6.673697233288366e-07	6.60107e-05	-4.1503300000000006e-05	4.35741251449e-09	1.7225239108900002e-09	-0.0007694139999999	2.2580000000000018e-05	5.098564000000006e-10	5.91997903395846e-07	0.0
268.8121883769859	-0.4514602712823716	0.2038163765463526	72259.99262002415	294.11501531021014	-1.5090941029625924	2.2773650115964714	86503.64223092515	198.666966482022	0.1402589040340842	39468.56357116885	0.0196725601608424	197.6693759816538	291.6542204570936	1.026301	18.786844	0.031588573	0.0166783	0.0130143694	-0.0958822002	-0.1281912295	0.0403542433	-0.0396360419	0.0179431487	-0.0732560279	0.1460130714	0.0196173728	-0.0557249126	0.0193890101	-0.0014138072	-0.0600113511	-0.1037905489	-0.0455702831	0.1090408342	0.0169588928	-0.0924981411	-0.0807370863	-0.0795452061	0.0819477299	0.1165186692	0.0786746557	-0.1371519694	0.1709481182	0.1013238565	0.0234773376	-0.0789526964	0.0599141167	0.0918333975	0.169407959	0.1104959413	0.1390026682	-0.0049619505	0.0756788896	0.126257914	-0.0206280227	-0.061449552	-0.0967828437	-0.0882214904	-0.0458478298	0.0275365467	-0.0364602118	-0.005765014	-0.1171485	0.0223509077	-0.1048513627	0.1054633471	0.0099624463	0.0459124189	-0.0338944882	0.0809332513	-0.0200530917	-0.0368606133	-0.0376449463	-0.0735206074	0.0360168229	-0.037249943	0.0257726993	0.0900608898	0.0103948668	0.1131001023	0.0190293059	-0.0909897258	-0.0719803699	-0.0574345024	0.0961415017	0.1034405484	-0.0652903578	-0.1667366202	0.0024095985	-0.1335039519	-0.0640074492	-0.1846691947	0.0811629947	0.089660673	-0.0665201229	-0.0863252505	0.155571982	0.0148828592	-0.0333889866	0.1453934095	0.0297200845	-0.0768108725	0.0588170474	-0.1271144816	-0.0485126368	-0.0198509311	0.0437829231	0.0521278463	-0.029769231	-0.0491045454	0.0716577142	0.1493224574	0.0082378994	0.0055165657	-0.0337085773	0.0662510677	0.0110456458	-0.0942255332	-0.0159136711	-0.0339085144	0.015684337	0.0166544348	0.0055751152	0.0983517283	-0.0597865563	-0.0549419617	-0.0713962768	-0.0875852703	0.1112367476	-0.0928831437	-0.0829561327	-0.0904495381	0.1308528784	-0.1453004989	-0.0425733047	-0.1307502676	-0.0132942921	-0.0592391629	0.0183256291	-0.0498910108	0.1223540781	0.052632761	0.0909572884	0.0078900595	0.1446853359	-0.0551719855	-0.0087754923	-0.0907132544	-0.1304519746	0.1191544118	0.1180513362	0.1162204348	-0.0122606	-0.0007591	0.00015032231236	5.762328100000006e-07	0.0117362	0.011606908	0.00013773839044	0.0001347203133204	-0.114023	0.0100549999999999	0.0001011030249999	0.013001244529	-0.000856486	-3.9559000000100064e-05	1.5649144810079171e-09	7.335682681960001e-07	0.00014622	8.02093e-05	2.13802884e-08	6.43353180649e-09	-0.000705831	6.358299999990001e-05	4.042797888987285e-09	4.981974005609999e-07	0.0
269.2216803553448	0.4094919783589148	0.1676836803402979	72480.31317335545	294.6329686625584	0.517953352348286	0.2682756752088276	86808.58622291214	198.82462628584187	0.1576598038198824	39531.232017704686	0.0248566137405238	197.8250673346788	292.24432710496626	1.027814	18.814531	0.0505191198999999	0.0234592	0.006857938	-0.0368026117	-0.1282271255	0.08571597	0.0841510817	-0.0113631917	0.0355126175	0.1411843616	0.0733369703	-0.0171340751	-0.0522088509	0.0094119517	0.0332508339	0.0888233499	-0.0861001117	0.0942990603	-0.0439346575	-0.044867901	-0.0096173794	-0.0957405998	0.0246427381	-0.127207647	0.1261683548	0.0604752088	-0.0045261069	0.0885081158	-0.0959997223	-0.032576397	-0.0319968707	0.0914483978	0.0251733211	-0.0039578572	-0.0074427116	0.1412179788	-0.1199144739	0.029345009	0.0893027243	-0.0285415177	-0.0369393052	0.1245587369	0.0448806309	0.0358777772	-0.1030777101	-0.2132863161	-0.0235353967	-0.0235410188	-0.0346617521	0.1334248529	0.0249297089	-0.1731043961	-0.0159406792	0.029999965	-0.0244500487	-0.0371440024	0.0129250823	0.2594056226	0.0376208498	-0.1337313651	0.1097704974	-0.1079344443	-0.0011541069	0.09461321	-0.0394348771	-0.0522982953	-0.0063147209	-0.0844896852	0.0349329116	-0.1415575234	-0.1288910136	0.0387371951	0.0900219861	0.0165078677	-0.1083406021	-0.0090504369	0.0508177703	0.0735460054	-0.0720231896	0.0227024013	0.0007503639	0.1451623539	0.0301300198	-0.1158485475	0.1478909814	-0.0736255124	-0.1246052989	-0.1329211545	0.04524872	-0.0534954252	0.0926071495	0.0705557569	0.0051776393	0.0717884088	-0.0803405811	0.0349460824	0.1151883812	-0.0554092734	-0.0941036954	-0.0589946348	-0.0637166686	-0.0812065088	0.017746499	0.2319373838	-0.1557485187	-0.0389358854	-0.1427912103	-0.0031334321	0.1282391083	-0.063559191	-0.0878582963	0.0338164311	0.1086845305	-0.1518125906	-0.0536722957	-0.0732754524	0.0165940256	-0.0162340097	-0.1245356817	-0.0976958434	0.0564261363	-0.0971876384	0.0075517011	-0.0348682438	0.0110387796	-0.0205081921	-0.0335829714	-0.1803814116	0.0759736848	-0.1449174868	0.094451863	-0.0406115761	0.1082395172	0.1189139965	0.1170936064	0.1140802373	-1.31901e-05	0.0122474099	1.7397873800999998e-10	0.0001499990492586	0.0220311	0.0102949	0.00048536936721	0.00010598496601	-0.118723	-0.0046999999999999	2.208999999999996e-05	0.0140951507289999	-0.000913003	-5.651699999999996e-05	3.1941712889999954e-09	8.335744780090001e-07	-4.15432e-05	-0.0001877631999999	1.7258374662399999e-09	3.525501927424e-08	-0.000484575	0.0002212559999999	4.8954217535999996e-08	2.34812930625e-07	0.0
269.50251564170094	0.2808352863561367	0.0788684580627333	72631.60593720526	295.067961214362	0.4349925518035888	0.1892185201245979	87065.10173520025	198.63085026374983	-0.1937760220920381	39454.21467650021	0.037549146737814	197.65625121162768	297.9582015912978	1.01354	18.553253	0.0476607241	0.0259953	-0.055397847	0.0613133621	-0.0975147531	0.0535031801	0.1248945286	-0.0162588353	0.1442260325	0.0756964625	0.035003942	0.0795346975	0.0013303735	-0.118102878	0.0339851861	0.1147917928	-0.056565835	0.0464481124	-0.0921096189	-0.0465203031	0.0172416736	0.0822166802	0.0143636048	-0.0115366815	-0.0375321727	0.0486559121	0.0224482279	0.0924267839	-0.1740203334	-0.1211596759	-0.1184418156	-0.0181637455	0.1420742811	-0.0477589429	0.0830054483	0.0607730729	0.0928256571	0.0860175335	-0.0032734946	0.0433045423	0.1144242676	-0.1527878946	-0.1197853619	0.0268106941	0.0520628788	0.0822766813	-0.0720882293	-0.0174414267	0.0236694341	-0.0318342174	-0.0849468928	-0.0239091865	-0.0918484899	0.0260698905	0.0322145816	0.0240868734	0.0447264533	-0.0740354723	0.0985295495	0.029204689	-0.0730351288	-0.0419389517	0.0415672409	0.052488033	-0.0912692694	-0.0500047986	0.0180076235	0.1006454223	0.0059613483	-0.0258217452	0.0198945345	0.049393256	0.1164552495	-0.0023415425	-0.1868319734	-0.0625544129	-0.0699986316	0.1089015772	0.0407163717	0.0507885029	0.1261300989	0.0639237778	0.0001284277	0.1742725152	-0.0129907594	0.0302938449	0.0779936354	0.096154328	-0.0429272897	-0.1037401272	0.0100249982	-0.0596939088	0.042833497	-0.1014145278	0.0497791889	-0.0139053681	0.0225915528	-0.028789428	-0.0104450888	0.1205488304	-0.0230333861	0.0391414458	0.048079223	-0.0594816229	-0.0566756084	0.1472057954	0.0123377137	-0.0529234706	0.0036774806	0.0436160057	-0.0446203647	0.082486041	0.0706951368	-0.2183435994	0.0472297427	-0.0886137099	0.0094345313	-0.0188027973	-0.0556480045	0.0105519632	0.0307759238	-0.0826032061	0.0443312676	-0.1029751482	-0.1428980143	0.1318499205	-0.0028196885	-0.0975679384	-0.0953966343	0.0038698174	0.0785234644	0.0221675429	0.0489636477	0.1186137044	0.1159000657	0.1114232278	0.00407218	0.0040853701	1.65826499524e-05	1.6690248853974012e-05	0.0444889	0.0224577999999999	0.00197926222321	0.0005043527808399	-0.116891	0.001832	3.356224000000001e-06	0.0136635058809999	-0.000686728	0.000226275	5.1200375625000034e-08	4.7159534598400004e-07	8.06988e-06	4.961308e-05	6.512296321440001e-11	2.4614577070864e-09	-0.000374752	0.000109823	1.2061091328999998e-08	1.40439061504e-07	0.0
268.81450740145004	-0.6880082402508947	0.4733553386531328	72261.23938948424	294.4187762044572	-0.6491850099048406	0.421441177085148	86682.41578173023	198.34308585943725	-0.2877644043125826	39339.9797082441	0.0828083523893755	197.3983513492234	296.7068109487537	1.051293	19.244337	0.0598284888699999	0.0315334	-0.0257761862	0.1268049738	-0.0722495789	-0.0303260426	0.0361669437	-0.0543492694	0.1245059045	0.0374156247	-0.1208256372	-0.0429607549	0.0377952379	-0.1278661681	-0.0949619832	-0.0631068364	-0.0210080299	0.0186681785	-0.137947618	-0.0535335661	-0.0031718876	-0.0425905869	-0.134843199	0.0298944737	-0.135635306	-0.0713988244	-0.0078415725	0.144424774	-0.0608048092	-0.0820915122	-0.091126056	-0.0400756223	0.0983568604	0.0474221443	0.0231297501	-0.0498964855	0.0527039034	-0.0996365362	0.1472202024	-0.0015508945	0.1045490546	-0.0402577657	-0.0908997697	0.0100033084	-0.0601219088	0.0359377379	0.0266830139	0.0936712071	-0.0324757733	-0.082270376	-0.0661422134	0.0543388313	-0.0192428221	-0.07825116	0.0457967205	0.0366029068	4.12165e-05	0.1215085477	-0.0439800986	-0.0332383666	-0.0969823542	-0.0323389277	-0.1130557594	0.0272234373	-0.1374580709	-0.0580333897	-0.0093160275	-0.0451897503	-0.1266419077	0.073762929	0.1425829648	-0.018805175	0.1282482868	-0.018804618	-0.0961196639	-0.1086870967	-0.0779964179	0.0500722768	0.0624428375	-0.0614315959	0.0710471032	-0.0434987349	0.046577857	-0.025809207	0.1255792264	0.0591366335	0.04147978	0.0959884136	-0.0923409434	-0.0888715058	-0.0381043562	-0.1033515426	-0.0446884123	-0.0286271669	0.1006788721	-0.0589697645	-0.0208956056	0.0653628463	-0.0198454666	0.0374358059	0.008345289	0.0975462423	-0.0153438407	0.0942579729	-0.0263615147	-0.07387258	0.0932561565	0.0195145545	0.1557410289	0.0538099496	-0.0293229873	-0.0487946559	-0.0563200413	-0.2297356642	0.0366502857	-0.0997482072	0.0775144091	-0.0302232224	0.0066639615	0.0601148821	-0.0150783168	-0.0603605456	0.0081869701	-0.1251099217	-0.0386102211	0.0879272364	0.1096842729	0.0077295135	-0.0392680509	0.1395409215	0.1128371948	-0.0722309213	0.0837917003	0.1182536866	0.1144731177	0.1082614433	-8.214869999999998e-06	-0.00408039487	6.748408911689997e-11	1.664962229512232e-05	0.0197574	-0.0247314999999999	0.00039035485476	0.0006116470922499	-0.114064	0.0028269999999999	7.991928999999978e-06	0.0130105960959999	-0.000418547	0.0002681809999999	7.192104876099997e-08	1.7518159120900004e-07	-0.000132637	-0.00014070688	1.7592573769000004e-08	1.97984260793344e-08	-0.000529656	-0.0001549039999999	2.3995249215999997e-08	2.80535478336e-07	0.0
268.0576985347151	-0.7568088667349571	0.57275966076865	71854.9297437282	292.5447770985397	-1.8739991059174488	3.5118726489793968	85582.4466076343	198.13865176676967	-0.2044340926675829	39258.92532395322	0.0417932982448178	197.17034375302765	288.2197985156019	1.088052	19.917215	0.0840095843299999	0.044739	0.1008552132	0.1203803249	-0.0740691518	-0.0532275029	-0.0058966443	-0.155443791	0.0338907852	0.0635426865	-0.0309066875	-0.0786341827	-0.0010190654	-0.0485443954	0.0535657519	-0.1060594174	0.0481805335	-0.0379661381	-0.0929730457	0.065412609	-0.0995063691	-0.107950954	-0.0220958486	-0.1278273712	-0.0534592349	0.0257818634	-0.0275843797	-0.0601073925	-0.0893416579	0.1420060477	-0.0607154992	0.0328086527	0.1347251152	0.0043628497	0.0209167801	-0.0308309201	-0.0331080802	-0.0119709606	-0.0075585857	0.1006798719	-0.050720953	0.091747134	0.1127192748	0.1464097896	0.0122343797	0.0018195614	0.1054571571	-0.14068594	0.110324624	-0.0857991226	-0.0358278514	-0.1202795446	-0.0450298508	-0.1097888531	-0.0977867888	0.0803439619	0.0160012516	-0.0115996145	0.0970172048	-0.0151129843	0.0666079992	0.0207482562	0.1251176432	-0.0337836216	-0.1040299635	0.0475221858	-0.1130493195	-0.1147714481	-0.0374477501	-0.1083968987	0.0869433118	0.0409978845	0.0254335064	0.0065946383	-0.0399565097	0.1591754412	0.0238486374	0.1566514801	0.0687781274	-0.0385814763	0.0590010361	-0.0058160302	-0.0023105701	-0.0435789117	-0.0485900503	0.1006034874	-0.0645529854	-0.0869697649	-0.0135628544	0.0075051637	-0.1677127424	0.0746867173	0.0841472815	0.1688408011	-0.0838500804	-0.1265354874	0.0464261242	-0.0583197353	-0.0110401884	-0.1163401254	0.0114816878	0.0825099247	-0.0082288594	0.000261371	-0.0966924083	0.0632125924	-0.0944760001	0.1009450521	-0.0978737278	-0.06004218	-0.0801085518	0.0366462075	-0.0834829461	-0.0851409304	-0.0277734818	-0.0147402248	-0.0071267597	0.0302243998	0.0883113283	0.0446185504	-0.0237892797	0.0122831335	-0.0480835648	-0.1265771171	0.0355597531	-0.0184955213	0.0343917826	0.0419065753	0.0371754792	0.0635910493	0.0223190165	0.1628965573	0.0959211894	0.1178341246	0.112815636	0.1046092073	-1.99662e-05	-1.175133e-05	3.9864914243999996e-10	1.380937567689e-10	0.000124517	-0.019632883	1.5504483288999998e-08	0.0003854500948916	-0.0796300999999999	0.0344339000000001	0.00118569346921	0.0063409528260099	-0.000479505	-6.095800000000001e-05	3.715877764000001e-09	2.29925045025e-07	-0.000412411	-0.000279774	1.70082832921e-07	7.8273491076e-08	-0.000271767	0.0002578889999999	6.650673632099998e-08	7.385730228900001e-08	0.0
268.2181268071943	0.1604282724792369	0.0257372306106723	71940.96354796017	291.7295312591501	-0.815245839389604	0.6646257786420601	85106.11940868344	198.07401570433623	-0.0646360624334363	39233.31569724164	0.004177820566899	197.09726955153985	284.971670918214	0.959683	17.567377	0.0693680737	0.0365311	0.1310535322	0.0734718871	-0.0220512197	0.007517706	0.0794460422	-0.1780933551	0.0196467515	0.0029596291	0.061739579	0.0153000627	0.0031928673	-0.0739636256	0.0654708058	-0.152752285	0.0682064719	-0.0980318752	-0.1105129889	-0.01073091	-0.0630689475	0.0825225524	0.0091001585	-0.1607717696	-0.0626462304	0.0215209916	-0.0201784232	-0.0774367355	-0.0435281892	0.1412474002	0.0541701757	-0.0844204952	-0.067033112	0.0316036353	-0.1015326204	-0.0510467154	0.0804982442	0.1007086984	-0.0760973359	0.0232409568	0.0583911687	0.0449485332	0.0450827647	0.0467619229	0.0790844295	-0.2304316551	-0.0190929908	0.1564319879	-0.1025540781	-0.0454773653	-0.0576593992	-0.0584902616	-0.042931465	-0.0069166663	-0.0374860882	-0.0921183321	-0.1408506719	-0.0210201177	0.0797209461	-0.1289949669	-0.0927669553	-0.0249853665	0.0860398825	-0.0917137406	-0.1118795223	-0.0267940157	-0.059090282	0.08767561	-0.0037204493	-0.1370531263	0.0923208947	0.0420800419	-0.0485290352	0.0082432273	0.0535709163	0.1018003008	0.0897714246	-0.0394290195	0.0543574679	-0.0532906425	-0.1143719866	-0.0839438873	0.0103669987	0.1045312111	0.0282190285	0.0045233238	-0.1176862345	0.0200861625	0.1555065557	-0.0980164123	0.1093142704	0.1944583115	-0.0295201817	0.0194673185	0.1222854051	-0.082782035	0.0124053134	-0.01365063	-0.0743115548	0.0294347311	-0.0859109844	-0.029959658	-0.1748246097	-0.0953800532	-0.1431198145	0.0108253841	-0.0274934504	0.0194430892	0.051920625	0.0119513807	-0.0784761136	0.1250472827	-0.0588314071	-0.042918292	-0.0666268745	-0.0261482598	-0.0244666661	0.0165365819	0.1021168064	-0.0104762064	-0.0578451005	0.0841322034	-0.0849418838	-0.0524536963	0.0557065605	-0.0070866933	0.0286186769	-0.0122342858	-0.0876125508	-0.0290537874	-0.0723449239	-0.0032579899	0.0147052269	0.1173552296	0.1109309587	0.1004830656	-1.34255e-05	6.540699999999998e-06	1.8024405025e-10	4.2780756489999975e-11	0.022241	0.022116483	0.000494662081	0.0004891388202892	-0.0727668999999999	0.0068632	4.710351424e-05	0.0052950217356099	-0.0008939179999999	-0.0004144129999998	1.717381345689171e-07	7.990893907238212e-07	-0.000288253	0.000124158	8.3089792009e-08	1.5415208964000008e-08	-0.000540833	-0.000269066	7.239651235599999e-08	2.92500333889e-07	0.0
