global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	c_comp_cor_11	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	w_comp_cor_44	w_comp_cor_45	w_comp_cor_46	w_comp_cor_47	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	a_comp_cor_44	a_comp_cor_45	a_comp_cor_46	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_derivative1_power2	rot_z_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04
317.93024444612394	n/a	101079.64033357213	n/a	270.3734998784863	n/a	n/a	73101.82943654184	201.14494992365724	n/a	40459.29087979058	n/a	200.50049422388568	381.989964224248	n/a	n/a	n/a	n/a	-0.0692364137	0.0433678387	-0.0234869119	0.1632947799	-0.0679268637	0.0910817877	-0.0278794462	0.0007753383	-0.0581918123	0.2841128188	-0.0367282862	0.0526119325	-0.0417545682	0.0314376557	-0.0580014787	0.0599426784	-0.0769666196	0.5348323719	0.1529580495	-0.0001626578	0.0174370139	-0.0179824159	0.0241775436	-0.0888396011	0.1113700901	-0.098918688	0.1080187852	-0.0496593339	0.0735701462	0.0554492223	-0.0458072451	0.0471611709	-0.0475588455	0.07445401	-0.0478463503	0.125426392	-0.021529819	0.0636047946	-0.1076869293	0.08587973	-0.1789302997	0.0374619475	-0.0180309138	-0.0492583464	0.0518644647	-0.2037770844	-0.0554390306	0.2031555642	-0.1140397439	-0.0651916536	0.1095341449	0.0844293198	0.0572757781	-0.0174611269	-0.0947610044	0.0678748536	0.0175805447	0.0610469757	-0.0713148203	-0.0173857214	0.0054969512	0.0175378556	0.0153815122	0.0123203357	0.0212030869	0.0609979684	0.1594650203	-0.0014094009	0.0068735449	-0.0177756814	0.0210563767	-0.0472966015	0.1384941112	-0.0593223327	0.1141274722	-0.0613118696	0.052655039	-0.0360955217	0.0587093194	-0.07540095	0.0212939069	-0.100640641	0.0049179948	-0.0484851478	0.1346944999	-0.0108762489	0.0254431173	-0.0713326114	0.1958856786	-0.0242703821	0.0856982737	-0.0704842426	-0.0051579319	0.198755028	0.0279950312	-0.2329293985	-0.1106860346	0.1355319143	0.0235046801	-0.0940434923	-0.0640279748	0.0166930414	0.0668862967	-0.0841410747	-0.0097089772	-0.0352994005	0.0721985931	0.0258404976	-0.0057320572	-0.0103547617	-0.0221306111	-0.0034535637	0.0528089201	-0.1098041449	-0.0739987819	0.0382014164	-0.1461150059	0.1146506288	-0.0016232951	0.10189083	0.0036816002	-0.0258168972	0.1617393085	-0.005592389	0.0502714542	-0.0120616176	0.0586162737	-0.031454405	0.0734444773	-0.0926736482	0.052717436	-0.0668198799	0.0541952672	-0.0981094076	-0.0070663018	0.0352953284	-0.028979766	0.1195153378	0.1194927693	0.1194551582	-0.0064446	n/a	n/a	4.153286916e-05	0.0141093	n/a	n/a	0.00019907234649	0.0481112	n/a	n/a	0.00231468756544	-0.0007715559999999	n/a	n/a	5.952986611358457e-07	-0.000631732	n/a	3.99085319824e-07	n/a	0.000698735	n/a	n/a	4.88230600225e-07	0.0	0.0	0.0	0.0	0.0
316.89640372362226	-1.0338407225016797	100423.33069296498	1.0688266395027946	265.85086045040083	-4.522639428085483	20.454267396473387	70676.68000221849	201.1233412640452	-0.0216086596120419	40450.59840121358	0.000466934170229	200.46898216410565	374.3266357045664	1.002307	19.955639	0.03846041	0.0256563	-0.1412001084	0.004550225	0.0025669818	0.102532398	-0.0417138147	0.1190637163	-0.089757755	0.0774105508	-0.0588330764	0.0758476404	0.0523324096	0.0025593789	0.1610576222	-0.1275596643	0.0703603208	-0.0603225737	-0.0321276161	0.1843799354	0.1667800374	0.0350475483	-0.0215742455	-0.0433403368	0.0376087961	-0.1263282308	0.0057365654	-0.1432014924	0.0215096425	-0.0839887917	0.1063232044	0.0438246684	-0.1732276358	0.1080478469	-0.0274481617	0.0630171501	-0.0058411276	0.0738898031	0.1944874659	0.096106727	-0.0683595933	0.0532072173	-0.0691465044	-0.07703737	0.0532141368	-0.1442574294	0.0706969652	0.0456623398	-0.0262165414	0.0388101692	0.0842184858	-0.0376278128	0.086093663	0.0572718366	0.14018454	0.0598681365	-0.0122422176	-0.0076789592	0.0333805981	-0.1204466086	-0.0068745663	-0.0828556078	-0.0238188784	0.0258454048	0.0108301763	-0.0711161771	-0.0151626761	-0.071199363	0.1669088434	-0.000556784	-0.043246522	-0.0350535835	0.0290489544	-0.1154253733	0.0365515316	-0.1250524006	0.0209438919	-0.1107585712	0.0805218573	0.0057764196	0.1445690651	-0.1119240104	0.0875665783	-0.0751662539	0.03522002	0.085124232	0.1412524843	-0.1791534554	0.09891102	-0.0171878784	0.0237656452	0.0504855576	0.1244702997	-0.1296260665	0.1103938663	0.0115794248	0.027853327	-0.0670759312	-0.0565743357	-0.0496337753	0.0729296581	0.0289727259	-0.1061284486	-0.1114879039	-0.060933546	0.0556984678	0.0350614781	0.0406285448	-0.0002997971	-0.0039063466	0.0258970638	0.0542891971	0.0262781553	0.048793289	-0.0716209916	-0.1224900033	-0.0621553915	0.0631651088	-0.1558386497	0.1260365913	0.0755250954	0.0186763852	0.0239059957	-0.0361413709	0.1614739187	0.0425517376	-0.0491707649	0.0178134389	0.0321573022	-0.1221035481	0.0875233533	-0.0575209634	0.0508241744	-0.0747786685	0.1402380079	-0.0326469191	0.0373770028	0.0314635159	-0.0398365023	0.1194551582	0.1192521267	0.1189139965	-0.00662571	-0.0001811099999999	3.2800832099999985e-08	4.39000330041e-05	0.0285776	0.0144683	0.00020933170489	0.00081667922176	0.0479951	-0.0001161	1.3479210000000217e-08	0.00230352962401	-0.00115729	-0.0003857340000001	1.487907187560772e-07	1.3393201441e-06	-0.000708944	-7.7212e-05	5.02601595136e-07	5.961692944000001e-09	0.000709687	1.0951999999999944e-05	1.1994630399999878e-10	5.036556379689999e-07	0.0	0.0	0.0	0.0	0.0
316.6237471380319	-0.2726565855903686	100250.59725172837	0.074341613665798	265.18560649192386	-0.665253958476967	0.4425628292692741	70323.40589048949	200.98708889360748	-0.1362523704377167	40395.80990192688	0.0185647084498967	200.34800869400868	372.437289710768	0.910326	18.124317	0.0655634299999999	0.0363549	-0.1712896472	0.0050868508	-0.0190394668	0.1196794502	-0.0412366914	0.1041469778	-0.1050547186	0.059270881	-0.0888232677	0.0989502882	-0.0315706909	-0.096512444	0.001917801	-0.0626319854	0.1261984854	0.0061976629	0.0144254626	0.1657939962	0.1663453719	0.0654638478	0.0364697273	0.0085945137	0.0001523228	-0.1002866902	0.0227112265	-0.1068234848	0.1434097371	-0.0862478026	0.0463974488	0.0310112633	0.0020934135	-0.1289955205	-0.0448833858	-0.0101594723	-0.1086939214	0.1317209253	0.1797781885	0.0348068258	0.0581512419	-0.1888167137	-0.0491433066	-0.01522053	-0.0429265283	-0.0297865716	-0.0818114623	-0.0660107706	0.0345146131	0.0483330382	-0.0130992083	-0.0246235861	-0.1802951138	-0.0792327877	-0.0222789491	-0.1518901008	0.0811608306	-0.0420121639	-0.1731261297	-0.0295648831	0.0680149277	-0.0067630911	-0.0840457196	0.1424483449	0.0223134798	0.0075511927	-0.0808465846	-0.051089563	0.171324858	-0.046441252	-0.0279123491	0.0226863556	0.0020421913	-0.0840825583	0.0649449722	-0.064331839	0.146970868	-0.0830723868	0.0165024716	-0.0041008806	-0.0826902804	-0.0589699005	0.0285531015	-0.0427919537	-0.0984447771	0.0600348664	0.2027191699	-0.074824142	-0.0839491507	0.2156679137	0.0284373937	0.0017097784	0.0369242107	0.0299531125	-0.0884402237	-0.0080783478	0.0292835909	0.0143318112	0.0267474355	0.0681436569	-0.1341186268	0.1046455592	0.1014230829	0.1415321045	-0.0573244364	0.0858179969	0.0933336651	-0.0946251621	-0.1665991155	-0.0540112863	0.1253264582	0.0162076314	-0.0223685957	0.0876314452	-0.0675151242	-0.1426748043	-0.0821820001	0.066124163	-0.1696239679	0.1128260542	-0.0508940637	0.0644696598	0.0478744697	-0.0436268661	0.132986622	0.0341140995	0.0121291437	-0.0154654786	-0.0739517828	-0.0832642299	0.0872924521	-0.1086810801	0.1050418952	-0.0701805553	0.2416799406	-0.0529516863	0.0551432811	0.0939160109	-0.0572131619	0.1193348294	0.1187713263	0.1178341246	-0.00684574	-0.00022003	4.8413200900000176e-08	4.68641561476e-05	0.0348656	0.0062879999999999	3.9538943999999934e-05	0.0012156100633599	0.0776603	0.0296652	0.00088002409104	0.00603112219609	-0.00131794	-0.00016065	2.5808422500000012e-08	1.7369658436000002e-06	-0.000924515	-0.000215571	8.54727985225e-07	4.6470856041000014e-08	0.000498104	-0.000211583	4.4767365889e-08	2.48107594816e-07	0.0	0.0	0.0	0.0	0.0
316.446967141422	-0.1767799966098664	100138.68301300422	0.0312511672013843	263.68725423444494	-1.4983522574789276	2.2450594874921985	69530.96804570079	201.08109232227145	0.0940034286639672	40433.605689517855	0.0088366446005815	200.405063322628	370.9136501971636	0.886548	17.650908	0.0351034699999999	0.0167571	-0.1944682377	-0.00671546	-0.016115228	0.0993360778	0.0108755754	0.0815780817	-0.1328436333	0.0664237755	-0.0711457775	0.0298999857	0.0242711519	0.0115351095	0.0937210261	-0.1837880465	0.1057858645	-0.0656426666	0.0323468777	0.0358976307	0.1728656653	0.0853129901	0.0327947204	-0.0141738998	0.015587125	-0.1155479046	-0.0269263506	-0.0848786894	0.1207077253	-0.1124058889	0.0643927342	-0.0456157994	0.2069415713	0.0517991614	0.1339348696	0.0022679816	-0.0970951475	0.0491162352	-0.0448255052	-0.0562341494	-0.1150281913	0.020697218	-0.165161039	0.1000969091	0.1039633545	0.1164328308	-0.0031408522	-0.0990152636	0.0478566597	-0.0773229874	0.1511748204	0.0994587842	-0.0797649019	-0.0416536625	-0.1323218378	-0.0398696504	-0.03582755	-0.030738089	-0.0029569299	0.0714260842	0.0164166527	-0.0848476465	0.0559121594	-0.0181369633	-0.1158532834	0.2177946278	-0.0042683021	0.1449912402	0.1847679335	-0.0754002125	-0.0311510365	-0.0064704369	0.0080635129	-0.1086003423	0.0285592439	-0.0839866999	0.13205514	-0.1197933851	0.0276417983	0.0210373549	0.005844431	0.1706438709	-0.1351400759	-0.10547763	-0.0310312159	-0.0181601827	0.0030233332	0.0350966631	-0.0025127612	-0.0242725618	0.2313572369	0.0690364018	-0.1472786457	0.0210197207	-0.0363164976	0.0903528883	0.0821567503	0.1016532055	0.0716005019	-0.0960882626	-0.0337771354	-0.0217842585	0.033250738	0.0580109946	0.0940906738	0.1087575991	0.0722729992	1.0573e-06	0.1168230499	-0.0799077453	0.0379118739	-0.0527106868	0.0584512813	0.0540744192	0.2112519706	-0.1497513952	-0.0784267601	0.0648569831	-0.1873477708	0.1203645238	0.0574092901	-0.0005677996	0.0420333565	0.0252910445	0.1055172246	0.0600021994	0.0099221328	-0.0382300243	-0.0912613912	-0.0480249061	0.0310433576	-0.1183122031	0.0740488675	-0.0798821495	0.1953205652	-0.0707818301	-0.0641527662	0.0685534927	0.0315158059	0.1191544118	0.1180513362	0.1162204348	0.00142973	0.00827547	6.84834037209e-05	2.0441278729e-06	0.0241685	-0.0106970999999999	0.0001144279484099	0.0005841163922499	0.080165	0.0025046999999999	6.273522089999993e-06	0.006426427225	-0.00139506	-7.711999999999997e-05	5.947494399999995e-09	1.9461924036e-06	-0.000833417	9.109799999999996e-05	6.94583895889e-07	8.298845603999993e-09	0.00060241	0.0001043059999999	1.0879741635999996e-08	3.628978081e-07	0.0	0.0	0.0	0.0	0.0
316.5092255983061	0.0622584568840807	100178.08988883944	0.0038761154535869	264.1232389257701	0.4359846913251886	0.1900826510699199	69761.08534063945	201.04056885238995	-0.0405234698814922	40417.310324492544	0.0016421516112362	200.3786757079823	370.907982896014	1.018521	20.278461	0.05561976	0.0280662	-0.1930465656	-0.0162842294	-0.0690609589	0.0629764277	-0.0168177905	0.0647166718	-0.1520681964	0.0262999122	-0.0682533688	0.0555226579	-0.0352464815	-0.1442558642	0.0065191939	-0.055910997	-0.0210668388	0.1644187308	0.0418082265	-0.0213432947	0.1091653139	0.0990931365	0.0778916505	8.45882e-05	0.0370694591	-0.1168275085	-0.0296046221	0.0256613887	-0.0630471559	0.054887977	-0.1142641578	-0.1290108846	-0.0615021076	-0.1672847771	0.0961909677	-0.0550716136	0.1512620854	-0.0929034456	0.0603088704	-0.1164943629	0.0466982525	0.0590245129	-0.0981889732	-0.0161213227	-0.0837226608	-0.0432386467	-0.1086815544	0.0458251946	-0.0341849728	-0.0252019117	0.0837656231	0.090630852	-0.0210439201	0.1000514551	0.004872941	-0.0589017106	-0.066920167	0.0325222636	0.1677357295	-0.1586807628	0.0382003771	0.0365684673	0.0672152182	-0.0867392584	0.00656501	0.0209134659	0.0459720368	0.0303788965	0.1227923706	-0.1089022141	-0.0112403572	0.0234575383	0.0423924658	-0.1102025328	-0.016072134	0.0279753971	-0.0724943055	0.0612321295	-0.0889458012	0.1259798133	-0.0779946303	-0.0870148305	-0.0996816874	0.1897693514	0.0744459265	0.136696069	-0.0948838895	0.0273105927	-0.0983343457	0.0117032578	0.1150639153	0.0194524987	0.1237641186	-0.0019738392	-0.0437106517	-0.0830508083	0.0051880958	0.038388794	-0.0081012072	-0.1113591445	0.0283111646	0.0067475213	-0.1386477772	0.0200535435	0.0822685108	0.024008222	0.0867433997	0.2113059777	-0.0461251625	0.0405496035	-0.098258832	0.001874171	0.0244316127	0.0046569623	0.0576088544	-0.1287790362	-0.0876695375	0.0900156392	-0.1506944624	0.0993463095	-0.0050941185	-0.0095998434	0.0556928944	-0.0957687863	-0.0296561657	0.0418706	0.0050380017	0.0155049923	-0.0692560228	-0.004047691	-0.0867335127	0.0038091495	-0.0481430985	0.0830751978	-0.0464052434	-0.0367384321	-0.088171098	0.0015178953	0.0122534053	0.1189139965	0.1170936064	0.1140802373	0.00747234	0.00604261	3.65131356121e-05	5.58358650756e-05	0.0410085	0.01684	0.0002835856	0.00168169707225	0.0610565	-0.0191085	0.00036513477225	0.00372789619225	-0.00143195	-3.6889999999999926e-05	1.3608720999999943e-09	2.0504808025e-06	-0.000631732	0.000201685	3.99085319824e-07	4.067683922500002e-08	0.000636408	3.399800000000004e-05	1.1558640040000023e-09	4.0501514246400006e-07	0.0	0.0	0.0	0.0	0.0
316.90001317311254	0.3907875748064384	100425.6183491189	0.1527149286230977	263.6116794700786	-0.5115594556914971	0.2616930767073808	69491.11755303547	201.1272678735819	0.0866990211919471	40452.17788229157	0.0075167202756417	200.45655866163145	374.76412013024566	0.988151	19.673807	0.08723927	0.0411899	-0.1292344906	-0.0021623741	-0.0225962911	0.0319297735	-0.0537740514	0.0431731727	-0.1582202861	0.008079181	-0.0415895023	-0.0694012508	0.0060152654	-0.0268306863	-0.1104366856	-0.0237734419	0.0032607728	-0.0405999258	-0.115863154	-0.0012784193	0.1154357354	0.1068099122	0.0568825647	0.0391677513	0.019017271	-0.0776792186	0.0467111983	-0.0049921122	0.0202614088	0.0650122101	-0.0814097946	0.0260476764	0.0220026616	-0.0659166572	0.212096256	-0.0786948654	0.096190201	0.038052254	0.0217316221	0.0024617687	0.0992771558	-0.0093447152	-0.0314355946	0.0478125323	-0.0082469	-0.0786856703	-0.1012210878	0.1176171982	0.0113767661	0.1460285072	-0.1315524709	-0.0280521569	-0.0302054559	-0.0545445429	-0.0305297921	0.0942878775	-0.0658510386	-0.0673449469	0.0581436445	0.0565282689	-0.0837933226	-0.01555388	-0.0638013829	-0.1597090734	0.0172453583	-0.0012273057	-0.0241332933	-0.0914898009	0.1286276388	-0.1000557153	-0.0296739335	0.0501048533	0.0067954346	-0.0544917403	0.0769935942	0.0035043477	0.024442882	0.0946066189	-0.0666647078	-0.0230121561	-0.0225599905	-0.0005044359	-0.2022251479	0.0870083881	0.0970096871	0.0558331692	-0.0135979965	-0.0460740983	-0.1384222219	0.0094028445	0.0203232756	-0.0692483841	0.036700464	-0.0397328262	-0.0092408225	-0.1714194218	-0.0006076507	-0.0552233489	0.0647016285	0.1536382932	-0.0497327438	-0.0162908927	0.0677595667	-0.0745304331	-0.0087865301	0.0139469427	-0.0967651088	0.0207700559	0.0589040489	0.0511193542	-0.1468416147	0.1013043474	0.0633407745	-0.0693049961	-0.1012082279	-0.096318418	-0.069835888	0.0369741594	-0.0802712495	0.0778892226	-0.078149688	0.0275306476	0.0002051703	0.0562131809	-0.0734637715	0.0171256409	0.0834805736	-0.0931376142	-0.0686195134	0.0285022017	-0.0604499048	0.0045316336	-0.0134207116	0.0656386543	-0.0908627012	0.0097456098	-0.0123664597	0.0439068407	0.0714795613	0.1186137044	0.1159000657	0.1114232278	0.00234292	-0.00512942	2.63109495364e-05	5.4892741264e-06	0.0127975	-0.028211	0.000795860521	0.00016377600625	0.0516853	-0.0093711999999999	8.781938943999992e-05	0.00267137023609	-0.00116489	0.0002670599999999	7.132104359999997e-08	1.3569687121e-06	-0.000338862	0.00029287	1.14827455044e-07	8.577283689999999e-08	0.000305785	-0.000330623	1.09311568129e-07	9.3504466225e-08	0.0	0.0	0.0	0.0	0.0
318.1380596110381	1.2380464379255611	101211.82497307644	1.5327589824601708	265.3963755046861	1.7846960346074638	3.1851399359436057	70435.23613102434	201.4784977303161	0.3512298567341929	40593.58504766499	0.1233624122615217	200.80526360699147	383.11829382592015	1.077508	21.452875	0.0859951899999999	0.0445451	-0.0287999659	0.0381848264	0.0518036759	0.0185683206	-0.0274987521	0.0407592553	-0.1283928343	0.0445076419	-0.024681509	-0.1351677153	-0.12222271	0.0538113086	-0.0105112653	-0.0886997376	0.038047277	0.0230418895	0.027375883	-0.127941593	0.0646950014	-0.0032210639	0.0567213524	-0.0088577372	0.1081206763	-0.0657244233	0.0363695023	-0.0254698402	0.0302039121	-0.1211693724	-0.0038613565	-0.0741830273	0.0607880061	0.0262160205	-0.1263577921	0.0636672024	-0.1566569789	-0.0620604517	0.011738869	-0.1006508002	0.009941455	0.0282954259	-0.0921885503	-0.0579997891	-0.0541668307	-0.0436369102	0.0518219006	0.2539585613	0.1318424565	-0.0578856274	0.0131323121	0.0305813072	0.0304473595	0.0280105139	0.0706033164	0.1919147399	0.1644547552	-0.0540005343	0.0556369246	-0.0505998546	-0.1130816748	0.0120010611	-0.0176414085	0.0337351074	0.0020567171	0.0795203829	0.0687560972	-0.1949803202	0.0744275787	-0.0192361095	0.0405618643	0.0074514312	0.1149795492	-0.0509083667	0.051258196	-0.0080852637	0.0213383122	-0.1011910582	-0.0050911438	0.0707645492	-0.0618282797	0.0748854954	0.1121988913	-0.097124151	-0.1218675353	-0.0034662485	-0.0345387081	0.0726423822	-0.0013106653	-0.0133405903	0.0220672309	0.0782134087	0.105069631	-0.0214487125	0.2071852743	-0.138922533	0.0602656264	0.1603652475	0.0506402606	0.0220652515	0.0320209161	0.0540282033	-0.0429155654	-0.1030552365	-0.1977674635	-0.0104066718	-0.106804376	0.0477821859	0.0405731549	0.0707054691	-0.0832185848	0.1172637762	-0.0021315914	0.121739133	-0.0540453064	-0.0639968217	-0.0262295563	0.0075268587	0.0217994733	0.0622316994	0.0197744447	-0.1049127254	-0.0431689836	0.0339047441	-0.0014830971	-0.025694321	-0.0246487548	-0.133698808	-0.0150977036	0.0209623969	0.114358069	0.0677950719	0.0239311544	-0.1539856965	-0.0433032927	0.0725821677	-0.0610867871	-0.0211281335	0.0653590616	0.1182536866	0.1144731177	0.1082614433	-0.00851169	-0.01085461	0.0001178225582521	7.244886665610002e-05	-0.0016953	-0.0144928	0.00021004125184	2.8740420900000004e-06	0.0151184	-0.0365669	0.00133713817561	0.00022856601856	-0.00121212	-4.7229999999999885e-05	2.230672899999989e-09	1.4692348944e-06	-0.000231052	0.0001078099999999	5.338502670400001e-08	1.1622996099999996e-08	-2.07926e-05	-0.0003265776	1.0665292882175998e-07	4.3233221476000005e-10	0.0	0.0	0.0	0.0	0.0
318.4391907428065	0.3011311317683862	101403.5182009335	0.0906799585201092	265.92595659305096	0.5295810883648642	0.2804561291537141	70716.61438992922	201.57615040137927	0.0976526710632299	40632.944410639495	0.0095360441657833	200.8898245283908	390.7767961472747	0.988505	19.68084	0.05347639	0.0267313	0.0448418634	0.0918422541	0.0207869935	0.0975846661	-0.0288811906	0.0515386938	-0.0387596797	0.0398417978	0.0222944568	0.0170678248	-0.2109309759	-0.059920582	0.0580455402	0.0021102764	0.0580081347	-0.0367157826	0.0820788951	-0.1947379584	0.0459366592	-0.0652786016	0.0248162092	-0.0695199866	0.1345547027	-0.1415287437	-0.0949799649	0.0526099105	-0.0028351068	0.0283482541	-0.0084944442	0.0456552712	0.0260996658	-0.0436613402	-0.205589779	-0.1820464338	0.1028041549	0.1288973899	-0.0555010201	0.1039699865	-0.052229987	0.0463485019	0.0500404672	-0.0056589143	-0.0189752321	0.1873191316	0.0844863078	-0.0066232534	0.0328965535	0.0344209673	-0.0755769077	0.1158999755	-0.0454738336	0.1009207104	-0.011767035	-0.0504766931	0.1336597757	0.0891579635	-0.0587684598	0.1011511679	0.0598833273	0.1231967404	0.0372077414	-0.0508271955	0.1022913547	0.0686951105	0.0922721275	-0.0515804569	0.0468943011	0.0295543523	0.057263404	-0.0488444763	0.1501004786	-0.1551583341	-0.0608357813	0.0318590521	0.0136151879	0.0407242075	-0.0008133674	-0.0579749185	-0.0221774949	0.0025482137	0.1220318932	0.199870437	-0.0055520687	-0.1612856007	0.1571639725	-0.0020084982	0.0520716851	-0.0776494456	-0.0083865354	0.0060492647	-0.1358686745	0.1374815288	0.0020652086	0.0505337407	0.030310849	0.0192888565	0.142551512	0.0185550908	-0.0102382786	0.0129581155	-0.0436292623	0.179211242	-0.0367572923	-0.1925858273	-0.111354503	-0.0430645242	-0.1034947587	-0.0324893765	-0.0593018493	0.0583958757	-0.0176517825	0.0006439828	0.002187845	-0.053407147	-0.0217168184	0.0123575762	0.060545311	0.0424396912	-0.0615364184	-0.0821219501	-0.0505885691	-0.0919355296	0.0093542434	-0.0290231782	-0.0632106098	0.0023721445	0.0534501536	0.048411917	0.0423450184	0.0740806955	-0.0167361059	-0.1562902052	-0.0243099218	0.0527216012	0.097040725	0.0703327314	0.0720306599	0.1178341246	0.112815636	0.1046092073	-0.0161454	-0.00763371	5.82735283641e-05	0.00026067394116	0.0192796	0.0209749	0.00043994643001	0.00037170297616	0.0120224	-0.003096	9.585215999999998e-06	0.00014453810176	-0.00144286	-0.00023074	5.3240947600000056e-08	2.0818449796e-06	-0.000262174	-3.112199999999999e-05	6.8735206276e-08	9.685788839999995e-10	0.000152781	0.0001735736	3.012779461696e-08	2.3342033961e-08	0.0	0.0	0.0	0.0	0.0
