onset	duration	trial_type	trial_code	valence	arousal
6.2675	15	CON	NEU17	7	3
23.2925	11	Q	Q_NEU17	7	3
40.1009	15	HOP	HOP17	7	6
57.1259	11	Q	Q_HOP17	7	6
75.451	15	CON	NEU27	6	2
92.4843	11	Q	Q_NEU27	6	2
109.5427	15	CON	NEU10	none	3
126.5672	11	Q	Q_NEU10	none	3
143.6261	15	HOP	HOP16	7	6
160.6511	11	Q	Q_HOP16	7	6
178.7095	15	CON	NEU18	7	6
195.7345	11	Q	Q_NEU18	7	6
213.8012	15	HOP	HOP11	7	6
230.8262	11	Q	Q_HOP11	7	6
248.6346	15	HOP	HOP27	8	6
265.6596	11	Q	Q_HOP27	8	6
