global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_power2	csf_derivative1_power2	white_matter	white_matter_derivative1	white_matter_derivative1_power2	white_matter_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_derivative1_power2	rot_y_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12
296.5999377058806	n/a	n/a	87971.52304713226	326.70259906364373	n/a	106734.58823493996	n/a	215.4670521210288	n/a	n/a	46426.05054972613	215.27337878495783	387.3180664672181	n/a	n/a	n/a	n/a	-0.0919647716	-0.0199444513	-0.0945676866	0.0004824951	-0.1361760376	0.1821926002	-0.0623872661	0.053329312	-0.0729959898	0.0100008524	-0.0379017052	0.0810606173	-0.1280249224	0.1185434062	0.0559760394	-0.0545571139	0.1483901455	-0.0073449935	0.0944646167	-0.0701977211	0.0107194149	-0.0974275712	0.0578758347	-0.0025469516	0.0314995684	-0.216768544	0.0475094276	-0.0402251061	0.2227838012	-0.0993139434	0.0102134399	-0.1103448691	0.074924716	-0.1127837712	0.1981281238	-0.0241758132	-0.1341127238	0.037048387	0.0842544979	-0.0291782507	0.0895924247	0.0325788388	-0.0729489225	0.0126661847	-0.0370692249	0.0813128699	-0.1272842997	0.1199223846	-0.0510001997	0.0573994363	-0.1442720493	0.033293318	-0.0956872661	0.0683586193	-0.0099718025	0.0903340756	0.0451639592	-0.0022059337	0.0507317528	-0.194936472	0.1070358318	-0.0304492492	0.2309470781	-0.080740269	0.017960581	-0.1191157757	0.0611817127	-0.109211281	0.2133707646	-0.0293816487	-0.115904519	0.0415241619	0.0467187657	-0.0416503198	0.0975710731	0.0287108087	-0.1016367445	0.015726189	-0.0803634305	0.0175161197	-0.0664010911	0.0145532896	-0.0701998289	0.0402689438	-0.0539291794	0.058039859	-0.0097202242	0.0058921406	-0.0759180098	0.0424234887	-0.1209856812	0.1248070238	-0.0037430436	0.027822017	0.0658973872	-0.1363242386	0.137848403	0.1002998083	-0.1334932625	0.0041451106	0.1195153378	0.1194927693	0.1194551582	0.0155666	n/a	0.00024231903556	n/a	-0.0472207	n/a	0.00222979450849	n/a	-0.150649	n/a	0.022695121201	n/a	-0.00121725	n/a	n/a	1.4816975625e-06	-0.00113794	n/a	n/a	1.2949074436e-06	-0.00162304	n/a	2.6342588416e-06	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
297.405169940128	0.8052322342473985	0.6483989510710573	88449.83510711642	327.0306758689334	0.3280768052896405	106949.06295929136	0.1076343901690567	216.250423132604	0.7833710115752126	0.6136701417763719	46764.24550503027	216.0786572120142	403.2673776978971	1.278735	32.773594	0.078004	0.0456216	-0.1055824438	-0.0861375131	-0.1011950747	0.0673671596	-0.0986613062	0.1068969394	0.1747564015	0.058061374	-0.0215244703	-0.0844699401	-0.2143709826	0.0283506169	-0.0054959023	0.1491830126	0.1286537738	-0.0505435657	0.1495877194	-0.0259766566	0.0660055769	-0.0878877989	-0.0510777433	-0.1307736867	-0.0321834036	-0.0827752836	0.2152643878	0.1516287116	0.1863885902	0.0064424695	0.0794250166	0.0088582421	-0.0719940077	-0.0179151221	0.0583169219	0.1541515204	-0.0827496692	0.0035625178	-0.0653057792	0.2366599256	-0.0673297234	-0.0283764277	0.0014987795	-0.1282023934	-0.0221323555	-0.077999573	-0.2163128756	0.0292402735	-0.006959895	0.1527602109	-0.1198178106	0.0528746905	-0.1464599065	0.0517930833	-0.0736134001	0.0892294282	0.0505694044	0.1279872242	-0.0350459002	-0.0865374621	0.1844215087	0.2203997594	0.1136643522	0.0062231372	0.0992045002	0.0057102315	-0.0590895827	-0.0195763528	0.0722914942	0.1526738211	-0.0739442496	-0.001585606	-0.0525259801	0.2145130635	-0.1556719806	-0.0315301124	-0.0065018508	-0.1373090737	-0.1131989805	0.0272079629	-0.0799119381	0.0428330355	-0.027486898	0.0254955063	-0.0609159954	0.0704662829	-0.1582080287	0.0969694739	0.0252051815	-0.0588865507	0.0542905212	-0.0031694028	-0.1029063209	-0.0119665768	-0.1488246726	-0.0699977289	0.0213421418	-0.0043228601	0.0949196859	-0.0739843238	0.0328377004	-0.0873224434	0.1194551582	0.1192521267	0.1189139965	-0.0144314	-0.029998	0.00020826530596	0.000899880004	-0.0138827	0.033338	0.0001927293592899	0.001111422244	-0.154006	-0.0033569999999999	0.023717848036	1.1269448999999991e-05	-0.00117495	4.230000000000011e-05	1.789290000000009e-09	1.3805075024999998e-06	-0.00129182	-0.0001538799999999	2.367905439999997e-08	1.6687989124e-06	-0.001593	3.0040000000000055e-05	2.537649e-06	9.024016000000035e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
295.80791523334625	-1.5972547067817686	2.5512225983365138	87502.32271469856	325.220930509376	-1.8097453595573825	105768.65364138436	3.27517826643948	216.45023267004933	0.1998095374453328	0.0399238512541178	46850.70322291849	216.27093422798785	397.2728992685894	1.232645	31.592316	0.0885042	0.0495897	-0.1129566395	-0.0525675639	-0.1011912768	0.0636955809	-0.038953372	0.0620258774	0.1125063688	-0.0940395355	0.0124003853	-0.1665295799	-0.2696358301	-0.0759459578	0.171790113	0.0979166102	0.0675696285	0.051068277	0.0276438646	-0.0594685314	-0.1127222728	0.1245945858	-0.0879392877	0.0176265202	-0.0339595737	0.0282764219	-0.1568473552	0.020431839	-0.0080243484	0.0726349453	-0.1339058653	-0.080530537	-0.0395792157	-0.0809922691	0.0887682012	-0.0877997804	-0.0003460302	-0.0656922157	-0.0126390304	-0.0052749429	-0.0609123798	-0.0136390327	-0.0064831485	-0.0806337394	0.0115021074	-0.1554893287	-0.2760378293	-0.075242841	0.1728609777	0.1018058398	-0.0654084396	-0.0495200116	-0.0296563611	0.0321533633	0.1259267732	-0.1156103727	0.0905820295	-0.0127692151	-0.0285182038	0.0260314959	-0.1566364007	0.0068322784	-0.0124250049	0.0633673517	-0.1358343695	-0.0855885984	-0.0332243439	-0.0928595545	0.0882853079	-0.0823854276	0.0040713179	-0.0664946488	-0.0058812491	-0.0366684449	-0.0549593299	-0.012897142	-0.0109465952	-0.0731001386	-0.1099172363	0.0152896484	-0.0776327628	0.0441404364	-0.0276148945	-0.0712048317	-0.0864988144	0.086939826	-0.0039344927	0.0063922065	-0.043836243	-0.0811459474	0.0566318004	0.142288202	-0.1224992901	-0.0087062147	0.1393327162	-0.0277969292	-0.0152010148	0.1179469107	-0.198549324	0.0720338546	-0.0187476563	-0.1695627063	0.1193348294	0.1187713263	0.1178341246	-0.0106042	0.0038272	0.0001124490576399	1.4647459840000008e-05	-0.046963	-0.0330803	0.002205523369	0.00109430624809	-0.185151	-0.031145	0.034280892801	0.000970011025	-0.000945586	0.0002293639999999	5.260784449599996e-08	8.94132883396e-07	-0.00143066	-0.00013884	1.9276545600000032e-08	2.0467880356e-06	-0.00163383	-4.0829999999999946e-05	2.6694004689e-06	1.6670888999999954e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
293.9867680695116	-1.8211471638346663	3.31657699234305	86428.2197999568	320.7584603208525	-4.4624701885234686	102885.98986740391	19.91364018346068	215.49471229312152	-0.955520376927808	0.9130191907242604	46437.97102629522	215.3170955074336	386.6144174690471	1.154184	29.581396	0.12087917	0.067397	-0.1140552295	-0.0391209605	-0.0945443594	0.0829732802	0.0510903122	-0.021452078	-0.0395970818	-0.0391907707	-0.0495912895	-0.0919711161	-0.1476816677	-0.0661496123	0.2287595761	0.0306937427	-0.0802373306	-0.0765291169	0.0053515208	-0.0646625536	0.0237918181	-0.0359647229	-0.1386276931	1.77359e-05	0.120566772	-0.0857648059	0.0528249724	-0.1236635227	0.0392312135	-0.0174412255	-0.1672744448	-0.1650164437	0.0933432787	0.0023866058	0.0836639622	-0.006830401	-0.0041981697	-0.0393440639	-0.1635363329	-0.2484076593	-0.0648834826	0.0676716315	-0.1466645735	-0.1054087164	-0.0503262314	-0.0864792821	-0.1513987945	-0.0663251261	0.229400404	0.0274387461	0.0828418096	0.0753785529	-0.0015459192	0.0701792586	-0.0125733149	0.0330481414	0.1391730141	0.0003746157	0.1192716717	-0.083585414	0.0675326436	-0.1026332241	0.0788116224	-0.0182034417	-0.1509129799	-0.1703997812	0.0948149947	0.0031889423	0.0722308137	-0.0099284164	0.0169516707	-0.0646368757	-0.1649410122	-0.2459435986	0.0167859348	0.0883893625	-0.1549384152	-0.1053884519	-0.1067507841	0.0189666646	-0.0649516109	0.0470196969	-0.0262604777	-0.0406684781	-0.0954861719	0.068052647	-0.1146618921	-0.0215689113	-0.0234397345	-0.030412639	0.0011756334	0.0448689342	-0.109824833	-0.0486863882	0.0453334093	-0.0338984566	0.1627956583	-0.0273707765	0.0240772626	0.0047673845	0.094871438	0.0236499183	0.1191544118	0.1180513362	0.1162204348	-0.013689	-0.0030848	0.000187388721	9.515991040000005e-06	0.00640207	0.05336507	4.09865002849e-05	0.0028478306961049	-0.147615	0.037536	0.021790188225	0.001408951296	-0.00091287	3.271600000000002e-05	1.0703366560000011e-09	8.333316368999999e-07	-0.00117547	0.00025519	6.512193609999998e-08	1.3817297209e-06	-0.00138387	0.00024996	1.9150961769e-06	6.248000160000001e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
294.0424376228318	0.0556695533202287	0.0030990991668737	86460.95512317694	320.3585905495892	-0.3998697712632975	102629.62653891936	0.1598958339701618	214.8358139263878	-0.6588983667337232	0.4341470576843679	46154.42694541352	214.66909211236992	382.3473058325804	1.023433	26.230272	0.09583312	0.0478278	-0.1152886305	-0.0510557527	-0.1004172309	0.0751699767	0.0422767299	-0.0338453318	-0.1023586437	0.0945857365	-0.1063407702	0.0201530205	-0.031561069	-0.0677851249	0.0529879092	-0.0061404699	-0.1214923468	-0.1036026071	-0.0197319847	-0.04342145	0.0737342719	-0.0946891895	0.0343997545	-0.0091864504	0.0552011369	-0.0134553516	0.0521820543	0.0758601096	0.1522904899	-0.0698125071	-0.0558046586	0.2425467064	0.1109147406	0.1315469762	0.0621613706	0.1803485361	-0.0335582841	0.0407228113	0.0539281915	0.012799031	-0.0013527897	-0.0384651811	0.040766912	0.1801908257	-0.1065697759	0.0197604742	-0.0297815566	-0.0674600634	0.0511887504	-0.0107193147	0.1240314568	0.0976449159	0.0267454449	0.0704804708	-0.0724427449	0.0928063352	-0.0370607815	0.0140038035	0.0634312172	-0.0162463026	0.0388674341	0.1280635956	0.1218289537	-0.07222907	-0.062663364	0.2324449869	0.086236504	0.1674576755	0.0653656144	0.1782602083	-0.0323517341	0.0403627434	0.037371433	0.014692953	0.005376755	-0.0401428672	0.0374010247	0.1739601308	-0.1059606045	0.0249557061	-0.0630456738	0.0433278803	-0.0379847193	0.0178868529	-0.0333369354	0.0556823542	-0.1609968139	0.0493288554	-0.0067337184	-0.0622644636	0.0863773997	-0.1067379025	-0.0372258528	0.0057257151	-0.0922791837	0.1094294417	-0.0261544592	-0.0584123514	0.0572205862	0.0342352068	0.0303164817	0.0561810186	0.1189139965	0.1170936064	0.1140802373	-0.0283237	-0.0146347	0.00080223198169	0.00021417444409	-0.0273953	-0.03379737	0.00075050246209	0.0011422622189169	-0.130771	0.0168439999999999	0.0171010544409999	0.0002837203359999	-0.00130571	-0.00039284	1.5432326560000008e-07	1.7048786041e-06	-0.000961169	0.000214301	4.592491860100004e-08	9.23845846561e-07	-0.00138787	-4.000000000000097e-06	1.9261831369e-06	1.600000000000078e-11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
295.37473070513823	1.3322930823064212	1.7750048571615444	87246.23153913293	320.99580286840313	0.6372123188139085	103038.30545913072	0.4060395392481982	214.85404375090724	0.0182298245194374	0.0003323265020094	46162.26011611676	214.67279157955736	388.1662446679258	1.002949	25.705275	0.0724918499999999	0.0378738	-0.1030314361	-0.0485717531	-0.0911113428	0.0432597504	-0.000421901	-0.0460371547	0.0002601949	-0.0042574344	-0.1215423676	0.0499882774	-0.0258116401	0.0053506709	-0.1002340227	0.0573597373	-0.0904804521	0.0821827205	0.1400047611	-0.1122392358	0.0973451558	0.1446595761	-0.0103795703	-0.0746410989	-0.0088516151	0.0989509175	-0.0555405264	0.0571082243	0.0868909004	0.111059597	0.038214938	0.0951889437	-0.1444291198	-0.005591692	-0.0900237564	0.0472455917	0.0481414103	-0.0139288827	0.1448892403	0.1174176615	-0.0308712612	-0.0850402793	0.0866327283	-0.0497470728	-0.1215003136	0.0514512431	-0.0243416832	0.0056096057	-0.1009847595	0.0564571752	0.0900232579	-0.085189863	-0.1404152614	0.1264896813	-0.0680814217	-0.1488340334	0.0114408677	0.0642943373	-0.0111933176	0.0973285591	-0.0688818167	0.0754144931	0.0567350358	0.1019077735	0.0315633219	0.0899298427	-0.1478014745	-0.0192543534	-0.0792875175	0.0401569725	0.0358481761	0.0106956314	0.1585710197	0.112268856	-0.0585492605	-0.0837688651	0.0710148235	-0.0598097938	-0.0989683279	0.0233505248	-0.0554626802	0.0611068291	-0.0204399423	-0.0611146946	-0.067873493	0.0631081669	-0.0429006474	0.0139977499	-0.0635275072	0.0073712135	-0.0107019083	0.0268787277	-0.0375866433	0.0386867275	0.0144314749	0.0586672877	-0.0927592382	-0.0165553437	-0.0192029138	0.0784310085	-0.1295153536	-0.1229627345	0.1186137044	0.1159000657	0.1114232278	-0.0253817	0.002942	0.00064423069489	8.655364000000002e-06	-0.0201605	0.0072347999999999	0.00040644576025	5.234233103999999e-05	-0.159348	-0.0285769999999999	0.0253917851039999	0.0008166449289999	-0.00109608	0.00020963	4.3944736900000064e-08	1.2013913664e-06	-0.00123952	-0.000278351	7.747927920100001e-08	1.5364098304e-06	-0.00157465	-0.0001867799999999	2.4795226225e-06	3.4886768399999966e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
295.475929107108	0.101198401969782	0.0102411165612375	87306.02468170872	321.8293298923525	0.8335270239493866	103574.11757896066	0.6947672996539213	215.14211769256795	0.2880739416607127	0.0829865958639397	46286.13080524276	214.9626024301195	391.05008509236	0.8513469999999999	21.819771	0.05426441	0.0268967	-0.0976087365	-0.0440153707	-0.1104309108	0.0511674119	0.013833011	-0.0117035624	0.0622610899	-0.1093519382	-0.0826529779	0.0023547128	-0.0629943423	-0.0083607361	0.0165938378	0.0808663347	-0.039407383	0.0316109211	0.1241635947	-0.0640261332	0.0737703199	0.1710995892	0.1172508332	-0.0935946082	-0.0965661764	-0.1026813379	-0.0758510412	0.1390529332	-0.0448022494	0.0844921222	-0.0021106829	-0.1194245709	-0.0306634764	0.0162397531	0.0010542347	-0.0738227464	0.0049197182	0.0925138456	0.1727632596	-0.0172307877	0.3075869512	0.1158214227	0.0961998254	-0.0139793338	-0.082950433	0.0044976666	-0.0635706924	-0.0086500117	0.0158113332	0.0804766031	0.0419514354	-0.0315121824	-0.1273918219	0.0733413781	-0.0541338486	-0.1759606101	-0.1149238483	0.0800305779	-0.0996714635	-0.1049786791	-0.0912287519	0.1027788496	-0.0971717289	0.0808629666	0.0061143151	-0.1210998279	-0.0199277328	-0.0027817193	0.0154578636	-0.0789946953	-0.0172062869	0.1106435423	0.1406664454	0.1074344043	0.3029717594	0.1068499986	0.0950878889	-0.0187787384	-0.0953334158	0.0216207542	-0.0630828634	0.0583788661	-0.0054260733	-0.0543499892	-0.0804393161	0.0799996354	-0.0570524049	0.0177423469	-0.0792121457	0.0091359627	-0.0436023959	0.0852646855	-0.0153122946	-0.0122210832	0.0187761441	-0.1076974345	0.0745439941	0.0477371387	-0.114883584	-0.0469989083	-0.0244558635	-0.1238694858	0.1182536866	0.1144731177	0.1082614433	-0.0191659	0.0062158	0.00036733172281	3.8636169640000005e-05	-0.00270239	0.01745811	7.302911712099999e-06	0.0003047856047721	-0.176053	-0.0167049999999999	0.0309946588089999	0.0002790570249999	-0.00101341	8.266999999999997e-05	6.834328899999994e-09	1.0269998281e-06	-0.00114857	9.095000000000002e-05	8.271902500000003e-09	1.3192130449e-06	-0.00147056	0.0001040899999999	2.1625467136000004e-06	1.0834728099999964e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
294.6470498158986	-0.8288792912094323	0.6870408793958508	86816.88396521262	321.9605160032781	0.1311861109255687	103658.57386509707	0.0172097956997756	215.21455793461377	0.0724402420458147	0.0052475886676562	46317.305946991226	215.03405411206435	389.5072447835525	0.8321199999999999	21.326992	0.09421129	0.0585298	-0.0896075617	-0.0377360323	-0.0911529127	0.0678620815	0.0363868527	0.0322334771	-0.0262794734	-0.063706869	-0.0733996219	0.0115344129	-0.1306550978	-0.0520067081	0.0521282885	0.0069233228	-0.0880539239	-0.0466612861	0.1420470126	-0.0743390337	0.0481416923	0.0769324739	0.0167605117	0.0986086724	0.0646530706	0.0229045523	-0.1327955487	0.0496468859	-0.0729312613	-0.1053725429	0.1341793801	-0.0776342666	0.1801073204	0.0070220665	-0.1176488118	-0.0034883878	0.0594271088	0.1070412103	0.0401710457	-0.0924147017	0.1089993888	0.0411166502	0.1096398585	-0.0428000792	-0.0737029002	0.01461773	-0.1291578659	-0.0520771409	0.0508840498	0.0033252056	0.0896610349	0.0469938979	-0.1412320613	0.0764402305	-0.0300427882	-0.0784800929	-0.0150450852	-0.1026911373	0.0694059899	0.0222775148	-0.133530072	0.0054784263	-0.085623628	-0.100315018	0.1291365873	-0.0586216277	0.181059839	0.0208774356	-0.1271204263	-0.0055100626	0.0501314653	0.1090682158	0.0204814751	-0.0500546016	0.1405566517	0.0409520846	0.1075647295	-0.0428234642	-0.086879587	0.0209333304	-0.0353269859	0.057001846	-0.0088561474	-0.0298865925	-0.0727568251	0.0767217437	-0.1695060066	0.0170387254	-0.0199088233	-0.0101516024	0.0121195578	0.0105288969	-0.0267390259	-0.0934428711	-0.0674124107	-0.0702802477	0.1472869267	0.0700190317	-0.0762505484	-0.1175193847	0.0684835626	-0.0114816259	0.1178341246	0.112815636	0.1046092073	-0.0200632	-0.0008973	0.00040253199424	8.051472900000004e-07	0.0102094	0.01291179	0.00010423184836	0.000166714321004	-0.11913	0.0569229999999999	0.0141919569	0.0032402279289999	-0.000854797	0.0001586129999999	2.5158083768999983e-08	7.306779112090001e-07	-0.000961169	0.000187401	3.5119134801000003e-08	9.23845846561e-07	-0.00134699	0.00012357	1.8143820601e-06	1.5269544900000036e-08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
294.36756095212814	-0.2794888637704389	0.0781140249716909	86652.26094090487	320.3382815522246	-1.6222344510534867	102616.61462783231	2.631644614184808	215.2414959481837	0.0269380135699464	0.0007256565750946	46328.90157801199	215.05742854353065	384.223870152672	1.003441	25.717888	0.0600985	0.0328987	-0.0812004304	-0.0367990604	-0.0700903977	0.0417753552	0.040044559	-0.0060181028	-0.0996464084	-0.0599947426	-0.0470385098	-0.0249346556	-0.0883547102	-0.0485050781	0.0755599961	0.0001427143	-0.1328438108	-0.017187134	-0.0250278501	-0.040203722	0.0265216055	0.0674154081	0.135644391	0.0765550486	-0.0886693359	0.0142350369	-0.1256949479	-0.0679752513	-0.1492793984	-0.1452321142	-0.0879011514	0.1172440282	-0.0372010037	0.1206641992	0.1754054322	0.1581439959	0.0109969752	0.1189066748	-0.0758158981	-0.0215911229	-0.1726257516	-0.0146458135	-0.1487767636	0.1280670438	-0.0474231552	-0.0226548798	-0.0892654894	-0.0487653369	0.075242614	-0.0042524056	0.1318864761	0.0161698679	0.0216231363	0.0325467039	-0.0092087649	-0.0761080135	-0.1346021598	-0.0903652278	-0.0908321574	0.0159780096	-0.1082693015	-0.1277584636	-0.1122519364	-0.1392533531	-0.088205842	0.0997462309	-0.0503731445	0.1376263461	0.1671860979	0.1639961082	0.0154437467	0.1074211033	-0.080787154	-0.0944722245	-0.1513451863	-0.0100319433	-0.1472026394	0.1312109389	-0.079919416	0.0215582949	-0.0352955526	0.0502803723	-0.0278916321	-0.033514862	-0.0371932894	0.0544710611	-0.0970382822	0.0150401237	-0.0014432232	-0.0163107692	0.1179594473	-0.0039781314	-0.0201742419	0.0044127258	0.0492334002	0.166102085	-0.0333873733	0.0854988828	-0.1445982769	-0.0054040679	-0.0010972053	0.0518755244	0.1173552296	0.1109309587	0.1004830656	-0.0293491	-0.0092859	0.00086136967081	8.622793881e-05	-0.0176475	-0.0278569	0.00031143425625	0.00077600687761	-0.110588	0.0085419999999999	0.012229705744	7.296576399999989e-05	-0.00106489	-0.0002100929999999	4.4139068648999984e-08	1.1339907121e-06	-0.00101526	-5.409100000000004e-05	2.9258362810000037e-09	1.0307528676e-06	-0.0013229	2.409000000000005e-05	1.7500644099999998e-06	5.803281000000024e-10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
294.7958427591069	0.4282818069787595	0.1834253061889914	86904.58890805209	321.15006960019	0.8117880479654218	103137.3672042069	0.65899983481951	215.12018942652568	-0.1213065216580275	0.0147152721967695	46276.69589890429	214.9414117639715	385.6287156974815	0.8992369999999998	23.047167	0.0991138799999999	0.0455555	-0.0726565322	-0.0164478143	-0.0680519637	0.0538683833	0.0678776678	-0.0032514191	-0.0493148817	-0.0536512283	-0.0637334687	-0.0017277889	-0.0850227299	0.002463392	0.0054400774	0.0037232746	-0.1464850931	-0.0627400729	0.1434570176	-0.0531278736	0.087301028	0.027161668	0.0145823851	0.1103548887	0.0588765003	0.1914507449	-0.1695528397	-0.0222903997	-0.0896058012	-0.0049796377	0.0934432507	0.2814608097	-0.0591968061	-0.1612709989	0.0396534998	-0.0846150982	0.0599008161	-0.0727438589	0.0755606037	-0.0699268475	-0.0655181156	0.1579223485	0.137339467	-0.0232925208	-0.0641081352	0.0016578399	-0.0860621527	0.0023296618	0.0050577843	-0.0014809618	0.1467998827	0.0609375801	-0.1438595156	0.0639492833	-0.0706166236	-0.0364233203	-0.0149657309	-0.1114155736	0.0578398699	0.1958522676	-0.1602945712	-0.0713615231	-0.0758513804	-0.0088353369	0.0646766656	0.2953185468	-0.055840317	-0.1603403642	0.0411981445	-0.0705293633	0.0491162049	-0.0567123537	0.0939314613	-0.0805295355	-0.0314644872	0.1672545426	0.1400919021	-0.0210158578	-0.0736285854	0.0155691657	-0.0170771855	0.0677486842	-0.0217298138	-0.0659984457	-0.1099341583	0.0766865288	-0.1125534413	-0.0327634383	-0.0440250178	0.044172535	-0.0217291125	0.0095997895	-0.0794133604	0.0499953702	0.0539706913	0.1110890497	-0.0220713696	-0.0392892231	-0.0171058058	0.049094436	-0.0547387347	0.0209438408	0.1168172427	0.1088228812	0.0959017104	-0.0214717	0.0078774	0.00046103390089	6.205343076e-05	0.00139208	0.01903958	1.9378867264e-06	0.0003625056065764	-0.119055	-0.0084669999999999	0.0141740930249999	7.16900889999998e-05	-0.000499122	0.000565768	3.20093429824e-07	2.49122770884e-07	-0.0013087	-0.00029344	8.610703360000004e-08	1.7126956900000002e-06	-0.00173829	-0.00041539	3.0216521241e-06	1.7254885210000009e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
