global_signal	global_signal_derivative1	global_signal_derivative1_power2	global_signal_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	t_comp_cor_05	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	c_comp_cor_08	c_comp_cor_09	c_comp_cor_10	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	w_comp_cor_41	w_comp_cor_42	w_comp_cor_43	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	a_comp_cor_41	a_comp_cor_42	a_comp_cor_43	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_derivative1_power2	trans_x_power2	trans_y	trans_y_derivative1	trans_y_derivative1_power2	trans_y_power2	trans_z	trans_z_derivative1	trans_z_derivative1_power2	trans_z_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00
296.9017975690944	n/a	n/a	88150.67739975952	298.747706116411	n/a	n/a	89250.19190981747	194.0347674652304	n/a	37649.49098528604	n/a	193.7348928784215	351.8540169828194	n/a	n/a	n/a	n/a	-0.1012689235	0.027538745	-0.1255285298	0.0110293779	-0.0910511485	0.0938682002	-0.0037209944	-0.1976196562	0.3637467315	-0.0552050966	0.3081389382	-0.163577896	-0.6197888873	0.0027786729	-0.0139707284	0.0730128951	-0.2002307743	-0.0634959393	-0.0976615605	0.0896781716	0.0189807102	-0.1952445602	0.1372556356	-0.1642462105	0.0093694193	-0.0205926467	0.097263884	-0.1962114094	0.0029775794	-0.0126416027	0.0479164139	-0.1130605681	0.1015374279	-0.0276269771	0.0453724315	-0.0510773186	0.0040719488	-0.0860231649	0.0470785986	-0.0212086158	-0.0092229666	0.1050922706	-0.0268231269	-0.074484192	0.0197663118	-0.0529782312	0.0280166418	0.1460775039	-0.0205222354	-0.0252862988	-0.0002576943	0.1085599568	-0.0813420673	-0.0194501614	0.0957205814	0.0281693089	0.0488293027	-0.1577011287	-0.0256678886	-0.0929374842	0.0452008724	-0.0636637729	-0.1062386255	0.0892463533	-0.0322730501	0.1296354814	-0.2228877492	0.151531348	-0.0175188951	0.0317853479	-0.0676738552	0.1802962738	-0.0759553608	0.0234848102	-0.0564192193	0.1636447906	-0.0064023008	0.0558175604	-0.0344547443	0.0665951698	-0.0190370885	0.0018667813	-0.0756564374	0.1376752727	0.0200120664	-0.1044766341	0.105098505	-0.001697618	-0.050697417	0.0237350512	-0.0459228407	-0.1002474743	0.0357686019	0.0046100135	-0.0363983442	-0.0480489468	-0.0496915846	0.0943706383	-0.0298501682	-0.0177974168	-0.1006631922	0.1239458782	0.0292506449	-0.0607667252	-0.0476926665	-0.0097549853	0.0374801957	-0.2243760054	0.0925142507	-0.0906990171	0.0165873455	-0.0217582576	0.0661248918	0.1158921033	-0.1531861578	0.0027750058	-0.0347844552	0.0115371706	-0.0410240093	0.0952386851	-0.1299059996	0.0452271937	-0.0452507061	0.0149506484	-0.1839464296	-0.0655464228	0.0637050511	-0.1818144189	0.0303224808	0.1195153378	0.1194927693	0.1194551582	0.00760022	n/a	n/a	5.776334404840001e-05	0.0414889	n/a	n/a	0.00172132882321	0.0265422	n/a	n/a	0.0007044883808399	-0.0019439	n/a	n/a	3.77874721e-06	0.000313096	n/a	9.802910521600001e-08	n/a	0.000236412	n/a	5.5890633744e-08	n/a	0.0
296.00475509712186	-0.8970424719725543	0.8046851965226308	87618.81504010709	293.0441792753406	-5.703526841070413	32.53021842681065	85874.89100715794	193.8016658721363	-0.2331015930940907	37559.08569481516	0.054336352703003	193.4720544885632	345.349046538684	1.330333	25.706551	0.09688463	0.0506087	-0.0229448539	-0.0111349208	0.0750184439	-0.0607045356	-0.0591156195	-0.0792255801	-0.1009556604	-0.0443308569	0.1104650976	-0.0223732321	0.0211649844	0.1610199292	-0.2690883876	0.0762698967	0.0704186655	-0.0478170817	-0.1213033124	-0.0702834668	0.0896700165	0.0222189949	0.026427562	-0.220945263	0.0243361814	0.0022991016	-0.0074578124	-0.1391247506	-0.0767311712	-0.1194658423	-0.018973009	-0.108898568	0.1136821579	-0.003638219	0.0359379075	-0.0175728974	0.1346305743	0.037182205	0.1547645825	0.0198629746	0.0483022151	-0.1460501638	0.1061817198	0.0708770439	0.0673301223	0.1336516567	-0.1155119127	-0.1789292336	-0.084545711	0.0796523443	-0.0258516375	0.127302715	-0.0352445124	0.0669198411	-0.0855074651	-0.0214707188	0.016392561	0.1303584088	0.02377475	0.0090928353	-0.0057434215	0.0447246089	-0.0601376727	-0.076822079	0.0803487835	0.0240099263	-0.0431946051	0.1652176427	-0.1211170797	-0.0140804117	-0.0219547105	0.0915166653	0.0921714007	0.0915565229	0.1288487338	0.1162143132	-0.0062496615	0.115263579	-0.0596397406	0.0840436204	-0.0512737822	0.0482538914	0.1970027946	-0.0808719186	0.0628635382	0.1661155367	-0.0611912968	0.0025025436	-0.0539415404	-0.0053123269	0.1931501663	-0.066867617	-0.2018430384	-0.0340850871	0.0949417921	-0.0212178803	-0.1182346536	0.033198136	-0.0277054379	0.0693693881	0.0984361102	-0.0937093307	-0.0297152009	0.0640294455	-0.0658190597	0.0289950387	0.0388237875	-0.064385667	-0.1284663552	-0.0635661783	0.1218059468	-0.0981819464	0.0542365791	-0.0154869551	0.1855285732	0.0944087903	-0.1946261234	-0.00583315	-0.1379615829	0.0382309927	0.1586058874	-0.016694388	0.037794568	0.1026259711	0.0127254818	0.1330024706	-0.0901633979	0.029823008	0.0386991822	-0.3029380629	0.0073020296	0.1194551582	0.1192521267	0.1189139965	0.0330384	0.02543818	0.0006471010017124	0.00109153587456	0.0414819	-7.000000000000062e-06	4.900000000000087e-11	0.00172074802761	0.047746	0.0212038	0.0004496011344399	0.0022796805159999	-0.00218962	-0.00024572	6.037831840000014e-08	4.7944357444000006e-06	-0.000381269	-0.000694365	1.45366050361e-07	4.82142753225e-07	0.000171784	-6.4628e-05	2.9509742656e-08	4.1767783840000005e-09	0.0
296.1919194860617	0.1871643889398342	0.0350305084872215	87729.65316883766	291.5691813110409	-1.474997964299689	2.175618994688227	85012.58749039064	194.1416062066178	0.3399403344814971	37690.96326048546	0.1155594310073921	193.76418714241044	347.71712494438344	1.206959	23.32255	0.06676905	0.0388007	-0.035166382	-0.0993318885	0.0251321021	0.0542767084	0.1104773726	-0.0850460301	0.0268714521	0.134120369	0.0695572951	-0.0091878263	0.0701414338	-0.0121311403	-0.0536687049	-0.013486471	0.0063304278	0.0680016253	-0.0586592712	0.0907886771	0.1058506422	0.0631173038	0.0374186507	-0.1182085831	0.0116709542	-0.1284152041	-0.0325867629	-0.2085568481	0.0781099136	-9.89879e-05	0.0993629561	-0.0228513726	0.00180141	-0.0198408825	0.0547203265	0.0525005118	-0.0118780525	-0.0492813437	0.0592613152	0.027884929	-0.0398026318	0.0064998691	0.0697310559	0.0250373537	-0.1260916202	0.0075455902	-0.0815121055	0.0848628423	-0.104300753	-0.1742514332	-0.0653828205	0.0377303657	-0.0342833936	0.0269151184	0.0230864712	0.0208929222	0.0147787339	-0.0109620193	0.0017390238	0.1347862599	0.020608395	0.0821885184	0.0714009851	0.0894110095	0.1044010009	0.0600439714	-0.0440400291	0.1220866547	-0.0721465354	0.1103330944	-0.0668763617	0.1899332894	-0.047162738	-0.0250922389	-0.0592114054	0.11265405	-0.015108403	0.0458063823	0.0173627776	0.0788016264	0.0158980809	0.0266816505	0.0104883164	-0.017692342	0.0325927093	0.0202670173	-0.0263076073	0.1122716754	0.0561362271	-0.0023243354	0.0817631368	-0.0504328203	0.1667865666	0.1457629329	0.0702711386	0.0353316785	0.025777135	-0.0047323345	-0.0253720106	0.0104881851	-0.0621846057	-0.0533522743	0.0223888429	-0.0766070492	-0.015272562	0.1602879065	0.004943856	-0.0653289947	-0.1241003714	-0.0929719999	-0.0731491688	0.0052863817	0.0907857994	-0.0533845544	0.2270333801	0.1402442392	-0.2057384631	0.0294604373	-0.0956121935	-0.0456125774	-0.0597183501	0.013743802	-0.0358616061	0.0306114703	-0.0617117074	0.0691004086	-0.0566242412	-0.0568618949	0.0077976324	-0.0293856897	0.0906323	0.1193348294	0.1187713263	0.1178341246	0.0237318	-0.0093066	8.661280356000004e-05	0.00056319833124	0.0146754	-0.0268065	0.00071858844225	0.00021536736516	0.0445199	-0.0032260999999999	1.0407721209999972e-05	0.00198202149601	-0.00173289	0.00045673	2.0860229290000025e-07	3.0029077521e-06	-0.000462453	-8.118399999999999e-05	2.13862777209e-07	6.590841855999998e-09	0.000182467	1.068300000000002e-05	3.3294206089000015e-08	1.1412648900000042e-10	0.0
295.87552335148985	-0.3163961345718462	0.1001065139720058	87542.32531851801	291.9544239395543	0.3852426285134243	0.1484118828239322	85237.385657877	194.2027378337155	0.0611316270976942	37714.703382110834	0.0037370758316115	193.84163486428287	346.9972571866079	1.230389	23.775305	0.05097677	0.0258345	-0.0634762915	0.0503396504	-0.0623813873	0.1145692194	0.0196392824	0.0384914887	0.1039817337	-0.0434317607	0.0650606392	-0.0401279465	0.0119055345	0.1200891112	0.020844741	0.044147963	-0.0094072563	0.1719209413	0.0048390504	0.0140259948	-0.0901545197	0.0947188759	-0.009913829	-0.1073240493	0.0286837768	-0.0281123916	-0.0681901989	-0.1059220488	0.0066451592	-0.072098324	0.0151829664	0.155906433	0.0878217592	-0.0105822722	0.0894093601	-0.0741780996	-0.1219261625	-0.056370847	0.0739387484	0.1166535379	-0.1060640518	0.0905120958	-0.0676202722	-0.0399081772	0.0673980689	0.0837080231	-0.0376518609	0.008649098	0.0356041523	-0.0192778783	0.0565697574	0.0867170162	-0.0215973531	0.0878050399	0.0185381956	0.0225934816	-0.0683059593	-0.0986982242	-0.0394508547	0.0746809425	-0.0017025775	-0.0037293099	0.1570605037	0.0229423144	-0.0893484424	0.0857788705	0.0256398468	0.0621088802	-0.0855704486	0.013566769	-0.0766134207	0.1147715473	0.0390878354	0.0756202589	-0.105313743	-0.0521553561	0.0970530263	0.0353177608	0.1152334964	0.044802837	0.1177928248	0.1196021553	-0.0119722719	-0.0782309737	0.1167963953	-0.1036031825	0.0257398338	0.0285003918	-0.030175467	0.0495872712	-0.0038665216	-0.0136287687	-0.0185201913	-0.0247367288	-0.0177566055	-0.0322898749	-0.1269620833	0.0037805723	-0.051174332	0.0243681016	-0.0606925593	0.0608724391	0.1006835366	-0.1125645806	0.0522228935	0.1411112067	-0.1290276004	-0.0345089387	0.0570052518	-0.1970834317	0.0253212467	0.0028914433	0.0080579425	0.026722679	0.1161684158	0.1515365868	-0.1096042642	-0.0373669113	-0.0253990296	0.1201652128	0.0906873243	0.0186724664	-0.0288929189	0.0769187736	-0.1279074286	0.0117996141	-0.045519235	-0.0393180524	-0.0405358581	0.0940906438	0.0135142751	0.1191544118	0.1180513362	0.1162204348	0.0186782	-0.0050536	2.5538872960000018e-05	0.0003488751552399	0.0260367	0.0113613	0.00012907913769	0.00067790974689	0.032186	-0.0123339	0.00015212508921	0.001035938596	-0.00181314	-8.025000000000003e-05	6.440062500000004e-09	3.2874766596e-06	-9.83286e-05	0.0003641244	9.66851357796e-09	1.3258657867536e-07	0.000182652	1.8499999999998552e-07	3.3361753104e-08	3.422499999999464e-14	0.0
295.9014677753572	0.0259444238673722	0.0006731131298098	87557.67863161076	291.7852882994745	-0.169135640079844	0.0286068647452185	85138.65446800743	194.0116222207424	-0.1911156129731068	37640.509556724064	0.0365251775220863	193.6919693745216	347.5155400224954	1.220959	23.593084	0.0714413236	0.0330529	-0.0603966463	0.0577531626	0.0354555837	0.0312732819	-0.0899646187	0.0600941209	-0.060369889	-0.1105165824	0.0265245232	-0.0879905388	0.0252629934	-0.0189181284	0.1368109651	0.1043449275	0.1074423054	0.0147410508	0.0204196898	-0.1206804082	-0.0125588985	0.0086507597	0.0043205212	0.0140576715	0.069076705	-0.0106182187	-0.0773344769	0.0709506248	-0.0811620399	0.0666457612	-0.0285244314	-0.1082980283	0.0343570956	-0.0905208577	-0.0010987842	0.1637954435	-0.0786132274	0.1149128551	-0.0207262783	0.0295364595	0.0521436233	0.1437230295	-0.0955873169	0.0083061755	-0.0798962956	0.0839638728	-0.1311092878	-0.1019439994	0.0052573585	-0.0337409217	-0.0794284348	0.1629159525	-0.0447545184	0.0070533996	-0.0281901719	0.0365117026	-0.1172579089	0.1122220484	-0.1396359414	0.1285932136	-0.1819127014	-0.0336443653	-0.0355795031	-0.1213157241	-0.0217160188	0.0082174915	-0.0185367913	-0.0628906434	-0.0619484955	0.01049284	-0.0683456053	-0.067747825	0.0570597767	-0.0454056306	0.1248218955	0.063437718	-0.0078528327	0.0642818526	-0.0245787314	0.0361309293	0.1577554559	-0.1648480887	0.0068119419	0.0029631706	-0.0093941708	-0.1504253076	0.1499517219	-0.0629027913	0.0625296749	0.0644127549	0.1424204901	-0.0118876435	-0.0580144714	0.0788425335	0.1174335081	0.049016594	-0.0653815357	0.063731545	-0.0568994182	-0.0228663711	0.0994988883	-0.1730245828	0.063927183	-0.1624451168	0.1260667909	0.0965477824	-0.034319545	-0.0012358201	-0.0728272791	-0.0311502184	0.1421483457	0.0084968408	-0.0651710719	0.0365175228	-0.0039219642	0.1810888315	0.1470512233	0.0019378237	0.0001182236	-0.0018828063	0.0373923811	0.0058633913	0.1258842382	-0.045152962	-0.0445976658	0.1199394864	-0.0874742575	0.1458142563	-0.0361818405	0.0476115638	0.1709639005	0.1189139965	0.1170936064	0.1140802373	-1.34181e-05	-0.0186916180999999	0.0003493765871962	1.8004540760999998e-10	0.045196	0.0191593	0.00036707877649	0.002042678416	0.0221045	-0.0100815	0.00010163664225	0.00048860892025	-0.00155752	0.00025562	6.534158440000001e-08	2.4258685504e-06	-6.39979e-06	9.192881e-05	4.09573120441e-11	8.450906108016099e-09	6.00227e-05	-0.0001226293	3.6027245152899997e-09	1.5037945218490002e-08	0.0
295.96172665140693	0.0602588760497155	0.0036311321427749	87593.34364248211	292.512411478229	0.7271231787545389	0.5287081170821052	85563.51086880876	193.93773143487945	-0.0738907858629431	37611.84367410743	0.0054598482354433	193.6520080647055	352.40564531580475	1.228804	23.744665	0.0590616215	0.0409885	-0.0467308262	-0.1183861481	0.0909041629	-0.0216659634	-0.0164445455	0.1161975859	-0.0786591868	0.097791048	0.0501191664	0.0231472583	-0.0585232724	-0.0446225673	0.0587522085	-0.0958605639	0.1253086054	0.202753122	0.071612825	-0.0302656774	0.1186954317	0.0101393623	-0.1243176697	0.033646429	0.036729336	0.0392054447	-0.1624222152	-0.1897749139	0.1252129665	-0.0397980141	0.0549142606	-0.0377332315	0.0628266106	-0.1351741574	-0.1104794268	0.0772458434	-0.0738301723	0.120963662	-0.0988565841	-0.0749863913	-0.1290601681	0.0368856647	0.0933451036	-0.0048812434	0.0130067204	-0.0047781465	0.0407991877	0.0943871068	-0.0039839471	0.0161639679	-0.036490258	-0.1750329328	-0.007325447	-0.0134427828	0.1204468537	0.0066225875	-0.0476551429	-0.0211647602	-0.0756344147	-0.0531483604	-0.0344678082	0.0696842788	-0.1037168246	-0.0326294795	0.1115330012	-0.0003914348	0.1146268942	-0.037229407	-0.0146189137	-0.0325357306	-0.1546984736	0.2002068672	-0.1063158041	0.0095695828	-0.0235280542	-0.0043967414	0.0266732557	0.1610259251	-0.0828153201	-0.0409602855	0.0824721676	-0.1646400531	-0.0075099303	0.0026734319	-0.0993703459	-0.0984112361	-0.1567336603	0.0558340444	-0.0116727287	-0.0200184059	-0.06521639	0.0139409798	0.0792309288	-0.0184790413	-0.0525984536	0.1018100537	0.0410362598	-0.1177395134	0.1067155372	-0.1005119368	0.0214012808	0.060898192	0.006109897	-0.0181795436	0.0366857672	-0.0353132785	0.0934318576	-0.0195254786	-0.1169357171	-0.053487501	-0.0994922619	-0.0417693964	-0.0104293533	0.0750851314	0.0009868967	0.2081995423	0.1648236234	-0.0098917266	0.0711005406	0.1246065834	0.0364692585	0.0021115764	0.0102269737	0.0310255706	0.0411652867	0.0693136646	-0.1600032726	-0.0714993558	0.0119037918	0.1198424462	-0.0255383943	0.1186137044	0.1159000657	0.1114232278	-1.94891e-05	-6.071e-06	3.6857041e-11	3.7982501881e-10	0.0062254	-0.0389706	0.00151870766436	3.875560516e-05	0.0219597	-0.0001448	2.096704000000014e-08	0.0004822284240899	-0.00148961	6.791000000000002e-05	4.611768100000002e-09	2.2189379521e-06	-7.36185e-05	-6.721871e-05	5.419683542250001e-09	4.5183549740641e-09	0.000323697	0.0002636743	1.0477974780900001e-07	6.952413648049001e-08	0.0
295.5334519698057	-0.4282746816012377	0.1834192029006415	87340.02123318944	291.5925533230144	-0.9198581552146264	0.846139025714856	85026.21715343499	194.297438622583	0.3597071877035489	37751.49465529641	0.1293892608855961	193.94927382822016	349.10767072094376	1.160586	22.426462	0.044183821	0.0278874	0.0405936757	-0.0972756902	-0.0018059674	0.0748245015	0.0478446738	0.1029598327	0.0450209214	0.0745062703	-0.0171759172	-0.0741668616	0.013015295	-0.0089770659	0.0505448723	0.0752444204	0.0187167428	0.15188656	0.0428870765	0.1097223141	0.0548328754	-0.0164262966	0.1107316512	0.1009121514	-0.0167106205	0.0609323807	-0.0405448791	-0.0376601416	-0.1654866414	0.035459288	-0.007818214	-0.1449305182	-0.014862025	-0.2348862153	0.0965738738	-0.189759509	-0.029736894	0.0182623448	0.1213200046	0.0405180756	-0.0968123338	-0.0741491934	-0.0012643348	0.0355741464	0.1385971951	0.0251221016	0.1023901174	0.0301060914	0.0293151437	-0.1313548411	0.0272569901	0.0764400448	0.0746916404	0.0021864347	0.1686075421	-0.0328518931	-0.0210410666	-0.0005584894	0.0369223287	-0.0931608112	-0.1182887566	-0.0033722202	-0.0694367609	0.1030841942	0.0571761355	-0.0131523052	-0.1103742341	-0.088838881	0.0718051484	-0.0508745613	-0.0441881244	-0.0141794829	0.1450411241	-0.0567197811	0.0537325169	0.0365804621	-0.1995138679	0.2268389886	0.0762224147	-0.0794843485	-0.004911644	0.0685748384	0.0342301127	-0.1561917521	0.0728022586	0.0045156905	-0.0620030282	0.0449958584	-0.1180614416	0.0882044466	-0.1454654856	0.0668543395	-0.0093061765	0.0774467158	-0.0723008	0.0031277883	-0.1159904783	0.1152273769	0.0579925166	-0.0496768066	-0.0761191451	0.0131220079	0.0231659572	0.0183430562	0.0464210288	-0.002172844	0.0492604781	-0.0271395149	-0.0526349411	-0.0836302752	-0.0664518011	0.0315411321	-0.2061927481	-0.041523157	0.096178914	0.1811941924	0.1465466039	-0.0139826449	0.0459226662	-0.0164170548	0.0600377982	0.0214002147	-0.1113671977	0.030797561	-0.0720835061	0.0997148159	0.0468865446	0.0466832329	-0.0799864448	0.138638598	-0.0273540812	0.1182536866	0.1144731177	0.1082614433	-3.61201e-05	-1.6631e-05	2.76590161e-10	1.30466162401e-09	0.0324441	0.0262186999999999	0.0006874202296899	0.0010526196248099	0.028321	0.0063613	4.046613769e-05	0.000802079041	-0.00154583	-5.6220000000000055e-05	3.1606884000000063e-09	2.3895903889e-06	-1.96847e-05	5.39338e-05	3.8748741409e-10	2.90885478244e-09	0.000202107	-0.00012159	4.0847239449e-08	1.47841281e-08	0.0
294.9521190460944	-0.5813329237112725	0.3379479681906962	86996.75252978146	290.5939084684042	-0.9986448546101768	0.9972915456393814	84444.81963894329	194.00824638039603	-0.2891922421869708	37639.199663596446	0.0836321529411275	193.66465622879736	343.2197908286221	1.10274	21.308676	0.0598774349	0.0290341	0.1249908428	-0.0288940649	-0.0414285563	0.0593525875	0.0589305464	0.004386278	0.1174088473	0.0358251644	-0.1391924074	-0.0378879361	0.0037712812	0.0264606118	0.0850615907	-0.0305015618	0.1223522163	0.0267245969	-0.0607266461	0.1140011322	-0.0384489487	0.0956212222	-0.0524260108	-0.0566634649	0.024297967	0.0296073356	-0.1772230754	0.0291303136	0.0170952113	0.149359681	-0.0295252762	-0.0140973179	0.0798711645	-0.0817737096	-0.1334414817	-0.0824379419	-0.0419474043	-0.1821038954	-0.1326157053	-0.0592844529	0.0840991631	0.0453582838	-0.1062559487	0.1130480121	-0.0365970829	0.019415345	0.1085553183	-0.0663235368	0.0436912944	-0.1486812401	-0.0657922583	-0.0565107628	0.0872783221	0.004045133	-0.0380843771	-0.0624005016	0.0291299639	-0.180929911	-0.056584035	0.0706298516	0.1515119487	0.0140379533	-0.1142255897	0.1127663813	-0.0328917842	0.0794103462	0.0493889198	0.0211843976	-0.041761904	-0.039928605	-0.1544567154	-0.0504299498	-0.0051480277	-0.148980255	0.0209095793	-0.0259573237	0.105944541	0.1052855106	-0.0656515416	-0.1321345464	0.0090144951	0.0773401687	-0.1165753431	0.1636776596	0.0165179561	0.0203355984	0.0007525308	-0.1011155387	0.0440914084	0.1811983968	-0.0238856617	0.0503781341	-0.0488241214	0.198496032	-0.0669316304	0.0795685966	0.0627119211	-0.0298886259	0.0173882541	0.1380717236	-0.0509636855	0.1257022422	-0.0035492117	-0.0763839553	-0.0844855615	-0.1037502853	0.0439936379	-0.002576557	-0.1179135879	-0.0601008845	0.0007832375	0.23329582	-0.0684718998	0.0802458307	0.0035776875	0.1171504538	0.1721994556	0.0688170376	-0.0615869824	0.0111247264	0.1167552459	-0.0235590156	0.0783536578	-0.0192725134	-0.0103724011	0.0526914138	-0.2034861048	-0.0274245756	0.0564918879	0.1248981397	-0.1272100351	0.1178341246	0.112815636	0.1046092073	-0.0177485	-0.0177123799	0.0003137284017219	0.00031500925225	0.0275656	-0.0048784999999999	2.3799762249999973e-05	0.0007598623033599	0.0372318	0.0089108	7.940235664000007e-05	0.00138620693124	-0.00173289	-0.0001870599999999	3.4991443599999995e-08	3.0029077521e-06	-0.000270182	-0.0002504973	7.2998313124e-08	6.274889730729001e-08	7.21492e-05	-0.0001299578	5.205507060640001e-09	1.688902978084e-08	0.0
295.28072703215463	0.3286079860602058	0.1079832085025444	87190.70775663781	290.1312580122984	-0.4626504561057913	0.2140454445348968	84176.14687579888	193.7444566522781	-0.2637897281179278	37536.91448348647	0.0695850206605302	193.4254075941525	338.9472913027795	1.344653	25.983273	0.093212295	0.0464661	0.1341248273	0.0958360803	-0.1201922877	-0.0219542464	-0.0936371974	-0.0368390573	-0.0151385941	-0.1123902804	-0.1266075492	-0.0949502445	0.1410006721	0.0056203901	0.0196424687	-0.0173259342	-0.0968989291	0.0991402414	0.1339460565	-0.0576168791	-0.0741844366	0.1098226956	0.0697654318	-0.1803745255	0.0234909874	-0.0687653529	-0.0695537115	0.0327215476	0.0325167613	0.0471569753	-0.100528205	-0.0249556048	-0.1162927083	-0.122571822	0.040361412	0.008751782	-0.0417903343	-0.0236833862	-0.0756433001	-0.1910963534	0.0463883173	0.1521636003	-0.1194402149	-0.0540062818	0.177015586	0.0100070949	-0.085929321	0.0036962163	0.0225715463	-0.0053874212	0.0751694485	-0.0909102849	-0.0696922657	0.0175071119	0.0007333634	-0.0371664492	-0.1388101782	0.1472919593	-0.1310081985	0.033865087	0.1086941397	-0.0292495339	0.1213719857	-0.057928071	-0.0776509585	0.0995597479	-0.0856702675	0.1371445113	-0.100927182	0.0660090414	-0.1066585982	-0.0524341508	0.0110574146	-0.0561096119	-0.0031870216	-0.1066729433	-0.1500169683	0.047761282	0.0287405612	0.0002930021	0.0831173124	0.0414088415	0.0544812	0.1458668081	-0.0408031176	-0.201531675	-0.001459347	-0.232437788	-0.0482822218	-0.0513045343	0.0426788721	0.0573033315	0.0193702865	-0.0089674446	-0.1061483147	-0.0653954107	-0.0742976512	-0.1414077808	0.0975744243	-0.011705335	0.1366615405	0.0181802686	0.0068060911	-0.0083446318	-0.0485678816	-0.0526768716	-0.1357884388	-0.0067781677	0.0383644	-0.1549704508	0.0340980296	-0.0762657571	-0.0885202488	0.1687092758	0.0603829855	0.0894250598	-0.0137333562	-0.0659130848	-0.0842188197	-0.1557824849	-0.0626814385	0.2064959605	-0.0153474643	-0.1162308302	0.1115548981	-0.2234750009	0.1199322674	0.2356218856	0.0779366988	0.2255931768	-0.1565654419	0.1173552296	0.1109309587	0.1004830656	0.0157869	0.0335354	0.00112462305316	0.00024922621161	0.00930857	-0.01825703	0.0003333191444209	8.66494754449e-05	0.0283173	-0.0089145	7.946831025000004e-05	0.00080186947929	-0.00151477	0.00021812	4.7576334400000016e-08	2.2945281529e-06	-3.43795e-05	0.0002358025	1.18195002025e-09	5.560281900625e-08	0.000268334	0.0001961848	7.200313555600001e-08	3.8488475751040016e-08	0.0
