global_signal	global_signal_derivative1	global_signal_power2	global_signal_derivative1_power2	csf	csf_derivative1	csf_derivative1_power2	csf_power2	white_matter	white_matter_derivative1	white_matter_power2	white_matter_derivative1_power2	csf_wm	tcompcor	std_dvars	dvars	framewise_displacement	rmsd	t_comp_cor_00	t_comp_cor_01	t_comp_cor_02	t_comp_cor_03	t_comp_cor_04	c_comp_cor_00	c_comp_cor_01	c_comp_cor_02	c_comp_cor_03	c_comp_cor_04	c_comp_cor_05	c_comp_cor_06	c_comp_cor_07	w_comp_cor_00	w_comp_cor_01	w_comp_cor_02	w_comp_cor_03	w_comp_cor_04	w_comp_cor_05	w_comp_cor_06	w_comp_cor_07	w_comp_cor_08	w_comp_cor_09	w_comp_cor_10	w_comp_cor_11	w_comp_cor_12	w_comp_cor_13	w_comp_cor_14	w_comp_cor_15	w_comp_cor_16	w_comp_cor_17	w_comp_cor_18	w_comp_cor_19	w_comp_cor_20	w_comp_cor_21	w_comp_cor_22	w_comp_cor_23	w_comp_cor_24	w_comp_cor_25	w_comp_cor_26	w_comp_cor_27	w_comp_cor_28	w_comp_cor_29	w_comp_cor_30	w_comp_cor_31	w_comp_cor_32	w_comp_cor_33	w_comp_cor_34	w_comp_cor_35	w_comp_cor_36	w_comp_cor_37	w_comp_cor_38	w_comp_cor_39	w_comp_cor_40	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05	a_comp_cor_06	a_comp_cor_07	a_comp_cor_08	a_comp_cor_09	a_comp_cor_10	a_comp_cor_11	a_comp_cor_12	a_comp_cor_13	a_comp_cor_14	a_comp_cor_15	a_comp_cor_16	a_comp_cor_17	a_comp_cor_18	a_comp_cor_19	a_comp_cor_20	a_comp_cor_21	a_comp_cor_22	a_comp_cor_23	a_comp_cor_24	a_comp_cor_25	a_comp_cor_26	a_comp_cor_27	a_comp_cor_28	a_comp_cor_29	a_comp_cor_30	a_comp_cor_31	a_comp_cor_32	a_comp_cor_33	a_comp_cor_34	a_comp_cor_35	a_comp_cor_36	a_comp_cor_37	a_comp_cor_38	a_comp_cor_39	a_comp_cor_40	edge_comp_00	edge_comp_01	edge_comp_02	edge_comp_03	edge_comp_04	edge_comp_05	edge_comp_06	edge_comp_07	edge_comp_08	edge_comp_09	edge_comp_10	edge_comp_11	edge_comp_12	edge_comp_13	edge_comp_14	edge_comp_15	edge_comp_16	edge_comp_17	edge_comp_18	edge_comp_19	edge_comp_20	edge_comp_21	edge_comp_22	edge_comp_23	cosine00	cosine01	cosine02	trans_x	trans_x_derivative1	trans_x_power2	trans_x_derivative1_power2	trans_y	trans_y_derivative1	trans_y_power2	trans_y_derivative1_power2	trans_z	trans_z_derivative1	trans_z_power2	trans_z_derivative1_power2	rot_x	rot_x_derivative1	rot_x_derivative1_power2	rot_x_power2	rot_y	rot_y_derivative1	rot_y_power2	rot_y_derivative1_power2	rot_z	rot_z_derivative1	rot_z_power2	rot_z_derivative1_power2	motion_outlier00	motion_outlier01	motion_outlier02	motion_outlier03	motion_outlier04	motion_outlier05	motion_outlier06	motion_outlier07	motion_outlier08	motion_outlier09	motion_outlier10	motion_outlier11	motion_outlier12	motion_outlier13	motion_outlier14	motion_outlier15	motion_outlier16
281.3879521905934	n/a	79179.17963801569	n/a	271.6863538986173	n/a	n/a	73813.47489472473	184.1451957466841	n/a	33909.453116584606	n/a	183.88190054344705	327.12297568663706	n/a	n/a	n/a	n/a	-0.0315395669	-0.0139736761	0.0974634938	-0.034439957	0.0437579795	0.0356517135	-0.1316361758	0.0804660742	-0.044945823	0.0118120393	-0.145621382	0.1492868156	-0.033522968	-0.019955058	-0.0150558867	0.0346237484	-0.0206648521	0.1138222117	-0.0374016201	-0.0058712974	0.121234963	-0.0035488255	0.0356435542	-0.0692208586	0.0181245048	-0.0501519412	-0.0610675129	0.1342246188	-0.1404169327	0.0578925726	-0.1024340777	0.0811195357	-0.0272502985	0.0625840749	-0.0684288428	0.0866769354	-0.1197009627	0.1011158276	0.048514636	-0.0380496409	0.1488759385	-0.080028947	-0.0509556769	0.0364144534	0.0920883486	-0.0292709692	-0.1055691969	0.0252302779	0.0447741161	0.0349795761	-0.096751491	-0.0295779707	0.0070385484	0.1372979411	-0.018439095	-0.0134202124	0.0019481086	-0.0458534107	0.1117982901	-0.0357865108	-0.0198900334	0.1151322034	-0.0185560409	0.0245310064	-0.0481991513	0.0254364953	-0.0086795358	0.0713214189	0.0322227463	-0.1611567328	0.1441014315	-0.0289424872	0.0810513608	-0.0883310077	0.0734787694	-0.0173502708	0.0991237347	-0.0356758826	0.1592543833	-0.0858433778	-0.0336877751	0.0981835718	-0.0418298203	-0.1233198508	0.0079575851	0.1168842808	-0.0324564733	-0.0612058316	-0.0125278856	0.0427111757	0.0598046534	-0.0278752682	-0.0923236075	0.0070869502	0.1230784966	-0.0274380012	0.0158630921	-0.0100221371	0.0153634035	-0.0722735283	0.0703547446	-0.1080987715	0.0501480425	-0.0628595285	-0.0540299276	0.0786948	-0.0197643961	0.0053780968	-0.0170794827	0.0333315402	-0.1212603904	0.010784961	-0.0508342769	0.1061241882	-0.0652516079	0.1110025457	-0.01604929	-0.0354785001	-0.0373835314	0.1195153378	0.1194927693	0.1194551582	0.00995748	n/a	9.915140795039998e-05	n/a	-0.0536817	n/a	0.0028817249148899	n/a	-0.0674292	n/a	0.0045466970126399	n/a	0.00174994	n/a	n/a	3.0622900036e-06	-0.000792217	n/a	6.27607775089e-07	n/a	0.0007724309999999	n/a	5.966496497608455e-07	n/a	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
280.881196657669	-0.5067555329243874	78894.24663584415	0.2568011701494798	268.1532713958343	-3.5330825027830315	12.48267197147161	71906.17696028795	184.30719565246167	0.1619999057775771	33969.142369274785	0.0262439694719438	184.09064119929243	325.25030109605734	1.052594	24.244184	0.0492683699999999	0.0254433	-0.0118880399	-0.023730273	-0.0412601274	-0.1200074162	-0.0165075063	0.0355341465	0.0230135174	0.1488521786	-0.0429792729	0.0350221467	0.0060542882	0.0565515253	-0.076673689	-0.0251931825	-0.0073132893	-0.0493438332	-0.0983020445	-0.0258823616	-0.0029878286	0.009765043	-0.0881864146	-0.0171554697	0.1119392294	0.0562342786	0.0086550894	0.0343561069	-0.0591433205	0.0984932616	0.1303844156	0.1147241441	0.0153526958	0.110981435	-0.1667118248	0.1229128058	-0.0299326797	0.1106137965	0.0306221136	0.0011115004	0.0865960977	0.1795399824	0.1471748119	0.1259932765	-0.1137378891	0.1261042562	0.1285573684	-0.1144556144	0.0457591611	-0.0003462796	0.1536901935	-0.0175797264	0.0367267314	-0.0392099969	0.0848990658	0.146655021	-0.0235004534	0.0050760109	0.1258452678	0.0020314954	-0.0198992377	-0.004781499	0.017029114	-0.0970046377	-0.0989656683	0.0546368743	0.0475239949	-0.01124026	0.0621873262	0.0158430608	-0.0734859269	-0.1642476846	-0.1385486509	0.0044154266	0.0422258828	-0.2119630453	0.0322728733	0.0307890255	-0.0103952577	0.0770213124	0.0634593575	-0.0731507634	-0.2385770189	0.0420353454	0.1246207826	-0.0151256366	0.1551686016	0.1311029114	0.0324183037	0.0762302223	0.1029834351	0.097882088	-0.0091049666	0.0164569777	0.0544029085	0.0335380822	0.0047325318	-0.0227540177	0.0068212972	-0.029900401	3.78365e-05	-0.0427620235	-0.1145565398	0.0525918643	0.0956412232	0.0137976122	-0.0493485263	0.0726939248	0.0110332807	-0.0455480401	-0.0238066221	0.0099438019	-0.0518252839	0.0986756357	-0.0094563524	0.0138358527	-0.0247796802	-0.0541786924	-0.0402130155	-0.0922477275	-0.0223187055	0.1194551582	0.1192521267	0.1189139965	0.0181931	0.00823562	0.00033098888761	6.782543678440001e-05	-0.0435943	0.0100873999999999	0.00190046299249	0.0001017556387599	-0.0653857	0.0020434999999999	0.00427528976449	4.175892249999958e-06	0.00143741	-0.0003125299999999	9.767500089999992e-08	2.0661475081000003e-06	-0.00052671	0.000265507	2.774234241e-07	7.0493967049e-08	0.0007724309999999	0.0	5.966496497608455e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
281.3210745478019	0.439877890132891	79141.54698472992	0.1934925582277637	266.58512843663675	-1.5681429591975302	2.459072340480787	71067.6307035781	184.4630166159181	0.1558209634564207	34026.60449904447	0.0242801726524872	184.1828595837059	325.8799327639585	1.169766	26.942978	0.133426456	0.0821342	-0.0401211266	-0.0271191585	-0.1262503933	0.0954819453	-0.0351545847	0.0550343881	0.1460382739	-0.0393161073	0.0290543048	-0.0956491707	-0.0070066738	0.0036949776	0.0379601749	-0.0557033868	-0.0027623555	-0.045365565	0.0714142178	-0.1133197974	0.0199962401	0.0126394144	-0.0756308065	0.0497832769	-0.0832266344	-0.0657922325	0.1090039143	-0.0576919384	0.0107522808	-0.1547787097	0.0890783419	-0.0045769181	-0.0108953491	0.1277752494	0.0226076154	-0.0534890338	-0.0716038175	-0.0884506067	-0.0356253211	-0.0931812137	0.1539614197	0.0742299663	-0.065865363	0.0312384888	0.0684500478	-0.1123292323	0.136713238	-0.0641372819	0.0107966413	0.0121477357	0.0094567155	0.0428945415	0.0173888845	-0.098332963	-0.1084229151	-0.0132144074	-0.0564005564	-0.008981624	-0.0370929925	0.0735862064	-0.1117803876	0.0183728753	0.0143538871	-0.0687119987	0.0405262458	-0.0761654331	-0.0729478452	0.1316615156	-0.04437429	0.014303042	0.0152488487	0.12516702	-0.1139906071	0.0142236999	0.121347399	0.005984231	-0.0763870356	-0.0544026114	0.108291775	-0.018142877	-0.0793718545	-0.1271678792	-0.1039652545	-0.1188326212	-0.0156333932	0.0418762938	-0.0915314705	0.057723407	-0.1093889721	0.0899981907	0.0315927656	-0.0012495804	0.0270843382	-0.0557011102	-0.0234536616	-0.0988371958	-0.0380559264	-0.034003036	-0.0146996931	-0.0453607415	0.0105138459	0.0934201214	0.0514705405	0.1382364717	-0.0850723645	0.0508937144	-0.0433193351	0.0274070699	0.0515470735	0.071082092	-0.0107203181	0.0561825353	-0.0567707587	-0.0575732737	-0.044149354	0.07260561	0.0170522171	-0.0145499407	-0.0353341986	-0.0401607795	0.1098218115	0.1193348294	0.1187713263	0.1178341246	0.000601594	-0.017591506	3.61915340836e-07	0.000309461083348	0.0291755	0.0727698	0.00085120980025	0.0052954437920399	-0.0733269	-0.0079411999999999	0.00537683426361	6.306265743999993e-05	0.0008377929999999	-0.0005996170000001	3.5954054668912e-07	7.018971108488325e-07	-0.000538092	-1.1381999999999994e-05	2.89543000464e-07	1.2954992399999986e-10	0.000680951	-9.147999999990003e-05	4.6369426440100006e-07	8.368590399981713e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
281.3636807576479	0.0426062098459851	79165.5208494916	0.0018152891174401	266.7633719433931	0.1782435067563597	0.0317707477008044	71162.6966106091	184.3419815650968	-0.1210350508212911	33981.96616734649	0.0146494835273125	184.0470996807908	326.0881873848359	1.189884	27.40634	0.217167756	0.146921	-0.0441528253	0.0100498536	0.0821876191	0.0722904847	0.0829738555	0.0233719047	-0.0826380573	-0.1285657864	0.0242818818	0.0214454681	-0.0802901533	0.0172336447	0.0482371287	-0.0331637085	-0.0012622733	-0.0146485442	0.0501474242	0.0990091279	0.0113354694	0.0157844841	0.0608068296	-0.0596470114	-0.0001513299	-0.0001762287	-0.1137250662	0.0658448109	0.012518652	-0.0569377935	0.0206020761	-0.03038686	-0.1185445059	-0.0056129791	0.1627579607	0.1459267312	-0.1244131698	-0.0161353247	0.0936321935	0.0764477131	-0.0190975444	0.049720057	-0.0167757733	0.0665599131	0.032025205	0.0185647817	0.0669236	0.0268799157	-0.0452050389	0.0147744604	-0.017805226	0.0103285468	-0.0046539611	0.1591563769	-0.0302130356	0.0390749686	-0.0329502778	-0.0028435031	-0.0618879076	0.0329776678	0.0983504032	0.0037472654	0.0252736504	0.0610258257	0.0389489486	0.0608922963	0.0016355384	-0.1269902959	0.0344554596	-0.0237285411	0.0266361137	0.0767757401	-0.0216992875	-0.1062236934	0.029535015	0.0475498597	0.110173354	-0.2218849837	-0.1022152807	-0.0315779204	0.0566629095	0.0105021601	-0.0434483518	-0.0339427346	0.0600100639	0.057803064	-0.0025553266	0.0382085218	-0.0416078802	-0.0514450083	-0.0224194225	-0.0013124577	-0.0064245364	0.1307804265	-0.0139801811	0.006245663	0.0811039413	-0.0264873085	0.0437913039	-0.0260665544	-0.0183086141	-0.0960452334	0.0525367227	-0.0894344727	-0.0869526131	-0.0460925216	-0.0811712882	0.086083056	-0.0392322419	-0.0390781365	-0.0616677112	0.0245898128	-0.1428937961	0.1113841188	-0.0610188541	0.0235697712	-0.170555598	0.0651080327	0.0321256244	-0.0056949839	0.0772753113	0.1191544118	0.1180513362	0.1162204348	0.0193885	0.018786906	0.00037591393225	0.0003529478370528	-0.105817	-0.1349925	0.0111972374889999	0.0182229750562499	-0.0749675999999999	-0.0016406999999998	0.0056201410497599	2.6918964899996648e-06	0.00178273	0.000944937	8.929059339691888e-07	3.1781262529e-06	-0.000736628	-0.000198536	5.426208103840001e-07	3.9416543296000016e-08	0.0007724309999999	9.147999999990003e-05	5.966496497608455e-07	8.368590399981713e-09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
281.334049554651	-0.0296312029968817	79148.84743881883	0.0008780081910424	266.77162699378755	0.0082550503944389	6.814585701472696e-05	71167.10096891252	184.3193864397756	-0.0225951253212031	33973.636217535335	0.0005105396882808	184.05817266010567	325.86063238006926	1.039302	23.938019	0.0975323	0.0739828	-0.0396557172	0.0052394623	0.0849755198	-0.0956834916	0.0024492262	0.0166016731	-0.0854500928	0.0497411327	-0.0487985106	0.0773563099	0.0930716238	-0.0231701568	-0.0752413633	-0.0336788796	0.0293310096	-0.0103307462	-0.0571984828	0.0974832041	0.0006509174	0.0299035072	-0.0718728029	0.0353826015	-0.0593645281	0.1159538811	0.0262729783	0.1458328975	0.0352095011	0.0526440633	0.0953534954	0.0310143824	-0.0767626287	-0.1293094096	-0.0383946067	-0.1126452898	-0.0412413796	0.0007996782	-0.1034976122	0.0040651781	0.162739409	0.049450126	-0.0839476684	-0.042577613	0.0126951585	0.0096973904	0.074595742	-0.0818642395	-0.0333730269	-0.1416105953	-0.038533475	0.1471558523	0.0818681629	-0.061006346	0.0478780168	-0.0018497192	-0.0349167861	0.0359189312	0.058140162	-0.0224944515	0.094401002	-0.0054839657	0.0352278626	-0.0820761606	0.0229738878	-0.0701109345	0.1110010525	0.0091628013	0.1379233167	-0.0622468922	-0.007112793	-0.0358247829	-0.0409577348	-0.1506653854	-0.0791051173	0.0432033139	-0.081232944	0.0738458947	0.0990710121	-0.0150435249	0.0422757099	-0.1301177435	-0.0411759784	-0.1242139174	-0.0891746505	0.0088270243	0.0060814765	0.0606111131	-0.0083464056	-0.0233853787	0.1518965333	-0.1325737275	0.1384483114	-0.0078124613	0.0784931019	0.0022388979	-0.0149241259	-0.0276297125	0.0094293691	-0.0476508019	4.37906e-05	-0.022891273	-0.0665644295	-0.0659004998	0.0773495103	0.0732588965	-0.0869936369	0.0062835127	-0.0089010852	0.0453260504	-0.0451155089	0.1098152793	-0.1131344443	0.092101661	-0.0673451192	0.0007436625	-0.012339088	0.0467460491	-0.1184258368	0.0226986663	0.0265535308	0.1189139965	0.1170936064	0.1140802373	0.020889	0.0015005	0.000436350321	2.2515002500000053e-06	-0.0342199	0.0715971	0.0011710015560099	0.00512614472841	-0.080018	-0.0050504000000001	0.006402880324	2.5506540160001088e-05	0.0017433	-3.943000000000002e-05	1.5547249000000015e-09	3.03909489e-06	-0.000388372	0.000348256	1.50832810384e-07	1.21282241536e-07	0.0007724309999999	0.0	5.966496497608455e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
281.23035552528864	-0.1036940293623729	79090.51286888025	0.0107524517254046	267.0375175641571	0.2658905703695495	0.0706977954114443	71309.03578682752	184.20393924103664	-0.1154471987389627	33931.09123191552	0.0133280556966735	183.94407529904103	329.3890547293984	1.095673	25.236403	0.06315195	0.0398917	-0.0406839466	0.001146355	-0.1313076905	-0.0634356082	0.0075758096	0.0301890606	0.0770667882	0.1176329316	0.0197976557	-0.0107313035	-0.016787427	-0.036420127	0.1167964861	-0.0309237139	-0.0712079064	-0.0757618937	-0.0316559571	-0.1175355258	-0.0075320916	0.0294075782	0.0589042604	-0.0289271995	-0.0429356258	-0.0648237463	0.0503405277	-0.0685920163	0.1978305273	-0.0548491152	-0.1205607119	0.0064539618	0.0217518502	0.0052250815	-0.0438072269	-0.0974263446	-0.0391641042	-0.1589252199	-0.0735671604	0.0880577691	-0.0713055332	0.0877613945	-0.0705238229	0.0302641214	-0.0625174697	-0.0188699301	0.0455619802	0.0347061993	-0.0078962557	-0.0554405881	0.0975065757	0.0273944698	0.0228250636	0.0861721562	-0.0300572667	-0.0654896533	-0.0307688711	-0.0638819346	0.0807011658	0.0571479487	-0.1001333663	-0.0003581945	0.0283514681	0.0640224006	0.0396410057	0.0164542709	-0.0614743541	0.0698603699	-0.1179740866	-0.1440870296	0.1411653373	0.0382231239	0.100181543	0.0367407779	0.0251353003	0.0277825048	-0.0982549247	0.0394198584	0.0399275652	-0.1766943007	0.0220091051	0.0624747032	-0.0233225386	-0.104585089	0.063367953	-0.0478346206	0.0175985987	-0.0329121909	-0.0211722124	-0.0112558365	0.0764944896	0.106358418	0.0403791254	0.0971756076	-0.0126714933	-0.0199229136	-0.0507420124	-0.0212485887	0.0207971781	-0.0497635498	0.0262750678	-0.0111330607	0.0632565492	0.1172621758	0.0305591611	0.0520107734	-0.0249061855	-0.0070340947	-0.0644359856	-0.0016440166	0.0143816338	0.0006666224	-0.0937333669	-0.0545980123	-0.0988710899	0.0984403089	-0.0576374238	0.1329332083	0.0451988363	-0.0132449733	0.0739430134	0.1186137044	0.1159000657	0.1114232278	0.0178284	-0.0030606	0.00031785184656	9.36727236e-06	-0.0306519	0.0035679999999999	0.00093953897361	1.2730623999999989e-05	-0.0561088	0.0239092	0.00314819743744	0.00057164984464	0.00122756	-0.00051574	2.659877476e-07	1.5069035535999998e-06	-0.000524915	-0.000136543	2.755357572250001e-07	1.864399084900001e-08	0.0007724309999999	0.0	5.966496497608455e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
280.3720008260156	-0.8583546992730362	78608.4588471833	0.7367727897641044	266.3663496371205	-0.6711679270366062	0.4504663862826151	70951.03221900472	184.0122079684386	-0.191731272598048	33860.49268141989	0.0367608808920669	183.72881693535143	327.0056956275392	1.131338	26.057871	0.0173761999999999	0.0117471	-0.0154496958	-0.0226664165	0.0213503668	0.0901474931	0.0745504171	0.0128964168	-0.0288501774	-0.0914927591	0.0913803669	-0.0394839666	-0.007471458	0.1040206485	0.0519766972	-0.0198052916	-0.10561739	0.0617701287	0.0586007734	0.0670460334	-0.043456946	-0.0388313467	-0.0202389043	0.0560638337	0.0239533885	-0.014262149	-0.0951775222	0.0495092574	0.0124642488	-0.0849614329	0.1459672616	-0.0809466658	0.1796353436	-0.0242147122	-0.0469547489	0.0801881532	-0.10331015	-0.0395100279	0.0287534312	-0.0493329643	0.0570191923	-0.0779402694	-0.0248833308	0.1893506677	0.1267798345	0.0112828068	-0.0669411506	-0.0144987443	0.0547237041	0.086411002	0.0788539263	-0.0139003474	0.0278291542	-0.069022403	-0.1114036432	0.0546675462	-0.0206131769	-0.1087846455	-0.0690887816	-0.0366668734	0.0570537737	-0.0463449323	-0.042085895	-0.0036645887	-0.0502312439	-0.0378359718	-0.0230884025	-0.1128023279	0.0093886014	-0.0708863561	-0.0788539392	0.1049622525	-0.1560962634	0.1195715922	-0.1278165999	-0.0649234955	-0.0622424733	-0.125298688	-0.055240652	-0.0158241811	-0.0291383161	-0.1001818977	0.0409300336	0.0372240796	0.0764568543	0.1836925874	-0.0154122817	0.0383115258	0.0454765926	0.0703281153	-0.051414045	0.0646945042	0.0078001036	-0.0800487283	0.015607394	-0.1113761237	-0.0681680384	-0.0238777815	0.0172085884	-0.0407937814	0.0252522603	-0.0142216738	0.0527841471	-0.0418602093	-0.1119723573	-0.0692497896	-0.0424569085	-0.0567114092	-0.0582655195	-0.0270082315	0.0506968014	-0.0621269778	-0.0912026246	0.0849140211	0.0003945032	0.0168071315	-0.0852140199	0.0579005311	0.0164582581	-0.0388885478	0.1543597146	0.1182536866	0.1144731177	0.1082614433	0.0176741	-0.0001542999999999	0.00031237381081	2.3808489999999872e-08	-0.0299581	0.0006937999999999	0.00089748775561	4.813584399999971e-07	-0.0443561	0.0117526999999999	0.00196746360721	0.0001381259572899	0.00127768	5.012000000000007e-05	2.512014400000007e-09	1.6324661824e-06	-0.000570303	-4.538799999999994e-05	3.25245511809e-07	2.0600705439999942e-09	0.0007724309999999	0.0	5.966496497608455e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
279.87155953104724	-0.5004412949683683	78328.08983434051	0.2504414897096174	266.4104988631871	0.0441492260666223	0.0019491541622817	70974.55390453222	183.93308239272903	-0.0791255757095541	33831.37879849045	0.0062608567313683	183.68068743849653	319.8489497161043	1.108765	25.537952	0.053347	0.0279482	0.039915605	-0.0783511999	0.0580315127	-0.0990267053	0.0021235148	-0.02583246	-0.0904935735	0.087254287	0.0611620377	0.0076626549	0.0609629541	0.067713706	-0.0898152391	0.0067363078	-0.026055185	0.036418505	-0.0912184955	0.0425594956	-0.0501125686	-0.0009552937	-0.0163482408	0.0256983269	-0.0069364227	0.0114995139	-0.0241102422	0.0653795286	-0.1613668389	0.0412174452	-0.0070682865	0.0302032235	0.0710353414	-0.0032956207	0.0751236028	-0.0682256352	0.1694502396	0.0043336663	-0.1295862761	0.0328248308	-0.1417918054	-0.0855731805	-0.0622460219	0.0516385325	0.0273612484	0.0321233767	-0.0062732838	-0.0257286661	0.0998467072	-0.0007363436	-0.0797422106	0.2399721197	-0.0042021564	0.0380433433	-0.1839985893	0.0405689075	0.0068695336	-0.0193939942	0.0715174745	-0.073504548	0.0413512183	-0.0398946384	-0.0108438062	-0.0127363998	-0.0034122586	-0.0341678252	0.0086483039	-0.0284338769	0.0999781469	0.1185539258	-0.0849273874	-0.0335890551	-4.19118e-05	0.0735059986	0.0073798487	0.0941615366	0.0608207017	0.1402708596	0.0563538394	-0.0749433051	-0.0153675118	0.1074019852	0.1659799121	0.0351447598	0.0764504645	0.0510951584	0.0369410545	0.0501432786	0.0017537247	0.0767123337	-0.0648881209	-0.1641786347	0.1865494199	0.054648626	-0.0452766297	-0.1265751259	0.0281362173	-0.0069767985	0.0151287597	-0.0281829496	0.0193978761	-0.0125482532	-0.0490851917	-0.0600104508	0.1079392136	-0.0769674174	-0.0214153906	-0.013523467	-0.0387392682	-0.0266655667	-0.0513597567	-0.0316556361	0.0014661946	0.1270244832	-0.085372186	-0.1119870933	0.1528495357	0.0591648748	-0.0119242863	0.028378102	0.031114286	0.1178341246	0.112815636	0.1046092073	0.0283601	0.0106859999999999	0.0008042952720099	0.0001141905959999	-0.0173087	0.0126494	0.00029959109569	0.00016000732036	-0.0240836	0.0202725	0.00058001978896	0.00041097425625	0.00128844	1.0760000000000066e-05	1.1577760000000143e-10	1.6600776336e-06	-0.000386281	0.000184022	1.49213010961e-07	3.3864096483999995e-08	0.0007724309999999	0.0	5.966496497608455e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
280.2559536281703	0.3843940971230495	78543.39954403513	0.1477588219030444	264.80444091597246	-1.6060579472146514	2.57942212981134	70121.39192882075	183.95012893197173	0.017046539242699	33837.64993408902	0.0002905845001528	183.68176960079265	318.43638654255733	1.091392	25.1378	0.0772944899999999	0.0475725	0.0459319626	-0.0683621889	-0.1181763075	-0.0281713258	-0.0355615778	-0.0213507228	0.1333006648	0.0674157186	0.0475714602	-0.0229198652	0.0256801795	-0.0213334792	-0.0602438132	0.0017674561	-0.0336867733	0.0016368097	-0.0143788425	-0.1382666904	0.0213114343	0.0776692169	-0.0453931676	-0.0034209164	0.019217892	-0.0061205582	0.024324397	-0.0581770484	0.0015139441	-0.0402195124	-0.0733281041	-0.0476403448	-0.0353951408	-0.0185575428	0.090396834	-0.0621863234	-0.1382962585	0.12701191	0.0197877495	0.1103753459	-0.0037228664	-0.1410902137	0.005641339	0.0472841575	-0.1005626297	0.0486405287	-0.0155643438	0.0436210677	0.1395247648	-0.018158249	-0.0164332245	-0.0914106512	-0.2045337719	0.034089471	0.0629667716	0.0663626763	0.0001287501	-0.0336813886	0.0240648415	-0.0031135581	-0.1239992484	0.027811856	0.0755122384	-0.0298681947	-0.0318337931	0.0049264322	-0.0006270947	0.0445636835	-0.0693416202	0.0209977239	0.0324013231	0.0695693269	0.0668210587	-0.0253031551	-0.0093097545	0.0880508609	-0.0214881404	-0.1002856072	0.0082955524	0.0483408756	0.1901104217	-0.0346561744	0.1118681851	0.0954996513	0.082313335	-0.0476189013	0.0783849969	-0.0775689074	-0.0376126971	0.0907030415	-0.0426676909	-0.0323280909	-0.0934508112	-0.002066832	-0.1503654214	0.138892365	0.0386182798	-0.0079524625	0.0071665125	-0.0474432745	0.03143357	0.021751137	-0.1188006715	0.1091735027	0.030140091	0.0439240382	-0.0185382392	-0.0152859809	0.0322762213	-0.0059291223	-0.0362430909	-0.0601770869	0.013380842	-0.0621160549	-0.0295079635	0.0868192439	-0.0343582918	0.0984905083	-0.0143384834	-0.0705094662	0.0399211669	0.1173552296	0.1109309587	0.1004830656	0.0337189	0.0053588	0.00113696421721	2.871673744000004e-05	-0.00317426	0.01413444	1.00759265476e-05	0.0001997823941135	-0.0507298	-0.0266462	0.00257351260804	0.0007100199744399	0.00191086	0.0006224199999999	3.874066563999998e-07	3.6513859396e-06	-0.0003856	6.809999999999889e-07	1.4868736e-07	4.63760999999985e-13	0.0007724309999999	0.0	5.966496497608455e-07	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
